sequence,v115@HhA8AeA8GeC8BeB8CeB8DeC8Kel/IvhFGhBiiB5oBz?nB3qBUrB,v115@HhA8AeA8GeC8BeB8CeB8DeC8Kel/IvhFGhBiiB5oBz?nBUrB3qB,v115@HhA8AeA8GeC8BeB8CeB8DeC8Kel/IvhFSmBTiBeoB5?oB3qBUrB,v115@HhA8AeA8GeC8BeB8CeB8DeC8Kel/IvhFSmBTiBeoB5?oBUrB3qB,v115@HhA8AeA8GeC8BeB8CeB8DeC8Kel/IvhFChBmiB5oB0?nB3qBTrB
JTZOSIL,X,O,O,O,O
JTZOSLI,X,O,O,O,O
JTOILSZ,O,O,O,O,X
JTOILZS,O,O,O,O,X
JTOISLZ,O,O,O,O,X
JTOISZL,O,X,O,O,X
JTOIZLS,O,O,O,O,X
JTOIZSL,X,O,O,O,X
JTOLISZ,O,O,O,O,X
JTOLIZS,O,O,O,O,X
JTOLSIZ,O,O,O,O,X
JTOLSZI,O,X,O,X,X
JTOLZIS,O,O,O,O,X
JTOLZSI,X,O,X,O,X
JTOSILZ,O,O,O,O,X
JTOSIZL,O,X,O,O,X
JTOSLIZ,O,O,O,O,X
JTOSLZI,O,X,O,X,X
JTOSZIL,O,X,O,O,X
JTOSZLI,O,X,O,O,X
JTOZILS,O,O,O,O,X
JTOZISL,X,O,O,O,X
JTOZLIS,O,O,O,O,X
JTOZLSI,X,O,X,O,X
JTOZSIL,X,O,O,O,X
JTOZSLI,X,O,O,O,X
JITLSZO,O,O,O,X,X
JITLSOZ,O,O,O,O,X
JITLZSO,O,O,X,O,X
JITLZOS,O,O,O,O,X
JITLOSZ,O,O,O,O,X
JITLOZS,O,O,O,O,X
JITSLZO,O,O,O,X,O
JITSLOZ,O,O,O,O,X
JITSZLO,O,X,O,O,O
JITSZOL,O,X,O,O,O
JITSOLZ,O,O,O,O,X
JITSOZL,O,X,O,O,X
JITZLSO,O,O,X,O,O
JITZLOS,O,O,O,O,X
JITZSLO,X,O,O,O,O
JITZSOL,X,O,O,O,O
JITZOLS,O,O,O,O,X
JITZOSL,X,O,O,O,O
JITOLSZ,O,O,O,O,X
JITOLZS,O,O,O,O,X
JITOSLZ,O,O,O,O,X
JITOSZL,O,X,O,O,X
JITOZLS,O,O,O,O,X
JITOZSL,X,O,O,O,X
JILTSZO,O,O,O,X,X
JILTSOZ,O,O,O,O,X
JILTZSO,O,O,X,O,X
JILTZOS,O,O,O,O,X
JILTOSZ,O,O,O,O,X
JILTOZS,O,O,O,O,X
JILSTZO,O,O,O,X,X
JILSTOZ,O,O,O,O,X
JILSZTO,O,X,O,X,X
JILSZOT,X,X,O,X,X
JILSOTZ,O,X,O,O,X
JILSOZT,X,X,O,X,X
JILZTSO,O,O,X,O,X
JILZTOS,O,O,O,O,X
JILZSTO,X,O,X,O,X
JILZSOT,X,X,X,O,X
JILZOTS,X,O,O,O,X
JILZOST,X,X,X,O,X
JILOTSZ,O,O,O,O,X
JILOTZS,O,O,O,O,X
JILOSTZ,O,O,O,O,X
JILOSZT,X,X,O,X,X
JILOZTS,O,O,O,O,X
JILOZST,X,X,X,O,X
JISTLZO,O,O,O,X,O
JISTLOZ,O,O,O,O,X
JISTZLO,O,X,O,O,O
JISTZOL,O,X,O,O,O
JISTOLZ,O,O,O,O,X
JISTOZL,O,X,O,O,X
JISLTZO,O,O,O,X,O
JISLTOZ,O,O,O,O,X
JISLZTO,O,X,O,X,O
JISLZOT,X,X,O,X,O
JISLOTZ,O,X,O,O,X
JISLOZT,O,X,O,X,X
JISZTLO,O,X,O,O,O
JISZTOL,O,X,O,O,O
JISZLTO,O,X,O,O,O
JISZLOT,X,X,O,O,O
JISZOTL,O,X,O,O,O
JISZOLT,O,X,O,O,O
JISOTLZ,O,O,O,O,X
JISOTZL,O,X,O,O,X
JISOLTZ,O,O,O,O,X
JISOLZT,O,X,O,X,X
JISOZTL,O,X,O,O,X
JISOZLT,O,X,O,O,X
JIZTLSO,O,O,X,O,O
JIZTLOS,O,O,O,O,X
JIZTSLO,X,O,O,O,O
JIZTSOL,X,O,O,O,O
JIZTOLS,O,O,O,O,X
JIZTOSL,X,O,O,O,O
JIZLTSO,O,O,X,O,O
JIZLTOS,O,O,O,O,X
JIZLSTO,X,O,X,O,O
JIZLSOT,X,X,X,O,O
JIZLOTS,X,O,O,O,X
JIZLOST,X,O,X,O,X
JIZSTLO,X,O,O,O,O
JIZSTOL,X,O,O,O,O
JIZSLTO,X,O,O,O,O
JIZSLOT,X,X,O,O,O
JIZSOTL,X,O,O,O,O
JIZSOLT,X,O,O,O,O
JIZOTLS,O,O,O,O,X
JIZOTSL,X,O,O,O,O
JIZOLTS,O,O,O,O,X
JIZOLST,X,O,X,O,X
JIZOSTL,X,O,O,O,O
JIZOSLT,X,O,O,O,O
JIOTLSZ,O,O,O,O,X
JIOTLZS,O,O,O,O,X
JIOTSLZ,O,O,O,O,X
JIOTSZL,O,X,O,O,X
JIOTZLS,O,O,O,O,X
JIOTZSL,X,O,O,O,X
JIOLTSZ,O,O,O,O,X
JIOLTZS,O,O,O,O,X
JIOLSTZ,O,O,O,O,X
JIOLSZT,O,X,O,X,X
JIOLZTS,O,O,O,O,X
JIOLZST,X,O,X,O,X
JIOSTLZ,O,O,O,O,X
JIOSTZL,O,X,O,O,X
JIOSLTZ,O,O,O,O,X
JIOSLZT,O,X,O,X,X
JIOSZTL,O,X,O,O,X
JIOSZLT,O,X,O,O,X
JIOZTLS,O,O,O,O,X
JIOZTSL,X,O,O,O,X
JIOZLTS,O,O,O,O,X
JIOZLST,X,O,X,O,X
JIOZSTL,X,O,O,O,X
JIOZSLT,X,O,O,O,X
JLTISZO,O,O,O,X,X
JLTISOZ,O,O,O,O,X
JLTIZSO,O,O,X,O,X
JLTIZOS,O,O,O,O,X
JLTIOSZ,O,O,O,O,X
JLTIOZS,O,O,O,O,X
JLTSIZO,O,O,O,X,X
JLTSIOZ,O,O,O,O,X
JLTSZIO,O,X,O,X,X
JLTSZOI,X,X,O,X,X
JLTSOIZ,O,X,O,O,X
JLTSOZI,X,X,O,X,X
JLTZISO,O,O,X,O,X
JLTZIOS,O,O,O,O,X
JLTZSIO,X,O,X,O,X
JLTZSOI,X,X,X,O,X
JLTZOIS,X,O,O,O,X
JLTZOSI,X,X,X,O,X
JLTOISZ,O,O,O,O,X
JLTOIZS,O,O,O,O,X
JLTOSIZ,O,O,O,O,X
JLTOSZI,X,X,O,X,X
JLTOZIS,O,O,O,O,X
JLTOZSI,X,X,X,O,X
JLITSZO,O,O,O,X,X
JLITSOZ,O,O,O,O,X
JLITZSO,O,O,X,O,X
JLITZOS,O,O,O,O,X
JLITOSZ,O,O,O,O,X
JLITOZS,O,O,O,O,X
JLISTZO,O,O,O,X,X
JLISTOZ,O,O,O,O,X
JLISZTO,O,X,O,X,X
JLISZOT,X,X,O,X,X
JLISOTZ,O,X,O,O,X
JLISOZT,X,X,O,X,X
JLIZTSO,O,O,X,O,X
JLIZTOS,O,O,O,O,X
JLIZSTO,X,O,X,O,X
JLIZSOT,X,X,X,O,X
JLIZOTS,X,O,O,O,X
JLIZOST,X,X,X,O,X
JLIOTSZ,O,O,O,O,X
JLIOTZS,O,O,O,O,X
JLIOSTZ,O,O,O,O,X
JLIOSZT,X,X,O,X,X
JLIOZTS,O,O,O,O,X
JLIOZST,X,X,X,O,X
JLSTIZO,O,O,O,X,X
JLSTIOZ,O,O,O,O,X
JLSTZIO,O,X,O,X,X
JLSTZOI,X,X,O,X,X
JLSTOIZ,O,X,O,O,X
JLSTOZI,X,X,O,X,X
JLSITZO,O,O,O,X,X
JLSITOZ,O,O,O,O,X
JLSIZTO,O,X,O,X,X
JLSIZOT,X,X,O,X,X
JLSIOTZ,O,X,O,O,X
JLSIOZT,X,X,O,X,X
JLSZTIO,O,X,O,X,X
JLSZTOI,X,X,O,X,X
JLSZITO,O,X,O,X,X
JLSZIOT,X,X,O,X,X
JLSZOTI,X,X,O,X,X
JLSZOIT,X,X,O,X,X
JLSOTIZ,O,X,O,O,X
JLSOTZI,X,X,O,X,X
JLSOITZ,O,X,O,O,X
JLSOIZT,X,X,O,X,X
JLSOZTI,X,X,O,X,X
JLSOZIT,X,X,O,X,X
JLZTISO,O,O,X,O,X
JLZTIOS,O,O,O,O,X
JLZTSIO,X,O,X,O,X
JLZTSOI,X,X,X,O,X
JLZTOIS,X,O,O,O,X
JLZTOSI,X,X,X,O,X
JLZITSO,O,O,X,O,X
JLZITOS,O,O,O,O,X
JLZISTO,X,O,X,O,X
JLZISOT,X,X,X,O,X
JLZIOTS,X,O,O,O,X
JLZIOST,X,X,X,O,X
JLZSTIO,X,O,X,O,X
JLZSTOI,X,X,X,O,X
JLZSITO,X,O,X,O,X
JLZSIOT,X,X,X,O,X
JLZSOTI,X,X,X,O,X
JLZSOIT,X,X,X,O,X
JLZOTIS,X,O,O,O,X
JLZOTSI,X,X,X,O,X
JLZOITS,X,O,O,O,X
JLZOIST,X,X,X,O,X
JLZOSTI,X,X,X,O,X
JLZOSIT,X,X,X,O,X
JLOTISZ,O,O,O,O,X
JLOTIZS,O,O,O,O,X
JLOTSIZ,O,O,O,O,X
JLOTSZI,X,X,O,X,X
JLOTZIS,O,O,O,O,X
JLOTZSI,X,X,X,O,X
JLOITSZ,O,O,O,O,X
JLOITZS,O,O,O,O,X
JLOISTZ,O,O,O,O,X
JLOISZT,X,X,O,X,X
JLOIZTS,O,O,O,O,X
JLOIZST,X,X,X,O,X
JLOSTIZ,O,O,O,O,X
JLOSTZI,X,X,O,X,X
JLOSITZ,O,O,O,O,X
JLOSIZT,X,X,O,X,X
JLOSZTI,X,X,O,X,X
JLOSZIT,X,X,O,X,X
JLOZTIS,O,O,O,O,X
JLOZTSI,X,X,X,O,X
JLOZITS,O,O,O,O,X
JLOZIST,X,X,X,O,X
JLOZSTI,X,X,X,O,X
JLOZSIT,X,X,X,O,X
JSTILZO,O,O,O,X,O
JSTILOZ,O,O,O,O,X
JSTIZLO,O,X,O,O,O
JSTIZOL,O,X,O,O,O
JSTIOLZ,O,O,O,O,X
JSTIOZL,O,X,O,O,X
JSTLIZO,O,O,O,X,O
JSTLIOZ,O,O,O,O,X
JSTLZIO,O,X,O,X,O
JSTLZOI,X,X,O,X,O
JSTLOIZ,O,X,O,O,X
JSTLOZI,O,X,O,X,X
JSTZILO,O,X,O,O,O
JSTZIOL,O,X,O,O,O
JSTZLIO,O,X,O,O,O
JSTZLOI,X,X,O,O,O
JSTZOIL,O,X,O,O,O
JSTZOLI,O,X,O,O,O
JSTOILZ,O,O,O,O,X
JSTOIZL,O,X,O,O,X
JSTOLIZ,O,O,O,O,X
JSTOLZI,O,X,O,X,X
JSTOZIL,O,X,O,O,X
JSTOZLI,O,X,O,O,X
JSITLZO,O,O,O,X,O
JSITLOZ,O,O,O,O,X
JSITZLO,O,X,O,O,O
JSITZOL,O,X,O,O,O
JSITOLZ,O,O,O,O,X
JSITOZL,O,X,O,O,X
JSILTZO,O,O,O,X,O
JSILTOZ,O,O,O,O,X
JSILZTO,O,X,O,X,O
JSILZOT,X,X,O,X,O
JSILOTZ,O,X,O,O,X
JSILOZT,O,X,O,X,X
JSIZTLO,O,X,O,O,O
JSIZTOL,O,X,O,O,O
JSIZLTO,O,X,O,O,O
JSIZLOT,X,X,O,O,O
JSIZOTL,O,X,O,O,O
JSIZOLT,O,X,O,O,O
JSIOTLZ,O,O,O,O,X
JSIOTZL,O,X,O,O,X
JSIOLTZ,O,O,O,O,X
JSIOLZT,O,X,O,X,X
JSIOZTL,O,X,O,O,X
JSIOZLT,O,X,O,O,X
JSLTIZO,O,O,O,X,O
JSLTIOZ,O,O,O,O,X
JSLTZIO,O,X,O,X,O
JSLTZOI,X,X,O,X,O
JSLTOIZ,O,X,O,O,X
JSLTOZI,O,X,O,X,X
JSLITZO,O,O,O,X,O
JSLITOZ,O,O,O,O,X
JSLIZTO,O,X,O,X,O
JSLIZOT,X,X,O,X,O
JSLIOTZ,O,X,O,O,X
JSLIOZT,O,X,O,X,X
JSLZTIO,O,X,O,X,O
JSLZTOI,X,X,O,X,O
JSLZITO,O,X,O,X,O
JSLZIOT,X,X,O,X,O
JSLZOTI,X,X,O,X,O
JSLZOIT,X,X,O,X,O
JSLOTIZ,O,X,O,O,X
JSLOTZI,O,X,O,X,X
JSLOITZ,O,X,O,O,X
JSLOIZT,O,X,O,X,X
JSLOZTI,O,X,O,X,X
JSLOZIT,O,X,O,X,X
JSZTILO,O,X,O,O,O
JSZTIOL,O,X,O,O,O
JSZTLIO,O,X,O,O,O
JSZTLOI,X,X,O,O,O
JSZTOIL,O,X,O,O,O
JSZTOLI,O,X,O,O,O
JSZITLO,O,X,O,O,O
JSZITOL,O,X,O,O,O
JSZILTO,O,X,O,O,O
JSZILOT,X,X,O,O,O
JSZIOTL,O,X,O,O,O
JSZIOLT,O,X,O,O,O
JSZLTIO,O,X,O,O,O
JSZLTOI,X,X,O,O,O
JSZLITO,O,X,O,O,O
JSZLIOT,X,X,O,O,O
JSZLOTI,X,X,O,O,O
JSZLOIT,X,X,O,O,O
JSZOTIL,O,X,O,O,O
JSZOTLI,O,X,O,O,O
JSZOITL,O,X,O,O,O
JSZOILT,O,X,O,O,O
JSZOLTI,O,X,O,O,O
JSZOLIT,O,X,O,O,O
JSOTILZ,O,O,O,O,X
JSOTIZL,O,X,O,O,X
JSOTLIZ,O,O,O,O,X
JSOTLZI,O,X,O,X,X
JSOTZIL,O,X,O,O,X
JSOTZLI,O,X,O,O,X
JSOITLZ,O,O,O,O,X
JSOITZL,O,X,O,O,X
JSOILTZ,O,O,O,O,X
JSOILZT,O,X,O,X,X
JSOIZTL,O,X,O,O,X
JSOIZLT,O,X,O,O,X
JSOLTIZ,O,O,O,O,X
JSOLTZI,O,X,O,X,X
JSOLITZ,O,O,O,O,X
JSOLIZT,O,X,O,X,X
JSOLZTI,O,X,O,X,X
JSOLZIT,O,X,O,X,X
JSOZTIL,O,X,O,O,X
JSOZTLI,O,X,O,O,X
JSOZITL,O,X,O,O,X
JSOZILT,O,X,O,O,X
JSOZLTI,O,X,O,O,X
JSOZLIT,O,X,O,O,X
JZTILSO,O,O,X,O,O
JZTILOS,O,O,O,O,X
JZTISLO,X,O,O,O,O
JZTISOL,X,O,O,O,O
JZTIOLS,O,O,O,O,X
JZTIOSL,X,O,O,O,O
JZTLISO,O,O,X,O,O
JZTLIOS,O,O,O,O,X
JZTLSIO,X,O,X,O,O
JZTLSOI,X,X,X,O,O
JZTLOIS,X,O,O,O,X
JZTLOSI,X,O,X,O,X
JZTSILO,X,O,O,O,O
JZTSIOL,X,O,O,O,O
JZTSLIO,X,O,O,O,O
JZTSLOI,X,X,O,O,O
JZTSOIL,X,O,O,O,O
JZTSOLI,X,O,O,O,O
JZTOILS,O,O,O,O,X
JZTOISL,X,O,O,O,O
JZTOLIS,O,O,O,O,X
JZTOLSI,X,O,X,O,X
JZTOSIL,X,O,O,O,O
JZTOSLI,X,O,O,O,O
JZITLSO,O,O,X,O,O
JZITLOS,O,O,O,O,X
JZITSLO,X,O,O,O,O
JZITSOL,X,O,O,O,O
JZITOLS,O,O,O,O,X
JZITOSL,X,O,O,O,O
JZILTSO,O,O,X,O,O
JZILTOS,O,O,O,O,X
JZILSTO,X,O,X,O,O
JZILSOT,X,X,X,O,O
JZILOTS,X,O,O,O,X
JZILOST,X,O,X,O,X
JZISTLO,X,O,O,O,O
JZISTOL,X,O,O,O,O
JZISLTO,X,O,O,O,O
JZISLOT,X,X,O,O,O
JZISOTL,X,O,O,O,O
JZISOLT,X,O,O,O,O
JZIOTLS,O,O,O,O,X
JZIOTSL,X,O,O,O,O
JZIOLTS,O,O,O,O,X
JZIOLST,X,O,X,O,X
JZIOSTL,X,O,O,O,O
JZIOSLT,X,O,O,O,O
JZLTISO,O,O,X,O,O
JZLTIOS,O,O,O,O,X
JZLTSIO,X,O,X,O,O
JZLTSOI,X,X,X,O,O
JZLTOIS,X,O,O,O,X
JZLTOSI,X,O,X,O,X
JZLITSO,O,O,X,O,O
JZLITOS,O,O,O,O,X
JZLISTO,X,O,X,O,O
JZLISOT,X,X,X,O,O
JZLIOTS,X,O,O,O,X
JZLIOST,X,O,X,O,X
JZLSTIO,X,O,X,O,O
JZLSTOI,X,X,X,O,O
JZLSITO,X,O,X,O,O
JZLSIOT,X,X,X,O,O
JZLSOTI,X,X,X,O,O
JZLSOIT,X,X,X,O,O
JZLOTIS,X,O,O,O,X
JZLOTSI,X,O,X,O,X
JZLOITS,X,O,O,O,X
JZLOIST,X,O,X,O,X
JZLOSTI,X,O,X,O,X
JZLOSIT,X,O,X,O,X
JZSTILO,X,O,O,O,O
JZSTIOL,X,O,O,O,O
JZSTLIO,X,O,O,O,O
JZSTLOI,X,X,O,O,O
JZSTOIL,X,O,O,O,O
JZSTOLI,X,O,O,O,O
JZSITLO,X,O,O,O,O
JZSITOL,X,O,O,O,O
JZSILTO,X,O,O,O,O
JZSILOT,X,X,O,O,O
JZSIOTL,X,O,O,O,O
JZSIOLT,X,O,O,O,O
JZSLTIO,X,O,O,O,O
JZSLTOI,X,X,O,O,O
JZSLITO,X,O,O,O,O
JZSLIOT,X,X,O,O,O
JZSLOTI,X,X,O,O,O
JZSLOIT,X,X,O,O,O
JZSOTIL,X,O,O,O,O
JZSOTLI,X,O,O,O,O
JZSOITL,X,O,O,O,O
JZSOILT,X,O,O,O,O
JZSOLTI,X,O,O,O,O
JZSOLIT,X,O,O,O,O
JZOTILS,O,O,O,O,X
JZOTISL,X,O,O,O,O
JZOTLIS,O,O,O,O,X
JZOTLSI,X,O,X,O,X
JZOTSIL,X,O,O,O,O
JZOTSLI,X,O,O,O,O
JZOITLS,O,O,O,O,X
JZOITSL,X,O,O,O,O
JZOILTS,O,O,O,O,X
JZOILST,X,O,X,O,X
JZOISTL,X,O,O,O,O
JZOISLT,X,O,O,O,O
JZOLTIS,O,O,O,O,X
JZOLTSI,X,O,X,O,X
JZOLITS,O,O,O,O,X
JZOLIST,X,O,X,O,X
JZOLSTI,X,O,X,O,X
JZOLSIT,X,O,X,O,X
JZOSTIL,X,O,O,O,O
JZOSTLI,X,O,O,O,O
JZOSITL,X,O,O,O,O
JZOSILT,X,O,O,O,O
JZOSLTI,X,O,O,O,O
JZOSLIT,X,O,O,O,O
JOTILSZ,O,O,O,O,X
JOTILZS,O,O,O,O,X
JOTISLZ,O,O,O,O,X
JOTISZL,O,X,O,O,X
JOTIZLS,O,O,O,O,X
JOTIZSL,X,O,O,O,X
JOTLISZ,O,O,O,O,X
JOTLIZS,O,O,O,O,X
JOTLSIZ,O,O,O,O,X
JOTLSZI,O,X,O,X,X
JOTLZIS,O,O,O,O,X
JOTLZSI,X,O,X,O,X
JOTSILZ,O,O,O,O,X
JOTSIZL,O,X,O,O,X
JOTSLIZ,O,O,O,O,X
JOTSLZI,O,X,O,X,X
JOTSZIL,O,X,O,O,X
JOTSZLI,O,X,O,O,X
JOTZILS,O,O,O,O,X
JOTZISL,X,O,O,O,X
JOTZLIS,O,O,O,O,X
JOTZLSI,X,O,X,O,X
JOTZSIL,X,O,O,O,X
JOTZSLI,X,O,O,O,X
JOITLSZ,O,O,O,O,X
JOITLZS,O,O,O,O,X
JOITSLZ,O,O,O,O,X
JOITSZL,O,X,O,O,X
JOITZLS,O,O,O,O,X
JOITZSL,X,O,O,O,X
JOILTSZ,O,O,O,O,X
JOILTZS,O,O,O,O,X
JOILSTZ,O,O,O,O,X
JOILSZT,O,X,O,X,X
JOILZTS,O,O,O,O,X
JOILZST,X,O,X,O,X
JOISTLZ,O,O,O,O,X
JOISTZL,O,X,O,O,X
JOISLTZ,O,O,O,O,X
JOISLZT,O,X,O,X,X
JOISZTL,O,X,O,O,X
JOISZLT,O,X,O,O,X
JOIZTLS,O,O,O,O,X
JOIZTSL,X,O,O,O,X
JOIZLTS,O,O,O,O,X
JOIZLST,X,O,X,O,X
JOIZSTL,X,O,O,O,X
JOIZSLT,X,O,O,O,X
JOLTISZ,O,O,O,O,X
JOLTIZS,O,O,O,O,X
JOLTSIZ,O,O,O,O,X
JOLTSZI,O,X,O,X,X
JOLTZIS,O,O,O,O,X
JOLTZSI,X,O,X,O,X
JOLITSZ,O,O,O,O,X
JOLITZS,O,O,O,O,X
JOLISTZ,O,O,O,O,X
JOLISZT,O,X,O,X,X
JOLIZTS,O,O,O,O,X
JOLIZST,X,O,X,O,X
JOLSTIZ,O,O,O,O,X
JOLSTZI,O,X,O,X,X
JOLSITZ,O,O,O,O,X
JOLSIZT,O,X,O,X,X
JOLSZTI,O,X,O,X,X
JOLSZIT,O,X,O,X,X
JOLZTIS,O,O,O,O,X
JOLZTSI,X,O,X,O,X
JOLZITS,O,O,O,O,X
JOLZIST,X,O,X,O,X
JOLZSTI,X,O,X,O,X
JOLZSIT,X,O,X,O,X
JOSTILZ,O,O,O,O,X
JOSTIZL,O,X,O,O,X
JOSTLIZ,O,O,O,O,X
JOSTLZI,O,X,O,X,X
JOSTZIL,O,X,O,O,X
JOSTZLI,O,X,O,O,X
JOSITLZ,O,O,O,O,X
JOSITZL,O,X,O,O,X
JOSILTZ,O,O,O,O,X
JOSILZT,O,X,O,X,X
JOSIZTL,O,X,O,O,X
JOSIZLT,O,X,O,O,X
JOSLTIZ,O,O,O,O,X
JOSLTZI,O,X,O,X,X
JOSLITZ,O,O,O,O,X
JOSLIZT,O,X,O,X,X
JOSLZTI,O,X,O,X,X
JOSLZIT,O,X,O,X,X
JOSZTIL,O,X,O,O,X
JOSZTLI,O,X,O,O,X
JOSZITL,O,X,O,O,X
JOSZILT,O,X,O,O,X
JOSZLTI,O,X,O,O,X
JOSZLIT,O,X,O,O,X
JOZTILS,O,O,O,O,X
JOZTISL,X,O,O,O,X
JOZTLIS,O,O,O,O,X
JOZTLSI,X,O,X,O,X
JOZTSIL,X,O,O,O,X
JOZTSLI,X,O,O,O,X
JOZITLS,O,O,O,O,X
JOZITSL,X,O,O,O,X
JOZILTS,O,O,O,O,X
JOZILST,X,O,X,O,X
JOZISTL,X,O,O,O,X
JOZISLT,X,O,O,O,X
JOZLTIS,O,O,O,O,X
JOZLTSI,X,O,X,O,X
JOZLITS,O,O,O,O,X
JOZLIST,X,O,X,O,X
JOZLSTI,X,O,X,O,X
JOZLSIT,X,O,X,O,X
JOZSTIL,X,O,O,O,X
JOZSTLI,X,O,O,O,X
JOZSITL,X,O,O,O,X
JOZSILT,X,O,O,O,X
JOZSLTI,X,O,O,O,X
JOZSLIT,X,O,O,O,X
STILJZO,O,O,O,X,O
STILJOZ,O,O,O,O,X
STILZJO,O,O,O,X,O
STILZOJ,X,X,X,X,O
STILOJZ,O,X,O,X,X
STILOZJ,O,X,X,X,O
STIJLZO,O,O,O,X,O
STIJLOZ,O,O,O,O,X
STIJZLO,O,X,O,O,O
STIJZOL,O,X,O,O,O
STIJOLZ,O,O,O,O,X
STIJOZL,O,X,O,O,X
STIZLJO,O,O,O,O,O
STIZLOJ,X,X,X,X,O
STIZJLO,O,O,O,O,O
STIZJOL,O,O,O,O,O
STIZOLJ,O,O,X,X,O
STIZOJL,O,O,X,X,O
STIOLJZ,O,O,O,X,X
STIOLZJ,O,O,X,X,O
STIOJLZ,O,O,O,X,X
STIOJZL,O,X,O,X,X
STIOZLJ,O,O,X,X,O
STIOZJL,O,O,X,X,O
STLIJZO,O,O,O,X,O
STLIJOZ,O,O,O,O,X
STLIZJO,O,O,O,X,O
STLIZOJ,X,X,X,X,O
STLIOJZ,O,X,O,X,X
STLIOZJ,O,X,X,X,O
STLJIZO,O,O,O,X,O
STLJIOZ,O,O,O,O,X
STLJZIO,O,X,O,X,O
STLJZOI,X,X,O,X,O
STLJOIZ,O,X,O,O,X
STLJOZI,O,X,O,X,X
STLZIJO,O,O,O,X,O
STLZIOJ,X,X,X,X,O
STLZJIO,O,O,O,X,O
STLZJOI,X,X,O,X,O
STLZOIJ,X,X,X,X,O
STLZOJI,X,X,O,X,O
STLOIJZ,O,X,O,X,X
STLOIZJ,O,X,X,X,O
STLOJIZ,O,X,O,O,X
STLOJZI,O,X,O,X,X
STLOZIJ,O,X,X,X,O
STLOZJI,O,X,O,X,O
STJILZO,O,O,O,X,O
STJILOZ,O,O,O,O,X
STJIZLO,O,X,O,O,O
STJIZOL,O,X,O,O,O
STJIOLZ,O,O,O,O,X
STJIOZL,O,X,O,O,X
STJLIZO,O,O,O,X,O
STJLIOZ,O,O,O,O,X
STJLZIO,O,X,O,X,O
STJLZOI,X,X,O,X,O
STJLOIZ,O,X,O,O,X
STJLOZI,O,X,O,X,X
STJZILO,O,X,O,O,O
STJZIOL,O,X,O,O,O
STJZLIO,O,X,O,O,O
STJZLOI,X,X,O,O,O
STJZOIL,O,X,O,O,O
STJZOLI,O,X,O,O,O
STJOILZ,O,O,O,O,X
STJOIZL,O,X,O,O,X
STJOLIZ,O,O,O,O,X
STJOLZI,O,X,O,X,X
STJOZIL,O,X,O,O,X
STJOZLI,O,X,O,O,X
STZILJO,O,O,O,O,O
STZILOJ,X,X,X,X,O
STZIJLO,O,O,O,O,O
STZIJOL,O,O,O,O,O
STZIOLJ,O,O,X,X,O
STZIOJL,O,O,X,X,O
STZLIJO,O,O,O,O,O
STZLIOJ,X,X,X,X,O
STZLJIO,O,O,O,O,O
STZLJOI,X,X,O,O,O
STZLOIJ,X,X,X,X,O
STZLOJI,X,X,O,O,O
STZJILO,O,O,O,O,O
STZJIOL,O,O,O,O,O
STZJLIO,O,O,O,O,O
STZJLOI,X,X,O,O,O
STZJOIL,O,O,O,O,O
STZJOLI,O,O,O,O,O
STZOILJ,O,O,X,X,O
STZOIJL,O,O,X,X,O
STZOLIJ,O,O,X,X,O
STZOLJI,O,O,O,O,O
STZOJIL,O,O,O,O,O
STZOJLI,O,O,O,O,O
STOILJZ,O,O,O,X,X
STOILZJ,O,O,X,X,O
STOIJLZ,O,O,O,X,X
STOIJZL,O,X,O,X,X
STOIZLJ,O,O,X,X,O
STOIZJL,O,O,X,X,O
STOLIJZ,O,O,O,X,X
STOLIZJ,O,O,X,X,O
STOLJIZ,O,O,O,O,X
STOLJZI,O,X,O,X,X
STOLZIJ,O,O,X,X,O
STOLZJI,O,O,O,X,O
STOJILZ,O,O,O,O,X
STOJIZL,O,X,O,O,X
STOJLIZ,O,O,O,O,X
STOJLZI,O,X,O,X,X
STOJZIL,O,X,O,O,X
STOJZLI,O,X,O,O,X
STOZILJ,O,O,X,X,O
STOZIJL,O,O,X,X,O
STOZLIJ,O,O,X,X,O
STOZLJI,O,O,O,O,O
STOZJIL,O,O,O,O,O
STOZJLI,O,O,O,O,O
SITLJZO,O,O,O,X,O
SITLJOZ,O,O,O,O,X
SITLZJO,O,O,O,X,O
SITLZOJ,X,X,X,X,O
SITLOJZ,O,X,O,X,X
SITLOZJ,O,X,X,X,O
SITJLZO,O,O,O,X,O
SITJLOZ,O,O,O,O,X
SITJZLO,O,X,O,O,O
SITJZOL,O,X,O,O,O
SITJOLZ,O,O,O,O,X
SITJOZL,O,X,O,O,X
SITZLJO,O,O,O,O,O
SITZLOJ,X,X,X,X,O
SITZJLO,O,O,O,O,O
SITZJOL,O,O,O,O,O
SITZOLJ,O,O,X,X,O
SITZOJL,O,O,X,X,O
SITOLJZ,O,O,O,X,X
SITOLZJ,O,O,X,X,O
SITOJLZ,O,O,O,X,X
SITOJZL,O,X,O,X,X
SITOZLJ,O,O,X,X,O
SITOZJL,O,O,X,X,O
SILTJZO,O,O,O,X,O
SILTJOZ,O,O,O,O,X
SILTZJO,O,O,O,X,O
SILTZOJ,X,X,X,X,O
SILTOJZ,O,X,O,X,X
SILTOZJ,O,X,X,X,O
SILJTZO,O,O,O,X,O
