sequence,v115@HhA8IeC8CeA8CeC8BeD8Ke0/IvhF6lBThB5oBlnBmn?BXrB,v115@HhA8IeC8CeA8CeC8BeD8Ke0/IvhF6lBThB5oBmnBln?BXrB,v115@HhA8IeC8CeA8CeC8BeD8Ke0/IvhFxgB/nBGmB6tBFo?BzqB,v115@HhA8IeC8CeA8CeC8BeD8Ke0/IvhFxgBTiBWrBVtB6t?BXrB,v115@HhA8IeC8CeA8CeC8BeD8Kel/IvhF3gBTiBeoB5oBCr?BcrB,v115@HhA8IeC8CeA8CeC8BeD8Kel/IvhFTiBxlB6tBuqBcr?BXtB,v115@HhA8IeC8CeA8CeC8BeD8Ke0/IvhFxgB/nBToBCrBFr?BGtB
TILJSZO,X,X,X,X,O,X,X
TILJSOZ,X,X,X,X,O,X,X
TILJZSO,X,X,X,X,O,X,X
TILJZOS,X,X,X,X,O,X,X
TILJOSZ,X,X,X,X,O,O,X
TILJOZS,X,X,X,X,O,O,X
TILSJZO,O,X,X,X,O,X,X
TILSJOZ,O,X,X,X,O,X,X
TILSZJO,O,X,X,X,X,X,X
TILSZOJ,O,X,X,X,X,X,X
TILSOJZ,O,X,X,X,X,O,X
TILSOZJ,O,X,X,X,X,O,X
TILZJSO,O,X,X,X,O,X,X
TILZJOS,X,X,X,X,O,X,X
TILZSJO,O,X,X,X,X,X,X
TILZSOJ,O,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,O,X
TILZOSJ,O,X,X,X,X,O,X
TILOJSZ,X,X,X,X,O,O,X
TILOJZS,X,X,X,X,O,O,X
TILOSJZ,X,X,X,X,X,O,X
TILOSZJ,X,X,X,X,X,O,X
TILOZJS,X,X,X,X,X,O,X
TILOZSJ,X,X,X,X,X,O,X
TIJLSZO,X,X,X,O,O,X,X
TIJLSOZ,X,X,X,O,O,X,X
TIJLZSO,X,X,X,O,O,X,X
TIJLZOS,X,X,X,O,O,X,X
TIJLOSZ,X,X,X,O,O,O,X
TIJLOZS,X,X,X,O,O,O,X
TIJSLZO,O,O,X,O,O,X,X
TIJSLOZ,O,O,X,O,O,X,X
TIJSZLO,O,O,X,O,X,X,X
TIJSZOL,O,O,X,O,X,X,X
TIJSOLZ,O,O,X,O,O,X,X
TIJSOZL,O,O,X,O,X,X,X
TIJZLSO,O,O,X,O,O,X,X
TIJZLOS,X,X,X,O,O,X,X
TIJZSLO,O,O,X,O,X,X,X
TIJZSOL,O,O,X,O,X,X,X
TIJZOLS,X,X,X,O,O,X,X
TIJZOSL,X,X,X,O,X,X,X
TIJOLSZ,X,X,X,O,O,O,X
TIJOLZS,X,X,X,O,O,O,X
TIJOSLZ,X,X,X,O,O,X,X
TIJOSZL,X,X,X,O,X,X,X
TIJOZLS,X,X,X,O,O,X,X
TIJOZSL,X,X,X,O,X,X,X
TISLJZO,O,O,X,X,O,X,X
TISLJOZ,O,O,X,X,O,X,X
TISLZJO,O,O,X,X,X,X,X
TISLZOJ,O,O,X,X,X,X,X
TISLOJZ,O,O,X,X,X,O,X
TISLOZJ,O,O,X,X,X,O,X
TISJLZO,O,O,X,X,O,X,X
TISJLOZ,O,O,X,X,O,X,X
TISJZLO,O,O,X,X,X,X,X
TISJZOL,O,O,X,X,X,X,X
TISJOLZ,O,O,X,X,O,X,X
TISJOZL,O,O,X,X,X,X,X
TISZLJO,O,O,X,X,X,X,X
TISZLOJ,O,O,X,X,X,X,X
TISZJLO,O,O,X,X,X,X,X
TISZJOL,O,O,X,X,X,X,X
TISZOLJ,O,O,X,X,X,X,X
TISZOJL,O,O,X,X,X,X,X
TISOLJZ,O,O,X,X,X,O,X
TISOLZJ,O,O,X,X,X,O,X
TISOJLZ,O,O,X,X,X,X,X
TISOJZL,O,O,X,X,X,X,X
TISOZLJ,O,O,X,X,X,X,X
TISOZJL,O,O,X,X,X,X,X
TIZLJSO,O,O,X,X,O,X,X
TIZLJOS,X,X,X,X,O,X,X
TIZLSJO,O,X,X,X,X,X,X
TIZLSOJ,O,X,X,X,X,X,X
TIZLOJS,X,X,X,X,X,O,X
TIZLOSJ,O,X,X,X,X,O,X
TIZJLSO,O,O,X,O,O,X,X
TIZJLOS,X,X,X,O,O,X,X
TIZJSLO,O,O,X,O,X,X,X
TIZJSOL,O,O,X,O,X,X,X
TIZJOLS,X,X,X,O,O,X,X
TIZJOSL,X,X,X,O,X,X,X
TIZSLJO,O,O,X,X,X,X,X
TIZSLOJ,O,O,X,X,X,X,X
TIZSJLO,O,O,X,X,X,X,X
TIZSJOL,O,O,X,X,X,X,X
TIZSOLJ,O,O,X,X,X,X,X
TIZSOJL,O,O,X,X,X,X,X
TIZOLJS,X,X,X,X,X,O,X
TIZOLSJ,O,X,X,X,X,O,X
TIZOJLS,X,X,X,O,X,X,X
TIZOJSL,X,X,X,O,X,X,X
TIZOSLJ,O,X,X,X,X,X,X
TIZOSJL,O,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,O,O,X
TIOLJZS,X,X,X,X,O,O,X
TIOLSJZ,X,X,X,X,X,O,X
TIOLSZJ,X,X,X,X,X,O,X
TIOLZJS,X,X,X,X,X,O,X
TIOLZSJ,X,X,X,X,X,O,X
TIOJLSZ,X,X,X,O,O,O,X
TIOJLZS,X,X,X,O,O,O,X
TIOJSLZ,X,X,X,O,O,X,X
TIOJSZL,X,X,X,O,X,X,X
TIOJZLS,X,X,X,O,O,X,X
TIOJZSL,X,X,X,O,X,X,X
TIOSLJZ,O,X,X,X,X,O,X
TIOSLZJ,O,X,X,X,X,O,X
TIOSJLZ,O,X,X,X,X,X,X
TIOSJZL,O,X,X,X,X,X,X
TIOSZLJ,O,X,X,X,X,X,X
TIOSZJL,O,X,X,X,X,X,X
TIOZLJS,X,X,X,X,X,O,X
TIOZLSJ,O,X,X,X,X,O,X
TIOZJLS,X,X,X,O,X,X,X
TIOZJSL,X,X,X,O,X,X,X
TIOZSLJ,O,X,X,X,X,X,X
TIOZSJL,O,X,X,X,X,X,X
TLIJSZO,X,X,X,X,O,X,X
TLIJSOZ,X,X,X,X,O,X,X
TLIJZSO,X,X,X,X,O,X,X
TLIJZOS,X,X,X,X,O,X,X
TLIJOSZ,X,X,X,X,O,O,X
TLIJOZS,X,X,X,X,O,O,X
TLISJZO,O,X,X,X,O,X,X
TLISJOZ,O,X,X,X,O,X,X
TLISZJO,O,X,X,X,X,X,X
TLISZOJ,O,X,X,X,X,X,X
TLISOJZ,O,X,X,X,X,O,X
TLISOZJ,O,X,X,X,X,O,X
TLIZJSO,O,X,X,X,O,X,X
TLIZJOS,X,X,X,X,O,X,X
TLIZSJO,O,X,X,X,X,X,X
TLIZSOJ,O,X,X,X,X,X,X
TLIZOJS,X,X,X,X,X,O,X
TLIZOSJ,O,X,X,X,X,O,X
TLIOJSZ,X,X,X,X,O,O,X
