sequence,v115@ChB8HeC8GeB8DeE8NeZEJvhFukBamB9oBTlB3sBUtB,v115@ChB8HeC8GeB8DeE8NeZEJvhFukBamB9oBTlBUtB3sB,v115@ChB8HeC8GeB8DeE8NeZEJvhFqkBTgBemB9oB3sBUtB,v115@ChB8HeC8GeB8DeE8NeZEJvhFqkBTgBemB9oBUtB3sB
LJTZOSI,X,X,X,O
LJTOISZ,X,X,O,X
LJTOIZS,X,X,X,O
LJTOSIZ,X,X,O,X
LJTOSZI,X,X,O,X
LJTOZIS,X,X,X,O
LJTOZSI,X,X,X,O
LJITSZO,X,X,O,X
LJITSOZ,X,X,O,X
LJITZSO,X,X,X,O
LJITZOS,X,X,X,O
LJITOSZ,X,X,O,X
LJITOZS,X,X,X,O
LJISTZO,X,X,O,X
LJISTOZ,O,X,O,X
LJISZTO,X,X,O,O
LJISZOT,X,X,O,O
LJISOTZ,O,X,O,X
LJISOZT,O,X,O,O
LJIZTSO,X,X,X,O
LJIZTOS,X,O,X,O
LJIZSTO,X,X,O,O
LJIZSOT,X,X,O,O
LJIZOTS,X,O,X,O
LJIZOST,X,O,O,O
LJIOTSZ,O,X,O,X
LJIOTZS,X,O,X,O
LJIOSTZ,O,X,O,X
LJIOSZT,O,O,O,O
LJIOZTS,X,O,X,O
LJIOZST,O,O,O,O
LJSTIZO,X,X,O,X
LJSTIOZ,O,X,O,X
LJSTZIO,X,X,O,X
LJSTZOI,X,X,O,X
LJSTOIZ,O,X,O,X
LJSTOZI,O,X,O,X
LJSITZO,X,X,O,X
LJSITOZ,O,X,O,X
LJSIZTO,X,X,O,O
LJSIZOT,X,X,O,O
LJSIOTZ,O,X,O,X
LJSIOZT,O,X,O,O
LJSZTIO,X,X,O,O
LJSZTOI,X,X,O,O
LJSZITO,X,X,O,O
LJSZIOT,X,X,O,O
LJSZOTI,X,X,O,O
LJSZOIT,X,X,O,O
LJSOTIZ,O,X,O,X
LJSOTZI,O,X,O,X
LJSOITZ,O,X,O,X
LJSOIZT,O,X,O,O
LJSOZTI,O,X,O,O
LJSOZIT,O,X,O,O
LJZTISO,X,X,X,O
LJZTIOS,X,O,X,O
LJZTSIO,X,X,X,O
LJZTSOI,X,X,X,O
LJZTOIS,X,O,X,O
LJZTOSI,X,O,X,O
LJZITSO,X,X,X,O
LJZITOS,X,O,X,O
LJZISTO,X,X,O,O
LJZISOT,X,X,O,O
LJZIOTS,X,O,X,O
LJZIOST,X,O,O,O
LJZSTIO,X,X,O,O
LJZSTOI,X,X,O,O
LJZSITO,X,X,O,O
LJZSIOT,X,X,O,O
LJZSOTI,X,X,O,O
LJZSOIT,X,X,O,O
LJZOTIS,X,O,X,O
LJZOTSI,X,O,X,O
LJZOITS,X,O,X,O
LJZOIST,X,O,O,O
LJZOSTI,X,O,O,O
LJZOSIT,X,O,O,O
LJOTISZ,O,X,O,X
LJOTIZS,X,O,X,O
LJOTSIZ,O,X,O,X
LJOTSZI,O,X,O,X
LJOTZIS,X,O,X,O
LJOTZSI,X,O,X,O
LJOITSZ,O,X,O,X
LJOITZS,X,O,X,O
LJOISTZ,O,X,O,X
LJOISZT,O,O,O,O
LJOIZTS,X,O,X,O
LJOIZST,O,O,O,O
LJOSTIZ,O,X,O,X
LJOSTZI,O,X,O,X
LJOSITZ,O,X,O,X
LJOSIZT,O,O,O,O
LJOSZTI,O,O,O,O
LJOSZIT,O,O,O,O
LJOZTIS,X,O,X,O
LJOZTSI,X,O,X,O
LJOZITS,X,O,X,O
LJOZIST,O,O,O,O
LJOZSTI,O,O,O,O
LJOZSIT,O,O,O,O
LSTIJZO,X,X,O,X
LSTIJOZ,O,X,O,X
LSTIZJO,X,X,O,X
LSTIZOJ,O,X,X,X
LSTIOJZ,O,X,O,X
LSTIOZJ,O,X,X,X
LSTJIZO,X,X,O,X
LSTJIOZ,O,X,O,X
LSTJZIO,X,X,O,X
LSTJZOI,X,X,O,X
LSTJOIZ,O,X,O,X
LSTJOZI,O,X,O,X
LSTZIJO,X,X,O,X
LSTZIOJ,O,X,X,X
LSTZJIO,X,X,O,X
LSTZJOI,X,X,O,X
LSTZOIJ,O,X,X,X
LSTZOJI,O,X,X,X
LSTOIJZ,O,X,O,X
LSTOIZJ,O,X,X,X
LSTOJIZ,O,X,O,X
LSTOJZI,O,X,O,X
LSTOZIJ,O,X,X,X
LSTOZJI,O,X,X,X
LSITJZO,X,X,O,X
LSITJOZ,O,X,O,X
LSITZJO,X,X,O,X
LSITZOJ,O,X,X,X
LSITOJZ,O,X,O,X
LSITOZJ,O,X,X,X
LSIJTZO,X,X,O,X
LSIJTOZ,O,X,O,X
LSIJZTO,X,X,O,O
LSIJZOT,X,X,O,O
LSIJOTZ,O,X,O,X
LSIJOZT,O,X,O,O
LSIZTJO,X,X,O,O
LSIZTOJ,O,O,X,X
LSIZJTO,X,X,O,O
LSIZJOT,X,X,O,O
LSIZOTJ,O,O,X,X
LSIZOJT,O,O,X,X
LSIOTJZ,O,X,O,X
LSIOTZJ,O,X,X,X
LSIOJTZ,O,X,O,X
LSIOJZT,O,O,O,X
LSIOZTJ,O,O,X,X
LSIOZJT,O,O,X,X
LSJTIZO,X,X,O,X
LSJTIOZ,O,X,O,X
LSJTZIO,X,X,O,X
LSJTZOI,X,X,O,X
LSJTOIZ,O,X,O,X
LSJTOZI,O,X,O,X
LSJITZO,X,X,O,X
LSJITOZ,O,X,O,X
LSJIZTO,X,X,O,O
LSJIZOT,X,X,O,O
LSJIOTZ,O,X,O,X
LSJIOZT,O,X,O,O
LSJZTIO,X,X,O,O
LSJZTOI,X,X,O,O
LSJZITO,X,X,O,O
LSJZIOT,X,X,O,O
LSJZOTI,X,X,O,O
LSJZOIT,X,X,O,O
LSJOTIZ,O,X,O,X
LSJOTZI,O,X,O,X
LSJOITZ,O,X,O,X
LSJOIZT,O,X,O,O
LSJOZTI,O,X,O,O
LSJOZIT,O,X,O,O
LSZTIJO,X,X,O,O
LSZTIOJ,O,O,X,X
LSZTJIO,X,X,O,O
LSZTJOI,X,X,O,O
LSZTOIJ,O,O,X,X
LSZTOJI,O,O,X,X
LSZITJO,X,X,O,O
LSZITOJ,O,O,X,X
LSZIJTO,X,X,O,O
LSZIJOT,X,X,O,O
LSZIOTJ,O,O,X,X
LSZIOJT,O,O,X,X
LSZJTIO,X,X,O,O
LSZJTOI,X,X,O,O
LSZJITO,X,X,O,O
LSZJIOT,X,X,O,O
LSZJOTI,X,X,O,O
LSZJOIT,X,X,O,O
LSZOTIJ,O,O,X,X
LSZOTJI,O,O,X,X
LSZOITJ,O,O,X,X
LSZOIJT,O,O,X,X
LSZOJTI,O,O,X,X
LSZOJIT,O,O,X,X
LSOTIJZ,O,X,O,X
LSOTIZJ,O,X,X,X
LSOTJIZ,O,X,O,X
LSOTJZI,O,X,O,X
LSOTZIJ,O,X,X,X
LSOTZJI,O,X,X,X
LSOITJZ,O,X,O,X
LSOITZJ,O,X,X,X
LSOIJTZ,O,X,O,X
LSOIJZT,O,O,O,X
LSOIZTJ,O,O,X,X
LSOIZJT,O,O,X,X
LSOJTIZ,O,X,O,X
LSOJTZI,O,X,O,X
LSOJITZ,O,X,O,X
LSOJIZT,O,O,O,X
LSOJZTI,O,O,O,X
LSOJZIT,O,O,O,X
LSOZTIJ,O,O,X,X
LSOZTJI,O,O,X,X
LSOZITJ,O,O,X,X
LSOZIJT,O,O,X,X
LSOZJTI,O,O,X,X
LSOZJIT,O,O,X,X
LZTIJSO,X,X,X,O
LZTIJOS,X,O,X,O
LZTISJO,X,X,X,O
LZTISOJ,X,O,X,X
LZTIOJS,X,O,X,O
LZTIOSJ,X,O,X,X
LZTJISO,X,X,X,O
LZTJIOS,X,O,X,O
LZTJSIO,X,X,X,O
LZTJSOI,X,X,X,O
LZTJOIS,X,O,X,O
LZTJOSI,X,O,X,O
LZTSIJO,X,X,X,O
LZTSIOJ,X,O,X,X
LZTSJIO,X,X,X,O
LZTSJOI,X,X,X,O
LZTSOIJ,X,O,X,X
LZTSOJI,X,O,X,X
LZTOIJS,X,O,X,O
LZTOISJ,X,O,X,X
LZTOJIS,X,O,X,O
LZTOJSI,X,O,X,O
LZTOSIJ,X,O,X,X
LZTOSJI,X,O,X,X
LZITJSO,X,X,X,O
LZITJOS,X,O,X,O
LZITSJO,X,X,X,O
LZITSOJ,X,O,X,X
LZITOJS,X,O,X,O
LZITOSJ,X,O,X,X
LZIJTSO,X,X,X,O
LZIJTOS,X,O,X,O
LZIJSTO,X,X,O,O
LZIJSOT,X,X,O,O
LZIJOTS,X,O,X,O
LZIJOST,X,O,O,O
LZISTJO,X,X,O,O
LZISTOJ,O,O,X,X
LZISJTO,X,X,O,O
LZISJOT,X,X,O,O
LZISOTJ,O,O,X,X
LZISOJT,O,O,X,X
LZIOTJS,X,O,X,O
LZIOTSJ,X,O,X,X
LZIOJTS,X,O,X,O
LZIOJST,O,O,X,O
LZIOSTJ,O,O,X,X
LZIOSJT,O,O,X,X
LZJTISO,X,X,X,O
LZJTIOS,X,O,X,O
LZJTSIO,X,X,X,O
LZJTSOI,X,X,X,O
LZJTOIS,X,O,X,O
LZJTOSI,X,O,X,O
LZJITSO,X,X,X,O
LZJITOS,X,O,X,O
LZJISTO,X,X,O,O
LZJISOT,X,X,O,O
LZJIOTS,X,O,X,O
LZJIOST,X,O,O,O
LZJSTIO,X,X,O,O
LZJSTOI,X,X,O,O
LZJSITO,X,X,O,O
LZJSIOT,X,X,O,O
LZJSOTI,X,X,O,O
LZJSOIT,X,X,O,O
LZJOTIS,X,O,X,O
LZJOTSI,X,O,X,O
LZJOITS,X,O,X,O
LZJOIST,X,O,O,O
LZJOSTI,X,O,O,O
LZJOSIT,X,O,O,O
LZSTIJO,X,X,O,O
LZSTIOJ,O,O,X,X
LZSTJIO,X,X,O,O
LZSTJOI,X,X,O,O
LZSTOIJ,O,O,X,X
LZSTOJI,O,O,X,X
LZSITJO,X,X,O,O
LZSITOJ,O,O,X,X
LZSIJTO,X,X,O,O
LZSIJOT,X,X,O,O
LZSIOTJ,O,O,X,X
LZSIOJT,O,O,X,X
LZSJTIO,X,X,O,O
LZSJTOI,X,X,O,O
LZSJITO,X,X,O,O
LZSJIOT,X,X,O,O
LZSJOTI,X,X,O,O
LZSJOIT,X,X,O,O
LZSOTIJ,O,O,X,X
LZSOTJI,O,O,X,X
LZSOITJ,O,O,X,X
LZSOIJT,O,O,X,X
LZSOJTI,O,O,X,X
LZSOJIT,O,O,X,X
LZOTIJS,X,O,X,O
LZOTISJ,X,O,X,X
LZOTJIS,X,O,X,O
LZOTJSI,X,O,X,O
LZOTSIJ,X,O,X,X
LZOTSJI,X,O,X,X
LZOITJS,X,O,X,O
LZOITSJ,X,O,X,X
LZOIJTS,X,O,X,O
LZOIJST,O,O,X,O
LZOISTJ,O,O,X,X
LZOISJT,O,O,X,X
LZOJTIS,X,O,X,O
LZOJTSI,X,O,X,O
LZOJITS,X,O,X,O
LZOJIST,O,O,X,O
LZOJSTI,O,O,X,O
LZOJSIT,O,O,X,O
LZOSTIJ,O,O,X,X
LZOSTJI,O,O,X,X
LZOSITJ,O,O,X,X
LZOSIJT,O,O,X,X
LZOSJTI,O,O,X,X
LZOSJIT,O,O,X,X
LOTIJSZ,O,X,X,X
LOTIJZS,X,O,X,X
LOTISJZ,O,X,X,X
LOTISZJ,O,X,X,X
LOTIZJS,X,O,X,X
LOTIZSJ,X,O,X,X
LOTJISZ,O,X,X,X
LOTJIZS,X,O,X,X
LOTJSIZ,O,X,X,X
LOTJSZI,O,X,X,X
LOTJZIS,X,O,X,X
LOTJZSI,X,O,X,X
LOTSIJZ,O,X,X,X
LOTSIZJ,O,X,X,X
LOTSJIZ,O,X,X,X
LOTSJZI,O,X,X,X
LOTSZIJ,O,X,X,X
LOTSZJI,O,X,X,X
LOTZIJS,X,O,X,X
LOTZISJ,X,O,X,X
LOTZJIS,X,O,X,X
LOTZJSI,X,O,X,X
LOTZSIJ,X,O,X,X
LOTZSJI,X,O,X,X
LOITJSZ,O,X,X,X
LOITJZS,X,O,X,X
LOITSJZ,O,X,X,X
LOITSZJ,O,X,X,X
LOITZJS,X,O,X,X
LOITZSJ,X,O,X,X
LOIJTSZ,O,X,O,X
LOIJTZS,X,O,X,O
LOIJSTZ,O,X,O,X
LOIJSZT,O,O,O,O
LOIJZTS,X,O,X,O
LOIJZST,O,O,O,O
LOISTJZ,O,X,O,X
LOISTZJ,O,X,X,X
LOISJTZ,O,X,O,X
LOISJZT,O,O,O,X
LOISZTJ,O,O,X,X
LOISZJT,O,O,X,X
LOIZTJS,X,O,X,O
LOIZTSJ,X,O,X,X
LOIZJTS,X,O,X,O
LOIZJST,O,O,X,O
LOIZSTJ,O,O,X,X
LOIZSJT,O,O,X,X
LOJTISZ,O,X,O,X
LOJTIZS,X,O,X,O
LOJTSIZ,O,X,O,X
LOJTSZI,O,X,O,X
LOJTZIS,X,O,X,O
LOJTZSI,X,O,X,O
LOJITSZ,O,X,O,X
LOJITZS,X,O,X,O
LOJISTZ,O,X,O,X
LOJISZT,O,O,O,O
LOJIZTS,X,O,X,O
LOJIZST,O,O,O,O
LOJSTIZ,O,X,O,X
LOJSTZI,O,X,O,X
LOJSITZ,O,X,O,X
LOJSIZT,O,O,O,O
LOJSZTI,O,O,O,O
LOJSZIT,O,O,O,O
LOJZTIS,X,O,X,O
LOJZTSI,X,O,X,O
LOJZITS,X,O,X,O
LOJZIST,O,O,O,O
LOJZSTI,O,O,O,O
LOJZSIT,O,O,O,O
LOSTIJZ,O,X,O,X
LOSTIZJ,O,X,X,X
LOSTJIZ,O,X,O,X
LOSTJZI,O,X,O,X
LOSTZIJ,O,X,X,X
LOSTZJI,O,X,X,X
LOSITJZ,O,X,O,X
LOSITZJ,O,X,X,X
LOSIJTZ,O,X,O,X
LOSIJZT,O,O,O,X
LOSIZTJ,O,O,X,X
LOSIZJT,O,O,X,X
LOSJTIZ,O,X,O,X
LOSJTZI,O,X,O,X
LOSJITZ,O,X,O,X
LOSJIZT,O,O,O,X
LOSJZTI,O,O,O,X
LOSJZIT,O,O,O,X
LOSZTIJ,O,O,X,X
LOSZTJI,O,O,X,X
LOSZITJ,O,O,X,X
LOSZIJT,O,O,X,X
LOSZJTI,O,O,X,X
LOSZJIT,O,O,X,X
LOZTIJS,X,O,X,O
LOZTISJ,X,O,X,X
LOZTJIS,X,O,X,O
LOZTJSI,X,O,X,O
LOZTSIJ,X,O,X,X
LOZTSJI,X,O,X,X
LOZITJS,X,O,X,O
LOZITSJ,X,O,X,X
LOZIJTS,X,O,X,O
LOZIJST,O,O,X,O
LOZISTJ,O,O,X,X
LOZISJT,O,O,X,X
LOZJTIS,X,O,X,O
LOZJTSI,X,O,X,O
LOZJITS,X,O,X,O
LOZJIST,O,O,X,O
LOZJSTI,O,O,X,O
LOZJSIT,O,O,X,O
LOZSTIJ,O,O,X,X
LOZSTJI,O,O,X,X
LOZSITJ,O,O,X,X
LOZSIJT,O,O,X,X
LOZSJTI,O,O,X,X
LOZSJIT,O,O,X,X
JTILSZO,X,X,O,X
JTILSOZ,X,X,O,X
JTILZSO,X,X,X,O
JTILZOS,X,X,X,O
JTILOSZ,X,X,O,X
JTILOZS,X,X,X,O
JTISLZO,X,X,O,X
JTISLOZ,O,X,O,X
JTISZLO,X,X,O,X
JTISZOL,O,X,X,X
JTISOLZ,O,X,O,X
JTISOZL,O,X,X,X
JTIZLSO,X,X,X,O
JTIZLOS,X,O,X,O
JTIZSLO,X,X,X,O
JTIZSOL,X,O,X,X
JTIZOLS,X,O,X,O
JTIZOSL,X,O,X,X
JTIOLSZ,O,X,X,X
JTIOLZS,X,O,X,X
JTIOSLZ,O,X,X,X
JTIOSZL,O,X,X,X
JTIOZLS,X,O,X,X
JTIOZSL,X,O,X,X
JTLISZO,X,X,O,X
JTLISOZ,X,X,O,X
JTLIZSO,X,X,X,O
JTLIZOS,X,X,X,O
JTLIOSZ,X,X,O,X
JTLIOZS,X,X,X,O
JTLSIZO,X,X,O,X
JTLSIOZ,X,X,O,X
JTLSZIO,X,X,O,X
JTLSZOI,X,X,O,X
JTLSOIZ,X,X,O,X
JTLSOZI,X,X,O,X
JTLZISO,X,X,X,O
JTLZIOS,X,X,X,O
JTLZSIO,X,X,X,O
JTLZSOI,X,X,X,O
JTLZOIS,X,X,X,O
JTLZOSI,X,X,X,O
JTLOISZ,X,X,O,X
JTLOIZS,X,X,X,O
JTLOSIZ,X,X,O,X
JTLOSZI,X,X,O,X
JTLOZIS,X,X,X,O
JTLOZSI,X,X,X,O
JTSILZO,X,X,O,X
JTSILOZ,O,X,O,X
JTSIZLO,X,X,O,X
JTSIZOL,O,X,X,X
JTSIOLZ,O,X,O,X
JTSIOZL,O,X,X,X
JTSLIZO,X,X,O,X
JTSLIOZ,O,X,O,X
JTSLZIO,X,X,O,X
JTSLZOI,X,X,O,X
JTSLOIZ,O,X,O,X
JTSLOZI,O,X,O,X
JTSZILO,X,X,O,X
JTSZIOL,O,X,X,X
JTSZLIO,X,X,O,X
JTSZLOI,X,X,O,X
JTSZOIL,O,X,X,X
JTSZOLI,O,X,O,X
JTSOILZ,O,X,O,X
JTSOIZL,O,X,X,X
JTSOLIZ,O,X,O,X
JTSOLZI,O,X,O,X
JTSOZIL,O,X,X,X
JTSOZLI,O,X,O,X
JTZILSO,X,X,X,O
JTZILOS,X,O,X,O
JTZISLO,X,X,X,O
JTZISOL,X,O,X,X
JTZIOLS,X,O,X,O
JTZIOSL,X,O,X,X
JTZLISO,X,X,X,O
JTZLIOS,X,O,X,O
JTZLSIO,X,X,X,O
JTZLSOI,X,X,X,O
JTZLOIS,X,O,X,O
JTZLOSI,X,O,X,O
JTZSILO,X,X,X,O
JTZSIOL,X,O,X,X
JTZSLIO,X,X,X,O
JTZSLOI,X,X,X,O
JTZSOIL,X,O,X,X
JTZSOLI,X,O,X,O
JTZOILS,X,O,X,O
JTZOISL,X,O,X,X
JTZOLIS,X,O,X,O
JTZOLSI,X,O,X,O
JTZOSIL,X,O,X,X
JTZOSLI,X,O,X,O
JTOILSZ,O,X,X,X
JTOILZS,X,O,X,X
JTOISLZ,O,X,X,X
JTOISZL,O,X,X,X
JTOIZLS,X,O,X,X
JTOIZSL,X,O,X,X
JTOLISZ,O,X,O,X
JTOLIZS,X,O,X,O
JTOLSIZ,O,X,O,X
JTOLSZI,O,X,O,X
JTOLZIS,X,O,X,O
JTOLZSI,X,O,X,O
JTOSILZ,O,X,O,X
JTOSIZL,O,X,X,X
JTOSLIZ,O,X,O,X
JTOSLZI,O,X,O,X
JTOSZIL,O,X,X,X
JTOSZLI,O,X,O,X
JTOZILS,X,O,X,O
JTOZISL,X,O,X,X
JTOZLIS,X,O,X,O
JTOZLSI,X,O,X,O
JTOZSIL,X,O,X,X
JTOZSLI,X,O,X,O
JITLSZO,X,X,O,X
JITLSOZ,X,X,O,X
JITLZSO,X,X,X,O
JITLZOS,X,X,X,O
JITLOSZ,X,X,O,X
JITLOZS,X,X,X,O
JITSLZO,X,X,O,X
JITSLOZ,O,X,O,X
JITSZLO,X,X,O,X
JITSZOL,O,X,X,X
JITSOLZ,O,X,O,X
JITSOZL,O,X,X,X
JITZLSO,X,X,X,O
JITZLOS,X,O,X,O
JITZSLO,X,X,X,O
JITZSOL,X,O,X,X
JITZOLS,X,O,X,O
JITZOSL,X,O,X,X
JITOLSZ,O,X,X,X
JITOLZS,X,O,X,X
JITOSLZ,O,X,X,X
JITOSZL,O,X,X,X
JITOZLS,X,O,X,X
JITOZSL,X,O,X,X
JILTSZO,X,X,O,X
JILTSOZ,X,X,O,X
JILTZSO,X,X,X,O
JILTZOS,X,X,X,O
JILTOSZ,X,X,O,X
JILTOZS,X,X,X,O
JILSTZO,X,X,O,X
JILSTOZ,O,X,O,X
JILSZTO,X,X,O,O
JILSZOT,X,X,O,O
JILSOTZ,O,X,O,X
JILSOZT,O,X,O,O
JILZTSO,X,X,X,O
JILZTOS,X,O,X,O
JILZSTO,X,X,O,O
JILZSOT,X,X,O,O
JILZOTS,X,O,X,O
JILZOST,X,O,O,O
JILOTSZ,O,X,O,X
JILOTZS,X,O,X,O
JILOSTZ,O,X,O,X
JILOSZT,O,O,O,O
JILOZTS,X,O,X,O
JILOZST,O,O,O,O
JISTLZO,X,X,O,X
JISTLOZ,O,X,O,X
JISTZLO,X,X,O,X
JISTZOL,O,X,X,X
JISTOLZ,O,X,O,X
JISTOZL,O,X,X,X
JISLTZO,X,X,O,X
JISLTOZ,O,X,O,X
JISLZTO,X,X,O,O
JISLZOT,X,X,O,O
JISLOTZ,O,X,O,X
JISLOZT,O,X,O,O
JISZTLO,X,X,O,O
JISZTOL,O,O,X,X
JISZLTO,X,X,O,O
JISZLOT,X,X,O,O
JISZOTL,O,O,X,X
JISZOLT,O,O,X,X
JISOTLZ,O,X,O,X
JISOTZL,O,X,X,X
JISOLTZ,O,X,O,X
JISOLZT,O,O,O,X
JISOZTL,O,O,X,X
JISOZLT,O,O,X,X
JIZTLSO,X,X,X,O
JIZTLOS,X,O,X,O
JIZTSLO,X,X,X,O
JIZTSOL,X,O,X,X
JIZTOLS,X,O,X,O
JIZTOSL,X,O,X,X
JIZLTSO,X,X,X,O
JIZLTOS,X,O,X,O
JIZLSTO,X,X,O,O
JIZLSOT,X,X,O,O
JIZLOTS,X,O,X,O
JIZLOST,X,O,O,O
JIZSTLO,X,X,O,O
JIZSTOL,O,O,X,X
JIZSLTO,X,X,O,O
JIZSLOT,X,X,O,O
JIZSOTL,O,O,X,X
JIZSOLT,O,O,X,X
JIZOTLS,X,O,X,O
JIZOTSL,X,O,X,X
JIZOLTS,X,O,X,O
JIZOLST,O,O,X,O
JIZOSTL,O,O,X,X
JIZOSLT,O,O,X,X
JIOTLSZ,O,X,X,X
JIOTLZS,X,O,X,X
JIOTSLZ,O,X,X,X
JIOTSZL,O,X,X,X
JIOTZLS,X,O,X,X
JIOTZSL,X,O,X,X
JIOLTSZ,O,X,O,X
JIOLTZS,X,O,X,O
JIOLSTZ,O,X,O,X
JIOLSZT,O,O,O,O
JIOLZTS,X,O,X,O
JIOLZST,O,O,O,O
JIOSTLZ,O,X,O,X
JIOSTZL,O,X,X,X
JIOSLTZ,O,X,O,X
JIOSLZT,O,O,O,X
JIOSZTL,O,O,X,X
JIOSZLT,O,O,X,X
JIOZTLS,X,O,X,O
JIOZTSL,X,O,X,X
JIOZLTS,X,O,X,O
JIOZLST,O,O,X,O
JIOZSTL,O,O,X,X
JIOZSLT,O,O,X,X
JLTISZO,X,X,O,X
JLTISOZ,X,X,O,X
JLTIZSO,X,X,X,O
JLTIZOS,X,X,X,O
JLTIOSZ,X,X,O,X
JLTIOZS,X,X,X,O
JLTSIZO,X,X,O,X
JLTSIOZ,X,X,O,X
JLTSZIO,X,X,O,X
JLTSZOI,X,X,O,X
JLTSOIZ,X,X,O,X
JLTSOZI,X,X,O,X
JLTZISO,X,X,X,O
JLTZIOS,X,X,X,O
JLTZSIO,X,X,X,O
JLTZSOI,X,X,X,O
JLTZOIS,X,X,X,O
JLTZOSI,X,X,X,O
JLTOISZ,X,X,O,X
JLTOIZS,X,X,X,O
JLTOSIZ,X,X,O,X
JLTOSZI,X,X,O,X
JLTOZIS,X,X,X,O
JLTOZSI,X,X,X,O
JLITSZO,X,X,O,X
JLITSOZ,X,X,O,X
JLITZSO,X,X,X,O
JLITZOS,X,X,X,O
JLITOSZ,X,X,O,X
JLITOZS,X,X,X,O
JLISTZO,X,X,O,X
JLISTOZ,O,X,O,X
JLISZTO,X,X,O,O
JLISZOT,X,X,O,O
JLISOTZ,O,X,O,X
JLISOZT,O,X,O,O
JLIZTSO,X,X,X,O
JLIZTOS,X,O,X,O
JLIZSTO,X,X,O,O
JLIZSOT,X,X,O,O
JLIZOTS,X,O,X,O
JLIZOST,X,O,O,O
JLIOTSZ,O,X,O,X
JLIOTZS,X,O,X,O
JLIOSTZ,O,X,O,X
JLIOSZT,O,O,O,O
JLIOZTS,X,O,X,O
JLIOZST,O,O,O,O
JLSTIZO,X,X,O,X
JLSTIOZ,O,X,O,X
JLSTZIO,X,X,O,X
JLSTZOI,X,X,O,X
JLSTOIZ,O,X,O,X
JLSTOZI,O,X,O,X
JLSITZO,X,X,O,X
JLSITOZ,O,X,O,X
JLSIZTO,X,X,O,O
JLSIZOT,X,X,O,O
JLSIOTZ,O,X,O,X
JLSIOZT,O,X,O,O
JLSZTIO,X,X,O,O
JLSZTOI,X,X,O,O
JLSZITO,X,X,O,O
JLSZIOT,X,X,O,O
JLSZOTI,X,X,O,O
JLSZOIT,X,X,O,O
JLSOTIZ,O,X,O,X
JLSOTZI,O,X,O,X
JLSOITZ,O,X,O,X
JLSOIZT,O,X,O,O
JLSOZTI,O,X,O,O
JLSOZIT,O,X,O,O
JLZTISO,X,X,X,O
JLZTIOS,X,O,X,O
JLZTSIO,X,X,X,O
JLZTSOI,X,X,X,O
JLZTOIS,X,O,X,O
JLZTOSI,X,O,X,O
JLZITSO,X,X,X,O
JLZITOS,X,O,X,O
JLZISTO,X,X,O,O
JLZISOT,X,X,O,O
JLZIOTS,X,O,X,O
JLZIOST,X,O,O,O
JLZSTIO,X,X,O,O
JLZSTOI,X,X,O,O
JLZSITO,X,X,O,O
JLZSIOT,X,X,O,O
JLZSOTI,X,X,O,O
JLZSOIT,X,X,O,O
JLZOTIS,X,O,X,O
JLZOTSI,X,O,X,O
JLZOITS,X,O,X,O
JLZOIST,X,O,O,O
JLZOSTI,X,O,O,O
JLZOSIT,X,O,O,O
JLOTISZ,O,X,O,X
JLOTIZS,X,O,X,O
JLOTSIZ,O,X,O,X
JLOTSZI,O,X,O,X
JLOTZIS,X,O,X,O
JLOTZSI,X,O,X,O
JLOITSZ,O,X,O,X
JLOITZS,X,O,X,O
JLOISTZ,O,X,O,X
JLOISZT,O,O,O,O
JLOIZTS,X,O,X,O
JLOIZST,O,O,O,O
JLOSTIZ,O,X,O,X
JLOSTZI,O,X,O,X
JLOSITZ,O,X,O,X
JLOSIZT,O,O,O,O
JLOSZTI,O,O,O,O
JLOSZIT,O,O,O,O
JLOZTIS,X,O,X,O
JLOZTSI,X,O,X,O
JLOZITS,X,O,X,O
JLOZIST,O,O,O,O
JLOZSTI,O,O,O,O
JLOZSIT,O,O,O,O
JSTILZO,X,X,O,X
JSTILOZ,O,X,O,X
JSTIZLO,X,X,O,X
JSTIZOL,O,X,X,X
JSTIOLZ,O,X,O,X
JSTIOZL,O,X,X,X
JSTLIZO,X,X,O,X
JSTLIOZ,O,X,O,X
JSTLZIO,X,X,O,X
JSTLZOI,X,X,O,X
JSTLOIZ,O,X,O,X
JSTLOZI,O,X,O,X
JSTZILO,X,X,O,X
JSTZIOL,O,X,X,X
JSTZLIO,X,X,O,X
JSTZLOI,X,X,O,X
JSTZOIL,O,X,X,X
JSTZOLI,O,X,O,X
JSTOILZ,O,X,O,X
JSTOIZL,O,X,X,X
JSTOLIZ,O,X,O,X
JSTOLZI,O,X,O,X
JSTOZIL,O,X,X,X
JSTOZLI,O,X,O,X
JSITLZO,X,X,O,X
JSITLOZ,O,X,O,X
JSITZLO,X,X,O,X
JSITZOL,O,X,X,X
JSITOLZ,O,X,O,X
JSITOZL,O,X,X,X
JSILTZO,X,X,O,X
JSILTOZ,O,X,O,X
JSILZTO,X,X,O,O
JSILZOT,X,X,O,O
JSILOTZ,O,X,O,X
JSILOZT,O,X,O,O
JSIZTLO,X,X,O,O
JSIZTOL,O,O,X,X
JSIZLTO,X,X,O,O
JSIZLOT,X,X,O,O
JSIZOTL,O,O,X,X
JSIZOLT,O,O,X,X
JSIOTLZ,O,X,O,X
JSIOTZL,O,X,X,X
JSIOLTZ,O,X,O,X
