sequence,v115@HhA8IeF8DeB8CeC8Lel/IvhF3gBzhBGjBxsByvBUtB,v115@HhA8IeF8DeB8CeC8Le0/IvhFlgBfnBxiBznB+tByvB,v115@HhA8IeF8DeB8CeC8Lel/IvhFymBziB5oBmsBcqBXrB,v115@HhA8IeF8DeB8CeC8Le0/IvhFmgBzhBxsBftB6tB1vB,v115@HhA8IeF8DeB8CeC8Lel/IvhFzgBfnBxiBStB2vBUtB,v115@HhA8IeF8DeB8CeC8Le0/IvhFzgBfnB5oBatBlnB2vB,v115@HhA8IeF8DeB8CeC8Lel/IvhFymBziBxsBcqB+tBXrB,v115@HhA8IeF8DeB8CeC8Lel/IvhFRiBSoBUnBTtBmqB3qB,v115@HhA8IeF8DeB8CeC8Le0/IvhFmgBfnBxiBCoBTtB1vB
TIOJLSZ,O,X,O,O,X,X,O,X,X
TIOJLZS,O,X,O,O,X,X,O,X,X
TIOJSLZ,X,X,O,O,X,X,O,X,X
TIOJSZL,X,X,O,O,X,X,O,X,X
TIOJZLS,O,X,O,O,X,X,O,X,X
TIOJZSL,O,X,O,O,X,X,O,X,X
TIOSLJZ,O,X,X,O,O,X,X,X,X
TIOSLZJ,O,X,X,O,O,O,X,X,X
TIOSJLZ,X,X,X,O,O,X,X,X,X
TIOSJZL,O,X,X,O,X,X,X,X,X
TIOSZLJ,O,X,X,O,O,O,X,X,X
TIOSZJL,O,X,X,O,X,X,X,X,X
TIOZLJS,O,X,X,O,X,X,O,O,X
TIOZLSJ,O,X,X,O,X,O,X,O,X
TIOZJLS,O,X,X,O,X,X,O,O,X
TIOZJSL,O,X,X,O,X,X,O,O,X
TIOZSLJ,O,X,X,O,X,O,X,O,X
TIOZSJL,O,X,X,O,X,X,X,O,X
TLIJSZO,O,X,O,X,X,X,O,X,X
TLIJSOZ,O,X,O,X,X,X,O,X,X
TLIJZSO,O,X,O,X,X,X,O,X,X
TLIJZOS,O,X,O,X,X,X,O,X,X
TLIJOSZ,O,X,O,X,X,X,O,X,X
TLIJOZS,O,X,O,X,X,X,O,X,X
TLISJZO,O,X,O,X,O,X,O,X,X
TLISJOZ,O,X,O,X,O,X,O,X,X
TLISZJO,O,X,X,X,O,X,O,X,X
TLISZOJ,O,X,X,X,O,O,X,X,X
TLISOJZ,O,X,X,X,O,X,X,X,X
TLISOZJ,O,X,X,X,X,O,X,X,X
TLIZJSO,O,X,O,X,X,X,O,X,X
TLIZJOS,O,X,O,X,X,X,O,X,X
TLIZSJO,O,X,X,X,X,X,O,X,X
TLIZSOJ,O,X,X,X,X,O,X,X,X
TLIZOJS,O,X,X,X,X,X,O,X,X
TLIZOSJ,O,X,X,X,X,O,X,X,X
TLIOJSZ,O,X,O,X,X,X,O,X,X
TLIOJZS,O,X,O,X,X,X,O,X,X
TLIOSJZ,O,X,X,X,O,X,X,X,X
TLIOSZJ,O,X,X,X,O,O,X,X,X
TLIOZJS,O,X,X,X,X,X,O,X,X
TLIOZSJ,O,X,X,X,X,O,X,X,X
TLJISZO,X,X,O,X,X,X,O,X,X
TLJISOZ,X,X,O,X,X,X,O,X,X
TLJIZSO,X,X,O,X,X,X,O,X,X
TLJIZOS,X,X,O,X,X,X,O,X,X
TLJIOSZ,X,X,O,X,X,X,O,X,X
TLJIOZS,X,X,O,X,X,X,O,X,X
TLJSIZO,X,O,O,X,O,X,X,X,X
TLJSIOZ,X,X,O,X,O,X,X,X,X
TLJSZIO,X,O,X,X,O,X,X,X,X
TLJSZOI,X,O,X,X,O,X,X,X,X
TLJSOIZ,X,O,O,X,O,X,X,X,X
TLJSOZI,X,O,X,X,O,X,X,X,X
TLJZISO,X,X,O,X,X,X,X,X,X
TLJZIOS,X,X,O,X,X,X,X,X,X
TLJZSIO,X,O,X,X,X,X,X,X,X
TLJZSOI,X,O,X,X,X,X,X,X,X
TLJZOIS,X,X,O,X,X,X,X,X,X
TLJZOSI,X,O,X,X,X,X,X,X,X
TLJOISZ,X,X,O,X,X,X,X,X,X
TLJOIZS,X,X,O,X,X,X,X,X,X
TLJOSIZ,X,O,O,X,O,X,X,X,X
TLJOSZI,X,O,X,X,O,X,X,X,X
TLJOZIS,X,X,O,X,X,X,X,X,X
TLJOZSI,X,O,X,X,X,X,X,X,X
TLSIJZO,X,X,O,X,O,X,O,X,X
TLSIJOZ,X,X,O,X,O,X,O,X,X
TLSIZJO,O,O,X,X,O,X,O,X,X
TLSIZOJ,O,X,X,X,O,O,X,X,X
TLSIOJZ,X,X,X,X,O,X,X,X,X
TLSIOZJ,O,X,X,X,O,O,X,X,X
TLSJIZO,X,O,O,X,O,X,X,X,X
TLSJIOZ,X,X,O,X,O,X,X,X,X
TLSJZIO,X,O,X,X,O,X,X,X,X
TLSJZOI,X,O,X,X,O,X,X,X,X
TLSJOIZ,X,O,O,X,O,X,X,X,X
TLSJOZI,X,O,X,X,O,X,X,X,X
