sequence,v115@NhA8HeC8BeA8BeG8Jei/IvhFRhBziB+oBFlBXmB0pB,v115@NhA8HeC8BeA8BeG8JeKEJvhFzfBRhBGjBFmBUoBXqB,v115@NhA8HeC8BeA8BeG8JeKEJvhFRhBGjBFlBXmBUoBzpB,v115@NhA8HeC8BeA8BeG8Jex/IvhFlhBSoBTkBmlBUoBXqB,v115@NhA8HeC8BeA8BeG8JeOEJvhFlhBfoB6oBRlB0lBzpB,v115@NhA8HeC8BeA8BeG8JelAJvhF3hBziB+oBikBRqB0pB
TOJZSIL,X,X,X,X,O,X
TOJZSLI,X,X,X,X,O,X
TOSILJZ,X,O,X,X,O,X
TOSILZJ,X,O,X,X,O,X
TOSIJLZ,X,X,X,X,O,X
TOSIJZL,X,X,X,X,O,X
TOSIZLJ,X,O,X,X,O,X
TOSIZJL,X,O,X,X,O,X
TOSLIJZ,X,O,X,X,O,X
TOSLIZJ,X,O,X,X,O,X
TOSLJIZ,X,O,X,O,O,X
TOSLJZI,X,O,X,O,O,X
TOSLZIJ,X,O,X,X,O,X
TOSLZJI,X,O,X,X,O,X
TOSJILZ,X,X,X,O,O,X
TOSJIZL,X,X,X,O,O,X
TOSJLIZ,X,X,X,O,O,X
TOSJLZI,X,X,X,O,O,X
TOSJZIL,X,X,X,O,O,X
TOSJZLI,X,X,X,O,O,X
TOSZILJ,X,O,X,X,O,X
TOSZIJL,X,O,X,X,O,X
TOSZLIJ,X,O,X,X,O,X
TOSZLJI,X,O,X,X,O,X
TOSZJIL,X,O,X,X,O,X
TOSZJLI,X,O,X,X,O,X
TOZILJS,X,O,X,X,X,X
TOZILSJ,X,O,X,X,X,X
TOZIJLS,X,O,X,X,X,X
TOZIJSL,X,O,X,X,O,X
TOZISLJ,X,O,X,X,O,X
TOZISJL,X,O,X,X,O,X
TOZLIJS,X,O,X,X,X,X
TOZLISJ,X,O,X,X,X,X
TOZLJIS,X,O,X,O,X,X
TOZLJSI,X,O,X,O,X,X
TOZLSIJ,X,O,X,X,X,X
TOZLSJI,X,O,X,X,X,X
TOZJILS,X,O,X,O,X,X
TOZJISL,X,O,X,X,O,X
TOZJLIS,X,O,X,O,X,X
TOZJLSI,X,O,X,O,X,X
TOZJSIL,X,O,X,X,O,X
TOZJSLI,X,O,X,X,O,X
TOZSILJ,X,O,X,X,O,X
TOZSIJL,X,O,X,X,O,X
TOZSLIJ,X,O,X,X,O,X
TOZSLJI,X,O,X,X,O,X
TOZSJIL,X,O,X,X,O,X
TOZSJLI,X,O,X,X,O,X
ITLJSZO,X,O,X,X,X,O
ITLJSOZ,X,O,X,O,X,O
ITLJZSO,X,O,X,X,X,O
ITLJZOS,X,O,X,X,X,O
ITLJOSZ,X,X,X,O,X,O
ITLJOZS,X,O,X,O,X,O
ITLSJZO,X,O,O,X,X,O
ITLSJOZ,X,O,X,O,X,O
ITLSZJO,X,O,O,X,X,O
ITLSZOJ,X,O,O,X,X,X
ITLSOJZ,X,O,X,X,X,O
ITLSOZJ,X,O,O,X,X,X
ITLZJSO,X,O,O,X,X,O
ITLZJOS,X,O,X,X,X,O
ITLZSJO,X,O,O,X,X,O
ITLZSOJ,X,O,O,X,X,X
ITLZOJS,X,O,X,X,X,X
ITLZOSJ,X,O,X,X,X,X
ITLOJSZ,X,X,X,O,X,O
ITLOJZS,X,O,X,O,X,O
ITLOSJZ,X,O,X,X,X,O
ITLOSZJ,X,O,X,X,X,X
ITLOZJS,X,O,X,X,X,X
ITLOZSJ,X,O,X,X,X,X
ITJLSZO,X,O,X,X,X,O
ITJLSOZ,X,O,X,O,X,O
ITJLZSO,X,O,X,X,X,O
ITJLZOS,X,O,X,X,X,O
ITJLOSZ,X,X,X,O,X,O
ITJLOZS,X,O,X,O,X,O
ITJSLZO,O,O,X,X,X,O
ITJSLOZ,O,O,X,O,O,O
ITJSZLO,O,O,X,X,X,O
ITJSZOL,O,O,X,X,X,O
ITJSOLZ,O,X,X,O,O,O
ITJSOZL,O,X,X,O,O,O
ITJZLSO,O,O,X,X,X,O
ITJZLOS,O,O,X,X,X,O
ITJZSLO,O,O,X,X,X,O
ITJZSOL,O,O,X,X,X,O
ITJZOLS,O,O,X,X,X,O
ITJZOSL,O,O,X,X,X,O
ITJOLSZ,X,X,X,O,O,O
ITJOLZS,X,X,X,O,X,O
ITJOSLZ,O,X,X,O,O,O
ITJOSZL,O,X,X,X,O,O
ITJOZLS,O,X,X,O,X,O
ITJOZSL,O,X,X,X,O,O
ITSLJZO,O,O,O,X,X,O
ITSLJOZ,O,O,X,O,O,O
ITSLZJO,O,O,O,X,X,O
ITSLZOJ,X,O,O,X,X,X
ITSLOJZ,O,O,X,X,O,O
ITSLOZJ,X,O,O,X,O,X
ITSJLZO,O,O,X,X,X,O
ITSJLOZ,O,O,X,O,O,O
ITSJZLO,O,O,X,X,X,O
ITSJZOL,O,O,X,X,X,O
ITSJOLZ,O,X,X,O,O,O
ITSJOZL,O,X,X,O,O,O
ITSZLJO,O,O,O,X,X,O
ITSZLOJ,O,O,O,X,X,X
ITSZJLO,O,O,O,X,X,O
ITSZJOL,O,O,X,X,X,O
ITSZOLJ,O,O,X,X,X,X
ITSZOJL,O,O,X,X,X,X
ITSOLJZ,O,O,X,X,O,O
ITSOLZJ,X,O,X,X,O,X
ITSOJLZ,O,X,X,X,O,O
ITSOJZL,O,X,X,X,O,O
ITSOZLJ,X,O,X,X,O,X
ITSOZJL,X,O,X,X,O,X
ITZLJSO,O,O,O,X,X,O
ITZLJOS,O,O,X,X,X,O
ITZLSJO,O,O,O,X,X,O
ITZLSOJ,X,O,O,X,X,X
ITZLOJS,O,O,X,X,X,X
ITZLOSJ,X,O,X,X,X,X
ITZJLSO,O,O,O,X,X,O
ITZJLOS,O,O,X,X,X,O
ITZJSLO,O,O,O,X,X,O
ITZJSOL,O,O,X,X,X,O
ITZJOLS,O,O,X,X,X,O
ITZJOSL,O,O,X,X,X,O
ITZSLJO,O,O,O,X,X,O
ITZSLOJ,O,O,O,X,X,X
ITZSJLO,O,O,O,X,X,O
ITZSJOL,O,O,X,X,X,O
ITZSOLJ,O,O,X,X,X,X
ITZSOJL,O,O,X,X,X,X
ITZOLJS,O,O,X,X,X,X
ITZOLSJ,X,O,X,X,X,X
ITZOJLS,O,O,X,X,X,X
ITZOJSL,O,O,X,X,X,X
ITZOSLJ,X,O,X,X,X,X
ITZOSJL,X,O,X,X,X,X
ITOLJSZ,X,X,X,O,O,O
ITOLJZS,X,O,X,O,X,O
ITOLSJZ,X,O,X,X,O,O
ITOLSZJ,X,O,X,X,O,X
ITOLZJS,X,O,X,X,X,X
ITOLZSJ,X,O,X,X,X,X
ITOJLSZ,X,X,X,O,O,O
ITOJLZS,X,X,X,O,X,O
ITOJSLZ,X,X,X,O,O,O
ITOJSZL,X,X,X,X,O,O
ITOJZLS,X,X,X,O,X,O
ITOJZSL,X,X,X,X,O,O
ITOSLJZ,X,O,X,X,O,O
ITOSLZJ,X,O,X,X,O,X
ITOSJLZ,X,X,X,X,O,O
ITOSJZL,X,X,X,X,O,O
ITOSZLJ,X,O,X,X,O,X
ITOSZJL,X,O,X,X,O,X
ITOZLJS,X,O,X,X,X,X
ITOZLSJ,X,O,X,X,X,X
ITOZJLS,X,O,X,X,X,X
ITOZJSL,X,O,X,X,O,X
ITOZSLJ,X,O,X,X,O,X
ITOZSJL,X,O,X,X,O,X
ILTJSZO,X,O,X,X,X,O
ILTJSOZ,X,O,X,O,X,O
ILTJZSO,X,O,X,X,X,O
ILTJZOS,X,O,X,X,X,O
ILTJOSZ,X,X,X,O,X,O
ILTJOZS,X,O,X,O,X,O
ILTSJZO,X,O,O,X,X,O
ILTSJOZ,X,O,X,O,X,O
ILTSZJO,X,O,O,X,X,O
ILTSZOJ,X,O,O,X,X,X
ILTSOJZ,X,O,X,X,X,O
ILTSOZJ,X,O,O,X,X,X
ILTZJSO,X,O,O,X,X,O
ILTZJOS,X,O,X,X,X,O
ILTZSJO,X,O,O,X,X,O
ILTZSOJ,X,O,O,X,X,X
ILTZOJS,X,O,X,X,X,X
ILTZOSJ,X,O,X,X,X,X
ILTOJSZ,X,X,X,O,X,O
ILTOJZS,X,O,X,O,X,O
ILTOSJZ,X,O,X,X,X,O
ILTOSZJ,X,O,X,X,X,X
ILTOZJS,X,O,X,X,X,X
ILTOZSJ,X,O,X,X,X,X
ILJTSZO,X,O,X,X,X,O
ILJTSOZ,X,O,X,O,X,O
ILJTZSO,X,O,X,X,X,O
ILJTZOS,X,O,X,X,X,O
ILJTOSZ,X,X,X,O,X,O
ILJTOZS,X,O,X,O,X,O
ILJSTZO,O,X,O,X,X,O
ILJSTOZ,O,X,X,O,X,O
ILJSZTO,O,O,O,X,X,O
ILJSZOT,O,O,O,X,X,O
ILJSOTZ,O,X,X,O,X,O
ILJSOZT,O,O,X,O,X,O
ILJZTSO,O,O,O,X,X,O
ILJZTOS,O,O,X,X,X,O
ILJZSTO,O,O,O,X,X,O
ILJZSOT,O,O,O,X,X,O
ILJZOTS,O,O,X,X,X,O
ILJZOST,O,O,O,X,X,O
ILJOTSZ,X,X,X,O,X,O
ILJOTZS,X,X,X,O,X,O
ILJOSTZ,O,X,X,O,X,O
ILJOSZT,O,X,X,X,X,O
ILJOZTS,O,O,X,O,X,O
ILJOZST,O,O,X,X,X,O
ILSTJZO,O,O,O,X,X,O
ILSTJOZ,O,O,X,O,X,O
ILSTZJO,O,O,O,X,X,O
ILSTZOJ,X,O,O,X,X,X
ILSTOJZ,O,O,X,X,X,O
ILSTOZJ,X,O,O,X,X,X
ILSJTZO,O,X,O,X,X,O
ILSJTOZ,O,X,X,O,X,O
ILSJZTO,O,O,O,X,X,O
ILSJZOT,O,O,O,X,X,O
ILSJOTZ,O,X,X,O,X,O
ILSJOZT,O,O,X,O,X,O
ILSZTJO,O,O,O,X,X,O
ILSZTOJ,O,O,O,X,X,X
ILSZJTO,O,O,O,X,X,O
ILSZJOT,O,O,O,X,X,O
ILSZOTJ,X,O,O,X,X,X
ILSZOJT,O,O,O,X,X,X
ILSOTJZ,X,O,X,O,X,O
ILSOTZJ,X,O,O,X,X,X
ILSOJTZ,X,X,X,O,X,O
ILSOJZT,X,O,X,O,X,O
ILSOZTJ,X,O,O,X,X,X
ILSOZJT,X,O,O,O,X,X
ILZTJSO,O,O,O,X,X,O
ILZTJOS,O,O,X,X,X,O
ILZTSJO,O,O,O,X,X,O
ILZTSOJ,X,O,O,X,X,X
ILZTOJS,O,O,X,X,X,X
ILZTOSJ,X,O,X,X,X,X
ILZJTSO,O,O,O,X,X,O
ILZJTOS,O,O,X,X,X,O
ILZJSTO,O,O,O,X,X,O
ILZJSOT,O,O,O,X,X,O
ILZJOTS,O,O,X,X,X,O
ILZJOST,O,O,O,X,X,O
ILZSTJO,O,O,O,X,X,O
ILZSTOJ,O,O,O,X,X,X
ILZSJTO,O,O,O,X,X,O
ILZSJOT,O,O,O,X,X,O
ILZSOTJ,X,O,O,X,X,X
ILZSOJT,O,O,O,X,X,X
ILZOTJS,X,O,X,X,X,X
ILZOTSJ,X,O,X,X,X,X
ILZOJTS,O,O,X,X,X,X
ILZOJST,O,O,O,X,X,X
ILZOSTJ,X,O,O,X,X,X
ILZOSJT,X,O,O,X,X,X
ILOTJSZ,X,X,X,O,X,O
ILOTJZS,X,O,X,O,X,O
ILOTSJZ,X,O,X,X,X,O
ILOTSZJ,X,O,X,X,X,X
ILOTZJS,X,O,X,X,X,X
ILOTZSJ,X,O,X,X,X,X
ILOJTSZ,X,X,X,O,X,O
ILOJTZS,X,X,X,O,X,O
ILOJSTZ,X,X,X,O,X,O
ILOJSZT,X,X,X,X,X,O
ILOJZTS,X,O,X,O,X,O
ILOJZST,X,O,X,X,X,O
ILOSTJZ,X,X,X,X,X,O
ILOSTZJ,X,O,O,X,X,X
ILOSJTZ,X,X,X,O,X,O
ILOSJZT,X,O,X,X,X,O
ILOSZTJ,X,O,O,X,X,X
ILOSZJT,X,O,O,X,X,X
ILOZTJS,X,O,X,X,X,X
ILOZTSJ,X,O,X,X,X,X
ILOZJTS,X,O,X,O,X,X
ILOZJST,X,O,O,X,X,X
ILOZSTJ,X,O,O,X,X,X
ILOZSJT,X,O,O,X,X,X
IJTLSZO,X,O,X,X,X,O
IJTLSOZ,X,O,X,O,X,O
IJTLZSO,X,O,X,X,X,O
IJTLZOS,X,O,X,X,X,O
IJTLOSZ,X,X,X,O,X,O
IJTLOZS,X,O,X,O,X,O
IJTSLZO,O,O,X,X,X,O
IJTSLOZ,O,O,X,O,O,O
IJTSZLO,O,O,X,X,X,O
IJTSZOL,O,O,X,X,X,O
IJTSOLZ,O,X,X,O,O,O
IJTSOZL,O,X,X,O,O,O
IJTZLSO,O,O,X,X,X,O
IJTZLOS,O,O,X,X,X,O
IJTZSLO,O,O,X,X,X,O
IJTZSOL,O,O,X,X,X,O
IJTZOLS,O,O,X,X,X,O
IJTZOSL,O,O,X,X,X,O
IJTOLSZ,X,X,X,O,O,O
IJTOLZS,X,X,X,O,X,O
IJTOSLZ,O,X,X,O,O,O
IJTOSZL,O,X,X,X,O,O
IJTOZLS,O,X,X,O,X,O
IJTOZSL,O,X,X,X,O,O
IJLTSZO,X,O,X,X,X,O
IJLTSOZ,X,O,X,O,X,O
IJLTZSO,X,O,X,X,X,O
IJLTZOS,X,O,X,X,X,O
IJLTOSZ,X,X,X,O,X,O
IJLTOZS,X,O,X,O,X,O
IJLSTZO,O,X,O,X,X,O
IJLSTOZ,O,X,X,O,X,O
IJLSZTO,O,O,O,X,X,O
IJLSZOT,O,O,O,X,X,O
IJLSOTZ,O,X,X,O,X,O
IJLSOZT,O,O,X,O,X,O
IJLZTSO,O,O,O,X,X,O
IJLZTOS,O,O,X,X,X,O
IJLZSTO,O,O,O,X,X,O
IJLZSOT,O,O,O,X,X,O
IJLZOTS,O,O,X,X,X,O
IJLZOST,O,O,O,X,X,O
IJLOTSZ,X,X,X,O,X,O
IJLOTZS,X,X,X,O,X,O
IJLOSTZ,O,X,X,O,X,O
IJLOSZT,O,X,X,X,X,O
IJLOZTS,O,O,X,O,X,O
IJLOZST,O,O,X,X,X,O
IJSTLZO,O,X,X,X,X,O
IJSTLOZ,O,X,X,O,O,O
IJSTZLO,O,X,X,X,X,O
IJSTZOL,O,X,X,X,X,O
IJSTOLZ,O,X,X,O,O,O
IJSTOZL,O,X,X,O,O,O
IJSLTZO,O,X,O,X,X,O
IJSLTOZ,O,X,X,O,O,O
IJSLZTO,O,O,O,X,X,O
IJSLZOT,O,O,O,X,X,O
IJSLOTZ,O,X,X,O,O,O
IJSLOZT,O,O,X,O,O,O
IJSZTLO,O,O,O,X,X,O
IJSZTOL,O,X,X,X,X,O
IJSZLTO,O,O,O,X,X,O
IJSZLOT,O,O,O,X,X,O
IJSZOTL,O,X,X,X,X,O
IJSZOLT,O,O,O,X,X,O
IJSOTLZ,O,X,X,O,O,O
IJSOTZL,O,X,X,O,O,O
IJSOLTZ,O,X,X,O,O,O
IJSOLZT,O,X,X,O,O,O
IJSOZTL,O,X,X,O,O,O
IJSOZLT,O,X,X,O,O,O
IJZTLSO,O,O,O,X,X,O
IJZTLOS,O,O,X,X,X,O
IJZTSLO,O,O,O,X,X,O
IJZTSOL,O,O,X,X,X,O
IJZTOLS,O,O,X,X,X,O
IJZTOSL,O,O,X,X,X,O
IJZLTSO,O,O,O,X,X,O
IJZLTOS,O,O,X,X,X,O
IJZLSTO,O,O,O,X,X,O
IJZLSOT,O,O,O,X,X,O
IJZLOTS,O,O,X,X,X,O
IJZLOST,O,O,O,X,X,O
IJZSTLO,O,O,O,X,X,O
IJZSTOL,O,O,X,X,X,O
IJZSLTO,O,O,O,X,X,O
IJZSLOT,O,O,O,X,X,O
IJZSOTL,O,X,X,X,X,O
IJZSOLT,O,O,O,X,X,O
IJZOTLS,O,O,X,X,X,O
IJZOTSL,O,O,X,X,X,O
IJZOLTS,O,O,X,X,X,O
IJZOLST,O,O,O,X,X,O
IJZOSTL,O,X,X,X,X,O
IJZOSLT,O,O,O,X,X,O
IJOTLSZ,X,X,X,O,O,O
IJOTLZS,X,X,X,O,X,O
IJOTSLZ,O,X,X,O,O,O
IJOTSZL,O,X,X,X,O,O
IJOTZLS,O,X,X,O,X,O
IJOTZSL,O,X,X,X,O,O
IJOLTSZ,X,X,X,O,O,O
IJOLTZS,X,X,X,O,X,O
IJOLSTZ,O,X,X,O,O,O
IJOLSZT,O,X,X,X,O,O
IJOLZTS,O,X,X,O,X,O
IJOLZST,O,X,X,X,X,O
IJOSTLZ,O,X,X,O,O,O
IJOSTZL,O,X,X,X,O,O
IJOSLTZ,O,X,X,O,O,O
IJOSLZT,O,X,X,X,O,O
IJOSZTL,O,X,X,X,O,O
IJOSZLT,O,X,X,X,O,O
IJOZTLS,O,X,X,O,X,O
IJOZTSL,O,X,X,X,O,O
IJOZLTS,O,X,X,O,X,O
IJOZLST,O,X,X,X,X,O
IJOZSTL,O,X,X,X,O,O
IJOZSLT,O,X,X,X,O,O
ISTLJZO,O,O,O,X,X,O
ISTLJOZ,O,O,X,O,O,O
ISTLZJO,O,O,O,X,X,O
ISTLZOJ,X,O,O,X,X,X
ISTLOJZ,O,O,X,X,O,O
ISTLOZJ,X,O,O,X,O,X
ISTJLZO,O,O,X,X,X,O
ISTJLOZ,O,O,X,O,O,O
ISTJZLO,O,O,X,X,X,O
ISTJZOL,O,O,X,X,X,O
ISTJOLZ,O,X,X,O,O,O
ISTJOZL,O,X,X,O,O,O
ISTZLJO,O,O,O,X,X,O
ISTZLOJ,O,O,O,X,X,X
ISTZJLO,O,O,O,X,X,O
ISTZJOL,O,O,X,X,X,O
ISTZOLJ,O,O,X,X,X,X
ISTZOJL,O,O,X,X,X,X
ISTOLJZ,O,O,X,X,O,O
ISTOLZJ,X,O,X,X,O,X
ISTOJLZ,O,X,X,X,O,O
ISTOJZL,O,X,X,X,O,O
ISTOZLJ,X,O,X,X,O,X
ISTOZJL,X,O,X,X,O,X
ISLTJZO,O,O,O,X,X,O
ISLTJOZ,O,O,X,O,O,O
ISLTZJO,O,O,O,X,X,O
ISLTZOJ,X,O,O,X,X,X
ISLTOJZ,O,O,X,X,O,O
ISLTOZJ,X,O,O,X,O,X
ISLJTZO,O,X,O,X,X,O
ISLJTOZ,O,X,X,O,O,O
ISLJZTO,O,O,O,X,X,O
ISLJZOT,O,O,O,X,X,O
ISLJOTZ,O,X,X,O,O,O
ISLJOZT,O,O,X,O,O,O
ISLZTJO,O,O,O,X,X,O
ISLZTOJ,O,O,O,X,X,X
ISLZJTO,O,O,O,X,X,O
ISLZJOT,O,O,O,X,X,O
ISLZOTJ,X,O,O,X,X,X
ISLZOJT,O,O,O,X,X,X
ISLOTJZ,X,O,X,O,O,O
ISLOTZJ,X,O,O,X,O,X
ISLOJTZ,X,X,X,O,O,O
ISLOJZT,X,O,X,O,O,O
ISLOZTJ,X,O,O,X,O,X
ISLOZJT,X,O,O,O,O,X
ISJTLZO,O,X,X,X,X,O
ISJTLOZ,O,X,X,O,O,O
ISJTZLO,O,X,X,X,X,O
ISJTZOL,O,X,X,X,X,O
ISJTOLZ,O,X,X,O,O,O
ISJTOZL,O,X,X,O,O,O
ISJLTZO,O,X,O,X,X,O
ISJLTOZ,O,X,X,O,O,O
ISJLZTO,O,O,O,X,X,O
ISJLZOT,O,O,O,X,X,O
ISJLOTZ,O,X,X,O,O,O
ISJLOZT,O,O,X,O,O,O
ISJZTLO,O,O,O,X,X,O
ISJZTOL,O,X,X,X,X,O
ISJZLTO,O,O,O,X,X,O
ISJZLOT,O,O,O,X,X,O
ISJZOTL,O,X,X,X,X,O
ISJZOLT,O,O,O,X,X,O
ISJOTLZ,O,X,X,O,O,O
ISJOTZL,O,X,X,O,O,O
ISJOLTZ,O,X,X,O,O,O
ISJOLZT,O,X,X,O,O,O
ISJOZTL,O,X,X,O,O,O
ISJOZLT,O,X,X,O,O,O
ISZTLJO,O,O,O,X,X,O
ISZTLOJ,O,O,O,X,X,X
ISZTJLO,O,O,O,X,X,O
ISZTJOL,O,O,X,X,X,O
ISZTOLJ,O,O,X,X,X,X
ISZTOJL,O,O,X,X,X,X
ISZLTJO,O,O,O,X,X,O
ISZLTOJ,O,O,O,X,X,X
ISZLJTO,O,O,O,X,X,O
ISZLJOT,O,O,O,X,X,O
ISZLOTJ,X,O,O,X,X,X
ISZLOJT,O,O,O,X,X,X
ISZJTLO,O,O,O,X,X,O
ISZJTOL,O,O,X,X,X,O
ISZJLTO,O,O,O,X,X,O
ISZJLOT,O,O,O,X,X,O
ISZJOTL,O,X,X,X,X,O
ISZJOLT,O,O,O,X,X,O
ISZOTLJ,O,X,X,X,X,X
ISZOTJL,O,X,X,X,X,X
ISZOLTJ,X,O,O,X,X,X
ISZOLJT,O,O,O,X,X,X
ISZOJTL,O,X,X,X,X,X
ISZOJLT,O,O,O,X,X,X
ISOTLJZ,O,X,X,O,O,O
ISOTLZJ,X,X,X,X,O,X
ISOTJLZ,O,X,X,O,O,O
ISOTJZL,O,X,X,O,O,O
ISOTZLJ,X,X,X,X,O,X
ISOTZJL,X,X,X,X,O,X
ISOLTJZ,X,X,X,O,O,O
ISOLTZJ,X,O,O,X,O,X
ISOLJTZ,X,X,X,O,O,O
ISOLJZT,X,O,X,O,O,O
ISOLZTJ,X,O,O,X,O,X
ISOLZJT,X,O,O,O,O,X
ISOJTLZ,O,X,X,O,O,O
ISOJTZL,O,X,X,O,O,O
ISOJLTZ,O,X,X,O,O,O
ISOJLZT,O,X,X,O,O,O
ISOJZTL,O,X,X,O,O,O
ISOJZLT,O,X,X,O,O,O
ISOZTLJ,O,X,X,X,O,X
ISOZTJL,O,X,X,X,O,X
ISOZLTJ,X,O,O,X,O,X
ISOZLJT,O,O,O,O,O,X
ISOZJTL,O,X,X,O,O,X
ISOZJLT,O,O,O,O,O,X
IZTLJSO,O,O,O,X,X,O
IZTLJOS,O,O,X,X,X,O
IZTLSJO,O,O,O,X,X,O
IZTLSOJ,O,O,O,X,X,X
IZTLOJS,O,O,X,X,X,X
IZTLOSJ,X,O,X,X,X,X
IZTJLSO,O,O,O,X,X,O
IZTJLOS,O,O,X,X,X,O
IZTJSLO,O,O,O,X,X,O
IZTJSOL,O,O,X,X,X,O
IZTJOLS,O,O,X,X,X,O
IZTJOSL,O,O,X,X,X,O
IZTSLJO,O,O,O,X,X,O
IZTSLOJ,O,O,O,X,X,X
IZTSJLO,O,O,O,X,X,O
IZTSJOL,O,O,X,X,X,O
IZTSOLJ,O,O,X,X,X,X
IZTSOJL,O,O,X,X,X,X
IZTOLJS,O,O,X,X,X,X
IZTOLSJ,X,O,X,X,X,X
IZTOJLS,O,O,X,X,X,X
IZTOJSL,O,O,X,X,X,X
IZTOSLJ,X,O,X,X,X,X
IZTOSJL,X,O,X,X,X,X
IZLTJSO,O,O,O,X,X,O
IZLTJOS,O,O,X,X,X,O
IZLTSJO,O,O,O,X,X,O
IZLTSOJ,O,O,O,X,X,X
IZLTOJS,O,O,X,X,X,X
IZLTOSJ,X,O,X,X,X,X
IZLJTSO,O,O,O,X,X,O
IZLJTOS,O,O,X,X,X,O
IZLJSTO,O,O,O,X,X,O
IZLJSOT,O,O,O,X,X,O
IZLJOTS,O,O,X,X,X,O
IZLJOST,O,O,O,X,X,O
IZLSTJO,O,O,O,X,X,O
IZLSTOJ,O,O,O,X,X,X
IZLSJTO,O,O,O,X,X,O
IZLSJOT,O,O,O,X,X,O
IZLSOTJ,X,O,O,X,X,X
IZLSOJT,O,O,O,X,X,X
IZLOTJS,X,O,X,X,X,X
IZLOTSJ,X,O,X,X,X,X
IZLOJTS,O,O,X,X,X,X
IZLOJST,O,O,O,X,X,X
IZLOSTJ,X,O,O,X,X,X
IZLOSJT,X,O,O,X,X,X
IZJTLSO,O,O,O,X,X,O
IZJTLOS,O,O,X,X,X,O
IZJTSLO,O,O,O,X,X,O
IZJTSOL,O,O,X,X,X,O
IZJTOLS,O,O,X,X,X,O
IZJTOSL,O,O,X,X,X,O
IZJLTSO,O,O,O,X,X,O
IZJLTOS,O,O,X,X,X,O
IZJLSTO,O,O,O,X,X,O
IZJLSOT,O,O,O,X,X,O
IZJLOTS,O,O,X,X,X,O
IZJLOST,O,O,O,X,X,O
IZJSTLO,O,O,O,X,X,O
IZJSTOL,O,O,X,X,X,O
IZJSLTO,O,O,O,X,X,O
IZJSLOT,O,O,O,X,X,O
IZJSOTL,O,X,X,X,X,O
IZJSOLT,O,O,O,X,X,O
IZJOTLS,O,O,X,X,X,O
IZJOTSL,O,O,X,X,X,O
IZJOLTS,O,O,X,X,X,O
IZJOLST,O,O,O,X,X,O
IZJOSTL,O,X,X,X,X,O
IZJOSLT,O,O,O,X,X,O
IZSTLJO,O,O,O,X,X,O
IZSTLOJ,O,O,O,X,X,X
IZSTJLO,O,O,O,X,X,O
IZSTJOL,O,O,X,X,X,O
IZSTOLJ,O,O,X,X,X,X
IZSTOJL,O,O,X,X,X,X
IZSLTJO,O,O,O,X,X,O
IZSLTOJ,O,O,O,X,X,X
IZSLJTO,O,O,O,X,X,O
IZSLJOT,O,O,O,X,X,O
IZSLOTJ,X,O,O,X,X,X
IZSLOJT,O,O,O,X,X,X
IZSJTLO,O,O,O,X,X,O
IZSJTOL,O,O,X,X,X,O
IZSJLTO,O,O,O,X,X,O
IZSJLOT,O,O,O,X,X,O
IZSJOTL,O,X,X,X,X,O
IZSJOLT,O,O,O,X,X,O
IZSOTLJ,O,X,X,X,X,X
IZSOTJL,O,X,X,X,X,X
IZSOLTJ,X,O,O,X,X,X
IZSOLJT,O,O,O,X,X,X
IZSOJTL,O,X,X,X,X,X
IZSOJLT,O,O,O,X,X,X
IZOTLJS,O,O,X,X,X,X
IZOTLSJ,X,O,X,X,X,X
IZOTJLS,O,O,X,X,X,X
IZOTJSL,O,O,X,X,X,X
IZOTSLJ,X,O,X,X,X,X
IZOTSJL,X,O,X,X,X,X
IZOLTJS,X,O,X,X,X,X
IZOLTSJ,X,O,X,X,X,X
IZOLJTS,O,O,X,X,X,X
IZOLJST,O,O,O,X,X,X
IZOLSTJ,X,O,O,X,X,X
IZOLSJT,X,O,O,X,X,X
IZOJTLS,O,O,X,X,X,X
IZOJTSL,O,O,X,X,X,X
IZOJLTS,O,O,X,X,X,X
IZOJLST,O,O,O,X,X,X
IZOJSTL,O,X,X,X,X,X
IZOJSLT,O,O,O,X,X,X
IZOSTLJ,O,X,X,X,X,X
IZOSTJL,O,X,X,X,X,X
IZOSLTJ,X,O,O,X,X,X
IZOSLJT,O,O,O,X,X,X
IZOSJTL,O,X,X,X,X,X
IZOSJLT,O,O,O,X,X,X
IOTLJSZ,X,X,X,O,O,O
IOTLJZS,X,O,X,O,X,O
IOTLSJZ,X,O,X,X,O,O
IOTLSZJ,X,O,X,X,O,X
IOTLZJS,X,O,X,X,X,X
IOTLZSJ,X,O,X,X,X,X
IOTJLSZ,X,X,X,O,O,O
IOTJLZS,X,X,X,O,X,O
IOTJSLZ,X,X,X,O,O,O
IOTJSZL,X,X,X,X,O,O
IOTJZLS,X,X,X,O,X,O
IOTJZSL,X,X,X,X,O,O
IOTSLJZ,X,O,X,X,O,O
IOTSLZJ,X,O,X,X,O,X
IOTSJLZ,X,X,X,X,O,O
IOTSJZL,X,X,X,X,O,O
IOTSZLJ,X,O,X,X,O,X
IOTSZJL,X,O,X,X,O,X
IOTZLJS,X,O,X,X,X,X
IOTZLSJ,X,O,X,X,X,X
IOTZJLS,X,O,X,X,X,X
IOTZJSL,X,O,X,X,O,X
IOTZSLJ,X,O,X,X,O,X
IOTZSJL,X,O,X,X,O,X
IOLTJSZ,X,X,X,O,O,O
IOLTJZS,X,O,X,O,X,O
