sequence,v115@IhB8HeB8FeD8CeD8JeOEJvhFlgBRiBcoBXmBTnBSwB,v115@IhB8HeB8FeD8CeD8JeOEJvhFxgBXiBTjB1sBCrBUrB,v115@IhB8HeB8FeD8CeD8JeOEJvhFlgBSnBTjB8qBRsB3rB,v115@IhB8HeB8FeD8CeD8JeOEJvhF0gBxiBFnBXoBCrBTrB,v115@IhB8HeB8FeD8CeD8JeOEJvhF0gBxiBFnBXoB6rBzqB,v115@IhB8HeB8FeD8CeD8JeOEJvhFxgBTjBCmBXnB0nBVwB
TILJSZO,X,O,X,O,X,O
TILJSOZ,X,O,X,O,X,O
TILJZSO,O,O,O,O,X,O
TILJZOS,O,O,O,X,X,O
TILJOSZ,X,O,X,X,X,O
TILJOZS,O,O,O,X,X,O
TILSJZO,X,O,X,O,X,O
TILSJOZ,X,O,X,O,X,O
TILSZJO,X,O,X,O,X,O
TILSZOJ,X,O,X,O,X,O
TILSOJZ,X,O,X,O,X,O
TILSOZJ,X,O,X,O,X,O
TILZJSO,O,O,O,O,X,O
TILZJOS,O,O,O,X,X,O
TILZSJO,O,O,O,O,X,O
TILZSOJ,X,O,O,O,X,O
TILZOJS,O,O,O,X,X,O
TILZOSJ,O,O,O,X,X,O
TILOJSZ,X,O,X,X,X,O
TILOJZS,O,O,O,X,X,O
TILOSJZ,X,O,X,X,X,O
TILOSZJ,X,O,X,X,X,O
TILOZJS,O,O,O,X,X,O
TILOZSJ,O,O,O,X,X,O
TIJLSZO,X,O,X,O,X,O
TIJLSOZ,X,O,X,O,X,O
TIJLZSO,O,O,O,O,X,O
TIJLZOS,O,O,O,X,X,O
TIJLOSZ,X,O,X,X,X,O
TIJLOZS,O,O,O,X,X,O
TIJSLZO,X,O,X,O,O,O
TIJSLOZ,X,O,X,O,O,O
TIJSZLO,X,X,X,O,O,X
TIJSZOL,X,O,X,O,O,X
TIJSOLZ,X,O,X,O,O,O
TIJSOZL,X,O,X,O,O,X
TIJZLSO,O,O,O,X,X,X
TIJZLOS,O,O,O,X,X,X
TIJZSLO,O,X,O,O,O,X
TIJZSOL,O,O,O,O,O,X
TIJZOLS,O,O,O,X,X,X
TIJZOSL,O,O,O,X,X,X
TIJOLSZ,X,O,X,X,X,O
TIJOLZS,X,O,O,X,X,O
TIJOSLZ,X,O,X,X,O,O
TIJOSZL,X,O,X,X,O,X
TIJOZLS,O,O,O,X,X,X
TIJOZSL,O,O,O,X,O,X
TISLJZO,X,O,X,O,O,O
TISLJOZ,X,O,X,O,O,O
TISLZJO,X,O,X,O,O,O
TISLZOJ,X,O,X,O,X,O
TISLOJZ,X,O,X,O,O,O
TISLOZJ,X,O,X,O,O,O
TISJLZO,X,O,X,O,O,O
TISJLOZ,X,O,X,O,O,O
TISJZLO,X,X,X,O,O,X
TISJZOL,X,O,X,O,O,X
TISJOLZ,X,O,X,O,O,O
TISJOZL,X,O,X,O,O,X
TISZLJO,X,X,X,O,O,X
TISZLOJ,X,X,X,O,X,X
TISZJLO,X,X,X,O,O,X
TISZJOL,X,O,X,O,O,X
TISZOLJ,X,X,X,X,O,X
TISZOJL,X,O,X,O,O,X
TISOLJZ,X,O,X,O,O,O
TISOLZJ,X,O,X,O,O,O
TISOJLZ,X,O,X,O,O,O
TISOJZL,X,O,X,O,O,X
TISOZLJ,X,X,X,X,O,X
TISOZJL,X,O,X,O,O,X
TIZLJSO,O,O,O,X,X,X
TIZLJOS,O,O,O,X,X,X
TIZLSJO,O,O,O,X,X,X
TIZLSOJ,X,O,O,X,X,X
TIZLOJS,O,O,O,X,X,X
TIZLOSJ,O,O,O,X,X,X
TIZJLSO,O,O,O,X,X,X
TIZJLOS,O,O,O,X,X,X
TIZJSLO,O,X,O,O,O,X
TIZJSOL,O,O,O,O,O,X
TIZJOLS,O,O,O,X,X,X
TIZJOSL,O,O,O,X,X,X
TIZSLJO,X,X,O,O,O,X
TIZSLOJ,X,X,O,X,X,X
TIZSJLO,O,X,O,O,O,X
TIZSJOL,O,O,O,O,O,X
TIZSOLJ,X,X,O,X,X,X
TIZSOJL,X,O,O,O,O,X
TIZOLJS,O,O,O,X,X,X
TIZOLSJ,X,O,O,X,X,X
TIZOJLS,O,O,O,X,X,X
TIZOJSL,O,O,O,X,X,X
TIZOSLJ,X,X,O,X,X,X
TIZOSJL,O,O,O,X,X,X
TIOLJSZ,X,O,X,X,X,O
TIOLJZS,X,O,O,X,X,O
TIOLSJZ,X,O,X,X,X,O
TIOLSZJ,X,O,X,X,X,O
TIOLZJS,X,O,O,X,X,O
TIOLZSJ,X,O,O,X,X,O
TIOJLSZ,X,O,X,X,X,O
TIOJLZS,X,O,O,X,X,O
TIOJSLZ,X,O,X,X,O,O
TIOJSZL,X,O,X,X,O,X
TIOJZLS,O,O,O,X,X,X
TIOJZSL,O,O,O,X,O,X
TIOSLJZ,X,O,X,X,O,O
TIOSLZJ,X,O,X,X,O,O
TIOSJLZ,X,O,X,X,O,O
TIOSJZL,X,O,X,X,O,X
TIOSZLJ,X,X,X,X,O,X
TIOSZJL,X,O,X,X,O,X
TIOZLJS,O,O,O,X,X,X
TIOZLSJ,X,O,O,X,X,X
TIOZJLS,O,O,O,X,X,X
TIOZJSL,O,O,O,X,O,X
TIOZSLJ,X,X,O,X,O,X
TIOZSJL,O,O,O,X,O,X
TLIJSZO,X,O,X,O,X,O
TLIJSOZ,X,O,X,O,X,O
TLIJZSO,O,O,X,O,X,O
TLIJZOS,O,O,X,X,X,O
TLIJOSZ,X,O,X,X,X,O
TLIJOZS,O,O,X,X,X,O
TLISJZO,X,O,X,O,X,O
TLISJOZ,X,O,X,O,X,O
TLISZJO,X,O,X,O,X,O
TLISZOJ,X,O,X,O,X,O
TLISOJZ,X,O,X,O,X,O
TLISOZJ,X,O,X,O,X,O
TLIZJSO,O,O,X,O,X,O
TLIZJOS,O,O,X,X,X,O
TLIZSJO,O,O,X,O,X,O
TLIZSOJ,X,O,X,O,X,O
TLIZOJS,O,O,X,X,X,O
TLIZOSJ,O,O,X,X,X,O
TLIOJSZ,X,O,X,X,X,O
TLIOJZS,O,O,X,X,X,O
TLIOSJZ,X,O,X,X,X,O
TLIOSZJ,X,O,X,X,X,O
TLIOZJS,O,O,X,X,X,O
TLIOZSJ,O,O,X,X,X,O
TLJISZO,X,O,X,O,X,O
TLJISOZ,X,O,X,O,X,O
TLJIZSO,O,O,X,O,X,O
TLJIZOS,O,O,X,X,X,O
TLJIOSZ,X,O,X,X,X,O
TLJIOZS,O,O,X,X,X,O
TLJSIZO,O,O,X,O,O,O
TLJSIOZ,O,O,X,O,O,O
TLJSZIO,O,O,X,O,O,O
TLJSZOI,O,O,X,O,O,O
TLJSOIZ,O,O,X,O,O,O
TLJSOZI,O,O,X,O,O,O
TLJZISO,O,O,O,O,X,O
TLJZIOS,O,O,O,X,X,O
TLJZSIO,O,O,X,O,O,O
TLJZSOI,O,O,X,O,O,O
