sequence,v115@PhA8AeA8GeE8AeA8AeD8Je/EJvhFUgBRhBGjB6rBTn?BlqB,v115@PhA8AeA8GeE8AeA8AeD8Jex/IvhFThB/nBGjB0kB6q?BlrB,v115@PhA8AeA8GeE8AeA8AeD8JeyEJvhF5lBThB/nBGjB0k?BlrB,v115@PhA8AeA8GeE8AeA8AeD8Jex/IvhFlhBGjB0kB6qB/r?BTsB,v115@PhA8AeA8GeE8AeA8AeD8JeT/IvhFUiBGjBVqBxrB6q?B/rB
TLJOIZS,O,X,X,X,O
TLJOSIZ,O,O,O,O,X
TLJOSZI,O,O,O,O,X
TLJOZIS,O,O,X,O,X
TLJOZSI,O,O,X,O,X
TLSIJZO,O,O,O,O,X
TLSIJOZ,O,O,O,O,X
TLSIZJO,O,O,O,O,X
TLSIZOJ,O,O,O,O,X
TLSIOJZ,O,O,O,O,X
TLSIOZJ,O,O,O,O,X
TLSJIZO,O,O,O,O,X
TLSJIOZ,O,O,O,O,X
TLSJZIO,O,O,O,O,X
TLSJZOI,O,O,O,O,X
TLSJOIZ,O,O,O,O,X
TLSJOZI,O,O,O,O,X
TLSZIJO,O,O,O,O,X
TLSZIOJ,O,O,O,O,X
TLSZJIO,O,O,O,O,X
TLSZJOI,O,O,O,O,X
TLSZOIJ,O,O,O,O,X
TLSZOJI,O,O,O,O,X
TLSOIJZ,O,O,O,O,X
TLSOIZJ,O,O,O,O,X
TLSOJIZ,O,O,O,O,X
TLSOJZI,O,O,O,O,X
TLSOZIJ,O,O,O,O,X
TLSOZJI,O,O,O,O,X
TLZIJSO,O,O,X,O,X
TLZIJOS,X,O,X,O,X
TLZISJO,O,O,O,O,X
TLZISOJ,O,O,O,O,X
TLZIOJS,X,O,X,O,X
TLZIOSJ,X,O,O,O,X
TLZJISO,O,O,X,O,X
TLZJIOS,X,O,X,O,X
TLZJSIO,O,O,X,O,X
TLZJSOI,O,O,X,O,X
TLZJOIS,X,O,X,O,X
TLZJOSI,X,O,X,O,X
TLZSIJO,O,O,O,O,X
TLZSIOJ,O,O,O,O,X
TLZSJIO,O,O,O,O,X
TLZSJOI,O,O,O,O,X
TLZSOIJ,O,O,O,O,X
TLZSOJI,O,O,O,O,X
TLZOIJS,O,O,X,O,X
TLZOISJ,O,O,O,O,X
TLZOJIS,O,O,X,O,X
TLZOJSI,O,O,X,O,X
TLZOSIJ,O,O,O,O,X
TLZOSJI,O,O,O,O,X
TLOIJSZ,O,O,O,O,O
TLOIJZS,O,X,X,X,O
TLOISJZ,O,O,O,O,O
TLOISZJ,O,O,O,O,O
TLOIZJS,O,O,X,X,O
TLOIZSJ,O,O,O,X,O
TLOJISZ,O,O,O,O,O
TLOJIZS,O,X,X,X,O
TLOJSIZ,O,O,O,O,X
TLOJSZI,O,O,O,O,X
TLOJZIS,O,O,X,O,X
TLOJZSI,O,O,X,O,X
TLOSIJZ,O,O,O,O,X
TLOSIZJ,O,O,O,O,X
TLOSJIZ,O,O,O,O,X
TLOSJZI,O,O,O,O,X
TLOSZIJ,O,O,O,O,X
TLOSZJI,O,O,O,O,X
TLOZIJS,O,O,X,O,X
TLOZISJ,O,O,O,O,X
TLOZJIS,O,O,X,O,X
TLOZJSI,O,O,X,O,X
TLOZSIJ,O,O,O,O,X
TLOZSJI,O,O,O,O,X
TJILSZO,O,X,O,X,O
TJILSOZ,O,X,O,X,O
TJILZSO,O,X,X,X,O
TJILZOS,X,X,X,X,O
TJILOSZ,O,X,O,X,O
TJILOZS,X,X,X,X,O
TJISLZO,O,X,O,X,O
TJISLOZ,O,X,O,X,O
TJISZLO,O,X,O,X,O
TJISZOL,O,X,O,X,O
TJISOLZ,O,X,O,X,O
TJISOZL,O,X,O,X,O
TJIZLSO,X,X,X,X,O
TJIZLOS,X,X,X,X,O
TJIZSLO,X,X,X,X,O
TJIZSOL,X,X,X,X,O
TJIZOLS,X,X,X,X,O
TJIZOSL,X,X,X,X,O
TJIOLSZ,O,X,O,X,O
TJIOLZS,O,X,X,X,O
TJIOSLZ,O,X,O,X,O
TJIOSZL,O,X,O,X,O
TJIOZLS,X,X,X,X,O
TJIOZSL,O,X,X,X,O
TJLISZO,O,O,O,O,O
TJLISOZ,O,O,O,O,O
TJLIZSO,O,X,X,X,O
TJLIZOS,X,X,X,X,O
TJLIOSZ,O,O,O,O,O
TJLIOZS,X,X,X,X,O
TJLSIZO,O,O,O,O,X
TJLSIOZ,O,O,O,O,X
TJLSZIO,O,O,O,O,X
TJLSZOI,O,O,O,O,X
TJLSOIZ,O,O,O,O,X
TJLSOZI,O,O,O,O,X
TJLZISO,O,O,X,O,X
TJLZIOS,X,O,X,O,X
TJLZSIO,O,O,X,O,X
TJLZSOI,O,O,X,O,X
TJLZOIS,X,O,X,O,X
TJLZOSI,X,O,X,O,X
TJLOISZ,O,O,O,O,O
TJLOIZS,O,X,X,X,O
TJLOSIZ,O,O,O,O,X
TJLOSZI,O,O,O,O,X
TJLOZIS,O,O,X,O,X
TJLOZSI,O,O,X,O,X
TJSILZO,O,O,O,O,O
TJSILOZ,O,O,O,O,O
TJSIZLO,O,O,O,O,O
TJSIZOL,O,O,O,O,O
TJSIOLZ,O,O,O,X,O
TJSIOZL,O,O,O,X,O
TJSLIZO,O,O,O,O,X
TJSLIOZ,O,O,O,O,X
TJSLZIO,O,O,O,O,X
TJSLZOI,O,O,O,O,X
TJSLOIZ,O,O,O,O,X
TJSLOZI,O,O,O,O,X
TJSZILO,O,O,O,O,X
TJSZIOL,O,O,O,O,X
TJSZLIO,O,O,O,O,X
TJSZLOI,O,O,O,O,X
TJSZOIL,O,O,O,O,X
TJSZOLI,O,O,O,O,X
TJSOILZ,O,O,O,X,O
TJSOIZL,O,O,O,X,O
TJSOLIZ,O,O,O,O,X
TJSOLZI,O,O,O,O,X
TJSOZIL,O,O,O,O,X
TJSOZLI,O,O,O,O,X
TJZILSO,X,X,X,X,O
TJZILOS,X,X,X,X,O
TJZISLO,X,O,X,O,O
TJZISOL,X,O,X,O,O
TJZIOLS,X,X,X,X,O
TJZIOSL,X,O,X,O,O
TJZLISO,O,O,X,O,X
TJZLIOS,X,O,X,O,X
TJZLSIO,O,O,X,O,X
TJZLSOI,O,O,X,O,X
TJZLOIS,X,O,X,O,X
TJZLOSI,X,O,X,O,X
TJZSILO,O,O,X,O,X
TJZSIOL,O,O,X,O,X
TJZSLIO,O,O,X,O,X
TJZSLOI,O,O,X,O,X
TJZSOIL,O,O,X,O,X
TJZSOLI,O,O,X,O,X
TJZOILS,X,X,X,X,O
TJZOISL,O,O,X,O,O
TJZOLIS,O,O,X,O,X
TJZOLSI,O,O,X,O,X
TJZOSIL,O,O,X,O,X
TJZOSLI,O,O,X,O,X
TJOILSZ,O,X,O,X,O
TJOILZS,O,X,X,X,O
TJOISLZ,O,X,O,X,O
TJOISZL,O,X,O,X,O
TJOIZLS,X,X,X,X,O
TJOIZSL,O,X,X,X,O
TJOLISZ,O,O,O,O,O
TJOLIZS,O,X,X,X,O
TJOLSIZ,O,O,O,O,X
TJOLSZI,O,O,O,O,X
TJOLZIS,O,O,X,O,X
TJOLZSI,O,O,X,O,X
TJOSILZ,O,O,O,O,O
TJOSIZL,O,O,O,O,O
TJOSLIZ,O,O,O,O,X
TJOSLZI,O,O,O,O,X
TJOSZIL,O,O,O,O,X
TJOSZLI,O,O,O,O,X
TJOZILS,X,X,X,X,O
TJOZISL,O,O,X,O,O
TJOZLIS,O,O,X,O,X
TJOZLSI,O,O,X,O,X
TJOZSIL,O,O,X,O,X
TJOZSLI,O,O,X,O,X
TSILJZO,O,O,O,O,O
TSILJOZ,O,O,O,O,O
TSILZJO,O,O,O,O,O
TSILZOJ,O,O,O,O,O
TSILOJZ,O,O,O,O,O
TSILOZJ,O,O,O,X,O
TSIJLZO,O,O,O,O,O
TSIJLOZ,O,O,O,O,O
TSIJZLO,O,O,O,O,O
TSIJZOL,O,O,O,O,O
TSIJOLZ,O,O,O,X,O
TSIJOZL,O,O,O,X,O
TSIZLJO,O,O,O,O,O
TSIZLOJ,O,O,O,O,O
TSIZJLO,O,O,O,O,O
TSIZJOL,O,O,O,O,O
TSIZOLJ,O,O,O,X,O
TSIZOJL,O,O,O,O,O
TSIOLJZ,O,O,O,X,O
TSIOLZJ,O,O,O,X,O
TSIOJLZ,O,O,O,X,O
TSIOJZL,O,O,O,X,O
TSIOZLJ,O,O,O,X,O
TSIOZJL,O,O,O,X,O
TSLIJZO,O,O,O,O,X
TSLIJOZ,O,O,O,O,X
TSLIZJO,O,O,O,O,X
TSLIZOJ,O,O,O,O,X
TSLIOJZ,O,O,O,O,X
TSLIOZJ,O,O,O,O,X
TSLJIZO,O,O,O,O,X
TSLJIOZ,O,O,O,O,X
TSLJZIO,O,O,O,O,X
TSLJZOI,O,O,O,O,X
TSLJOIZ,O,O,O,O,X
TSLJOZI,O,O,O,O,X
TSLZIJO,O,O,O,O,X
TSLZIOJ,O,O,O,O,X
TSLZJIO,O,O,O,O,X
TSLZJOI,O,O,O,O,X
TSLZOIJ,O,O,O,O,X
TSLZOJI,O,O,O,O,X
TSLOIJZ,O,O,O,O,X
TSLOIZJ,O,O,O,O,X
TSLOJIZ,O,O,O,O,X
TSLOJZI,O,O,O,O,X
TSLOZIJ,O,O,O,O,X
TSLOZJI,O,O,O,O,X
TSJILZO,O,O,O,O,O
TSJILOZ,O,O,O,O,O
TSJIZLO,O,O,O,O,O
TSJIZOL,O,O,O,O,O
TSJIOLZ,O,O,O,X,O
TSJIOZL,O,O,O,X,O
TSJLIZO,O,O,O,O,X
TSJLIOZ,O,O,O,O,X
TSJLZIO,O,O,O,O,X
TSJLZOI,O,O,O,O,X
TSJLOIZ,O,O,O,O,X
TSJLOZI,O,O,O,O,X
TSJZILO,O,O,O,O,X
TSJZIOL,O,O,O,O,X
TSJZLIO,O,O,O,O,X
TSJZLOI,O,O,O,O,X
TSJZOIL,O,O,O,O,X
TSJZOLI,O,O,O,O,X
TSJOILZ,O,O,O,X,O
TSJOIZL,O,O,O,X,O
TSJOLIZ,O,O,O,O,X
TSJOLZI,O,O,O,O,X
TSJOZIL,O,O,O,O,X
TSJOZLI,O,O,O,O,X
TSZILJO,O,O,O,O,X
TSZILOJ,O,O,O,O,X
TSZIJLO,O,O,O,O,X
TSZIJOL,O,O,O,O,X
TSZIOLJ,O,O,O,O,X
TSZIOJL,O,O,O,O,X
TSZLIJO,O,O,O,O,X
TSZLIOJ,O,O,O,O,X
TSZLJIO,O,O,O,O,X
TSZLJOI,O,O,O,O,X
TSZLOIJ,O,O,O,O,X
TSZLOJI,O,O,O,O,X
