sequence,v115@QhB8CeA8BeH8DeA8Jei/IvhFulBFiBXjBzkB0mBRxB,v115@QhB8CeA8BeH8DeA8Je/EJvhFRgBUiBFjBTlB6rB2xB,v115@QhB8CeA8BeH8DeA8Je2EJvhFRgB3hBFjBSqBzrB0sB,v115@QhB8CeA8BeH8DeA8JeT/IvhFelBRhBCmB8rB3sBFtB,v115@QhB8CeA8BeH8DeA8Je2EJvhFRgB1nBSqB0mBzrBXtB,v115@QhB8CeA8BeH8DeA8JeXDJvhFlkBRmBmkBCmBzrB0sB,v115@QhB8CeA8BeH8DeA8Jex/IvhF0kBllBXnB6rBOtBTsB,v115@QhB8CeA8BeH8DeA8JeT/IvhF0gBVqBRnB6rBOsBXtB
TILJSZO,X,X,X,X,O,X,X,X
TILJSOZ,X,X,O,X,X,X,X,X
TILJZSO,X,X,X,X,O,X,X,X
TILJZOS,X,X,O,X,O,X,X,X
TILJOSZ,X,X,O,X,X,X,X,X
TILJOZS,X,X,O,X,O,X,X,X
TILSJZO,X,O,X,X,O,X,X,X
TILSJOZ,X,X,O,X,X,O,X,X
TILSZJO,X,O,X,X,O,X,X,X
TILSZOJ,X,O,X,X,X,X,X,X
TILSOJZ,X,O,O,X,X,O,X,X
TILSOZJ,X,O,O,X,X,O,X,X
TILZJSO,X,X,X,X,O,X,X,X
TILZJOS,X,X,O,X,O,X,X,X
TILZSJO,X,O,X,X,O,X,X,X
TILZSOJ,X,O,X,X,X,X,X,X
TILZOJS,X,X,O,X,O,X,X,O
TILZOSJ,X,O,O,X,X,X,X,O
TILOJSZ,X,X,O,X,X,X,X,X
TILOJZS,X,X,O,X,O,X,X,X
TILOSJZ,X,O,O,X,X,X,X,X
TILOSZJ,X,O,O,X,X,X,X,X
TILOZJS,X,X,O,X,O,X,X,O
TILOZSJ,X,O,O,X,X,X,X,O
TIJLSZO,X,O,X,X,O,X,X,X
TIJLSOZ,X,O,O,X,X,X,X,X
TIJLZSO,X,O,X,X,O,X,X,X
TIJLZOS,X,O,O,X,O,X,X,X
TIJLOSZ,X,O,O,X,X,X,X,X
TIJLOZS,X,O,O,X,O,X,X,X
TIJSLZO,X,O,X,X,X,X,X,X
TIJSLOZ,X,O,X,X,X,O,X,X
TIJSZLO,X,O,X,X,X,X,X,X
TIJSZOL,X,O,X,X,X,O,X,X
TIJSOLZ,X,O,O,X,X,O,X,X
TIJSOZL,X,O,O,X,X,O,X,X
TIJZLSO,X,X,X,X,O,X,X,X
TIJZLOS,X,X,X,X,O,X,X,X
TIJZSLO,X,O,X,X,X,X,X,X
