sequence,v115@IhA8IeA8EeA8AeD8BeE8JeOEJvhFKlBzgBRiBcoBFn?BXrB,v115@IhA8IeA8EeA8AeD8BeE8JeOEJvhFKmBfnBxiBTlBFo?B0qB,v115@IhA8IeA8EeA8AeD8BeE8JeOEJvhFxgBliBcoB/qBar?BzrB,v115@IhA8IeA8EeA8AeD8BeE8JeOEJvhFKlBRiBcoBFmBXn?BzqB,v115@IhA8IeA8EeA8AeD8BeE8JeOEJvhFxgBliBcoBTlByr?BXrB,v115@IhA8IeA8EeA8AeD8BeE8JeOEJvhFKlBRhB3iBcoB1r?BzqB
TOJZISL,O,O,O,X,O,O
TOJZLIS,O,X,O,X,O,O
TOJZLSI,O,O,O,X,O,O
TOJZSIL,O,O,O,X,O,O
TOJZSLI,O,O,O,X,O,O
TOSILJZ,O,O,X,X,X,X
TOSILZJ,O,O,X,X,X,X
TOSIJLZ,X,O,X,X,X,X
TOSIJZL,X,O,O,X,X,X
TOSIZLJ,O,O,O,X,X,X
TOSIZJL,O,O,O,X,X,X
TOSLIJZ,O,O,O,X,X,X
TOSLIZJ,O,O,O,X,X,X
TOSLJIZ,O,O,O,X,X,X
TOSLJZI,O,O,O,X,X,X
TOSLZIJ,O,O,O,X,X,X
TOSLZJI,O,O,O,X,X,X
TOSJILZ,X,O,X,X,X,X
TOSJIZL,X,O,O,X,X,X
TOSJLIZ,O,O,O,X,X,X
TOSJLZI,O,O,O,X,X,X
TOSJZIL,O,O,O,X,X,X
TOSJZLI,O,O,O,X,X,X
TOSZILJ,O,O,O,X,X,X
TOSZIJL,O,O,O,X,X,X
TOSZLIJ,O,O,O,X,X,X
TOSZLJI,O,O,O,X,X,X
TOSZJIL,O,O,O,X,X,X
TOSZJLI,O,O,O,X,X,X
TOZILJS,O,X,O,X,O,O
TOZILSJ,O,X,X,X,O,O
TOZIJLS,O,X,O,X,O,O
TOZIJSL,O,O,O,X,O,O
TOZISLJ,O,O,O,X,X,O
TOZISJL,O,O,O,X,O,O
TOZLIJS,O,X,O,X,O,O
TOZLISJ,O,X,X,X,O,O
TOZLJIS,O,X,O,X,O,O
TOZLJSI,O,O,O,X,O,O
TOZLSIJ,O,O,O,X,O,O
TOZLSJI,O,O,O,X,O,O
TOZJILS,O,X,O,X,O,O
TOZJISL,O,O,O,X,O,O
TOZJLIS,O,X,O,X,O,O
TOZJLSI,O,O,O,X,O,O
TOZJSIL,O,O,O,X,O,O
TOZJSLI,O,O,O,X,O,O
TOZSILJ,O,O,O,X,X,O
TOZSIJL,O,O,O,X,O,O
TOZSLIJ,O,O,O,X,O,O
TOZSLJI,O,O,O,X,O,O
TOZSJIL,O,O,O,X,O,O
TOZSJLI,O,O,O,X,O,O
ITLJSZO,O,O,X,X,X,O
ITLJSOZ,O,O,X,X,X,X
ITLJZSO,O,X,X,X,X,O
ITLJZOS,O,X,X,X,X,O
ITLJOSZ,X,O,X,X,X,X
ITLJOZS,O,X,X,X,X,O
ITLSJZO,O,O,X,X,X,O
ITLSJOZ,O,O,X,X,X,X
ITLSZJO,O,O,X,X,X,O
ITLSZOJ,O,O,X,X,X,O
ITLSOJZ,O,O,X,X,X,X
ITLSOZJ,O,O,X,X,X,X
ITLZJSO,O,X,X,X,X,O
ITLZJOS,O,X,X,X,X,O
ITLZSJO,O,X,X,X,X,O
ITLZSOJ,O,X,X,X,X,O
ITLZOJS,O,X,X,X,X,O
ITLZOSJ,O,X,X,X,X,O
ITLOJSZ,X,O,X,X,X,X
ITLOJZS,O,X,X,X,X,O
ITLOSJZ,X,O,X,X,X,X
ITLOSZJ,X,O,X,X,X,X
ITLOZJS,O,X,X,X,X,O
ITLOZSJ,O,X,X,X,X,O
ITJLSZO,O,O,X,X,X,O
ITJLSOZ,O,O,X,X,X,X
ITJLZSO,O,X,X,X,X,O
ITJLZOS,O,X,X,X,X,O
ITJLOSZ,X,O,X,X,X,X
ITJLOZS,O,X,X,X,X,O
ITJSLZO,O,O,X,X,X,O
ITJSLOZ,O,O,X,X,X,X
ITJSZLO,O,O,X,X,X,O
ITJSZOL,O,O,X,X,X,O
ITJSOLZ,X,O,X,X,X,X
ITJSOZL,X,O,X,X,X,X
ITJZLSO,O,X,X,X,X,O
ITJZLOS,O,X,X,X,X,O
ITJZSLO,O,O,X,X,X,O
ITJZSOL,O,O,X,X,X,O
ITJZOLS,O,X,X,X,X,O
ITJZOSL,O,O,X,X,X,O
ITJOLSZ,X,O,X,X,X,X
ITJOLZS,X,X,X,X,X,O
ITJOSLZ,X,O,X,X,X,X
ITJOSZL,X,O,X,X,X,X
ITJOZLS,X,X,X,X,X,O
ITJOZSL,X,O,X,X,X,O
ITSLJZO,O,O,X,X,X,O
ITSLJOZ,O,O,X,X,X,X
ITSLZJO,O,O,X,X,X,O
ITSLZOJ,O,O,X,X,X,O
ITSLOJZ,O,O,X,X,X,X
ITSLOZJ,O,O,X,X,X,X
ITSJLZO,O,O,X,X,X,O
ITSJLOZ,O,O,X,X,X,X
ITSJZLO,O,O,X,X,X,O
ITSJZOL,O,O,X,X,X,O
ITSJOLZ,X,O,X,X,X,X
ITSJOZL,X,O,X,X,X,X
ITSZLJO,O,O,X,X,X,O
ITSZLOJ,O,O,X,X,X,O
ITSZJLO,O,O,X,X,X,O
ITSZJOL,O,O,X,X,X,O
ITSZOLJ,O,O,X,X,X,O
ITSZOJL,O,O,X,X,X,O
ITSOLJZ,O,O,X,X,X,X
ITSOLZJ,O,O,X,X,X,X
ITSOJLZ,X,O,X,X,X,X
ITSOJZL,X,O,X,X,X,X
ITSOZLJ,O,O,X,X,X,X
ITSOZJL,O,O,X,X,X,X
ITZLJSO,O,X,X,X,X,O
ITZLJOS,O,X,X,X,X,O
ITZLSJO,O,X,X,X,X,O
ITZLSOJ,O,X,X,X,X,O
ITZLOJS,O,X,X,X,X,O
ITZLOSJ,O,X,X,X,X,O
ITZJLSO,O,X,X,X,X,O
ITZJLOS,O,X,X,X,X,O
ITZJSLO,O,O,X,X,X,O
ITZJSOL,O,O,X,X,X,O
ITZJOLS,O,X,X,X,X,O
ITZJOSL,O,O,X,X,X,O
ITZSLJO,O,O,X,X,X,O
ITZSLOJ,O,O,X,X,X,O
ITZSJLO,O,O,X,X,X,O
ITZSJOL,O,O,X,X,X,O
ITZSOLJ,O,O,X,X,X,O
ITZSOJL,O,O,X,X,X,O
ITZOLJS,O,X,X,X,X,O
ITZOLSJ,O,X,X,X,X,O
ITZOJLS,O,X,X,X,X,O
ITZOJSL,O,O,X,X,X,O
ITZOSLJ,O,O,X,X,X,O
ITZOSJL,O,O,X,X,X,O
ITOLJSZ,X,O,X,X,X,X
ITOLJZS,X,X,X,X,X,O
ITOLSJZ,X,O,X,X,X,X
ITOLSZJ,X,O,X,X,X,X
ITOLZJS,X,X,X,X,X,O
ITOLZSJ,X,X,X,X,X,O
ITOJLSZ,X,O,X,X,X,X
ITOJLZS,X,X,X,X,X,O
ITOJSLZ,X,O,X,X,X,X
ITOJSZL,X,O,X,X,X,X
ITOJZLS,X,X,X,X,X,O
ITOJZSL,X,O,X,X,X,O
ITOSLJZ,X,O,X,X,X,X
ITOSLZJ,X,O,X,X,X,X
ITOSJLZ,X,O,X,X,X,X
ITOSJZL,X,O,X,X,X,X
ITOSZLJ,X,O,X,X,X,X
ITOSZJL,X,O,X,X,X,X
ITOZLJS,X,X,X,X,X,O
ITOZLSJ,X,X,X,X,X,O
ITOZJLS,X,X,X,X,X,O
ITOZJSL,X,O,X,X,X,O
ITOZSLJ,X,O,X,X,X,O
ITOZSJL,X,O,X,X,X,O
ILTJSZO,O,O,X,O,X,O
ILTJSOZ,O,O,X,X,X,X
ILTJZSO,O,X,X,O,X,O
ILTJZOS,O,X,X,X,X,O
ILTJOSZ,X,O,X,X,X,X
ILTJOZS,O,X,X,X,X,O
ILTSJZO,O,O,X,O,X,O
ILTSJOZ,O,O,X,X,X,X
ILTSZJO,O,O,X,O,X,O
ILTSZOJ,O,O,X,O,X,O
ILTSOJZ,O,O,X,X,X,X
ILTSOZJ,O,O,X,X,X,X
ILTZJSO,O,X,X,O,X,O
ILTZJOS,O,X,X,X,X,O
ILTZSJO,O,X,X,O,X,O
ILTZSOJ,O,X,X,O,X,O
ILTZOJS,O,X,X,X,X,O
ILTZOSJ,O,X,X,X,X,O
ILTOJSZ,X,O,X,X,X,X
ILTOJZS,O,X,X,X,X,O
ILTOSJZ,X,O,X,X,X,X
ILTOSZJ,X,O,X,X,X,X
ILTOZJS,O,X,X,X,X,O
ILTOZSJ,O,X,X,X,X,O
ILJTSZO,O,O,X,O,X,O
ILJTSOZ,O,O,X,X,X,X
ILJTZSO,O,X,X,O,X,O
ILJTZOS,O,X,X,X,X,O
ILJTOSZ,X,O,X,X,X,X
ILJTOZS,O,X,X,X,X,O
ILJSTZO,O,O,X,O,X,X
ILJSTOZ,O,O,X,X,X,X
ILJSZTO,O,X,X,O,X,X
ILJSZOT,O,X,X,O,X,X
ILJSOTZ,O,O,X,X,X,X
ILJSOZT,O,X,X,X,X,X
ILJZTSO,O,X,X,O,X,O
ILJZTOS,O,X,X,X,O,O
ILJZSTO,O,X,X,O,X,O
ILJZSOT,O,X,X,O,X,O
ILJZOTS,O,X,X,X,O,X
ILJZOST,O,X,X,O,O,X
ILJOTSZ,X,O,X,X,X,X
ILJOTZS,O,X,X,X,O,X
ILJOSTZ,X,O,X,X,X,X
ILJOSZT,X,X,X,X,O,X
ILJOZTS,O,X,X,X,O,X
ILJOZST,O,X,X,X,O,X
ILSTJZO,O,O,X,O,X,X
ILSTJOZ,O,O,X,X,X,X
ILSTZJO,O,O,X,O,X,X
ILSTZOJ,O,O,X,O,X,X
ILSTOJZ,O,O,X,X,X,X
ILSTOZJ,O,O,X,X,X,X
ILSJTZO,O,O,X,O,X,X
ILSJTOZ,O,O,X,X,X,X
ILSJZTO,O,X,X,O,X,X
ILSJZOT,O,X,X,O,X,X
ILSJOTZ,O,O,X,X,X,X
ILSJOZT,O,X,X,X,X,X
ILSZTJO,O,X,X,O,X,X
ILSZTOJ,O,X,X,O,X,X
ILSZJTO,O,X,X,O,X,X
ILSZJOT,O,X,X,O,X,X
ILSZOTJ,O,X,X,O,X,X
ILSZOJT,O,X,X,O,X,X
ILSOTJZ,O,O,X,X,X,X
ILSOTZJ,O,O,X,X,X,X
ILSOJTZ,O,O,X,X,X,X
ILSOJZT,O,X,X,X,X,X
ILSOZTJ,O,X,X,X,X,X
ILSOZJT,O,X,X,X,X,X
ILZTJSO,O,X,X,O,X,O
ILZTJOS,O,X,X,X,O,O
ILZTSJO,O,X,X,O,X,O
ILZTSOJ,O,X,X,O,X,O
ILZTOJS,O,X,X,X,O,O
ILZTOSJ,O,X,X,X,O,O
ILZJTSO,O,X,X,O,X,O
ILZJTOS,O,X,X,X,O,O
ILZJSTO,O,X,X,O,X,O
ILZJSOT,O,X,X,O,X,O
ILZJOTS,O,X,X,X,O,X
ILZJOST,O,X,X,O,O,X
ILZSTJO,O,X,X,O,X,O
ILZSTOJ,O,X,X,O,X,O
ILZSJTO,O,X,X,O,X,O
ILZSJOT,O,X,X,O,X,O
ILZSOTJ,O,X,X,O,X,X
ILZSOJT,O,X,X,O,X,O
ILZOTJS,O,X,X,X,O,X
ILZOTSJ,O,X,X,X,O,X
ILZOJTS,O,X,X,X,O,X
ILZOJST,O,X,X,O,O,X
ILZOSTJ,O,X,X,O,O,X
ILZOSJT,O,X,X,O,O,X
ILOTJSZ,X,O,X,X,X,X
ILOTJZS,O,X,X,X,O,X
ILOTSJZ,X,O,X,X,X,X
ILOTSZJ,X,O,X,X,X,X
ILOTZJS,O,X,X,X,O,X
ILOTZSJ,O,X,X,X,O,X
ILOJTSZ,X,O,X,X,X,X
ILOJTZS,O,X,X,X,O,X
ILOJSTZ,X,O,X,X,X,X
ILOJSZT,X,X,X,X,O,X
ILOJZTS,O,X,X,X,O,X
ILOJZST,O,X,X,X,O,X
ILOSTJZ,X,O,X,X,X,X
ILOSTZJ,X,O,X,X,X,X
ILOSJTZ,X,O,X,X,X,X
ILOSJZT,X,X,X,X,O,X
ILOSZTJ,X,X,X,X,O,X
ILOSZJT,X,X,X,X,O,X
ILOZTJS,O,X,X,X,O,X
ILOZTSJ,O,X,X,X,O,X
ILOZJTS,O,X,X,X,O,X
ILOZJST,O,X,X,X,O,X
ILOZSTJ,X,X,X,X,O,X
ILOZSJT,O,X,X,X,O,X
IJTLSZO,O,O,X,X,X,O
IJTLSOZ,O,O,X,X,X,X
IJTLZSO,O,X,X,X,X,O
IJTLZOS,O,X,X,X,X,O
IJTLOSZ,X,O,X,X,X,X
IJTLOZS,O,X,X,X,X,O
IJTSLZO,O,O,X,X,X,O
IJTSLOZ,O,O,X,X,X,X
IJTSZLO,O,O,X,X,X,O
IJTSZOL,O,O,X,X,X,O
IJTSOLZ,X,O,X,X,X,X
IJTSOZL,X,O,X,X,X,X
IJTZLSO,O,X,X,X,X,O
IJTZLOS,O,X,X,X,X,O
IJTZSLO,O,O,X,X,X,O
IJTZSOL,O,O,X,X,X,O
IJTZOLS,O,X,X,X,X,O
IJTZOSL,O,O,X,X,X,O
IJTOLSZ,X,O,X,X,X,X
IJTOLZS,X,X,X,X,X,O
IJTOSLZ,X,O,X,X,X,X
IJTOSZL,X,O,X,X,X,X
IJTOZLS,X,X,X,X,X,O
IJTOZSL,X,O,X,X,X,O
IJLTSZO,O,O,X,O,X,O
IJLTSOZ,O,O,X,X,X,X
IJLTZSO,O,X,X,O,X,O
IJLTZOS,O,X,X,X,X,O
IJLTOSZ,X,O,X,X,X,X
IJLTOZS,O,X,X,X,X,O
IJLSTZO,O,O,X,O,X,X
IJLSTOZ,O,O,X,X,X,X
IJLSZTO,O,X,X,O,X,X
IJLSZOT,O,X,X,O,X,X
IJLSOTZ,O,O,X,X,X,X
IJLSOZT,O,X,X,X,X,X
IJLZTSO,O,X,X,O,X,O
IJLZTOS,O,X,X,X,O,O
IJLZSTO,O,X,X,O,X,O
IJLZSOT,O,X,X,O,X,O
IJLZOTS,O,X,X,X,O,X
IJLZOST,O,X,X,O,O,X
IJLOTSZ,X,O,X,X,X,X
IJLOTZS,O,X,X,X,O,X
IJLOSTZ,X,O,X,X,X,X
IJLOSZT,X,X,X,X,O,X
IJLOZTS,O,X,X,X,O,X
IJLOZST,O,X,X,X,O,X
IJSTLZO,O,O,X,X,X,X
IJSTLOZ,O,O,X,X,X,X
IJSTZLO,O,O,O,X,X,X
IJSTZOL,O,O,O,X,X,X
IJSTOLZ,X,O,X,X,X,X
IJSTOZL,X,O,X,X,X,X
IJSLTZO,O,O,O,O,X,X
IJSLTOZ,O,O,X,X,X,X
IJSLZTO,O,X,O,O,X,X
IJSLZOT,O,X,O,O,X,X
IJSLOTZ,O,O,O,X,X,X
IJSLOZT,O,X,O,X,X,X
IJSZTLO,O,X,O,O,X,X
IJSZTOL,O,X,O,X,X,X
IJSZLTO,O,X,O,O,X,X
IJSZLOT,O,X,O,O,X,X
IJSZOTL,X,X,O,X,X,X
IJSZOLT,O,X,O,O,X,X
IJSOTLZ,X,O,X,X,X,X
IJSOTZL,X,O,O,X,X,X
IJSOLTZ,X,O,O,X,X,X
IJSOLZT,X,X,O,X,X,X
IJSOZTL,X,X,O,X,X,X
IJSOZLT,X,X,O,X,X,X
IJZTLSO,O,X,X,O,X,O
IJZTLOS,O,X,X,X,O,O
IJZTSLO,O,X,O,O,X,O
IJZTSOL,O,X,O,X,X,O
IJZTOLS,O,X,O,X,O,O
IJZTOSL,O,X,O,X,O,O
IJZLTSO,O,X,X,O,X,O
IJZLTOS,O,X,X,X,O,O
IJZLSTO,O,X,X,O,X,O
IJZLSOT,O,X,X,O,X,O
IJZLOTS,O,X,X,X,O,X
IJZLOST,O,X,X,O,O,X
IJZSTLO,O,X,O,O,X,O
IJZSTOL,O,X,O,X,X,O
IJZSLTO,O,X,O,O,X,O
IJZSLOT,O,X,O,O,X,O
IJZSOTL,X,X,O,X,X,X
IJZSOLT,O,X,O,O,X,O
IJZOTLS,O,X,O,X,O,X
IJZOTSL,O,X,O,X,O,X
IJZOLTS,O,X,O,X,O,X
IJZOLST,O,X,X,O,O,X
IJZOSTL,X,X,O,X,O,X
IJZOSLT,O,X,O,O,O,X
IJOTLSZ,X,O,X,X,X,X
IJOTLZS,X,X,X,X,O,X
IJOTSLZ,X,O,X,X,X,X
IJOTSZL,X,O,X,X,X,X
IJOTZLS,X,X,O,X,O,X
IJOTZSL,X,O,O,X,O,X
IJOLTSZ,X,O,X,X,X,X
IJOLTZS,X,X,X,X,O,X
IJOLSTZ,X,O,X,X,X,X
IJOLSZT,X,X,X,X,O,X
IJOLZTS,X,X,O,X,O,X
IJOLZST,X,X,X,X,O,X
IJOSTLZ,X,O,X,X,X,X
IJOSTZL,X,O,O,X,X,X
IJOSLTZ,X,O,O,X,X,X
IJOSLZT,X,X,O,X,O,X
IJOSZTL,X,X,O,X,O,X
IJOSZLT,X,X,O,X,O,X
IJOZTLS,X,X,O,X,O,X
IJOZTSL,X,X,O,X,O,X
IJOZLTS,X,X,O,X,O,X
IJOZLST,X,X,X,X,O,X
IJOZSTL,X,X,O,X,O,X
IJOZSLT,X,X,O,X,O,X
ISTLJZO,O,O,X,O,X,X
ISTLJOZ,O,O,X,X,X,X
ISTLZJO,O,O,X,O,X,X
ISTLZOJ,O,O,X,O,X,X
ISTLOJZ,O,O,X,X,X,X
ISTLOZJ,O,O,X,X,X,X
ISTJLZO,O,O,X,X,X,X
ISTJLOZ,O,O,X,X,X,X
ISTJZLO,O,O,O,X,X,X
ISTJZOL,O,O,O,X,X,X
ISTJOLZ,X,O,X,X,X,X
ISTJOZL,X,O,X,X,X,X
ISTZLJO,O,O,O,O,X,X
ISTZLOJ,O,O,X,O,X,X
ISTZJLO,O,O,O,O,X,X
ISTZJOL,O,O,O,X,X,X
ISTZOLJ,O,O,X,O,X,X
ISTZOJL,O,O,O,X,X,X
ISTOLJZ,O,O,X,X,X,X
ISTOLZJ,O,O,X,X,X,X
ISTOJLZ,X,O,X,X,X,X
ISTOJZL,X,O,X,X,X,X
ISTOZLJ,O,O,X,X,X,X
ISTOZJL,O,O,X,X,X,X
ISLTJZO,O,O,O,O,X,X
ISLTJOZ,O,O,X,X,X,X
ISLTZJO,O,O,O,O,X,X
ISLTZOJ,O,O,O,O,X,X
ISLTOJZ,O,O,X,X,X,X
ISLTOZJ,O,O,X,X,X,X
ISLJTZO,O,O,O,O,X,X
ISLJTOZ,O,O,X,X,X,X
ISLJZTO,O,X,O,O,X,X
ISLJZOT,O,X,O,O,X,X
ISLJOTZ,O,O,O,X,X,X
ISLJOZT,O,X,O,X,X,X
ISLZTJO,O,X,O,O,X,X
ISLZTOJ,O,X,O,O,X,X
ISLZJTO,O,X,O,O,X,X
ISLZJOT,O,X,O,O,X,X
ISLZOTJ,O,X,O,O,X,X
ISLZOJT,O,X,O,O,X,X
ISLOTJZ,O,O,O,X,X,X
ISLOTZJ,O,O,O,X,X,X
ISLOJTZ,O,O,O,X,X,X
ISLOJZT,O,X,O,X,X,X
ISLOZTJ,O,X,O,X,X,X
ISLOZJT,O,X,O,X,X,X
ISJTLZO,O,O,X,X,X,X
ISJTLOZ,O,O,X,X,X,X
ISJTZLO,O,O,O,X,X,X
ISJTZOL,O,O,O,X,X,X
ISJTOLZ,X,O,X,X,X,X
ISJTOZL,X,O,X,X,X,X
ISJLTZO,O,O,O,O,X,X
ISJLTOZ,O,O,X,X,X,X
ISJLZTO,O,X,O,O,X,X
ISJLZOT,O,X,O,O,X,X
ISJLOTZ,O,O,O,X,X,X
ISJLOZT,O,X,O,X,X,X
ISJZTLO,O,X,O,O,X,X
ISJZTOL,O,X,O,X,X,X
ISJZLTO,O,X,O,O,X,X
ISJZLOT,O,X,O,O,X,X
ISJZOTL,X,X,O,X,X,X
ISJZOLT,O,X,O,O,X,X
ISJOTLZ,X,O,X,X,X,X
ISJOTZL,X,O,O,X,X,X
ISJOLTZ,X,O,O,X,X,X
ISJOLZT,X,X,O,X,X,X
ISJOZTL,X,X,O,X,X,X
ISJOZLT,X,X,O,X,X,X
ISZTLJO,O,X,O,O,X,X
ISZTLOJ,O,X,O,O,X,X
ISZTJLO,O,X,O,O,X,X
ISZTJOL,O,X,O,X,X,X
ISZTOLJ,O,X,O,O,X,X
ISZTOJL,O,X,O,X,X,X
ISZLTJO,O,X,O,O,X,X
ISZLTOJ,O,X,O,O,X,X
ISZLJTO,O,X,O,O,X,X
ISZLJOT,O,X,O,O,X,X
ISZLOTJ,O,X,O,O,X,X
ISZLOJT,O,X,O,O,X,X
ISZJTLO,O,X,O,O,X,X
ISZJTOL,O,X,O,X,X,X
ISZJLTO,O,X,O,O,X,X
ISZJLOT,O,X,O,O,X,X
ISZJOTL,X,X,O,X,X,X
ISZJOLT,O,X,O,O,X,X
ISZOTLJ,O,X,O,O,X,X
ISZOTJL,O,X,O,X,X,X
ISZOLTJ,O,X,O,O,X,X
ISZOLJT,O,X,O,O,X,X
ISZOJTL,X,X,O,X,X,X
ISZOJLT,O,X,O,O,X,X
ISOTLJZ,O,O,X,X,X,X
ISOTLZJ,O,O,X,X,X,X
ISOTJLZ,X,O,X,X,X,X
ISOTJZL,X,O,O,X,X,X
ISOTZLJ,O,O,O,X,X,X
ISOTZJL,O,O,O,X,X,X
ISOLTJZ,O,O,O,X,X,X
ISOLTZJ,O,O,O,X,X,X
ISOLJTZ,O,O,O,X,X,X
ISOLJZT,O,X,O,X,X,X
ISOLZTJ,O,X,O,X,X,X
ISOLZJT,O,X,O,X,X,X
ISOJTLZ,X,O,X,X,X,X
ISOJTZL,X,O,O,X,X,X
ISOJLTZ,X,O,O,X,X,X
ISOJLZT,X,X,O,X,X,X
ISOJZTL,X,X,O,X,X,X
ISOJZLT,X,X,O,X,X,X
ISOZTLJ,O,X,O,X,X,X
ISOZTJL,O,X,O,X,X,X
ISOZLTJ,O,X,O,X,X,X
ISOZLJT,O,X,O,X,X,X
ISOZJTL,X,X,O,X,X,X
ISOZJLT,O,X,O,X,X,X
IZTLJSO,O,X,X,O,X,O
IZTLJOS,O,X,X,X,O,O
IZTLSJO,O,X,X,O,X,O
IZTLSOJ,O,X,X,O,X,O
IZTLOJS,O,X,X,X,O,O
IZTLOSJ,O,X,X,X,O,O
IZTJLSO,O,X,X,O,X,O
IZTJLOS,O,X,X,X,O,O
IZTJSLO,O,X,O,O,X,O
IZTJSOL,O,X,O,X,X,O
IZTJOLS,O,X,O,X,O,O
IZTJOSL,O,X,O,X,O,O
IZTSLJO,O,X,O,O,X,O
IZTSLOJ,O,X,O,O,X,O
IZTSJLO,O,X,O,O,X,O
IZTSJOL,O,X,O,X,X,O
IZTSOLJ,O,X,O,O,X,O
IZTSOJL,O,X,O,X,X,O
IZTOLJS,O,X,O,X,O,O
IZTOLSJ,O,X,X,X,O,O
IZTOJLS,O,X,O,X,O,O
IZTOJSL,O,X,O,X,O,O
IZTOSLJ,O,X,O,X,X,O
IZTOSJL,O,X,O,X,O,O
IZLTJSO,O,X,X,O,X,O
IZLTJOS,O,X,X,X,O,O
IZLTSJO,O,X,X,O,X,O
IZLTSOJ,O,X,X,O,X,O
IZLTOJS,O,X,X,X,O,O
IZLTOSJ,O,X,X,X,O,O
IZLJTSO,O,X,X,O,X,O
IZLJTOS,O,X,X,X,O,O
IZLJSTO,O,X,X,O,X,O
IZLJSOT,O,X,X,O,X,O
IZLJOTS,O,X,X,X,O,X
IZLJOST,O,X,X,O,O,X
IZLSTJO,O,X,X,O,X,O
IZLSTOJ,O,X,X,O,X,O
IZLSJTO,O,X,X,O,X,O
IZLSJOT,O,X,X,O,X,O
IZLSOTJ,O,X,X,O,X,X
IZLSOJT,O,X,X,O,X,O
IZLOTJS,O,X,X,X,O,X
IZLOTSJ,O,X,X,X,O,X
IZLOJTS,O,X,X,X,O,X
IZLOJST,O,X,X,O,O,X
IZLOSTJ,O,X,X,O,O,X
IZLOSJT,O,X,X,O,O,X
IZJTLSO,O,X,X,O,X,O
IZJTLOS,O,X,X,X,O,O
IZJTSLO,O,X,O,O,X,O
IZJTSOL,O,X,O,X,X,O
IZJTOLS,O,X,O,X,O,O
IZJTOSL,O,X,O,X,O,O
IZJLTSO,O,X,X,O,X,O
IZJLTOS,O,X,X,X,O,O
IZJLSTO,O,X,X,O,X,O
IZJLSOT,O,X,X,O,X,O
IZJLOTS,O,X,X,X,O,X
IZJLOST,O,X,X,O,O,X
IZJSTLO,O,X,O,O,X,O
IZJSTOL,O,X,O,X,X,O
IZJSLTO,O,X,O,O,X,O
IZJSLOT,O,X,O,O,X,O
IZJSOTL,X,X,O,X,X,X
IZJSOLT,O,X,O,O,X,O
IZJOTLS,O,X,O,X,O,X
IZJOTSL,O,X,O,X,O,X
IZJOLTS,O,X,O,X,O,X
IZJOLST,O,X,X,O,O,X
IZJOSTL,X,X,O,X,O,X
IZJOSLT,O,X,O,O,O,X
IZSTLJO,O,X,O,O,X,O
IZSTLOJ,O,X,O,O,X,O
IZSTJLO,O,X,O,O,X,O
IZSTJOL,O,X,O,X,X,O
IZSTOLJ,O,X,O,O,X,O
IZSTOJL,O,X,O,X,X,O
IZSLTJO,O,X,O,O,X,O
IZSLTOJ,O,X,O,O,X,O
IZSLJTO,O,X,O,O,X,O
IZSLJOT,O,X,O,O,X,O
IZSLOTJ,O,X,O,O,X,X
IZSLOJT,O,X,O,O,X,O
IZSJTLO,O,X,O,O,X,O
IZSJTOL,O,X,O,X,X,O
IZSJLTO,O,X,O,O,X,O
IZSJLOT,O,X,O,O,X,O
IZSJOTL,X,X,O,X,X,X
IZSJOLT,O,X,O,O,X,O
IZSOTLJ,O,X,O,O,X,X
IZSOTJL,O,X,O,X,X,X
IZSOLTJ,O,X,O,O,X,X
IZSOLJT,O,X,O,O,X,O
IZSOJTL,X,X,O,X,X,X
IZSOJLT,O,X,O,O,X,O
IZOTLJS,O,X,O,X,O,X
IZOTLSJ,O,X,X,X,O,X
IZOTJLS,O,X,O,X,O,X
IZOTJSL,O,X,O,X,O,X
IZOTSLJ,O,X,O,X,X,X
IZOTSJL,O,X,O,X,O,X
IZOLTJS,O,X,O,X,O,X
IZOLTSJ,O,X,X,X,O,X
IZOLJTS,O,X,O,X,O,X
IZOLJST,O,X,X,O,O,X
IZOLSTJ,O,X,X,O,O,X
IZOLSJT,O,X,X,O,O,X
IZOJTLS,O,X,O,X,O,X
IZOJTSL,O,X,O,X,O,X
IZOJLTS,O,X,O,X,O,X
IZOJLST,O,X,X,O,O,X
IZOJSTL,X,X,O,X,O,X
IZOJSLT,O,X,O,O,O,X
IZOSTLJ,O,X,O,O,X,X
IZOSTJL,X,X,O,X,O,X
IZOSLTJ,O,X,O,O,O,X
IZOSLJT,O,X,O,O,O,X
IZOSJTL,X,X,O,X,O,X
IZOSJLT,O,X,O,O,O,X
IOTLJSZ,X,O,X,X,X,X
IOTLJZS,X,X,X,X,O,X
IOTLSJZ,X,O,X,X,X,X
IOTLSZJ,X,O,X,X,X,X
IOTLZJS,X,X,X,X,O,X
IOTLZSJ,X,X,X,X,O,X
IOTJLSZ,X,O,X,X,X,X
IOTJLZS,X,X,X,X,O,X
IOTJSLZ,X,O,X,X,X,X
IOTJSZL,X,O,X,X,X,X
IOTJZLS,X,X,O,X,O,X
IOTJZSL,X,O,O,X,O,X
IOTSLJZ,X,O,X,X,X,X
IOTSLZJ,X,O,X,X,X,X
IOTSJLZ,X,O,X,X,X,X
IOTSJZL,X,O,X,X,X,X
IOTSZLJ,X,O,X,X,X,X
IOTSZJL,X,O,X,X,X,X
IOTZLJS,X,X,O,X,O,X
IOTZLSJ,X,X,X,X,O,X
IOTZJLS,X,X,O,X,O,X
IOTZJSL,X,O,O,X,O,X
