sequence,v115@RhA8DeB8AeD8CeE8Je2EJvhFRgB1mB6nBTjBfrBUqB,v115@RhA8DeB8AeD8CeE8Jem/IvhF6nBTjB0kBRmB3qBFrB,v115@RhA8DeB8AeD8CeE8Je/EJvhFFgB0hBxiBzlBCoB2vB,v115@RhA8DeB8AeD8CeE8JeT/IvhFelBfmB0hBxiBCoB1vB,v115@RhA8DeB8AeD8CeE8JeT/IvhF3hBGjBlnBRqB0qBiqB
TILJSZO,O,X,X,O,O
TILJSOZ,O,X,X,O,O
TILJZSO,X,X,X,O,O
TILJZOS,X,X,X,O,O
TILJOSZ,O,X,X,O,O
TILJOZS,X,X,X,O,O
TILSJZO,O,X,X,O,O
TILSJOZ,O,X,X,O,O
TILSZJO,O,O,X,O,O
TILSZOJ,O,O,X,O,O
TILSOJZ,O,X,X,O,O
TILSOZJ,O,O,X,O,O
TILZJSO,O,X,X,O,O
TILZJOS,O,O,X,O,O
TILZSJO,O,X,X,O,O
TILZSOJ,O,X,X,O,O
TILZOJS,O,O,X,O,O
TILZOSJ,O,X,X,X,O
TILOJSZ,O,X,X,O,O
TILOJZS,X,X,X,O,O
TILOSJZ,O,X,X,O,O
TILOSZJ,O,O,X,O,O
TILOZJS,O,O,X,O,O
TILOZSJ,O,X,X,X,O
TIJLSZO,O,X,X,O,O
TIJLSOZ,O,X,X,O,O
TIJLZSO,X,X,X,O,O
TIJLZOS,X,X,X,O,O
TIJLOSZ,O,X,X,O,O
TIJLOZS,X,X,X,O,O
TIJSLZO,O,X,X,O,O
TIJSLOZ,O,X,X,O,O
TIJSZLO,O,X,X,O,O
TIJSZOL,O,X,X,O,O
TIJSOLZ,O,X,X,O,O
TIJSOZL,O,X,X,O,O
TIJZLSO,X,X,X,X,O
TIJZLOS,X,X,X,X,O
TIJZSLO,X,X,X,X,O
TIJZSOL,X,X,X,X,O
TIJZOLS,X,X,X,X,O
TIJZOSL,X,X,X,X,O
TIJOLSZ,O,X,X,O,O
TIJOLZS,X,X,X,O,O
TIJOSLZ,O,X,X,O,O
TIJOSZL,O,X,X,O,O
TIJOZLS,X,X,X,X,O
TIJOZSL,X,X,X,X,O
TISLJZO,O,X,X,O,O
TISLJOZ,O,X,X,O,O
TISLZJO,O,O,X,O,O
TISLZOJ,O,O,X,O,O
TISLOJZ,O,X,X,O,O
TISLOZJ,O,O,X,O,O
TISJLZO,O,X,X,O,O
TISJLOZ,O,X,X,O,O
TISJZLO,O,X,X,O,O
TISJZOL,O,X,X,O,O
TISJOLZ,O,X,X,O,O
TISJOZL,O,X,X,O,O
TISZLJO,O,O,X,O,O
TISZLOJ,O,O,X,O,O
TISZJLO,O,O,X,O,O
TISZJOL,O,O,X,O,O
TISZOLJ,O,O,X,X,O
TISZOJL,O,O,X,O,O
TISOLJZ,O,X,X,X,O
TISOLZJ,O,O,X,X,O
TISOJLZ,O,X,X,X,O
TISOJZL,O,X,X,X,O
TISOZLJ,O,O,X,X,O
TISOZJL,O,O,X,X,O
TIZLJSO,O,X,X,X,O
TIZLJOS,O,O,X,X,O
TIZLSJO,O,X,X,X,O
TIZLSOJ,O,X,X,X,O
TIZLOJS,O,O,X,X,O
TIZLOSJ,O,X,X,X,O
TIZJLSO,O,X,X,X,O
