sequence,v115@GhA8IeA8CeC8CeB8BeD8BeA8Jex/IvhFXhBVnBaoBT?kBeqB0sB,v115@GhA8IeA8CeC8CeB8BeD8BeA8JeKEJvhFUhBGiBZoBF?lB/sBzpB,v115@GhA8IeA8CeC8CeB8BeD8BeA8Jex/IvhFXhBliBikBU?nBetBzpB,v115@GhA8IeA8CeC8CeB8BeD8BeA8Jex/IvhFXhBmiBypBF?nBzsB0pB,v115@GhA8IeA8CeC8CeB8BeD8BeA8JeUBJvhFRiB/pBFlBi?nBzsBmpB,v115@GhA8IeA8CeC8CeB8BeD8BeA8JeT/IvhFXhBZoBUnBl?pBOqB6sB,v115@GhA8IeA8CeC8CeB8BeD8BeA8Jex/IvhFVmBUiBikBe?tB3nBzpB,v115@GhA8IeA8CeC8CeB8BeD8BeA8JeOFJvhFXhBZoBTkBF?nB6sB0pB
TILJSZO,O,O,X,X,X,X,O,X
TILJSOZ,O,O,X,X,X,X,X,X
TILJZSO,O,O,X,X,X,X,O,X
TILJZOS,X,X,X,X,X,X,O,X
TILJOSZ,O,X,X,X,X,X,X,X
TILJOZS,O,X,X,X,X,X,O,X
TILSJZO,O,O,X,X,X,X,O,X
TILSJOZ,O,O,X,X,X,X,X,O
TILSZJO,O,O,X,X,X,O,X,X
TILSZOJ,X,O,X,X,X,O,X,X
TILSOJZ,O,O,X,X,X,X,X,O
TILSOZJ,X,O,X,X,X,O,X,X
TILZJSO,X,O,X,X,X,O,O,X
TILZJOS,X,X,X,X,X,O,O,X
TILZSJO,X,O,X,X,X,O,X,X
TILZSOJ,X,O,X,X,X,O,X,X
TILZOJS,X,X,X,X,X,O,X,X
TILZOSJ,X,O,X,X,X,O,X,X
TILOJSZ,O,X,X,X,X,X,X,X
TILOJZS,O,X,X,X,X,X,O,X
TILOSJZ,X,O,X,X,X,X,X,O
TILOSZJ,X,O,X,X,X,O,X,X
TILOZJS,X,X,X,X,X,O,X,X
TILOZSJ,X,O,X,X,X,O,X,X
TIJLSZO,O,X,X,X,X,X,O,X
TIJLSOZ,O,X,X,X,X,X,X,X
TIJLZSO,O,X,X,X,X,X,O,X
TIJLZOS,O,X,X,X,X,X,O,X
TIJLOSZ,O,X,X,X,X,X,X,X
TIJLOZS,O,X,X,X,X,X,O,X
TIJSLZO,O,X,X,X,X,X,X,X
TIJSLOZ,O,X,X,X,X,X,X,O
TIJSZLO,O,X,X,X,X,O,X,X
TIJSZOL,O,X,X,X,X,O,X,O
TIJSOLZ,O,X,X,X,X,X,X,O
TIJSOZL,O,X,X,X,X,O,X,O
TIJZLSO,O,X,X,X,X,O,O,X
TIJZLOS,O,X,X,X,X,O,O,X
TIJZSLO,O,X,X,X,X,O,X,X
TIJZSOL,O,X,X,X,X,O,X,X
TIJZOLS,O,X,X,X,X,O,O,X
TIJZOSL,O,X,X,X,X,O,X,X
TIJOLSZ,O,X,X,X,X,X,O,X
TIJOLZS,O,X,X,X,X,X,O,X
TIJOSLZ,O,X,X,X,X,X,X,O
TIJOSZL,O,X,X,X,X,O,X,O
TIJOZLS,O,X,X,X,X,O,O,X
TIJOZSL,O,X,X,X,X,O,X,X
TISLJZO,O,O,X,X,X,X,X,X
TISLJOZ,O,O,X,X,X,X,X,O
TISLZJO,O,O,X,X,X,O,X,X
TISLZOJ,O,O,X,X,X,O,X,X
TISLOJZ,O,O,X,X,X,X,X,O
TISLOZJ,X,O,X,X,X,O,X,X
TISJLZO,O,O,X,X,X,X,X,X
TISJLOZ,O,O,X,X,X,X,X,O
TISJZLO,O,O,X,X,X,O,X,X
TISJZOL,O,X,X,X,X,O,X,O
TISJOLZ,O,X,X,X,X,X,X,O
TISJOZL,O,X,X,X,X,O,X,O
TISZLJO,O,O,X,X,X,O,X,X
TISZLOJ,O,O,X,X,X,O,X,X
TISZJLO,O,O,X,X,X,O,X,X
TISZJOL,O,X,X,X,X,O,X,O
TISZOLJ,O,X,X,X,X,O,X,X
TISZOJL,X,X,X,X,X,O,X,O
TISOLJZ,O,X,X,X,X,X,X,O
TISOLZJ,X,X,X,X,X,O,X,X
TISOJLZ,X,X,X,X,X,X,X,O
TISOJZL,X,X,X,X,X,O,X,O
TISOZLJ,O,X,X,X,X,O,X,X
TISOZJL,X,X,X,X,X,O,X,O
TIZLJSO,O,O,X,X,X,O,X,X
TIZLJOS,O,X,X,X,X,O,X,X
TIZLSJO,O,O,X,X,X,O,X,X
TIZLSOJ,O,O,X,X,X,O,X,X
TIZLOJS,O,X,X,X,X,O,X,X
TIZLOSJ,X,O,X,X,X,O,X,X
TIZJLSO,O,X,X,X,X,O,X,X
TIZJLOS,O,X,X,X,X,O,X,X
TIZJSLO,O,X,X,X,X,O,X,X
TIZJSOL,O,X,X,X,X,O,X,X
TIZJOLS,O,X,X,X,X,O,X,X
TIZJOSL,O,X,X,X,X,O,X,X
TIZSLJO,O,O,X,X,X,O,X,X
TIZSLOJ,O,O,X,X,X,O,X,X
TIZSJLO,O,O,X,X,X,O,X,X
TIZSJOL,O,X,X,X,X,O,X,O
TIZSOLJ,O,X,X,X,X,O,X,X
TIZSOJL,X,X,X,X,X,O,X,O
TIZOLJS,O,X,X,X,X,O,X,X
TIZOLSJ,X,X,X,X,X,O,X,X
TIZOJLS,O,X,X,X,X,O,X,X
TIZOJSL,O,X,X,X,X,O,X,X
TIZOSLJ,X,X,X,X,X,O,X,X
TIZOSJL,X,X,X,X,X,O,X,O
TIOLJSZ,O,X,X,X,X,X,O,X
TIOLJZS,O,X,X,X,X,X,O,X
TIOLSJZ,X,X,X,X,X,X,O,O
TIOLSZJ,X,X,X,X,X,O,X,X
TIOLZJS,X,X,X,X,X,O,O,X
TIOLZSJ,X,X,X,X,X,O,X,X
TIOJLSZ,O,X,X,X,X,X,O,X
TIOJLZS,O,X,X,X,X,X,O,X
TIOJSLZ,O,X,X,X,X,X,X,O
TIOJSZL,O,X,X,X,X,O,X,O
TIOJZLS,O,X,X,X,X,O,O,X
TIOJZSL,O,X,X,X,X,O,X,X
TIOSLJZ,X,X,X,X,X,X,X,O
TIOSLZJ,X,X,X,X,X,O,X,X
TIOSJLZ,X,X,X,X,X,X,X,O
TIOSJZL,X,X,X,X,X,O,X,O
TIOSZLJ,X,X,X,X,X,O,X,X
TIOSZJL,X,X,X,X,X,O,X,O
TIOZLJS,O,X,X,X,X,O,X,X
TIOZLSJ,X,X,X,X,X,O,X,X
TIOZJLS,O,X,X,X,X,O,X,X
TIOZJSL,O,X,X,X,X,O,X,X
TIOZSLJ,X,X,X,X,X,O,X,X
TIOZSJL,X,X,X,X,X,O,X,O
TLIJSZO,O,O,O,X,X,X,O,X
TLIJSOZ,O,O,O,X,X,X,X,X
TLIJZSO,O,O,O,X,X,X,O,X
TLIJZOS,X,X,O,X,X,X,O,X
TLIJOSZ,O,X,O,X,X,X,X,X
TLIJOZS,O,X,X,X,X,X,O,X
TLISJZO,O,O,O,X,X,X,O,X
TLISJOZ,O,O,O,X,X,X,X,O
TLISZJO,O,O,X,X,X,O,X,X
TLISZOJ,X,O,X,X,X,O,X,X
TLISOJZ,O,O,X,O,X,X,X,O
TLISOZJ,X,O,X,O,X,O,X,X
TLIZJSO,X,O,X,X,X,O,O,X
TLIZJOS,X,X,X,X,X,O,O,X
TLIZSJO,X,O,X,X,X,O,X,X
TLIZSOJ,X,O,X,X,X,O,X,X
TLIZOJS,X,X,X,X,X,O,X,X
TLIZOSJ,X,O,X,X,X,O,X,X
TLIOJSZ,O,X,X,O,X,X,X,X
TLIOJZS,O,X,X,O,X,X,O,X
TLIOSJZ,X,O,X,O,X,X,X,O
TLIOSZJ,X,O,X,O,X,O,X,X
TLIOZJS,X,X,X,O,X,O,X,X
TLIOZSJ,X,O,X,O,X,O,X,X
TLJISZO,O,O,O,X,X,X,O,X
TLJISOZ,O,O,O,X,X,X,X,X
TLJIZSO,O,O,O,X,X,X,O,X
TLJIZOS,O,X,O,X,X,X,O,X
TLJIOSZ,O,X,O,X,X,X,X,X
TLJIOZS,O,X,X,X,X,X,O,X
TLJSIZO,O,O,O,X,X,X,O,X
TLJSIOZ,O,O,O,X,X,X,X,X
TLJSZIO,O,O,O,X,X,X,O,X
TLJSZOI,O,O,O,X,X,X,O,X
TLJSOIZ,O,O,O,X,X,X,X,X
TLJSOZI,O,O,X,X,X,X,X,X
TLJZISO,O,O,O,X,X,X,O,X
