sequence,v115@NhA8CeB8DeB8AeB8DeE8JeT/IvhFOlBXhBxiBcrBFo?BSvB,v115@NhA8CeB8DeB8AeB8DeE8JeT/IvhFylB+mBxiBFoBXq?B0qB,v115@NhA8CeB8DeB8AeB8DeE8JeT/IvhFxgBliBcoBeqBCm?BXrB,v115@NhA8CeB8DeB8AeB8DeE8JeT/IvhF6mBxiBmlBFoBXq?B0qB,v115@NhA8CeB8DeB8AeB8DeE8JeT/IvhFXhBxiBeqBSrBFo?B0qB,v115@NhA8CeB8DeB8AeB8DeE8JeT/IvhFChBliBcoBxqBeq?BXrB
TILJSZO,O,O,X,O,O,X
TILJSOZ,O,O,X,O,O,X
TILJZSO,O,X,X,X,O,X
TILJZOS,O,O,X,X,O,X
TILJOSZ,O,O,X,O,O,X
TILJOZS,O,O,X,X,O,X
TILSJZO,O,O,X,O,O,X
TILSJOZ,O,O,X,O,O,X
TILSZJO,O,X,X,O,X,X
TILSZOJ,O,X,X,O,X,X
TILSOJZ,O,O,X,O,O,X
TILSOZJ,O,X,X,O,X,X
TILZJSO,O,X,X,X,O,O
TILZJOS,O,X,X,X,O,O
TILZSJO,O,X,X,O,X,O
TILZSOJ,O,X,X,O,X,X
TILZOJS,O,X,X,X,O,O
TILZOSJ,O,X,X,O,X,X
TILOJSZ,O,O,X,O,O,X
TILOJZS,O,O,X,X,O,X
TILOSJZ,O,O,X,O,O,X
TILOSZJ,O,X,X,O,X,X
TILOZJS,O,X,X,X,O,X
TILOZSJ,O,X,X,O,X,X
TIJLSZO,O,O,X,O,O,X
TIJLSOZ,O,O,X,O,O,X
TIJLZSO,O,X,X,X,O,X
TIJLZOS,O,O,X,X,O,X
TIJLOSZ,O,O,X,O,O,X
TIJLOZS,O,O,X,X,O,X
TIJSLZO,X,O,X,O,O,X
TIJSLOZ,X,O,X,O,O,X
TIJSZLO,X,O,X,O,X,X
TIJSZOL,X,O,X,O,X,X
TIJSOLZ,X,O,X,O,O,X
TIJSOZL,X,O,X,O,X,X
TIJZLSO,O,X,X,X,O,X
TIJZLOS,O,O,X,X,O,X
TIJZSLO,O,O,X,X,X,X
TIJZSOL,O,O,X,X,X,X
TIJZOLS,O,O,X,X,O,X
TIJZOSL,O,O,X,X,X,X
TIJOLSZ,O,O,X,O,O,X
TIJOLZS,O,O,X,X,O,X
TIJOSLZ,X,O,X,O,O,X
TIJOSZL,X,O,X,O,X,X
TIJOZLS,O,O,X,X,O,X
TIJOZSL,O,O,X,X,X,X
TISLJZO,O,O,X,O,O,X
TISLJOZ,O,O,X,O,O,X
TISLZJO,O,X,X,O,X,X
TISLZOJ,O,X,X,O,X,X
TISLOJZ,O,O,X,O,O,X
TISLOZJ,O,X,X,O,X,X
TISJLZO,X,O,X,O,O,X
TISJLOZ,X,O,X,O,O,X
TISJZLO,X,O,X,O,X,X
TISJZOL,X,O,X,O,X,X
TISJOLZ,X,O,X,O,O,X
TISJOZL,X,O,X,O,X,X
TISZLJO,O,X,X,O,X,X
TISZLOJ,O,X,X,O,X,X
TISZJLO,O,O,X,O,X,X
TISZJOL,O,O,X,O,X,X
TISZOLJ,O,X,X,O,X,X
TISZOJL,O,O,X,O,X,X
TISOLJZ,O,O,X,O,O,X
TISOLZJ,O,X,X,O,X,X
TISOJLZ,X,O,X,O,O,X
TISOJZL,X,O,X,O,X,X
TISOZLJ,O,X,X,O,X,X
TISOZJL,O,O,X,O,X,X
TIZLJSO,O,X,X,X,O,O
TIZLJOS,O,X,X,X,O,O
TIZLSJO,O,X,X,O,X,O
TIZLSOJ,O,X,X,O,X,O
TIZLOJS,O,X,X,X,O,O
TIZLOSJ,O,X,X,O,X,O
TIZJLSO,O,X,X,X,O,O
TIZJLOS,O,O,X,X,O,O
TIZJSLO,O,O,X,X,X,O
TIZJSOL,O,O,X,X,X,O
TIZJOLS,O,O,X,X,O,O
TIZJOSL,O,O,X,X,X,O
TIZSLJO,O,X,X,O,X,O
TIZSLOJ,O,X,X,O,X,O
TIZSJLO,O,O,X,O,X,O
TIZSJOL,O,O,X,O,X,O
TIZSOLJ,O,X,X,O,X,O
TIZSOJL,O,O,X,O,X,O
TIZOLJS,O,X,X,X,O,O
TIZOLSJ,O,X,X,O,X,O
TIZOJLS,O,O,X,X,O,O
TIZOJSL,O,O,X,X,X,O
TIZOSLJ,O,X,X,O,X,O
TIZOSJL,O,O,X,O,X,O
TIOLJSZ,O,O,X,O,O,X
TIOLJZS,O,O,X,X,O,X
TIOLSJZ,O,O,X,O,O,X
TIOLSZJ,O,X,X,O,X,X
TIOLZJS,O,X,X,X,O,X
TIOLZSJ,O,X,X,O,X,X
TIOJLSZ,O,O,X,O,O,X
TIOJLZS,O,O,X,X,O,X
TIOJSLZ,X,O,X,O,O,X
TIOJSZL,X,O,X,O,X,X
TIOJZLS,O,O,X,X,O,X
TIOJZSL,O,O,X,X,X,X
TIOSLJZ,O,O,X,O,O,X
TIOSLZJ,O,X,X,O,X,X
TIOSJLZ,X,O,X,O,O,X
TIOSJZL,X,O,X,O,X,X
TIOSZLJ,O,X,X,O,X,X
TIOSZJL,O,O,X,O,X,X
TIOZLJS,O,X,X,X,O,O
TIOZLSJ,O,X,X,O,X,O
TIOZJLS,O,O,X,X,O,O
TIOZJSL,O,O,X,X,X,O
TIOZSLJ,O,X,X,O,X,O
TIOZSJL,O,O,X,O,X,O
TLIJSZO,O,O,X,O,O,X
TLIJSOZ,O,O,X,O,O,X
TLIJZSO,O,X,X,X,O,X
TLIJZOS,O,O,X,X,O,X
TLIJOSZ,O,O,X,O,O,X
TLIJOZS,O,O,X,X,O,X
TLISJZO,O,O,X,O,O,X
TLISJOZ,O,O,X,O,O,X
TLISZJO,O,X,X,O,X,X
TLISZOJ,O,X,X,O,X,X
TLISOJZ,O,O,X,O,O,X
TLISOZJ,O,X,X,O,X,X
TLIZJSO,O,X,X,X,O,X
TLIZJOS,O,X,X,X,O,X
TLIZSJO,O,X,X,O,X,X
TLIZSOJ,O,X,X,O,X,X
TLIZOJS,O,X,X,X,O,X
TLIZOSJ,O,X,X,O,X,X
TLIOJSZ,O,O,X,O,O,X
TLIOJZS,O,O,X,X,O,X
TLIOSJZ,O,O,X,O,O,X
TLIOSZJ,O,X,X,O,X,X
TLIOZJS,O,X,X,X,O,X
TLIOZSJ,O,X,X,O,X,X
TLJISZO,O,O,X,O,O,X
TLJISOZ,O,O,X,O,O,X
TLJIZSO,O,X,X,X,O,X
TLJIZOS,O,O,X,X,O,X
TLJIOSZ,O,O,X,O,O,X
TLJIOZS,O,O,X,X,O,X
TLJSIZO,O,O,X,O,O,X
TLJSIOZ,O,O,X,O,O,X
TLJSZIO,O,O,X,O,O,X
TLJSZOI,O,O,X,O,O,X
TLJSOIZ,O,O,X,O,O,X
TLJSOZI,O,O,X,O,O,X
TLJZISO,O,X,X,X,O,X
TLJZIOS,O,O,X,X,O,X
TLJZSIO,O,X,X,X,O,X
TLJZSOI,O,X,X,X,O,X
TLJZOIS,O,O,X,X,O,X
TLJZOSI,O,O,X,X,O,X
TLJOISZ,O,O,X,O,O,X
TLJOIZS,O,O,X,X,O,X
TLJOSIZ,O,O,X,O,O,X
TLJOSZI,O,O,X,O,O,X
TLJOZIS,O,O,X,X,O,X
TLJOZSI,O,O,X,X,O,X
TLSIJZO,O,O,X,O,O,X
