sequence,v115@FhA8HeB8AeA8AeA8DeB8AeA8AeB8CeB8Kem/IvhFUh?BFiB5oB6pBfrBzrB,v115@FhA8HeB8AeA8AeA8DeB8AeA8AeB8CeB8Kei/IvhFUh?BFiB5oBupBfrBzrB,v115@FhA8HeB8AeA8AeA8DeB8AeA8AeB8CeB8Kei/IvhFzg?BFiB5oBupBfsBUrB,v115@FhA8HeB8AeA8AeA8DeB8AeA8AeB8CeB8Kem/IvhFzg?BFiB5oB6pBfsBUrB,v115@FhA8HeB8AeA8AeA8DeB8AeA8AeB8CeB8Ke/EJvhF0h?B5oBllBOsBTrBCqB
TILJSZO,O,O,O,O,X
TILJSOZ,O,O,O,O,X
TILJZSO,O,O,O,O,X
TILJZOS,O,O,X,O,X
TILJOSZ,O,O,O,O,X
TILJOZS,O,O,X,X,X
TILSJZO,O,O,O,O,X
TILSJOZ,O,O,O,O,X
TILSZJO,O,O,X,O,X
TILSZOJ,O,O,X,X,X
TILSOJZ,O,O,X,O,X
TILSOZJ,O,O,X,X,O
TILZJSO,O,X,X,O,X
TILZJOS,O,X,X,O,X
TILZSJO,O,O,O,O,X
TILZSOJ,O,O,O,O,X
TILZOJS,O,X,X,O,X
TILZOSJ,O,O,O,O,X
TILOJSZ,O,O,X,O,X
TILOJZS,O,O,X,X,X
TILOSJZ,O,O,X,O,X
TILOSZJ,O,O,X,X,O
TILOZJS,O,X,X,X,X
TILOZSJ,O,O,X,X,O
TIJLSZO,O,O,O,O,X
TIJLSOZ,O,O,O,O,X
TIJLZSO,O,O,O,O,X
TIJLZOS,O,O,O,X,X
TIJLOSZ,O,O,O,O,X
TIJLOZS,O,O,X,X,X
TIJSLZO,O,O,O,O,X
TIJSLOZ,O,O,O,O,X
TIJSZLO,O,O,O,O,X
TIJSZOL,O,O,O,O,X
TIJSOLZ,O,O,O,X,X
TIJSOZL,O,O,O,O,O
TIJZLSO,X,O,O,X,X
TIJZLOS,X,O,O,X,X
TIJZSLO,O,O,O,O,X
TIJZSOL,O,O,O,O,X
TIJZOLS,X,O,O,X,X
TIJZOSL,O,O,O,O,X
TIJOLSZ,O,O,O,X,X
TIJOLZS,O,O,X,X,X
TIJOSLZ,O,O,O,X,X
TIJOSZL,O,O,O,O,O
TIJOZLS,X,O,X,X,X
TIJOZSL,O,O,X,X,O
TISLJZO,O,O,O,O,X
TISLJOZ,O,O,O,O,X
TISLZJO,O,O,X,O,X
TISLZOJ,O,O,X,X,X
TISLOJZ,O,O,X,O,X
TISLOZJ,O,O,X,X,O
TISJLZO,O,O,O,O,X
TISJLOZ,O,O,O,O,X
TISJZLO,O,O,O,O,X
TISJZOL,O,O,O,O,X
TISJOLZ,O,O,O,X,X
TISJOZL,O,O,O,O,O
TISZLJO,O,O,X,O,X
TISZLOJ,O,O,X,X,X
TISZJLO,O,O,O,O,X
TISZJOL,O,O,O,O,X
TISZOLJ,O,O,X,X,O
TISZOJL,O,O,X,X,O
TISOLJZ,O,O,X,O,X
TISOLZJ,O,O,X,X,O
TISOJLZ,O,O,O,X,X
TISOJZL,O,O,O,O,O
TISOZLJ,O,O,X,X,O
TISOZJL,O,O,X,X,O
TIZLJSO,O,X,X,O,X
TIZLJOS,O,X,X,O,X
TIZLSJO,O,O,O,O,X
TIZLSOJ,O,O,O,O,X
TIZLOJS,O,X,X,O,X
TIZLOSJ,O,O,O,O,X
TIZJLSO,X,O,O,X,X
TIZJLOS,X,O,O,X,X
TIZJSLO,O,O,O,O,X
TIZJSOL,O,O,O,O,X
TIZJOLS,X,O,O,X,X
TIZJOSL,O,O,O,O,X
TIZSLJO,O,O,O,O,X
TIZSLOJ,O,O,O,O,X
TIZSJLO,O,O,O,O,X
TIZSJOL,O,O,O,O,X
TIZSOLJ,O,O,O,O,O
TIZSOJL,O,O,O,O,O
TIZOLJS,O,X,X,O,X
TIZOLSJ,O,O,O,O,O
TIZOJLS,X,O,O,X,X
TIZOJSL,O,O,O,O,O
TIZOSLJ,O,O,O,O,O
TIZOSJL,O,O,O,O,O
TIOLJSZ,O,O,X,O,X
TIOLJZS,O,O,X,X,X
TIOLSJZ,O,O,X,O,X
TIOLSZJ,O,O,X,X,O
TIOLZJS,O,X,X,X,X
TIOLZSJ,O,O,X,X,O
TIOJLSZ,O,O,O,X,X
TIOJLZS,O,O,X,X,X
TIOJSLZ,O,O,O,X,X
TIOJSZL,O,O,O,O,O
TIOJZLS,X,O,X,X,X
TIOJZSL,O,O,X,X,O
TIOSLJZ,O,O,X,O,X
TIOSLZJ,O,O,X,X,O
TIOSJLZ,O,O,O,X,X
TIOSJZL,O,O,O,O,O
TIOSZLJ,O,O,X,X,O
TIOSZJL,O,O,X,X,O
TIOZLJS,O,X,X,X,X
TIOZLSJ,O,O,X,X,O
TIOZJLS,X,O,X,X,X
TIOZJSL,O,O,X,X,O
TIOZSLJ,O,O,X,X,O
TIOZSJL,O,O,X,X,O
TLIJSZO,O,O,O,O,X
TLIJSOZ,O,O,O,O,X
TLIJZSO,O,O,O,O,X
