sequence,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeT/IvhFlhB3iB5oBy?sB0pBWxB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeOEJvhFlhB3iB5oBq?pB8sBzrB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeOEJvhFlhBziB5oBq?pB8rB3sB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KelBJvhF3iB5oBTkBy?sBWxB0pB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KexBJvhFTkBFnBXoB6?tBWxB0pB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeT/IvhFlhBeoB5oBX?nB0pBSxB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KemCJvhF5oBTkBFnB6?rB3sB0pB
TILJSZO,O,O,O,O,X,X,X
TILJSOZ,O,O,O,O,X,X,X
TILJZSO,O,O,O,O,X,X,X
TILJZOS,O,O,O,O,X,X,X
TILJOSZ,O,O,X,O,X,X,X
TILJOZS,O,O,O,O,X,X,X
TILSJZO,O,O,O,X,X,X,X
TILSJOZ,X,O,O,X,X,X,X
TILSZJO,O,O,O,X,X,X,X
TILSZOJ,O,O,O,X,X,X,X
TILSOJZ,X,O,O,X,X,X,X
TILSOZJ,O,O,O,X,X,X,X
TILZJSO,O,O,O,X,X,X,X
TILZJOS,O,O,O,X,X,X,X
TILZSJO,O,O,O,X,X,X,X
TILZSOJ,O,O,O,X,X,X,X
TILZOJS,O,O,O,X,X,X,X
TILZOSJ,O,O,O,X,X,X,X
TILOJSZ,X,O,X,O,X,X,X
TILOJZS,X,O,O,O,X,X,X
TILOSJZ,X,O,X,X,X,X,X
TILOSZJ,O,O,X,X,X,X,X
TILOZJS,O,O,O,X,X,X,X
TILOZSJ,O,O,O,X,X,X,X
TIJLSZO,O,O,O,O,X,X,X
TIJLSOZ,O,O,X,O,O,X,X
TIJLZSO,O,O,O,O,X,X,X
TIJLZOS,O,O,O,O,X,X,X
TIJLOSZ,O,O,X,O,O,X,X
TIJLOZS,O,O,O,O,X,X,X
TIJSLZO,O,X,X,O,X,O,X
TIJSLOZ,O,X,X,O,O,X,X
TIJSZLO,O,X,X,X,X,O,X
TIJSZOL,O,X,X,X,O,O,X
TIJSOLZ,X,X,X,O,O,X,X
TIJSOZL,X,X,X,X,O,O,X
TIJZLSO,O,O,O,O,X,X,X
TIJZLOS,O,O,O,O,X,X,X
TIJZSLO,O,O,O,X,X,O,X
TIJZSOL,O,X,O,X,O,O,X
TIJZOLS,O,X,X,O,X,X,X
TIJZOSL,O,X,X,X,O,O,X
TIJOLSZ,O,O,X,O,O,X,X
TIJOLZS,O,O,X,O,X,X,X
TIJOSLZ,X,X,X,O,O,X,X
TIJOSZL,X,X,X,X,O,X,X
TIJOZLS,O,O,X,O,X,X,X
TIJOZSL,O,O,X,X,O,X,X
TISLJZO,O,O,O,X,X,X,X
TISLJOZ,X,O,O,X,X,X,O
TISLZJO,O,O,O,X,X,X,X
TISLZOJ,O,O,O,X,X,X,X
TISLOJZ,X,O,O,X,X,X,O
TISLOZJ,O,O,O,X,X,X,X
TISJLZO,O,X,X,O,X,X,X
TISJLOZ,O,X,X,O,X,X,O
TISJZLO,O,X,X,X,X,X,X
TISJZOL,O,X,X,X,X,X,O
TISJOLZ,X,X,X,O,X,X,O
TISJOZL,X,X,X,X,X,X,O
TISZLJO,O,O,O,X,X,X,X
TISZLOJ,O,O,O,X,X,X,X
TISZJLO,O,O,O,X,X,X,X
TISZJOL,O,X,O,X,X,X,O
TISZOLJ,O,O,O,X,X,X,X
TISZOJL,O,X,O,X,X,X,O
