sequence,v115@KhA8EeA8AeC8BeA8BeA8AeA8DeD8JeZEJvhFzfBFhB?XjBurB0nByvB,v115@KhA8EeA8AeC8BeA8BeA8AeA8DeD8JeZEJvhFzfBumB?FjBKrB0nB3qB,v115@KhA8EeA8AeC8BeA8BeA8AeA8DeD8JeZEJvhFzfBFhB?0iBurBXoByvB,v115@KhA8EeA8AeC8BeA8BeA8AeA8DeD8JeZEJvhFzfBUhB?1nBurBXoByvB
TIZSOJL,X,X,X,O
TIZOLJS,X,O,X,O
TIZOLSJ,X,O,X,O
TIZOJLS,X,O,X,O
TIZOJSL,X,X,X,O
TIZOSLJ,X,O,X,O
TIZOSJL,X,X,X,O
TIOLJSZ,O,X,O,X
TIOLJZS,O,O,O,O
TIOLSJZ,O,X,X,X
TIOLSZJ,X,X,X,O
TIOLZJS,X,O,X,O
TIOLZSJ,X,O,X,O
TIOJLSZ,O,X,X,X
TIOJLZS,X,X,O,O
TIOJSLZ,O,X,X,X
TIOJSZL,O,X,O,X
TIOJZLS,X,X,O,O
TIOJZSL,O,X,O,O
TIOSLJZ,O,X,X,X
TIOSLZJ,X,X,X,O
TIOSJLZ,O,X,X,X
TIOSJZL,O,X,X,X
TIOSZLJ,X,X,X,O
TIOSZJL,X,X,X,O
TIOZLJS,X,O,X,O
TIOZLSJ,X,O,X,O
TIOZJLS,X,O,X,O
TIOZJSL,X,X,X,O
TIOZSLJ,X,O,X,O
TIOZSJL,X,X,X,O
TLIJSZO,O,X,O,X
TLIJSOZ,O,X,O,X
TLIJZSO,O,O,O,X
TLIJZOS,O,O,O,O
TLIJOSZ,O,X,O,X
TLIJOZS,O,O,O,O
TLISJZO,O,X,X,X
TLISJOZ,O,X,X,X
TLISZJO,X,X,X,X
TLISZOJ,X,X,X,O
TLISOJZ,O,X,X,X
TLISOZJ,X,X,X,O
TLIZJSO,X,O,X,X
TLIZJOS,X,O,X,O
TLIZSJO,X,O,X,X
TLIZSOJ,X,O,X,O
TLIZOJS,X,O,X,O
TLIZOSJ,X,O,X,O
TLIOJSZ,O,X,O,X
TLIOJZS,O,O,O,O
TLIOSJZ,O,X,X,X
TLIOSZJ,X,X,X,O
TLIOZJS,X,O,X,O
TLIOZSJ,X,O,X,O
TLJISZO,O,X,O,X
TLJISOZ,O,X,O,X
TLJIZSO,O,O,O,X
TLJIZOS,O,O,O,O
TLJIOSZ,O,X,O,X
TLJIOZS,O,O,O,O
TLJSIZO,O,X,O,X
TLJSIOZ,O,X,O,X
TLJSZIO,O,X,O,X
TLJSZOI,O,X,O,X
TLJSOIZ,O,X,O,X
TLJSOZI,O,X,O,X
TLJZISO,O,O,O,X
TLJZIOS,O,O,O,O
TLJZSIO,O,O,O,X
TLJZSOI,O,O,O,X
TLJZOIS,O,O,O,O
TLJZOSI,O,O,O,X
TLJOISZ,O,X,O,X
TLJOIZS,O,O,O,O
TLJOSIZ,O,X,O,X
TLJOSZI,O,X,O,X
TLJOZIS,O,O,O,O
TLJOZSI,O,O,O,X
TLSIJZO,O,X,X,X
TLSIJOZ,O,X,X,X
TLSIZJO,X,X,X,X
TLSIZOJ,X,X,X,O
TLSIOJZ,O,X,X,X
TLSIOZJ,X,X,X,O
TLSJIZO,O,X,X,X
TLSJIOZ,O,X,X,X
TLSJZIO,O,X,X,X
TLSJZOI,O,X,X,X
TLSJOIZ,O,X,X,X
TLSJOZI,O,X,X,X
TLSZIJO,X,X,X,X
TLSZIOJ,X,X,X,O
TLSZJIO,X,X,X,X
TLSZJOI,X,X,X,X
TLSZOIJ,X,X,X,O
TLSZOJI,X,X,X,X
TLSOIJZ,O,X,X,X
TLSOIZJ,X,X,X,O
TLSOJIZ,O,X,X,X
TLSOJZI,O,X,X,X
TLSOZIJ,X,X,X,O
TLSOZJI,X,X,X,X
TLZIJSO,X,O,X,X
TLZIJOS,X,O,X,O
TLZISJO,X,O,X,X
TLZISOJ,X,O,X,O
TLZIOJS,X,O,X,O
TLZIOSJ,X,O,X,O
TLZJISO,X,O,X,X
TLZJIOS,X,O,X,O
TLZJSIO,X,O,X,X
TLZJSOI,X,O,X,X
TLZJOIS,X,O,X,O
TLZJOSI,X,O,X,X
TLZSIJO,X,O,X,X
TLZSIOJ,X,O,X,O
TLZSJIO,X,O,X,X
TLZSJOI,X,O,X,X
TLZSOIJ,X,O,X,O
TLZSOJI,X,O,X,X
TLZOIJS,X,O,X,O
TLZOISJ,X,O,X,O
TLZOJIS,X,O,X,O
TLZOJSI,X,O,X,X
TLZOSIJ,X,O,X,O
TLZOSJI,X,O,X,X
TLOIJSZ,O,X,O,X
TLOIJZS,O,O,O,O
TLOISJZ,O,X,X,X
TLOISZJ,X,X,X,O
TLOIZJS,X,O,X,O
TLOIZSJ,X,O,X,O
TLOJISZ,O,X,O,X
TLOJIZS,O,O,O,O
TLOJSIZ,O,X,O,X
TLOJSZI,O,X,O,X
TLOJZIS,O,O,O,O
TLOJZSI,O,O,O,X
TLOSIJZ,O,X,X,X
TLOSIZJ,X,X,X,O
TLOSJIZ,O,X,X,X
TLOSJZI,O,X,X,X
TLOSZIJ,X,X,X,O
TLOSZJI,X,X,X,X
TLOZIJS,X,O,X,O
TLOZISJ,X,O,X,O
TLOZJIS,X,O,X,O
TLOZJSI,X,O,X,X
TLOZSIJ,X,O,X,O
TLOZSJI,X,O,X,X
TJILSZO,X,X,X,X
TJILSOZ,O,X,X,X
TJILZSO,X,X,X,X
TJILZOS,X,X,O,O
TJILOSZ,O,X,X,X
TJILOZS,X,X,O,O
TJISLZO,X,X,X,X
TJISLOZ,O,X,X,X
TJISZLO,X,X,X,X
TJISZOL,O,X,O,X
TJISOLZ,O,X,X,X
TJISOZL,O,X,O,X
TJIZLSO,X,X,X,X
TJIZLOS,X,X,O,X
TJIZSLO,X,X,X,X
TJIZSOL,O,X,O,X
TJIZOLS,X,X,O,O
TJIZOSL,O,X,O,O
TJIOLSZ,O,X,X,X
TJIOLZS,X,X,O,O
TJIOSLZ,O,X,X,X
TJIOSZL,O,X,O,X
TJIOZLS,X,X,O,O
TJIOZSL,O,X,O,O
TJLISZO,X,X,X,X
TJLISOZ,O,X,X,X
TJLIZSO,X,X,X,X
TJLIZOS,X,X,O,O
TJLIOSZ,O,X,X,X
TJLIOZS,X,X,O,O
TJLSIZO,X,X,X,X
TJLSIOZ,O,X,X,X
TJLSZIO,X,X,X,X
TJLSZOI,X,X,X,X
TJLSOIZ,O,X,X,X
TJLSOZI,X,X,X,X
TJLZISO,X,X,X,X
TJLZIOS,X,X,O,O
TJLZSIO,X,X,X,X
TJLZSOI,X,X,X,X
TJLZOIS,X,X,O,O
TJLZOSI,X,X,X,X
TJLOISZ,O,X,X,X
TJLOIZS,X,X,O,O
TJLOSIZ,O,X,X,X
TJLOSZI,X,X,X,X
TJLOZIS,X,X,O,O
TJLOZSI,X,X,X,X
TJSILZO,X,X,X,X
TJSILOZ,O,X,X,X
TJSIZLO,X,X,X,X
TJSIZOL,O,X,O,X
TJSIOLZ,O,X,X,X
TJSIOZL,O,X,O,X
TJSLIZO,X,X,X,X
TJSLIOZ,O,X,X,X
TJSLZIO,X,X,X,X
TJSLZOI,X,X,X,X
TJSLOIZ,O,X,X,X
TJSLOZI,X,X,X,X
TJSZILO,X,X,X,X
TJSZIOL,O,X,O,X
TJSZLIO,X,X,X,X
TJSZLOI,X,X,X,X
TJSZOIL,O,X,O,X
TJSZOLI,X,X,X,X
TJSOILZ,O,X,X,X
TJSOIZL,O,X,O,X
TJSOLIZ,O,X,X,X
TJSOLZI,X,X,X,X
TJSOZIL,O,X,O,X
TJSOZLI,X,X,X,X
TJZILSO,X,X,X,X
TJZILOS,X,X,O,X
TJZISLO,X,X,X,X
TJZISOL,O,X,O,X
TJZIOLS,X,X,O,O
TJZIOSL,O,X,O,O
TJZLISO,X,X,X,X
TJZLIOS,X,X,O,X
TJZLSIO,X,X,X,X
TJZLSOI,X,X,X,X
TJZLOIS,X,X,O,X
TJZLOSI,X,X,X,X
TJZSILO,X,X,X,X
TJZSIOL,O,X,O,X
TJZSLIO,X,X,X,X
TJZSLOI,X,X,X,X
TJZSOIL,O,X,O,X
TJZSOLI,X,X,X,X
TJZOILS,X,X,O,O
TJZOISL,O,X,O,O
TJZOLIS,X,X,O,X
TJZOLSI,X,X,X,X
TJZOSIL,O,X,O,X
TJZOSLI,X,X,X,X
TJOILSZ,O,X,X,X
TJOILZS,X,X,O,O
TJOISLZ,O,X,X,X
TJOISZL,O,X,O,X
TJOIZLS,X,X,O,O
TJOIZSL,O,X,O,O
TJOLISZ,O,X,X,X
TJOLIZS,X,X,O,O
TJOLSIZ,O,X,X,X
TJOLSZI,X,X,X,X
TJOLZIS,X,X,O,O
TJOLZSI,X,X,X,X
TJOSILZ,O,X,X,X
TJOSIZL,O,X,O,X
TJOSLIZ,O,X,X,X
TJOSLZI,X,X,X,X
TJOSZIL,O,X,O,X
TJOSZLI,X,X,X,X
TJOZILS,X,X,O,O
TJOZISL,O,X,O,O
TJOZLIS,X,X,O,X
TJOZLSI,X,X,X,X
TJOZSIL,O,X,O,X
TJOZSLI,X,X,X,X
TSILJZO,O,X,X,X
TSILJOZ,O,X,X,X
TSILZJO,X,X,X,X
TSILZOJ,X,X,X,O
TSILOJZ,O,X,X,X
TSILOZJ,X,X,X,O
TSIJLZO,X,X,X,X
TSIJLOZ,O,X,X,X
TSIJZLO,X,X,X,X
TSIJZOL,O,X,X,X
TSIJOLZ,O,X,X,X
TSIJOZL,O,X,X,X
TSIZLJO,X,X,X,X
TSIZLOJ,X,X,X,X
TSIZJLO,X,X,X,X
TSIZJOL,X,X,X,X
TSIZOLJ,X,X,X,O
TSIZOJL,X,X,X,O
TSIOLJZ,O,X,X,X
TSIOLZJ,X,X,X,O
TSIOJLZ,O,X,X,X
TSIOJZL,O,X,X,X
TSIOZLJ,X,X,X,O
TSIOZJL,X,X,X,O
TSLIJZO,O,X,X,X
TSLIJOZ,O,X,X,X
TSLIZJO,X,X,X,X
TSLIZOJ,X,X,X,O
TSLIOJZ,O,X,X,X
TSLIOZJ,X,X,X,O
TSLJIZO,O,X,X,X
TSLJIOZ,O,X,X,X
TSLJZIO,O,X,X,X
TSLJZOI,O,X,X,X
TSLJOIZ,O,X,X,X
TSLJOZI,O,X,X,X
TSLZIJO,X,X,X,X
TSLZIOJ,X,X,X,O
TSLZJIO,X,X,X,X
TSLZJOI,X,X,X,X
TSLZOIJ,X,X,X,O
TSLZOJI,X,X,X,X
TSLOIJZ,O,X,X,X
TSLOIZJ,X,X,X,O
TSLOJIZ,O,X,X,X
TSLOJZI,O,X,X,X
TSLOZIJ,X,X,X,O
TSLOZJI,X,X,X,X
TSJILZO,X,X,X,X
TSJILOZ,O,X,X,X
TSJIZLO,X,X,X,X
TSJIZOL,O,X,X,X
TSJIOLZ,O,X,X,X
TSJIOZL,O,X,X,X
TSJLIZO,X,X,X,X
TSJLIOZ,O,X,X,X
TSJLZIO,X,X,X,X
TSJLZOI,X,X,X,X
TSJLOIZ,O,X,X,X
TSJLOZI,X,X,X,X
TSJZILO,X,X,X,X
TSJZIOL,O,X,X,X
TSJZLIO,X,X,X,X
TSJZLOI,X,X,X,X
TSJZOIL,O,X,X,X
TSJZOLI,X,X,X,X
TSJOILZ,O,X,X,X
TSJOIZL,O,X,X,X
TSJOLIZ,O,X,X,X
TSJOLZI,X,X,X,X
TSJOZIL,O,X,X,X
TSJOZLI,X,X,X,X
TSZILJO,X,X,X,X
TSZILOJ,X,X,X,X
TSZIJLO,X,X,X,X
TSZIJOL,X,X,X,X
TSZIOLJ,X,X,X,O
TSZIOJL,X,X,X,O
TSZLIJO,X,X,X,X
TSZLIOJ,X,X,X,X
TSZLJIO,X,X,X,X
TSZLJOI,X,X,X,X
TSZLOIJ,X,X,X,X
TSZLOJI,X,X,X,X
TSZJILO,X,X,X,X
TSZJIOL,X,X,X,X
TSZJLIO,X,X,X,X
TSZJLOI,X,X,X,X
TSZJOIL,X,X,X,X
TSZJOLI,X,X,X,X
TSZOILJ,X,X,X,O
TSZOIJL,X,X,X,O
TSZOLIJ,X,X,X,X
TSZOLJI,X,X,X,X
TSZOJIL,X,X,X,X
TSZOJLI,X,X,X,X
TSOILJZ,O,X,X,X
TSOILZJ,X,X,X,O
TSOIJLZ,O,X,X,X
TSOIJZL,O,X,X,X
TSOIZLJ,X,X,X,O
TSOIZJL,X,X,X,O
TSOLIJZ,O,X,X,X
TSOLIZJ,X,X,X,O
TSOLJIZ,O,X,X,X
TSOLJZI,O,X,X,X
TSOLZIJ,X,X,X,O
TSOLZJI,X,X,X,X
TSOJILZ,O,X,X,X
TSOJIZL,O,X,X,X
TSOJLIZ,O,X,X,X
TSOJLZI,X,X,X,X
TSOJZIL,O,X,X,X
TSOJZLI,X,X,X,X
TSOZILJ,X,X,X,O
TSOZIJL,X,X,X,O
TSOZLIJ,X,X,X,X
TSOZLJI,X,X,X,X
TSOZJIL,X,X,X,X
TSOZJLI,X,X,X,X
TZILJSO,X,O,X,X
TZILJOS,X,O,X,O
TZILSJO,X,O,X,X
TZILSOJ,X,O,X,O
TZILOJS,X,O,X,O
TZILOSJ,X,O,X,O
TZIJLSO,X,O,X,X
TZIJLOS,X,O,X,X
TZIJSLO,X,X,X,X
TZIJSOL,X,X,X,X
TZIJOLS,X,O,X,O
TZIJOSL,X,X,X,O
TZISLJO,X,O,X,X
TZISLOJ,X,O,X,X
TZISJLO,X,X,X,X
TZISJOL,X,X,X,X
TZISOLJ,X,O,X,O
TZISOJL,X,X,X,O
TZIOLJS,X,O,X,O
TZIOLSJ,X,O,X,O
TZIOJLS,X,O,X,O
TZIOJSL,X,X,X,O
TZIOSLJ,X,O,X,O
TZIOSJL,X,X,X,O
TZLIJSO,X,O,X,X
TZLIJOS,X,O,X,O
TZLISJO,X,O,X,X
TZLISOJ,X,O,X,O
TZLIOJS,X,O,X,O
TZLIOSJ,X,O,X,O
TZLJISO,X,O,X,X
TZLJIOS,X,O,X,O
TZLJSIO,X,O,X,X
TZLJSOI,X,O,X,X
TZLJOIS,X,O,X,O
TZLJOSI,X,O,X,X
TZLSIJO,X,O,X,X
TZLSIOJ,X,O,X,O
TZLSJIO,X,O,X,X
TZLSJOI,X,O,X,X
TZLSOIJ,X,O,X,O
TZLSOJI,X,O,X,X
TZLOIJS,X,O,X,O
TZLOISJ,X,O,X,O
TZLOJIS,X,O,X,O
TZLOJSI,X,O,X,X
TZLOSIJ,X,O,X,O
TZLOSJI,X,O,X,X
TZJILSO,X,O,X,X
TZJILOS,X,O,X,X
TZJISLO,X,X,X,X
TZJISOL,X,X,X,X
TZJIOLS,X,O,X,O
TZJIOSL,X,X,X,O
TZJLISO,X,O,X,X
TZJLIOS,X,O,X,X
TZJLSIO,X,O,X,X
TZJLSOI,X,O,X,X
TZJLOIS,X,O,X,X
TZJLOSI,X,O,X,X
TZJSILO,X,X,X,X
TZJSIOL,X,X,X,X
TZJSLIO,X,X,X,X
TZJSLOI,X,X,X,X
TZJSOIL,X,X,X,X
TZJSOLI,X,X,X,X
TZJOILS,X,O,X,O
TZJOISL,X,X,X,O
TZJOLIS,X,O,X,X
TZJOLSI,X,O,X,X
TZJOSIL,X,X,X,X
TZJOSLI,X,X,X,X
TZSILJO,X,O,X,X
TZSILOJ,X,O,X,X
TZSIJLO,X,X,X,X
TZSIJOL,X,X,X,X
TZSIOLJ,X,O,X,O
TZSIOJL,X,X,X,O
TZSLIJO,X,O,X,X
TZSLIOJ,X,O,X,X
TZSLJIO,X,O,X,X
TZSLJOI,X,O,X,X
TZSLOIJ,X,O,X,X
TZSLOJI,X,O,X,X
TZSJILO,X,X,X,X
TZSJIOL,X,X,X,X
TZSJLIO,X,X,X,X
TZSJLOI,X,X,X,X
TZSJOIL,X,X,X,X
TZSJOLI,X,X,X,X
TZSOILJ,X,O,X,O
TZSOIJL,X,X,X,O
TZSOLIJ,X,O,X,X
TZSOLJI,X,O,X,X
TZSOJIL,X,X,X,X
TZSOJLI,X,X,X,X
TZOILJS,X,O,X,O
TZOILSJ,X,O,X,O
TZOIJLS,X,O,X,O
TZOIJSL,X,X,X,O
TZOISLJ,X,O,X,O
TZOISJL,X,X,X,O
TZOLIJS,X,O,X,O
TZOLISJ,X,O,X,O
TZOLJIS,X,O,X,O
TZOLJSI,X,O,X,X
TZOLSIJ,X,O,X,O
TZOLSJI,X,O,X,X
TZOJILS,X,O,X,O
TZOJISL,X,X,X,O
TZOJLIS,X,O,X,X
TZOJLSI,X,O,X,X
TZOJSIL,X,X,X,X
TZOJSLI,X,X,X,X
TZOSILJ,X,O,X,O
TZOSIJL,X,X,X,O
TZOSLIJ,X,O,X,X
TZOSLJI,X,O,X,X
TZOSJIL,X,X,X,X
TZOSJLI,X,X,X,X
TOILJSZ,O,X,O,X
TOILJZS,O,O,O,O
TOILSJZ,O,X,X,X
TOILSZJ,X,X,X,O
TOILZJS,X,O,X,O
TOILZSJ,X,O,X,O
TOIJLSZ,O,X,X,X
TOIJLZS,X,X,O,O
TOIJSLZ,O,X,X,X
TOIJSZL,O,X,O,X
TOIJZLS,X,X,O,O
TOIJZSL,O,X,O,O
TOISLJZ,O,X,X,X
TOISLZJ,X,X,X,O
TOISJLZ,O,X,X,X
TOISJZL,O,X,X,X
TOISZLJ,X,X,X,O
TOISZJL,X,X,X,O
TOIZLJS,X,O,X,O
TOIZLSJ,X,O,X,O
TOIZJLS,X,O,X,O
TOIZJSL,X,X,X,O
TOIZSLJ,X,O,X,O
TOIZSJL,X,X,X,O
TOLIJSZ,O,X,O,X
TOLIJZS,O,O,O,O
TOLISJZ,O,X,X,X
TOLISZJ,X,X,X,O
TOLIZJS,X,O,X,O
TOLIZSJ,X,O,X,O
TOLJISZ,O,X,O,X
TOLJIZS,O,O,O,O
TOLJSIZ,O,X,O,X
TOLJSZI,O,X,O,X
TOLJZIS,O,O,O,O
TOLJZSI,O,O,O,X
TOLSIJZ,O,X,X,X
TOLSIZJ,X,X,X,O
TOLSJIZ,O,X,X,X
TOLSJZI,O,X,X,X
TOLSZIJ,X,X,X,O
TOLSZJI,X,X,X,X
TOLZIJS,X,O,X,O
TOLZISJ,X,O,X,O
TOLZJIS,X,O,X,O
TOLZJSI,X,O,X,X
TOLZSIJ,X,O,X,O
TOLZSJI,X,O,X,X
TOJILSZ,O,X,X,X
TOJILZS,X,X,O,O
TOJISLZ,O,X,X,X
TOJISZL,O,X,O,X
TOJIZLS,X,X,O,O
TOJIZSL,O,X,O,O
TOJLISZ,O,X,X,X
TOJLIZS,X,X,O,O
TOJLSIZ,O,X,X,X
TOJLSZI,X,X,X,X
TOJLZIS,X,X,O,O
TOJLZSI,X,X,X,X
TOJSILZ,O,X,X,X
TOJSIZL,O,X,O,X
TOJSLIZ,O,X,X,X
TOJSLZI,X,X,X,X
TOJSZIL,O,X,O,X
TOJSZLI,X,X,X,X
TOJZILS,X,X,O,O
TOJZISL,O,X,O,O
TOJZLIS,X,X,O,X
TOJZLSI,X,X,X,X
TOJZSIL,O,X,O,X
TOJZSLI,X,X,X,X
TOSILJZ,O,X,X,X
TOSILZJ,X,X,X,O
TOSIJLZ,O,X,X,X
TOSIJZL,O,X,X,X
TOSIZLJ,X,X,X,O
TOSIZJL,X,X,X,O
TOSLIJZ,O,X,X,X
TOSLIZJ,X,X,X,O
TOSLJIZ,O,X,X,X
TOSLJZI,O,X,X,X
TOSLZIJ,X,X,X,O
TOSLZJI,X,X,X,X
TOSJILZ,O,X,X,X
TOSJIZL,O,X,X,X
TOSJLIZ,O,X,X,X
TOSJLZI,X,X,X,X
TOSJZIL,O,X,X,X
TOSJZLI,X,X,X,X
TOSZILJ,X,X,X,O
TOSZIJL,X,X,X,O
TOSZLIJ,X,X,X,X
TOSZLJI,X,X,X,X
TOSZJIL,X,X,X,X
TOSZJLI,X,X,X,X
TOZILJS,X,O,X,O
TOZILSJ,X,O,X,O
TOZIJLS,X,O,X,O
TOZIJSL,X,X,X,O
TOZISLJ,X,O,X,O
TOZISJL,X,X,X,O
TOZLIJS,X,O,X,O
TOZLISJ,X,O,X,O
TOZLJIS,X,O,X,O
TOZLJSI,X,O,X,X
TOZLSIJ,X,O,X,O
TOZLSJI,X,O,X,X
TOZJILS,X,O,X,O
TOZJISL,X,X,X,O
TOZJLIS,X,O,X,X
TOZJLSI,X,O,X,X
TOZJSIL,X,X,X,X
TOZJSLI,X,X,X,X
TOZSILJ,X,O,X,O
TOZSIJL,X,X,X,O
TOZSLIJ,X,O,X,X
TOZSLJI,X,O,X,X
TOZSJIL,X,X,X,X
TOZSJLI,X,X,X,X
ITLJSZO,O,X,O,X
ITLJSOZ,O,X,O,X
ITLJZSO,O,O,O,X
ITLJZOS,O,O,O,O
ITLJOSZ,O,X,O,X
ITLJOZS,O,O,O,O
ITLSJZO,O,X,X,X
ITLSJOZ,O,X,X,X
ITLSZJO,X,X,X,X
ITLSZOJ,X,X,X,O
ITLSOJZ,O,X,X,X
ITLSOZJ,X,X,X,O
ITLZJSO,X,O,X,X
ITLZJOS,X,O,X,O
ITLZSJO,X,O,X,X
ITLZSOJ,X,O,X,O
ITLZOJS,X,O,X,O
ITLZOSJ,X,O,X,O
ITLOJSZ,O,X,O,X
ITLOJZS,O,O,O,O
ITLOSJZ,O,X,X,X
ITLOSZJ,X,X,X,O
ITLOZJS,X,O,X,O
ITLOZSJ,X,O,X,O
ITJLSZO,X,X,X,X
ITJLSOZ,O,X,X,X
ITJLZSO,X,X,X,X
ITJLZOS,X,X,O,O
ITJLOSZ,O,X,X,X
ITJLOZS,X,X,O,O
ITJSLZO,X,X,X,X
ITJSLOZ,O,X,X,X
ITJSZLO,X,X,X,X
ITJSZOL,O,X,O,X
ITJSOLZ,O,X,X,X
ITJSOZL,O,X,O,X
ITJZLSO,X,X,X,X
ITJZLOS,X,X,O,X
ITJZSLO,X,X,X,X
ITJZSOL,O,X,O,X
ITJZOLS,X,X,O,O
ITJZOSL,O,X,O,O
ITJOLSZ,O,X,X,X
ITJOLZS,X,X,O,O
ITJOSLZ,O,X,X,X
ITJOSZL,O,X,O,X
ITJOZLS,X,X,O,O
ITJOZSL,O,X,O,O
ITSLJZO,O,X,X,X
ITSLJOZ,O,X,X,X
ITSLZJO,X,X,X,X
ITSLZOJ,X,X,X,O
ITSLOJZ,O,X,X,X
ITSLOZJ,X,X,X,O
ITSJLZO,X,X,X,X
ITSJLOZ,O,X,X,X
ITSJZLO,X,X,X,X
ITSJZOL,O,X,X,X
ITSJOLZ,O,X,X,X
ITSJOZL,O,X,X,X
ITSZLJO,X,X,X,X
ITSZLOJ,X,X,X,X
ITSZJLO,X,X,X,X
ITSZJOL,X,X,X,X
ITSZOLJ,X,X,X,O
ITSZOJL,X,X,X,O
ITSOLJZ,O,X,X,X
ITSOLZJ,X,X,X,O
ITSOJLZ,O,X,X,X
ITSOJZL,O,X,X,X
ITSOZLJ,X,X,X,O
ITSOZJL,X,X,X,O
ITZLJSO,X,O,X,X
ITZLJOS,X,O,X,O
ITZLSJO,X,O,X,X
ITZLSOJ,X,O,X,O
ITZLOJS,X,O,X,O
ITZLOSJ,X,O,X,O
ITZJLSO,X,O,X,X
ITZJLOS,X,O,X,X
ITZJSLO,X,X,X,X
ITZJSOL,X,X,X,X
ITZJOLS,X,O,X,O
ITZJOSL,X,X,X,O
ITZSLJO,X,O,X,X
ITZSLOJ,X,O,X,X
ITZSJLO,X,X,X,X
ITZSJOL,X,X,X,X
ITZSOLJ,X,O,X,O
ITZSOJL,X,X,X,O
ITZOLJS,X,O,X,O
ITZOLSJ,X,O,X,O
ITZOJLS,X,O,X,O
ITZOJSL,X,X,X,O
ITZOSLJ,X,O,X,O
ITZOSJL,X,X,X,O
ITOLJSZ,O,X,O,X
ITOLJZS,O,O,O,O
ITOLSJZ,O,X,X,X
ITOLSZJ,X,X,X,O
ITOLZJS,X,O,X,O
ITOLZSJ,X,O,X,O
ITOJLSZ,O,X,X,X
ITOJLZS,X,X,O,O
ITOJSLZ,O,X,X,X
ITOJSZL,O,X,O,X
ITOJZLS,X,X,O,O
ITOJZSL,O,X,O,O
ITOSLJZ,O,X,X,X
ITOSLZJ,X,X,X,O
ITOSJLZ,O,X,X,X
ITOSJZL,O,X,X,X
ITOSZLJ,X,X,X,O
ITOSZJL,X,X,X,O
ITOZLJS,X,O,X,O
ITOZLSJ,X,O,X,O
ITOZJLS,X,O,X,O
ITOZJSL,X,X,X,O
ITOZSLJ,X,O,X,O
