sequence,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgB/mBUiBGjBVt?BywB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgBihBGjBUoBFs?B3rB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFigBFiBTjBfsBWt?BUrB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgBFiBXjB0mBSt?B2wB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgB/mBFiB8nB+o?BywB
TOZSJIL,O,O,X,X,X
TOZSJLI,O,O,X,X,X
ITLJSZO,O,X,O,X,X
ITLJSOZ,O,X,O,X,X
ITLJZSO,O,O,X,X,X
ITLJZOS,O,O,O,X,X
ITLJOSZ,O,X,O,X,X
ITLJOZS,O,O,O,X,X
ITLSJZO,O,X,O,X,X
ITLSJOZ,O,X,O,X,X
ITLSZJO,O,O,O,O,X
ITLSZOJ,O,O,X,O,X
ITLSOJZ,O,X,O,X,X
ITLSOZJ,O,O,X,O,X
ITLZJSO,O,O,X,O,X
ITLZJOS,O,O,X,O,X
ITLZSJO,O,O,X,O,X
ITLZSOJ,O,O,X,O,X
ITLZOJS,O,O,X,O,X
ITLZOSJ,O,O,X,O,X
ITLOJSZ,O,X,X,X,X
ITLOJZS,O,O,X,X,X
ITLOSJZ,O,X,X,X,X
ITLOSZJ,O,O,X,O,X
ITLOZJS,O,O,X,O,X
ITLOZSJ,O,O,X,O,X
ITJLSZO,O,X,O,X,X
ITJLSOZ,O,X,O,X,X
ITJLZSO,O,O,X,X,X
ITJLZOS,O,O,O,X,X
ITJLOSZ,O,X,O,X,X
ITJLOZS,O,O,O,X,X
ITJSLZO,O,X,O,X,X
ITJSLOZ,O,X,O,X,X
ITJSZLO,O,X,O,X,O
ITJSZOL,O,X,O,X,O
ITJSOLZ,O,X,O,X,X
ITJSOZL,O,X,O,X,O
ITJZLSO,O,O,X,X,O
ITJZLOS,O,O,O,X,O
ITJZSLO,O,O,X,X,O
ITJZSOL,O,O,X,X,O
ITJZOLS,O,O,O,X,O
ITJZOSL,O,O,X,X,O
ITJOLSZ,O,X,O,X,X
ITJOLZS,O,O,O,X,X
ITJOSLZ,O,X,O,X,X
ITJOSZL,O,X,O,X,O
ITJOZLS,O,O,O,X,O
ITJOZSL,O,O,X,X,O
ITSLJZO,O,X,O,X,X
ITSLJOZ,O,X,O,X,X
ITSLZJO,O,O,O,X,X
ITSLZOJ,O,O,X,X,X
ITSLOJZ,O,X,O,X,X
ITSLOZJ,O,O,X,X,X
ITSJLZO,O,X,O,X,X
ITSJLOZ,O,X,O,X,X
ITSJZLO,O,X,O,X,O
ITSJZOL,O,X,O,X,O
ITSJOLZ,O,X,O,X,X
ITSJOZL,O,X,O,X,O
ITSZLJO,O,O,O,X,X
ITSZLOJ,O,O,X,X,X
ITSZJLO,O,O,O,X,X
ITSZJOL,O,O,O,X,X
ITSZOLJ,O,O,X,X,X
ITSZOJL,O,O,X,X,X
ITSOLJZ,O,X,O,X,X
ITSOLZJ,O,O,X,X,X
ITSOJLZ,O,X,O,X,X
ITSOJZL,O,X,O,X,O
ITSOZLJ,O,O,X,X,X
ITSOZJL,O,O,X,X,X
ITZLJSO,O,O,X,O,X
ITZLJOS,O,O,X,O,X
ITZLSJO,O,O,X,O,X
ITZLSOJ,O,O,X,O,X
ITZLOJS,O,O,X,O,X
ITZLOSJ,O,O,X,O,X
ITZJLSO,O,O,X,O,X
ITZJLOS,O,O,X,O,X
ITZJSLO,O,O,X,X,X
ITZJSOL,O,O,X,X,X
ITZJOLS,O,O,X,O,X
ITZJOSL,O,O,X,X,X
ITZSLJO,O,O,X,O,X
ITZSLOJ,O,O,X,O,X
ITZSJLO,O,O,X,X,X
ITZSJOL,O,O,X,X,X
ITZSOLJ,O,O,X,O,X
ITZSOJL,O,O,X,X,X
ITZOLJS,O,O,X,O,X
ITZOLSJ,O,O,X,O,X
ITZOJLS,O,O,X,O,X
ITZOJSL,O,O,X,X,X
ITZOSLJ,O,O,X,O,X
ITZOSJL,O,O,X,X,X
ITOLJSZ,O,X,X,X,X
ITOLJZS,O,O,X,X,X
ITOLSJZ,O,X,X,X,X
ITOLSZJ,O,O,X,O,X
ITOLZJS,O,O,X,O,X
ITOLZSJ,O,O,X,O,X
ITOJLSZ,O,X,X,X,X
ITOJLZS,O,O,X,X,X
ITOJSLZ,O,X,X,X,X
ITOJSZL,O,X,X,X,O
ITOJZLS,O,O,X,X,O
ITOJZSL,O,O,X,X,O
ITOSLJZ,O,X,X,X,X
ITOSLZJ,O,O,X,X,X
ITOSJLZ,O,X,X,X,X
ITOSJZL,O,X,X,X,O
ITOSZLJ,O,O,X,X,X
ITOSZJL,O,O,X,X,X
ITOZLJS,O,O,X,O,X
ITOZLSJ,O,O,X,O,X
ITOZJLS,O,O,X,O,X
ITOZJSL,O,O,X,X,X
ITOZSLJ,O,O,X,O,X
ITOZSJL,O,O,X,X,X
ILTJSZO,O,X,O,X,X
ILTJSOZ,O,X,O,X,X
ILTJZSO,O,O,X,X,X
ILTJZOS,O,O,O,X,X
ILTJOSZ,O,X,O,X,X
ILTJOZS,O,O,O,X,X
ILTSJZO,O,X,O,X,X
ILTSJOZ,O,X,O,X,X
ILTSZJO,O,O,O,O,X
ILTSZOJ,O,O,X,O,X
ILTSOJZ,O,X,O,X,X
ILTSOZJ,O,O,X,O,X
ILTZJSO,O,O,X,O,X
ILTZJOS,O,O,X,O,X
ILTZSJO,O,O,X,O,X
ILTZSOJ,O,O,X,O,X
ILTZOJS,O,O,X,O,X
ILTZOSJ,O,O,X,O,X
ILTOJSZ,O,X,X,X,X
ILTOJZS,O,O,X,X,X
ILTOSJZ,O,X,X,X,X
ILTOSZJ,O,O,X,O,X
ILTOZJS,O,O,X,O,X
ILTOZSJ,O,O,X,O,X
ILJTSZO,X,X,O,X,X
ILJTSOZ,X,X,O,X,X
ILJTZSO,X,O,X,X,X
ILJTZOS,X,O,O,X,X
ILJTOSZ,X,X,O,X,X
ILJTOZS,X,O,O,X,X
ILJSTZO,X,X,O,X,X
ILJSTOZ,X,X,O,X,X
ILJSZTO,X,X,O,O,O
ILJSZOT,X,X,O,O,O
ILJSOTZ,X,X,O,X,X
ILJSOZT,X,X,O,O,O
ILJZTSO,X,X,X,O,O
ILJZTOS,X,O,O,O,O
ILJZSTO,X,X,O,O,O
ILJZSOT,X,O,O,O,O
ILJZOTS,X,O,O,O,O
ILJZOST,X,O,O,O,O
ILJOTSZ,X,X,O,X,X
ILJOTZS,X,O,O,X,X
ILJOSTZ,X,X,O,X,X
ILJOSZT,X,X,O,O,O
ILJOZTS,X,O,O,O,O
ILJOZST,X,O,O,O,O
ILSTJZO,O,X,O,X,X
ILSTJOZ,O,X,O,X,X
ILSTZJO,O,O,O,O,X
ILSTZOJ,O,O,X,O,X
ILSTOJZ,O,X,O,X,X
ILSTOZJ,O,O,X,O,X
ILSJTZO,X,X,O,X,X
ILSJTOZ,X,X,O,X,X
ILSJZTO,X,X,O,O,O
ILSJZOT,X,X,O,O,O
ILSJOTZ,X,X,O,X,X
ILSJOZT,X,X,O,O,O
ILSZTJO,O,X,O,O,X
ILSZTOJ,O,X,X,O,X
ILSZJTO,X,X,O,O,X
ILSZJOT,X,O,O,O,X
ILSZOTJ,O,X,X,O,X
ILSZOJT,X,O,X,O,X
ILSOTJZ,O,X,O,X,X
ILSOTZJ,O,O,X,O,X
ILSOJTZ,X,X,O,X,X
ILSOJZT,X,X,O,O,O
ILSOZTJ,O,X,X,O,X
ILSOZJT,X,O,X,O,X
ILZTJSO,X,O,X,O,X
ILZTJOS,X,O,X,O,X
ILZTSJO,X,O,X,O,X
ILZTSOJ,X,O,X,O,X
ILZTOJS,X,O,X,O,X
ILZTOSJ,X,O,X,O,X
ILZJTSO,X,O,X,O,X
ILZJTOS,X,O,O,O,X
ILZJSTO,X,X,O,O,X
ILZJSOT,X,O,O,O,X
ILZJOTS,X,O,O,O,X
ILZJOST,X,O,O,O,X
ILZSTJO,X,X,O,O,X
ILZSTOJ,X,X,X,O,X
ILZSJTO,X,X,O,O,X
ILZSJOT,X,O,O,O,X
ILZSOTJ,X,X,X,O,X
ILZSOJT,X,O,X,O,X
ILZOTJS,X,O,X,O,X
ILZOTSJ,X,O,X,O,X
ILZOJTS,X,O,X,O,X
ILZOJST,X,O,X,O,X
ILZOSTJ,X,X,X,O,X
ILZOSJT,X,O,X,O,X
ILOTJSZ,O,X,X,X,X
ILOTJZS,O,O,X,X,X
ILOTSJZ,O,X,X,X,X
ILOTSZJ,O,O,X,O,X
ILOTZJS,O,O,X,O,X
ILOTZSJ,O,O,X,O,X
ILOJTSZ,X,X,O,X,X
ILOJTZS,X,O,O,X,X
ILOJSTZ,X,X,O,X,X
ILOJSZT,X,X,O,O,O
ILOJZTS,X,O,O,O,O
ILOJZST,X,O,O,O,O
ILOSTJZ,O,X,O,X,X
ILOSTZJ,O,O,X,O,X
ILOSJTZ,X,X,O,X,X
ILOSJZT,X,X,O,O,O
ILOSZTJ,O,X,X,O,X
ILOSZJT,X,O,X,O,X
ILOZTJS,X,O,X,O,X
ILOZTSJ,X,O,X,O,X
ILOZJTS,X,O,X,O,X
ILOZJST,X,O,X,O,X
ILOZSTJ,X,X,X,O,X
ILOZSJT,X,O,X,O,X
IJTLSZO,O,X,O,X,X
IJTLSOZ,O,X,O,X,X
IJTLZSO,O,O,X,X,X
IJTLZOS,O,O,O,X,X
IJTLOSZ,O,X,O,X,X
IJTLOZS,O,O,O,X,X
IJTSLZO,O,X,O,X,X
IJTSLOZ,O,X,O,X,X
IJTSZLO,O,X,O,X,O
IJTSZOL,O,X,O,X,O
IJTSOLZ,O,X,O,X,X
IJTSOZL,O,X,O,X,O
IJTZLSO,O,O,X,X,O
IJTZLOS,O,O,O,X,O
IJTZSLO,O,O,X,X,O
IJTZSOL,O,O,X,X,O
IJTZOLS,O,O,O,X,O
IJTZOSL,O,O,X,X,O
IJTOLSZ,O,X,O,X,X
IJTOLZS,O,O,O,X,X
IJTOSLZ,O,X,O,X,X
IJTOSZL,O,X,O,X,O
IJTOZLS,O,O,O,X,O
IJTOZSL,O,O,X,X,O
IJLTSZO,X,X,O,X,X
IJLTSOZ,X,X,O,X,X
IJLTZSO,X,O,X,X,X
IJLTZOS,X,O,O,X,X
IJLTOSZ,X,X,O,X,X
IJLTOZS,X,O,O,X,X
IJLSTZO,X,X,O,X,X
IJLSTOZ,X,X,O,X,X
IJLSZTO,X,X,O,O,O
IJLSZOT,X,X,O,O,O
IJLSOTZ,X,X,O,X,X
IJLSOZT,X,X,O,O,O
IJLZTSO,X,X,X,O,O
IJLZTOS,X,O,O,O,O
IJLZSTO,X,X,O,O,O
IJLZSOT,X,O,O,O,O
IJLZOTS,X,O,O,O,O
IJLZOST,X,O,O,O,O
IJLOTSZ,X,X,O,X,X
IJLOTZS,X,O,O,X,X
IJLOSTZ,X,X,O,X,X
IJLOSZT,X,X,O,O,O
IJLOZTS,X,O,O,O,O
IJLOZST,X,O,O,O,O
IJSTLZO,O,X,O,X,X
IJSTLOZ,O,X,O,X,X
IJSTZLO,O,X,O,X,O
IJSTZOL,O,X,O,X,O
IJSTOLZ,O,X,O,X,X
IJSTOZL,O,X,O,X,O
IJSLTZO,X,X,O,X,X
IJSLTOZ,X,X,O,X,X
IJSLZTO,X,X,O,X,O
IJSLZOT,X,X,O,X,O
IJSLOTZ,X,X,O,X,X
IJSLOZT,X,X,O,X,O
IJSZTLO,O,X,O,X,O
IJSZTOL,O,X,O,X,O
IJSZLTO,X,X,O,X,O
IJSZLOT,X,X,O,X,O
IJSZOTL,O,X,O,X,O
IJSZOLT,X,X,O,X,O
IJSOTLZ,O,X,O,X,X
IJSOTZL,O,X,O,X,O
IJSOLTZ,X,X,O,X,X
IJSOLZT,X,X,O,X,O
IJSOZTL,O,X,O,X,O
IJSOZLT,X,X,O,X,O
IJZTLSO,X,O,X,O,O
IJZTLOS,X,O,O,O,O
IJZTSLO,X,O,X,X,O
IJZTSOL,X,O,X,X,O
IJZTOLS,X,O,O,O,O
IJZTOSL,X,O,X,X,O
IJZLTSO,X,O,X,O,O
IJZLTOS,X,O,O,O,O
IJZLSTO,X,X,O,O,O
IJZLSOT,X,O,O,O,O
IJZLOTS,X,O,O,O,O
IJZLOST,X,O,O,O,O
IJZSTLO,X,O,O,X,O
IJZSTOL,X,O,O,X,O
IJZSLTO,X,X,O,X,O
IJZSLOT,X,O,O,X,O
IJZSOTL,X,O,O,X,O
IJZSOLT,X,O,O,X,O
IJZOTLS,X,O,O,O,O
IJZOTSL,X,O,X,X,O
IJZOLTS,X,O,O,O,O
IJZOLST,X,O,O,O,O
IJZOSTL,X,O,O,X,O
IJZOSLT,X,O,O,X,O
IJOTLSZ,O,X,O,X,X
IJOTLZS,O,O,O,X,X
IJOTSLZ,O,X,O,X,X
IJOTSZL,O,X,O,X,O
IJOTZLS,O,O,O,X,O
IJOTZSL,O,O,X,X,O
IJOLTSZ,X,X,O,X,X
IJOLTZS,X,O,O,X,X
IJOLSTZ,X,X,O,X,X
IJOLSZT,X,X,O,O,O
IJOLZTS,X,O,O,O,O
IJOLZST,X,O,O,O,O
IJOSTLZ,O,X,O,X,X
IJOSTZL,O,X,O,X,O
IJOSLTZ,X,X,O,X,X
IJOSLZT,X,X,O,X,O
IJOSZTL,O,X,O,X,O
IJOSZLT,X,X,O,X,O
IJOZTLS,X,O,O,O,O
IJOZTSL,X,O,X,X,O
IJOZLTS,X,O,O,O,O
IJOZLST,X,O,O,O,O
IJOZSTL,X,O,O,X,O
IJOZSLT,X,O,O,X,O
ISTLJZO,O,X,O,X,X
ISTLJOZ,O,X,O,X,X
ISTLZJO,O,O,O,X,X
ISTLZOJ,O,O,X,X,X
ISTLOJZ,O,X,O,X,X
ISTLOZJ,O,O,X,X,X
ISTJLZO,O,X,O,X,X
ISTJLOZ,O,X,O,X,X
ISTJZLO,O,X,O,X,O
ISTJZOL,O,X,O,X,O
ISTJOLZ,O,X,O,X,X
ISTJOZL,O,X,O,X,O
ISTZLJO,O,O,O,X,X
ISTZLOJ,O,O,X,X,X
ISTZJLO,O,O,O,X,X
ISTZJOL,O,O,O,X,X
ISTZOLJ,O,O,X,X,X
ISTZOJL,O,O,X,X,X
ISTOLJZ,O,X,O,X,X
ISTOLZJ,O,O,X,X,X
ISTOJLZ,O,X,O,X,X
ISTOJZL,O,X,O,X,O
ISTOZLJ,O,O,X,X,X
ISTOZJL,O,O,X,X,X
ISLTJZO,O,X,O,X,X
ISLTJOZ,O,X,O,X,X
ISLTZJO,O,O,O,O,X
ISLTZOJ,O,O,X,O,X
ISLTOJZ,O,X,O,X,X
ISLTOZJ,O,O,X,O,X
ISLJTZO,X,X,O,X,X
ISLJTOZ,X,X,O,X,X
ISLJZTO,X,X,O,O,O
ISLJZOT,X,X,O,O,O
ISLJOTZ,X,X,O,X,X
ISLJOZT,X,X,O,O,O
ISLZTJO,O,X,O,O,X
ISLZTOJ,O,X,X,O,X
ISLZJTO,X,X,O,O,X
ISLZJOT,X,O,O,O,X
ISLZOTJ,O,X,X,O,X
ISLZOJT,X,O,X,O,X
ISLOTJZ,O,X,O,X,X
ISLOTZJ,O,O,X,O,X
ISLOJTZ,X,X,O,X,X
ISLOJZT,X,X,O,O,O
ISLOZTJ,O,X,X,O,X
ISLOZJT,X,O,X,O,X
ISJTLZO,O,X,O,X,X
ISJTLOZ,O,X,O,X,X
ISJTZLO,O,X,O,X,O
ISJTZOL,O,X,O,X,O
ISJTOLZ,O,X,O,X,X
ISJTOZL,O,X,O,X,O
ISJLTZO,X,X,O,X,X
ISJLTOZ,X,X,O,X,X
ISJLZTO,X,X,O,X,O
ISJLZOT,X,X,O,X,O
ISJLOTZ,X,X,O,X,X
ISJLOZT,X,X,O,X,O
ISJZTLO,O,X,O,X,O
ISJZTOL,O,X,O,X,O
ISJZLTO,X,X,O,X,O
ISJZLOT,X,X,O,X,O
ISJZOTL,O,X,O,X,O
ISJZOLT,X,X,O,X,O
ISJOTLZ,O,X,O,X,X
ISJOTZL,O,X,O,X,O
ISJOLTZ,X,X,O,X,X
ISJOLZT,X,X,O,X,O
ISJOZTL,O,X,O,X,O
ISJOZLT,X,X,O,X,O
ISZTLJO,O,O,O,O,X
ISZTLOJ,O,O,X,O,X
ISZTJLO,O,O,O,X,X
ISZTJOL,O,O,O,X,X
ISZTOLJ,O,O,X,O,X
ISZTOJL,O,O,X,X,X
ISZLTJO,O,X,O,O,X
ISZLTOJ,O,X,X,O,X
ISZLJTO,X,X,O,O,X
ISZLJOT,X,O,O,O,X
ISZLOTJ,O,X,X,O,X
ISZLOJT,X,O,X,O,X
ISZJTLO,O,O,O,X,O
ISZJTOL,O,O,O,X,O
ISZJLTO,X,X,O,X,O
ISZJLOT,X,O,O,X,O
ISZJOTL,O,O,O,X,O
ISZJOLT,X,O,O,X,O
ISZOTLJ,O,O,X,O,X
ISZOTJL,O,O,X,X,X
ISZOLTJ,O,X,X,O,X
ISZOLJT,X,O,X,O,X
ISZOJTL,O,O,X,X,O
ISZOJLT,X,O,X,X,O
ISOTLJZ,O,X,O,X,X
ISOTLZJ,O,O,X,X,X
ISOTJLZ,O,X,O,X,X
ISOTJZL,O,X,O,X,O
ISOTZLJ,O,O,X,X,X
ISOTZJL,O,O,X,X,X
ISOLTJZ,O,X,O,X,X
ISOLTZJ,O,O,X,O,X
ISOLJTZ,X,X,O,X,X
ISOLJZT,X,X,O,O,O
ISOLZTJ,O,X,X,O,X
ISOLZJT,X,O,X,O,X
ISOJTLZ,O,X,O,X,X
ISOJTZL,O,X,O,X,O
ISOJLTZ,X,X,O,X,X
ISOJLZT,X,X,O,X,O
ISOJZTL,O,X,O,X,O
ISOJZLT,X,X,O,X,O
ISOZTLJ,O,O,X,O,X
ISOZTJL,O,O,X,X,X
ISOZLTJ,O,X,X,O,X
ISOZLJT,X,O,X,O,X
ISOZJTL,O,O,X,X,O
ISOZJLT,X,O,X,X,O
IZTLJSO,O,O,X,O,X
IZTLJOS,O,O,X,O,X
IZTLSJO,O,O,X,O,X
IZTLSOJ,O,O,X,O,X
IZTLOJS,O,O,X,O,X
IZTLOSJ,O,O,X,O,X
IZTJLSO,O,O,X,O,X
IZTJLOS,O,O,X,O,X
IZTJSLO,O,O,X,X,X
IZTJSOL,O,O,X,X,X
IZTJOLS,O,O,X,O,X
IZTJOSL,O,O,X,X,X
IZTSLJO,O,O,X,O,X
IZTSLOJ,O,O,X,O,X
IZTSJLO,O,O,X,X,X
IZTSJOL,O,O,X,X,X
IZTSOLJ,O,O,X,O,X
IZTSOJL,O,O,X,X,X
IZTOLJS,O,O,X,O,X
IZTOLSJ,O,O,X,O,X
IZTOJLS,O,O,X,O,X
IZTOJSL,O,O,X,X,X
IZTOSLJ,O,O,X,O,X
IZTOSJL,O,O,X,X,X
IZLTJSO,X,O,X,O,X
IZLTJOS,X,O,X,O,X
IZLTSJO,X,O,X,O,X
IZLTSOJ,X,O,X,O,X
IZLTOJS,X,O,X,O,X
IZLTOSJ,X,O,X,O,X
IZLJTSO,X,O,X,O,X
IZLJTOS,X,O,O,O,X
IZLJSTO,X,X,O,O,X
IZLJSOT,X,O,O,O,X
IZLJOTS,X,O,O,O,X
IZLJOST,X,O,O,O,X
IZLSTJO,X,X,O,O,X
IZLSTOJ,X,X,X,O,X
IZLSJTO,X,X,O,O,X
IZLSJOT,X,O,O,O,X
IZLSOTJ,X,X,X,O,X
IZLSOJT,X,O,X,O,X
IZLOTJS,X,O,X,O,X
IZLOTSJ,X,O,X,O,X
IZLOJTS,X,O,X,O,X
IZLOJST,X,O,X,O,X
IZLOSTJ,X,X,X,O,X
IZLOSJT,X,O,X,O,X
IZJTLSO,X,O,X,O,O
IZJTLOS,X,O,O,O,O
IZJTSLO,X,O,X,X,O
IZJTSOL,X,O,X,X,O
IZJTOLS,X,O,O,O,O
IZJTOSL,X,O,X,X,O
IZJLTSO,X,O,X,O,O
IZJLTOS,X,O,O,O,O
IZJLSTO,X,X,O,O,O
IZJLSOT,X,O,O,O,O
IZJLOTS,X,O,O,O,O
IZJLOST,X,O,O,O,O
IZJSTLO,X,O,O,X,O
IZJSTOL,X,O,O,X,O
IZJSLTO,X,X,O,X,O
IZJSLOT,X,O,O,X,O
IZJSOTL,X,O,O,X,O
IZJSOLT,X,O,O,X,O
IZJOTLS,X,O,O,O,O
IZJOTSL,X,O,X,X,O
IZJOLTS,X,O,O,O,O
IZJOLST,X,O,O,O,O
IZJOSTL,X,O,O,X,O
IZJOSLT,X,O,O,X,O
IZSTLJO,O,O,O,O,X
IZSTLOJ,O,O,X,O,X
IZSTJLO,O,O,O,X,X
IZSTJOL,O,O,O,X,X
IZSTOLJ,O,O,X,O,X
IZSTOJL,O,O,X,X,X
IZSLTJO,O,X,O,O,X
IZSLTOJ,O,X,X,O,X
IZSLJTO,X,X,O,O,X
IZSLJOT,X,O,O,O,X
IZSLOTJ,O,X,X,O,X
IZSLOJT,X,O,X,O,X
IZSJTLO,O,O,O,X,O
IZSJTOL,O,O,O,X,O
IZSJLTO,X,X,O,X,O
IZSJLOT,X,O,O,X,O
IZSJOTL,O,O,O,X,O
IZSJOLT,X,O,O,X,O
IZSOTLJ,O,O,X,O,X
IZSOTJL,O,O,X,X,X
IZSOLTJ,O,X,X,O,X
IZSOLJT,X,O,X,O,X
IZSOJTL,O,O,X,X,O
IZSOJLT,X,O,X,X,O
IZOTLJS,O,O,X,O,X
IZOTLSJ,O,O,X,O,X
IZOTJLS,O,O,X,O,X
IZOTJSL,O,O,X,X,X
IZOTSLJ,O,O,X,O,X
IZOTSJL,O,O,X,X,X
IZOLTJS,X,O,X,O,X
IZOLTSJ,X,O,X,O,X
IZOLJTS,X,O,X,O,X
IZOLJST,X,O,X,O,X
IZOLSTJ,X,X,X,O,X
IZOLSJT,X,O,X,O,X
IZOJTLS,X,O,X,O,O
IZOJTSL,X,O,X,X,O
IZOJLTS,X,O,X,O,O
IZOJLST,X,O,X,O,O
IZOJSTL,X,O,X,X,O
IZOJSLT,X,O,X,X,O
IZOSTLJ,O,O,X,O,X
IZOSTJL,O,O,X,X,X
IZOSLTJ,O,X,X,O,X
IZOSLJT,X,O,X,O,X
IZOSJTL,O,O,X,X,O
IZOSJLT,X,O,X,X,O
IOTLJSZ,O,X,X,X,X
IOTLJZS,O,O,X,X,X
IOTLSJZ,O,X,X,X,X
IOTLSZJ,O,O,X,O,X
IOTLZJS,O,O,X,O,X
IOTLZSJ,O,O,X,O,X
IOTJLSZ,O,X,X,X,X
IOTJLZS,O,O,X,X,X
IOTJSLZ,O,X,X,X,X
IOTJSZL,O,X,X,X,O
IOTJZLS,O,O,X,X,O
IOTJZSL,O,O,X,X,O
IOTSLJZ,O,X,X,X,X
IOTSLZJ,O,O,X,X,X
IOTSJLZ,O,X,X,X,X
IOTSJZL,O,X,X,X,O
IOTSZLJ,O,O,X,X,X
IOTSZJL,O,O,X,X,X
IOTZLJS,O,O,X,O,X
IOTZLSJ,O,O,X,O,X
IOTZJLS,O,O,X,O,X
IOTZJSL,O,O,X,X,X
IOTZSLJ,O,O,X,O,X
IOTZSJL,O,O,X,X,X
IOLTJSZ,O,X,X,X,X
IOLTJZS,O,O,X,X,X
IOLTSJZ,O,X,X,X,X
IOLTSZJ,O,O,X,O,X
IOLTZJS,O,O,X,O,X
IOLTZSJ,O,O,X,O,X
IOLJTSZ,X,X,O,X,X
IOLJTZS,X,O,O,X,X
IOLJSTZ,X,X,O,X,X
IOLJSZT,X,X,O,O,O
IOLJZTS,X,O,O,O,O
IOLJZST,X,O,O,O,O
IOLSTJZ,O,X,O,X,X
IOLSTZJ,O,O,X,O,X
IOLSJTZ,X,X,O,X,X
IOLSJZT,X,X,O,O,O
IOLSZTJ,O,X,X,O,X
IOLSZJT,X,O,X,O,X
IOLZTJS,X,O,X,O,X
IOLZTSJ,X,O,X,O,X
IOLZJTS,X,O,X,O,X
IOLZJST,X,O,X,O,X
IOLZSTJ,X,X,X,O,X
IOLZSJT,X,O,X,O,X
IOJTLSZ,O,X,O,X,X
IOJTLZS,O,O,O,X,X
IOJTSLZ,O,X,O,X,X
IOJTSZL,O,X,O,X,O
IOJTZLS,O,O,O,X,O
IOJTZSL,O,O,X,X,O
IOJLTSZ,X,X,O,X,X
IOJLTZS,X,O,O,X,X
IOJLSTZ,X,X,O,X,X
IOJLSZT,X,X,O,O,O
IOJLZTS,X,O,O,O,O
IOJLZST,X,O,O,O,O
IOJSTLZ,O,X,O,X,X
IOJSTZL,O,X,O,X,O
IOJSLTZ,X,X,O,X,X
IOJSLZT,X,X,O,X,O
IOJSZTL,O,X,O,X,O
IOJSZLT,X,X,O,X,O
IOJZTLS,X,O,O,O,O
IOJZTSL,X,O,X,X,O
IOJZLTS,X,O,O,O,O
IOJZLST,X,O,O,O,O
IOJZSTL,X,O,O,X,O
IOJZSLT,X,O,O,X,O
IOSTLJZ,O,X,O,X,X
IOSTLZJ,O,O,X,X,X
IOSTJLZ,O,X,O,X,X
IOSTJZL,O,X,O,X,O
IOSTZLJ,O,O,X,X,X
IOSTZJL,O,O,X,X,X
IOSLTJZ,O,X,O,X,X
IOSLTZJ,O,O,X,O,X
IOSLJTZ,X,X,O,X,X
IOSLJZT,X,X,O,O,O
IOSLZTJ,O,X,X,O,X
IOSLZJT,X,O,X,O,X
IOSJTLZ,O,X,O,X,X
IOSJTZL,O,X,O,X,O
IOSJLTZ,X,X,O,X,X
IOSJLZT,X,X,O,X,O
IOSJZTL,O,X,O,X,O
IOSJZLT,X,X,O,X,O
IOSZTLJ,O,O,X,O,X
IOSZTJL,O,O,X,X,X
IOSZLTJ,O,X,X,O,X
IOSZLJT,X,O,X,O,X
IOSZJTL,O,O,X,X,O
IOSZJLT,X,O,X,X,O
IOZTLJS,O,O,X,O,X
IOZTLSJ,O,O,X,O,X
IOZTJLS,O,O,X,O,X
IOZTJSL,O,O,X,X,X
IOZTSLJ,O,O,X,O,X
IOZTSJL,O,O,X,X,X
IOZLTJS,X,O,X,O,X
IOZLTSJ,X,O,X,O,X
IOZLJTS,X,O,X,O,X
IOZLJST,X,O,X,O,X
IOZLSTJ,X,X,X,O,X
IOZLSJT,X,O,X,O,X
IOZJTLS,X,O,X,O,O
IOZJTSL,X,O,X,X,O
IOZJLTS,X,O,X,O,O
IOZJLST,X,O,X,O,O
IOZJSTL,X,O,X,X,O
IOZJSLT,X,O,X,X,O
IOZSTLJ,O,O,X,O,X
IOZSTJL,O,O,X,X,X
IOZSLTJ,O,X,X,O,X
IOZSLJT,X,O,X,O,X
IOZSJTL,O,O,X,X,O
IOZSJLT,X,O,X,X,O
LTIJSZO,O,X,O,X,X
LTIJSOZ,O,X,O,X,X
LTIJZSO,O,O,X,X,X
LTIJZOS,O,O,O,X,X
LTIJOSZ,O,X,O,X,X
LTIJOZS,O,O,O,X,X
LTISJZO,O,X,O,X,X
LTISJOZ,O,X,O,X,X
LTISZJO,O,O,O,O,X
LTISZOJ,O,O,X,O,X
LTISOJZ,O,X,O,X,X
LTISOZJ,O,O,X,O,X
LTIZJSO,O,O,X,O,X
LTIZJOS,O,O,X,O,X
LTIZSJO,O,O,X,O,X
LTIZSOJ,O,O,X,O,X
LTIZOJS,O,O,X,O,X
LTIZOSJ,O,O,X,O,X
LTIOJSZ,O,X,X,X,X
LTIOJZS,O,O,X,X,X
LTIOSJZ,O,X,X,X,X
LTIOSZJ,O,O,X,O,X
LTIOZJS,O,O,X,O,X
LTIOZSJ,O,O,X,O,X
LTJISZO,O,X,O,X,X
LTJISOZ,O,X,O,X,X
LTJIZSO,O,O,X,X,X
LTJIZOS,O,O,O,X,X
LTJIOSZ,O,X,O,X,X
