sequence,v115@HhA8IeC8EeA8AeG8Me0/IvhFxgBzlBWsB6tB/sBFtB,v115@HhA8IeC8EeA8AeG8Mel/IvhF8mB5oBmlB3nBCmBzsB,v115@HhA8IeC8EeA8AeG8Mel/IvhFymB5oB0lB3nBGmBzsB,v115@HhA8IeC8EeA8AeG8Me0/IvhF+nBTjBRmBllB3mBSyB,v115@HhA8IeC8EeA8AeG8Me0/IvhF6lB3hB5oBlnB2rBzsB,v115@HhA8IeC8EeA8AeG8Me0/IvhF6lBThBFjB+tBxrB/sB,v115@HhA8IeC8EeA8AeG8Mel/IvhF0lBxmB6tBGmBTnBXtB,v115@HhA8IeC8EeA8AeG8Mel/IvhF/oB0lBxmBGmBTnBSyB
TZJLIOS,X,X,X,O,X,O,O,X
TZJLSIO,X,X,X,X,O,X,X,X
TZJLSOI,X,X,X,X,X,X,X,X
TZJLOIS,O,X,X,O,X,X,X,X
TZJLOSI,O,X,X,X,X,X,X,X
TZJSILO,X,O,O,X,O,X,X,O
TZJSIOL,X,O,X,X,X,X,X,O
TZJSLIO,X,O,O,X,O,X,X,X
TZJSLOI,X,X,X,X,X,X,X,X
TZJSOIL,X,O,X,X,X,X,X,X
TZJSOLI,X,X,X,X,X,X,X,X
TZJOILS,O,X,X,O,X,X,X,X
TZJOISL,X,O,X,O,X,X,X,X
TZJOLIS,O,X,X,X,X,X,X,X
TZJOLSI,O,X,X,X,X,X,X,X
TZJOSIL,X,X,X,X,X,X,X,X
TZJOSLI,X,X,X,X,X,X,X,X
TZSILJO,X,O,O,X,O,X,O,O
TZSILOJ,X,X,O,X,O,X,O,O
TZSIJLO,X,O,O,X,O,X,X,O
TZSIJOL,X,O,X,X,X,X,X,O
TZSIOLJ,X,X,O,X,O,X,X,O
TZSIOJL,X,O,X,X,X,X,X,O
TZSLIJO,X,O,O,X,O,X,O,O
TZSLIOJ,X,X,O,X,O,X,O,O
TZSLJIO,X,O,O,X,O,X,X,X
TZSLJOI,X,X,X,X,X,X,X,X
TZSLOIJ,X,X,O,X,O,X,X,X
TZSLOJI,X,X,X,X,X,X,X,X
TZSJILO,X,O,O,X,O,X,X,O
TZSJIOL,X,O,X,X,X,X,X,O
TZSJLIO,X,O,O,X,O,X,X,X
TZSJLOI,X,X,X,X,X,X,X,X
TZSJOIL,X,O,X,X,X,X,X,X
TZSJOLI,X,X,X,X,X,X,X,X
TZSOILJ,X,X,O,X,O,X,X,O
TZSOIJL,X,O,X,X,X,X,X,O
TZSOLIJ,X,X,O,X,O,X,X,X
TZSOLJI,X,X,X,X,X,X,X,X
TZSOJIL,X,O,X,X,X,X,X,X
TZSOJLI,X,X,X,X,X,X,X,X
TZOILJS,O,X,X,X,X,X,O,X
TZOILSJ,X,X,O,X,O,X,O,X
TZOIJLS,O,X,X,X,X,X,X,X
TZOIJSL,X,O,X,X,X,X,X,X
TZOISLJ,X,X,O,X,O,X,X,O
TZOISJL,X,O,X,X,X,X,X,O
TZOLIJS,O,X,X,X,X,X,O,X
TZOLISJ,X,X,O,X,O,X,O,X
TZOLJIS,O,X,X,O,X,X,X,X
TZOLJSI,O,X,X,X,X,X,X,X
TZOLSIJ,X,X,X,X,O,X,X,X
TZOLSJI,X,X,X,X,X,X,X,X
TZOJILS,O,X,X,O,X,X,X,X
TZOJISL,X,O,X,O,X,X,X,X
TZOJLIS,O,X,X,X,X,X,X,X
TZOJLSI,O,X,X,X,X,X,X,X
TZOJSIL,X,X,X,X,X,X,X,X
TZOJSLI,X,X,X,X,X,X,X,X
TZOSILJ,X,X,O,X,O,X,X,O
TZOSIJL,X,X,X,X,X,X,X,O
TZOSLIJ,X,X,O,X,O,X,X,X
TZOSLJI,X,X,X,X,X,X,X,X
TZOSJIL,X,X,X,X,X,X,X,X
TZOSJLI,X,X,X,X,X,X,X,X
TOILJSZ,O,X,X,X,X,X,X,X
TOILJZS,O,X,X,X,X,X,X,X
TOILSJZ,X,X,X,X,X,X,X,X
TOILSZJ,X,X,X,X,O,X,X,X
TOILZJS,O,X,X,X,X,X,X,X
TOILZSJ,X,X,X,X,O,X,X,X
TOIJLSZ,O,X,X,X,X,X,X,X
TOIJLZS,O,X,X,X,X,X,X,X
TOIJSLZ,X,X,X,X,X,X,X,X
TOIJSZL,X,O,X,X,X,X,X,X
TOIJZLS,O,X,X,X,X,X,X,X
TOIJZSL,X,O,X,X,X,X,X,X
TOISLJZ,X,X,X,X,X,X,X,X
TOISLZJ,X,X,O,X,O,X,X,X
TOISJLZ,X,X,X,X,X,X,X,X
TOISJZL,X,O,X,X,X,X,X,X
TOISZLJ,X,X,O,X,O,X,X,X
TOISZJL,X,O,X,X,X,X,X,X
TOIZLJS,O,X,X,X,X,X,X,X
TOIZLSJ,X,X,O,X,O,X,X,X
TOIZJLS,O,X,X,X,X,X,X,X
TOIZJSL,X,O,X,X,X,X,X,X
TOIZSLJ,X,X,O,X,O,X,X,X
TOIZSJL,X,O,X,X,X,X,X,X
TOLIJSZ,O,X,X,X,X,X,X,X
TOLIJZS,O,X,X,X,X,X,X,X
TOLISJZ,X,X,X,X,X,X,X,X
TOLISZJ,X,X,X,X,O,X,X,X
TOLIZJS,O,X,X,X,X,X,X,X
TOLIZSJ,X,X,X,X,O,X,X,X
TOLJISZ,O,X,X,X,X,X,X,X
TOLJIZS,O,X,X,O,X,X,X,X
TOLJSIZ,O,X,X,X,X,X,X,X
TOLJSZI,O,X,X,X,X,X,X,X
TOLJZIS,O,X,X,O,X,X,X,X
TOLJZSI,O,X,X,X,X,X,X,X
TOLSIJZ,X,X,X,X,X,X,X,X
TOLSIZJ,X,X,X,X,O,X,X,X
TOLSJIZ,X,X,X,X,X,X,X,X
TOLSJZI,X,X,X,X,X,X,X,X
TOLSZIJ,X,X,X,X,O,X,X,X
TOLSZJI,X,X,X,X,X,X,X,X
TOLZIJS,O,X,X,X,X,X,O,X
TOLZISJ,X,X,X,X,O,X,O,X
TOLZJIS,O,X,X,O,X,X,X,X
TOLZJSI,O,X,X,X,X,X,X,X
TOLZSIJ,X,X,X,X,O,X,X,X
TOLZSJI,X,X,X,X,X,X,X,X
TOJILSZ,O,X,X,X,X,X,X,X
TOJILZS,O,X,X,X,X,X,X,X
TOJISLZ,X,X,X,X,X,X,X,X
TOJISZL,X,O,X,X,X,X,X,X
TOJIZLS,O,X,X,O,X,X,X,X
TOJIZSL,X,O,X,O,X,X,X,X
TOJLISZ,O,X,X,X,X,X,X,X
TOJLIZS,O,X,X,X,X,X,X,X
TOJLSIZ,O,X,X,X,X,X,X,X
TOJLSZI,O,X,X,X,X,X,X,X
TOJLZIS,O,X,X,X,X,X,X,X
TOJLZSI,O,X,X,X,X,X,X,X
TOJSILZ,X,X,X,X,X,X,X,X
TOJSIZL,X,O,X,X,X,X,X,X
TOJSLIZ,X,X,X,X,X,X,X,X
TOJSLZI,X,X,X,X,X,X,X,X
TOJSZIL,X,O,X,X,X,X,X,X
TOJSZLI,X,X,X,X,X,X,X,X
TOJZILS,O,X,X,O,X,X,X,X
TOJZISL,X,O,X,O,X,X,X,X
TOJZLIS,O,X,X,X,X,X,X,X
TOJZLSI,O,X,X,X,X,X,X,X
TOJZSIL,X,X,X,X,X,X,X,X
TOJZSLI,X,X,X,X,X,X,X,X
TOSILJZ,X,X,X,X,X,X,X,X
TOSILZJ,X,X,O,X,O,X,X,X
TOSIJLZ,X,X,X,X,X,X,X,X
TOSIJZL,X,O,X,X,X,X,X,X
TOSIZLJ,X,X,O,X,O,X,X,X
TOSIZJL,X,O,X,X,X,X,X,X
TOSLIJZ,X,X,X,X,X,X,X,X
TOSLIZJ,X,X,O,X,O,X,X,X
TOSLJIZ,X,X,X,X,X,X,X,X
TOSLJZI,X,X,X,X,X,X,X,X
TOSLZIJ,X,X,O,X,O,X,X,X
TOSLZJI,X,X,X,X,X,X,X,X
TOSJILZ,X,X,X,X,X,X,X,X
TOSJIZL,X,O,X,X,X,X,X,X
TOSJLIZ,X,X,X,X,X,X,X,X
TOSJLZI,X,X,X,X,X,X,X,X
TOSJZIL,X,O,X,X,X,X,X,X
TOSJZLI,X,X,X,X,X,X,X,X
TOSZILJ,X,X,O,X,O,X,X,O
TOSZIJL,X,O,X,X,X,X,X,O
TOSZLIJ,X,X,O,X,O,X,X,X
TOSZLJI,X,X,X,X,X,X,X,X
TOSZJIL,X,O,X,X,X,X,X,X
TOSZJLI,X,X,X,X,X,X,X,X
TOZILJS,O,X,X,X,X,X,O,X
TOZILSJ,X,X,O,X,O,X,O,X
TOZIJLS,O,X,X,X,X,X,X,X
TOZIJSL,X,O,X,X,X,X,X,X
TOZISLJ,X,X,O,X,O,X,X,O
TOZISJL,X,O,X,X,X,X,X,O
TOZLIJS,O,X,X,X,X,X,O,X
TOZLISJ,X,X,O,X,O,X,O,X
TOZLJIS,O,X,X,O,X,X,X,X
TOZLJSI,O,X,X,X,X,X,X,X
TOZLSIJ,X,X,X,X,O,X,X,X
TOZLSJI,X,X,X,X,X,X,X,X
TOZJILS,O,X,X,O,X,X,X,X
TOZJISL,X,O,X,O,X,X,X,X
TOZJLIS,O,X,X,X,X,X,X,X
TOZJLSI,O,X,X,X,X,X,X,X
TOZJSIL,X,X,X,X,X,X,X,X
TOZJSLI,X,X,X,X,X,X,X,X
TOZSILJ,X,X,O,X,O,X,X,O
TOZSIJL,X,X,X,X,X,X,X,O
TOZSLIJ,X,X,O,X,O,X,X,X
TOZSLJI,X,X,X,X,X,X,X,X
TOZSJIL,X,X,X,X,X,X,X,X
TOZSJLI,X,X,X,X,X,X,X,X
ITLJSZO,X,O,X,X,O,X,X,X
ITLJSOZ,X,X,X,X,X,X,X,X
ITLJZSO,X,O,X,X,O,X,X,X
ITLJZOS,X,X,X,X,X,X,X,X
ITLJOSZ,X,X,X,X,X,X,X,X
ITLJOZS,X,X,X,X,X,X,X,X
ITLSJZO,X,O,O,X,O,X,X,X
ITLSJOZ,X,X,X,X,X,X,X,X
ITLSZJO,X,O,O,X,O,X,X,X
ITLSZOJ,X,X,O,X,O,X,X,X
ITLSOJZ,X,X,X,X,X,X,X,X
ITLSOZJ,X,X,O,X,O,X,X,X
ITLZJSO,X,O,O,X,O,X,O,X
ITLZJOS,X,X,X,X,X,X,O,X
ITLZSJO,X,O,O,X,O,X,O,X
ITLZSOJ,X,X,O,X,O,X,O,X
ITLZOJS,X,X,X,X,X,X,O,X
ITLZOSJ,X,X,O,X,O,X,O,X
ITLOJSZ,X,X,X,X,X,X,X,X
ITLOJZS,X,X,X,X,X,X,X,X
ITLOSJZ,X,X,X,X,X,X,X,X
ITLOSZJ,X,X,X,X,O,X,X,X
ITLOZJS,X,X,X,X,X,X,X,X
ITLOZSJ,X,X,X,X,O,X,X,X
ITJLSZO,X,O,X,X,O,X,X,X
ITJLSOZ,X,X,X,X,X,X,X,X
ITJLZSO,X,O,X,X,O,X,X,X
ITJLZOS,X,X,X,X,X,X,X,X
ITJLOSZ,X,X,X,X,X,X,X,X
ITJLOZS,X,X,X,X,X,X,X,X
ITJSLZO,X,O,O,X,O,X,X,X
ITJSLOZ,X,X,X,X,X,X,X,X
ITJSZLO,X,O,O,X,O,X,X,X
ITJSZOL,X,O,X,X,X,X,X,X
ITJSOLZ,X,X,X,X,X,X,X,X
ITJSOZL,X,O,X,X,X,X,X,X
ITJZLSO,X,O,O,X,O,X,X,X
ITJZLOS,X,X,X,X,X,X,X,X
ITJZSLO,X,O,O,X,O,X,X,X
ITJZSOL,X,O,X,X,X,X,X,X
ITJZOLS,X,X,X,X,X,X,X,X
ITJZOSL,X,O,X,X,X,X,X,X
ITJOLSZ,X,X,X,X,X,X,X,X
ITJOLZS,X,X,X,X,X,X,X,X
ITJOSLZ,X,X,X,X,X,X,X,X
ITJOSZL,X,O,X,X,X,X,X,X
ITJOZLS,X,X,X,X,X,X,X,X
ITJOZSL,X,O,X,X,X,X,X,X
ITSLJZO,X,O,O,X,O,X,X,X
ITSLJOZ,X,X,X,X,X,X,X,X
ITSLZJO,X,O,O,X,O,X,X,X
ITSLZOJ,X,X,O,X,O,X,X,X
ITSLOJZ,X,X,X,X,X,X,X,X
ITSLOZJ,X,X,O,X,O,X,X,X
ITSJLZO,X,O,O,X,O,X,X,X
ITSJLOZ,X,X,X,X,X,X,X,X
ITSJZLO,X,O,O,X,O,X,X,X
ITSJZOL,X,O,X,X,X,X,X,X
ITSJOLZ,X,X,X,X,X,X,X,X
ITSJOZL,X,O,X,X,X,X,X,X
ITSZLJO,X,O,O,X,O,X,X,O
ITSZLOJ,X,X,O,X,O,X,X,O
ITSZJLO,X,O,O,X,O,X,X,O
ITSZJOL,X,O,X,X,X,X,X,O
ITSZOLJ,X,X,O,X,O,X,X,O
ITSZOJL,X,O,X,X,X,X,X,O
ITSOLJZ,X,X,X,X,X,X,X,X
ITSOLZJ,X,X,O,X,O,X,X,X
ITSOJLZ,X,X,X,X,X,X,X,X
ITSOJZL,X,O,X,X,X,X,X,X
ITSOZLJ,X,X,O,X,O,X,X,X
ITSOZJL,X,O,X,X,X,X,X,X
ITZLJSO,X,O,O,X,O,X,O,X
ITZLJOS,X,X,X,X,X,X,O,X
ITZLSJO,X,O,O,X,O,X,O,O
ITZLSOJ,X,X,O,X,O,X,O,O
ITZLOJS,X,X,X,X,X,X,O,X
ITZLOSJ,X,X,O,X,O,X,O,X
ITZJLSO,X,O,O,X,O,X,O,X
ITZJLOS,X,X,X,X,X,X,O,X
ITZJSLO,X,O,O,X,O,X,X,O
ITZJSOL,X,O,X,X,X,X,X,O
ITZJOLS,X,X,X,X,X,X,X,X
ITZJOSL,X,O,X,X,X,X,X,X
ITZSLJO,X,O,O,X,O,X,O,O
ITZSLOJ,X,X,O,X,O,X,O,O
ITZSJLO,X,O,O,X,O,X,X,O
ITZSJOL,X,O,X,X,X,X,X,O
ITZSOLJ,X,X,O,X,O,X,X,O
ITZSOJL,X,O,X,X,X,X,X,O
ITZOLJS,X,X,X,X,X,X,O,X
ITZOLSJ,X,X,O,X,O,X,O,X
ITZOJLS,X,X,X,X,X,X,X,X
ITZOJSL,X,O,X,X,X,X,X,X
ITZOSLJ,X,X,O,X,O,X,X,O
ITZOSJL,X,O,X,X,X,X,X,O
ITOLJSZ,X,X,X,X,X,X,X,X
ITOLJZS,X,X,X,X,X,X,X,X
ITOLSJZ,X,X,X,X,X,X,X,X
ITOLSZJ,X,X,X,X,O,X,X,X
ITOLZJS,X,X,X,X,X,X,X,X
ITOLZSJ,X,X,X,X,O,X,X,X
ITOJLSZ,X,X,X,X,X,X,X,X
ITOJLZS,X,X,X,X,X,X,X,X
ITOJSLZ,X,X,X,X,X,X,X,X
ITOJSZL,X,O,X,X,X,X,X,X
ITOJZLS,X,X,X,X,X,X,X,X
ITOJZSL,X,O,X,X,X,X,X,X
ITOSLJZ,X,X,X,X,X,X,X,X
ITOSLZJ,X,X,O,X,O,X,X,X
ITOSJLZ,X,X,X,X,X,X,X,X
ITOSJZL,X,O,X,X,X,X,X,X
ITOSZLJ,X,X,O,X,O,X,X,X
ITOSZJL,X,O,X,X,X,X,X,X
ITOZLJS,X,X,X,X,X,X,X,X
ITOZLSJ,X,X,O,X,O,X,X,X
ITOZJLS,X,X,X,X,X,X,X,X
ITOZJSL,X,O,X,X,X,X,X,X
ITOZSLJ,X,X,O,X,O,X,X,X
ITOZSJL,X,O,X,X,X,X,X,X
ILTJSZO,X,O,X,X,O,X,X,X
ILTJSOZ,X,X,X,X,X,X,X,X
ILTJZSO,X,O,X,X,O,X,X,X
ILTJZOS,X,X,X,X,X,X,X,X
ILTJOSZ,X,X,X,X,X,X,X,X
ILTJOZS,X,X,X,X,X,X,X,X
ILTSJZO,X,O,O,X,O,X,X,X
ILTSJOZ,X,X,X,X,X,X,X,X
ILTSZJO,X,O,O,X,O,X,X,X
ILTSZOJ,X,X,O,X,O,X,X,X
ILTSOJZ,X,X,X,X,X,X,X,X
ILTSOZJ,X,X,O,X,O,X,X,X
ILTZJSO,X,O,O,X,O,X,O,X
ILTZJOS,X,X,X,X,X,X,O,X
ILTZSJO,X,O,O,X,O,X,O,X
ILTZSOJ,X,X,O,X,O,X,O,X
ILTZOJS,X,X,X,X,X,X,O,X
ILTZOSJ,X,X,O,X,O,X,O,X
ILTOJSZ,X,X,X,X,X,X,X,X
ILTOJZS,X,X,X,X,X,X,X,X
ILTOSJZ,X,X,X,X,X,X,X,X
ILTOSZJ,X,X,X,X,O,X,X,X
ILTOZJS,X,X,X,X,X,X,X,X
ILTOZSJ,X,X,X,X,O,X,X,X
ILJTSZO,X,O,X,X,O,O,X,X
ILJTSOZ,X,X,X,X,X,O,X,X
ILJTZSO,X,O,X,X,O,O,X,X
ILJTZOS,X,X,X,O,X,O,X,X
ILJTOSZ,X,X,X,X,X,O,X,X
ILJTOZS,X,X,X,O,X,O,X,X
ILJSTZO,X,O,X,X,X,O,X,X
ILJSTOZ,X,X,X,X,X,O,X,X
ILJSZTO,X,O,X,X,X,O,X,X
ILJSZOT,X,X,X,O,X,O,X,X
ILJSOTZ,X,X,X,X,X,O,X,X
ILJSOZT,X,X,X,O,X,O,X,X
ILJZTSO,X,O,X,X,O,O,X,X
ILJZTOS,X,X,X,O,X,O,X,X
ILJZSTO,X,O,X,X,X,O,X,X
ILJZSOT,X,X,X,O,X,O,X,X
ILJZOTS,O,X,X,O,X,O,X,X
ILJZOST,O,X,X,O,X,O,X,X
ILJOTSZ,O,X,X,X,X,O,X,X
ILJOTZS,O,X,X,O,X,O,X,X
ILJOSTZ,O,X,X,X,X,O,X,X
ILJOSZT,O,X,X,O,X,O,X,X
ILJOZTS,O,X,X,O,X,O,X,X
ILJOZST,O,X,X,O,X,O,X,X
ILSTJZO,X,O,O,X,O,X,X,X
ILSTJOZ,X,X,X,X,X,X,X,X
ILSTZJO,X,O,O,X,O,X,X,X
ILSTZOJ,X,X,O,X,O,X,X,X
ILSTOJZ,X,X,X,X,X,X,X,X
ILSTOZJ,X,X,O,X,O,X,X,X
ILSJTZO,X,O,O,X,X,X,X,X
ILSJTOZ,X,X,X,X,X,X,X,X
ILSJZTO,X,O,O,X,X,X,X,X
ILSJZOT,X,X,X,X,X,X,X,X
ILSJOTZ,X,X,X,X,X,X,X,X
ILSJOZT,X,X,X,X,X,X,X,X
ILSZTJO,X,O,O,X,O,X,X,X
ILSZTOJ,X,X,O,X,O,X,X,X
ILSZJTO,X,O,O,X,X,X,X,X
ILSZJOT,X,X,X,X,X,X,X,X
ILSZOTJ,X,X,O,X,X,X,X,X
ILSZOJT,X,X,X,X,X,X,X,X
ILSOTJZ,X,X,X,X,X,X,X,X
ILSOTZJ,X,X,O,X,X,X,X,X
ILSOJTZ,X,X,X,X,X,X,X,X
ILSOJZT,X,X,X,X,X,X,X,X
ILSOZTJ,X,X,O,X,X,X,X,X
ILSOZJT,X,X,X,X,X,X,X,X
ILZTJSO,X,O,O,X,O,X,O,X
ILZTJOS,X,X,X,X,X,X,O,X
ILZTSJO,X,O,O,X,O,X,O,X
ILZTSOJ,X,X,O,X,O,X,O,X
ILZTOJS,O,X,X,X,X,X,O,X
ILZTOSJ,X,X,O,X,O,X,O,X
ILZJTSO,X,O,O,X,O,O,O,X
ILZJTOS,X,X,X,O,X,O,O,X
ILZJSTO,X,O,O,X,X,O,X,X
ILZJSOT,X,X,X,O,X,O,X,X
ILZJOTS,O,X,X,O,X,O,X,X
ILZJOST,O,X,X,O,X,O,X,X
ILZSTJO,X,O,O,X,O,X,O,X
ILZSTOJ,X,X,O,X,O,X,O,X
ILZSJTO,X,O,O,X,X,X,X,X
ILZSJOT,X,X,X,X,X,X,X,X
ILZSOTJ,X,X,O,X,X,X,X,X
ILZSOJT,O,X,X,X,X,X,X,X
ILZOTJS,O,X,X,X,X,X,O,X
ILZOTSJ,X,X,O,X,O,X,O,X
ILZOJTS,O,X,X,O,X,X,X,X
ILZOJST,O,X,X,O,X,X,X,X
ILZOSTJ,X,X,O,X,X,X,X,X
ILZOSJT,O,X,X,X,X,X,X,X
ILOTJSZ,O,X,X,X,X,X,X,X
ILOTJZS,O,X,X,X,X,X,X,X
ILOTSJZ,X,X,X,X,X,X,X,X
ILOTSZJ,X,X,X,X,O,X,X,X
ILOTZJS,O,X,X,X,X,X,X,X
ILOTZSJ,X,X,X,X,O,X,X,X
ILOJTSZ,O,X,X,X,X,X,X,X
ILOJTZS,O,X,X,O,X,X,X,X
ILOJSTZ,O,X,X,X,X,X,X,X
ILOJSZT,O,X,X,O,X,X,X,X
ILOJZTS,O,X,X,O,X,X,X,X
ILOJZST,O,X,X,O,X,X,X,X
ILOSTJZ,X,X,X,X,X,X,X,X
ILOSTZJ,X,X,X,X,X,X,X,X
ILOSJTZ,O,X,X,X,X,X,X,X
ILOSJZT,O,X,X,X,X,X,X,X
ILOSZTJ,X,X,X,X,X,X,X,X
ILOSZJT,O,X,X,X,X,X,X,X
ILOZTJS,O,X,X,X,X,X,X,X
ILOZTSJ,X,X,X,X,O,X,X,X
ILOZJTS,O,X,X,O,X,X,X,X
ILOZJST,O,X,X,O,X,X,X,X
ILOZSTJ,X,X,X,X,X,X,X,X
ILOZSJT,O,X,X,X,X,X,X,X
IJTLSZO,X,O,X,X,O,O,X,X
IJTLSOZ,X,X,X,X,X,O,X,X
IJTLZSO,X,O,X,X,O,O,X,X
IJTLZOS,X,X,X,O,X,O,X,X
IJTLOSZ,X,X,X,X,X,O,X,X
IJTLOZS,X,X,X,O,X,O,X,X
IJTSLZO,X,O,O,X,O,X,X,X
IJTSLOZ,X,X,X,X,X,X,X,X
IJTSZLO,X,O,O,X,O,X,X,X
IJTSZOL,X,O,X,X,X,X,X,X
IJTSOLZ,X,X,X,X,X,X,X,X
IJTSOZL,X,O,X,X,X,X,X,X
IJTZLSO,X,O,O,X,O,O,X,X
IJTZLOS,X,X,X,O,X,O,X,X
IJTZSLO,X,O,O,X,O,X,X,X
IJTZSOL,X,O,X,X,X,X,X,X
IJTZOLS,X,X,X,O,X,O,X,X
IJTZOSL,X,O,X,O,X,X,X,X
IJTOLSZ,X,X,X,X,X,O,X,X
IJTOLZS,X,X,X,X,X,O,X,X
IJTOSLZ,X,X,X,X,X,X,X,X
IJTOSZL,X,O,X,X,X,X,X,X
IJTOZLS,X,X,X,O,X,O,X,X
IJTOZSL,X,O,X,O,X,X,X,X
IJLTSZO,X,O,X,X,O,O,X,X
IJLTSOZ,X,X,X,X,X,O,X,X
IJLTZSO,X,O,X,X,O,O,X,X
IJLTZOS,X,X,X,O,X,O,X,X
IJLTOSZ,X,X,X,X,X,O,X,X
IJLTOZS,X,X,X,O,X,O,X,X
IJLSTZO,X,O,X,X,X,O,X,X
IJLSTOZ,X,X,X,X,X,O,X,X
IJLSZTO,X,O,X,X,X,O,X,X
IJLSZOT,X,X,X,O,X,O,X,X
IJLSOTZ,X,X,X,X,X,O,X,X
IJLSOZT,X,X,X,O,X,O,X,X
IJLZTSO,X,O,X,X,O,O,X,X
IJLZTOS,X,X,X,O,X,O,X,X
IJLZSTO,X,O,X,X,X,O,X,X
IJLZSOT,X,X,X,O,X,O,X,X
IJLZOTS,O,X,X,O,X,O,X,X
IJLZOST,O,X,X,O,X,O,X,X
IJLOTSZ,O,X,X,X,X,O,X,X
IJLOTZS,O,X,X,O,X,O,X,X
IJLOSTZ,O,X,X,X,X,O,X,X
IJLOSZT,O,X,X,O,X,O,X,X
IJLOZTS,O,X,X,O,X,O,X,X
IJLOZST,O,X,X,O,X,O,X,X
IJSTLZO,X,O,O,X,X,X,X,X
IJSTLOZ,X,X,X,X,X,X,X,X
IJSTZLO,X,O,O,X,X,X,X,X
IJSTZOL,X,O,X,X,X,X,X,X
IJSTOLZ,X,X,X,X,X,X,X,X
IJSTOZL,X,O,X,X,X,X,X,X
IJSLTZO,X,O,O,X,X,O,X,X
IJSLTOZ,X,X,X,X,X,O,X,X
IJSLZTO,X,O,O,X,X,O,X,X
IJSLZOT,X,X,X,O,X,O,X,X
IJSLOTZ,X,X,X,X,X,O,X,X
IJSLOZT,X,X,X,O,X,O,X,X
IJSZTLO,X,O,O,X,X,X,X,X
IJSZTOL,X,O,X,X,X,X,X,X
IJSZLTO,X,O,O,X,X,O,X,X
IJSZLOT,X,X,X,O,X,O,X,X
IJSZOTL,X,O,X,O,X,X,X,X
IJSZOLT,X,X,X,O,X,O,X,X
IJSOTLZ,X,X,X,X,X,X,X,X
IJSOTZL,X,O,X,X,X,X,X,X
IJSOLTZ,X,X,X,X,X,O,X,X
IJSOLZT,X,X,X,X,X,O,X,X
IJSOZTL,X,O,X,O,X,X,X,X
IJSOZLT,X,X,X,O,X,O,X,X
IJZTLSO,X,O,O,X,O,O,X,X
IJZTLOS,X,X,X,O,X,O,X,X
IJZTSLO,X,O,O,X,O,X,X,X
IJZTSOL,X,O,X,X,X,X,X,X
IJZTOLS,X,X,X,O,X,O,X,X
IJZTOSL,X,O,X,O,X,X,X,X
IJZLTSO,X,O,O,X,O,O,X,X
IJZLTOS,X,X,X,O,X,O,X,X
IJZLSTO,X,O,O,X,X,O,X,X
IJZLSOT,X,X,X,O,X,O,X,X
IJZLOTS,O,X,X,O,X,O,X,X
IJZLOST,O,X,X,O,X,O,X,X
IJZSTLO,X,O,O,X,X,X,X,X
IJZSTOL,X,O,X,X,X,X,X,X
IJZSLTO,X,O,O,X,X,O,X,X
IJZSLOT,X,X,X,O,X,O,X,X
IJZSOTL,X,O,X,O,X,X,X,X
IJZSOLT,X,X,X,O,X,O,X,X
IJZOTLS,O,X,X,O,X,O,X,X
IJZOTSL,X,O,X,O,X,X,X,X
IJZOLTS,O,X,X,O,X,O,X,X
IJZOLST,O,X,X,O,X,O,X,X
IJZOSTL,X,O,X,O,X,X,X,X
IJZOSLT,O,X,X,O,X,O,X,X
IJOTLSZ,O,X,X,X,X,O,X,X
IJOTLZS,O,X,X,X,X,O,X,X
IJOTSLZ,X,X,X,X,X,X,X,X
IJOTSZL,X,O,X,X,X,X,X,X
IJOTZLS,O,X,X,O,X,O,X,X
IJOTZSL,X,O,X,O,X,X,X,X
IJOLTSZ,O,X,X,X,X,O,X,X
IJOLTZS,O,X,X,O,X,O,X,X
IJOLSTZ,O,X,X,X,X,O,X,X
IJOLSZT,O,X,X,O,X,O,X,X
IJOLZTS,O,X,X,O,X,O,X,X
IJOLZST,O,X,X,O,X,O,X,X
IJOSTLZ,X,X,X,X,X,X,X,X
IJOSTZL,X,O,X,X,X,X,X,X
IJOSLTZ,O,X,X,X,X,O,X,X
IJOSLZT,O,X,X,X,X,O,X,X
IJOSZTL,X,O,X,O,X,X,X,X
IJOSZLT,O,X,X,O,X,O,X,X
IJOZTLS,O,X,X,O,X,O,X,X
IJOZTSL,X,O,X,O,X,X,X,X
IJOZLTS,O,X,X,O,X,O,X,X
IJOZLST,O,X,X,O,X,O,X,X
IJOZSTL,X,O,X,O,X,X,X,X
IJOZSLT,O,X,X,O,X,O,X,X
ISTLJZO,X,O,O,X,O,X,X,X
ISTLJOZ,X,X,X,X,X,X,X,X
ISTLZJO,X,O,O,X,O,X,X,X
ISTLZOJ,X,X,O,X,O,X,X,X
ISTLOJZ,X,X,X,X,X,X,X,X
ISTLOZJ,X,X,O,X,O,X,X,X
ISTJLZO,X,O,O,X,O,X,X,X
ISTJLOZ,X,X,X,X,X,X,X,X
ISTJZLO,X,O,O,X,O,X,X,X
ISTJZOL,X,O,X,X,X,X,X,X
ISTJOLZ,X,X,X,X,X,X,X,X
ISTJOZL,X,O,X,X,X,X,X,X
ISTZLJO,X,O,O,X,O,X,X,O
ISTZLOJ,X,X,O,X,O,X,X,O
ISTZJLO,X,O,O,X,O,X,X,O
ISTZJOL,X,O,X,X,X,X,X,O
ISTZOLJ,X,X,O,X,O,X,X,O
