sequence,v115@HhA8IeC8EeA8AeG8Me0/IvhFxgBzlBWsB6tB/sBFtB,v115@HhA8IeC8EeA8AeG8Mel/IvhF8mB5oBmlB3nBCmBzsB,v115@HhA8IeC8EeA8AeG8Mel/IvhFymB5oB0lB3nBGmBzsB,v115@HhA8IeC8EeA8AeG8Me0/IvhF+nBTjBRmBllB3mBSyB,v115@HhA8IeC8EeA8AeG8Me0/IvhF6lB3hB5oBlnB2rBzsB,v115@HhA8IeC8EeA8AeG8Me0/IvhF6lBThBFjB+tBxrB/sB,v115@HhA8IeC8EeA8AeG8Mel/IvhF0lBxmB6tBGmBTnBXtB,v115@HhA8IeC8EeA8AeG8Mel/IvhF/oB0lBxmBGmBTnBSyB
TIOZSLJ,X,X,O,X,O,X,X,X
TIOZSJL,X,O,X,X,X,X,X,X
TLIJSZO,X,O,X,X,O,X,X,X
TLIJSOZ,X,X,X,X,X,X,X,X
TLIJZSO,X,O,X,X,O,X,X,X
TLIJZOS,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,X,X,X,X
TLISJZO,X,O,O,X,O,X,X,X
TLISJOZ,X,X,X,X,X,X,X,X
TLISZJO,X,O,O,X,O,X,X,X
TLISZOJ,X,X,O,X,O,X,X,X
TLISOJZ,X,X,X,X,X,X,X,X
TLISOZJ,X,X,O,X,O,X,X,X
TLIZJSO,X,O,O,X,O,X,O,X
TLIZJOS,X,X,X,X,X,X,O,X
TLIZSJO,X,O,O,X,O,X,O,X
TLIZSOJ,X,X,O,X,O,X,O,X
TLIZOJS,X,X,X,X,X,X,O,X
TLIZOSJ,X,X,O,X,O,X,O,X
TLIOJSZ,X,X,X,X,X,X,X,X
TLIOJZS,X,X,X,X,X,X,X,X
TLIOSJZ,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,O,X,X,X
TLIOZJS,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,X,X,O,X,X,X
TLJISZO,X,O,X,X,O,O,X,X
TLJISOZ,X,X,X,X,X,O,X,X
TLJIZSO,X,O,X,X,O,O,X,X
TLJIZOS,X,X,X,O,X,O,X,X
TLJIOSZ,X,X,X,X,X,O,X,X
TLJIOZS,X,X,X,O,X,O,X,X
TLJSIZO,X,O,X,X,O,X,X,X
TLJSIOZ,X,X,X,X,X,X,X,X
TLJSZIO,X,O,X,X,O,X,X,X
TLJSZOI,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,X,X,X
TLJSOZI,X,X,X,X,X,X,X,X
TLJZISO,X,O,X,X,O,O,O,X
TLJZIOS,X,X,X,O,X,O,O,X
TLJZSIO,X,X,X,X,O,X,X,X
TLJZSOI,X,X,X,X,X,X,X,X
TLJZOIS,O,X,X,O,X,X,X,X
TLJZOSI,O,X,X,X,X,X,X,X
TLJOISZ,O,X,X,X,X,X,X,X
TLJOIZS,O,X,X,O,X,X,X,X
TLJOSIZ,O,X,X,X,X,X,X,X
TLJOSZI,O,X,X,X,X,X,X,X
TLJOZIS,O,X,X,O,X,X,X,X
TLJOZSI,O,X,X,X,X,X,X,X
TLSIJZO,X,O,O,X,O,X,X,X
TLSIJOZ,X,X,X,X,X,X,X,X
TLSIZJO,X,O,O,X,O,X,X,X
TLSIZOJ,X,X,O,X,O,X,X,X
TLSIOJZ,X,X,X,X,X,X,X,X
TLSIOZJ,X,X,O,X,O,X,X,X
TLSJIZO,X,O,O,X,O,X,X,X
TLSJIOZ,X,X,X,X,X,X,X,X
TLSJZIO,X,O,O,X,O,X,X,X
TLSJZOI,X,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,X,X,X,X,X
TLSJOZI,X,X,X,X,X,X,X,X
TLSZIJO,X,O,O,X,O,X,O,O
TLSZIOJ,X,X,O,X,O,X,O,O
TLSZJIO,X,O,O,X,O,X,X,X
TLSZJOI,X,X,X,X,X,X,X,X
TLSZOIJ,X,X,O,X,O,X,X,X
TLSZOJI,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,X,X,X,X,X
TLSOIZJ,X,X,O,X,O,X,X,X
TLSOJIZ,X,X,X,X,X,X,X,X
TLSOJZI,X,X,X,X,X,X,X,X
TLSOZIJ,X,X,O,X,O,X,X,X
TLSOZJI,X,X,X,X,X,X,X,X
TLZIJSO,X,O,O,X,O,X,O,X
TLZIJOS,X,X,X,X,X,X,O,X
TLZISJO,X,O,O,X,O,X,O,O
TLZISOJ,X,X,O,X,O,X,O,O
TLZIOJS,O,X,X,X,X,X,O,X
TLZIOSJ,X,X,O,X,O,X,O,X
TLZJISO,X,O,O,X,O,O,O,X
TLZJIOS,X,X,X,O,X,O,O,X
TLZJSIO,X,X,X,X,O,X,X,X
TLZJSOI,X,X,X,X,X,X,X,X
TLZJOIS,O,X,X,O,X,X,X,X
TLZJOSI,O,X,X,X,X,X,X,X
TLZSIJO,X,X,O,X,O,X,O,O
TLZSIOJ,X,X,O,X,O,X,O,O
TLZSJIO,X,X,O,X,O,X,X,X
TLZSJOI,X,X,X,X,X,X,X,X
TLZSOIJ,X,X,O,X,O,X,X,X
TLZSOJI,X,X,X,X,X,X,X,X
TLZOIJS,O,X,X,X,X,X,O,X
TLZOISJ,X,X,O,X,O,X,O,X
TLZOJIS,O,X,X,O,X,X,X,X
TLZOJSI,O,X,X,X,X,X,X,X
TLZOSIJ,X,X,X,X,O,X,X,X
TLZOSJI,X,X,X,X,X,X,X,X
TLOIJSZ,O,X,X,X,X,X,X,X
TLOIJZS,O,X,X,X,X,X,X,X
TLOISJZ,X,X,X,X,X,X,X,X
TLOISZJ,X,X,X,X,O,X,X,X
TLOIZJS,O,X,X,X,X,X,X,X
TLOIZSJ,X,X,X,X,O,X,X,X
TLOJISZ,O,X,X,X,X,X,X,X
TLOJIZS,O,X,X,O,X,X,X,X
TLOJSIZ,O,X,X,X,X,X,X,X
TLOJSZI,O,X,X,X,X,X,X,X
TLOJZIS,O,X,X,O,X,X,X,X
TLOJZSI,O,X,X,X,X,X,X,X
TLOSIJZ,X,X,X,X,X,X,X,X
TLOSIZJ,X,X,X,X,O,X,X,X
TLOSJIZ,X,X,X,X,X,X,X,X
TLOSJZI,X,X,X,X,X,X,X,X
TLOSZIJ,X,X,X,X,O,X,X,X
TLOSZJI,X,X,X,X,X,X,X,X
TLOZIJS,O,X,X,X,X,X,O,X
TLOZISJ,X,X,X,X,O,X,O,X
TLOZJIS,O,X,X,O,X,X,X,X
TLOZJSI,O,X,X,X,X,X,X,X
TLOZSIJ,X,X,X,X,O,X,X,X
TLOZSJI,X,X,X,X,X,X,X,X
TJILSZO,X,O,X,X,O,O,X,X
TJILSOZ,X,X,X,X,X,O,X,X
TJILZSO,X,O,X,X,O,O,X,X
TJILZOS,X,X,X,O,X,O,X,X
TJILOSZ,X,X,X,X,X,O,X,X
TJILOZS,X,X,X,O,X,O,X,X
TJISLZO,X,O,O,X,O,X,X,X
TJISLOZ,X,X,X,X,X,X,X,X
TJISZLO,X,O,O,X,O,X,X,X
TJISZOL,X,O,X,X,X,X,X,X
TJISOLZ,X,X,X,X,X,X,X,X
TJISOZL,X,O,X,X,X,X,X,X
TJIZLSO,X,O,O,X,O,O,X,X
TJIZLOS,X,X,X,O,X,O,X,X
TJIZSLO,X,O,O,X,O,X,X,X
TJIZSOL,X,O,X,X,X,X,X,X
TJIZOLS,X,X,X,O,X,O,X,X
TJIZOSL,X,O,X,O,X,X,X,X
TJIOLSZ,X,X,X,X,X,O,X,X
TJIOLZS,X,X,X,X,X,O,X,X
TJIOSLZ,X,X,X,X,X,X,X,X
TJIOSZL,X,O,X,X,X,X,X,X
TJIOZLS,X,X,X,O,X,O,X,X
TJIOZSL,X,O,X,O,X,X,X,X
TJLISZO,X,O,X,X,O,O,X,X
TJLISOZ,X,X,X,X,X,O,X,X
TJLIZSO,X,O,X,X,O,O,X,X
TJLIZOS,X,X,X,O,X,O,X,X
TJLIOSZ,X,X,X,X,X,O,X,X
TJLIOZS,X,X,X,O,X,O,X,X
TJLSIZO,X,O,X,X,O,X,X,X
TJLSIOZ,X,X,X,X,X,X,X,X
TJLSZIO,X,O,X,X,O,X,X,X
TJLSZOI,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,X,X,X
TJLSOZI,X,X,X,X,X,X,X,X
TJLZISO,X,O,X,X,O,O,O,X
TJLZIOS,X,X,X,O,X,O,O,X
TJLZSIO,X,X,X,X,O,X,X,X
TJLZSOI,X,X,X,X,X,X,X,X
TJLZOIS,O,X,X,O,X,X,X,X
TJLZOSI,O,X,X,X,X,X,X,X
TJLOISZ,O,X,X,X,X,X,X,X
TJLOIZS,O,X,X,O,X,X,X,X
TJLOSIZ,O,X,X,X,X,X,X,X
TJLOSZI,O,X,X,X,X,X,X,X
TJLOZIS,O,X,X,O,X,X,X,X
TJLOZSI,O,X,X,X,X,X,X,X
TJSILZO,X,O,O,X,O,X,X,X
TJSILOZ,X,X,X,X,X,X,X,X
TJSIZLO,X,O,O,X,O,X,X,X
