sequence,v115@GhA8FeB8AeA8FeD8AeA8EeC8JeZEJvhFFgBThBmiBf?qBqqB0rB,v115@GhA8FeB8AeA8FeD8AeA8EeC8JeZEJvhFUgBFhBmiBf?qBqrBzqB,v115@GhA8FeB8AeA8FeD8AeA8EeC8JeZEJvhFzfBChBmiBX?mBUqB1wB,v115@GhA8FeB8AeA8FeD8AeA8EeC8JeZEJvhFCgBThBmiBX?lB1vB0rB
JSIZTLO,X,X,X,X
JSIZTOL,X,X,X,X
JSIZLTO,O,O,X,X
JSIZLOT,O,X,X,X
JSIZOTL,X,X,X,X
JSIZOLT,O,O,X,X
JSIOTLZ,X,X,X,X
JSIOTZL,X,X,X,X
JSIOLTZ,X,O,X,X
JSIOLZT,X,O,X,X
JSIOZTL,X,X,X,X
JSIOZLT,X,O,X,X
JSLTIZO,O,O,X,O
JSLTIOZ,X,X,X,X
JSLTZIO,O,O,X,O
JSLTZOI,O,X,X,O
JSLTOIZ,X,X,X,X
JSLTOZI,X,X,X,X
JSLITZO,O,O,X,O
JSLITOZ,X,X,X,X
JSLIZTO,O,O,X,X
JSLIZOT,O,X,X,X
JSLIOTZ,X,O,X,X
JSLIOZT,X,O,X,X
JSLZTIO,O,O,X,X
JSLZTOI,O,X,X,X
JSLZITO,O,O,X,X
JSLZIOT,O,X,X,X
JSLZOTI,O,X,X,X
JSLZOIT,O,X,X,X
JSLOTIZ,X,O,X,X
JSLOTZI,X,O,X,X
JSLOITZ,X,O,X,X
JSLOIZT,X,O,X,X
JSLOZTI,X,O,X,X
JSLOZIT,X,O,X,X
JSZTILO,X,X,X,X
JSZTIOL,X,X,X,X
JSZTLIO,X,X,X,X
JSZTLOI,X,X,X,X
JSZTOIL,X,X,X,X
JSZTOLI,X,X,X,X
JSZITLO,X,X,X,X
JSZITOL,X,X,X,X
JSZILTO,O,O,X,X
JSZILOT,O,X,X,X
JSZIOTL,X,X,X,X
JSZIOLT,O,O,X,X
JSZLTIO,O,O,X,X
JSZLTOI,O,X,X,X
JSZLITO,O,O,X,X
JSZLIOT,O,X,X,X
JSZLOTI,O,X,X,X
JSZLOIT,O,X,X,X
JSZOTIL,X,X,X,X
JSZOTLI,X,X,X,X
JSZOITL,X,X,X,X
JSZOILT,O,O,X,X
JSZOLTI,O,O,X,X
JSZOLIT,O,O,X,X
JSOTILZ,X,X,X,X
JSOTIZL,X,X,X,X
JSOTLIZ,X,X,X,X
JSOTLZI,X,X,X,X
JSOTZIL,X,X,X,X
JSOTZLI,X,X,X,X
JSOITLZ,X,X,X,X
JSOITZL,X,X,X,X
JSOILTZ,X,O,X,X
JSOILZT,X,O,X,X
JSOIZTL,X,X,X,X
JSOIZLT,X,O,X,X
JSOLTIZ,X,O,X,X
JSOLTZI,X,O,X,X
JSOLITZ,X,O,X,X
JSOLIZT,X,O,X,X
JSOLZTI,X,O,X,X
JSOLZIT,X,O,X,X
JSOZTIL,X,X,X,X
JSOZTLI,X,X,X,X
JSOZITL,X,X,X,X
JSOZILT,X,O,X,X
JSOZLTI,X,O,X,X
JSOZLIT,X,O,X,X
JZTILSO,X,X,X,X
JZTILOS,X,X,X,X
JZTISLO,X,X,X,X
JZTISOL,X,X,X,X
JZTIOLS,X,X,X,X
JZTIOSL,X,X,X,X
JZTLISO,X,X,X,X
JZTLIOS,X,X,X,X
JZTLSIO,X,X,X,X
JZTLSOI,X,X,X,X
JZTLOIS,X,X,X,X
JZTLOSI,X,X,X,X
JZTSILO,X,X,X,X
JZTSIOL,X,X,X,X
JZTSLIO,X,X,X,X
JZTSLOI,X,X,X,X
JZTSOIL,X,X,X,X
JZTSOLI,X,X,X,X
JZTOILS,X,X,X,X
JZTOISL,X,X,X,X
JZTOLIS,X,X,X,X
JZTOLSI,X,X,X,X
JZTOSIL,X,X,X,X
JZTOSLI,X,X,X,X
JZITLSO,X,X,X,X
JZITLOS,X,X,X,X
JZITSLO,X,X,X,X
JZITSOL,X,X,X,X
JZITOLS,X,X,X,X
JZITOSL,X,X,X,X
JZILTSO,X,X,X,X
JZILTOS,X,X,X,X
JZILSTO,O,X,X,X
JZILSOT,O,X,X,X
JZILOTS,X,X,X,X
JZILOST,O,X,X,X
JZISTLO,X,X,X,X
JZISTOL,X,X,X,X
JZISLTO,O,X,X,X
JZISLOT,O,X,X,X
JZISOTL,X,X,X,X
JZISOLT,O,X,X,X
JZIOTLS,X,X,X,X
JZIOTSL,X,X,X,X
JZIOLTS,X,X,X,X
JZIOLST,O,X,X,X
JZIOSTL,X,X,X,X
JZIOSLT,O,X,X,X
JZLTISO,X,X,X,X
JZLTIOS,X,X,X,X
JZLTSIO,X,X,X,X
JZLTSOI,X,X,X,X
JZLTOIS,X,X,X,X
JZLTOSI,X,X,X,X
JZLITSO,X,X,X,X
JZLITOS,X,X,X,X
JZLISTO,O,X,X,X
JZLISOT,O,X,X,X
JZLIOTS,X,X,X,X
JZLIOST,O,X,X,X
JZLSTIO,O,X,X,X
JZLSTOI,O,X,X,X
JZLSITO,O,X,X,X
JZLSIOT,O,X,X,X
JZLSOTI,O,X,X,X
JZLSOIT,O,X,X,X
JZLOTIS,X,X,X,X
JZLOTSI,X,X,X,X
JZLOITS,X,X,X,X
JZLOIST,O,X,X,X
JZLOSTI,O,X,X,X
JZLOSIT,O,X,X,X
JZSTILO,X,X,X,X
JZSTIOL,X,X,X,X
JZSTLIO,X,X,X,X
JZSTLOI,X,X,X,X
JZSTOIL,X,X,X,X
JZSTOLI,X,X,X,X
JZSITLO,X,X,X,X
JZSITOL,X,X,X,X
JZSILTO,O,X,X,X
JZSILOT,O,X,X,X
JZSIOTL,X,X,X,X
JZSIOLT,O,X,X,X
JZSLTIO,O,X,X,X
JZSLTOI,O,X,X,X
JZSLITO,O,X,X,X
JZSLIOT,O,X,X,X
JZSLOTI,O,X,X,X
JZSLOIT,O,X,X,X
JZSOTIL,X,X,X,X
JZSOTLI,X,X,X,X
JZSOITL,X,X,X,X
JZSOILT,O,X,X,X
JZSOLTI,O,X,X,X
JZSOLIT,O,X,X,X
JZOTILS,X,X,X,X
JZOTISL,X,X,X,X
JZOTLIS,X,X,X,X
JZOTLSI,X,X,X,X
JZOTSIL,X,X,X,X
JZOTSLI,X,X,X,X
JZOITLS,X,X,X,X
JZOITSL,X,X,X,X
JZOILTS,X,X,X,X
JZOILST,O,X,X,X
JZOISTL,X,X,X,X
JZOISLT,O,X,X,X
JZOLTIS,X,X,X,X
JZOLTSI,X,X,X,X
JZOLITS,X,X,X,X
JZOLIST,O,X,X,X
JZOLSTI,O,X,X,X
JZOLSIT,O,X,X,X
JZOSTIL,X,X,X,X
JZOSTLI,X,X,X,X
JZOSITL,X,X,X,X
JZOSILT,O,X,X,X
JZOSLTI,O,X,X,X
JZOSLIT,O,X,X,X
JOTILSZ,X,X,X,X
JOTILZS,X,X,X,X
JOTISLZ,X,X,X,X
JOTISZL,X,X,X,X
JOTIZLS,X,X,X,X
JOTIZSL,X,X,X,X
JOTLISZ,X,X,X,X
JOTLIZS,X,X,X,X
JOTLSIZ,X,X,X,X
JOTLSZI,X,X,X,X
JOTLZIS,X,X,X,X
JOTLZSI,X,X,X,X
JOTSILZ,X,X,X,X
JOTSIZL,X,X,X,X
JOTSLIZ,X,X,X,X
JOTSLZI,X,X,X,X
JOTSZIL,X,X,X,X
JOTSZLI,X,X,X,X
JOTZILS,X,X,X,X
JOTZISL,X,X,X,X
JOTZLIS,X,X,X,X
JOTZLSI,X,X,X,X
JOTZSIL,X,X,X,X
JOTZSLI,X,X,X,X
JOITLSZ,X,X,X,X
JOITLZS,X,X,X,X
JOITSLZ,X,X,X,X
JOITSZL,X,X,X,X
JOITZLS,X,X,X,X
JOITZSL,X,X,X,X
JOILTSZ,X,O,X,X
JOILTZS,X,X,X,X
JOILSTZ,X,O,X,X
JOILSZT,X,O,X,X
JOILZTS,X,X,X,X
JOILZST,X,X,X,X
JOISTLZ,X,X,X,X
JOISTZL,X,X,X,X
JOISLTZ,X,O,X,X
JOISLZT,X,O,X,X
JOISZTL,X,X,X,X
JOISZLT,X,O,X,X
JOIZTLS,X,X,X,X
JOIZTSL,X,X,X,X
JOIZLTS,X,X,X,X
JOIZLST,X,X,X,X
JOIZSTL,X,X,X,X
JOIZSLT,X,X,X,X
JOLTISZ,X,O,X,X
JOLTIZS,X,X,X,X
JOLTSIZ,X,O,X,X
JOLTSZI,X,O,X,X
JOLTZIS,X,X,X,X
JOLTZSI,X,X,X,X
JOLITSZ,X,O,X,X
JOLITZS,X,X,X,X
JOLISTZ,X,O,X,X
JOLISZT,X,O,X,X
JOLIZTS,X,X,X,X
JOLIZST,X,X,X,X
JOLSTIZ,X,O,X,X
JOLSTZI,X,O,X,X
JOLSITZ,X,O,X,X
JOLSIZT,X,O,X,X
JOLSZTI,X,O,X,X
JOLSZIT,X,O,X,X
JOLZTIS,X,X,X,X
JOLZTSI,X,X,X,X
JOLZITS,X,X,X,X
JOLZIST,X,X,X,X
JOLZSTI,X,X,X,X
JOLZSIT,X,X,X,X
JOSTILZ,X,X,X,X
JOSTIZL,X,X,X,X
JOSTLIZ,X,X,X,X
JOSTLZI,X,X,X,X
JOSTZIL,X,X,X,X
JOSTZLI,X,X,X,X
JOSITLZ,X,X,X,X
JOSITZL,X,X,X,X
JOSILTZ,X,O,X,X
JOSILZT,X,O,X,X
JOSIZTL,X,X,X,X
JOSIZLT,X,O,X,X
JOSLTIZ,X,O,X,X
JOSLTZI,X,O,X,X
JOSLITZ,X,O,X,X
JOSLIZT,X,O,X,X
JOSLZTI,X,O,X,X
JOSLZIT,X,O,X,X
JOSZTIL,X,X,X,X
JOSZTLI,X,X,X,X
JOSZITL,X,X,X,X
JOSZILT,X,O,X,X
JOSZLTI,X,O,X,X
JOSZLIT,X,O,X,X
JOZTILS,X,X,X,X
JOZTISL,X,X,X,X
JOZTLIS,X,X,X,X
JOZTLSI,X,X,X,X
JOZTSIL,X,X,X,X
JOZTSLI,X,X,X,X
JOZITLS,X,X,X,X
JOZITSL,X,X,X,X
JOZILTS,X,X,X,X
JOZILST,X,X,X,X
JOZISTL,X,X,X,X
JOZISLT,X,X,X,X
JOZLTIS,X,X,X,X
JOZLTSI,X,X,X,X
JOZLITS,X,X,X,X
JOZLIST,X,X,X,X
JOZLSTI,X,X,X,X
JOZLSIT,X,X,X,X
JOZSTIL,X,X,X,X
JOZSTLI,X,X,X,X
JOZSITL,X,X,X,X
JOZSILT,X,X,X,X
JOZSLTI,X,X,X,X
JOZSLIT,X,X,X,X
STILJZO,O,X,X,O
STILJOZ,X,X,X,X
STILZJO,O,X,X,O
STILZOJ,O,X,X,O
STILOJZ,X,X,X,X
STILOZJ,X,X,X,X
STIJLZO,O,X,X,O
STIJLOZ,X,X,X,X
STIJZLO,X,X,X,O
STIJZOL,X,X,X,O
STIJOLZ,X,X,X,X
STIJOZL,X,X,X,X
STIZLJO,X,X,X,O
STIZLOJ,X,X,X,O
STIZJLO,X,X,X,O
STIZJOL,X,X,X,O
STIZOLJ,X,X,X,O
STIZOJL,X,X,X,O
STIOLJZ,X,X,X,X
STIOLZJ,X,X,X,X
STIOJLZ,X,X,X,X
STIOJZL,X,X,X,X
STIOZLJ,X,X,X,X
STIOZJL,X,X,X,X
STLIJZO,O,X,X,O
STLIJOZ,X,X,X,X
STLIZJO,O,X,X,O
STLIZOJ,O,X,X,O
STLIOJZ,X,X,X,X
STLIOZJ,X,X,X,X
STLJIZO,O,X,X,O
STLJIOZ,X,X,X,X
STLJZIO,O,X,X,O
STLJZOI,O,X,X,O
STLJOIZ,X,X,X,X
STLJOZI,X,X,X,X
STLZIJO,O,X,X,O
STLZIOJ,O,X,X,O
STLZJIO,O,X,X,O
STLZJOI,O,X,X,O
STLZOIJ,O,X,X,O
STLZOJI,O,X,X,O
STLOIJZ,X,X,X,X
STLOIZJ,X,X,X,X
STLOJIZ,X,X,X,X
STLOJZI,X,X,X,X
STLOZIJ,X,X,X,X
STLOZJI,X,X,X,X
STJILZO,O,X,X,O
STJILOZ,X,X,X,X
STJIZLO,X,X,X,O
STJIZOL,X,X,X,O
STJIOLZ,X,X,X,X
STJIOZL,X,X,X,X
STJLIZO,O,X,X,O
STJLIOZ,X,X,X,X
STJLZIO,O,X,X,O
STJLZOI,O,X,X,O
STJLOIZ,X,X,X,X
STJLOZI,X,X,X,X
STJZILO,X,X,X,O
STJZIOL,X,X,X,O
STJZLIO,X,X,X,O
STJZLOI,X,X,X,O
STJZOIL,X,X,X,O
STJZOLI,X,X,X,O
STJOILZ,X,X,X,X
STJOIZL,X,X,X,X
STJOLIZ,X,X,X,X
STJOLZI,X,X,X,X
STJOZIL,X,X,X,X
STJOZLI,X,X,X,X
STZILJO,X,X,X,O
STZILOJ,X,X,X,O
STZIJLO,X,X,X,O
STZIJOL,X,X,X,O
STZIOLJ,X,X,X,O
STZIOJL,X,X,X,O
STZLIJO,X,X,X,O
STZLIOJ,X,X,X,O
STZLJIO,X,X,X,O
STZLJOI,X,X,X,O
STZLOIJ,X,X,X,O
STZLOJI,X,X,X,O
STZJILO,X,X,X,O
STZJIOL,X,X,X,O
STZJLIO,X,X,X,O
STZJLOI,X,X,X,O
STZJOIL,X,X,X,O
STZJOLI,X,X,X,O
STZOILJ,X,X,X,O
STZOIJL,X,X,X,O
STZOLIJ,X,X,X,O
STZOLJI,X,X,X,O
STZOJIL,X,X,X,O
STZOJLI,X,X,X,O
STOILJZ,X,X,X,X
STOILZJ,X,X,X,X
STOIJLZ,X,X,X,X
STOIJZL,X,X,X,X
STOIZLJ,X,X,X,X
STOIZJL,X,X,X,X
STOLIJZ,X,X,X,X
STOLIZJ,X,X,X,X
STOLJIZ,X,X,X,X
STOLJZI,X,X,X,X
STOLZIJ,X,X,X,X
STOLZJI,X,X,X,X
STOJILZ,X,X,X,X
STOJIZL,X,X,X,X
STOJLIZ,X,X,X,X
STOJLZI,X,X,X,X
STOJZIL,X,X,X,X
STOJZLI,X,X,X,X
STOZILJ,X,X,X,X
STOZIJL,X,X,X,X
STOZLIJ,X,X,X,X
STOZLJI,X,X,X,X
STOZJIL,X,X,X,X
STOZJLI,X,X,X,X
SITLJZO,O,X,X,O
SITLJOZ,X,X,X,X
SITLZJO,O,X,X,O
SITLZOJ,O,X,X,O
SITLOJZ,X,X,X,X
SITLOZJ,X,X,X,X
SITJLZO,O,X,X,O
SITJLOZ,X,X,X,X
SITJZLO,X,X,X,O
SITJZOL,X,X,X,O
SITJOLZ,X,X,X,X
SITJOZL,X,X,X,X
SITZLJO,X,X,X,O
SITZLOJ,X,X,X,O
SITZJLO,X,X,X,O
SITZJOL,X,X,X,O
SITZOLJ,X,X,X,O
SITZOJL,X,X,X,O
SITOLJZ,X,X,X,X
SITOLZJ,X,X,X,X
SITOJLZ,X,X,X,X
SITOJZL,X,X,X,X
SITOZLJ,X,X,X,X
SITOZJL,X,X,X,X
SILTJZO,O,O,X,O
SILTJOZ,X,X,X,X
SILTZJO,O,O,X,O
SILTZOJ,O,X,X,O
SILTOJZ,X,X,X,X
SILTOZJ,X,X,X,X
SILJTZO,O,O,X,O
SILJTOZ,X,X,X,X
SILJZTO,O,O,X,X
SILJZOT,O,X,X,X
SILJOTZ,X,O,X,X
SILJOZT,X,O,X,X
SILZTJO,O,O,X,X
SILZTOJ,O,X,X,X
SILZJTO,O,O,X,X
SILZJOT,O,X,X,X
SILZOTJ,O,X,X,X
SILZOJT,O,X,X,X
SILOTJZ,X,O,X,X
SILOTZJ,X,O,X,X
SILOJTZ,X,O,X,X
SILOJZT,X,O,X,X
SILOZTJ,X,O,X,X
SILOZJT,X,O,X,X
SIJTLZO,O,X,X,O
SIJTLOZ,X,X,X,X
SIJTZLO,X,X,X,O
SIJTZOL,X,X,X,O
SIJTOLZ,X,X,X,X
SIJTOZL,X,X,X,X
SIJLTZO,O,O,X,O
SIJLTOZ,X,X,X,X
SIJLZTO,O,O,X,X
SIJLZOT,O,X,X,X
SIJLOTZ,X,O,X,X
SIJLOZT,X,O,X,X
SIJZTLO,X,X,X,X
SIJZTOL,X,X,X,X
SIJZLTO,O,O,X,X
SIJZLOT,O,X,X,X
SIJZOTL,X,X,X,X
SIJZOLT,O,O,X,X
SIJOTLZ,X,X,X,X
SIJOTZL,X,X,X,X
SIJOLTZ,X,O,X,X
SIJOLZT,X,O,X,X
SIJOZTL,X,X,X,X
SIJOZLT,X,O,X,X
SIZTLJO,X,X,X,X
SIZTLOJ,X,X,X,X
SIZTJLO,X,X,X,X
SIZTJOL,X,X,X,X
SIZTOLJ,X,X,X,X
SIZTOJL,X,X,X,X
SIZLTJO,O,O,X,X
SIZLTOJ,O,X,X,X
SIZLJTO,O,O,X,X
SIZLJOT,O,X,X,X
SIZLOTJ,O,X,X,X
SIZLOJT,O,X,X,X
SIZJTLO,X,X,X,X
SIZJTOL,X,X,X,X
SIZJLTO,O,O,X,X
SIZJLOT,O,X,X,X
SIZJOTL,X,X,X,X
SIZJOLT,O,O,X,X
SIZOTLJ,X,X,X,X
SIZOTJL,X,X,X,X
SIZOLTJ,O,O,X,X
SIZOLJT,O,O,X,X
SIZOJTL,X,X,X,X
SIZOJLT,O,O,X,X
SIOTLJZ,X,X,X,X
SIOTLZJ,X,X,X,X
SIOTJLZ,X,X,X,X
SIOTJZL,X,X,X,X
SIOTZLJ,X,X,X,X
SIOTZJL,X,X,X,X
SIOLTJZ,X,O,X,X
SIOLTZJ,X,O,X,X
SIOLJTZ,X,O,X,X
SIOLJZT,X,O,X,X
SIOLZTJ,X,O,X,X
SIOLZJT,X,O,X,X
SIOJTLZ,X,X,X,X
SIOJTZL,X,X,X,X
SIOJLTZ,X,O,X,X
SIOJLZT,X,O,X,X
SIOJZTL,X,X,X,X
SIOJZLT,X,O,X,X
SIOZTLJ,X,X,X,X
SIOZTJL,X,X,X,X
SIOZLTJ,X,O,X,X
SIOZLJT,X,O,X,X
SIOZJTL,X,X,X,X
SIOZJLT,X,O,X,X
SLTIJZO,O,O,X,O
SLTIJOZ,X,X,X,X
SLTIZJO,O,O,X,O
SLTIZOJ,O,X,X,O
SLTIOJZ,X,X,X,X
SLTIOZJ,X,X,X,X
SLTJIZO,O,O,X,O
SLTJIOZ,X,X,X,X
SLTJZIO,O,O,X,O
SLTJZOI,O,X,X,O
SLTJOIZ,X,X,X,X
SLTJOZI,X,X,X,X
SLTZIJO,O,O,X,O
SLTZIOJ,O,X,X,O
SLTZJIO,O,O,X,O
SLTZJOI,O,X,X,O
SLTZOIJ,O,X,X,O
SLTZOJI,O,X,X,O
SLTOIJZ,X,X,X,X
SLTOIZJ,X,X,X,X
SLTOJIZ,X,X,X,X
SLTOJZI,X,X,X,X
SLTOZIJ,X,X,X,X
SLTOZJI,X,X,X,X
SLITJZO,O,O,X,O
SLITJOZ,X,X,X,X
SLITZJO,O,O,X,O
SLITZOJ,O,X,X,O
SLITOJZ,X,X,X,X
SLITOZJ,X,X,X,X
SLIJTZO,O,O,X,O
SLIJTOZ,X,X,X,X
SLIJZTO,O,O,X,X
SLIJZOT,O,X,X,X
SLIJOTZ,X,O,X,X
SLIJOZT,X,O,X,X
SLIZTJO,O,O,X,X
SLIZTOJ,O,X,X,X
SLIZJTO,O,O,X,X
SLIZJOT,O,X,X,X
SLIZOTJ,O,X,X,X
SLIZOJT,O,X,X,X
SLIOTJZ,X,O,X,X
SLIOTZJ,X,O,X,X
SLIOJTZ,X,O,X,X
SLIOJZT,X,O,X,X
SLIOZTJ,X,O,X,X
SLIOZJT,X,O,X,X
SLJTIZO,O,O,X,O
SLJTIOZ,X,X,X,X
SLJTZIO,O,O,X,O
SLJTZOI,O,X,X,O
SLJTOIZ,X,X,X,X
SLJTOZI,X,X,X,X
SLJITZO,O,O,X,O
SLJITOZ,X,X,X,X
SLJIZTO,O,O,X,X
SLJIZOT,O,X,X,X
SLJIOTZ,X,O,X,X
SLJIOZT,X,O,X,X
SLJZTIO,O,O,X,X
SLJZTOI,O,X,X,X
SLJZITO,O,O,X,X
SLJZIOT,O,X,X,X
SLJZOTI,O,X,X,X
SLJZOIT,O,X,X,X
SLJOTIZ,X,O,X,X
SLJOTZI,X,O,X,X
SLJOITZ,X,O,X,X
SLJOIZT,X,O,X,X
SLJOZTI,X,O,X,X
SLJOZIT,X,O,X,X
SLZTIJO,O,O,X,X
SLZTIOJ,O,X,X,X
SLZTJIO,O,O,X,X
SLZTJOI,O,X,X,X
SLZTOIJ,O,X,X,X
SLZTOJI,O,X,X,X
SLZITJO,O,O,X,X
SLZITOJ,O,X,X,X
SLZIJTO,O,O,X,X
SLZIJOT,O,X,X,X
SLZIOTJ,O,X,X,X
SLZIOJT,O,X,X,X
SLZJTIO,O,O,X,X
SLZJTOI,O,X,X,X
SLZJITO,O,O,X,X
SLZJIOT,O,X,X,X
SLZJOTI,O,X,X,X
SLZJOIT,O,X,X,X
SLZOTIJ,O,X,X,X
SLZOTJI,O,X,X,X
SLZOITJ,O,X,X,X
SLZOIJT,O,X,X,X
SLZOJTI,O,X,X,X
SLZOJIT,O,X,X,X
SLOTIJZ,X,O,X,X
SLOTIZJ,X,O,X,X
SLOTJIZ,X,O,X,X
SLOTJZI,X,O,X,X
SLOTZIJ,X,O,X,X
SLOTZJI,X,O,X,X
SLOITJZ,X,O,X,X
SLOITZJ,X,O,X,X
SLOIJTZ,X,O,X,X
SLOIJZT,X,O,X,X
SLOIZTJ,X,O,X,X
SLOIZJT,X,O,X,X
SLOJTIZ,X,O,X,X
SLOJTZI,X,O,X,X
SLOJITZ,X,O,X,X
SLOJIZT,X,O,X,X
SLOJZTI,X,O,X,X
SLOJZIT,X,O,X,X
SLOZTIJ,X,O,X,X
SLOZTJI,X,O,X,X
SLOZITJ,X,O,X,X
SLOZIJT,X,O,X,X
SLOZJTI,X,O,X,X
SLOZJIT,X,O,X,X
SJTILZO,O,X,X,O
SJTILOZ,X,X,X,X
SJTIZLO,X,X,X,O
SJTIZOL,X,X,X,O
SJTIOLZ,X,X,X,X
SJTIOZL,X,X,X,X
SJTLIZO,O,X,X,O
SJTLIOZ,X,X,X,X
SJTLZIO,O,X,X,O
SJTLZOI,O,X,X,O
SJTLOIZ,X,X,X,X
SJTLOZI,X,X,X,X
SJTZILO,X,X,X,O
SJTZIOL,X,X,X,O
SJTZLIO,X,X,X,O
SJTZLOI,X,X,X,O
SJTZOIL,X,X,X,O
SJTZOLI,X,X,X,O
SJTOILZ,X,X,X,X
SJTOIZL,X,X,X,X
SJTOLIZ,X,X,X,X
SJTOLZI,X,X,X,X
SJTOZIL,X,X,X,X
SJTOZLI,X,X,X,X
SJITLZO,O,X,X,O
SJITLOZ,X,X,X,X
SJITZLO,X,X,X,O
SJITZOL,X,X,X,O
SJITOLZ,X,X,X,X
SJITOZL,X,X,X,X
SJILTZO,O,O,X,O
SJILTOZ,X,X,X,X
SJILZTO,O,O,X,X
SJILZOT,O,X,X,X
SJILOTZ,X,O,X,X
SJILOZT,X,O,X,X
SJIZTLO,X,X,X,X
SJIZTOL,X,X,X,X
SJIZLTO,O,O,X,X
SJIZLOT,O,X,X,X
SJIZOTL,X,X,X,X
SJIZOLT,O,O,X,X
SJIOTLZ,X,X,X,X
SJIOTZL,X,X,X,X
SJIOLTZ,X,O,X,X
SJIOLZT,X,O,X,X
SJIOZTL,X,X,X,X
SJIOZLT,X,O,X,X
SJLTIZO,O,O,X,O
SJLTIOZ,X,X,X,X
SJLTZIO,O,O,X,O
SJLTZOI,O,X,X,O
SJLTOIZ,X,X,X,X
SJLTOZI,X,X,X,X
SJLITZO,O,O,X,O
SJLITOZ,X,X,X,X
SJLIZTO,O,O,X,X
SJLIZOT,O,X,X,X
SJLIOTZ,X,O,X,X
SJLIOZT,X,O,X,X
SJLZTIO,O,O,X,X
SJLZTOI,O,X,X,X
SJLZITO,O,O,X,X
SJLZIOT,O,X,X,X
SJLZOTI,O,X,X,X
SJLZOIT,O,X,X,X
SJLOTIZ,X,O,X,X
SJLOTZI,X,O,X,X
SJLOITZ,X,O,X,X
SJLOIZT,X,O,X,X
SJLOZTI,X,O,X,X
SJLOZIT,X,O,X,X
SJZTILO,X,X,X,X
SJZTIOL,X,X,X,X
SJZTLIO,X,X,X,X
SJZTLOI,X,X,X,X
SJZTOIL,X,X,X,X
SJZTOLI,X,X,X,X
SJZITLO,X,X,X,X
SJZITOL,X,X,X,X
SJZILTO,O,O,X,X
SJZILOT,O,X,X,X
SJZIOTL,X,X,X,X
SJZIOLT,O,O,X,X
SJZLTIO,O,O,X,X
SJZLTOI,O,X,X,X
SJZLITO,O,O,X,X
SJZLIOT,O,X,X,X
SJZLOTI,O,X,X,X
SJZLOIT,O,X,X,X
SJZOTIL,X,X,X,X
SJZOTLI,X,X,X,X
SJZOITL,X,X,X,X
SJZOILT,O,O,X,X
SJZOLTI,O,O,X,X
SJZOLIT,O,O,X,X
SJOTILZ,X,X,X,X
SJOTIZL,X,X,X,X
SJOTLIZ,X,X,X,X
SJOTLZI,X,X,X,X
SJOTZIL,X,X,X,X
SJOTZLI,X,X,X,X
SJOITLZ,X,X,X,X
SJOITZL,X,X,X,X
SJOILTZ,X,O,X,X
SJOILZT,X,O,X,X
SJOIZTL,X,X,X,X
SJOIZLT,X,O,X,X
SJOLTIZ,X,O,X,X
SJOLTZI,X,O,X,X
SJOLITZ,X,O,X,X
SJOLIZT,X,O,X,X
SJOLZTI,X,O,X,X
SJOLZIT,X,O,X,X
SJOZTIL,X,X,X,X
SJOZTLI,X,X,X,X
SJOZITL,X,X,X,X
SJOZILT,X,O,X,X
SJOZLTI,X,O,X,X
SJOZLIT,X,O,X,X
SZTILJO,X,X,X,X
SZTILOJ,X,X,X,X
SZTIJLO,X,X,X,X
SZTIJOL,X,X,X,X
SZTIOLJ,X,X,X,X
SZTIOJL,X,X,X,X
SZTLIJO,X,X,X,X
SZTLIOJ,X,X,X,X
SZTLJIO,X,X,X,X
SZTLJOI,X,X,X,X
SZTLOIJ,X,X,X,X
SZTLOJI,X,X,X,X
SZTJILO,X,X,X,X
SZTJIOL,X,X,X,X
SZTJLIO,X,X,X,X
SZTJLOI,X,X,X,X
SZTJOIL,X,X,X,X
SZTJOLI,X,X,X,X
SZTOILJ,X,X,X,X
SZTOIJL,X,X,X,X
SZTOLIJ,X,X,X,X
SZTOLJI,X,X,X,X
SZTOJIL,X,X,X,X
SZTOJLI,X,X,X,X
SZITLJO,X,X,X,X
SZITLOJ,X,X,X,X
SZITJLO,X,X,X,X
SZITJOL,X,X,X,X
SZITOLJ,X,X,X,X
SZITOJL,X,X,X,X
SZILTJO,O,O,X,X
SZILTOJ,O,X,X,X
SZILJTO,O,O,X,X
SZILJOT,O,X,X,X
SZILOTJ,O,X,X,X
SZILOJT,O,X,X,X
SZIJTLO,X,X,X,X
SZIJTOL,X,X,X,X
SZIJLTO,O,O,X,X
SZIJLOT,O,X,X,X
SZIJOTL,X,X,X,X
SZIJOLT,O,O,X,X
SZIOTLJ,X,X,X,X
SZIOTJL,X,X,X,X
SZIOLTJ,O,O,X,X
SZIOLJT,O,O,X,X
SZIOJTL,X,X,X,X
SZIOJLT,O,O,X,X
SZLTIJO,O,O,X,X
SZLTIOJ,O,X,X,X
SZLTJIO,O,O,X,X
SZLTJOI,O,X,X,X
SZLTOIJ,O,X,X,X
SZLTOJI,O,X,X,X
SZLITJO,O,O,X,X
SZLITOJ,O,X,X,X
SZLIJTO,O,O,X,X
SZLIJOT,O,X,X,X
SZLIOTJ,O,X,X,X
SZLIOJT,O,X,X,X
SZLJTIO,O,O,X,X
SZLJTOI,O,X,X,X
SZLJITO,O,O,X,X
SZLJIOT,O,X,X,X
SZLJOTI,O,X,X,X
SZLJOIT,O,X,X,X
SZLOTIJ,O,X,X,X
