sequence,v115@OhA8CeB8DeC8AeC8CeC8Jex/IvhF/mBFiBTjBOpB0l?BywB,v115@OhA8CeB8DeC8AeC8CeC8JeZEJvhFCgBXiBTjBllB0m?B2wB,v115@OhA8CeB8DeC8AeC8CeC8JeZEJvhFCgB2mBTjB0lB3r?BFsB,v115@OhA8CeB8DeC8AeC8CeC8Jex/IvhF0hBTjBOpBllBir?BXsB
ITZLJSO,X,O,X,X
ITZLJOS,X,O,O,X
ITZLSJO,X,X,O,X
ITZLSOJ,X,O,O,X
ITZLOJS,X,O,O,X
ITZLOSJ,X,O,O,X
ITZJLSO,X,O,X,X
ITZJLOS,X,O,O,O
ITZJSLO,X,O,X,X
ITZJSOL,X,O,X,O
ITZJOLS,X,O,O,O
ITZJOSL,X,O,X,O
ITZSLJO,X,X,O,X
ITZSLOJ,X,O,O,X
ITZSJLO,X,X,O,X
ITZSJOL,X,X,O,X
ITZSOLJ,X,O,O,X
ITZSOJL,X,X,O,X
ITZOLJS,X,O,O,X
ITZOLSJ,X,O,O,X
ITZOJLS,X,O,O,O
ITZOJSL,X,O,X,O
ITZOSLJ,X,O,O,X
ITZOSJL,X,X,O,X
ITOLJSZ,O,O,X,O
ITOLJZS,X,O,X,O
ITOLSJZ,O,O,X,X
ITOLSZJ,X,O,O,X
ITOLZJS,X,O,O,O
ITOLZSJ,X,O,O,X
ITOJLSZ,O,O,X,O
ITOJLZS,X,O,X,O
ITOJSLZ,X,O,X,O
ITOJSZL,X,O,X,O
ITOJZLS,X,O,X,O
ITOJZSL,X,O,X,O
ITOSLJZ,X,O,X,X
ITOSLZJ,X,O,O,X
ITOSJLZ,X,O,X,X
ITOSJZL,X,O,X,X
ITOSZLJ,X,O,O,X
ITOSZJL,X,X,O,X
ITOZLJS,X,O,O,X
ITOZLSJ,X,O,O,X
ITOZJLS,X,O,O,O
ITOZJSL,X,O,X,O
ITOZSLJ,X,O,O,X
ITOZSJL,X,X,O,X
ILTJSZO,O,O,X,O
ILTJSOZ,O,O,X,O
ILTJZSO,X,O,X,O
ILTJZOS,X,O,X,O
ILTJOSZ,O,O,X,O
ILTJOZS,X,O,X,O
ILTSJZO,O,O,X,X
ILTSJOZ,O,O,X,X
ILTSZJO,X,X,O,X
ILTSZOJ,X,O,O,X
ILTSOJZ,O,O,X,X
ILTSOZJ,X,O,O,X
ILTZJSO,X,O,X,O
ILTZJOS,X,O,O,O
ILTZSJO,X,X,O,X
ILTZSOJ,X,O,O,X
ILTZOJS,X,O,O,O
ILTZOSJ,X,O,O,X
ILTOJSZ,O,O,X,O
ILTOJZS,X,O,X,O
ILTOSJZ,O,O,X,X
ILTOSZJ,X,O,O,X
ILTOZJS,X,O,O,O
ILTOZSJ,X,O,O,X
ILJTSZO,O,O,X,O
ILJTSOZ,O,O,X,O
ILJTZSO,O,O,X,O
ILJTZOS,O,O,X,O
ILJTOSZ,O,O,X,O
ILJTOZS,O,O,X,O
ILJSTZO,O,O,X,X
ILJSTOZ,O,O,X,X
ILJSZTO,O,X,O,X
ILJSZOT,O,X,O,X
ILJSOTZ,O,O,X,X
ILJSOZT,O,X,O,X
ILJZTSO,O,X,X,O
ILJZTOS,O,X,O,O
ILJZSTO,O,X,O,X
ILJZSOT,O,X,O,X
ILJZOTS,O,X,O,O
ILJZOST,O,X,O,X
ILJOTSZ,O,O,X,O
ILJOTZS,O,O,X,O
ILJOSTZ,O,O,X,X
ILJOSZT,O,X,O,X
ILJOZTS,O,X,O,O
ILJOZST,O,X,O,X
ILSTJZO,O,O,X,X
ILSTJOZ,O,O,X,X
ILSTZJO,X,X,O,X
ILSTZOJ,X,O,O,X
ILSTOJZ,O,O,X,X
ILSTOZJ,X,O,O,X
ILSJTZO,O,O,X,X
ILSJTOZ,O,O,X,X
ILSJZTO,O,X,O,X
ILSJZOT,O,X,O,X
ILSJOTZ,O,O,X,X
ILSJOZT,O,X,O,X
ILSZTJO,X,X,O,X
ILSZTOJ,X,X,O,X
ILSZJTO,X,X,O,X
ILSZJOT,X,X,O,X
ILSZOTJ,X,X,O,X
ILSZOJT,X,X,O,X
ILSOTJZ,O,O,X,X
ILSOTZJ,X,O,O,X
ILSOJTZ,O,O,X,X
ILSOJZT,O,X,O,X
ILSOZTJ,X,X,O,X
ILSOZJT,X,X,O,X
ILZTJSO,X,O,X,O
ILZTJOS,X,O,O,O
ILZTSJO,O,X,O,X
ILZTSOJ,O,O,O,X
ILZTOJS,X,O,O,O
ILZTOSJ,O,O,O,X
ILZJTSO,O,X,X,O
ILZJTOS,O,X,O,O
ILZJSTO,O,X,O,X
ILZJSOT,O,X,O,X
ILZJOTS,O,X,O,O
ILZJOST,O,X,O,X
ILZSTJO,O,X,O,X
ILZSTOJ,O,X,O,X
ILZSJTO,O,X,O,X
ILZSJOT,O,X,O,X
ILZSOTJ,O,X,O,X
ILZSOJT,O,X,O,X
ILZOTJS,X,O,O,O
ILZOTSJ,O,O,O,X
ILZOJTS,O,X,O,O
ILZOJST,O,X,O,X
ILZOSTJ,O,X,O,X
ILZOSJT,O,X,O,X
ILOTJSZ,O,O,X,O
ILOTJZS,X,O,X,O
ILOTSJZ,O,O,X,X
ILOTSZJ,X,O,O,X
ILOTZJS,X,O,O,O
ILOTZSJ,X,O,O,X
ILOJTSZ,O,O,X,O
ILOJTZS,O,O,X,O
ILOJSTZ,O,O,X,X
ILOJSZT,O,X,O,X
ILOJZTS,O,X,O,O
ILOJZST,O,X,O,X
ILOSTJZ,O,O,X,X
ILOSTZJ,X,O,O,X
ILOSJTZ,O,O,X,X
ILOSJZT,O,X,O,X
ILOSZTJ,X,X,O,X
ILOSZJT,X,X,O,X
ILOZTJS,X,O,O,O
ILOZTSJ,O,O,O,X
ILOZJTS,O,X,O,O
ILOZJST,O,X,O,X
ILOZSTJ,O,X,O,X
ILOZSJT,O,X,O,X
IJTLSZO,O,O,X,O
IJTLSOZ,O,O,X,O
IJTLZSO,O,O,X,O
IJTLZOS,O,O,X,O
IJTLOSZ,O,O,X,O
IJTLOZS,O,O,X,O
IJTSLZO,X,O,X,O
IJTSLOZ,X,O,X,O
IJTSZLO,X,O,X,X
IJTSZOL,X,O,X,O
IJTSOLZ,X,O,X,O
IJTSOZL,X,O,X,O
IJTZLSO,O,O,X,O
IJTZLOS,O,O,X,O
IJTZSLO,O,O,X,X
IJTZSOL,O,O,X,O
IJTZOLS,O,O,X,O
IJTZOSL,O,O,X,O
IJTOLSZ,O,O,X,O
IJTOLZS,O,O,X,O
IJTOSLZ,X,O,X,O
IJTOSZL,X,O,X,O
IJTOZLS,O,O,X,O
IJTOZSL,O,O,X,O
IJLTSZO,O,O,X,O
IJLTSOZ,O,O,X,O
IJLTZSO,O,O,X,O
IJLTZOS,O,O,X,O
IJLTOSZ,O,O,X,O
IJLTOZS,O,O,X,O
IJLSTZO,O,O,X,X
IJLSTOZ,O,O,X,X
IJLSZTO,O,X,O,X
IJLSZOT,O,X,O,X
IJLSOTZ,O,O,X,X
IJLSOZT,O,X,O,X
IJLZTSO,O,X,X,O
IJLZTOS,O,X,O,O
IJLZSTO,O,X,O,X
IJLZSOT,O,X,O,X
IJLZOTS,O,X,O,O
IJLZOST,O,X,O,X
IJLOTSZ,O,O,X,O
IJLOTZS,O,O,X,O
IJLOSTZ,O,O,X,X
IJLOSZT,O,X,O,X
IJLOZTS,O,X,O,O
IJLOZST,O,X,O,X
IJSTLZO,X,O,X,O
IJSTLOZ,X,O,X,O
IJSTZLO,X,O,X,X
IJSTZOL,X,O,X,O
IJSTOLZ,X,O,X,O
IJSTOZL,X,O,X,O
IJSLTZO,O,O,X,X
IJSLTOZ,O,O,X,X
IJSLZTO,O,X,O,X
IJSLZOT,O,X,O,X
IJSLOTZ,O,O,X,X
IJSLOZT,O,X,O,X
IJSZTLO,O,O,O,X
IJSZTOL,O,O,O,X
IJSZLTO,O,X,O,X
IJSZLOT,O,X,O,X
IJSZOTL,O,O,O,X
IJSZOLT,O,X,O,X
IJSOTLZ,X,O,X,O
IJSOTZL,X,O,X,O
IJSOLTZ,O,O,X,X
IJSOLZT,O,X,O,X
IJSOZTL,O,O,O,X
IJSOZLT,O,X,O,X
IJZTLSO,O,O,X,O
IJZTLOS,O,O,O,O
IJZTSLO,O,O,X,X
IJZTSOL,O,O,X,O
IJZTOLS,O,O,O,O
IJZTOSL,O,O,X,O
IJZLTSO,O,X,X,X
IJZLTOS,O,X,O,X
IJZLSTO,O,X,O,X
IJZLSOT,O,X,O,X
IJZLOTS,O,X,O,X
IJZLOST,O,X,O,X
IJZSTLO,O,O,O,X
IJZSTOL,O,O,O,X
IJZSLTO,O,X,O,X
IJZSLOT,O,X,O,X
IJZSOTL,O,O,O,X
IJZSOLT,O,X,O,X
IJZOTLS,O,O,O,O
IJZOTSL,O,O,X,O
IJZOLTS,O,X,O,X
IJZOLST,O,X,O,X
IJZOSTL,O,O,O,X
IJZOSLT,O,X,O,X
IJOTLSZ,O,O,X,O
IJOTLZS,O,O,X,O
IJOTSLZ,X,O,X,O
IJOTSZL,X,O,X,O
IJOTZLS,O,O,X,O
IJOTZSL,O,O,X,O
IJOLTSZ,O,O,X,O
IJOLTZS,O,O,X,O
IJOLSTZ,O,O,X,X
IJOLSZT,O,X,O,X
IJOLZTS,O,X,O,O
IJOLZST,O,X,O,X
IJOSTLZ,X,O,X,O
IJOSTZL,X,O,X,O
IJOSLTZ,O,O,X,X
IJOSLZT,O,X,O,X
IJOSZTL,O,O,O,X
IJOSZLT,O,X,O,X
IJOZTLS,O,O,O,O
IJOZTSL,O,O,X,O
IJOZLTS,O,X,O,X
IJOZLST,O,X,O,X
IJOZSTL,O,O,O,X
IJOZSLT,O,X,O,X
ISTLJZO,X,O,X,X
ISTLJOZ,X,O,X,X
ISTLZJO,X,X,O,X
ISTLZOJ,X,O,O,X
ISTLOJZ,X,O,X,X
ISTLOZJ,X,O,O,X
ISTJLZO,X,O,X,X
ISTJLOZ,X,O,X,X
ISTJZLO,X,O,X,X
ISTJZOL,X,O,X,X
ISTJOLZ,X,O,X,X
ISTJOZL,X,O,X,X
ISTZLJO,X,X,O,X
ISTZLOJ,X,O,O,X
ISTZJLO,X,X,O,X
ISTZJOL,X,X,O,X
ISTZOLJ,X,O,O,X
ISTZOJL,X,X,O,X
ISTOLJZ,X,O,X,X
ISTOLZJ,X,O,O,X
ISTOJLZ,X,O,X,X
ISTOJZL,X,O,X,X
ISTOZLJ,X,O,O,X
ISTOZJL,X,X,O,X
ISLTJZO,X,O,X,X
ISLTJOZ,X,O,X,X
ISLTZJO,X,X,O,X
ISLTZOJ,X,O,O,X
ISLTOJZ,X,O,X,X
ISLTOZJ,X,O,O,X
ISLJTZO,X,O,X,X
ISLJTOZ,X,O,X,X
ISLJZTO,X,X,O,X
ISLJZOT,X,X,O,X
ISLJOTZ,X,O,X,X
ISLJOZT,X,X,O,X
ISLZTJO,X,X,O,X
ISLZTOJ,X,X,O,X
ISLZJTO,X,X,O,X
ISLZJOT,X,X,O,X
ISLZOTJ,X,X,O,X
ISLZOJT,X,X,O,X
ISLOTJZ,X,O,X,X
ISLOTZJ,X,O,O,X
ISLOJTZ,X,O,X,X
ISLOJZT,X,X,O,X
ISLOZTJ,X,X,O,X
ISLOZJT,X,X,O,X
ISJTLZO,X,O,X,X
ISJTLOZ,X,O,X,X
ISJTZLO,X,O,X,X
ISJTZOL,X,O,X,X
ISJTOLZ,X,O,X,X
ISJTOZL,X,O,X,X
ISJLTZO,X,O,X,X
ISJLTOZ,X,O,X,X
ISJLZTO,X,X,O,X
ISJLZOT,X,X,O,X
ISJLOTZ,X,O,X,X
ISJLOZT,X,X,O,X
ISJZTLO,X,O,O,X
ISJZTOL,X,O,O,X
ISJZLTO,X,X,O,X
ISJZLOT,X,X,O,X
ISJZOTL,X,O,O,X
ISJZOLT,X,X,O,X
ISJOTLZ,X,O,X,X
ISJOTZL,X,O,X,X
ISJOLTZ,X,O,X,X
ISJOLZT,X,X,O,X
ISJOZTL,X,O,O,X
ISJOZLT,X,X,O,X
ISZTLJO,X,X,O,X
ISZTLOJ,X,O,O,X
ISZTJLO,X,X,O,X
ISZTJOL,X,X,O,X
ISZTOLJ,X,O,O,X
ISZTOJL,X,X,O,X
ISZLTJO,X,X,O,X
ISZLTOJ,X,X,O,X
ISZLJTO,X,X,O,X
ISZLJOT,X,X,O,X
ISZLOTJ,X,X,O,X
ISZLOJT,X,X,O,X
ISZJTLO,X,O,O,X
ISZJTOL,X,O,O,X
ISZJLTO,X,X,O,X
ISZJLOT,X,X,O,X
ISZJOTL,X,O,O,X
ISZJOLT,X,X,O,X
ISZOTLJ,X,O,O,X
ISZOTJL,X,X,O,X
ISZOLTJ,X,X,O,X
ISZOLJT,X,X,O,X
ISZOJTL,X,O,O,X
ISZOJLT,X,X,O,X
ISOTLJZ,X,O,X,X
ISOTLZJ,X,O,O,X
ISOTJLZ,X,O,X,X
ISOTJZL,X,O,X,X
ISOTZLJ,X,O,O,X
ISOTZJL,X,X,O,X
ISOLTJZ,X,O,X,X
ISOLTZJ,X,O,O,X
ISOLJTZ,X,O,X,X
ISOLJZT,X,X,O,X
ISOLZTJ,X,X,O,X
ISOLZJT,X,X,O,X
ISOJTLZ,X,O,X,X
ISOJTZL,X,O,X,X
ISOJLTZ,X,O,X,X
ISOJLZT,X,X,O,X
ISOJZTL,X,O,O,X
ISOJZLT,X,X,O,X
ISOZTLJ,X,O,O,X
ISOZTJL,X,X,O,X
ISOZLTJ,X,X,O,X
ISOZLJT,X,X,O,X
ISOZJTL,X,O,O,X
ISOZJLT,X,X,O,X
IZTLJSO,X,O,X,X
IZTLJOS,X,O,O,X
IZTLSJO,O,X,O,X
IZTLSOJ,O,O,O,X
IZTLOJS,X,O,O,X
IZTLOSJ,O,O,O,X
IZTJLSO,X,O,X,X
IZTJLOS,X,O,O,X
IZTJSLO,X,O,X,X
IZTJSOL,X,O,X,X
IZTJOLS,X,O,O,X
IZTJOSL,X,O,X,X
IZTSLJO,X,X,O,X
IZTSLOJ,O,O,O,X
IZTSJLO,X,X,O,X
IZTSJOL,O,X,O,X
IZTSOLJ,O,O,O,X
IZTSOJL,O,X,O,X
IZTOLJS,X,O,O,X
IZTOLSJ,O,O,O,X
IZTOJLS,X,O,O,X
IZTOJSL,X,O,X,X
IZTOSLJ,O,O,O,X
IZTOSJL,O,X,O,X
IZLTJSO,X,O,X,X
IZLTJOS,X,O,O,X
IZLTSJO,O,X,O,X
IZLTSOJ,O,O,O,X
IZLTOJS,X,O,O,X
IZLTOSJ,O,O,O,X
IZLJTSO,O,X,X,X
IZLJTOS,O,X,O,X
IZLJSTO,O,X,O,X
IZLJSOT,O,X,O,X
IZLJOTS,O,X,O,X
IZLJOST,O,X,O,X
IZLSTJO,O,X,O,X
IZLSTOJ,O,X,O,X
IZLSJTO,O,X,O,X
IZLSJOT,O,X,O,X
IZLSOTJ,O,X,O,X
IZLSOJT,O,X,O,X
IZLOTJS,X,O,O,X
IZLOTSJ,O,O,O,X
IZLOJTS,O,X,O,X
IZLOJST,O,X,O,X
IZLOSTJ,O,X,O,X
IZLOSJT,O,X,O,X
IZJTLSO,O,O,X,X
IZJTLOS,O,O,O,X
IZJTSLO,O,O,X,X
IZJTSOL,O,O,X,X
IZJTOLS,O,O,O,X
IZJTOSL,O,O,X,X
IZJLTSO,O,X,X,X
IZJLTOS,O,X,O,X
IZJLSTO,O,X,O,X
IZJLSOT,O,X,O,X
IZJLOTS,O,X,O,X
IZJLOST,O,X,O,X
IZJSTLO,O,O,O,X
IZJSTOL,O,O,O,X
IZJSLTO,O,X,O,X
IZJSLOT,O,X,O,X
IZJSOTL,O,O,O,X
IZJSOLT,O,X,O,X
IZJOTLS,O,O,O,X
IZJOTSL,O,O,X,X
IZJOLTS,O,X,O,X
IZJOLST,O,X,O,X
IZJOSTL,O,O,O,X
IZJOSLT,O,X,O,X
IZSTLJO,X,X,O,X
IZSTLOJ,O,O,O,X
IZSTJLO,O,X,O,X
IZSTJOL,O,X,O,X
IZSTOLJ,O,O,O,X
IZSTOJL,O,X,O,X
IZSLTJO,O,X,O,X
IZSLTOJ,O,X,O,X
IZSLJTO,O,X,O,X
IZSLJOT,O,X,O,X
IZSLOTJ,O,X,O,X
IZSLOJT,O,X,O,X
IZSJTLO,O,O,O,X
IZSJTOL,O,O,O,X
IZSJLTO,O,X,O,X
IZSJLOT,O,X,O,X
IZSJOTL,O,O,O,X
IZSJOLT,O,X,O,X
IZSOTLJ,O,O,O,X
IZSOTJL,O,X,O,X
IZSOLTJ,O,X,O,X
IZSOLJT,O,X,O,X
IZSOJTL,O,O,O,X
IZSOJLT,O,X,O,X
IZOTLJS,X,O,O,X
IZOTLSJ,O,O,O,X
IZOTJLS,X,O,O,X
IZOTJSL,X,O,X,X
IZOTSLJ,O,O,O,X
IZOTSJL,O,X,O,X
IZOLTJS,X,O,O,X
IZOLTSJ,O,O,O,X
IZOLJTS,O,X,O,X
IZOLJST,O,X,O,X
IZOLSTJ,O,X,O,X
IZOLSJT,O,X,O,X
IZOJTLS,O,O,O,X
IZOJTSL,O,O,X,X
IZOJLTS,O,X,O,X
IZOJLST,O,X,O,X
IZOJSTL,O,O,O,X
IZOJSLT,O,X,O,X
IZOSTLJ,O,O,O,X
IZOSTJL,O,X,O,X
IZOSLTJ,O,X,O,X
IZOSLJT,O,X,O,X
IZOSJTL,O,O,O,X
IZOSJLT,O,X,O,X
IOTLJSZ,O,O,X,O
IOTLJZS,X,O,X,O
IOTLSJZ,O,O,X,X
IOTLSZJ,X,O,O,X
IOTLZJS,X,O,O,O
IOTLZSJ,X,O,O,X
IOTJLSZ,O,O,X,O
IOTJLZS,X,O,X,O
IOTJSLZ,X,O,X,O
IOTJSZL,X,O,X,O
IOTJZLS,X,O,X,O
IOTJZSL,X,O,X,O
IOTSLJZ,X,O,X,X
IOTSLZJ,X,O,O,X
IOTSJLZ,X,O,X,X
IOTSJZL,X,O,X,X
IOTSZLJ,X,O,O,X
IOTSZJL,X,X,O,X
IOTZLJS,X,O,O,X
IOTZLSJ,X,O,O,X
IOTZJLS,X,O,O,O
IOTZJSL,X,O,X,O
IOTZSLJ,X,O,O,X
IOTZSJL,X,X,O,X
IOLTJSZ,O,O,X,O
IOLTJZS,X,O,X,O
IOLTSJZ,O,O,X,X
IOLTSZJ,X,O,O,X
IOLTZJS,X,O,O,O
IOLTZSJ,X,O,O,X
IOLJTSZ,O,O,X,O
IOLJTZS,O,O,X,O
IOLJSTZ,O,O,X,X
IOLJSZT,O,X,O,X
IOLJZTS,O,X,O,O
IOLJZST,O,X,O,X
IOLSTJZ,O,O,X,X
IOLSTZJ,X,O,O,X
IOLSJTZ,O,O,X,X
IOLSJZT,O,X,O,X
IOLSZTJ,X,X,O,X
IOLSZJT,X,X,O,X
IOLZTJS,X,O,O,O
IOLZTSJ,O,O,O,X
IOLZJTS,O,X,O,O
IOLZJST,O,X,O,X
IOLZSTJ,O,X,O,X
IOLZSJT,O,X,O,X
IOJTLSZ,O,O,X,O
IOJTLZS,O,O,X,O
IOJTSLZ,X,O,X,O
IOJTSZL,X,O,X,O
IOJTZLS,O,O,X,O
IOJTZSL,O,O,X,O
IOJLTSZ,O,O,X,O
IOJLTZS,O,O,X,O
IOJLSTZ,O,O,X,X
IOJLSZT,O,X,O,X
IOJLZTS,O,X,O,O
IOJLZST,O,X,O,X
IOJSTLZ,X,O,X,O
IOJSTZL,X,O,X,O
IOJSLTZ,O,O,X,X
IOJSLZT,O,X,O,X
IOJSZTL,O,O,O,X
IOJSZLT,O,X,O,X
IOJZTLS,O,O,O,O
IOJZTSL,O,O,X,O
IOJZLTS,O,X,O,X
IOJZLST,O,X,O,X
IOJZSTL,O,O,O,X
IOJZSLT,O,X,O,X
IOSTLJZ,X,O,X,X
IOSTLZJ,X,O,O,X
IOSTJLZ,X,O,X,X
IOSTJZL,X,O,X,X
IOSTZLJ,X,O,O,X
IOSTZJL,X,X,O,X
IOSLTJZ,X,O,X,X
IOSLTZJ,X,O,O,X
IOSLJTZ,X,O,X,X
IOSLJZT,X,X,O,X
IOSLZTJ,X,X,O,X
IOSLZJT,X,X,O,X
IOSJTLZ,X,O,X,X
IOSJTZL,X,O,X,X
IOSJLTZ,X,O,X,X
IOSJLZT,X,X,O,X
IOSJZTL,X,O,O,X
IOSJZLT,X,X,O,X
IOSZTLJ,X,O,O,X
IOSZTJL,X,X,O,X
IOSZLTJ,X,X,O,X
IOSZLJT,X,X,O,X
IOSZJTL,X,O,O,X
IOSZJLT,X,X,O,X
IOZTLJS,X,O,O,X
IOZTLSJ,O,O,O,X
IOZTJLS,X,O,O,X
IOZTJSL,X,O,X,X
IOZTSLJ,O,O,O,X
IOZTSJL,O,X,O,X
IOZLTJS,X,O,O,X
IOZLTSJ,O,O,O,X
IOZLJTS,O,X,O,X
IOZLJST,O,X,O,X
IOZLSTJ,O,X,O,X
IOZLSJT,O,X,O,X
IOZJTLS,O,O,O,X
IOZJTSL,O,O,X,X
IOZJLTS,O,X,O,X
IOZJLST,O,X,O,X
IOZJSTL,O,O,O,X
IOZJSLT,O,X,O,X
IOZSTLJ,O,O,O,X
IOZSTJL,O,X,O,X
IOZSLTJ,O,X,O,X
IOZSLJT,O,X,O,X
IOZSJTL,O,O,O,X
IOZSJLT,O,X,O,X
LTIJSZO,O,O,X,O
LTIJSOZ,O,O,X,O
LTIJZSO,X,O,X,O
LTIJZOS,X,O,X,O
LTIJOSZ,O,O,X,O
LTIJOZS,X,O,X,O
LTISJZO,O,O,X,X
LTISJOZ,O,O,X,X
LTISZJO,X,X,O,X
LTISZOJ,X,O,O,X
LTISOJZ,O,O,X,X
LTISOZJ,X,O,O,X
LTIZJSO,X,O,X,O
LTIZJOS,X,O,O,O
LTIZSJO,X,X,O,X
LTIZSOJ,X,O,O,X
LTIZOJS,X,O,O,O
LTIZOSJ,X,O,O,X
LTIOJSZ,O,O,X,O
LTIOJZS,X,O,X,O
LTIOSJZ,O,O,X,X
LTIOSZJ,X,O,O,X
LTIOZJS,X,O,O,O
LTIOZSJ,X,O,O,X
LTJISZO,O,O,X,O
LTJISOZ,O,O,X,O
LTJIZSO,O,O,X,O
LTJIZOS,O,O,X,O
LTJIOSZ,O,O,X,O
LTJIOZS,O,O,X,O
LTJSIZO,O,O,X,O
LTJSIOZ,O,O,X,O
LTJSZIO,O,O,X,O
LTJSZOI,O,O,X,O
LTJSOIZ,O,O,X,O
LTJSOZI,O,O,X,O
LTJZISO,O,O,X,O
LTJZIOS,O,O,X,O
LTJZSIO,O,O,X,O
LTJZSOI,O,O,X,O
LTJZOIS,O,O,X,O
LTJZOSI,O,O,X,O
LTJOISZ,O,O,X,O
LTJOIZS,O,O,X,O
LTJOSIZ,O,O,X,O
LTJOSZI,O,O,X,O
LTJOZIS,O,O,X,O
LTJOZSI,O,O,X,O
LTSIJZO,O,O,X,X
LTSIJOZ,O,O,X,X
LTSIZJO,X,X,O,X
LTSIZOJ,X,O,O,X
LTSIOJZ,O,O,X,X
LTSIOZJ,X,O,O,X
LTSJIZO,O,O,X,O
LTSJIOZ,O,O,X,O
LTSJZIO,O,O,X,O
LTSJZOI,O,O,X,O
LTSJOIZ,O,O,X,O
LTSJOZI,O,O,X,O
LTSZIJO,X,X,O,X
LTSZIOJ,X,O,O,X
LTSZJIO,O,X,O,O
LTSZJOI,O,X,O,O
LTSZOIJ,X,O,O,X
LTSZOJI,O,X,O,O
LTSOIJZ,O,O,X,X
LTSOIZJ,X,O,O,X
LTSOJIZ,O,O,X,O
LTSOJZI,O,O,X,O
LTSOZIJ,X,O,O,X
LTSOZJI,O,X,O,O
LTZIJSO,X,O,X,O
LTZIJOS,X,O,O,O
LTZISJO,O,X,O,X
LTZISOJ,O,O,O,X
LTZIOJS,X,O,O,O
LTZIOSJ,O,O,O,X
LTZJISO,O,O,X,O
LTZJIOS,O,O,O,O
LTZJSIO,O,O,X,O
LTZJSOI,O,O,X,O
LTZJOIS,O,O,O,O
LTZJOSI,O,O,X,O
LTZSIJO,O,X,O,X
LTZSIOJ,O,O,O,X
LTZSJIO,O,X,O,O
LTZSJOI,O,X,O,O
LTZSOIJ,O,O,O,X
LTZSOJI,O,X,O,O
LTZOIJS,X,O,O,O
LTZOISJ,O,O,O,X
LTZOJIS,O,O,O,O
LTZOJSI,O,O,X,O
LTZOSIJ,O,O,O,X
LTZOSJI,O,X,O,O
LTOIJSZ,O,O,X,O
LTOIJZS,X,O,X,O
LTOISJZ,O,O,X,X
LTOISZJ,X,O,O,X
LTOIZJS,X,O,O,O
LTOIZSJ,X,O,O,X
LTOJISZ,O,O,X,O
LTOJIZS,O,O,X,O
LTOJSIZ,O,O,X,O
LTOJSZI,O,O,X,O
LTOJZIS,O,O,X,O
LTOJZSI,O,O,X,O
LTOSIJZ,O,O,X,X
LTOSIZJ,X,O,O,X
LTOSJIZ,O,O,X,O
LTOSJZI,O,O,X,O
LTOSZIJ,X,O,O,X
LTOSZJI,O,X,O,O
LTOZIJS,X,O,O,O
LTOZISJ,O,O,O,X
LTOZJIS,O,O,O,O
LTOZJSI,O,O,X,O
LTOZSIJ,O,O,O,X
LTOZSJI,O,X,O,O
LITJSZO,O,O,X,O
LITJSOZ,O,O,X,O
LITJZSO,X,O,X,O
LITJZOS,X,O,X,O
LITJOSZ,O,O,X,O
LITJOZS,X,O,X,O
LITSJZO,O,O,X,X
LITSJOZ,O,O,X,X
LITSZJO,X,X,O,X
LITSZOJ,X,O,O,X
LITSOJZ,O,O,X,X
LITSOZJ,X,O,O,X
LITZJSO,X,O,X,O
LITZJOS,X,O,O,O
LITZSJO,X,X,O,X
LITZSOJ,X,O,O,X
LITZOJS,X,O,O,O
LITZOSJ,X,O,O,X
LITOJSZ,O,O,X,O
LITOJZS,X,O,X,O
LITOSJZ,O,O,X,X
LITOSZJ,X,O,O,X
LITOZJS,X,O,O,O
LITOZSJ,X,O,O,X
LIJTSZO,O,O,X,O
LIJTSOZ,O,O,X,O
LIJTZSO,O,O,X,O
LIJTZOS,O,O,X,O
LIJTOSZ,O,O,X,O
LIJTOZS,O,O,X,O
LIJSTZO,O,O,X,X
LIJSTOZ,O,O,X,X
LIJSZTO,O,X,O,X
LIJSZOT,O,X,O,X
LIJSOTZ,O,O,X,X
LIJSOZT,O,X,O,X
LIJZTSO,O,X,X,O
LIJZTOS,O,X,O,O
LIJZSTO,O,X,O,X
LIJZSOT,O,X,O,X
LIJZOTS,O,X,O,O
LIJZOST,O,X,O,X
LIJOTSZ,O,O,X,O
LIJOTZS,O,O,X,O
LIJOSTZ,O,O,X,X
LIJOSZT,O,X,O,X
LIJOZTS,O,X,O,O
LIJOZST,O,X,O,X
LISTJZO,O,O,X,X
LISTJOZ,O,O,X,X
LISTZJO,X,X,O,X
LISTZOJ,X,O,O,X
LISTOJZ,O,O,X,X
LISTOZJ,X,O,O,X
LISJTZO,O,O,X,X
LISJTOZ,O,O,X,X
LISJZTO,O,X,O,X
LISJZOT,O,X,O,X
LISJOTZ,O,O,X,X
LISJOZT,O,X,O,X
LISZTJO,X,X,O,X
LISZTOJ,X,X,O,X
LISZJTO,X,X,O,X
LISZJOT,X,X,O,X
LISZOTJ,X,X,O,X
LISZOJT,X,X,O,X
LISOTJZ,O,O,X,X
LISOTZJ,X,O,O,X
LISOJTZ,O,O,X,X
LISOJZT,O,X,O,X
LISOZTJ,X,X,O,X
LISOZJT,X,X,O,X
LIZTJSO,X,O,X,O
LIZTJOS,X,O,O,O
LIZTSJO,O,X,O,X
LIZTSOJ,O,O,O,X
LIZTOJS,X,O,O,O
LIZTOSJ,O,O,O,X
LIZJTSO,O,X,X,O
LIZJTOS,O,X,O,O
LIZJSTO,O,X,O,X
