sequence,v115@JhC8EeA8BeB8EeE8CeA8Kex/IvhFlhBGjB0kB6sB/t?BzrB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF0hBliB5oBysBXl?BWxB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF6mBliB5oBesB8s?BXqB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF0hBxiB1sB6tBXl?BWxB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF6mBmiB5oB0nBXl?BVxB
TOZLSIJ,O,O,X,O,O
TOZLSJI,O,X,X,O,O
TOZJILS,X,O,O,O,O
TOZJISL,O,X,O,X,O
TOZJLIS,X,O,O,O,O
TOZJLSI,X,O,O,O,O
TOZJSIL,O,X,O,X,O
TOZJSLI,O,X,O,O,O
TOZSILJ,O,X,X,X,O
TOZSIJL,O,X,X,X,O
TOZSLIJ,O,X,X,O,O
TOZSLJI,O,X,X,O,O
TOZSJIL,O,X,X,X,O
TOZSJLI,O,X,X,X,O
ITLJSZO,O,O,X,O,X
ITLJSOZ,O,O,X,O,X
ITLJZSO,X,O,O,O,O
ITLJZOS,X,O,O,O,O
ITLJOSZ,X,O,X,O,X
ITLJOZS,X,O,O,O,O
ITLSJZO,O,X,X,X,X
ITLSJOZ,O,X,X,X,X
ITLSZJO,O,X,X,X,O
ITLSZOJ,O,O,X,O,O
ITLSOJZ,O,X,X,X,X
ITLSOZJ,X,O,X,O,O
ITLZJSO,O,X,O,X,O
ITLZJOS,X,O,O,O,O
ITLZSJO,O,X,X,X,O
ITLZSOJ,O,O,X,O,O
ITLZOJS,X,O,O,O,O
ITLZOSJ,O,O,X,O,O
ITLOJSZ,X,O,X,O,X
ITLOJZS,X,O,O,O,O
ITLOSJZ,O,X,X,X,X
ITLOSZJ,X,O,X,O,O
ITLOZJS,X,O,O,O,O
ITLOZSJ,X,O,X,O,O
ITJLSZO,O,O,X,O,X
ITJLSOZ,O,O,X,O,X
ITJLZSO,X,O,O,O,O
ITJLZOS,X,O,O,O,O
ITJLOSZ,X,O,X,O,X
ITJLOZS,X,O,O,O,O
ITJSLZO,O,X,X,X,X
ITJSLOZ,O,X,X,X,X
ITJSZLO,O,X,X,X,X
ITJSZOL,O,X,X,X,X
ITJSOLZ,O,X,X,X,X
ITJSOZL,O,X,X,X,X
ITJZLSO,X,O,O,O,O
ITJZLOS,X,O,O,O,O
ITJZSLO,X,X,O,X,O
ITJZSOL,X,X,O,X,O
ITJZOLS,X,O,O,O,O
ITJZOSL,X,X,O,X,O
ITJOLSZ,X,O,X,O,X
ITJOLZS,X,O,O,O,O
ITJOSLZ,O,X,X,X,X
ITJOSZL,O,X,X,X,X
ITJOZLS,X,O,O,O,O
ITJOZSL,X,X,O,X,O
ITSLJZO,O,X,X,X,X
ITSLJOZ,O,X,X,X,X
ITSLZJO,O,X,X,X,O
ITSLZOJ,X,X,X,X,O
ITSLOJZ,O,X,X,X,X
ITSLOZJ,X,X,X,X,O
ITSJLZO,O,X,X,X,X
ITSJLOZ,O,X,X,X,X
ITSJZLO,O,X,X,X,X
ITSJZOL,O,X,X,X,X
ITSJOLZ,O,X,X,X,X
ITSJOZL,O,X,X,X,X
ITSZLJO,O,X,X,X,O
ITSZLOJ,X,X,X,X,O
ITSZJLO,O,X,X,X,O
ITSZJOL,O,X,X,X,O
ITSZOLJ,X,X,X,X,O
ITSZOJL,O,X,X,X,O
ITSOLJZ,O,X,X,X,X
ITSOLZJ,O,X,X,X,O
ITSOJLZ,O,X,X,X,X
ITSOJZL,O,X,X,X,X
ITSOZLJ,X,X,X,X,O
ITSOZJL,O,X,X,X,O
ITZLJSO,O,X,O,X,O
ITZLJOS,X,O,O,O,O
ITZLSJO,O,X,X,X,O
ITZLSOJ,O,O,X,O,O
ITZLOJS,X,O,O,O,O
ITZLOSJ,O,O,X,O,O
ITZJLSO,O,O,O,X,O
ITZJLOS,X,O,O,X,O
ITZJSLO,O,X,O,X,O
ITZJSOL,O,X,O,X,O
ITZJOLS,X,O,O,X,O
ITZJOSL,O,X,O,X,O
ITZSLJO,O,X,X,X,O
ITZSLOJ,O,X,X,X,O
ITZSJLO,O,X,X,X,O
ITZSJOL,O,X,X,X,O
ITZSOLJ,O,X,X,X,O
ITZSOJL,O,X,X,X,O
ITZOLJS,X,O,O,O,O
ITZOLSJ,O,O,X,O,O
ITZOJLS,X,O,O,X,O
ITZOJSL,O,X,O,X,O
ITZOSLJ,O,X,X,X,O
ITZOSJL,O,X,X,X,O
ITOLJSZ,O,O,X,O,X
ITOLJZS,X,O,O,O,O
ITOLSJZ,O,X,X,X,X
ITOLSZJ,O,O,X,O,O
ITOLZJS,X,O,O,O,O
ITOLZSJ,O,O,X,O,O
ITOJLSZ,X,O,X,O,X
ITOJLZS,X,O,O,O,O
ITOJSLZ,O,X,X,X,X
ITOJSZL,O,X,X,X,X
ITOJZLS,X,O,O,O,O
ITOJZSL,X,X,O,X,O
ITOSLJZ,O,X,X,X,X
ITOSLZJ,O,X,X,X,O
ITOSJLZ,O,X,X,X,X
ITOSJZL,O,X,X,X,X
ITOSZLJ,O,X,X,X,O
ITOSZJL,O,X,X,X,O
ITOZLJS,X,O,O,O,O
ITOZLSJ,O,O,X,O,O
ITOZJLS,X,O,O,X,O
ITOZJSL,O,X,O,X,O
ITOZSLJ,O,X,X,X,O
ITOZSJL,O,X,X,X,O
ILTJSZO,O,O,X,O,X
ILTJSOZ,O,O,X,O,X
ILTJZSO,X,O,O,O,O
ILTJZOS,X,O,O,O,O
ILTJOSZ,X,O,X,O,X
ILTJOZS,X,O,O,O,O
ILTSJZO,O,X,X,X,X
ILTSJOZ,O,X,X,X,X
ILTSZJO,O,X,X,X,O
ILTSZOJ,O,O,X,O,O
ILTSOJZ,O,X,X,X,X
ILTSOZJ,X,O,X,O,O
ILTZJSO,O,X,O,X,O
ILTZJOS,X,O,O,O,O
ILTZSJO,O,X,X,X,O
ILTZSOJ,O,O,X,O,O
ILTZOJS,X,O,O,O,O
ILTZOSJ,O,O,X,O,O
ILTOJSZ,X,O,X,O,X
ILTOJZS,X,O,O,O,O
ILTOSJZ,O,X,X,X,X
ILTOSZJ,X,O,X,O,O
ILTOZJS,X,O,O,O,O
ILTOZSJ,X,O,X,O,O
ILJTSZO,O,O,X,X,X
ILJTSOZ,O,O,X,X,X
ILJTZSO,X,O,O,X,X
ILJTZOS,X,O,O,X,X
ILJTOSZ,X,O,X,X,X
ILJTOZS,X,O,O,X,X
ILJSTZO,O,O,X,X,X
ILJSTOZ,O,O,X,X,X
ILJSZTO,O,O,O,X,X
ILJSZOT,X,O,O,X,X
ILJSOTZ,O,O,X,X,X
ILJSOZT,X,O,O,X,X
ILJZTSO,X,O,O,X,X
ILJZTOS,X,O,O,X,X
ILJZSTO,X,O,O,X,X
ILJZSOT,X,O,O,X,X
ILJZOTS,X,O,O,X,X
ILJZOST,X,O,O,X,X
ILJOTSZ,X,O,X,X,X
ILJOTZS,X,O,O,X,X
ILJOSTZ,X,O,X,X,X
ILJOSZT,X,O,O,X,X
ILJOZTS,X,O,O,X,X
ILJOZST,X,O,O,X,X
ILSTJZO,O,X,X,X,X
ILSTJOZ,O,X,X,X,X
ILSTZJO,O,X,X,X,X
ILSTZOJ,O,O,X,X,X
ILSTOJZ,O,X,X,X,X
ILSTOZJ,X,O,X,X,X
ILSJTZO,O,O,X,X,X
ILSJTOZ,O,O,X,X,X
ILSJZTO,O,O,O,X,X
ILSJZOT,O,O,O,X,X
ILSJOTZ,O,O,X,X,X
ILSJOZT,X,O,O,X,X
ILSZTJO,O,X,X,X,X
ILSZTOJ,O,O,X,X,X
ILSZJTO,O,X,O,X,X
ILSZJOT,O,X,O,X,X
ILSZOTJ,O,O,X,X,X
ILSZOJT,O,X,O,X,X
ILSOTJZ,O,X,X,X,X
ILSOTZJ,O,O,X,X,X
ILSOJTZ,O,O,X,X,X
ILSOJZT,O,O,O,X,X
ILSOZTJ,O,O,X,X,X
ILSOZJT,O,X,O,X,X
ILZTJSO,O,X,O,X,X
ILZTJOS,X,O,O,X,X
ILZTSJO,O,X,X,X,X
ILZTSOJ,O,O,X,X,X
ILZTOJS,X,O,O,X,X
ILZTOSJ,O,O,X,X,X
ILZJTSO,O,O,O,X,X
ILZJTOS,X,O,O,X,X
ILZJSTO,O,O,O,X,X
ILZJSOT,O,O,O,X,X
ILZJOTS,X,O,O,X,X
ILZJOST,X,O,O,X,X
ILZSTJO,O,X,X,X,X
ILZSTOJ,O,O,X,X,X
ILZSJTO,O,X,O,X,X
ILZSJOT,O,X,O,X,X
ILZSOTJ,O,O,X,X,X
ILZSOJT,O,X,O,X,X
ILZOTJS,X,O,O,X,X
ILZOTSJ,O,O,X,X,X
ILZOJTS,X,O,O,X,X
ILZOJST,X,O,O,X,X
ILZOSTJ,O,O,X,X,X
ILZOSJT,O,X,O,X,X
ILOTJSZ,O,O,X,O,X
ILOTJZS,X,O,O,O,O
ILOTSJZ,O,X,X,X,X
ILOTSZJ,O,O,X,O,O
ILOTZJS,X,O,O,O,O
ILOTZSJ,O,O,X,O,O
ILOJTSZ,O,O,X,X,X
ILOJTZS,X,O,O,X,X
ILOJSTZ,O,O,X,X,X
ILOJSZT,O,O,O,X,X
ILOJZTS,X,O,O,X,X
ILOJZST,X,O,O,X,X
ILOSTJZ,O,X,X,X,X
ILOSTZJ,O,O,X,X,X
ILOSJTZ,O,O,X,X,X
ILOSJZT,O,O,O,X,X
ILOSZTJ,O,O,X,X,X
ILOSZJT,O,X,O,X,X
ILOZTJS,X,O,O,X,X
ILOZTSJ,O,O,X,X,X
ILOZJTS,X,O,O,X,X
ILOZJST,X,O,O,X,X
ILOZSTJ,O,O,X,X,X
ILOZSJT,O,X,O,X,X
IJTLSZO,O,O,X,O,X
IJTLSOZ,O,O,X,O,X
IJTLZSO,X,O,O,O,O
IJTLZOS,X,O,O,O,O
IJTLOSZ,X,O,X,O,X
IJTLOZS,X,O,O,O,O
IJTSLZO,O,X,X,X,X
IJTSLOZ,O,X,X,X,X
IJTSZLO,O,X,X,X,X
IJTSZOL,O,X,X,X,X
IJTSOLZ,O,X,X,X,X
IJTSOZL,O,X,X,X,X
IJTZLSO,X,O,O,O,O
IJTZLOS,X,O,O,O,O
IJTZSLO,X,X,O,X,O
IJTZSOL,X,X,O,X,O
IJTZOLS,X,O,O,O,O
IJTZOSL,X,X,O,X,O
IJTOLSZ,X,O,X,O,X
IJTOLZS,X,O,O,O,O
IJTOSLZ,O,X,X,X,X
IJTOSZL,O,X,X,X,X
IJTOZLS,X,O,O,O,O
IJTOZSL,X,X,O,X,O
IJLTSZO,O,O,X,X,X
IJLTSOZ,O,O,X,X,X
IJLTZSO,X,O,O,X,X
IJLTZOS,X,O,O,X,X
IJLTOSZ,X,O,X,X,X
IJLTOZS,X,O,O,X,X
IJLSTZO,O,O,X,X,X
IJLSTOZ,O,O,X,X,X
IJLSZTO,O,O,O,X,X
IJLSZOT,X,O,O,X,X
IJLSOTZ,O,O,X,X,X
IJLSOZT,X,O,O,X,X
IJLZTSO,X,O,O,X,X
IJLZTOS,X,O,O,X,X
IJLZSTO,X,O,O,X,X
IJLZSOT,X,O,O,X,X
IJLZOTS,X,O,O,X,X
IJLZOST,X,O,O,X,X
IJLOTSZ,X,O,X,X,X
IJLOTZS,X,O,O,X,X
IJLOSTZ,X,O,X,X,X
IJLOSZT,X,O,O,X,X
IJLOZTS,X,O,O,X,X
IJLOZST,X,O,O,X,X
IJSTLZO,O,X,X,X,X
IJSTLOZ,O,X,X,X,X
IJSTZLO,O,X,X,X,X
IJSTZOL,O,X,X,X,X
IJSTOLZ,O,X,X,X,X
IJSTOZL,O,X,X,X,X
IJSLTZO,O,O,X,X,X
IJSLTOZ,O,O,X,X,X
IJSLZTO,O,O,O,X,X
IJSLZOT,X,O,O,X,X
IJSLOTZ,O,O,X,X,X
IJSLOZT,X,O,O,X,X
IJSZTLO,O,X,O,X,X
IJSZTOL,O,X,O,X,X
IJSZLTO,O,O,O,X,X
IJSZLOT,X,O,O,X,X
IJSZOTL,O,X,O,X,X
IJSZOLT,X,O,O,X,X
IJSOTLZ,O,X,X,X,X
IJSOTZL,O,X,X,X,X
IJSOLTZ,O,O,X,X,X
IJSOLZT,O,O,O,X,X
IJSOZTL,O,X,O,X,X
IJSOZLT,X,O,O,X,X
IJZTLSO,X,O,O,O,X
IJZTLOS,X,O,O,O,X
IJZTSLO,X,X,O,X,X
IJZTSOL,X,X,O,X,X
IJZTOLS,X,O,O,O,X
IJZTOSL,X,X,O,X,X
IJZLTSO,X,O,O,X,X
IJZLTOS,X,O,O,X,X
IJZLSTO,X,O,O,X,X
IJZLSOT,X,O,O,X,X
IJZLOTS,X,O,O,X,X
IJZLOST,X,O,O,X,X
IJZSTLO,X,X,O,X,X
IJZSTOL,X,X,O,X,X
IJZSLTO,X,O,O,X,X
IJZSLOT,X,O,O,X,X
IJZSOTL,X,X,O,X,X
IJZSOLT,X,O,O,X,X
IJZOTLS,X,O,O,O,X
IJZOTSL,X,X,O,X,X
IJZOLTS,X,O,O,X,X
IJZOLST,X,O,O,X,X
IJZOSTL,X,X,O,X,X
IJZOSLT,X,O,O,X,X
IJOTLSZ,X,O,X,O,X
IJOTLZS,X,O,O,O,O
IJOTSLZ,O,X,X,X,X
IJOTSZL,O,X,X,X,X
IJOTZLS,X,O,O,O,O
IJOTZSL,X,X,O,X,O
IJOLTSZ,O,O,X,X,X
IJOLTZS,X,O,O,X,X
IJOLSTZ,O,O,X,X,X
IJOLSZT,O,O,O,X,X
IJOLZTS,X,O,O,X,X
IJOLZST,X,O,O,X,X
IJOSTLZ,O,X,X,X,X
IJOSTZL,O,X,X,X,X
IJOSLTZ,O,O,X,X,X
IJOSLZT,O,O,O,X,X
IJOSZTL,O,X,O,X,X
IJOSZLT,X,O,O,X,X
IJOZTLS,X,O,O,O,X
IJOZTSL,X,X,O,X,X
IJOZLTS,X,O,O,X,X
IJOZLST,X,O,O,X,X
IJOZSTL,X,X,O,X,X
IJOZSLT,X,O,O,X,X
ISTLJZO,O,X,X,X,X
ISTLJOZ,O,X,X,X,X
ISTLZJO,O,X,X,X,O
ISTLZOJ,X,X,X,X,O
ISTLOJZ,O,X,X,X,X
ISTLOZJ,X,X,X,X,O
ISTJLZO,O,X,X,X,X
ISTJLOZ,O,X,X,X,X
ISTJZLO,O,X,X,X,X
ISTJZOL,O,X,X,X,X
ISTJOLZ,O,X,X,X,X
ISTJOZL,O,X,X,X,X
ISTZLJO,O,X,X,X,O
ISTZLOJ,X,X,X,X,O
ISTZJLO,O,X,X,X,O
ISTZJOL,O,X,X,X,O
ISTZOLJ,X,X,X,X,O
ISTZOJL,O,X,X,X,O
ISTOLJZ,O,X,X,X,X
ISTOLZJ,O,X,X,X,O
ISTOJLZ,O,X,X,X,X
ISTOJZL,O,X,X,X,X
ISTOZLJ,X,X,X,X,O
ISTOZJL,O,X,X,X,O
ISLTJZO,O,X,X,X,X
ISLTJOZ,O,X,X,X,X
ISLTZJO,O,X,X,X,X
ISLTZOJ,O,O,X,X,X
ISLTOJZ,O,X,X,X,X
ISLTOZJ,X,O,X,X,X
ISLJTZO,O,O,X,X,X
ISLJTOZ,O,O,X,X,X
ISLJZTO,O,O,O,X,X
ISLJZOT,O,O,O,X,X
ISLJOTZ,O,O,X,X,X
ISLJOZT,X,O,O,X,X
ISLZTJO,O,X,X,X,X
ISLZTOJ,O,O,X,X,X
ISLZJTO,O,X,O,X,X
ISLZJOT,O,X,O,X,X
ISLZOTJ,O,O,X,X,X
ISLZOJT,O,X,O,X,X
ISLOTJZ,O,X,X,X,X
ISLOTZJ,O,O,X,X,X
ISLOJTZ,O,O,X,X,X
ISLOJZT,O,O,O,X,X
ISLOZTJ,O,O,X,X,X
ISLOZJT,O,X,O,X,X
ISJTLZO,O,X,X,X,X
ISJTLOZ,O,X,X,X,X
ISJTZLO,O,X,X,X,X
ISJTZOL,O,X,X,X,X
ISJTOLZ,O,X,X,X,X
ISJTOZL,O,X,X,X,X
ISJLTZO,O,O,X,X,X
ISJLTOZ,O,O,X,X,X
ISJLZTO,O,O,O,X,X
ISJLZOT,O,O,O,X,X
ISJLOTZ,O,O,X,X,X
ISJLOZT,X,O,O,X,X
ISJZTLO,O,X,O,X,X
ISJZTOL,O,X,O,X,X
ISJZLTO,O,O,O,X,X
ISJZLOT,O,O,O,X,X
ISJZOTL,O,X,O,X,X
ISJZOLT,O,O,O,X,X
ISJOTLZ,O,X,X,X,X
ISJOTZL,O,X,X,X,X
ISJOLTZ,O,O,X,X,X
ISJOLZT,O,O,O,X,X
ISJOZTL,O,X,O,X,X
ISJOZLT,O,O,O,X,X
ISZTLJO,O,X,X,X,X
ISZTLOJ,O,X,X,X,X
ISZTJLO,O,X,X,X,X
ISZTJOL,O,X,X,X,X
ISZTOLJ,O,X,X,X,X
ISZTOJL,O,X,X,X,X
ISZLTJO,O,X,X,X,X
ISZLTOJ,O,O,X,X,X
ISZLJTO,O,X,O,X,X
ISZLJOT,O,X,O,X,X
ISZLOTJ,O,O,X,X,X
ISZLOJT,O,X,O,X,X
ISZJTLO,O,X,O,X,X
ISZJTOL,O,X,O,X,X
ISZJLTO,O,O,O,X,X
ISZJLOT,O,O,O,X,X
ISZJOTL,O,X,O,X,X
ISZJOLT,O,O,O,X,X
ISZOTLJ,O,X,X,X,X
ISZOTJL,O,X,X,X,X
ISZOLTJ,O,O,X,X,X
ISZOLJT,O,X,O,X,X
ISZOJTL,O,X,O,X,X
ISZOJLT,O,O,O,X,X
ISOTLJZ,O,X,X,X,X
ISOTLZJ,O,X,X,X,O
ISOTJLZ,O,X,X,X,X
ISOTJZL,O,X,X,X,X
ISOTZLJ,O,X,X,X,O
ISOTZJL,O,X,X,X,O
ISOLTJZ,O,X,X,X,X
ISOLTZJ,O,O,X,X,X
ISOLJTZ,O,O,X,X,X
ISOLJZT,O,O,O,X,X
ISOLZTJ,O,O,X,X,X
ISOLZJT,O,X,O,X,X
ISOJTLZ,O,X,X,X,X
ISOJTZL,O,X,X,X,X
ISOJLTZ,O,O,X,X,X
ISOJLZT,O,O,O,X,X
ISOJZTL,O,X,O,X,X
ISOJZLT,O,O,O,X,X
ISOZTLJ,O,X,X,X,X
ISOZTJL,O,X,X,X,X
ISOZLTJ,O,O,X,X,X
ISOZLJT,O,X,O,X,X
ISOZJTL,O,X,O,X,X
ISOZJLT,O,O,O,X,X
IZTLJSO,O,X,O,X,O
IZTLJOS,X,O,O,O,O
IZTLSJO,O,X,X,X,O
IZTLSOJ,O,O,X,O,O
IZTLOJS,X,O,O,O,O
IZTLOSJ,O,O,X,O,O
IZTJLSO,O,O,O,X,O
IZTJLOS,X,O,O,X,O
IZTJSLO,O,X,O,X,O
IZTJSOL,O,X,O,X,O
IZTJOLS,X,O,O,X,O
IZTJOSL,O,X,O,X,O
IZTSLJO,O,X,X,X,O
IZTSLOJ,O,X,X,X,O
IZTSJLO,O,X,X,X,O
IZTSJOL,O,X,X,X,O
IZTSOLJ,O,X,X,X,O
IZTSOJL,O,X,X,X,O
IZTOLJS,O,O,O,O,O
IZTOLSJ,O,O,X,O,O
IZTOJLS,X,O,O,X,O
IZTOJSL,O,X,O,X,O
IZTOSLJ,O,X,X,X,O
IZTOSJL,O,X,X,X,O
IZLTJSO,O,X,O,X,X
IZLTJOS,X,O,O,X,X
IZLTSJO,O,X,X,X,X
IZLTSOJ,O,O,X,X,X
IZLTOJS,X,O,O,X,X
IZLTOSJ,O,O,X,X,X
IZLJTSO,O,O,O,X,X
IZLJTOS,X,O,O,X,X
IZLJSTO,O,O,O,X,X
IZLJSOT,O,O,O,X,X
IZLJOTS,X,O,O,X,X
IZLJOST,X,O,O,X,X
IZLSTJO,O,X,X,X,X
IZLSTOJ,O,O,X,X,X
IZLSJTO,O,X,O,X,X
IZLSJOT,O,X,O,X,X
IZLSOTJ,O,O,X,X,X
IZLSOJT,O,X,O,X,X
IZLOTJS,O,O,O,X,X
IZLOTSJ,O,O,X,X,X
IZLOJTS,O,O,O,X,X
IZLOJST,O,O,O,X,X
IZLOSTJ,O,O,X,X,X
IZLOSJT,O,X,O,X,X
IZJTLSO,O,O,O,O,X
IZJTLOS,X,O,O,O,X
IZJTSLO,O,X,O,X,X
IZJTSOL,O,X,O,X,X
IZJTOLS,X,O,O,O,X
IZJTOSL,O,X,O,X,X
IZJLTSO,O,O,O,X,X
IZJLTOS,X,O,O,X,X
IZJLSTO,O,O,O,X,X
IZJLSOT,O,O,O,X,X
IZJLOTS,X,O,O,X,X
IZJLOST,X,O,O,X,X
IZJSTLO,O,X,O,X,X
IZJSTOL,O,X,O,X,X
IZJSLTO,O,O,O,X,X
IZJSLOT,O,O,O,X,X
IZJSOTL,O,X,O,X,X
IZJSOLT,O,O,O,X,X
IZJOTLS,X,O,O,O,X
IZJOTSL,O,X,O,X,X
IZJOLTS,O,O,O,X,X
IZJOLST,O,O,O,X,X
IZJOSTL,O,X,O,X,X
IZJOSLT,O,O,O,X,X
IZSTLJO,O,X,X,X,X
IZSTLOJ,O,X,X,X,X
IZSTJLO,O,X,X,X,X
IZSTJOL,O,X,X,X,X
IZSTOLJ,O,X,X,X,X
IZSTOJL,O,X,X,X,X
IZSLTJO,O,X,X,X,X
IZSLTOJ,O,O,X,X,X
IZSLJTO,O,X,O,X,X
IZSLJOT,O,X,O,X,X
IZSLOTJ,O,O,X,X,X
IZSLOJT,O,X,O,X,X
IZSJTLO,O,X,O,X,X
IZSJTOL,O,X,O,X,X
IZSJLTO,O,O,O,X,X
IZSJLOT,O,O,O,X,X
IZSJOTL,O,X,O,X,X
IZSJOLT,O,O,O,X,X
IZSOTLJ,O,X,X,X,X
IZSOTJL,O,X,X,X,X
IZSOLTJ,O,O,X,X,X
IZSOLJT,O,X,O,X,X
IZSOJTL,O,X,O,X,X
IZSOJLT,O,O,O,X,X
IZOTLJS,O,O,O,O,O
IZOTLSJ,O,O,X,O,O
IZOTJLS,X,O,O,X,O
IZOTJSL,O,X,O,X,O
IZOTSLJ,O,X,X,X,O
IZOTSJL,O,X,X,X,O
IZOLTJS,O,O,O,X,X
IZOLTSJ,O,O,X,X,X
IZOLJTS,O,O,O,X,X
IZOLJST,O,O,O,X,X
IZOLSTJ,O,O,X,X,X
IZOLSJT,O,X,O,X,X
IZOJTLS,X,O,O,O,X
IZOJTSL,O,X,O,X,X
IZOJLTS,O,O,O,X,X
IZOJLST,O,O,O,X,X
IZOJSTL,O,X,O,X,X
IZOJSLT,O,O,O,X,X
IZOSTLJ,O,X,X,X,X
IZOSTJL,O,X,X,X,X
IZOSLTJ,O,O,X,X,X
IZOSLJT,O,X,O,X,X
IZOSJTL,O,X,O,X,X
IZOSJLT,O,O,O,X,X
IOTLJSZ,O,O,X,O,X
IOTLJZS,X,O,O,O,O
IOTLSJZ,O,X,X,X,X
IOTLSZJ,O,O,X,O,O
IOTLZJS,X,O,O,O,O
IOTLZSJ,O,O,X,O,O
IOTJLSZ,X,O,X,O,X
IOTJLZS,X,O,O,O,O
IOTJSLZ,O,X,X,X,X
IOTJSZL,O,X,X,X,X
IOTJZLS,X,O,O,O,O
IOTJZSL,X,X,O,X,O
IOTSLJZ,O,X,X,X,X
IOTSLZJ,O,X,X,X,O
IOTSJLZ,O,X,X,X,X
IOTSJZL,O,X,X,X,X
IOTSZLJ,O,X,X,X,O
IOTSZJL,O,X,X,X,O
IOTZLJS,X,O,O,O,O
IOTZLSJ,O,O,X,O,O
IOTZJLS,X,O,O,X,O
IOTZJSL,O,X,O,X,O
IOTZSLJ,O,X,X,X,O
IOTZSJL,O,X,X,X,O
IOLTJSZ,O,O,X,O,X
IOLTJZS,X,O,O,O,O
IOLTSJZ,O,X,X,X,X
IOLTSZJ,O,O,X,O,O
IOLTZJS,O,O,O,O,O
IOLTZSJ,O,O,X,O,O
IOLJTSZ,O,O,X,X,X
IOLJTZS,X,O,O,X,X
IOLJSTZ,O,O,X,X,X
IOLJSZT,O,O,O,X,X
IOLJZTS,X,O,O,X,X
IOLJZST,X,O,O,X,X
IOLSTJZ,O,X,X,X,X
IOLSTZJ,O,O,X,X,X
IOLSJTZ,O,O,X,X,X
IOLSJZT,O,O,O,X,X
IOLSZTJ,O,O,X,X,X
IOLSZJT,O,X,O,X,X
IOLZTJS,O,O,O,X,X
IOLZTSJ,O,O,X,X,X
IOLZJTS,O,O,O,X,X
IOLZJST,O,O,O,X,X
IOLZSTJ,O,O,X,X,X
IOLZSJT,O,X,O,X,X
IOJTLSZ,X,O,X,O,X
IOJTLZS,X,O,O,O,O
IOJTSLZ,O,X,X,X,X
IOJTSZL,O,X,X,X,X
IOJTZLS,X,O,O,O,O
IOJTZSL,X,X,O,X,O
IOJLTSZ,O,O,X,X,X
IOJLTZS,X,O,O,X,X
IOJLSTZ,O,O,X,X,X
IOJLSZT,O,O,O,X,X
IOJLZTS,X,O,O,X,X
IOJLZST,X,O,O,X,X
IOJSTLZ,O,X,X,X,X
IOJSTZL,O,X,X,X,X
IOJSLTZ,O,O,X,X,X
IOJSLZT,O,O,O,X,X
IOJSZTL,O,X,O,X,X
IOJSZLT,X,O,O,X,X
IOJZTLS,X,O,O,O,X
IOJZTSL,X,X,O,X,X
IOJZLTS,X,O,O,X,X
IOJZLST,X,O,O,X,X
IOJZSTL,X,X,O,X,X
IOJZSLT,X,O,O,X,X
IOSTLJZ,O,X,X,X,X
IOSTLZJ,O,X,X,X,O
IOSTJLZ,O,X,X,X,X
IOSTJZL,O,X,X,X,X
IOSTZLJ,O,X,X,X,O
IOSTZJL,O,X,X,X,O
IOSLTJZ,O,X,X,X,X
IOSLTZJ,O,O,X,X,X
IOSLJTZ,O,O,X,X,X
IOSLJZT,O,O,O,X,X
IOSLZTJ,O,O,X,X,X
IOSLZJT,O,X,O,X,X
IOSJTLZ,O,X,X,X,X
IOSJTZL,O,X,X,X,X
IOSJLTZ,O,O,X,X,X
IOSJLZT,O,O,O,X,X
IOSJZTL,O,X,O,X,X
IOSJZLT,O,O,O,X,X
IOSZTLJ,O,X,X,X,X
IOSZTJL,O,X,X,X,X
IOSZLTJ,O,O,X,X,X
IOSZLJT,O,X,O,X,X
IOSZJTL,O,X,O,X,X
IOSZJLT,O,O,O,X,X
IOZTLJS,O,O,O,O,O
IOZTLSJ,O,O,X,O,O
IOZTJLS,X,O,O,X,O
IOZTJSL,O,X,O,X,O
IOZTSLJ,O,X,X,X,O
IOZTSJL,O,X,X,X,O
IOZLTJS,O,O,O,X,X
IOZLTSJ,O,O,X,X,X
IOZLJTS,O,O,O,X,X
IOZLJST,O,O,O,X,X
IOZLSTJ,O,O,X,X,X
IOZLSJT,O,X,O,X,X
IOZJTLS,X,O,O,O,X
IOZJTSL,O,X,O,X,X
IOZJLTS,O,O,O,X,X
IOZJLST,O,O,O,X,X
IOZJSTL,O,X,O,X,X
IOZJSLT,O,O,O,X,X
IOZSTLJ,O,X,X,X,X
IOZSTJL,O,X,X,X,X
IOZSLTJ,O,O,X,X,X
IOZSLJT,O,X,O,X,X
IOZSJTL,O,X,O,X,X
IOZSJLT,O,O,O,X,X
LTIJSZO,O,O,X,O,X
LTIJSOZ,O,O,X,O,X
LTIJZSO,X,O,O,O,O
LTIJZOS,X,O,O,O,O
LTIJOSZ,X,O,X,O,X
LTIJOZS,X,O,O,O,O
LTISJZO,O,X,X,X,X
LTISJOZ,O,X,X,X,X
LTISZJO,O,X,X,X,O
LTISZOJ,O,O,X,O,O
LTISOJZ,O,X,X,X,X
LTISOZJ,X,O,X,O,O
LTIZJSO,O,X,O,X,O
LTIZJOS,X,O,O,O,O
LTIZSJO,O,X,X,X,O
LTIZSOJ,O,O,X,O,O
LTIZOJS,X,O,O,O,O
