sequence,v115@JhC8EeA8BeB8EeE8CeA8Kex/IvhFlhBGjB0kB6sB/t?BzrB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF0hBliB5oBysBXl?BWxB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF6mBliB5oBesB8s?BXqB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF0hBxiB1sB6tBXl?BWxB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF6mBmiB5oB0nBXl?BVxB
TLJOIZS,X,O,O,O,O
TLJOSIZ,X,O,X,O,X
TLJOSZI,X,O,X,O,X
TLJOZIS,X,O,O,O,O
TLJOZSI,X,O,O,O,O
TLSIJZO,O,X,X,X,X
TLSIJOZ,O,X,X,X,X
TLSIZJO,O,X,X,X,O
TLSIZOJ,O,O,X,O,O
TLSIOJZ,O,X,X,X,X
TLSIOZJ,X,O,X,O,O
TLSJIZO,O,X,X,O,X
TLSJIOZ,O,X,X,O,X
TLSJZIO,O,X,X,O,X
TLSJZOI,O,X,X,O,X
TLSJOIZ,O,X,X,O,X
TLSJOZI,O,X,X,O,X
TLSZIJO,O,X,X,X,O
TLSZIOJ,O,O,X,O,O
TLSZJIO,O,X,X,X,O
TLSZJOI,O,X,X,X,O
TLSZOIJ,O,O,X,O,O
TLSZOJI,O,X,X,O,O
TLSOIJZ,O,X,X,X,X
TLSOIZJ,X,O,X,O,O
TLSOJIZ,O,X,X,O,X
TLSOJZI,O,X,X,O,X
TLSOZIJ,O,O,X,O,O
TLSOZJI,O,X,X,O,O
TLZIJSO,O,X,O,X,O
TLZIJOS,X,O,O,O,O
TLZISJO,O,X,X,X,O
TLZISOJ,O,O,X,O,O
TLZIOJS,X,O,O,O,O
TLZIOSJ,O,O,X,O,O
TLZJISO,O,X,O,O,O
TLZJIOS,X,O,O,O,O
TLZJSIO,O,X,O,O,O
TLZJSOI,O,X,O,O,O
TLZJOIS,X,O,O,O,O
TLZJOSI,X,X,O,O,O
TLZSIJO,O,X,X,X,O
TLZSIOJ,O,O,X,O,O
TLZSJIO,O,X,X,X,O
TLZSJOI,O,X,X,X,O
TLZSOIJ,O,O,X,O,O
TLZSOJI,O,X,X,O,O
TLZOIJS,X,O,O,O,O
TLZOISJ,O,O,X,O,O
TLZOJIS,X,O,O,O,O
TLZOJSI,X,X,O,O,O
TLZOSIJ,O,O,X,O,O
TLZOSJI,O,X,X,O,O
TLOIJSZ,X,O,X,O,X
TLOIJZS,X,O,O,O,O
TLOISJZ,O,X,X,X,X
TLOISZJ,X,O,X,O,O
TLOIZJS,X,O,O,O,O
TLOIZSJ,X,O,X,O,O
TLOJISZ,X,O,X,O,X
TLOJIZS,X,O,O,O,O
TLOJSIZ,X,O,X,O,X
TLOJSZI,X,O,X,O,X
TLOJZIS,X,O,O,O,O
TLOJZSI,X,O,O,O,O
TLOSIJZ,O,X,X,X,X
TLOSIZJ,X,O,X,O,O
TLOSJIZ,O,X,X,O,X
TLOSJZI,O,X,X,O,X
TLOSZIJ,O,O,X,O,O
TLOSZJI,O,X,X,O,O
TLOZIJS,X,O,O,O,O
TLOZISJ,O,O,X,O,O
TLOZJIS,X,O,O,O,O
TLOZJSI,X,X,O,O,O
TLOZSIJ,O,O,X,O,O
TLOZSJI,O,X,X,O,O
TJILSZO,O,O,X,O,X
TJILSOZ,O,O,X,O,X
TJILZSO,X,O,O,O,O
TJILZOS,X,O,O,O,O
TJILOSZ,X,O,X,O,X
TJILOZS,X,O,O,O,O
TJISLZO,O,X,X,X,X
TJISLOZ,O,X,X,X,X
TJISZLO,O,X,X,X,X
TJISZOL,O,X,X,X,X
TJISOLZ,O,X,X,X,X
TJISOZL,O,X,X,X,X
TJIZLSO,X,O,O,O,O
TJIZLOS,X,O,O,O,O
TJIZSLO,X,X,O,X,O
TJIZSOL,X,X,O,X,O
TJIZOLS,X,O,O,O,O
TJIZOSL,X,X,O,X,O
TJIOLSZ,X,O,X,O,X
TJIOLZS,X,O,O,O,O
TJIOSLZ,O,X,X,X,X
TJIOSZL,O,X,X,X,X
TJIOZLS,X,O,O,O,O
TJIOZSL,X,X,O,X,O
TJLISZO,O,O,X,O,X
TJLISOZ,O,O,X,O,X
TJLIZSO,X,O,O,O,O
TJLIZOS,X,O,O,O,O
TJLIOSZ,X,O,X,O,X
TJLIOZS,X,O,O,O,O
TJLSIZO,O,O,X,O,X
TJLSIOZ,O,O,X,O,X
TJLSZIO,O,O,X,O,X
TJLSZOI,O,O,X,O,X
TJLSOIZ,O,O,X,O,X
TJLSOZI,O,O,X,O,X
TJLZISO,O,O,O,O,O
TJLZIOS,X,O,O,O,O
TJLZSIO,O,O,O,O,O
TJLZSOI,O,O,O,O,O
TJLZOIS,X,O,O,O,O
TJLZOSI,X,O,O,O,O
TJLOISZ,X,O,X,O,X
TJLOIZS,X,O,O,O,O
TJLOSIZ,X,O,X,O,X
TJLOSZI,X,O,X,O,X
TJLOZIS,X,O,O,O,O
TJLOZSI,X,O,O,O,O
TJSILZO,O,X,X,X,X
TJSILOZ,O,X,X,X,X
TJSIZLO,O,X,X,X,X
TJSIZOL,O,X,X,X,X
TJSIOLZ,O,X,X,X,X
TJSIOZL,O,X,X,X,X
TJSLIZO,O,X,X,O,X
TJSLIOZ,O,X,X,O,X
TJSLZIO,O,X,X,O,X
TJSLZOI,X,X,X,O,X
TJSLOIZ,X,X,X,O,X
TJSLOZI,X,X,X,O,X
TJSZILO,O,X,X,X,X
TJSZIOL,O,X,X,X,X
TJSZLIO,O,X,X,O,X
TJSZLOI,X,X,X,O,X
TJSZOIL,O,X,X,X,X
TJSZOLI,X,X,X,O,X
TJSOILZ,O,X,X,X,X
TJSOIZL,O,X,X,X,X
TJSOLIZ,X,X,X,O,X
TJSOLZI,X,X,X,O,X
TJSOZIL,O,X,X,X,X
TJSOZLI,X,X,X,O,X
TJZILSO,O,O,O,O,O
TJZILOS,X,O,O,O,O
TJZISLO,O,X,O,X,O
TJZISOL,O,X,O,X,O
TJZIOLS,X,O,O,O,O
TJZIOSL,O,X,O,X,O
TJZLISO,O,O,O,O,O
TJZLIOS,X,O,O,O,O
TJZLSIO,O,O,O,O,O
TJZLSOI,O,O,O,O,O
TJZLOIS,X,O,O,O,O
TJZLOSI,X,O,O,O,O
TJZSILO,O,X,O,X,O
TJZSIOL,O,X,O,X,O
TJZSLIO,O,X,O,O,O
TJZSLOI,X,X,O,O,O
TJZSOIL,O,X,O,X,O
TJZSOLI,X,X,O,O,O
TJZOILS,X,O,O,O,O
TJZOISL,O,X,O,X,O
TJZOLIS,X,O,O,O,O
TJZOLSI,X,O,O,O,O
TJZOSIL,O,X,O,X,O
TJZOSLI,O,X,O,O,O
TJOILSZ,X,O,X,O,X
TJOILZS,X,O,O,O,O
TJOISLZ,O,X,X,X,X
TJOISZL,O,X,X,X,X
TJOIZLS,X,O,O,O,O
TJOIZSL,X,X,O,X,O
TJOLISZ,X,O,X,O,X
TJOLIZS,X,O,O,O,O
TJOLSIZ,X,O,X,O,X
TJOLSZI,X,O,X,O,X
TJOLZIS,X,O,O,O,O
TJOLZSI,X,O,O,O,O
TJOSILZ,O,X,X,X,X
TJOSIZL,O,X,X,X,X
TJOSLIZ,O,X,X,O,X
TJOSLZI,O,X,X,O,X
TJOSZIL,O,X,X,X,X
TJOSZLI,O,X,X,O,X
TJOZILS,X,O,O,O,O
TJOZISL,O,X,O,X,O
TJOZLIS,X,O,O,O,O
TJOZLSI,X,O,O,O,O
TJOZSIL,O,X,O,X,O
TJOZSLI,O,X,O,O,O
TSILJZO,O,X,X,X,X
TSILJOZ,O,X,X,X,X
TSILZJO,O,X,X,X,O
TSILZOJ,X,X,X,X,O
TSILOJZ,O,X,X,X,X
TSILOZJ,X,X,X,X,O
TSIJLZO,O,X,X,X,X
TSIJLOZ,O,X,X,X,X
TSIJZLO,O,X,X,X,X
TSIJZOL,O,X,X,X,X
TSIJOLZ,O,X,X,X,X
TSIJOZL,O,X,X,X,X
TSIZLJO,O,X,X,X,O
TSIZLOJ,X,X,X,X,O
TSIZJLO,O,X,X,X,O
TSIZJOL,O,X,X,X,O
TSIZOLJ,X,X,X,X,O
TSIZOJL,O,X,X,X,O
TSIOLJZ,O,X,X,X,X
TSIOLZJ,O,X,X,X,O
TSIOJLZ,O,X,X,X,X
TSIOJZL,O,X,X,X,X
TSIOZLJ,X,X,X,X,O
TSIOZJL,O,X,X,X,O
TSLIJZO,O,X,X,X,X
TSLIJOZ,O,X,X,X,X
TSLIZJO,O,X,X,X,O
TSLIZOJ,O,X,X,O,O
TSLIOJZ,O,X,X,X,X
TSLIOZJ,X,X,X,O,O
TSLJIZO,O,X,X,O,X
TSLJIOZ,O,X,X,O,X
TSLJZIO,O,X,X,O,X
TSLJZOI,O,X,X,O,X
TSLJOIZ,O,X,X,O,X
TSLJOZI,O,X,X,O,X
TSLZIJO,O,X,X,X,O
TSLZIOJ,O,X,X,O,O
TSLZJIO,O,X,X,X,O
TSLZJOI,O,X,X,X,O
TSLZOIJ,O,X,X,O,O
TSLZOJI,O,X,X,O,O
TSLOIJZ,O,X,X,X,X
TSLOIZJ,X,X,X,O,O
TSLOJIZ,O,X,X,O,X
TSLOJZI,O,X,X,O,X
TSLOZIJ,O,X,X,O,O
TSLOZJI,O,X,X,O,O
TSJILZO,O,X,X,X,X
TSJILOZ,O,X,X,X,X
TSJIZLO,O,X,X,X,X
TSJIZOL,O,X,X,X,X
TSJIOLZ,O,X,X,X,X
TSJIOZL,O,X,X,X,X
TSJLIZO,O,X,X,O,X
TSJLIOZ,O,X,X,O,X
TSJLZIO,O,X,X,O,X
TSJLZOI,O,X,X,O,X
TSJLOIZ,O,X,X,O,X
TSJLOZI,O,X,X,O,X
TSJZILO,O,X,X,X,X
TSJZIOL,O,X,X,X,X
TSJZLIO,O,X,X,O,X
TSJZLOI,O,X,X,O,X
TSJZOIL,O,X,X,X,X
TSJZOLI,O,X,X,O,X
TSJOILZ,O,X,X,X,X
TSJOIZL,O,X,X,X,X
TSJOLIZ,O,X,X,O,X
TSJOLZI,O,X,X,O,X
TSJOZIL,O,X,X,X,X
TSJOZLI,O,X,X,O,X
TSZILJO,O,X,X,X,O
TSZILOJ,O,X,X,X,O
TSZIJLO,O,X,X,X,O
TSZIJOL,O,X,X,X,O
TSZIOLJ,O,X,X,X,O
TSZIOJL,O,X,X,X,O
TSZLIJO,O,X,X,X,O
TSZLIOJ,O,X,X,O,O
TSZLJIO,O,X,X,X,O
TSZLJOI,O,X,X,X,O
TSZLOIJ,O,X,X,O,O
TSZLOJI,O,X,X,O,O
TSZJILO,O,X,X,X,O
TSZJIOL,O,X,X,X,O
TSZJLIO,O,X,X,X,O
TSZJLOI,O,X,X,X,O
TSZJOIL,O,X,X,X,O
TSZJOLI,O,X,X,X,O
TSZOILJ,O,X,X,X,O
TSZOIJL,O,X,X,X,O
TSZOLIJ,O,X,X,O,O
TSZOLJI,O,X,X,O,O
TSZOJIL,O,X,X,X,O
TSZOJLI,O,X,X,X,O
TSOILJZ,O,X,X,X,X
TSOILZJ,O,X,X,X,O
TSOIJLZ,O,X,X,X,X
TSOIJZL,O,X,X,X,X
TSOIZLJ,O,X,X,X,O
TSOIZJL,O,X,X,X,O
TSOLIJZ,O,X,X,X,X
TSOLIZJ,O,X,X,O,O
TSOLJIZ,O,X,X,O,X
TSOLJZI,O,X,X,O,X
TSOLZIJ,O,X,X,O,O
TSOLZJI,O,X,X,O,O
TSOJILZ,O,X,X,X,X
TSOJIZL,O,X,X,X,X
TSOJLIZ,O,X,X,O,X
TSOJLZI,O,X,X,O,X
TSOJZIL,O,X,X,X,X
TSOJZLI,O,X,X,O,X
TSOZILJ,O,X,X,X,O
TSOZIJL,O,X,X,X,O
TSOZLIJ,O,X,X,O,O
TSOZLJI,O,X,X,O,O
TSOZJIL,O,X,X,X,O
TSOZJLI,O,X,X,X,O
TZILJSO,O,X,O,X,O
TZILJOS,X,O,O,O,O
TZILSJO,O,X,X,X,O
TZILSOJ,O,O,X,O,O
TZILOJS,X,O,O,O,O
TZILOSJ,O,O,X,O,O
TZIJLSO,O,O,O,X,O
TZIJLOS,X,O,O,X,O
TZIJSLO,O,X,O,X,O
TZIJSOL,O,X,O,X,O
TZIJOLS,X,O,O,X,O
TZIJOSL,O,X,O,X,O
TZISLJO,O,X,X,X,O
TZISLOJ,O,X,X,X,O
TZISJLO,O,X,X,X,O
TZISJOL,O,X,X,X,O
TZISOLJ,O,X,X,X,O
TZISOJL,O,X,X,X,O
TZIOLJS,O,O,O,O,O
TZIOLSJ,O,O,X,O,O
TZIOJLS,X,O,O,X,O
TZIOJSL,O,X,O,X,O
TZIOSLJ,O,X,X,X,O
TZIOSJL,O,X,X,X,O
TZLIJSO,O,X,O,X,O
TZLIJOS,X,O,O,O,O
TZLISJO,O,X,X,X,O
TZLISOJ,O,O,X,O,O
TZLIOJS,X,O,O,O,O
TZLIOSJ,O,O,X,O,O
TZLJISO,O,X,O,O,O
TZLJIOS,X,O,O,O,O
TZLJSIO,O,X,O,O,O
TZLJSOI,O,X,O,O,O
TZLJOIS,X,O,O,O,O
TZLJOSI,X,X,O,O,O
TZLSIJO,O,X,X,X,O
TZLSIOJ,O,O,X,O,O
TZLSJIO,O,X,X,X,O
TZLSJOI,O,X,X,X,O
TZLSOIJ,O,O,X,O,O
TZLSOJI,O,X,X,O,O
TZLOIJS,X,O,O,O,O
TZLOISJ,O,O,X,O,O
TZLOJIS,X,O,O,O,O
TZLOJSI,X,X,O,O,O
TZLOSIJ,O,O,X,O,O
TZLOSJI,O,X,X,O,O
TZJILSO,O,O,O,O,O
TZJILOS,X,O,O,O,O
TZJISLO,O,X,O,X,O
TZJISOL,O,X,O,X,O
TZJIOLS,X,O,O,O,O
TZJIOSL,O,X,O,X,O
TZJLISO,O,O,O,O,O
TZJLIOS,X,O,O,O,O
TZJLSIO,O,O,O,O,O
TZJLSOI,O,O,O,O,O
TZJLOIS,X,O,O,O,O
TZJLOSI,X,O,O,O,O
TZJSILO,O,X,O,X,O
TZJSIOL,O,X,O,X,O
TZJSLIO,O,X,O,O,O
TZJSLOI,X,X,O,O,O
TZJSOIL,O,X,O,X,O
TZJSOLI,X,X,O,O,O
TZJOILS,X,O,O,O,O
TZJOISL,O,X,O,X,O
TZJOLIS,X,O,O,O,O
TZJOLSI,X,O,O,O,O
TZJOSIL,O,X,O,X,O
TZJOSLI,O,X,O,O,O
TZSILJO,O,X,X,X,O
TZSILOJ,O,X,X,X,O
TZSIJLO,O,X,X,X,O
TZSIJOL,O,X,X,X,O
TZSIOLJ,O,X,X,X,O
TZSIOJL,O,X,X,X,O
TZSLIJO,O,X,X,X,O
TZSLIOJ,O,X,X,O,O
TZSLJIO,O,X,X,X,O
TZSLJOI,O,X,X,X,O
TZSLOIJ,O,X,X,O,O
TZSLOJI,O,X,X,O,O
TZSJILO,O,X,X,X,O
TZSJIOL,O,X,X,X,O
TZSJLIO,O,X,X,X,O
TZSJLOI,O,X,X,X,O
TZSJOIL,O,X,X,X,O
TZSJOLI,O,X,X,X,O
TZSOILJ,O,X,X,X,O
TZSOIJL,O,X,X,X,O
TZSOLIJ,O,X,X,O,O
TZSOLJI,O,X,X,O,O
TZSOJIL,O,X,X,X,O
TZSOJLI,O,X,X,X,O
TZOILJS,O,O,O,O,O
TZOILSJ,O,O,X,O,O
TZOIJLS,X,O,O,X,O
TZOIJSL,O,X,O,X,O
TZOISLJ,O,X,X,X,O
TZOISJL,O,X,X,X,O
TZOLIJS,O,O,O,O,O
TZOLISJ,O,O,X,O,O
TZOLJIS,O,O,O,O,O
TZOLJSI,O,X,O,O,O
TZOLSIJ,O,O,X,O,O
TZOLSJI,O,X,X,O,O
TZOJILS,X,O,O,O,O
TZOJISL,O,X,O,X,O
TZOJLIS,X,O,O,O,O
TZOJLSI,X,O,O,O,O
TZOJSIL,O,X,O,X,O
TZOJSLI,O,X,O,O,O
TZOSILJ,O,X,X,X,O
TZOSIJL,O,X,X,X,O
TZOSLIJ,O,X,X,O,O
TZOSLJI,O,X,X,O,O
TZOSJIL,O,X,X,X,O
TZOSJLI,O,X,X,X,O
TOILJSZ,O,O,X,O,X
TOILJZS,X,O,O,O,O
TOILSJZ,O,X,X,X,X
TOILSZJ,O,O,X,O,O
TOILZJS,X,O,O,O,O
TOILZSJ,O,O,X,O,O
TOIJLSZ,X,O,X,O,X
TOIJLZS,X,O,O,O,O
TOIJSLZ,O,X,X,X,X
TOIJSZL,O,X,X,X,X
TOIJZLS,X,O,O,O,O
TOIJZSL,X,X,O,X,O
TOISLJZ,O,X,X,X,X
TOISLZJ,O,X,X,X,O
TOISJLZ,O,X,X,X,X
TOISJZL,O,X,X,X,X
TOISZLJ,O,X,X,X,O
TOISZJL,O,X,X,X,O
TOIZLJS,X,O,O,O,O
TOIZLSJ,O,O,X,O,O
TOIZJLS,X,O,O,X,O
TOIZJSL,O,X,O,X,O
TOIZSLJ,O,X,X,X,O
TOIZSJL,O,X,X,X,O
TOLIJSZ,O,O,X,O,X
TOLIJZS,X,O,O,O,O
TOLISJZ,O,X,X,X,X
TOLISZJ,O,O,X,O,O
TOLIZJS,O,O,O,O,O
TOLIZSJ,O,O,X,O,O
TOLJISZ,O,O,X,O,X
TOLJIZS,X,O,O,O,O
TOLJSIZ,O,O,X,O,X
TOLJSZI,O,O,X,O,X
TOLJZIS,O,O,O,O,O
TOLJZSI,O,O,O,O,O
TOLSIJZ,O,X,X,X,X
TOLSIZJ,O,O,X,O,O
TOLSJIZ,O,X,X,O,X
TOLSJZI,O,X,X,O,X
TOLSZIJ,O,O,X,O,O
TOLSZJI,O,X,X,O,O
TOLZIJS,O,O,O,O,O
TOLZISJ,O,O,X,O,O
TOLZJIS,O,O,O,O,O
TOLZJSI,O,X,O,O,O
TOLZSIJ,O,O,X,O,O
TOLZSJI,O,X,X,O,O
TOJILSZ,X,O,X,O,X
TOJILZS,X,O,O,O,O
