sequence,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8Ke0AJvhFlhB3iB?5oBWqByvBzrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KelBJvhF3iB5oB?arBGlBUqBzrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeXBJvhFliB5oB?crBesBClBTqB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeXBJvhFliB5oB?asBGlBUqBTrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KelBJvhF3iB5oB?cqBerBClBzrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeTBJvhFliB5oB?cqBesBClBXrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KelAJvhF3iB5oB?0mBWqByvBzrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KelCJvhF5oBcqB?TmBesBClBXrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeXBJvhF5oBFnB?GlBUqBTrBisB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8Ke8FJvhF3iB5oB?1rBClB2vBzrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeVGJvhF3iB5oB?SqBzmB2wBUqB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeXBJvhFliB5oB?zmBSqB2wBUqB
TILJSZO,X,O,X,O,X,X,O,X,X,X,X,X
TILJSOZ,X,X,X,O,X,X,X,X,X,X,X,X
TILJZSO,X,X,O,O,X,O,O,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,O,X,X,X,X
TILJOSZ,X,X,X,O,X,X,X,X,X,X,X,X
TILJOZS,X,X,O,X,X,X,X,X,X,X,X,X
TILSJZO,O,O,X,O,X,X,O,X,X,X,X,X
TILSJOZ,X,X,X,O,X,X,X,X,X,X,X,X
TILSZJO,O,O,X,O,X,X,O,X,X,X,X,X
TILSZOJ,O,O,X,O,X,X,O,X,X,X,X,X
TILSOJZ,X,X,X,O,X,X,X,X,X,X,X,X
TILSOZJ,O,O,X,O,X,X,O,X,O,X,X,X
TILZJSO,O,X,X,O,X,O,O,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,X,O,X,X,X,X
TILZSJO,O,O,X,O,X,X,O,X,X,X,X,X
TILZSOJ,O,O,X,O,X,X,O,X,X,X,X,X
TILZOJS,O,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,O,X,X,O,X,X,O,X,X,X,X,X
TILOJSZ,O,O,X,O,X,X,X,X,X,X,X,X
TILOJZS,O,X,O,X,X,X,X,X,X,X,X,X
TILOSJZ,O,O,X,O,X,X,X,X,X,X,X,X
TILOSZJ,O,O,X,O,X,X,O,X,O,X,X,X
TILOZJS,O,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,O,O,X,O,X,X,O,X,X,X,X,X
TIJLSZO,X,X,X,O,X,X,O,X,X,O,O,X
TIJLSOZ,X,X,X,O,X,X,X,X,X,X,O,X
TIJLZSO,X,X,O,O,X,O,O,X,X,O,X,X
TIJLZOS,X,X,X,X,X,X,X,O,X,X,X,X
TIJLOSZ,X,X,X,O,X,X,X,X,X,X,X,X
TIJLOZS,X,X,O,X,X,X,X,X,X,X,X,X
TIJSLZO,X,X,X,X,X,X,X,X,X,O,O,X
TIJSLOZ,X,X,X,X,X,X,X,X,X,X,O,X
TIJSZLO,X,X,O,X,X,O,X,X,X,O,O,X
TIJSZOL,X,X,O,X,X,O,X,O,X,O,O,X
TIJSOLZ,X,X,X,X,X,X,X,X,X,X,O,X
TIJSOZL,X,X,O,X,X,X,X,X,O,O,O,X
TIJZLSO,X,X,O,O,X,O,X,X,X,O,X,X
TIJZLOS,X,X,X,X,X,X,X,O,X,X,X,X
TIJZSLO,X,X,O,X,X,O,X,X,X,O,O,X
TIJZSOL,X,X,O,X,X,O,X,O,X,O,O,X
TIJZOLS,X,X,O,X,X,X,X,O,X,X,X,X
TIJZOSL,X,X,O,X,X,O,X,O,X,O,X,X
TIJOLSZ,X,X,X,X,X,X,X,X,X,X,X,O
TIJOLZS,X,X,O,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,X,X,X,X,X,O,O
TIJOSZL,X,X,O,X,X,X,X,X,O,O,O,O
TIJOZLS,X,X,O,X,X,X,X,O,X,X,X,X
TIJOZSL,X,X,O,X,X,O,X,O,X,O,X,O
TISLJZO,O,O,X,O,X,X,O,X,X,X,X,X
TISLJOZ,X,X,X,O,X,X,X,X,X,X,X,X
TISLZJO,O,O,X,O,X,X,O,X,X,X,X,X
TISLZOJ,O,O,X,O,X,X,O,X,X,X,X,X
TISLOJZ,X,X,X,O,X,X,X,X,X,X,X,X
TISLOZJ,O,O,X,O,X,X,O,X,O,X,X,X
TISJLZO,O,O,X,X,X,X,X,X,X,O,O,X
TISJLOZ,X,X,X,X,X,X,X,X,X,X,O,X
TISJZLO,O,X,O,X,X,O,X,X,X,O,O,X
TISJZOL,O,X,O,X,X,O,X,O,X,O,O,X
TISJOLZ,X,X,X,X,X,X,X,X,X,X,O,X
TISJOZL,X,X,O,X,X,X,X,X,O,O,O,X
TISZLJO,O,O,X,O,X,X,X,X,X,X,X,X
TISZLOJ,O,O,X,O,X,X,X,X,X,X,X,X
TISZJLO,O,X,X,X,O,O,X,X,X,X,X,X
TISZJOL,O,X,X,X,O,O,X,O,X,X,X,X
TISZOLJ,X,O,X,X,X,X,X,X,O,X,X,X
TISZOJL,O,X,X,X,O,X,X,X,O,X,X,X
TISOLJZ,O,O,X,X,X,X,X,X,X,X,X,X
TISOLZJ,O,O,X,X,X,X,X,X,O,X,X,X
TISOJLZ,O,O,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,X,O,X,X,X,X,X,O,X,X,X
TISOZLJ,O,O,X,X,X,X,X,X,O,X,X,X
TISOZJL,O,X,X,X,O,X,X,X,O,X,X,X
TIZLJSO,O,O,X,O,X,O,O,X,X,X,X,X
TIZLJOS,X,X,X,X,X,X,X,O,X,X,X,X
TIZLSJO,O,O,X,O,X,X,O,X,X,X,X,X
TIZLSOJ,O,O,X,O,X,X,O,X,X,X,X,X
TIZLOJS,O,O,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,O,X,O,X,X,O,X,X,X,X,X
TIZJLSO,X,X,O,O,O,O,X,X,X,X,X,X
TIZJLOS,X,X,X,X,X,X,X,O,X,X,X,X
TIZJSLO,O,X,O,X,O,O,X,X,X,X,X,X
TIZJSOL,O,X,O,X,O,O,X,O,X,X,X,X
TIZJOLS,X,X,O,X,O,X,X,O,X,X,X,X
TIZJOSL,X,X,O,X,O,O,X,O,X,X,X,X
TIZSLJO,O,O,X,O,X,X,X,X,X,X,X,X
TIZSLOJ,O,O,X,O,X,X,X,X,X,X,X,X
TIZSJLO,O,X,O,X,O,O,X,X,X,X,X,X
TIZSJOL,O,X,O,X,O,O,X,O,X,X,X,X
TIZSOLJ,X,O,X,X,X,X,X,X,O,X,X,X
TIZSOJL,O,X,X,X,O,O,X,X,O,X,X,X
TIZOLJS,X,O,X,O,X,X,X,X,X,X,X,X
TIZOLSJ,O,O,X,O,X,X,X,X,O,X,X,X
TIZOJLS,X,X,O,X,O,X,X,O,X,X,X,X
TIZOJSL,O,X,O,X,O,O,X,O,O,X,X,X
TIZOSLJ,O,O,X,X,X,X,X,X,O,X,X,X
