sequence,v115@KhA8FeD8DeC8AeC8DeA8Jex/IvhF0hB6nBTjB/rB2x?BlpB,v115@KhA8FeD8DeC8AeC8DeA8JeFAJvhFmhBTjBxrB/pBqs?B0rB,v115@KhA8FeD8DeC8AeC8DeA8JeFAJvhFihBxrB/pBusBct?BzrB,v115@KhA8FeD8DeC8AeC8DeA8Je2EJvhFxhBTjB/rB0sBFs?BCqB,v115@KhA8FeD8DeC8AeC8DeA8Jex/IvhFKmBzhBXsBusBct?BlpB,v115@KhA8FeD8DeC8AeC8DeA8Jex/IvhFKmB3iBTsBurBct?BlpB,v115@KhA8FeD8DeC8AeC8DeA8JeFAJvhFymBGjBxrB/pBzs?B0rB,v115@KhA8FeD8DeC8AeC8DeA8Jex/IvhFKmBWnBTjB0sBlp?BXsB,v115@KhA8FeD8DeC8AeC8DeA8JeFAJvhFKmBGjBRnB0sB/p?BzrB,v115@KhA8FeD8DeC8AeC8DeA8JeFAJvhFmhBSoBxrB/pB0r?BzsB,v115@KhA8FeD8DeC8AeC8DeA8Je2EJvhFTjBxrB/rB0sBCq?BFsB,v115@KhA8FeD8DeC8AeC8DeA8Jex/IvhF0hBTjB2rBqsBlp?BXsB,v115@KhA8FeD8DeC8AeC8DeA8Jex/IvhFThBSoB/sB0rBlp?BmsB,v115@KhA8FeD8DeC8AeC8DeA8Jex/IvhF0hBSoB/rBTsBlp?BmsB,v115@KhA8FeD8DeC8AeC8DeA8JeFAJvhFxhBTjBmmBqsB0r?B/pB,v115@KhA8FeD8DeC8AeC8DeA8Jex/IvhFOmBTjBCnB0sBlp?BXsB,v115@KhA8FeD8DeC8AeC8DeA8Je2EJvhFTjBxmB/rB0sBCq?BFsB,v115@KhA8FeD8DeC8AeC8DeA8Je2EJvhFTmBxnBcsBCqBlr?BXtB,v115@KhA8FeD8DeC8AeC8DeA8Jex/IvhFOmB8mBTjBXsBqs?BlpB
TILJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSJOZ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSZOJ,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TILSOJZ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TILZJSO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZJOS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZSOJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZOJS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
