sequence,v115@9gC8GeA8IeB8HeC8CeC8KeSFJvhFlhBziB5oB/rB2s?B0qB,v115@9gC8GeA8IeB8HeC8CeC8KeSFJvhFThBmiB5oB0nBlq?B3rB,v115@9gC8GeA8IeB8HeC8CeC8KeGBJvhFiiB5oBFlB8qBzn?B3rB,v115@9gC8GeA8IeB8HeC8CeC8KezAJvhFumB3iB5oBUlBys?BVwB,v115@9gC8GeA8IeB8HeC8CeC8KezAJvhFCiBeoB5oBUlBXn?BVwB,v115@9gC8GeA8IeB8HeC8CeC8KeGBJvhFTiBRlB6tBXoB0q?BlrB,v115@9gC8GeA8IeB8HeC8CeC8KeGBJvhFTiBRlBXoB6tB0q?BlrB
TILJSZO,O,O,X,O,O,X,X
TILJSOZ,O,O,X,O,O,O,O
TILJZSO,O,O,X,O,O,X,X
TILJZOS,O,O,X,O,O,O,X
TILJOSZ,O,X,X,O,O,O,O
TILJOZS,O,O,X,O,X,O,X
TILSJZO,O,O,O,O,X,X,X
TILSJOZ,O,O,X,O,X,O,O
TILSZJO,O,O,O,O,X,X,X
TILSZOJ,X,O,O,O,X,X,X
TILSOJZ,O,O,O,O,X,O,O
TILSOZJ,X,O,O,O,X,X,X
TILZJSO,O,O,X,O,O,O,X
TILZJOS,O,O,O,O,O,O,X
TILZSJO,O,O,X,O,X,O,X
TILZSOJ,O,O,X,O,X,O,X
TILZOJS,X,O,O,O,O,O,X
TILZOSJ,X,O,O,O,X,O,X
TILOJSZ,X,X,O,O,O,O,O
TILOJZS,X,O,O,O,X,O,X
TILOSJZ,X,O,O,O,X,O,O
TILOSZJ,X,O,O,O,X,X,X
TILOZJS,X,O,O,O,X,O,X
TILOZSJ,X,O,O,O,X,X,X
TIJLSZO,O,O,X,O,O,X,X
TIJLSOZ,O,O,X,O,O,O,O
TIJLZSO,O,O,X,O,O,X,X
TIJLZOS,O,O,X,O,O,O,X
TIJLOSZ,O,X,X,O,O,O,O
TIJLOZS,O,O,X,O,X,O,X
TIJSLZO,O,O,O,O,O,X,X
TIJSLOZ,O,O,X,O,O,O,O
TIJSZLO,O,O,O,O,O,X,X
TIJSZOL,O,O,O,O,O,X,O
TIJSOLZ,O,O,O,O,O,O,O
TIJSOZL,O,O,O,X,O,X,O
TIJZLSO,O,O,X,O,O,X,X
TIJZLOS,O,O,O,O,O,O,X
TIJZSLO,O,O,X,O,O,X,X
TIJZSOL,O,O,O,O,O,X,O
TIJZOLS,O,O,O,O,O,O,X
TIJZOSL,O,O,O,O,O,X,O
TIJOLSZ,O,X,O,O,O,O,O
TIJOLZS,O,O,O,O,X,O,X
TIJOSLZ,O,X,O,O,O,O,O
TIJOSZL,O,X,O,X,O,X,O
TIJOZLS,O,O,O,O,O,O,X
TIJOZSL,O,O,O,O,O,X,O
TISLJZO,O,O,O,O,O,X,X
TISLJOZ,O,O,O,O,O,O,O
TISLZJO,O,O,O,O,O,X,X
TISLZOJ,X,O,O,O,O,X,X
TISLOJZ,O,O,O,O,O,O,O
TISLOZJ,X,O,O,O,X,X,X
TISJLZO,O,O,O,O,O,X,X
TISJLOZ,O,O,O,O,O,O,O
TISJZLO,O,O,O,O,O,X,X
TISJZOL,O,O,O,O,O,X,O
TISJOLZ,O,O,O,O,O,O,O
TISJOZL,O,O,O,X,O,X,O
TISZLJO,O,O,O,O,O,X,O
TISZLOJ,X,O,O,O,O,X,O
TISZJLO,O,O,O,O,O,X,O
TISZJOL,O,O,O,O,O,X,O
TISZOLJ,X,O,O,O,O,X,O
