sequence,v115@IhB8HeC8FeD8BeC8KeOEJvhF0gBlhB3iB5oBysBTrB,v115@IhB8HeC8FeD8BeC8KeOEJvhFlgBcmBiiB5oBznB3rB,v115@IhB8HeC8FeD8BeC8KeOEJvhF0gB/nBaoB5oB1rBTrB
IJTSZOL,X,O,O
IJTSOLZ,X,O,O
IJTSOZL,X,O,O
IJTZLSO,O,X,O
IJTZLOS,O,X,X
IJTZSLO,O,X,O
IJTZSOL,X,X,O
IJTZOLS,O,X,X
IJTZOSL,X,X,O
IJTOLSZ,O,O,X
IJTOLZS,O,X,X
IJTOSLZ,O,O,O
IJTOSZL,O,O,O
IJTOZLS,O,X,X
IJTOZSL,O,X,O
IJLTSZO,O,X,O
IJLTSOZ,O,X,O
IJLTZSO,O,X,O
IJLTZOS,O,X,X
IJLTOSZ,O,X,X
IJLTOZS,O,X,X
IJLSTZO,O,O,O
IJLSTOZ,O,X,O
IJLSZTO,O,O,O
IJLSZOT,O,O,X
IJLSOTZ,O,O,O
IJLSOZT,O,O,X
IJLZTSO,O,X,O
IJLZTOS,O,X,X
IJLZSTO,O,X,O
IJLZSOT,O,X,X
IJLZOTS,O,X,X
IJLZOST,O,X,X
IJLOTSZ,O,O,X
IJLOTZS,O,X,X
IJLOSTZ,O,O,O
IJLOSZT,O,O,X
IJLOZTS,O,X,X
IJLOZST,O,O,X
IJSTLZO,X,O,O
IJSTLOZ,X,X,O
IJSTZLO,X,O,O
IJSTZOL,X,O,O
IJSTOLZ,X,O,O
IJSTOZL,X,O,O
IJSLTZO,O,O,O
IJSLTOZ,O,X,O
IJSLZTO,O,O,O
IJSLZOT,O,O,X
IJSLOTZ,O,O,O
IJSLOZT,O,O,X
IJSZTLO,O,O,O
IJSZTOL,X,O,O
IJSZLTO,O,O,O
IJSZLOT,O,O,X
IJSZOTL,X,O,X
IJSZOLT,X,O,X
IJSOTLZ,O,O,O
IJSOTZL,O,O,O
IJSOLTZ,O,O,O
IJSOLZT,O,O,X
IJSOZTL,O,O,X
IJSOZLT,O,O,X
IJZTLSO,O,X,O
IJZTLOS,O,X,X
IJZTSLO,O,X,O
IJZTSOL,X,X,O
IJZTOLS,O,X,X
IJZTOSL,X,X,O
IJZLTSO,O,X,O
IJZLTOS,O,X,X
IJZLSTO,O,X,O
IJZLSOT,O,X,X
IJZLOTS,O,X,X
IJZLOST,O,X,X
IJZSTLO,O,O,O
IJZSTOL,X,O,O
IJZSLTO,O,O,O
IJZSLOT,O,O,X
IJZSOTL,X,O,X
IJZSOLT,X,O,X
IJZOTLS,O,X,X
IJZOTSL,O,X,O
IJZOLTS,O,X,X
IJZOLST,O,O,X
IJZOSTL,O,O,X
IJZOSLT,O,O,X
IJOTLSZ,O,O,X
IJOTLZS,O,X,X
IJOTSLZ,O,O,O
IJOTSZL,O,O,O
IJOTZLS,O,X,X
IJOTZSL,O,X,O
IJOLTSZ,O,O,X
IJOLTZS,O,X,X
IJOLSTZ,O,O,O
IJOLSZT,O,O,X
IJOLZTS,O,X,X
IJOLZST,O,O,X
IJOSTLZ,O,O,O
IJOSTZL,O,O,O
IJOSLTZ,O,O,O
IJOSLZT,O,O,X
IJOSZTL,O,O,X
IJOSZLT,O,O,X
IJOZTLS,O,X,X
IJOZTSL,O,X,O
IJOZLTS,O,X,X
IJOZLST,O,O,X
IJOZSTL,O,O,X
IJOZSLT,O,O,X
ISTLJZO,X,O,O
ISTLJOZ,X,X,O
ISTLZJO,X,O,O
ISTLZOJ,X,O,O
ISTLOJZ,X,X,O
ISTLOZJ,X,X,O
ISTJLZO,X,O,O
ISTJLOZ,X,X,O
ISTJZLO,X,O,O
ISTJZOL,X,O,O
ISTJOLZ,X,O,O
ISTJOZL,X,O,O
ISTZLJO,X,O,O
ISTZLOJ,X,O,O
ISTZJLO,X,O,O
ISTZJOL,X,O,O
ISTZOLJ,X,O,O
ISTZOJL,X,O,O
ISTOLJZ,X,O,O
ISTOLZJ,X,O,O
ISTOJLZ,X,O,O
ISTOJZL,X,O,O
ISTOZLJ,X,O,O
ISTOZJL,X,O,O
ISLTJZO,O,O,O
ISLTJOZ,O,X,O
ISLTZJO,O,O,O
ISLTZOJ,O,O,O
ISLTOJZ,O,X,O
ISLTOZJ,O,X,O
ISLJTZO,O,O,O
ISLJTOZ,O,X,O
ISLJZTO,O,O,O
ISLJZOT,O,O,X
ISLJOTZ,O,O,O
ISLJOZT,O,O,X
ISLZTJO,O,O,O
ISLZTOJ,O,O,O
ISLZJTO,O,O,O
ISLZJOT,O,O,X
ISLZOTJ,O,O,X
ISLZOJT,O,O,X
ISLOTJZ,O,O,O
ISLOTZJ,O,O,O
ISLOJTZ,O,O,O
ISLOJZT,O,O,X
ISLOZTJ,O,O,X
ISLOZJT,O,O,X
ISJTLZO,X,O,O
ISJTLOZ,X,X,O
ISJTZLO,X,O,O
ISJTZOL,X,O,O
ISJTOLZ,X,O,O
ISJTOZL,X,O,O
ISJLTZO,O,O,O
ISJLTOZ,O,X,O
ISJLZTO,O,O,O
ISJLZOT,O,O,X
ISJLOTZ,O,O,O
ISJLOZT,O,O,X
ISJZTLO,O,O,O
ISJZTOL,X,O,O
ISJZLTO,O,O,O
ISJZLOT,O,O,X
ISJZOTL,X,O,X
ISJZOLT,X,O,X
ISJOTLZ,O,O,O
ISJOTZL,O,O,O
ISJOLTZ,O,O,O
ISJOLZT,O,O,X
ISJOZTL,O,O,X
ISJOZLT,O,O,X
ISZTLJO,O,O,O
ISZTLOJ,O,O,O
ISZTJLO,O,O,O
ISZTJOL,X,O,O
ISZTOLJ,X,O,O
ISZTOJL,X,O,O
ISZLTJO,O,O,O
ISZLTOJ,O,O,O
ISZLJTO,O,O,O
ISZLJOT,O,O,X
ISZLOTJ,O,O,X
ISZLOJT,O,O,X
ISZJTLO,O,O,O
ISZJTOL,X,O,O
ISZJLTO,O,O,O
ISZJLOT,O,O,X
ISZJOTL,X,O,X
ISZJOLT,X,O,X
ISZOTLJ,X,O,X
ISZOTJL,X,O,X
ISZOLTJ,X,O,X
ISZOLJT,X,O,X
ISZOJTL,X,O,X
ISZOJLT,X,O,X
ISOTLJZ,O,O,O
ISOTLZJ,O,O,O
ISOTJLZ,O,O,O
ISOTJZL,O,O,O
ISOTZLJ,O,O,O
ISOTZJL,O,O,O
ISOLTJZ,O,O,O
ISOLTZJ,O,O,O
ISOLJTZ,O,O,O
ISOLJZT,O,O,X
ISOLZTJ,O,O,X
ISOLZJT,O,O,X
ISOJTLZ,O,O,O
ISOJTZL,O,O,O
ISOJLTZ,O,O,O
ISOJLZT,O,O,X
ISOJZTL,O,O,X
ISOJZLT,O,O,X
ISOZTLJ,O,O,X
ISOZTJL,O,O,X
ISOZLTJ,O,O,X
ISOZLJT,O,O,X
ISOZJTL,O,O,X
ISOZJLT,O,O,X
IZTLJSO,O,X,O
IZTLJOS,O,X,X
IZTLSJO,O,X,O
IZTLSOJ,O,X,O
IZTLOJS,O,X,X
IZTLOSJ,O,X,X
IZTJLSO,O,X,O
IZTJLOS,O,X,X
IZTJSLO,O,X,O
IZTJSOL,X,X,O
IZTJOLS,O,X,X
IZTJOSL,X,X,O
IZTSLJO,O,X,O
IZTSLOJ,O,X,O
IZTSJLO,O,X,O
IZTSJOL,X,X,O
IZTSOLJ,X,X,O
IZTSOJL,X,X,O
IZTOLJS,O,X,X
IZTOLSJ,O,X,X
IZTOJLS,O,X,X
IZTOJSL,X,X,O
IZTOSLJ,X,X,O
IZTOSJL,X,X,O
IZLTJSO,O,X,O
IZLTJOS,O,X,X
IZLTSJO,O,X,O
IZLTSOJ,O,X,O
IZLTOJS,O,X,X
IZLTOSJ,O,X,X
IZLJTSO,O,X,O
IZLJTOS,O,X,X
IZLJSTO,O,X,O
IZLJSOT,O,X,X
IZLJOTS,O,X,X
IZLJOST,O,X,X
IZLSTJO,O,X,O
IZLSTOJ,O,X,O
IZLSJTO,O,X,O
IZLSJOT,O,X,X
IZLSOTJ,O,X,X
IZLSOJT,O,X,X
IZLOTJS,O,X,X
IZLOTSJ,O,X,X
IZLOJTS,O,X,X
IZLOJST,O,X,X
IZLOSTJ,O,X,X
IZLOSJT,O,X,X
IZJTLSO,O,X,O
IZJTLOS,O,X,X
IZJTSLO,O,X,O
IZJTSOL,X,X,O
IZJTOLS,O,X,X
IZJTOSL,X,X,O
IZJLTSO,O,X,O
IZJLTOS,O,X,X
IZJLSTO,O,X,O
IZJLSOT,O,X,X
IZJLOTS,O,X,X
IZJLOST,O,X,X
IZJSTLO,O,O,O
IZJSTOL,X,O,O
IZJSLTO,O,O,O
IZJSLOT,O,O,X
IZJSOTL,X,O,X
IZJSOLT,X,O,X
IZJOTLS,O,X,X
IZJOTSL,O,X,O
IZJOLTS,O,X,X
IZJOLST,O,O,X
IZJOSTL,O,O,X
IZJOSLT,O,O,X
IZSTLJO,O,O,O
IZSTLOJ,O,O,O
IZSTJLO,O,O,O
IZSTJOL,X,O,O
IZSTOLJ,X,O,O
IZSTOJL,X,O,O
IZSLTJO,O,O,O
IZSLTOJ,O,O,O
IZSLJTO,O,O,O
IZSLJOT,O,O,X
IZSLOTJ,O,O,X
IZSLOJT,O,O,X
IZSJTLO,O,O,O
IZSJTOL,X,O,O
IZSJLTO,O,O,O
IZSJLOT,O,O,X
IZSJOTL,X,O,X
IZSJOLT,X,O,X
IZSOTLJ,X,O,X
IZSOTJL,X,O,X
IZSOLTJ,X,O,X
IZSOLJT,X,O,X
IZSOJTL,X,O,X
IZSOJLT,X,O,X
IZOTLJS,O,X,X
IZOTLSJ,O,X,X
IZOTJLS,O,X,X
IZOTJSL,O,X,O
IZOTSLJ,O,X,O
IZOTSJL,O,X,O
IZOLTJS,O,X,X
IZOLTSJ,O,X,X
IZOLJTS,O,X,X
IZOLJST,O,O,X
IZOLSTJ,O,O,X
IZOLSJT,O,O,X
IZOJTLS,O,X,X
IZOJTSL,O,X,O
IZOJLTS,O,X,X
IZOJLST,O,O,X
IZOJSTL,O,O,X
IZOJSLT,O,O,X
IZOSTLJ,O,O,X
IZOSTJL,O,O,X
IZOSLTJ,O,O,X
IZOSLJT,O,O,X
IZOSJTL,O,O,X
IZOSJLT,O,O,X
IOTLJSZ,O,O,X
IOTLJZS,O,X,X
IOTLSJZ,O,O,X
IOTLSZJ,O,O,X
IOTLZJS,O,X,X
IOTLZSJ,O,X,X
IOTJLSZ,O,O,X
IOTJLZS,O,X,X
IOTJSLZ,O,O,O
IOTJSZL,O,O,O
IOTJZLS,O,X,X
IOTJZSL,O,X,O
IOTSLJZ,O,O,O
IOTSLZJ,O,O,O
IOTSJLZ,O,O,O
IOTSJZL,O,O,O
IOTSZLJ,O,O,O
IOTSZJL,O,O,O
IOTZLJS,O,X,X
IOTZLSJ,O,X,X
IOTZJLS,O,X,X
IOTZJSL,O,X,O
IOTZSLJ,O,X,O
IOTZSJL,O,X,O
IOLTJSZ,O,O,X
IOLTJZS,O,X,X
IOLTSJZ,O,O,X
IOLTSZJ,O,O,X
IOLTZJS,O,X,X
IOLTZSJ,O,X,X
IOLJTSZ,O,O,X
IOLJTZS,O,X,X
IOLJSTZ,O,O,O
IOLJSZT,O,O,X
IOLJZTS,O,X,X
IOLJZST,O,O,X
IOLSTJZ,O,O,O
IOLSTZJ,O,O,O
IOLSJTZ,O,O,O
IOLSJZT,O,O,X
IOLSZTJ,O,O,X
IOLSZJT,O,O,X
IOLZTJS,O,X,X
IOLZTSJ,O,X,X
IOLZJTS,O,X,X
IOLZJST,O,O,X
IOLZSTJ,O,O,X
IOLZSJT,O,O,X
IOJTLSZ,O,O,X
IOJTLZS,O,X,X
IOJTSLZ,O,O,O
IOJTSZL,O,O,O
IOJTZLS,O,X,X
IOJTZSL,O,X,O
IOJLTSZ,O,O,X
IOJLTZS,O,X,X
IOJLSTZ,O,O,O
IOJLSZT,O,O,X
IOJLZTS,O,X,X
IOJLZST,O,O,X
IOJSTLZ,O,O,O
IOJSTZL,O,O,O
IOJSLTZ,O,O,O
IOJSLZT,O,O,X
IOJSZTL,O,O,X
IOJSZLT,O,O,X
IOJZTLS,O,X,X
IOJZTSL,O,X,O
IOJZLTS,O,X,X
IOJZLST,O,O,X
IOJZSTL,O,O,X
IOJZSLT,O,O,X
IOSTLJZ,O,O,O
IOSTLZJ,O,O,O
IOSTJLZ,O,O,O
IOSTJZL,O,O,O
IOSTZLJ,O,O,O
IOSTZJL,O,O,O
IOSLTJZ,O,O,O
IOSLTZJ,O,O,O
IOSLJTZ,O,O,O
IOSLJZT,O,O,X
IOSLZTJ,O,O,X
IOSLZJT,O,O,X
IOSJTLZ,O,O,O
IOSJTZL,O,O,O
IOSJLTZ,O,O,O
IOSJLZT,O,O,X
IOSJZTL,O,O,X
IOSJZLT,O,O,X
IOSZTLJ,O,O,X
IOSZTJL,O,O,X
IOSZLTJ,O,O,X
IOSZLJT,O,O,X
IOSZJTL,O,O,X
IOSZJLT,O,O,X
IOZTLJS,O,X,X
IOZTLSJ,O,X,X
IOZTJLS,O,X,X
IOZTJSL,O,X,O
IOZTSLJ,O,X,O
IOZTSJL,O,X,O
IOZLTJS,O,X,X
IOZLTSJ,O,X,X
IOZLJTS,O,X,X
IOZLJST,O,O,X
IOZLSTJ,O,O,X
IOZLSJT,O,O,X
IOZJTLS,O,X,X
IOZJTSL,O,X,O
IOZJLTS,O,X,X
IOZJLST,O,O,X
IOZJSTL,O,O,X
IOZJSLT,O,O,X
IOZSTLJ,O,O,X
IOZSTJL,O,O,X
IOZSLTJ,O,O,X
IOZSLJT,O,O,X
IOZSJTL,O,O,X
IOZSJLT,O,O,X
LTIJSZO,O,X,O
LTIJSOZ,O,X,O
LTIJZSO,O,X,O
LTIJZOS,O,X,X
LTIJOSZ,O,X,X
LTIJOZS,O,X,X
LTISJZO,O,X,O
LTISJOZ,O,X,O
LTISZJO,O,X,O
LTISZOJ,O,X,O
LTISOJZ,O,X,O
LTISOZJ,O,X,O
LTIZJSO,O,X,O
LTIZJOS,O,X,X
LTIZSJO,O,X,O
LTIZSOJ,O,X,O
LTIZOJS,O,X,X
LTIZOSJ,O,X,X
LTIOJSZ,O,X,X
LTIOJZS,O,X,X
LTIOSJZ,O,X,X
LTIOSZJ,O,X,X
LTIOZJS,O,X,X
LTIOZSJ,O,X,X
LTJISZO,O,X,O
LTJISOZ,O,X,O
LTJIZSO,O,X,O
LTJIZOS,O,X,X
LTJIOSZ,O,X,X
LTJIOZS,O,X,X
LTJSIZO,O,X,O
LTJSIOZ,O,X,O
LTJSZIO,O,X,O
LTJSZOI,O,X,O
LTJSOIZ,O,X,O
LTJSOZI,O,X,O
LTJZISO,O,X,O
LTJZIOS,O,X,X
LTJZSIO,O,X,O
LTJZSOI,O,X,O
LTJZOIS,O,X,X
LTJZOSI,O,X,X
LTJOISZ,O,X,X
LTJOIZS,O,X,X
LTJOSIZ,O,X,X
LTJOSZI,O,X,X
LTJOZIS,O,X,X
LTJOZSI,O,X,X
LTSIJZO,O,X,O
LTSIJOZ,O,X,O
LTSIZJO,O,X,O
LTSIZOJ,O,X,O
LTSIOJZ,O,X,O
LTSIOZJ,O,X,O
LTSJIZO,O,X,O
LTSJIOZ,O,X,O
LTSJZIO,O,X,O
LTSJZOI,O,X,O
LTSJOIZ,O,X,O
LTSJOZI,O,X,O
LTSZIJO,O,X,O
LTSZIOJ,O,X,O
LTSZJIO,O,X,O
LTSZJOI,O,X,O
LTSZOIJ,O,X,O
LTSZOJI,O,X,O
LTSOIJZ,O,X,O
LTSOIZJ,O,X,O
LTSOJIZ,O,X,O
LTSOJZI,O,X,O
LTSOZIJ,O,X,O
LTSOZJI,O,X,O
LTZIJSO,O,X,O
LTZIJOS,O,X,X
LTZISJO,O,X,O
LTZISOJ,O,X,O
LTZIOJS,O,X,X
LTZIOSJ,O,X,X
LTZJISO,O,X,O
LTZJIOS,O,X,X
LTZJSIO,O,X,O
LTZJSOI,O,X,O
LTZJOIS,O,X,X
LTZJOSI,O,X,X
LTZSIJO,O,X,O
LTZSIOJ,O,X,O
LTZSJIO,O,X,O
LTZSJOI,O,X,O
LTZSOIJ,O,X,O
LTZSOJI,O,X,O
LTZOIJS,O,X,X
LTZOISJ,O,X,X
LTZOJIS,O,X,X
LTZOJSI,O,X,X
LTZOSIJ,O,X,X
LTZOSJI,O,X,X
LTOIJSZ,O,X,X
LTOIJZS,O,X,X
LTOISJZ,O,X,X
LTOISZJ,O,X,X
LTOIZJS,O,X,X
LTOIZSJ,O,X,X
LTOJISZ,O,X,X
LTOJIZS,O,X,X
LTOJSIZ,O,X,X
LTOJSZI,O,X,X
LTOJZIS,O,X,X
LTOJZSI,O,X,X
LTOSIJZ,O,X,X
LTOSIZJ,O,X,X
LTOSJIZ,O,X,X
LTOSJZI,O,X,X
LTOSZIJ,O,X,X
LTOSZJI,O,X,X
LTOZIJS,O,X,X
LTOZISJ,O,X,X
LTOZJIS,O,X,X
LTOZJSI,O,X,X
LTOZSIJ,O,X,X
LTOZSJI,O,X,X
LITJSZO,O,X,O
LITJSOZ,O,X,O
LITJZSO,O,X,O
LITJZOS,O,X,X
LITJOSZ,O,X,X
LITJOZS,O,X,X
LITSJZO,O,X,O
LITSJOZ,O,X,O
LITSZJO,O,X,O
LITSZOJ,O,X,O
LITSOJZ,O,X,O
LITSOZJ,O,X,O
LITZJSO,O,X,O
LITZJOS,O,X,X
LITZSJO,O,X,O
LITZSOJ,O,X,O
LITZOJS,O,X,X
LITZOSJ,O,X,X
LITOJSZ,O,X,X
LITOJZS,O,X,X
LITOSJZ,O,X,X
LITOSZJ,O,X,X
LITOZJS,O,X,X
LITOZSJ,O,X,X
LIJTSZO,O,X,O
LIJTSOZ,O,X,O
LIJTZSO,O,X,O
LIJTZOS,O,X,X
LIJTOSZ,O,X,X
LIJTOZS,O,X,X
LIJSTZO,O,O,O
LIJSTOZ,O,X,O
LIJSZTO,O,O,O
LIJSZOT,O,O,X
LIJSOTZ,O,O,O
LIJSOZT,O,O,X
LIJZTSO,O,X,O
LIJZTOS,O,X,X
LIJZSTO,O,X,O
LIJZSOT,O,X,X
LIJZOTS,O,X,X
LIJZOST,O,X,X
LIJOTSZ,O,O,X
LIJOTZS,O,X,X
LIJOSTZ,O,O,O
LIJOSZT,O,O,X
LIJOZTS,O,X,X
LIJOZST,O,O,X
LISTJZO,O,O,O
LISTJOZ,O,X,O
LISTZJO,O,O,O
LISTZOJ,O,O,O
LISTOJZ,O,X,O
LISTOZJ,O,X,O
LISJTZO,O,O,O
LISJTOZ,O,X,O
LISJZTO,O,O,O
LISJZOT,O,O,X
LISJOTZ,O,O,O
LISJOZT,O,O,X
LISZTJO,O,O,O
LISZTOJ,O,O,O
LISZJTO,O,O,O
LISZJOT,O,O,X
LISZOTJ,O,O,X
LISZOJT,O,O,X
LISOTJZ,O,O,O
LISOTZJ,O,O,O
LISOJTZ,O,O,O
LISOJZT,O,O,X
LISOZTJ,O,O,X
LISOZJT,O,O,X
LIZTJSO,O,X,O
LIZTJOS,O,X,X
LIZTSJO,O,X,O
LIZTSOJ,O,X,O
LIZTOJS,O,X,X
LIZTOSJ,O,X,X
LIZJTSO,O,X,O
LIZJTOS,O,X,X
LIZJSTO,O,X,O
LIZJSOT,O,X,X
LIZJOTS,O,X,X
LIZJOST,O,X,X
LIZSTJO,O,X,O
LIZSTOJ,O,X,O
LIZSJTO,O,X,O
LIZSJOT,O,X,X
LIZSOTJ,O,X,X
LIZSOJT,O,X,X
LIZOTJS,O,X,X
LIZOTSJ,O,X,X
LIZOJTS,O,X,X
LIZOJST,O,X,X
LIZOSTJ,O,X,X
LIZOSJT,O,X,X
LIOTJSZ,O,O,X
LIOTJZS,O,X,X
LIOTSJZ,O,O,X
LIOTSZJ,O,O,X
LIOTZJS,O,X,X
LIOTZSJ,O,X,X
LIOJTSZ,O,O,X
LIOJTZS,O,X,X
LIOJSTZ,O,O,O
LIOJSZT,O,O,X
LIOJZTS,O,X,X
LIOJZST,O,O,X
LIOSTJZ,O,O,O
LIOSTZJ,O,O,O
LIOSJTZ,O,O,O
LIOSJZT,O,O,X
LIOSZTJ,O,O,X
LIOSZJT,O,O,X
LIOZTJS,O,X,X
LIOZTSJ,O,X,X
LIOZJTS,O,X,X
LIOZJST,O,O,X
LIOZSTJ,O,O,X
LIOZSJT,O,O,X
LJTISZO,O,X,O
LJTISOZ,O,X,O
LJTIZSO,O,X,O
LJTIZOS,O,X,X
LJTIOSZ,O,X,X
LJTIOZS,O,X,X
LJTSIZO,O,X,O
LJTSIOZ,O,X,O
LJTSZIO,O,X,O
LJTSZOI,O,X,O
LJTSOIZ,O,X,O
LJTSOZI,O,X,O
LJTZISO,O,X,O
LJTZIOS,O,X,X
LJTZSIO,O,X,O
LJTZSOI,O,X,O
LJTZOIS,O,X,X
LJTZOSI,O,X,X
LJTOISZ,O,X,X
LJTOIZS,O,X,X
LJTOSIZ,O,X,X
LJTOSZI,O,X,X
LJTOZIS,O,X,X
LJTOZSI,O,X,X
LJITSZO,O,X,O
LJITSOZ,O,X,O
LJITZSO,O,X,O
LJITZOS,O,X,X
LJITOSZ,O,X,X
LJITOZS,O,X,X
LJISTZO,O,O,O
LJISTOZ,O,X,O
LJISZTO,O,O,O
LJISZOT,O,O,X
LJISOTZ,O,O,O
LJISOZT,O,O,X
LJIZTSO,O,X,O
LJIZTOS,O,X,X
LJIZSTO,O,X,O
LJIZSOT,O,X,X
LJIZOTS,O,X,X
LJIZOST,O,X,X
LJIOTSZ,O,O,X
LJIOTZS,O,X,X
LJIOSTZ,O,O,O
LJIOSZT,O,O,X
LJIOZTS,O,X,X
LJIOZST,O,O,X
LJSTIZO,O,O,O
LJSTIOZ,O,X,O
LJSTZIO,O,O,O
LJSTZOI,O,O,O
LJSTOIZ,O,X,O
LJSTOZI,O,X,O
LJSITZO,O,O,O
LJSITOZ,O,X,O
LJSIZTO,O,O,O
LJSIZOT,O,O,X
LJSIOTZ,O,O,O
LJSIOZT,O,O,X
LJSZTIO,O,O,O
LJSZTOI,O,O,O
LJSZITO,O,O,O
LJSZIOT,O,O,X
LJSZOTI,O,O,X
LJSZOIT,O,O,X
LJSOTIZ,O,O,O
LJSOTZI,O,O,O
LJSOITZ,O,O,O
LJSOIZT,O,O,X
LJSOZTI,O,O,X
LJSOZIT,O,O,X
LJZTISO,O,X,O
LJZTIOS,O,X,X
LJZTSIO,O,X,O
LJZTSOI,O,X,O
LJZTOIS,O,X,X
LJZTOSI,O,X,X
LJZITSO,O,X,O
LJZITOS,O,X,X
LJZISTO,O,X,O
LJZISOT,O,X,X
LJZIOTS,O,X,X
LJZIOST,O,X,X
LJZSTIO,O,X,O
LJZSTOI,O,X,O
LJZSITO,O,X,O
LJZSIOT,O,X,X
LJZSOTI,O,X,X
LJZSOIT,O,X,X
LJZOTIS,O,X,X
LJZOTSI,O,X,X
LJZOITS,O,X,X
LJZOIST,O,X,X
LJZOSTI,O,X,X
LJZOSIT,O,X,X
LJOTISZ,O,O,X
LJOTIZS,O,X,X
LJOTSIZ,O,O,X
LJOTSZI,O,O,X
LJOTZIS,O,X,X
LJOTZSI,O,X,X
LJOITSZ,O,O,X
LJOITZS,O,X,X
LJOISTZ,O,O,O
LJOISZT,O,O,X
LJOIZTS,O,X,X
LJOIZST,O,O,X
LJOSTIZ,O,O,O
LJOSTZI,O,O,O
LJOSITZ,O,O,O
LJOSIZT,O,O,X
LJOSZTI,O,O,X
LJOSZIT,O,O,X
LJOZTIS,O,X,X
LJOZTSI,O,X,X
LJOZITS,O,X,X
LJOZIST,O,O,X
LJOZSTI,O,O,X
LJOZSIT,O,O,X
LSTIJZO,O,O,O
LSTIJOZ,O,X,O
LSTIZJO,O,O,O
LSTIZOJ,O,O,O
LSTIOJZ,O,X,O
LSTIOZJ,O,X,O
LSTJIZO,O,O,O
LSTJIOZ,O,X,O
LSTJZIO,O,O,O
LSTJZOI,O,O,O
LSTJOIZ,O,X,O
LSTJOZI,O,X,O
LSTZIJO,O,O,O
LSTZIOJ,O,O,O
LSTZJIO,O,O,O
LSTZJOI,O,O,O
LSTZOIJ,O,O,O
LSTZOJI,O,O,O
LSTOIJZ,O,X,O
LSTOIZJ,O,X,O
LSTOJIZ,O,X,O
LSTOJZI,O,X,O
LSTOZIJ,O,X,O
LSTOZJI,O,X,O
LSITJZO,O,O,O
LSITJOZ,O,X,O
LSITZJO,O,O,O
LSITZOJ,O,O,O
LSITOJZ,O,X,O
LSITOZJ,O,X,O
LSIJTZO,O,O,O
LSIJTOZ,O,X,O
LSIJZTO,O,O,O
LSIJZOT,O,O,X
LSIJOTZ,O,O,O
LSIJOZT,O,O,X
LSIZTJO,O,O,O
LSIZTOJ,O,O,O
LSIZJTO,O,O,O
LSIZJOT,O,O,X
LSIZOTJ,O,O,X
LSIZOJT,O,O,X
LSIOTJZ,O,O,O
LSIOTZJ,O,O,O
LSIOJTZ,O,O,O
LSIOJZT,O,O,X
LSIOZTJ,O,O,X
LSIOZJT,O,O,X
LSJTIZO,O,O,O
LSJTIOZ,O,X,O
LSJTZIO,O,O,O
LSJTZOI,O,O,O
LSJTOIZ,O,X,O
LSJTOZI,O,X,O
LSJITZO,O,O,O
LSJITOZ,O,X,O
LSJIZTO,O,O,O
LSJIZOT,O,O,X
LSJIOTZ,O,O,O
LSJIOZT,O,O,X
LSJZTIO,O,O,O
LSJZTOI,O,O,O
LSJZITO,O,O,O
LSJZIOT,O,O,X
LSJZOTI,O,O,X
LSJZOIT,O,O,X
LSJOTIZ,O,O,O
LSJOTZI,O,O,O
LSJOITZ,O,O,O
LSJOIZT,O,O,X
LSJOZTI,O,O,X
LSJOZIT,O,O,X
LSZTIJO,O,O,O
LSZTIOJ,O,O,O
LSZTJIO,O,O,O
LSZTJOI,O,O,O
LSZTOIJ,O,O,O
LSZTOJI,O,O,O
LSZITJO,O,O,O
LSZITOJ,O,O,O
LSZIJTO,O,O,O
LSZIJOT,O,O,X
LSZIOTJ,O,O,X
LSZIOJT,O,O,X
LSZJTIO,O,O,O
LSZJTOI,O,O,O
LSZJITO,O,O,O
LSZJIOT,O,O,X
LSZJOTI,O,O,X
LSZJOIT,O,O,X
LSZOTIJ,O,O,X
LSZOTJI,O,O,X
LSZOITJ,O,O,X
LSZOIJT,O,O,X
LSZOJTI,O,O,X
LSZOJIT,O,O,X
LSOTIJZ,O,O,O
LSOTIZJ,O,O,O
LSOTJIZ,O,O,O
LSOTJZI,O,O,O
LSOTZIJ,O,O,O
LSOTZJI,O,O,O
LSOITJZ,O,O,O
LSOITZJ,O,O,O
LSOIJTZ,O,O,O
LSOIJZT,O,O,X
LSOIZTJ,O,O,X
LSOIZJT,O,O,X
LSOJTIZ,O,O,O
LSOJTZI,O,O,O
LSOJITZ,O,O,O
LSOJIZT,O,O,X
LSOJZTI,O,O,X
LSOJZIT,O,O,X
LSOZTIJ,O,O,X
LSOZTJI,O,O,X
LSOZITJ,O,O,X
LSOZIJT,O,O,X
LSOZJTI,O,O,X
LSOZJIT,O,O,X
LZTIJSO,O,X,O
LZTIJOS,O,X,X
LZTISJO,O,X,O
LZTISOJ,O,X,O
LZTIOJS,O,X,X
LZTIOSJ,O,X,X
LZTJISO,O,X,O
LZTJIOS,O,X,X
LZTJSIO,O,X,O
LZTJSOI,O,X,O
LZTJOIS,O,X,X
LZTJOSI,O,X,X
LZTSIJO,O,X,O
LZTSIOJ,O,X,O
LZTSJIO,O,X,O
LZTSJOI,O,X,O
LZTSOIJ,O,X,O
LZTSOJI,O,X,O
LZTOIJS,O,X,X
LZTOISJ,O,X,X
LZTOJIS,O,X,X
LZTOJSI,O,X,X
LZTOSIJ,O,X,X
LZTOSJI,O,X,X
LZITJSO,O,X,O
LZITJOS,O,X,X
LZITSJO,O,X,O
