sequence,v115@9gA8BeA8FeA8BeB8EeA8BeB8GeC8CeA8Kez/IvhF6m?BliB5oBesB8sB3pB,v115@9gA8BeA8FeA8BeB8EeA8BeB8GeC8CeA8Kez/IvhFlh?BaoB5oB8rB+sB3pB,v115@9gA8BeA8FeA8BeB8EeA8BeB8GeC8CeA8KeaFJvhFlh?B3iB5oB+pB8sBzrB,v115@9gA8BeA8FeA8BeB8EeA8BeB8GeC8CeA8Kez/IvhF0h?BliB5oBysB3pBWxB,v115@9gA8BeA8FeA8BeB8EeA8BeB8GeC8CeA8Kez/IvhF6m?BmiB5oB0nB3pBVxB,v115@9gA8BeA8FeA8BeB8EeA8BeB8GeC8CeA8KeaFJvhFlh?B5oB+pB8rBznB3sB
TILJSZO,O,O,O,O,O,O
TILJSOZ,O,O,O,O,O,X
TILJZSO,O,O,O,O,O,O
TILJZOS,O,O,O,O,O,O
TILJOSZ,X,X,O,O,X,X
TILJOZS,X,X,O,O,X,O
TILSJZO,O,O,X,O,O,X
TILSJOZ,O,O,X,O,O,X
TILSZJO,O,O,X,O,O,X
TILSZOJ,O,O,X,O,O,X
TILSOJZ,O,O,X,O,O,X
TILSOZJ,O,O,X,O,O,X
TILZJSO,O,O,O,O,O,O
TILZJOS,O,O,O,X,O,O
TILZSJO,O,O,O,O,O,X
TILZSOJ,O,O,X,O,O,X
TILZOJS,X,X,X,X,O,O
TILZOSJ,X,X,X,O,O,X
TILOJSZ,X,X,O,X,X,X
TILOJZS,X,X,O,X,X,X
TILOSJZ,X,X,X,O,O,X
TILOSZJ,X,X,X,O,O,X
TILOZJS,X,X,O,X,O,X
TILOZSJ,X,X,O,O,O,X
TIJLSZO,O,O,O,O,O,O
TIJLSOZ,O,O,O,O,O,X
TIJLZSO,O,O,O,O,O,O
TIJLZOS,O,O,O,O,O,O
TIJLOSZ,X,X,O,O,X,X
TIJLOZS,X,X,O,O,X,O
TIJSLZO,O,O,O,O,O,O
TIJSLOZ,O,O,O,O,O,X
TIJSZLO,O,O,O,O,O,O
TIJSZOL,O,O,O,O,O,O
TIJSOLZ,O,O,O,O,O,X
TIJSOZL,O,O,O,O,O,X
TIJZLSO,O,O,O,O,O,O
TIJZLOS,O,O,O,O,O,O
TIJZSLO,O,O,O,O,O,O
TIJZSOL,O,O,O,O,O,O
TIJZOLS,O,O,O,X,O,O
TIJZOSL,O,O,O,O,O,O
TIJOLSZ,X,X,O,X,X,X
TIJOLZS,X,X,O,X,X,O
TIJOSLZ,X,X,O,X,X,X
TIJOSZL,X,X,O,X,X,X
TIJOZLS,X,X,O,X,X,O
TIJOZSL,X,X,O,X,X,O
TISLJZO,O,O,X,O,O,X
TISLJOZ,O,O,X,O,O,X
TISLZJO,O,O,X,O,O,X
