sequence,v115@PhA8AeA8BeB8CeA8AeE8BeB8Kem/IvhFzgBliB5oB0?kBCsBfsB,v115@PhA8AeA8BeB8CeA8AeE8BeB8KezAJvhF3iB5oBlkBq?rBmpBUsB,v115@PhA8AeA8BeB8CeA8AeE8BeB8KezAJvhF3iB5oBmkBq?rBlpBUsB,v115@PhA8AeA8BeB8CeA8AeE8BeB8Kei/IvhFWmB3iB5oBz?kBVsB0rB,v115@PhA8AeA8BeB8CeA8AeE8BeB8KezAJvhFUiB5oBmkBq?rBlpB3sB
ITLOZSJ,O,O,X,X,X
ITJLSZO,X,X,X,X,X
ITJLSOZ,X,O,O,X,X
ITJLZSO,X,X,X,X,X
ITJLZOS,X,X,X,X,O
ITJLOSZ,X,O,O,X,X
ITJLOZS,X,X,X,X,O
ITJSLZO,X,X,X,X,X
ITJSLOZ,X,O,O,X,X
ITJSZLO,X,X,X,X,X
ITJSZOL,X,X,X,X,X
ITJSOLZ,X,X,X,O,X
ITJSOZL,X,X,X,X,X
ITJZLSO,X,X,X,X,X
ITJZLOS,X,X,X,X,X
ITJZSLO,X,X,X,X,X
ITJZSOL,X,X,X,X,X
ITJZOLS,X,X,X,X,X
ITJZOSL,X,X,X,X,X
ITJOLSZ,X,O,O,O,X
ITJOLZS,X,X,X,X,O
ITJOSLZ,X,X,X,O,X
ITJOSZL,X,X,X,X,X
ITJOZLS,X,X,X,X,X
ITJOZSL,X,X,X,X,X
ITSLJZO,X,X,X,X,X
ITSLJOZ,X,O,O,X,X
ITSLZJO,X,X,X,X,X
ITSLZOJ,X,O,X,X,X
ITSLOJZ,X,O,O,X,X
ITSLOZJ,X,O,X,X,X
ITSJLZO,X,X,X,X,X
ITSJLOZ,X,O,O,X,X
ITSJZLO,X,X,X,X,X
ITSJZOL,X,X,X,X,X
ITSJOLZ,X,X,X,O,X
ITSJOZL,X,X,X,X,X
ITSZLJO,X,X,X,X,X
ITSZLOJ,X,O,X,X,X
ITSZJLO,X,X,X,X,X
ITSZJOL,X,X,X,X,X
ITSZOLJ,X,X,X,X,X
ITSZOJL,X,X,X,X,X
ITSOLJZ,X,O,X,O,X
ITSOLZJ,X,O,X,X,X
ITSOJLZ,X,X,X,O,X
ITSOJZL,X,X,X,X,X
ITSOZLJ,X,X,X,X,X
ITSOZJL,X,X,X,X,X
ITZLJSO,O,X,X,X,X
ITZLJOS,O,X,X,X,X
ITZLSJO,O,X,X,X,X
ITZLSOJ,O,O,X,X,X
ITZLOJS,O,X,X,X,X
ITZLOSJ,O,O,X,X,X
ITZJLSO,O,X,X,X,X
ITZJLOS,O,X,X,X,X
ITZJSLO,X,X,X,X,X
ITZJSOL,X,X,X,X,X
ITZJOLS,O,X,X,X,X
ITZJOSL,X,X,X,X,X
ITZSLJO,X,X,X,X,X
ITZSLOJ,X,O,X,X,X
ITZSJLO,X,X,X,X,X
ITZSJOL,X,X,X,X,X
ITZSOLJ,X,X,X,X,X
ITZSOJL,X,X,X,X,X
ITZOLJS,O,X,X,X,X
ITZOLSJ,O,O,X,X,X
ITZOJLS,O,X,X,X,X
ITZOJSL,X,X,X,X,X
ITZOSLJ,X,X,X,X,X
ITZOSJL,X,X,X,X,X
ITOLJSZ,X,O,O,O,X
ITOLJZS,X,X,X,X,O
ITOLSJZ,X,O,O,O,X
ITOLSZJ,X,O,X,X,X
ITOLZJS,O,X,X,X,O
ITOLZSJ,O,O,X,X,X
ITOJLSZ,X,O,O,O,X
ITOJLZS,X,X,X,X,O
ITOJSLZ,X,X,X,O,X
ITOJSZL,X,X,X,X,X
ITOJZLS,X,X,X,X,X
ITOJZSL,X,X,X,X,X
ITOSLJZ,X,O,X,O,X
ITOSLZJ,X,O,X,X,X
ITOSJLZ,X,X,X,O,X
ITOSJZL,X,X,X,X,X
ITOSZLJ,X,X,X,X,X
ITOSZJL,X,X,X,X,X
ITOZLJS,O,X,X,X,X
ITOZLSJ,O,O,X,X,X
ITOZJLS,O,X,X,X,X
ITOZJSL,X,X,X,X,X
ITOZSLJ,X,X,X,X,X
ITOZSJL,X,X,X,X,X
ILTJSZO,X,X,X,X,X
ILTJSOZ,X,O,O,X,X
ILTJZSO,X,X,X,X,X
ILTJZOS,X,X,X,X,O
ILTJOSZ,X,O,O,X,X
ILTJOZS,X,X,X,X,O
ILTSJZO,X,X,X,X,X
ILTSJOZ,X,O,O,X,X
ILTSZJO,X,X,X,X,X
ILTSZOJ,X,O,X,X,X
ILTSOJZ,X,O,O,X,X
ILTSOZJ,X,O,X,X,X
ILTZJSO,O,X,X,X,X
ILTZJOS,O,X,X,X,O
ILTZSJO,O,X,X,X,X
ILTZSOJ,O,O,X,X,X
ILTZOJS,O,X,X,X,O
ILTZOSJ,O,O,X,X,X
ILTOJSZ,X,O,O,X,X
ILTOJZS,X,X,X,X,O
ILTOSJZ,X,O,O,X,X
ILTOSZJ,X,O,X,X,X
ILTOZJS,O,X,X,X,O
ILTOZSJ,O,O,X,X,X
ILJTSZO,X,X,X,X,X
ILJTSOZ,X,O,O,X,X
ILJTZSO,X,X,X,X,X
ILJTZOS,X,X,X,X,O
ILJTOSZ,X,O,O,X,X
ILJTOZS,X,X,X,X,O
ILJSTZO,X,X,X,X,X
ILJSTOZ,X,O,O,X,X
ILJSZTO,X,X,X,X,X
ILJSZOT,X,X,O,X,O
ILJSOTZ,X,O,O,O,X
ILJSOZT,X,X,O,O,O
ILJZTSO,O,X,X,X,X
ILJZTOS,O,X,X,X,O
ILJZSTO,O,X,X,X,X
ILJZSOT,O,X,O,X,O
ILJZOTS,O,X,X,X,O
ILJZOST,O,X,O,X,O
ILJOTSZ,X,O,O,O,X
ILJOTZS,X,X,X,X,O
ILJOSTZ,X,O,O,O,X
ILJOSZT,X,X,O,O,O
ILJOZTS,O,X,X,X,O
ILJOZST,O,X,O,O,O
ILSTJZO,X,X,X,X,X
ILSTJOZ,X,O,O,X,X
ILSTZJO,X,X,X,X,X
ILSTZOJ,X,O,X,X,X
ILSTOJZ,X,O,O,X,X
ILSTOZJ,X,O,X,X,X
ILSJTZO,X,X,X,X,X
ILSJTOZ,X,O,O,X,X
ILSJZTO,X,X,X,X,X
ILSJZOT,X,X,O,X,O
ILSJOTZ,X,O,O,O,X
ILSJOZT,X,X,O,O,O
ILSZTJO,O,X,X,X,X
ILSZTOJ,O,O,X,X,X
ILSZJTO,O,X,X,X,X
ILSZJOT,O,X,O,X,O
ILSZOTJ,O,O,X,X,X
ILSZOJT,O,X,O,X,O
ILSOTJZ,X,O,O,O,X
ILSOTZJ,X,O,X,X,X
ILSOJTZ,X,O,O,O,X
ILSOJZT,X,X,O,O,O
ILSOZTJ,O,O,X,X,X
ILSOZJT,O,X,O,O,O
ILZTJSO,O,X,X,X,X
ILZTJOS,O,X,X,X,O
ILZTSJO,O,X,X,X,X
ILZTSOJ,O,O,X,X,X
ILZTOJS,O,X,X,X,O
ILZTOSJ,O,O,X,X,X
ILZJTSO,O,X,X,X,X
ILZJTOS,O,X,X,X,O
ILZJSTO,O,X,X,X,X
ILZJSOT,O,X,O,X,O
ILZJOTS,O,X,X,X,O
ILZJOST,O,X,O,X,O
ILZSTJO,O,X,X,X,X
ILZSTOJ,O,O,X,X,X
ILZSJTO,O,X,X,X,X
ILZSJOT,O,X,O,X,O
ILZSOTJ,O,O,X,X,X
ILZSOJT,O,X,O,X,O
ILZOTJS,O,X,X,X,O
ILZOTSJ,O,O,X,X,X
ILZOJTS,O,X,X,X,O
ILZOJST,O,X,O,X,O
ILZOSTJ,O,O,X,X,X
ILZOSJT,O,X,O,X,O
ILOTJSZ,X,O,O,O,X
ILOTJZS,X,X,X,X,O
ILOTSJZ,X,O,O,O,X
ILOTSZJ,X,O,X,X,X
ILOTZJS,O,X,X,X,O
ILOTZSJ,O,O,X,X,X
ILOJTSZ,X,O,O,O,X
ILOJTZS,X,X,X,X,O
ILOJSTZ,X,O,O,O,X
ILOJSZT,X,X,O,O,O
ILOJZTS,O,X,X,X,O
ILOJZST,O,X,O,O,O
ILOSTJZ,X,O,O,O,X
ILOSTZJ,X,O,X,X,X
ILOSJTZ,X,O,O,O,X
ILOSJZT,X,X,O,O,O
ILOSZTJ,O,O,X,X,X
ILOSZJT,O,X,O,O,O
ILOZTJS,O,X,X,X,O
ILOZTSJ,O,O,X,X,X
ILOZJTS,O,X,X,X,O
ILOZJST,O,X,O,O,O
ILOZSTJ,O,O,X,X,X
ILOZSJT,O,X,O,O,O
IJTLSZO,X,X,X,X,X
IJTLSOZ,X,O,O,X,X
IJTLZSO,X,X,X,X,X
IJTLZOS,X,X,X,X,O
IJTLOSZ,X,O,O,X,X
IJTLOZS,X,X,X,X,O
IJTSLZO,X,X,X,X,X
IJTSLOZ,X,O,O,X,X
IJTSZLO,X,X,X,X,X
IJTSZOL,X,X,X,X,X
IJTSOLZ,X,X,X,O,X
IJTSOZL,X,X,X,X,X
IJTZLSO,X,X,X,X,X
IJTZLOS,X,X,X,X,X
IJTZSLO,X,X,X,X,X
IJTZSOL,X,X,X,X,X
IJTZOLS,X,X,X,X,X
IJTZOSL,X,X,X,X,X
IJTOLSZ,X,O,O,O,X
IJTOLZS,X,X,X,X,O
IJTOSLZ,X,X,X,O,X
IJTOSZL,X,X,X,X,X
IJTOZLS,X,X,X,X,X
IJTOZSL,X,X,X,X,X
IJLTSZO,X,X,X,X,X
IJLTSOZ,X,O,O,X,X
IJLTZSO,X,X,X,X,X
IJLTZOS,X,X,X,X,O
IJLTOSZ,X,O,O,X,X
IJLTOZS,X,X,X,X,O
IJLSTZO,X,X,X,X,X
IJLSTOZ,X,O,O,X,X
IJLSZTO,X,X,X,X,X
IJLSZOT,X,X,O,X,O
IJLSOTZ,X,O,O,O,X
IJLSOZT,X,X,O,O,O
IJLZTSO,O,X,X,X,X
IJLZTOS,O,X,X,X,O
IJLZSTO,O,X,X,X,X
IJLZSOT,O,X,O,X,O
IJLZOTS,O,X,X,X,O
IJLZOST,O,X,O,X,O
IJLOTSZ,X,O,O,O,X
IJLOTZS,X,X,X,X,O
IJLOSTZ,X,O,O,O,X
IJLOSZT,X,X,O,O,O
IJLOZTS,O,X,X,X,O
IJLOZST,O,X,O,O,O
IJSTLZO,X,X,X,X,X
IJSTLOZ,X,O,O,X,X
IJSTZLO,X,X,X,X,X
IJSTZOL,X,X,X,X,X
IJSTOLZ,X,X,X,O,X
IJSTOZL,X,X,X,X,X
IJSLTZO,X,X,X,X,X
IJSLTOZ,X,O,O,X,X
IJSLZTO,X,X,X,X,X
IJSLZOT,X,X,O,X,O
IJSLOTZ,X,O,O,O,X
IJSLOZT,X,X,O,O,O
IJSZTLO,X,X,X,X,X
IJSZTOL,X,X,X,X,X
IJSZLTO,X,X,X,X,X
IJSZLOT,X,X,O,X,X
IJSZOTL,X,X,X,X,X
IJSZOLT,X,X,X,O,X
IJSOTLZ,X,X,X,O,X
IJSOTZL,X,X,X,X,X
IJSOLTZ,X,X,O,O,X
IJSOLZT,X,X,O,O,O
IJSOZTL,X,X,X,X,X
IJSOZLT,X,X,X,O,X
IJZTLSO,O,X,X,X,X
IJZTLOS,O,X,X,X,X
IJZTSLO,X,X,X,X,X
IJZTSOL,X,X,X,X,X
IJZTOLS,O,X,X,X,X
IJZTOSL,X,X,X,X,X
IJZLTSO,O,X,X,X,X
IJZLTOS,O,X,X,X,O
IJZLSTO,O,X,X,X,X
IJZLSOT,O,X,O,X,O
IJZLOTS,O,X,X,X,O
IJZLOST,O,X,O,X,O
IJZSTLO,X,X,X,X,X
IJZSTOL,X,X,X,X,X
IJZSLTO,O,X,X,X,X
IJZSLOT,O,X,O,X,X
IJZSOTL,X,X,X,X,X
IJZSOLT,O,X,X,O,X
IJZOTLS,O,X,X,X,X
IJZOTSL,X,X,X,X,X
IJZOLTS,O,X,X,X,O
IJZOLST,O,X,O,O,O
IJZOSTL,X,X,X,X,X
IJZOSLT,O,X,X,O,X
IJOTLSZ,X,O,O,O,X
IJOTLZS,X,X,X,X,O
IJOTSLZ,X,X,X,O,X
IJOTSZL,X,X,X,X,X
IJOTZLS,X,X,X,X,X
IJOTZSL,X,X,X,X,X
IJOLTSZ,X,O,O,O,X
IJOLTZS,X,X,X,X,O
IJOLSTZ,X,O,O,O,X
IJOLSZT,X,X,O,O,O
IJOLZTS,O,X,X,X,O
IJOLZST,O,X,O,O,O
IJOSTLZ,X,X,X,O,X
IJOSTZL,X,X,X,X,X
IJOSLTZ,X,X,O,O,X
IJOSLZT,X,X,O,O,O
IJOSZTL,X,X,X,X,X
IJOSZLT,X,X,X,O,X
IJOZTLS,O,X,X,X,X
IJOZTSL,X,X,X,X,X
IJOZLTS,O,X,X,X,O
IJOZLST,O,X,O,O,O
IJOZSTL,X,X,X,X,X
IJOZSLT,O,X,X,O,X
ISTLJZO,X,X,X,X,X
ISTLJOZ,X,O,O,X,X
ISTLZJO,X,X,X,X,X
ISTLZOJ,X,O,X,X,X
ISTLOJZ,X,O,O,X,X
ISTLOZJ,X,O,X,X,X
ISTJLZO,X,X,X,X,X
ISTJLOZ,X,O,O,X,X
ISTJZLO,X,X,X,X,X
ISTJZOL,X,X,X,X,X
ISTJOLZ,X,X,X,O,X
ISTJOZL,X,X,X,X,X
ISTZLJO,X,X,X,X,X
ISTZLOJ,X,O,X,X,X
ISTZJLO,X,X,X,X,X
ISTZJOL,X,X,X,X,X
ISTZOLJ,X,X,X,X,X
ISTZOJL,X,X,X,X,X
ISTOLJZ,X,O,X,O,X
ISTOLZJ,X,O,X,X,X
ISTOJLZ,X,X,X,O,X
ISTOJZL,X,X,X,X,X
ISTOZLJ,X,X,X,X,X
ISTOZJL,X,X,X,X,X
ISLTJZO,X,X,X,X,X
ISLTJOZ,X,O,O,X,X
ISLTZJO,X,X,X,X,X
ISLTZOJ,X,O,X,X,X
ISLTOJZ,X,O,O,X,X
ISLTOZJ,X,O,X,X,X
ISLJTZO,X,X,X,X,X
ISLJTOZ,X,O,O,X,X
ISLJZTO,X,X,X,X,X
ISLJZOT,X,X,O,X,O
ISLJOTZ,X,O,O,O,X
ISLJOZT,X,X,O,O,O
ISLZTJO,O,X,X,X,X
ISLZTOJ,O,O,X,X,X
ISLZJTO,O,X,X,X,X
ISLZJOT,O,X,O,X,O
ISLZOTJ,O,O,X,X,X
ISLZOJT,O,X,O,X,O
ISLOTJZ,X,O,O,O,X
ISLOTZJ,X,O,X,X,X
ISLOJTZ,X,O,O,O,X
ISLOJZT,X,X,O,O,O
ISLOZTJ,O,O,X,X,X
ISLOZJT,O,X,O,O,O
ISJTLZO,X,X,X,X,X
ISJTLOZ,X,O,O,X,X
ISJTZLO,X,X,X,X,X
ISJTZOL,X,X,X,X,X
ISJTOLZ,X,X,X,O,X
ISJTOZL,X,X,X,X,X
ISJLTZO,X,X,X,X,X
ISJLTOZ,X,O,O,X,X
ISJLZTO,X,X,X,X,X
ISJLZOT,X,X,O,X,O
ISJLOTZ,X,O,O,O,X
ISJLOZT,X,X,O,O,O
ISJZTLO,X,X,X,X,X
ISJZTOL,X,X,X,X,X
ISJZLTO,X,X,X,X,X
ISJZLOT,X,X,O,X,X
ISJZOTL,X,X,X,X,X
ISJZOLT,X,X,X,O,X
ISJOTLZ,X,X,X,O,X
ISJOTZL,X,X,X,X,X
ISJOLTZ,X,X,O,O,X
ISJOLZT,X,X,O,O,O
ISJOZTL,X,X,X,X,X
ISJOZLT,X,X,X,O,X
ISZTLJO,X,X,X,X,X
ISZTLOJ,X,O,X,X,X
ISZTJLO,X,X,X,X,X
ISZTJOL,X,X,X,X,X
ISZTOLJ,X,X,X,X,X
ISZTOJL,X,X,X,X,X
ISZLTJO,O,X,X,X,X
ISZLTOJ,O,O,X,X,X
ISZLJTO,O,X,X,X,X
ISZLJOT,O,X,O,X,X
ISZLOTJ,O,O,X,X,X
ISZLOJT,O,X,O,X,X
ISZJTLO,X,X,X,X,X
ISZJTOL,X,X,X,X,X
ISZJLTO,O,X,X,X,X
ISZJLOT,O,X,O,X,X
ISZJOTL,X,X,X,X,X
ISZJOLT,O,X,X,O,X
ISZOTLJ,X,X,X,X,X
ISZOTJL,X,X,X,X,X
ISZOLTJ,O,X,X,X,X
ISZOLJT,O,X,X,O,X
ISZOJTL,X,X,X,X,X
ISZOJLT,O,X,X,O,X
ISOTLJZ,X,O,X,O,X
ISOTLZJ,X,O,X,X,X
ISOTJLZ,X,X,X,O,X
ISOTJZL,X,X,X,X,X
ISOTZLJ,X,X,X,X,X
ISOTZJL,X,X,X,X,X
ISOLTJZ,X,O,O,O,X
ISOLTZJ,X,O,X,X,X
ISOLJTZ,X,O,O,O,X
ISOLJZT,X,X,O,O,O
ISOLZTJ,O,O,X,X,X
ISOLZJT,O,X,O,O,O
ISOJTLZ,X,X,X,O,X
ISOJTZL,X,X,X,X,X
ISOJLTZ,X,X,O,O,X
ISOJLZT,X,X,O,O,O
ISOJZTL,X,X,X,X,X
ISOJZLT,X,X,X,O,X
ISOZTLJ,X,X,X,X,X
ISOZTJL,X,X,X,X,X
ISOZLTJ,O,X,X,X,X
ISOZLJT,O,X,X,O,X
ISOZJTL,X,X,X,X,X
ISOZJLT,O,X,X,O,X
IZTLJSO,O,X,X,X,X
IZTLJOS,O,X,X,X,X
IZTLSJO,O,X,X,X,X
IZTLSOJ,O,O,X,X,X
IZTLOJS,O,X,X,X,X
IZTLOSJ,O,O,X,X,X
IZTJLSO,O,X,X,X,X
IZTJLOS,O,X,X,X,X
IZTJSLO,X,X,X,X,X
IZTJSOL,X,X,X,X,X
IZTJOLS,O,X,X,X,X
IZTJOSL,X,X,X,X,X
IZTSLJO,X,X,X,X,X
IZTSLOJ,X,O,X,X,X
IZTSJLO,X,X,X,X,X
IZTSJOL,X,X,X,X,X
IZTSOLJ,X,X,X,X,X
IZTSOJL,X,X,X,X,X
IZTOLJS,O,X,X,X,X
IZTOLSJ,O,O,X,X,X
IZTOJLS,O,X,X,X,X
IZTOJSL,X,X,X,X,X
IZTOSLJ,X,X,X,X,X
IZTOSJL,X,X,X,X,X
IZLTJSO,O,X,X,X,X
IZLTJOS,O,X,X,X,O
IZLTSJO,O,X,X,X,X
IZLTSOJ,O,O,X,X,X
IZLTOJS,O,X,X,X,O
IZLTOSJ,O,O,X,X,X
IZLJTSO,O,X,X,X,X
IZLJTOS,O,X,X,X,O
IZLJSTO,O,X,X,X,X
IZLJSOT,O,X,O,X,O
IZLJOTS,O,X,X,X,O
IZLJOST,O,X,O,X,O
IZLSTJO,O,X,X,X,X
IZLSTOJ,O,O,X,X,X
IZLSJTO,O,X,X,X,X
IZLSJOT,O,X,O,X,O
IZLSOTJ,O,O,X,X,X
IZLSOJT,O,X,O,X,O
IZLOTJS,O,X,X,X,O
IZLOTSJ,O,O,X,X,X
IZLOJTS,O,X,X,X,O
IZLOJST,O,X,O,X,O
IZLOSTJ,O,O,X,X,X
IZLOSJT,O,X,O,X,O
IZJTLSO,O,X,X,X,X
IZJTLOS,O,X,X,X,X
IZJTSLO,X,X,X,X,X
IZJTSOL,X,X,X,X,X
IZJTOLS,O,X,X,X,X
IZJTOSL,X,X,X,X,X
IZJLTSO,O,X,X,X,X
IZJLTOS,O,X,X,X,O
IZJLSTO,O,X,X,X,X
IZJLSOT,O,X,O,X,O
IZJLOTS,O,X,X,X,O
IZJLOST,O,X,O,X,O
IZJSTLO,X,X,X,X,X
IZJSTOL,X,X,X,X,X
IZJSLTO,O,X,X,X,X
IZJSLOT,O,X,O,X,X
IZJSOTL,X,X,X,X,X
IZJSOLT,O,X,X,O,X
IZJOTLS,O,X,X,X,X
IZJOTSL,X,X,X,X,X
IZJOLTS,O,X,X,X,O
IZJOLST,O,X,O,O,O
IZJOSTL,X,X,X,X,X
IZJOSLT,O,X,X,O,X
IZSTLJO,X,X,X,X,X
IZSTLOJ,X,O,X,X,X
IZSTJLO,X,X,X,X,X
IZSTJOL,X,X,X,X,X
IZSTOLJ,X,X,X,X,X
IZSTOJL,X,X,X,X,X
IZSLTJO,O,X,X,X,X
IZSLTOJ,O,O,X,X,X
IZSLJTO,O,X,X,X,X
IZSLJOT,O,X,O,X,X
IZSLOTJ,O,O,X,X,X
IZSLOJT,O,X,O,X,X
IZSJTLO,X,X,X,X,X
IZSJTOL,X,X,X,X,X
IZSJLTO,O,X,X,X,X
IZSJLOT,O,X,O,X,X
IZSJOTL,X,X,X,X,X
IZSJOLT,O,X,X,O,X
IZSOTLJ,X,X,X,X,X
IZSOTJL,X,X,X,X,X
IZSOLTJ,O,X,X,X,X
IZSOLJT,O,X,X,O,X
IZSOJTL,X,X,X,X,X
IZSOJLT,O,X,X,O,X
IZOTLJS,O,X,X,X,X
IZOTLSJ,O,O,X,X,X
IZOTJLS,O,X,X,X,X
IZOTJSL,X,X,X,X,X
IZOTSLJ,X,X,X,X,X
IZOTSJL,X,X,X,X,X
IZOLTJS,O,X,X,X,O
IZOLTSJ,O,O,X,X,X
IZOLJTS,O,X,X,X,O
IZOLJST,O,X,O,O,O
IZOLSTJ,O,O,X,X,X
IZOLSJT,O,X,O,O,O
IZOJTLS,O,X,X,X,X
IZOJTSL,X,X,X,X,X
IZOJLTS,O,X,X,X,O
IZOJLST,O,X,O,O,O
IZOJSTL,X,X,X,X,X
IZOJSLT,O,X,X,O,X
IZOSTLJ,X,X,X,X,X
IZOSTJL,X,X,X,X,X
IZOSLTJ,O,X,X,X,X
IZOSLJT,O,X,X,O,X
IZOSJTL,X,X,X,X,X
IZOSJLT,O,X,X,O,X
IOTLJSZ,X,O,O,O,X
IOTLJZS,X,X,X,X,O
IOTLSJZ,X,O,O,O,X
IOTLSZJ,X,O,X,X,X
IOTLZJS,O,X,X,X,O
IOTLZSJ,O,O,X,X,X
IOTJLSZ,X,O,O,O,X
IOTJLZS,X,X,X,X,O
IOTJSLZ,X,X,X,O,X
IOTJSZL,X,X,X,X,X
IOTJZLS,X,X,X,X,X
IOTJZSL,X,X,X,X,X
IOTSLJZ,X,O,X,O,X
IOTSLZJ,X,O,X,X,X
IOTSJLZ,X,X,X,O,X
IOTSJZL,X,X,X,X,X
IOTSZLJ,X,X,X,X,X
IOTSZJL,X,X,X,X,X
IOTZLJS,O,X,X,X,X
IOTZLSJ,O,O,X,X,X
IOTZJLS,O,X,X,X,X
IOTZJSL,X,X,X,X,X
IOTZSLJ,X,X,X,X,X
IOTZSJL,X,X,X,X,X
IOLTJSZ,X,O,O,O,X
IOLTJZS,X,X,X,X,O
IOLTSJZ,X,O,O,O,X
IOLTSZJ,X,O,X,X,X
IOLTZJS,O,X,X,X,O
IOLTZSJ,O,O,X,X,X
IOLJTSZ,X,O,O,O,X
IOLJTZS,X,X,X,X,O
IOLJSTZ,X,O,O,O,X
IOLJSZT,X,X,O,O,O
IOLJZTS,O,X,X,X,O
IOLJZST,O,X,O,O,O
IOLSTJZ,X,O,O,O,X
IOLSTZJ,X,O,X,X,X
IOLSJTZ,X,O,O,O,X
IOLSJZT,X,X,O,O,O
IOLSZTJ,O,O,X,X,X
IOLSZJT,O,X,O,O,O
IOLZTJS,O,X,X,X,O
IOLZTSJ,O,O,X,X,X
IOLZJTS,O,X,X,X,O
IOLZJST,O,X,O,O,O
IOLZSTJ,O,O,X,X,X
IOLZSJT,O,X,O,O,O
IOJTLSZ,X,O,O,O,X
IOJTLZS,X,X,X,X,O
IOJTSLZ,X,X,X,O,X
IOJTSZL,X,X,X,X,X
IOJTZLS,X,X,X,X,X
IOJTZSL,X,X,X,X,X
IOJLTSZ,X,O,O,O,X
IOJLTZS,X,X,X,X,O
IOJLSTZ,X,O,O,O,X
IOJLSZT,X,X,O,O,O
IOJLZTS,O,X,X,X,O
IOJLZST,O,X,O,O,O
IOJSTLZ,X,X,X,O,X
IOJSTZL,X,X,X,X,X
IOJSLTZ,X,X,O,O,X
IOJSLZT,X,X,O,O,O
IOJSZTL,X,X,X,X,X
IOJSZLT,X,X,X,O,X
IOJZTLS,O,X,X,X,X
IOJZTSL,X,X,X,X,X
IOJZLTS,O,X,X,X,O
IOJZLST,O,X,O,O,O
IOJZSTL,X,X,X,X,X
IOJZSLT,O,X,X,O,X
IOSTLJZ,X,O,X,O,X
IOSTLZJ,X,O,X,X,X
IOSTJLZ,X,X,X,O,X
IOSTJZL,X,X,X,X,X
IOSTZLJ,X,X,X,X,X
IOSTZJL,X,X,X,X,X
IOSLTJZ,X,O,O,O,X
IOSLTZJ,X,O,X,X,X
IOSLJTZ,X,O,O,O,X
IOSLJZT,X,X,O,O,O
IOSLZTJ,O,O,X,X,X
IOSLZJT,O,X,O,O,O
IOSJTLZ,X,X,X,O,X
IOSJTZL,X,X,X,X,X
IOSJLTZ,X,X,O,O,X
IOSJLZT,X,X,O,O,O
IOSJZTL,X,X,X,X,X
IOSJZLT,X,X,X,O,X
IOSZTLJ,X,X,X,X,X
IOSZTJL,X,X,X,X,X
IOSZLTJ,O,X,X,X,X
IOSZLJT,O,X,X,O,X
IOSZJTL,X,X,X,X,X
IOSZJLT,O,X,X,O,X
IOZTLJS,O,X,X,X,X
IOZTLSJ,O,O,X,X,X
IOZTJLS,O,X,X,X,X
IOZTJSL,X,X,X,X,X
IOZTSLJ,X,X,X,X,X
IOZTSJL,X,X,X,X,X
IOZLTJS,O,X,X,X,O
IOZLTSJ,O,O,X,X,X
IOZLJTS,O,X,X,X,O
IOZLJST,O,X,O,O,O
IOZLSTJ,O,O,X,X,X
IOZLSJT,O,X,O,O,O
IOZJTLS,O,X,X,X,X
IOZJTSL,X,X,X,X,X
IOZJLTS,O,X,X,X,O
IOZJLST,O,X,O,O,O
IOZJSTL,X,X,X,X,X
IOZJSLT,O,X,X,O,X
IOZSTLJ,X,X,X,X,X
IOZSTJL,X,X,X,X,X
IOZSLTJ,O,X,X,X,X
IOZSLJT,O,X,X,O,X
IOZSJTL,X,X,X,X,X
IOZSJLT,O,X,X,O,X
LTIJSZO,X,X,X,X,X
LTIJSOZ,X,O,O,X,X
LTIJZSO,X,X,X,X,X
LTIJZOS,X,X,X,X,O
LTIJOSZ,X,O,O,X,X
LTIJOZS,X,X,X,X,O
LTISJZO,X,X,X,X,X
LTISJOZ,X,O,O,X,X
LTISZJO,X,X,X,X,X
LTISZOJ,X,O,X,X,X
LTISOJZ,X,O,O,X,X
LTISOZJ,X,O,X,X,X
LTIZJSO,O,X,X,X,X
LTIZJOS,O,X,X,X,O
LTIZSJO,O,X,X,X,X
LTIZSOJ,O,O,X,X,X
LTIZOJS,O,X,X,X,O
LTIZOSJ,O,O,X,X,X
LTIOJSZ,X,O,O,X,X
LTIOJZS,X,X,X,X,O
LTIOSJZ,X,O,O,X,X
LTIOSZJ,X,O,X,X,X
LTIOZJS,O,X,X,X,O
LTIOZSJ,O,O,X,X,X
LTJISZO,X,X,X,X,X
LTJISOZ,X,O,O,X,X
LTJIZSO,X,X,X,X,X
LTJIZOS,X,X,X,X,O
LTJIOSZ,X,O,O,X,X
LTJIOZS,X,X,X,X,O
LTJSIZO,X,X,X,X,X
LTJSIOZ,X,O,O,X,X
LTJSZIO,X,X,X,X,X
LTJSZOI,X,X,X,X,X
LTJSOIZ,X,O,O,X,X
LTJSOZI,X,X,X,X,X
LTJZISO,X,X,X,X,X
LTJZIOS,X,X,X,X,O
LTJZSIO,X,X,X,X,X
LTJZSOI,X,X,X,X,X
LTJZOIS,X,X,X,X,O
LTJZOSI,X,X,X,X,X
LTJOISZ,X,O,O,X,X
LTJOIZS,X,X,X,X,O
LTJOSIZ,X,O,O,X,X
LTJOSZI,X,X,X,X,X
LTJOZIS,X,X,X,X,O
LTJOZSI,X,X,X,X,X
LTSIJZO,X,X,X,X,X
LTSIJOZ,X,O,O,X,X
LTSIZJO,X,X,X,X,X
LTSIZOJ,X,O,X,X,X
LTSIOJZ,X,O,O,X,X
