sequence,v115@vhHU7IvfB6tBWrBdqBKpBzsBRwB,v115@vhHMDJ3dB+tBtsByrBTkByuBRwB,v115@vhHO6I5fB0gBNqBKpBTtBSxBXrB,v115@vhH++IvfBMnB6tBdqBKpBzsBRwB,v115@vhHK6IMjBvlB+tBtsBTkByuBRwB,v115@vhH6+IUbBvfBToBdqBKpBWyBRwB,v115@vhHa+IOkBfoBzkBUrBFsBSyBxuB,v115@vhHT5IvfBMoBunBdqBKpBSyBRwB,v115@vhHT1IMjBifB+tBtsB3kByuBRwB,v115@vhH6+IsiBvfBToBdqBKpBWyBRwB,v115@vhHzBJ6oBcpB3lB+sBKtBlrBRvB,v115@vhHaHJTjB/pBUlBFmBWtBSwBxxB,v115@vhHOEJUjBRlBFnB3pBCrBSxBTtB,v115@vhHyFJfnBTjBKpBUqBFrBGtBRxB,v115@vhHG5IKaBvjBtnBKpBTtBUsBRqB,v115@vhHa9IfnBziBKpBUqBFrBGtBRxB,v115@vhHK9I0hB+kBNrBTlBSyBXsBxuB,v115@vhHT5IUbBvfBGjBdqBKpBSyBRwB,v115@vhH++I6tBTnB9rB3lBMpByxBRvB,v115@vhH66IKfBcqB3mB+tBTpBlsBRwB,v115@vhHT1I6kBKpBcqB3mB+tBlsBRwB,v115@vhH5+IejBfnBKpBUqBFrBSxBTtB,v115@vhHc+IfnBSoB2pBFrBSxBTtBxuB,v115@vhHa+IfoBOpB8pBzlBFsBSyBxvB,v115@vhHe+I3hBKkBznBdsBSyBUrBxuB,v115@vhHq6I5oBUhBtqBzkByxB3rB2uB,v115@vhHX5ITVBMjBKkB+tBtsByuBRwB,v115@vhH6DJ3hBZkBznBdsBSyBUrBWvB,v115@vhHyCJfmBKpBzmBUoBFqBWyBRwB,v115@vhHqAJzfBfoB2pBUrBFsBSyBxuB,v115@vhHSAJfoBOpB8pBzlBFsBSyBxvB,v115@vhH38IWmBTfBdsBypBSyBUrBxuB,v115@vhHi1IMfB5oBdlB+rBisB3qBTpB,v115@vhH01IvfBGjBznBdqBKpBSyBRwB,v115@vhHX5IMjBzfBKkB+tBtsByuBRwB,v115@vhH01IvfBCjBToBdqBKpBWyBRwB,v115@vhH01I+jBvfB6sBdqBKpBTtBRwB,v115@vhH5FJzhBfoB0kBKrB2uBFsBSyB,v115@vhHT5ItiBMoBRmBKqBOpBSyBXsB,v115@vhHe9IvfBMnB6tBdqBKpBzsBRwB,v115@vhHq7IMjBvlB+tBtsBTkByuBRwB,v115@vhHe9IvfBMoBTnBdqBKpBSyBRwB,v115@vhH+/IThBCoBdsBXlBSyBUrBxuB,v115@vhH+/IThBCoBdsB0lBSyB3pBxvB,v115@vhHS+IfmB5oBaqBdtBTpBWwBUsB,v115@vhH26IZkB8mBtpBznB3qBywBSyB,v115@vhHT4IMoBunBdsBXmBKpBSyBxvB,v115@vhHi6IMoB9lB3fBSyBxrB2vBTpB
comments,L-s-01,L-s-01M,L-s-03,L-s-04,L-s-04M,L-s-05,L-001,L-s-07,L-s-07M,L-s-07,L-002,L-003,L-006,L-007,L-s-09,L-009,L-s-11,L-s-13,L-s-15,L-011,L-011,L-013,L-013,L-015,L-s-17,L-s-17M,L-s-18,L-s-19,L-016,L-017,L-017,L-s-21,L-s-23,L-s-24,L-s-24M,L-s-24,L-s-26,L-019,L-s-28,L-s-29,L-s-29M,L-s-31,L-s-36,L-s-36,L-022,L-023,L-s-44,L-s-46
score,5671.666667,5671.666667,5511.289683,5508.948413,5508.948413,5457.142857,4983.39,5374.861111,5374.861111,5374.861111,4974.09,4974.09,4964.52,4952.46,5342.02381,4931.09,5325.119048,5305.376984,5283.234127,4845.34,4845.34,4809.33,4809.33,4808.13,5195.376984,5195.376984,5190.257937,5182.896825,4780.24,4771.69,4771.69,5163.710317,5150.634921,5148.611111,5148.611111,5148.611111,5131.646825,4728.91,5105,5097.678571,5097.678571,5088.075397,5048.968254,5048.968254,4638.89,4638.89,5026.111111,5015.436508
TILJSZO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TILJZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TILJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TILSJZO,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,O,X
TILSJOZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TILSZJO,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X
