sequence,v115@BhB8GeB8HeC8DeA8BeD8MeOEJvhFXgBVnBaoB5oBzp?B0sB,v115@BhB8GeB8HeC8DeA8BeD8MeT/IvhFOlBxiBFnBXoB0p?BSyB,v115@BhB8GeB8HeC8DeA8BeD8MeXAJvhFxiB2pBFnB6tBzs?B0pB,v115@BhB8GeB8HeC8DeA8BeD8Mex/IvhFTjB/pBaqBFnBGt?B0sB,v115@BhB8GeB8HeC8DeA8BeD8MeOEJvhFXgBxiBUnBFoBzp?BSyB,v115@BhB8GeB8HeC8DeA8BeD8Me0/IvhFxiB/pBFnB6tBOq?BzsB,v115@BhB8GeB8HeC8DeA8BeD8MeOFJvhFxiBTkBFnBXoBSy?B0pB,v115@BhB8GeB8HeC8DeA8BeD8MeT/IvhF5oBypBFnB8sBXq?BmsB,v115@BhB8GeB8HeC8DeA8BeD8Me0/IvhFxiB2pBFnB6tBzs?BXqB,v115@BhB8GeB8HeC8DeA8BeD8MeT/IvhFxiBypBFnB8sB+t?BXqB,v115@BhB8GeB8HeC8DeA8BeD8Mex/IvhFXiBTkBeqBFoB6t?B0sB,v115@BhB8GeB8HeC8DeA8BeD8MeOEJvhFXgB5oBUnBatBzp?BlsB,v115@BhB8GeB8HeC8DeA8BeD8MemCJvhF5oBikBFnBXlBzs?B0pB,v115@BhB8GeB8HeC8DeA8BeD8MeXAJvhFxiB2pBFnBCtBTt?B0pB,v115@BhB8GeB8HeC8DeA8BeD8Me0/IvhFxiB2pBFnBCtBTt?BXqB,v115@BhB8GeB8HeC8DeA8BeD8MexCJvhFikBFnBToBXlBWy?B0pB
TILJSZO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILJSOZ,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TILJZSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TILJOSZ,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O
TILJOZS,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O
TILSJZO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILSJOZ,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TILSZJO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILSZOJ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILSOJZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSOZJ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILZJSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILZSJO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILZSOJ,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TILZOJS,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TILZOSJ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TILOJSZ,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X
TILOJZS,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TILOSJZ,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X
TILOSZJ,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TILOZJS,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X
TILOZSJ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIJLSZO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TIJLZSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIJLOSZ,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O
TIJLOZS,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O
TIJSLZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TIJSZLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIJZSLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOLS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJZOSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O
TIJOLZS,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TIJOSLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TIJOSZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
TIJOZSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJZO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TISLJOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TISLZJO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TISLZOJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISJLZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TISJZLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJOLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISJOZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZLJO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZLOJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZJLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZJOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZOLJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZOJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOLJZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOLZJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOJLZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOZJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLSJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLOJS,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIZLOSJ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIZJLSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZJSLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZSJLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSJOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLJS,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIZOLSJ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIZOJLS,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZOJSL,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZOSLJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZOSJL,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOLJSZ,O,X,O,X,X,O,O,X,O,X,X,O,O,X,X,X
TIOLJZS,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
TIOLSJZ,O,X,O,X,X,O,O,X,O,X,X,O,O,X,X,X
TIOLSZJ,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X
TIOLZJS,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
TIOLZSJ,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOJLSZ,O,X,O,X,X,X,O,X,O,X,X,O,O,X,X,X
TIOJLZS,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
TIOJSLZ,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
TIOJSZL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOJZLS,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X
TIOJZSL,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOSLJZ,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
TIOSLZJ,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOSJLZ,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
TIOSJZL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOSZLJ,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOSZJL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOZLJS,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TIOZLSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOZJLS,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TIOZJSL,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOZSLJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOZSJL,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIJSZO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLIJSOZ,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X
TLIJZSO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TLIJOSZ,O,X,X,X,O,X,O,X,X,X,X,X,X,O,O,O
TLIJOZS,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O
TLISJZO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLISJOZ,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X
TLISZJO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLISZOJ,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLISOJZ,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLISOZJ,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLIZJSO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIZSJO,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLIZOJS,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLIZOSJ,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLIOJSZ,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X
TLIOJZS,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X
TLIOSJZ,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X
TLIOSZJ,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
TLIOZJS,O,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X
TLIOZSJ,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLJISZO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLJISOZ,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X
TLJIZSO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TLJIOSZ,O,X,X,X,O,X,O,X,X,X,X,X,X,O,O,O
TLJIOZS,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O
TLJSIZO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TLJSZIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLJSZOI,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X
TLJSOIZ,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
TLJSOZI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
TLJZISO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJZIOS,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X
TLJZSIO,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLJZSOI,O,O,O,X,O,X,O,X,O,O,X,X,X,O,O,X
TLJZOIS,O,O,X,X,O,X,X,O,O,O,X,X,X,O,O,O
TLJZOSI,O,O,X,X,O,X,O,X,O,O,X,X,X,O,O,O
TLJOISZ,O,X,O,X,O,X,O,X,O,X,X,X,O,O,O,O
TLJOIZS,O,O,O,X,O,X,X,X,O,X,X,X,O,O,O,O
TLJOSIZ,O,O,O,O,O,X,O,X,O,X,X,X,O,O,O,O
TLJOSZI,O,O,O,O,O,X,O,X,O,X,X,X,X,O,O,O
TLJOZIS,O,O,O,X,O,X,X,O,O,O,X,X,O,O,O,O
TLJOZSI,O,O,O,X,O,X,O,X,O,O,X,X,X,O,O,O
