sequence,v115@IhA8IeA8BeC8DeF8BeA8JeZEJvhFalBulB3hB9oB0n?BzsB
TILJSZO,O
TILJSOZ,X
TILJZSO,O
TILJZOS,X
TILJOSZ,X
TILJOZS,X
TILSJZO,O
TILSJOZ,X
TILSZJO,O
TILSZOJ,X
TILSOJZ,X
TILSOZJ,X
TILZJSO,O
TILZJOS,X
TILZSJO,O
TILZSOJ,X
TILZOJS,X
TILZOSJ,X
TILOJSZ,X
TILOJZS,X
TILOSJZ,X
TILOSZJ,X
TILOZJS,X
TILOZSJ,X
TIJLSZO,O
TIJLSOZ,X
TIJLZSO,O
TIJLZOS,X
TIJLOSZ,X
TIJLOZS,X
TIJSLZO,O
TIJSLOZ,X
TIJSZLO,O
TIJSZOL,X
TIJSOLZ,X
TIJSOZL,X
TIJZLSO,O
TIJZLOS,X
TIJZSLO,O
TIJZSOL,X
TIJZOLS,X
TIJZOSL,X
TIJOLSZ,X
TIJOLZS,X
TIJOSLZ,X
TIJOSZL,X
TIJOZLS,X
TIJOZSL,X
TISLJZO,O
TISLJOZ,X
TISLZJO,O
TISLZOJ,X
TISLOJZ,X
TISLOZJ,X
TISJLZO,O
TISJLOZ,X
TISJZLO,O
TISJZOL,X
TISJOLZ,X
TISJOZL,X
TISZLJO,O
TISZLOJ,X
TISZJLO,O
TISZJOL,X
TISZOLJ,X
TISZOJL,X
TISOLJZ,X
TISOLZJ,X
TISOJLZ,X
TISOJZL,X
TISOZLJ,X
TISOZJL,X
TIZLJSO,O
TIZLJOS,X
TIZLSJO,O
TIZLSOJ,X
TIZLOJS,X
TIZLOSJ,X
TIZJLSO,O
TIZJLOS,X
TIZJSLO,O
TIZJSOL,X
TIZJOLS,X
TIZJOSL,X
TIZSLJO,O
TIZSLOJ,X
TIZSJLO,O
TIZSJOL,X
TIZSOLJ,X
TIZSOJL,X
TIZOLJS,X
TIZOLSJ,X
TIZOJLS,X
TIZOJSL,X
TIZOSLJ,X
TIZOSJL,X
TIOLJSZ,X
TIOLJZS,X
TIOLSJZ,X
TIOLSZJ,X
TIOLZJS,X
TIOLZSJ,X
TIOJLSZ,X
TIOJLZS,X
TIOJSLZ,X
TIOJSZL,X
TIOJZLS,X
TIOJZSL,X
TIOSLJZ,X
TIOSLZJ,X
TIOSJLZ,X
TIOSJZL,X
TIOSZLJ,X
TIOSZJL,X
TIOZLJS,X
TIOZLSJ,X
TIOZJLS,X
TIOZJSL,X
TIOZSLJ,X
TIOZSJL,X
TLIJSZO,O
TLIJSOZ,X
TLIJZSO,O
TLIJZOS,X
TLIJOSZ,X
TLIJOZS,X
TLISJZO,O
TLISJOZ,X
TLISZJO,O
TLISZOJ,X
TLISOJZ,X
TLISOZJ,X
TLIZJSO,O
TLIZJOS,X
TLIZSJO,O
TLIZSOJ,X
TLIZOJS,X
TLIZOSJ,X
TLIOJSZ,X
TLIOJZS,X
TLIOSJZ,X
TLIOSZJ,X
TLIOZJS,X
TLIOZSJ,X
TLJISZO,O
TLJISOZ,X
TLJIZSO,O
TLJIZOS,X
TLJIOSZ,X
TLJIOZS,X
TLJSIZO,O
TLJSIOZ,X
TLJSZIO,O
TLJSZOI,X
TLJSOIZ,X
TLJSOZI,X
TLJZISO,O
TLJZIOS,X
TLJZSIO,O
TLJZSOI,X
TLJZOIS,X
TLJZOSI,X
TLJOISZ,X
TLJOIZS,X
TLJOSIZ,X
TLJOSZI,X
TLJOZIS,X
TLJOZSI,X
TLSIJZO,O
TLSIJOZ,X
TLSIZJO,O
TLSIZOJ,X
TLSIOJZ,X
TLSIOZJ,X
TLSJIZO,O
TLSJIOZ,X
TLSJZIO,O
TLSJZOI,X
TLSJOIZ,X
TLSJOZI,X
TLSZIJO,O
TLSZIOJ,X
TLSZJIO,O
TLSZJOI,X
TLSZOIJ,X
TLSZOJI,X
TLSOIJZ,X
TLSOIZJ,X
TLSOJIZ,X
TLSOJZI,X
TLSOZIJ,X
TLSOZJI,X
TLZIJSO,O
TLZIJOS,X
TLZISJO,O
TLZISOJ,X
TLZIOJS,X
TLZIOSJ,X
TLZJISO,O
TLZJIOS,X
TLZJSIO,O
TLZJSOI,X
TLZJOIS,X
TLZJOSI,X
TLZSIJO,O
TLZSIOJ,X
TLZSJIO,O
TLZSJOI,X
TLZSOIJ,X
TLZSOJI,X
TLZOIJS,X
TLZOISJ,X
TLZOJIS,X
TLZOJSI,X
TLZOSIJ,X
TLZOSJI,X
TLOIJSZ,X
TLOIJZS,X
