sequence,v115@GhA8IeA8CeA8EeE8BeD8Jei/IvhF3gBRiB1pBOrB8r?BzsB,v115@GhA8IeA8CeA8EeE8BeD8Jel/IvhF3gBUiBaoB2pBxr?BTrB,v115@GhA8IeA8CeA8EeE8BeD8JeOEJvhFxgBliBzkBUmBys?B3rB,v115@GhA8IeA8CeA8EeE8BeD8JeKEJvhFflBRiBFmB8rBzn?BmqB,v115@GhA8IeA8CeA8EeE8BeD8Je/HJvhFaoBTkBxlBmkB1r?BUrB,v115@GhA8IeA8CeA8EeE8BeD8JecGJvhFxkBlnBTkBilBmn?B3rB
IOTZSLJ,O,X,X,O,X,X
IOTZSJL,O,X,X,X,X,X
IOLTJSZ,O,X,O,X,X,X
IOLTJZS,O,X,O,X,X,X
IOLTSJZ,O,X,O,X,O,X
IOLTSZJ,O,X,X,O,O,X
IOLTZJS,O,X,O,O,X,X
IOLTZSJ,O,X,O,O,X,X
IOLJTSZ,X,O,O,X,X,X
IOLJTZS,X,O,O,X,X,X
IOLJSTZ,X,O,O,X,O,X
IOLJSZT,X,O,X,O,O,X
IOLJZTS,X,O,O,O,X,X
IOLJZST,X,O,O,O,X,X
IOLSTJZ,O,X,O,X,O,X
IOLSTZJ,O,O,X,O,O,X
IOLSJTZ,X,O,O,X,O,X
IOLSJZT,X,O,X,O,O,X
IOLSZTJ,X,O,X,O,O,X
IOLSZJT,X,O,X,O,O,X
IOLZTJS,O,X,O,O,X,X
IOLZTSJ,O,X,O,O,X,X
IOLZJTS,X,O,O,O,X,X
IOLZJST,X,O,O,O,X,X
IOLZSTJ,O,O,O,O,O,X
IOLZSJT,X,O,O,O,O,X
IOJTLSZ,O,O,O,X,X,X
IOJTLZS,O,O,O,X,X,X
IOJTSLZ,O,O,X,X,X,X
IOJTSZL,O,O,X,X,X,X
IOJTZLS,O,O,O,X,X,X
IOJTZSL,O,O,X,X,X,X
IOJLTSZ,X,O,O,X,X,X
IOJLTZS,X,O,O,X,X,X
IOJLSTZ,X,O,O,X,O,X
IOJLSZT,X,O,X,O,O,X
IOJLZTS,X,O,O,O,X,X
IOJLZST,X,O,O,O,X,X
IOJSTLZ,O,O,X,X,X,X
IOJSTZL,O,O,X,X,X,X
IOJSLTZ,X,O,O,X,O,X
IOJSLZT,X,O,X,X,O,X
IOJSZTL,O,O,X,X,X,X
IOJSZLT,O,O,O,X,X,X
IOJZTLS,O,O,O,O,X,X
IOJZTSL,O,O,X,X,X,X
IOJZLTS,X,O,O,O,X,X
IOJZLST,X,O,O,O,X,X
IOJZSTL,O,O,X,X,X,X
IOJZSLT,X,O,O,X,X,X
IOSTLJZ,O,X,X,X,O,X
IOSTLZJ,O,O,X,X,O,X
IOSTJLZ,O,X,X,X,X,X
IOSTJZL,O,X,X,X,X,X
IOSTZLJ,O,O,X,X,X,O
IOSTZJL,O,X,X,X,X,O
IOSLTJZ,O,X,O,X,O,X
IOSLTZJ,O,O,X,O,O,X
IOSLJTZ,X,O,O,X,O,X
IOSLJZT,X,O,X,O,O,X
IOSLZTJ,X,O,X,O,O,X
IOSLZJT,X,O,X,O,O,X
IOSJTLZ,O,O,X,X,X,X
IOSJTZL,O,O,X,X,X,X
IOSJLTZ,X,O,O,X,O,X
IOSJLZT,X,O,X,X,O,X
IOSJZTL,O,O,X,X,X,X
IOSJZLT,O,O,O,X,X,X
IOSZTLJ,O,O,X,O,X,O
IOSZTJL,O,X,X,X,X,O
IOSZLTJ,O,O,O,O,O,X
IOSZLJT,X,O,O,O,O,X
IOSZJTL,O,O,X,X,X,X
IOSZJLT,X,O,O,X,X,X
IOZTLJS,O,X,O,O,X,X
IOZTLSJ,O,X,O,O,X,X
IOZTJLS,O,X,O,O,X,X
IOZTJSL,O,X,X,X,X,X
IOZTSLJ,O,X,X,O,X,X
IOZTSJL,O,X,X,X,X,X
IOZLTJS,O,X,O,O,X,X
IOZLTSJ,O,X,O,O,X,X
IOZLJTS,X,O,O,O,X,X
IOZLJST,X,O,O,O,X,X
IOZLSTJ,O,O,O,O,O,X
IOZLSJT,X,O,O,O,O,X
IOZJTLS,O,O,O,O,X,X
IOZJTSL,O,O,X,X,X,X
IOZJLTS,O,O,O,O,X,X
IOZJLST,O,O,O,O,X,X
IOZJSTL,O,O,X,X,X,X
IOZJSLT,O,O,O,X,X,X
IOZSTLJ,O,O,X,O,X,X
IOZSTJL,O,X,X,X,X,X
IOZSLTJ,O,O,O,O,O,X
IOZSLJT,X,O,O,O,O,X
IOZSJTL,O,O,X,X,X,X
IOZSJLT,X,O,O,X,X,X
LTIJSZO,O,O,X,X,X,X
LTIJSOZ,O,O,X,X,X,X
LTIJZSO,X,O,O,X,X,X
LTIJZOS,X,O,O,X,X,X
LTIJOSZ,O,O,X,X,X,X
LTIJOZS,X,O,X,X,X,X
LTISJZO,O,O,X,X,X,X
LTISJOZ,O,O,X,X,X,X
LTISZJO,O,O,X,X,X,O
LTISZOJ,O,O,X,X,X,O
LTISOJZ,O,X,X,X,O,X
LTISOZJ,O,O,X,X,O,X
LTIZJSO,O,O,O,X,X,X
LTIZJOS,O,O,O,X,X,X
LTIZSJO,O,O,O,X,X,X
LTIZSOJ,O,O,O,X,X,X
LTIZOJS,O,X,O,X,X,X
LTIZOSJ,O,X,O,X,X,X
LTIOJSZ,O,X,O,X,X,X
LTIOJZS,O,X,O,X,X,X
LTIOSJZ,O,X,O,X,O,X
LTIOSZJ,O,X,X,X,O,X
LTIOZJS,O,X,O,X,X,X
LTIOZSJ,O,X,O,X,X,X
LTJISZO,O,O,X,X,X,X
LTJISOZ,O,O,X,X,X,X
LTJIZSO,X,O,O,X,X,X
LTJIZOS,X,O,O,X,X,X
LTJIOSZ,O,O,X,X,X,X
LTJIOZS,X,O,X,X,X,X
LTJSIZO,O,O,X,X,X,X
LTJSIOZ,O,O,X,X,X,X
LTJSZIO,O,O,O,X,X,X
LTJSZOI,O,X,X,X,X,X
LTJSOIZ,O,O,X,X,X,X
LTJSOZI,O,X,X,X,X,X
LTJZISO,O,O,O,X,X,X
LTJZIOS,O,O,O,X,X,X
LTJZSIO,O,O,O,X,X,X
LTJZSOI,O,X,X,X,X,X
LTJZOIS,O,X,O,X,X,X
LTJZOSI,O,X,O,X,X,X
LTJOISZ,O,O,O,X,X,X
LTJOIZS,O,O,O,X,X,X
LTJOSIZ,O,O,O,X,X,X
LTJOSZI,O,X,O,X,X,X
LTJOZIS,O,X,O,X,X,X
LTJOZSI,O,X,O,X,X,X
LTSIJZO,O,O,X,X,X,X
LTSIJOZ,O,O,X,X,X,X
LTSIZJO,O,O,X,X,X,O
LTSIZOJ,O,O,X,X,X,O
LTSIOJZ,O,X,X,X,O,X
LTSIOZJ,O,O,X,X,O,X
LTSJIZO,O,O,X,X,X,X
LTSJIOZ,O,O,X,X,X,X
LTSJZIO,O,O,O,X,X,X
LTSJZOI,O,X,X,X,X,X
LTSJOIZ,O,O,X,X,X,X
LTSJOZI,O,X,X,X,X,X
LTSZIJO,O,O,O,X,X,O
LTSZIOJ,O,O,O,O,X,O
LTSZJIO,O,X,O,X,X,X
LTSZJOI,O,X,X,O,X,X
LTSZOIJ,O,X,O,O,X,X
LTSZOJI,O,X,O,O,X,X
LTSOIJZ,O,X,O,X,O,X
LTSOIZJ,O,O,X,O,O,X
LTSOJIZ,O,X,O,X,X,X
LTSOJZI,O,X,O,X,X,X
LTSOZIJ,O,X,O,O,X,X
LTSOZJI,O,X,O,O,X,X
LTZIJSO,O,X,O,X,X,X
LTZIJOS,O,X,O,X,X,X
LTZISJO,O,X,O,X,X,X
LTZISOJ,O,X,O,O,X,X
LTZIOJS,O,X,O,O,X,X
LTZIOSJ,O,X,O,O,X,X
LTZJISO,O,X,O,X,X,X
LTZJIOS,O,X,O,X,X,X
LTZJSIO,O,X,O,X,X,X
LTZJSOI,O,X,X,O,X,X
LTZJOIS,O,X,O,O,X,X
LTZJOSI,O,X,O,O,X,X
LTZSIJO,O,X,O,X,X,X
LTZSIOJ,O,X,O,O,X,X
LTZSJIO,O,X,O,X,X,X
LTZSJOI,O,X,X,O,X,X
LTZSOIJ,O,X,O,O,X,X
LTZSOJI,O,X,O,O,X,X
LTZOIJS,O,X,O,O,X,X
LTZOISJ,O,X,O,O,X,X
LTZOJIS,O,X,O,O,X,X
LTZOJSI,O,X,O,O,X,X
LTZOSIJ,O,X,O,O,X,X
LTZOSJI,O,X,O,O,X,X
LTOIJSZ,O,X,O,X,X,X
LTOIJZS,O,X,O,X,X,X
LTOISJZ,O,X,O,X,O,X
LTOISZJ,O,X,X,O,O,X
LTOIZJS,O,X,O,O,X,X
LTOIZSJ,O,X,O,O,X,X
LTOJISZ,O,X,O,X,X,X
LTOJIZS,O,X,O,X,X,X
LTOJSIZ,O,X,O,X,X,X
LTOJSZI,O,X,O,X,X,X
LTOJZIS,O,X,O,X,X,X
LTOJZSI,O,X,O,X,X,X
LTOSIJZ,O,X,O,X,O,X
LTOSIZJ,O,X,X,O,O,X
LTOSJIZ,O,X,O,X,X,X
LTOSJZI,O,X,O,X,X,X
LTOSZIJ,O,X,O,O,X,X
LTOSZJI,O,X,O,O,X,X
LTOZIJS,O,X,O,O,X,X
LTOZISJ,O,X,O,O,X,X
LTOZJIS,O,X,O,O,X,X
LTOZJSI,O,X,O,O,X,X
LTOZSIJ,O,X,O,O,X,X
LTOZSJI,O,X,O,O,X,X
LITJSZO,X,O,X,X,X,X
LITJSOZ,X,O,X,X,X,X
LITJZSO,X,O,O,X,X,X
LITJZOS,X,O,O,X,X,X
LITJOSZ,X,O,X,X,X,X
LITJOZS,X,O,X,X,X,X
LITSJZO,X,O,X,X,X,X
LITSJOZ,X,O,X,X,X,X
LITSZJO,X,O,X,X,X,O
LITSZOJ,X,O,X,X,X,O
LITSOJZ,X,X,X,X,O,X
LITSOZJ,X,O,X,X,O,X
LITZJSO,X,O,O,X,X,X
LITZJOS,X,O,O,X,X,X
LITZSJO,X,O,O,X,X,X
LITZSOJ,X,O,O,X,X,X
LITZOJS,X,X,O,X,X,X
LITZOSJ,X,X,O,X,X,X
LITOJSZ,X,X,O,X,X,X
LITOJZS,X,X,O,X,X,X
LITOSJZ,X,X,O,X,O,X
LITOSZJ,X,X,X,X,O,X
LITOZJS,X,X,O,X,X,X
LITOZSJ,X,X,O,X,X,X
LIJTSZO,X,O,X,X,X,X
LIJTSOZ,X,O,X,X,X,X
LIJTZSO,X,O,O,X,X,X
LIJTZOS,X,O,O,X,X,X
LIJTOSZ,X,O,X,X,X,X
LIJTOZS,X,O,X,X,X,X
LIJSTZO,X,O,X,X,X,X
LIJSTOZ,X,O,X,X,X,X
LIJSZTO,X,O,X,X,X,X
LIJSZOT,X,O,X,X,X,X
LIJSOTZ,X,O,X,X,O,X
LIJSOZT,X,O,X,X,O,X
LIJZTSO,X,O,O,X,X,X
LIJZTOS,X,O,O,X,X,X
LIJZSTO,X,O,O,X,X,X
LIJZSOT,X,O,X,X,X,X
LIJZOTS,X,O,O,X,X,X
LIJZOST,X,O,X,X,X,X
LIJOTSZ,X,O,X,X,X,X
LIJOTZS,X,O,X,X,X,X
LIJOSTZ,X,O,X,X,O,X
LIJOSZT,X,O,X,X,O,X
LIJOZTS,X,O,X,X,X,X
LIJOZST,X,O,X,X,X,X
LISTJZO,X,O,X,X,X,X
LISTJOZ,X,O,X,X,X,X
LISTZJO,X,O,X,X,X,O
LISTZOJ,X,O,X,X,X,O
LISTOJZ,X,X,X,X,O,X
LISTOZJ,X,O,X,X,O,X
LISJTZO,X,O,X,X,X,X
LISJTOZ,X,O,X,X,X,X
LISJZTO,X,O,X,X,X,X
LISJZOT,X,O,X,X,X,X
LISJOTZ,X,O,X,X,O,X
LISJOZT,X,O,X,X,O,X
LISZTJO,X,O,X,X,X,O
LISZTOJ,X,O,X,O,X,O
LISZJTO,X,O,X,X,X,X
LISZJOT,X,O,X,X,X,X
LISZOTJ,X,O,X,O,O,X
LISZOJT,X,O,X,O,O,X
LISOTJZ,X,X,X,X,O,X
LISOTZJ,X,O,X,O,O,X
LISOJTZ,X,O,X,X,O,X
LISOJZT,X,O,X,O,O,X
LISOZTJ,X,O,X,O,O,X
LISOZJT,X,O,X,O,O,X
LIZTJSO,X,O,O,X,X,X
LIZTJOS,X,O,O,X,X,X
LIZTSJO,X,O,O,X,X,X
LIZTSOJ,X,O,O,O,X,X
LIZTOJS,X,X,O,O,X,X
LIZTOSJ,X,X,O,O,X,X
LIZJTSO,X,O,O,X,X,X
LIZJTOS,X,O,O,X,X,X
LIZJSTO,X,O,O,X,X,X
LIZJSOT,X,O,X,X,X,X
LIZJOTS,X,O,O,X,X,X
LIZJOST,X,O,O,X,X,X
LIZSTJO,X,O,O,X,X,X
LIZSTOJ,X,O,O,O,X,X
LIZSJTO,X,O,O,X,X,X
LIZSJOT,X,O,X,X,X,X
LIZSOTJ,X,O,O,O,O,X
LIZSOJT,X,O,O,O,O,X
LIZOTJS,X,X,O,O,X,X
LIZOTSJ,X,X,O,O,X,X
LIZOJTS,X,O,O,O,X,X
LIZOJST,X,O,O,O,X,X
LIZOSTJ,X,O,O,O,O,X
LIZOSJT,X,O,O,O,O,X
LIOTJSZ,X,X,O,X,X,X
LIOTJZS,X,X,O,X,X,X
LIOTSJZ,X,X,O,X,O,X
LIOTSZJ,X,X,X,O,O,X
LIOTZJS,X,X,O,O,X,X
LIOTZSJ,X,X,O,O,X,X
LIOJTSZ,X,O,O,X,X,X
LIOJTZS,X,O,O,X,X,X
LIOJSTZ,X,O,O,X,O,X
LIOJSZT,X,O,X,O,O,X
LIOJZTS,X,O,O,O,X,X
LIOJZST,X,O,O,O,X,X
LIOSTJZ,X,X,O,X,O,X
LIOSTZJ,X,O,X,O,O,X
LIOSJTZ,X,O,O,X,O,X
LIOSJZT,X,O,X,O,O,X
LIOSZTJ,X,O,X,O,O,X
LIOSZJT,X,O,X,O,O,X
LIOZTJS,X,X,O,O,X,X
LIOZTSJ,X,X,O,O,X,X
LIOZJTS,X,O,O,O,X,X
LIOZJST,X,O,O,O,X,X
LIOZSTJ,X,O,O,O,O,X
LIOZSJT,X,O,O,O,O,X
LJTISZO,O,O,X,X,X,X
LJTISOZ,O,O,X,X,X,X
LJTIZSO,X,O,O,X,X,X
LJTIZOS,X,O,O,X,X,X
LJTIOSZ,O,O,X,X,X,X
LJTIOZS,X,O,X,X,X,X
LJTSIZO,O,O,X,X,X,X
LJTSIOZ,O,O,X,X,X,X
LJTSZIO,O,O,O,X,X,X
LJTSZOI,O,X,X,X,X,X
LJTSOIZ,O,O,X,X,X,X
LJTSOZI,O,X,X,X,X,X
LJTZISO,X,O,O,X,X,X
LJTZIOS,X,O,O,X,X,X
LJTZSIO,O,O,O,X,X,X
LJTZSOI,O,X,X,X,X,X
LJTZOIS,X,X,O,X,X,X
LJTZOSI,O,X,O,X,X,X
LJTOISZ,O,O,O,X,X,X
LJTOIZS,X,O,O,X,X,X
LJTOSIZ,O,O,O,X,X,X
LJTOSZI,O,X,O,X,X,X
LJTOZIS,X,X,O,X,X,X
LJTOZSI,O,X,O,X,X,X
LJITSZO,X,O,X,X,X,X
LJITSOZ,X,O,X,X,X,X
LJITZSO,X,O,O,X,X,X
LJITZOS,X,O,O,X,X,X
LJITOSZ,X,O,X,X,X,X
LJITOZS,X,O,X,X,X,X
LJISTZO,X,O,X,X,X,X
LJISTOZ,X,O,X,X,X,X
LJISZTO,X,O,X,X,X,X
LJISZOT,X,O,X,X,X,X
LJISOTZ,X,O,X,X,O,X
LJISOZT,X,O,X,X,O,X
LJIZTSO,X,O,O,X,X,X
LJIZTOS,X,O,O,X,X,X
LJIZSTO,X,O,O,X,X,X
LJIZSOT,X,O,X,X,X,X
LJIZOTS,X,O,O,X,X,X
LJIZOST,X,O,X,X,X,X
LJIOTSZ,X,O,X,X,X,X
LJIOTZS,X,O,X,X,X,X
LJIOSTZ,X,O,X,X,O,X
LJIOSZT,X,O,X,X,O,X
LJIOZTS,X,O,X,X,X,X
LJIOZST,X,O,X,X,X,X
LJSTIZO,O,O,X,X,X,X
LJSTIOZ,O,O,X,X,X,X
LJSTZIO,O,O,O,X,X,X
LJSTZOI,O,X,X,X,X,X
LJSTOIZ,O,O,X,X,X,X
LJSTOZI,O,X,X,X,X,X
LJSITZO,X,O,X,X,X,X
LJSITOZ,X,O,X,X,X,X
LJSIZTO,X,O,X,X,X,X
LJSIZOT,X,O,X,X,X,X
LJSIOTZ,X,O,X,X,O,X
LJSIOZT,X,O,X,X,O,X
LJSZTIO,O,O,O,X,X,X
LJSZTOI,O,X,X,O,X,X
LJSZITO,O,O,O,X,X,X
LJSZIOT,X,O,X,X,X,X
LJSZOTI,O,X,X,O,X,X
LJSZOIT,O,X,X,O,X,X
LJSOTIZ,O,O,X,X,X,X
LJSOTZI,O,X,X,X,X,X
LJSOITZ,X,O,X,X,O,X
LJSOIZT,X,O,X,O,O,X
LJSOZTI,O,X,X,O,X,X
LJSOZIT,O,X,X,O,X,X
LJZTISO,X,O,O,X,X,X
LJZTIOS,X,O,O,X,X,X
LJZTSIO,X,O,O,X,X,X
LJZTSOI,X,X,X,O,X,X
LJZTOIS,X,X,O,O,X,X
LJZTOSI,X,X,O,O,X,X
LJZITSO,X,O,O,X,X,X
LJZITOS,X,O,O,X,X,X
LJZISTO,X,O,O,X,X,X
LJZISOT,X,O,X,X,X,X
LJZIOTS,X,O,O,X,X,X
LJZIOST,X,O,O,X,X,X
LJZSTIO,X,O,O,X,X,X
LJZSTOI,X,X,X,O,X,X
LJZSITO,X,O,O,X,X,X
LJZSIOT,X,O,X,X,X,X
LJZSOTI,X,X,X,O,X,X
LJZSOIT,X,X,X,O,X,X
LJZOTIS,X,X,O,O,X,X
LJZOTSI,X,X,O,O,X,X
LJZOITS,X,X,O,O,X,X
LJZOIST,X,X,O,O,X,X
LJZOSTI,X,X,O,O,X,X
LJZOSIT,X,X,O,O,X,X
LJOTISZ,O,O,O,X,X,X
LJOTIZS,X,O,O,X,X,X
LJOTSIZ,O,O,O,X,X,X
LJOTSZI,O,X,O,X,X,X
LJOTZIS,X,X,O,X,X,X
LJOTZSI,O,X,O,X,X,X
LJOITSZ,X,O,O,X,X,X
LJOITZS,X,O,O,X,X,X
LJOISTZ,X,O,O,X,O,X
LJOISZT,X,O,X,O,O,X
LJOIZTS,X,O,O,O,X,X
LJOIZST,X,O,O,O,X,X
LJOSTIZ,O,O,O,X,X,X
LJOSTZI,O,X,O,X,X,X
LJOSITZ,X,O,O,X,O,X
LJOSIZT,X,O,X,O,O,X
LJOSZTI,O,X,O,O,X,X
LJOSZIT,O,X,O,O,X,X
LJOZTIS,X,X,O,O,X,X
LJOZTSI,X,X,O,O,X,X
LJOZITS,X,X,O,O,X,X
LJOZIST,X,X,O,O,X,X
LJOZSTI,X,X,O,O,X,X
LJOZSIT,X,X,O,O,X,X
LSTIJZO,O,O,X,X,X,X
LSTIJOZ,O,O,X,X,X,X
LSTIZJO,O,O,X,X,X,O
LSTIZOJ,O,O,X,X,X,O
LSTIOJZ,O,X,X,X,O,X
LSTIOZJ,O,O,X,X,O,X
LSTJIZO,O,O,X,X,X,X
LSTJIOZ,O,O,X,X,X,X
LSTJZIO,O,O,O,X,X,X
LSTJZOI,O,X,X,X,X,X
LSTJOIZ,O,O,X,X,X,X
LSTJOZI,O,X,X,X,X,X
LSTZIJO,O,O,O,X,X,O
LSTZIOJ,O,O,O,O,X,O
LSTZJIO,O,X,O,X,X,X
LSTZJOI,O,X,X,O,X,X
LSTZOIJ,O,X,O,O,X,X
LSTZOJI,O,X,O,O,X,X
LSTOIJZ,O,X,O,X,O,X
LSTOIZJ,O,O,X,O,O,X
LSTOJIZ,O,X,O,X,X,X
LSTOJZI,O,X,O,X,X,X
LSTOZIJ,O,X,O,O,X,X
LSTOZJI,O,X,O,O,X,X
LSITJZO,X,O,X,X,X,X
LSITJOZ,X,O,X,X,X,X
LSITZJO,X,O,X,X,X,O
LSITZOJ,X,O,X,X,X,O
LSITOJZ,X,X,X,X,O,X
LSITOZJ,X,O,X,X,O,X
LSIJTZO,X,O,X,X,X,X
LSIJTOZ,X,O,X,X,X,X
LSIJZTO,X,O,X,X,X,X
LSIJZOT,X,O,X,X,X,X
LSIJOTZ,X,O,X,X,O,X
LSIJOZT,X,O,X,X,O,X
LSIZTJO,X,O,X,X,X,O
LSIZTOJ,X,O,X,O,X,O
LSIZJTO,X,O,X,X,X,X
LSIZJOT,X,O,X,X,X,X
LSIZOTJ,X,O,X,O,O,X
LSIZOJT,X,O,X,O,O,X
LSIOTJZ,X,X,X,X,O,X
LSIOTZJ,X,O,X,O,O,X
LSIOJTZ,X,O,X,X,O,X
LSIOJZT,X,O,X,O,O,X
LSIOZTJ,X,O,X,O,O,X
LSIOZJT,X,O,X,O,O,X
LSJTIZO,O,O,X,X,X,X
LSJTIOZ,O,O,X,X,X,X
LSJTZIO,O,O,O,X,X,X
LSJTZOI,O,X,X,X,X,X
LSJTOIZ,O,O,X,X,X,X
LSJTOZI,O,X,X,X,X,X
LSJITZO,X,O,X,X,X,X
LSJITOZ,X,O,X,X,X,X
LSJIZTO,X,O,X,X,X,X
LSJIZOT,X,O,X,X,X,X
LSJIOTZ,X,O,X,X,O,X
LSJIOZT,X,O,X,X,O,X
LSJZTIO,O,O,O,X,X,X
LSJZTOI,O,X,X,O,X,X
LSJZITO,O,O,O,X,X,X
LSJZIOT,X,O,X,X,X,X
LSJZOTI,O,X,X,O,X,X
LSJZOIT,O,X,X,O,X,X
LSJOTIZ,O,O,X,X,X,X
LSJOTZI,O,X,X,X,X,X
LSJOITZ,X,O,X,X,O,X
LSJOIZT,X,O,X,O,O,X
LSJOZTI,O,X,X,O,X,X
LSJOZIT,O,X,X,O,X,X
LSZTIJO,O,O,O,X,X,O
LSZTIOJ,O,O,O,O,X,O
LSZTJIO,O,X,O,X,X,X
LSZTJOI,O,X,X,O,X,X
LSZTOIJ,O,X,O,O,X,X
LSZTOJI,O,X,O,O,X,X
LSZITJO,O,O,O,X,X,O
LSZITOJ,O,O,O,O,X,O
LSZIJTO,X,O,O,X,X,X
LSZIJOT,X,O,X,X,X,X
LSZIOTJ,X,O,O,O,O,X
LSZIOJT,X,O,O,O,O,X
LSZJTIO,X,O,O,X,X,X
LSZJTOI,X,X,X,O,X,X
LSZJITO,X,O,O,X,X,X
LSZJIOT,X,O,X,X,X,X
LSZJOTI,X,X,X,O,X,X
LSZJOIT,X,X,X,O,X,X
LSZOTIJ,O,X,O,O,X,X
LSZOTJI,O,X,O,O,X,X
LSZOITJ,O,X,O,O,O,X
LSZOIJT,X,X,O,O,O,X
LSZOJTI,X,X,O,O,X,X
LSZOJIT,X,X,O,O,X,X
LSOTIJZ,O,X,O,X,O,X
LSOTIZJ,O,O,X,O,O,X
LSOTJIZ,O,X,O,X,X,X
LSOTJZI,O,X,O,X,X,X
LSOTZIJ,O,X,O,O,X,X
LSOTZJI,O,X,O,O,X,X
LSOITJZ,O,X,O,X,O,X
LSOITZJ,O,O,X,O,O,X
LSOIJTZ,X,O,O,X,O,X
LSOIJZT,X,O,X,O,O,X
LSOIZTJ,X,O,X,O,O,X
LSOIZJT,X,O,X,O,O,X
LSOJTIZ,O,O,O,X,X,X
LSOJTZI,O,X,O,X,X,X
LSOJITZ,X,O,O,X,O,X
LSOJIZT,X,O,X,O,O,X
LSOJZTI,O,X,O,O,X,X
LSOJZIT,O,X,O,O,X,X
LSOZTIJ,O,X,O,O,X,X
LSOZTJI,O,X,O,O,X,X
LSOZITJ,O,X,O,O,O,X
LSOZIJT,X,X,O,O,O,X
LSOZJTI,X,X,O,O,X,X
LSOZJIT,X,X,O,O,X,X
LZTIJSO,O,X,O,X,X,X
LZTIJOS,O,X,O,X,X,X
LZTISJO,O,X,O,X,X,X
LZTISOJ,O,X,O,O,X,X
LZTIOJS,O,X,O,O,X,X
LZTIOSJ,O,X,O,O,X,X
LZTJISO,O,X,O,X,X,X
LZTJIOS,O,X,O,X,X,X
LZTJSIO,O,X,O,X,X,X
LZTJSOI,O,X,X,O,X,X
LZTJOIS,O,X,O,O,X,X
LZTJOSI,O,X,O,O,X,X
LZTSIJO,O,X,O,X,X,X
LZTSIOJ,O,X,O,O,X,X
LZTSJIO,O,X,O,X,X,X
LZTSJOI,O,X,X,O,X,X
LZTSOIJ,O,X,O,O,X,X
LZTSOJI,O,X,O,O,X,X
LZTOIJS,O,X,O,O,X,X
LZTOISJ,O,X,O,O,X,X
LZTOJIS,O,X,O,O,X,X
LZTOJSI,O,X,O,O,X,X
LZTOSIJ,O,X,O,O,X,X
LZTOSJI,O,X,O,O,X,X
LZITJSO,O,O,O,X,X,X
LZITJOS,X,O,O,X,X,X
LZITSJO,O,O,O,X,X,X
LZITSOJ,O,O,O,O,X,X
LZITOJS,X,X,O,O,X,X
LZITOSJ,O,X,O,O,X,X
LZIJTSO,X,O,O,X,X,X
LZIJTOS,X,O,O,X,X,X
LZIJSTO,X,O,O,X,X,X
LZIJSOT,X,O,X,X,X,X
LZIJOTS,X,O,O,X,X,X
LZIJOST,X,O,O,X,X,X
LZISTJO,O,O,O,X,X,X
LZISTOJ,O,O,O,O,X,X
LZISJTO,X,O,O,X,X,X
LZISJOT,X,O,X,X,X,X
LZISOTJ,X,O,O,O,O,X
LZISOJT,X,O,O,O,O,X
LZIOTJS,X,X,O,O,X,X
LZIOTSJ,X,X,O,O,X,X
LZIOJTS,X,O,O,O,X,X
LZIOJST,X,O,O,O,X,X
LZIOSTJ,X,O,O,O,O,X
LZIOSJT,X,O,O,O,O,X
LZJTISO,O,O,O,X,X,X
LZJTIOS,O,O,O,X,X,X
LZJTSIO,O,O,O,X,X,X
LZJTSOI,O,X,X,O,X,X
LZJTOIS,O,X,O,O,X,X
LZJTOSI,O,X,O,O,X,X
LZJITSO,O,O,O,X,X,X
LZJITOS,O,O,O,X,X,X
LZJISTO,O,O,O,X,X,X
LZJISOT,X,O,X,X,X,X
LZJIOTS,X,O,O,X,X,X
LZJIOST,X,O,O,X,X,X
LZJSTIO,O,O,O,X,X,X
LZJSTOI,O,X,X,O,X,X
LZJSITO,O,O,O,X,X,X
LZJSIOT,X,O,X,X,X,X
LZJSOTI,O,X,X,O,X,X
LZJSOIT,O,X,X,O,X,X
LZJOTIS,O,X,O,O,X,X
LZJOTSI,O,X,O,O,X,X
LZJOITS,O,X,O,O,X,X
LZJOIST,O,X,O,O,X,X
LZJOSTI,O,X,O,O,X,X
LZJOSIT,O,X,O,O,X,X
LZSTIJO,O,O,O,X,X,X
LZSTIOJ,O,O,O,O,X,X
LZSTJIO,O,X,O,X,X,X
LZSTJOI,O,X,X,O,X,X
LZSTOIJ,O,X,O,O,X,X
LZSTOJI,O,X,O,O,X,X
LZSITJO,O,O,O,X,X,X
LZSITOJ,O,O,O,O,X,X
LZSIJTO,X,O,O,X,X,X
LZSIJOT,X,O,X,X,X,X
LZSIOTJ,X,O,O,O,O,X
LZSIOJT,X,O,O,O,O,X
LZSJTIO,X,O,O,X,X,X
LZSJTOI,X,X,X,O,X,X
LZSJITO,X,O,O,X,X,X
LZSJIOT,X,O,X,X,X,X
LZSJOTI,X,X,X,O,X,X
LZSJOIT,X,X,X,O,X,X
LZSOTIJ,O,X,O,O,X,X
LZSOTJI,O,X,O,O,X,X
LZSOITJ,O,X,O,O,O,X
LZSOIJT,X,X,O,O,O,X
LZSOJTI,X,X,O,O,X,X
LZSOJIT,X,X,O,O,X,X
LZOTIJS,O,X,O,O,X,X
LZOTISJ,O,X,O,O,X,X
LZOTJIS,O,X,O,O,X,X
LZOTJSI,O,X,O,O,X,X
LZOTSIJ,O,X,O,O,X,X
LZOTSJI,O,X,O,O,X,X
LZOITJS,O,X,O,O,X,X
