sequence,v115@XhG8BeE8JeKEJvhFzfBfmBGjBRnBlmB0qB,v115@XhG8BeE8JeKEJvhFflB0gBGjBRnBlmBzqB,v115@XhG8BeE8JeGCJvhFTjBikBRmB0kBllBXrB,v115@XhG8BeE8JeOEJvhF8kBxhBTjBCnBlqBfrB,v115@XhG8BeE8JezAJvhFGjBlkBRnBikB3mB0qB,v115@XhG8BeE8Je0/IvhFTjB2pBfrBxmBCnBlqB
TIOZSLJ,X,X,X,X,X,X
TIOZSJL,X,X,X,X,O,X
TLIJSZO,X,O,X,X,X,X
TLIJSOZ,X,O,X,X,X,X
TLIJZSO,O,X,X,X,X,X
TLIJZOS,O,X,X,X,O,X
TLIJOSZ,X,O,O,X,X,X
TLIJOZS,O,X,O,X,X,X
TLISJZO,X,O,X,X,X,X
TLISJOZ,X,O,X,X,X,X
TLISZJO,X,O,X,X,X,X
TLISZOJ,X,X,X,X,X,X
TLISOJZ,X,O,X,X,X,X
TLISOZJ,X,O,X,X,X,X
TLIZJSO,O,X,X,O,X,X
TLIZJOS,O,X,X,O,O,X
TLIZSJO,O,X,X,X,X,X
TLIZSOJ,O,X,X,X,X,X
TLIZOJS,O,X,X,O,O,X
TLIZOSJ,O,X,X,X,X,X
TLIOJSZ,X,O,O,X,X,X
TLIOJZS,O,X,O,X,X,X
TLIOSJZ,X,O,X,X,X,X
TLIOSZJ,X,O,X,X,X,X
TLIOZJS,O,X,X,O,X,X
TLIOZSJ,O,X,X,X,X,X
TLJISZO,X,O,X,X,X,X
TLJISOZ,X,O,X,X,X,X
TLJIZSO,O,X,X,X,X,X
TLJIZOS,O,X,X,X,O,X
TLJIOSZ,X,O,O,X,X,X
TLJIOZS,O,X,O,X,X,X
TLJSIZO,X,O,X,X,X,X
TLJSIOZ,X,O,O,X,X,X
TLJSZIO,X,O,X,X,X,X
TLJSZOI,X,X,X,X,X,X
TLJSOIZ,X,O,O,X,X,X
TLJSOZI,X,O,X,X,X,X
TLJZISO,O,X,X,O,X,X
TLJZIOS,O,X,X,O,O,X
TLJZSIO,O,X,X,O,X,X
TLJZSOI,O,X,X,O,X,X
TLJZOIS,O,X,X,O,O,X
TLJZOSI,O,X,X,O,X,X
TLJOISZ,X,O,O,X,X,X
TLJOIZS,O,X,O,X,X,X
TLJOSIZ,X,O,O,X,X,X
TLJOSZI,X,O,X,X,X,X
TLJOZIS,O,X,X,O,X,X
TLJOZSI,O,X,X,O,X,X
TLSIJZO,X,O,X,X,X,X
TLSIJOZ,X,O,O,X,X,X
TLSIZJO,X,O,X,X,X,X
TLSIZOJ,X,X,X,X,X,X
TLSIOJZ,X,O,O,X,X,X
TLSIOZJ,X,O,X,X,X,X
TLSJIZO,X,O,X,X,X,X
TLSJIOZ,X,O,O,X,X,X
TLSJZIO,X,O,X,X,X,X
TLSJZOI,X,X,X,X,X,X
TLSJOIZ,X,O,O,X,X,X
TLSJOZI,X,O,X,X,X,X
TLSZIJO,X,O,X,X,X,X
TLSZIOJ,X,X,X,X,X,X
TLSZJIO,X,O,X,O,X,X
TLSZJOI,X,X,X,O,X,X
TLSZOIJ,X,X,X,X,X,X
TLSZOJI,X,X,X,O,X,X
TLSOIJZ,X,O,O,X,X,X
TLSOIZJ,X,O,X,X,X,X
TLSOJIZ,X,O,O,X,X,X
TLSOJZI,X,O,X,X,X,X
TLSOZIJ,X,O,X,X,X,X
TLSOZJI,X,O,X,O,X,X
TLZIJSO,O,X,X,O,X,X
TLZIJOS,O,X,X,O,O,X
TLZISJO,O,X,X,X,X,X
TLZISOJ,O,X,X,X,X,X
TLZIOJS,O,X,X,O,O,X
TLZIOSJ,O,X,X,X,X,X
TLZJISO,O,X,X,O,X,X
TLZJIOS,O,X,X,O,O,X
TLZJSIO,O,X,X,O,X,X
TLZJSOI,O,X,X,O,X,X
TLZJOIS,O,X,X,O,O,X
TLZJOSI,O,X,X,O,X,X
TLZSIJO,O,X,X,X,X,X
TLZSIOJ,O,X,X,X,X,X
TLZSJIO,O,X,X,O,X,X
TLZSJOI,O,X,X,O,X,X
TLZSOIJ,O,X,X,X,X,X
TLZSOJI,O,X,X,O,X,X
TLZOIJS,O,X,X,O,O,X
TLZOISJ,O,X,X,X,X,X
TLZOJIS,O,X,X,O,O,X
TLZOJSI,O,X,X,O,X,X
TLZOSIJ,O,X,X,X,X,X
TLZOSJI,O,X,X,O,X,X
TLOIJSZ,X,O,O,X,X,X
TLOIJZS,O,X,O,X,X,X
TLOISJZ,X,O,X,X,X,X
TLOISZJ,X,O,X,X,X,X
TLOIZJS,O,X,X,O,X,X
TLOIZSJ,O,X,X,X,X,X
TLOJISZ,X,O,O,X,X,X
TLOJIZS,O,X,O,X,X,X
TLOJSIZ,X,O,O,X,X,X
TLOJSZI,X,O,X,X,X,X
TLOJZIS,O,X,X,O,X,X
TLOJZSI,O,X,X,O,X,X
TLOSIJZ,X,O,O,X,X,X
TLOSIZJ,X,O,X,X,X,X
TLOSJIZ,X,O,O,X,X,X
TLOSJZI,X,O,X,X,X,X
TLOSZIJ,X,O,X,X,X,X
TLOSZJI,X,O,X,O,X,X
TLOZIJS,O,X,X,O,X,X
TLOZISJ,O,X,X,X,X,X
TLOZJIS,O,X,X,O,X,X
TLOZJSI,O,X,X,O,X,X
TLOZSIJ,O,X,X,X,X,X
TLOZSJI,O,X,X,O,X,X
TJILSZO,X,O,X,X,X,X
TJILSOZ,X,O,X,X,X,X
TJILZSO,O,X,X,X,X,X
TJILZOS,O,X,X,X,O,X
TJILOSZ,X,O,O,X,X,X
TJILOZS,O,X,O,X,X,X
TJISLZO,X,X,X,X,X,X
TJISLOZ,X,X,X,X,X,X
TJISZLO,X,X,X,X,X,X
TJISZOL,X,X,X,X,O,X
TJISOLZ,X,X,X,X,X,X
TJISOZL,X,X,X,X,X,X
TJIZLSO,O,X,X,X,X,X
TJIZLOS,O,X,X,X,O,X
TJIZSLO,O,X,X,X,X,X
TJIZSOL,X,X,X,X,O,X
TJIZOLS,X,X,X,X,O,X
TJIZOSL,X,X,X,X,O,X
TJIOLSZ,X,O,O,X,X,X
TJIOLZS,X,X,O,X,X,X
TJIOSLZ,X,X,X,X,X,X
TJIOSZL,X,X,X,X,X,X
TJIOZLS,X,X,X,X,O,X
TJIOZSL,X,X,X,X,O,X
TJLISZO,X,O,X,X,X,X
TJLISOZ,X,O,X,X,X,X
TJLIZSO,O,X,X,X,X,X
TJLIZOS,O,X,X,X,O,X
TJLIOSZ,X,O,O,X,X,X
TJLIOZS,O,X,O,X,X,X
TJLSIZO,X,O,X,X,X,X
TJLSIOZ,X,O,O,X,X,X
TJLSZIO,X,O,X,X,X,X
TJLSZOI,X,X,X,X,X,X
TJLSOIZ,X,O,O,X,X,X
TJLSOZI,X,O,X,X,X,X
TJLZISO,O,X,X,O,X,X
TJLZIOS,O,X,X,O,O,X
TJLZSIO,O,X,X,O,X,X
TJLZSOI,O,X,X,O,X,X
TJLZOIS,O,X,X,O,O,X
TJLZOSI,O,X,X,O,X,X
TJLOISZ,X,O,O,X,X,X
TJLOIZS,O,X,O,X,X,X
TJLOSIZ,X,O,O,X,X,X
TJLOSZI,X,O,X,X,X,X
TJLOZIS,O,X,X,O,X,X
TJLOZSI,O,X,X,O,X,X
TJSILZO,X,X,X,X,X,X
TJSILOZ,X,X,O,X,X,X
TJSIZLO,X,X,X,X,X,X
TJSIZOL,X,X,X,X,O,O
TJSIOLZ,X,X,O,X,X,X
TJSIOZL,X,X,X,X,X,O
TJSLIZO,X,X,X,X,X,X
TJSLIOZ,X,X,O,X,X,X
TJSLZIO,X,X,X,X,X,X
TJSLZOI,X,X,X,X,X,X
TJSLOIZ,X,X,O,X,X,X
TJSLOZI,X,X,X,X,X,X
TJSZILO,X,X,X,X,X,X
TJSZIOL,X,X,X,X,O,O
TJSZLIO,X,X,X,X,X,X
TJSZLOI,X,X,X,X,X,X
TJSZOIL,X,X,X,X,O,O
TJSZOLI,X,X,X,X,X,X
TJSOILZ,X,X,O,X,X,X
TJSOIZL,X,X,X,X,X,O
TJSOLIZ,X,X,O,X,X,X
TJSOLZI,X,X,X,X,X,X
TJSOZIL,X,X,X,X,X,O
TJSOZLI,X,X,X,X,X,X
TJZILSO,O,X,X,O,X,X
TJZILOS,O,X,X,O,O,X
TJZISLO,O,X,X,X,X,X
TJZISOL,X,X,X,X,O,X
TJZIOLS,X,X,X,O,O,X
TJZIOSL,X,X,X,X,O,X
TJZLISO,O,X,X,O,X,X
TJZLIOS,O,X,X,O,O,X
TJZLSIO,O,X,X,O,X,X
TJZLSOI,O,X,X,O,X,X
TJZLOIS,O,X,X,O,O,X
TJZLOSI,O,X,X,O,X,X
TJZSILO,O,X,X,X,X,X
TJZSIOL,X,X,X,X,O,O
TJZSLIO,O,X,X,O,X,X
TJZSLOI,O,X,X,O,X,X
TJZSOIL,X,X,X,X,O,O
TJZSOLI,X,X,X,O,X,X
TJZOILS,X,X,X,O,O,X
TJZOISL,X,X,X,X,O,X
TJZOLIS,X,X,X,O,O,X
TJZOLSI,X,X,X,O,X,X
TJZOSIL,X,X,X,X,O,O
TJZOSLI,X,X,X,O,X,X
TJOILSZ,X,O,O,X,X,X
TJOILZS,X,X,O,X,X,X
TJOISLZ,X,X,X,X,X,X
TJOISZL,X,X,X,X,X,X
TJOIZLS,X,X,X,X,O,X
TJOIZSL,X,X,X,X,O,X
TJOLISZ,X,O,O,X,X,X
TJOLIZS,X,X,O,X,X,X
TJOLSIZ,X,O,O,X,X,X
TJOLSZI,X,O,X,X,X,X
TJOLZIS,X,X,X,O,X,X
TJOLZSI,X,X,X,O,X,X
TJOSILZ,X,X,O,X,X,X
TJOSIZL,X,X,X,X,X,O
TJOSLIZ,X,X,O,X,X,X
TJOSLZI,X,X,X,X,X,X
TJOSZIL,X,X,X,X,X,O
TJOSZLI,X,X,X,X,X,X
TJOZILS,X,X,X,O,O,X
TJOZISL,X,X,X,X,O,X
TJOZLIS,X,X,X,O,O,X
TJOZLSI,X,X,X,O,X,X
TJOZSIL,X,X,X,X,O,O
TJOZSLI,X,X,X,O,X,X
TSILJZO,X,X,X,X,X,X
TSILJOZ,X,X,O,X,X,X
TSILZJO,X,X,X,X,X,X
TSILZOJ,X,X,X,X,X,X
TSILOJZ,X,X,O,X,X,X
TSILOZJ,X,X,X,X,X,X
TSIJLZO,X,X,X,X,X,X
TSIJLOZ,X,X,O,X,X,X
TSIJZLO,X,X,X,X,X,X
TSIJZOL,X,X,X,X,O,O
TSIJOLZ,X,X,O,X,X,X
TSIJOZL,X,X,X,X,X,O
TSIZLJO,X,X,X,X,X,X
TSIZLOJ,X,X,X,X,X,X
TSIZJLO,X,X,X,X,X,X
TSIZJOL,X,X,X,X,O,X
TSIZOLJ,X,X,X,X,X,X
TSIZOJL,X,X,X,X,O,X
TSIOLJZ,X,X,O,X,X,X
TSIOLZJ,X,X,X,X,X,X
TSIOJLZ,X,X,O,X,X,X
TSIOJZL,X,X,X,X,X,O
TSIOZLJ,X,X,X,X,X,X
TSIOZJL,X,X,X,X,X,X
TSLIJZO,X,X,X,X,X,X
TSLIJOZ,X,X,O,X,X,X
TSLIZJO,X,X,X,X,X,X
TSLIZOJ,X,X,X,X,X,X
TSLIOJZ,X,X,O,X,X,X
TSLIOZJ,X,X,X,X,X,X
TSLJIZO,X,X,X,X,X,X
TSLJIOZ,X,X,O,X,X,X
TSLJZIO,X,X,X,X,X,X
TSLJZOI,X,X,X,X,X,X
TSLJOIZ,X,X,O,X,X,X
TSLJOZI,X,X,X,X,X,X
TSLZIJO,X,X,X,X,X,X
TSLZIOJ,X,X,X,X,X,X
TSLZJIO,X,X,X,O,X,X
TSLZJOI,X,X,X,O,X,X
TSLZOIJ,X,X,X,X,X,X
TSLZOJI,X,X,X,O,X,X
TSLOIJZ,X,X,O,X,X,X
TSLOIZJ,X,X,X,X,X,X
TSLOJIZ,X,X,O,X,X,X
TSLOJZI,X,X,X,X,X,X
TSLOZIJ,X,X,X,X,X,X
TSLOZJI,X,X,X,O,X,X
TSJILZO,X,X,X,X,X,X
TSJILOZ,X,X,O,X,X,X
TSJIZLO,X,X,X,X,X,X
TSJIZOL,X,X,X,X,O,O
TSJIOLZ,X,X,O,X,X,X
TSJIOZL,X,X,X,X,X,O
TSJLIZO,X,X,X,X,X,X
TSJLIOZ,X,X,O,X,X,X
TSJLZIO,X,X,X,X,X,X
TSJLZOI,X,X,X,X,X,X
TSJLOIZ,X,X,O,X,X,X
TSJLOZI,X,X,X,X,X,X
TSJZILO,X,X,X,X,X,X
TSJZIOL,X,X,X,X,O,O
TSJZLIO,X,X,X,X,X,X
TSJZLOI,X,X,X,X,X,X
TSJZOIL,X,X,X,X,O,O
TSJZOLI,X,X,X,X,X,X
TSJOILZ,X,X,O,X,X,X
TSJOIZL,X,X,X,X,X,O
TSJOLIZ,X,X,O,X,X,X
TSJOLZI,X,X,X,X,X,X
TSJOZIL,X,X,X,X,X,O
TSJOZLI,X,X,X,X,X,X
TSZILJO,X,X,X,X,X,X
TSZILOJ,X,X,X,X,X,X
TSZIJLO,X,X,X,X,X,X
TSZIJOL,X,X,X,X,O,X
TSZIOLJ,X,X,X,X,X,X
TSZIOJL,X,X,X,X,O,X
TSZLIJO,X,X,X,X,X,X
TSZLIOJ,X,X,X,X,X,X
TSZLJIO,X,X,X,O,X,X
TSZLJOI,X,X,X,O,X,X
TSZLOIJ,X,X,X,X,X,X
TSZLOJI,X,X,X,O,X,X
TSZJILO,X,X,X,X,X,X
TSZJIOL,X,X,X,X,O,X
TSZJLIO,X,X,X,O,X,X
TSZJLOI,X,X,X,O,X,X
TSZJOIL,X,X,X,X,O,X
TSZJOLI,X,X,X,O,X,X
TSZOILJ,X,X,X,X,X,X
TSZOIJL,X,X,X,X,O,X
TSZOLIJ,X,X,X,X,X,X
TSZOLJI,X,X,X,O,X,X
TSZOJIL,X,X,X,X,O,X
TSZOJLI,X,X,X,O,X,X
TSOILJZ,X,X,O,X,X,X
TSOILZJ,X,X,X,X,X,X
TSOIJLZ,X,X,O,X,X,X
TSOIJZL,X,X,X,X,X,O
TSOIZLJ,X,X,X,X,X,X
TSOIZJL,X,X,X,X,X,X
TSOLIJZ,X,X,O,X,X,X
TSOLIZJ,X,X,X,X,X,X
TSOLJIZ,X,X,O,X,X,X
TSOLJZI,X,X,X,X,X,X
TSOLZIJ,X,X,X,X,X,X
TSOLZJI,X,X,X,O,X,X
TSOJILZ,X,X,O,X,X,X
TSOJIZL,X,X,X,X,X,O
TSOJLIZ,X,X,O,X,X,X
TSOJLZI,X,X,X,X,X,X
TSOJZIL,X,X,X,X,X,O
TSOJZLI,X,X,X,X,X,X
TSOZILJ,X,X,X,X,X,X
TSOZIJL,X,X,X,X,X,X
TSOZLIJ,X,X,X,X,X,X
TSOZLJI,X,X,X,O,X,X
TSOZJIL,X,X,X,X,X,X
TSOZJLI,X,X,X,O,X,X
TZILJSO,O,X,X,O,X,X
TZILJOS,O,X,X,O,O,X
TZILSJO,O,X,X,X,X,X
TZILSOJ,O,X,X,X,X,X
TZILOJS,O,X,X,O,O,X
TZILOSJ,O,X,X,X,X,X
TZIJLSO,O,X,X,O,X,X
TZIJLOS,O,X,X,O,O,X
TZIJSLO,O,X,X,X,X,X
TZIJSOL,X,X,X,X,O,X
TZIJOLS,X,X,X,O,O,X
TZIJOSL,X,X,X,X,O,X
TZISLJO,O,X,X,X,X,X
TZISLOJ,O,X,X,X,X,X
TZISJLO,O,X,X,X,X,X
TZISJOL,X,X,X,X,O,X
TZISOLJ,X,X,X,X,X,X
TZISOJL,X,X,X,X,O,X
TZIOLJS,X,X,X,O,O,X
TZIOLSJ,X,X,X,X,X,X
TZIOJLS,X,X,X,O,O,X
TZIOJSL,X,X,X,X,O,X
TZIOSLJ,X,X,X,X,X,X
TZIOSJL,X,X,X,X,O,X
TZLIJSO,O,X,X,O,X,X
TZLIJOS,O,X,X,O,O,X
TZLISJO,O,X,X,X,X,X
TZLISOJ,O,X,X,X,X,X
TZLIOJS,O,X,X,O,O,X
TZLIOSJ,O,X,X,X,X,X
TZLJISO,O,X,X,O,X,X
TZLJIOS,O,X,X,O,O,X
TZLJSIO,O,X,X,O,X,X
TZLJSOI,O,X,X,O,X,X
TZLJOIS,O,X,X,O,O,X
TZLJOSI,O,X,X,O,X,X
TZLSIJO,O,X,X,X,X,X
TZLSIOJ,O,X,X,X,X,X
TZLSJIO,O,X,X,O,X,X
TZLSJOI,O,X,X,O,X,X
TZLSOIJ,O,X,X,X,X,X
TZLSOJI,O,X,X,O,X,X
TZLOIJS,O,X,X,O,O,X
TZLOISJ,O,X,X,X,X,X
TZLOJIS,O,X,X,O,O,X
TZLOJSI,O,X,X,O,X,X
TZLOSIJ,O,X,X,X,X,X
TZLOSJI,O,X,X,O,X,X
TZJILSO,O,X,X,O,X,X
TZJILOS,O,X,X,O,O,X
TZJISLO,O,X,X,X,X,X
TZJISOL,X,X,X,X,O,X
TZJIOLS,X,X,X,O,O,X
TZJIOSL,X,X,X,X,O,X
TZJLISO,O,X,X,O,X,X
TZJLIOS,O,X,X,O,O,X
TZJLSIO,O,X,X,O,X,X
TZJLSOI,O,X,X,O,X,X
TZJLOIS,O,X,X,O,O,X
TZJLOSI,O,X,X,O,X,X
TZJSILO,O,X,X,X,X,X
TZJSIOL,X,X,X,X,O,X
TZJSLIO,O,X,X,O,X,X
TZJSLOI,O,X,X,O,X,X
TZJSOIL,X,X,X,X,O,X
TZJSOLI,X,X,X,O,X,X
TZJOILS,X,X,X,O,O,X
TZJOISL,X,X,X,X,O,X
TZJOLIS,X,X,X,O,O,X
TZJOLSI,X,X,X,O,X,X
TZJOSIL,X,X,X,X,O,X
TZJOSLI,X,X,X,O,X,X
TZSILJO,O,X,X,X,X,X
TZSILOJ,O,X,X,X,X,X
TZSIJLO,O,X,X,X,X,X
TZSIJOL,X,X,X,X,O,X
TZSIOLJ,X,X,X,X,X,X
TZSIOJL,X,X,X,X,O,X
TZSLIJO,O,X,X,X,X,X
TZSLIOJ,O,X,X,X,X,X
TZSLJIO,O,X,X,O,X,X
TZSLJOI,O,X,X,O,X,X
TZSLOIJ,O,X,X,X,X,X
TZSLOJI,O,X,X,O,X,X
TZSJILO,O,X,X,X,X,X
TZSJIOL,X,X,X,X,O,X
TZSJLIO,O,X,X,O,X,X
TZSJLOI,O,X,X,O,X,X
TZSJOIL,X,X,X,X,O,X
TZSJOLI,X,X,X,O,X,X
TZSOILJ,X,X,X,X,X,X
TZSOIJL,X,X,X,X,O,X
TZSOLIJ,X,X,X,X,X,X
TZSOLJI,X,X,X,O,X,X
TZSOJIL,X,X,X,X,O,X
TZSOJLI,X,X,X,O,X,X
TZOILJS,X,X,X,O,O,X
TZOILSJ,X,X,X,X,X,X
TZOIJLS,X,X,X,O,O,X
TZOIJSL,X,X,X,X,O,X
TZOISLJ,X,X,X,X,X,X
TZOISJL,X,X,X,X,O,X
TZOLIJS,X,X,X,O,O,X
TZOLISJ,X,X,X,X,X,X
TZOLJIS,X,X,X,O,O,X
TZOLJSI,X,X,X,O,X,X
TZOLSIJ,X,X,X,X,X,X
TZOLSJI,X,X,X,O,X,X
TZOJILS,X,X,X,O,O,X
TZOJISL,X,X,X,X,O,X
TZOJLIS,X,X,X,O,O,X
TZOJLSI,X,X,X,O,X,X
TZOJSIL,X,X,X,X,O,X
TZOJSLI,X,X,X,O,X,X
TZOSILJ,X,X,X,X,X,X
TZOSIJL,X,X,X,X,O,X
TZOSLIJ,X,X,X,X,X,X
TZOSLJI,X,X,X,O,X,X
TZOSJIL,X,X,X,X,O,X
TZOSJLI,X,X,X,O,X,X
TOILJSZ,X,O,O,X,X,X
TOILJZS,X,X,O,X,X,X
TOILSJZ,X,O,X,X,X,X
TOILSZJ,X,O,X,X,X,X
TOILZJS,X,X,X,O,X,X
TOILZSJ,X,X,X,X,X,X
TOIJLSZ,X,O,O,X,X,X
TOIJLZS,X,X,O,X,X,X
TOIJSLZ,X,X,X,X,X,X
TOIJSZL,X,X,X,X,X,X
TOIJZLS,X,X,X,X,O,X
TOIJZSL,X,X,X,X,O,X
TOISLJZ,X,X,X,X,X,X
TOISLZJ,X,X,X,X,X,X
TOISJLZ,X,X,X,X,X,X
TOISJZL,X,X,X,X,X,O
TOISZLJ,X,X,X,X,X,X
TOISZJL,X,X,X,X,X,X
TOIZLJS,X,X,X,O,O,X
TOIZLSJ,X,X,X,X,X,X
TOIZJLS,X,X,X,O,O,X
TOIZJSL,X,X,X,X,O,X
TOIZSLJ,X,X,X,X,X,X
TOIZSJL,X,X,X,X,O,X
TOLIJSZ,X,O,O,X,X,X
TOLIJZS,X,X,O,X,X,X
TOLISJZ,X,O,X,X,X,X
TOLISZJ,X,O,X,X,X,X
TOLIZJS,X,X,X,O,X,X
TOLIZSJ,X,X,X,X,X,X
TOLJISZ,X,O,O,X,X,X
TOLJIZS,X,X,O,X,X,X
TOLJSIZ,X,O,O,X,X,X
TOLJSZI,X,O,X,X,X,X
TOLJZIS,X,X,X,O,X,X
TOLJZSI,X,X,X,O,X,X
TOLSIJZ,X,O,O,X,X,X
TOLSIZJ,X,O,X,X,X,X
TOLSJIZ,X,O,O,X,X,X
TOLSJZI,X,O,X,X,X,X
TOLSZIJ,X,O,X,X,X,X
TOLSZJI,X,O,X,O,X,X
TOLZIJS,X,X,X,O,X,X
TOLZISJ,X,X,X,X,X,X
TOLZJIS,X,X,X,O,X,X
TOLZJSI,X,X,X,O,X,X
TOLZSIJ,X,X,X,X,X,X
TOLZSJI,X,X,X,O,X,X
TOJILSZ,X,O,O,X,X,X
TOJILZS,X,X,O,X,X,X
TOJISLZ,X,X,X,X,X,X
TOJISZL,X,X,X,X,X,X
TOJIZLS,X,X,X,X,O,X
TOJIZSL,X,X,X,X,O,X
TOJLISZ,X,O,O,X,X,X
TOJLIZS,X,X,O,X,X,X
TOJLSIZ,X,O,O,X,X,X
TOJLSZI,X,O,X,X,X,X
TOJLZIS,X,X,X,O,X,X
TOJLZSI,X,X,X,O,X,X
TOJSILZ,X,X,O,X,X,X
TOJSIZL,X,X,X,X,X,O
TOJSLIZ,X,X,O,X,X,X
TOJSLZI,X,X,X,X,X,X
TOJSZIL,X,X,X,X,X,O
TOJSZLI,X,X,X,X,X,X
TOJZILS,X,X,X,O,O,X
TOJZISL,X,X,X,X,O,X
TOJZLIS,X,X,X,O,O,X
TOJZLSI,X,X,X,O,X,X
TOJZSIL,X,X,X,X,O,O
TOJZSLI,X,X,X,O,X,X
TOSILJZ,X,X,O,X,X,X
TOSILZJ,X,X,X,X,X,X
TOSIJLZ,X,X,O,X,X,X
