sequence,v115@FhB8GeC8GeC8CeA8CeC8JeT/IvhFxgBXiBVqBUmB2u?BywB,v115@FhB8GeC8GeC8CeA8CeC8JeZEJvhFUgBFhBXiBqpBmq?BzrB,v115@FhB8GeC8GeC8CeA8CeC8JeT/IvhF0gBxhBVqB3mB2u?BywB,v115@FhB8GeC8GeC8CeA8CeC8JeZFJvhFzgBFiBOpBfsB6p?BUrB,v115@FhB8GeC8GeC8CeA8CeC8JeT/IvhFxhBllBcrBesBip?BXqB,v115@FhB8GeC8GeC8CeA8CeC8Je2EJvhFRgBFiBcqBKrBfs?BTpB,v115@FhB8GeC8GeC8CeA8CeC8Jex/IvhF0hBOpBllBzpBir?BXsB,v115@FhB8GeC8GeC8CeA8CeC8Jex/IvhFThBOnBKpBfqB0l?B1wB,v115@FhB8GeC8GeC8CeA8CeC8JeZEJvhF0hBfqBllBOsBTr?BCqB,v115@FhB8GeC8GeC8CeA8CeC8Jex/IvhF0hBKpBfqBllBOs?BTrB,v115@FhB8GeC8GeC8CeA8CeC8Jex/IvhF0hBllBmpBirBTp?BXsB
TILJSZO,O,O,O,O,X,X,X,O,X,X,X
TILJSOZ,O,O,O,X,X,X,X,O,X,X,X
TILJZSO,O,O,O,X,O,X,X,O,X,X,X
TILJZOS,O,O,O,X,O,X,O,O,X,X,O
TILJOSZ,O,O,O,X,X,X,X,O,X,X,O
TILJOZS,O,O,O,X,O,X,X,O,X,X,O
TILSJZO,O,O,O,O,X,X,X,O,X,X,X
TILSJOZ,O,O,O,X,X,X,X,O,X,X,X
TILSZJO,O,O,O,O,X,X,X,O,X,X,X
TILSZOJ,O,O,O,O,X,X,X,O,X,X,X
TILSOJZ,O,X,O,X,X,X,X,O,X,X,X
TILSOZJ,O,O,O,X,X,X,X,O,X,X,X
TILZJSO,O,O,O,X,X,X,X,O,X,X,X
TILZJOS,O,O,O,X,X,X,O,O,X,X,O
TILZSJO,O,O,O,X,X,X,X,O,X,X,X
TILZSOJ,O,O,O,X,X,X,X,O,X,X,X
TILZOJS,O,O,O,X,X,X,O,O,X,X,X
TILZOSJ,O,O,O,X,X,X,X,X,X,X,X
TILOJSZ,O,O,O,X,X,X,O,O,X,X,X
TILOJZS,O,O,O,X,O,X,O,O,X,X,X
TILOSJZ,O,O,O,X,X,X,X,O,X,X,X
TILOSZJ,O,O,O,X,X,X,X,O,X,X,X
TILOZJS,O,O,O,X,X,X,O,O,X,X,X
TILOZSJ,O,O,O,X,X,X,X,X,X,X,X
TIJLSZO,O,X,O,O,X,X,X,O,X,X,X
TIJLSOZ,O,X,O,X,X,X,X,O,X,X,X
TIJLZSO,O,X,O,X,O,X,X,O,X,X,X
TIJLZOS,O,X,O,X,O,X,O,O,X,X,O
TIJLOSZ,O,X,O,X,X,X,X,O,X,X,O
TIJLOZS,O,X,O,X,O,X,X,O,X,X,O
TIJSLZO,O,X,X,O,X,X,X,X,X,X,X
TIJSLOZ,O,X,X,X,X,X,X,X,X,X,X
TIJSZLO,O,X,X,O,X,X,X,X,X,X,X
TIJSZOL,O,X,O,O,X,X,X,X,X,X,X
TIJSOLZ,O,X,X,X,X,X,X,X,X,X,X
TIJSOZL,O,X,O,O,X,X,X,X,X,X,X
TIJZLSO,O,X,O,X,O,X,X,X,X,X,X
TIJZLOS,O,X,O,X,O,X,O,X,X,X,X
TIJZSLO,O,X,X,O,O,X,X,X,X,X,X
TIJZSOL,O,X,O,O,X,X,X,X,X,X,X
TIJZOLS,O,X,O,X,O,X,O,X,X,X,X
TIJZOSL,O,X,O,O,X,X,O,X,X,X,X
TIJOLSZ,O,X,O,X,X,X,X,O,X,X,X
TIJOLZS,O,X,O,X,X,X,X,O,X,X,X
TIJOSLZ,O,X,X,X,X,X,X,X,X,X,X
TIJOSZL,O,X,O,O,X,X,X,X,X,X,X
TIJOZLS,O,X,O,X,X,X,X,X,X,X,X
TIJOZSL,O,X,O,X,X,X,X,X,X,X,X
TISLJZO,O,O,X,O,X,X,X,X,X,X,X
TISLJOZ,O,O,X,X,X,X,X,X,X,X,X
TISLZJO,O,O,X,O,X,O,X,X,X,X,X
TISLZOJ,O,O,X,O,X,O,X,X,X,X,X
TISLOJZ,O,X,X,X,X,X,X,X,X,X,X
TISLOZJ,O,O,X,X,X,O,X,X,O,X,X
TISJLZO,O,O,X,O,X,X,X,X,X,X,X
TISJLOZ,O,X,X,X,X,X,X,X,X,X,X
TISJZLO,O,X,X,O,X,X,X,X,X,X,X
TISJZOL,O,X,O,O,X,X,X,X,X,X,X
TISJOLZ,O,X,X,X,X,X,X,X,X,X,X
TISJOZL,O,X,O,O,X,X,X,X,O,X,X
TISZLJO,O,O,X,O,X,X,X,X,X,X,X
TISZLOJ,O,O,X,O,X,X,X,X,X,X,X
TISZJLO,O,X,X,O,X,X,X,X,X,X,X
TISZJOL,O,X,O,O,X,X,X,X,X,X,X
TISZOLJ,O,X,O,O,X,X,X,X,O,X,X
TISZOJL,O,X,X,O,X,X,X,X,O,X,X
TISOLJZ,O,X,X,X,X,X,X,X,X,X,X
TISOLZJ,O,O,X,X,X,O,X,X,O,X,X
TISOJLZ,O,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,X,X,O,X,X,X,X,O,X,X
TISOZLJ,O,X,O,O,X,X,X,X,O,X,X
TISOZJL,O,X,X,O,X,X,X,X,O,X,X
TIZLJSO,O,X,O,X,X,X,X,X,X,X,X
TIZLJOS,O,X,O,X,X,X,X,X,X,X,X
TIZLSJO,O,X,O,X,X,X,X,X,X,X,X
TIZLSOJ,O,X,O,X,X,X,X,X,X,X,X
TIZLOJS,O,X,O,X,X,X,X,X,X,X,X
TIZLOSJ,O,X,O,X,X,X,X,X,X,X,X
TIZJLSO,O,X,O,X,X,X,X,X,X,X,X
TIZJLOS,O,X,O,X,X,X,O,X,X,X,X
TIZJSLO,O,X,X,O,X,X,X,X,X,X,X
TIZJSOL,O,X,O,O,X,X,X,X,X,X,X
TIZJOLS,O,X,O,X,X,X,O,X,X,X,X
