sequence,v115@IhB8GeD8FeE8DeA8Jei/IvhFzgB8nB+oB3mBFnBRxB,v115@IhB8GeD8FeE8DeA8Jei/IvhFzgB+mBxiBctBXsBlsB,v115@IhB8GeD8FeE8DeA8Jei/IvhFzgBFiBXjBctBxrBWxB,v115@IhB8GeD8FeE8DeA8Jei/IvhFfmBziB+oBUnBlmBRxB,v115@IhB8GeD8FeE8DeA8Jei/IvhFzgBUiB1rBXoBGoBRxB,v115@IhB8GeD8FeE8DeA8Jei/IvhFzgBRiB3mBWtBVxBctB
TIJOSZL,O,X,X,O,O,X
TIJOZLS,O,X,O,O,O,X
TIJOZSL,O,X,O,O,O,X
TISLJZO,O,X,X,O,O,O
TISLJOZ,O,X,X,O,O,O
TISLZJO,X,X,O,O,O,X
TISLZOJ,X,X,O,X,O,X
TISLOJZ,O,X,X,X,O,O
TISLOZJ,X,X,O,X,O,X
TISJLZO,O,X,X,O,O,O
TISJLOZ,O,X,X,O,O,O
TISJZLO,O,X,X,O,O,O
TISJZOL,O,X,X,O,O,O
TISJOLZ,O,X,X,O,O,O
TISJOZL,O,X,X,O,O,O
TISZLJO,X,X,O,O,O,X
TISZLOJ,X,X,O,X,O,X
TISZJLO,X,X,O,O,O,X
TISZJOL,X,X,O,O,O,X
TISZOLJ,X,X,O,X,O,X
TISZOJL,X,X,O,X,O,X
TISOLJZ,O,X,X,X,O,O
TISOLZJ,X,X,O,X,O,X
TISOJLZ,O,X,X,X,O,O
TISOJZL,O,X,X,X,O,O
TISOZLJ,X,X,O,X,O,X
TISOZJL,X,X,O,X,O,X
TIZLJSO,X,X,O,O,O,X
TIZLJOS,X,X,O,O,O,X
TIZLSJO,X,X,O,O,O,X
TIZLSOJ,X,X,O,X,O,X
TIZLOJS,X,X,O,X,O,X
TIZLOSJ,X,X,O,X,O,X
TIZJLSO,X,X,O,O,O,X
TIZJLOS,X,X,O,O,O,X
TIZJSLO,X,X,O,O,O,X
TIZJSOL,X,X,O,O,O,X
TIZJOLS,X,X,O,O,O,X
TIZJOSL,X,X,O,O,O,X
TIZSLJO,X,X,O,O,O,X
TIZSLOJ,X,X,O,X,O,X
TIZSJLO,X,X,O,O,O,X
TIZSJOL,X,X,O,O,O,X
TIZSOLJ,X,X,O,X,O,X
TIZSOJL,X,X,O,X,O,X
TIZOLJS,X,X,O,X,O,X
TIZOLSJ,X,X,O,X,O,X
TIZOJLS,X,X,O,X,O,X
TIZOJSL,X,X,O,X,O,X
TIZOSLJ,X,X,O,X,O,X
TIZOSJL,X,X,O,X,O,X
TIOLJSZ,O,X,X,X,O,X
TIOLJZS,O,X,O,X,O,X
TIOLSJZ,O,X,X,X,O,X
TIOLSZJ,X,X,O,X,O,X
TIOLZJS,X,X,O,X,O,X
TIOLZSJ,X,X,O,X,O,X
TIOJLSZ,O,X,X,X,O,X
TIOJLZS,O,X,O,X,O,X
TIOJSLZ,O,X,X,X,O,X
TIOJSZL,O,X,X,X,O,X
TIOJZLS,O,X,O,X,O,X
TIOJZSL,O,X,O,X,O,X
TIOSLJZ,O,X,X,X,O,X
TIOSLZJ,X,X,O,X,O,X
TIOSJLZ,O,X,X,X,O,X
TIOSJZL,O,X,X,X,O,X
TIOSZLJ,X,X,O,X,O,X
TIOSZJL,X,X,O,X,O,X
TIOZLJS,X,X,O,X,O,X
TIOZLSJ,X,X,O,X,O,X
TIOZJLS,X,X,O,X,O,X
TIOZJSL,X,X,O,X,O,X
TIOZSLJ,X,X,O,X,O,X
TIOZSJL,X,X,O,X,O,X
TLIJSZO,O,X,X,O,O,O
TLIJSOZ,O,X,X,O,O,O
TLIJZSO,O,X,O,O,O,X
TLIJZOS,O,X,O,O,O,X
TLIJOSZ,O,X,X,O,O,X
TLIJOZS,O,X,O,O,O,X
TLISJZO,O,X,X,O,O,O
TLISJOZ,O,X,X,O,O,O
TLISZJO,X,X,O,O,O,X
TLISZOJ,X,X,O,X,O,X
TLISOJZ,O,X,X,X,O,O
TLISOZJ,X,X,O,X,O,X
TLIZJSO,X,X,O,O,O,X
TLIZJOS,X,X,O,O,O,X
TLIZSJO,X,X,O,O,O,X
TLIZSOJ,X,X,O,X,O,X
TLIZOJS,X,X,O,X,O,X
TLIZOSJ,X,X,O,X,O,X
TLIOJSZ,O,X,X,X,O,X
TLIOJZS,O,X,O,X,O,X
TLIOSJZ,O,X,X,X,O,X
TLIOSZJ,X,X,O,X,O,X
TLIOZJS,X,X,O,X,O,X
TLIOZSJ,X,X,O,X,O,X
TLJISZO,O,X,X,O,O,O
TLJISOZ,O,X,X,O,O,O
TLJIZSO,O,X,X,O,O,X
TLJIZOS,O,X,X,O,O,X
TLJIOSZ,O,X,X,O,O,X
TLJIOZS,O,X,X,O,O,X
TLJSIZO,X,X,X,O,X,O
TLJSIOZ,X,X,X,O,X,O
TLJSZIO,X,O,X,X,X,O
TLJSZOI,O,O,X,X,X,O
TLJSOIZ,X,X,X,O,X,O
TLJSOZI,O,O,X,X,X,O
TLJZISO,O,X,X,X,O,X
TLJZIOS,O,O,X,X,O,X
TLJZSIO,X,O,X,X,X,O
TLJZSOI,O,O,X,X,X,O
TLJZOIS,O,O,X,X,O,X
TLJZOSI,O,O,X,X,X,X
TLJOISZ,O,X,X,O,O,X
TLJOIZS,O,X,X,O,O,X
TLJOSIZ,X,X,X,O,X,O
TLJOSZI,O,O,X,X,X,O
TLJOZIS,O,O,X,X,O,X
TLJOZSI,O,O,X,X,X,X
TLSIJZO,O,X,X,O,O,O
TLSIJOZ,O,X,X,O,O,O
TLSIZJO,X,X,X,O,O,X
TLSIZOJ,X,X,X,X,O,X
TLSIOJZ,O,X,X,X,O,O
TLSIOZJ,X,X,X,X,O,X
TLSJIZO,X,X,X,O,X,O
TLSJIOZ,X,X,X,O,X,O
TLSJZIO,X,O,X,X,X,O
TLSJZOI,O,O,X,X,X,O
TLSJOIZ,X,X,X,O,X,O
TLSJOZI,O,O,X,X,X,O
TLSZIJO,X,O,X,X,O,X
TLSZIOJ,X,X,X,X,O,X
TLSZJIO,X,O,X,X,X,O
TLSZJOI,X,O,X,X,X,O
TLSZOIJ,X,X,X,X,O,X
TLSZOJI,X,O,X,X,X,O
TLSOIJZ,O,X,X,X,O,O
TLSOIZJ,X,X,X,X,O,X
TLSOJIZ,X,X,X,X,X,O
TLSOJZI,O,O,X,X,X,O
TLSOZIJ,X,X,X,X,O,X
TLSOZJI,X,O,X,X,X,O
TLZIJSO,X,X,O,X,O,X
TLZIJOS,X,O,O,X,O,X
TLZISJO,X,O,O,X,O,X
TLZISOJ,X,X,O,X,O,X
TLZIOJS,X,X,O,X,O,X
TLZIOSJ,X,X,O,X,O,X
TLZJISO,X,X,X,X,O,X
TLZJIOS,X,O,X,X,O,X
TLZJSIO,X,O,X,X,X,O
TLZJSOI,X,O,X,X,X,O
TLZJOIS,X,O,X,X,O,X
TLZJOSI,X,O,X,X,X,X
TLZSIJO,X,O,O,X,O,X
TLZSIOJ,X,X,O,X,O,X
TLZSJIO,X,O,O,X,X,O
TLZSJOI,X,O,O,X,X,O
TLZSOIJ,X,X,O,X,O,X
TLZSOJI,X,O,O,X,X,O
TLZOIJS,X,X,O,X,O,X
TLZOISJ,X,X,O,X,O,X
TLZOJIS,X,O,X,X,O,X
TLZOJSI,X,O,X,X,X,X
TLZOSIJ,X,X,O,X,O,X
TLZOSJI,X,O,O,X,X,X
TLOIJSZ,O,X,X,X,O,X
TLOIJZS,O,X,O,X,O,X
TLOISJZ,O,X,X,X,O,X
TLOISZJ,X,X,O,X,O,X
TLOIZJS,X,X,O,X,O,X
TLOIZSJ,X,X,O,X,O,X
TLOJISZ,O,X,X,X,O,X
TLOJIZS,O,X,X,X,O,X
TLOJSIZ,X,X,X,X,X,O
TLOJSZI,O,O,X,X,X,O
TLOJZIS,O,O,X,X,O,X
TLOJZSI,O,O,X,X,X,X
TLOSIJZ,O,X,X,X,O,O
TLOSIZJ,X,X,X,X,O,X
TLOSJIZ,X,X,X,X,X,O
TLOSJZI,O,O,X,X,X,O
TLOSZIJ,X,X,X,X,O,X
TLOSZJI,X,O,X,X,X,O
TLOZIJS,X,X,O,X,O,X
TLOZISJ,X,X,O,X,O,X
TLOZJIS,X,O,X,X,O,X
TLOZJSI,X,O,X,X,X,X
TLOZSIJ,X,X,O,X,O,X
TLOZSJI,X,O,O,X,X,X
TJILSZO,X,X,X,X,O,O
TJILSOZ,X,X,X,X,O,O
TJILZSO,X,X,X,X,O,X
TJILZOS,X,X,X,X,O,X
TJILOSZ,X,X,X,X,O,X
TJILOZS,X,X,X,X,O,X
TJISLZO,X,X,X,X,O,O
TJISLOZ,X,X,X,X,O,O
TJISZLO,X,X,X,X,O,O
TJISZOL,X,X,X,X,O,O
TJISOLZ,X,X,X,X,O,O
TJISOZL,X,X,X,X,O,O
TJIZLSO,X,X,X,X,O,X
TJIZLOS,X,X,X,X,O,X
TJIZSLO,X,X,X,X,O,X
TJIZSOL,X,X,X,X,O,X
TJIZOLS,X,X,X,X,O,X
TJIZOSL,X,X,X,X,O,X
TJIOLSZ,X,X,X,X,O,X
TJIOLZS,X,X,X,X,O,X
TJIOSLZ,X,X,X,X,O,X
TJIOSZL,X,X,X,X,O,X
TJIOZLS,X,X,X,X,O,X
TJIOZSL,X,X,X,X,O,X
TJLISZO,O,X,X,O,O,O
TJLISOZ,O,X,X,O,O,O
TJLIZSO,O,X,X,O,O,X
TJLIZOS,O,X,X,O,O,X
TJLIOSZ,O,X,X,O,O,X
TJLIOZS,O,X,X,O,O,X
TJLSIZO,X,X,X,O,X,O
TJLSIOZ,X,X,X,O,X,O
TJLSZIO,X,O,X,X,X,O
TJLSZOI,O,O,X,X,X,O
TJLSOIZ,X,X,X,O,X,O
TJLSOZI,O,O,X,X,X,O
TJLZISO,O,X,X,X,O,X
TJLZIOS,O,O,X,X,O,X
TJLZSIO,X,O,X,X,X,O
TJLZSOI,O,O,X,X,X,O
TJLZOIS,O,O,X,X,O,X
TJLZOSI,O,O,X,X,X,X
