sequence,v115@IhB8GeD8FeE8DeA8Jei/IvhFzgB8nB+oB3mBFnBRxB,v115@IhB8GeD8FeE8DeA8Jei/IvhFzgB+mBxiBctBXsBlsB,v115@IhB8GeD8FeE8DeA8Jei/IvhFzgBFiBXjBctBxrBWxB,v115@IhB8GeD8FeE8DeA8Jei/IvhFfmBziB+oBUnBlmBRxB,v115@IhB8GeD8FeE8DeA8Jei/IvhFzgBUiB1rBXoBGoBRxB,v115@IhB8GeD8FeE8DeA8Jei/IvhFzgBRiB3mBWtBVxBctB
TOLSJIZ,X,X,X,X,X,O
TOLSJZI,O,O,X,X,X,O
TOLSZIJ,X,X,X,X,O,X
TOLSZJI,X,O,X,X,X,O
TOLZIJS,X,X,O,X,O,X
TOLZISJ,X,X,O,X,O,X
TOLZJIS,X,O,X,X,O,X
TOLZJSI,X,O,X,X,X,X
TOLZSIJ,X,X,O,X,O,X
TOLZSJI,X,O,O,X,X,X
TOJILSZ,O,X,X,X,O,X
TOJILZS,O,X,X,X,O,X
TOJISLZ,O,X,X,X,O,X
TOJISZL,O,X,X,X,O,X
TOJIZLS,O,X,X,X,O,X
TOJIZSL,O,X,X,X,O,X
TOJLISZ,O,X,X,X,O,X
TOJLIZS,O,X,X,X,O,X
TOJLSIZ,X,X,X,X,X,O
TOJLSZI,O,O,X,X,X,O
TOJLZIS,O,O,X,X,O,X
TOJLZSI,O,O,X,X,X,X
TOJSILZ,X,X,X,X,X,O
TOJSIZL,X,X,X,X,X,O
TOJSLIZ,X,X,X,X,X,O
TOJSLZI,O,O,X,X,X,O
TOJSZIL,X,O,X,X,X,O
TOJSZLI,O,O,X,X,X,O
TOJZILS,O,O,X,X,O,X
TOJZISL,O,X,X,X,O,X
TOJZLIS,O,O,X,X,O,X
TOJZLSI,O,O,X,X,X,X
TOJZSIL,X,O,X,X,X,X
TOJZSLI,O,O,X,X,X,X
TOSILJZ,O,X,X,X,O,O
TOSILZJ,X,X,X,X,O,X
TOSIJLZ,O,X,X,X,O,O
TOSIJZL,O,X,X,X,O,O
TOSIZLJ,X,X,X,X,O,X
TOSIZJL,X,X,X,X,O,X
TOSLIJZ,O,X,X,X,O,O
TOSLIZJ,X,X,X,X,O,X
TOSLJIZ,X,X,X,X,X,O
TOSLJZI,O,O,X,X,X,O
TOSLZIJ,X,X,X,X,O,X
TOSLZJI,X,O,X,X,X,O
TOSJILZ,X,X,X,X,X,O
TOSJIZL,X,X,X,X,X,O
TOSJLIZ,X,X,X,X,X,O
TOSJLZI,O,O,X,X,X,O
TOSJZIL,X,O,X,X,X,O
TOSJZLI,O,O,X,X,X,O
TOSZILJ,X,X,X,X,O,X
TOSZIJL,X,X,X,X,O,X
TOSZLIJ,X,X,X,X,O,X
TOSZLJI,X,O,X,X,X,O
TOSZJIL,X,O,X,X,X,O
TOSZJLI,X,O,X,X,X,O
TOZILJS,X,X,O,X,O,X
TOZILSJ,X,X,O,X,O,X
TOZIJLS,X,X,O,X,O,X
TOZIJSL,X,X,O,X,O,X
TOZISLJ,X,X,O,X,O,X
TOZISJL,X,X,O,X,O,X
TOZLIJS,X,X,O,X,O,X
TOZLISJ,X,X,O,X,O,X
TOZLJIS,X,O,X,X,O,X
TOZLJSI,X,O,X,X,X,X
TOZLSIJ,X,X,O,X,O,X
TOZLSJI,X,O,O,X,X,X
TOZJILS,X,O,X,X,O,X
TOZJISL,X,X,X,X,O,X
TOZJLIS,X,O,X,X,O,X
TOZJLSI,X,O,X,X,X,X
TOZJSIL,X,O,X,X,X,X
TOZJSLI,X,O,X,X,X,X
TOZSILJ,X,X,O,X,O,X
TOZSIJL,X,X,O,X,O,X
TOZSLIJ,X,X,O,X,O,X
TOZSLJI,X,O,O,X,X,X
TOZSJIL,X,O,X,X,X,X
TOZSJLI,X,O,O,X,X,X
ITLJSZO,O,X,X,O,O,O
ITLJSOZ,O,X,X,O,O,O
ITLJZSO,O,X,O,O,O,X
ITLJZOS,O,X,O,O,O,X
ITLJOSZ,O,X,X,O,O,X
ITLJOZS,O,X,O,O,O,X
ITLSJZO,O,X,X,O,O,O
ITLSJOZ,O,X,X,O,O,O
ITLSZJO,X,X,O,O,O,X
ITLSZOJ,X,X,O,X,O,X
ITLSOJZ,O,X,X,X,O,O
ITLSOZJ,X,X,O,X,O,X
ITLZJSO,X,X,O,O,O,X
ITLZJOS,X,X,O,O,O,X
ITLZSJO,X,X,O,O,O,X
ITLZSOJ,X,X,O,X,O,X
ITLZOJS,X,X,O,X,O,X
ITLZOSJ,X,X,O,X,O,X
ITLOJSZ,O,X,X,X,O,X
ITLOJZS,O,X,O,X,O,X
ITLOSJZ,O,X,X,X,O,X
ITLOSZJ,X,X,O,X,O,X
ITLOZJS,X,X,O,X,O,X
ITLOZSJ,X,X,O,X,O,X
ITJLSZO,O,X,X,O,O,O
ITJLSOZ,O,X,X,O,O,O
ITJLZSO,O,X,O,O,O,X
ITJLZOS,O,X,O,O,O,X
ITJLOSZ,O,X,X,O,O,X
ITJLOZS,O,X,O,O,O,X
ITJSLZO,O,X,X,O,O,O
ITJSLOZ,O,X,X,O,O,O
ITJSZLO,O,X,X,O,O,O
ITJSZOL,O,X,X,O,O,O
ITJSOLZ,O,X,X,O,O,O
ITJSOZL,O,X,X,O,O,O
ITJZLSO,O,X,O,O,O,X
ITJZLOS,O,X,O,O,O,X
ITJZSLO,O,X,O,O,O,X
ITJZSOL,O,X,O,O,O,X
ITJZOLS,O,X,O,O,O,X
ITJZOSL,O,X,O,O,O,X
ITJOLSZ,O,X,X,O,O,X
ITJOLZS,O,X,O,O,O,X
ITJOSLZ,O,X,X,O,O,X
ITJOSZL,O,X,X,O,O,X
ITJOZLS,O,X,O,O,O,X
ITJOZSL,O,X,O,O,O,X
ITSLJZO,O,X,X,O,O,O
ITSLJOZ,O,X,X,O,O,O
ITSLZJO,X,X,O,O,O,X
ITSLZOJ,X,X,O,X,O,X
ITSLOJZ,O,X,X,X,O,O
ITSLOZJ,X,X,O,X,O,X
ITSJLZO,O,X,X,O,O,O
ITSJLOZ,O,X,X,O,O,O
ITSJZLO,O,X,X,O,O,O
ITSJZOL,O,X,X,O,O,O
ITSJOLZ,O,X,X,O,O,O
ITSJOZL,O,X,X,O,O,O
ITSZLJO,X,X,O,O,O,X
ITSZLOJ,X,X,O,X,O,X
ITSZJLO,X,X,O,O,O,X
ITSZJOL,X,X,O,O,O,X
ITSZOLJ,X,X,O,X,O,X
ITSZOJL,X,X,O,X,O,X
ITSOLJZ,O,X,X,X,O,O
ITSOLZJ,X,X,O,X,O,X
ITSOJLZ,O,X,X,X,O,O
ITSOJZL,O,X,X,X,O,O
ITSOZLJ,X,X,O,X,O,X
ITSOZJL,X,X,O,X,O,X
ITZLJSO,X,X,O,O,O,X
ITZLJOS,X,X,O,O,O,X
ITZLSJO,X,X,O,O,O,X
ITZLSOJ,X,X,O,X,O,X
ITZLOJS,X,X,O,X,O,X
ITZLOSJ,X,X,O,X,O,X
ITZJLSO,X,X,O,O,O,X
ITZJLOS,X,X,O,O,O,X
ITZJSLO,X,X,O,O,O,X
ITZJSOL,X,X,O,O,O,X
ITZJOLS,X,X,O,O,O,X
ITZJOSL,X,X,O,O,O,X
ITZSLJO,X,X,O,O,O,X
ITZSLOJ,X,X,O,X,O,X
ITZSJLO,X,X,O,O,O,X
ITZSJOL,X,X,O,O,O,X
ITZSOLJ,X,X,O,X,O,X
ITZSOJL,X,X,O,X,O,X
ITZOLJS,X,X,O,X,O,X
ITZOLSJ,X,X,O,X,O,X
ITZOJLS,X,X,O,X,O,X
ITZOJSL,X,X,O,X,O,X
ITZOSLJ,X,X,O,X,O,X
ITZOSJL,X,X,O,X,O,X
ITOLJSZ,O,X,X,X,O,X
ITOLJZS,O,X,O,X,O,X
ITOLSJZ,O,X,X,X,O,X
ITOLSZJ,X,X,O,X,O,X
ITOLZJS,X,X,O,X,O,X
ITOLZSJ,X,X,O,X,O,X
ITOJLSZ,O,X,X,X,O,X
ITOJLZS,O,X,O,X,O,X
ITOJSLZ,O,X,X,X,O,X
ITOJSZL,O,X,X,X,O,X
ITOJZLS,O,X,O,X,O,X
ITOJZSL,O,X,O,X,O,X
ITOSLJZ,O,X,X,X,O,X
ITOSLZJ,X,X,O,X,O,X
ITOSJLZ,O,X,X,X,O,X
ITOSJZL,O,X,X,X,O,X
ITOSZLJ,X,X,O,X,O,X
ITOSZJL,X,X,O,X,O,X
ITOZLJS,X,X,O,X,O,X
ITOZLSJ,X,X,O,X,O,X
ITOZJLS,X,X,O,X,O,X
ITOZJSL,X,X,O,X,O,X
ITOZSLJ,X,X,O,X,O,X
ITOZSJL,X,X,O,X,O,X
ILTJSZO,O,X,X,O,O,O
ILTJSOZ,O,X,X,O,O,O
ILTJZSO,O,X,O,O,O,X
ILTJZOS,O,X,O,O,O,X
ILTJOSZ,O,X,X,O,O,X
ILTJOZS,O,X,O,O,O,X
ILTSJZO,O,X,X,O,O,O
ILTSJOZ,O,X,X,O,O,O
ILTSZJO,X,X,O,O,O,X
ILTSZOJ,X,X,O,X,O,X
ILTSOJZ,O,X,X,X,O,O
ILTSOZJ,X,X,O,X,O,X
ILTZJSO,X,X,O,O,O,X
ILTZJOS,X,X,O,O,O,X
ILTZSJO,X,X,O,O,O,X
ILTZSOJ,X,X,O,X,O,X
ILTZOJS,X,X,O,X,O,X
ILTZOSJ,X,X,O,X,O,X
ILTOJSZ,O,X,X,X,O,X
ILTOJZS,O,X,O,X,O,X
ILTOSJZ,O,X,X,X,O,X
ILTOSZJ,X,X,O,X,O,X
ILTOZJS,X,X,O,X,O,X
ILTOZSJ,X,X,O,X,O,X
ILJTSZO,O,X,X,O,O,X
ILJTSOZ,O,X,X,O,O,X
ILJTZSO,O,X,O,O,O,X
ILJTZOS,O,X,O,O,O,X
ILJTOSZ,O,X,X,O,O,X
ILJTOZS,O,X,O,O,O,X
ILJSTZO,O,X,X,O,O,X
ILJSTOZ,O,X,X,O,O,X
ILJSZTO,O,O,X,O,X,X
ILJSZOT,O,O,X,O,X,X
ILJSOTZ,O,X,X,O,X,X
ILJSOZT,O,O,X,O,X,X
ILJZTSO,O,X,O,O,X,X
ILJZTOS,O,O,O,O,X,X
ILJZSTO,O,O,O,O,X,X
ILJZSOT,O,O,O,O,X,X
ILJZOTS,O,O,O,O,X,X
ILJZOST,O,O,O,O,X,X
ILJOTSZ,O,X,X,O,O,X
ILJOTZS,O,X,O,O,O,X
ILJOSTZ,O,X,X,O,X,X
ILJOSZT,O,O,X,O,X,X
ILJOZTS,O,O,O,O,X,X
ILJOZST,O,O,O,O,X,X
ILSTJZO,O,X,X,O,O,O
ILSTJOZ,O,X,X,O,O,O
ILSTZJO,X,X,O,O,O,X
ILSTZOJ,X,X,O,X,O,X
ILSTOJZ,O,X,X,X,O,O
ILSTOZJ,X,X,O,X,O,X
ILSJTZO,O,X,X,O,O,X
ILSJTOZ,O,X,X,O,O,X
ILSJZTO,O,O,X,O,X,X
ILSJZOT,O,O,X,O,X,X
ILSJOTZ,O,X,X,O,X,X
ILSJOZT,O,O,X,O,X,X
ILSZTJO,X,O,O,O,O,X
ILSZTOJ,X,X,O,X,O,X
ILSZJTO,O,O,O,O,X,X
ILSZJOT,O,O,O,O,X,X
ILSZOTJ,X,X,O,X,X,X
ILSZOJT,O,O,O,O,X,X
ILSOTJZ,O,X,X,X,O,O
ILSOTZJ,X,X,O,X,O,X
ILSOJTZ,O,X,X,O,X,X
ILSOJZT,O,O,X,O,X,X
ILSOZTJ,X,X,O,X,X,X
ILSOZJT,O,O,O,O,X,X
ILZTJSO,X,X,O,O,O,X
ILZTJOS,X,O,O,O,O,X
ILZTSJO,X,O,O,O,O,X
ILZTSOJ,X,X,O,X,O,X
ILZTOJS,X,X,O,X,O,X
ILZTOSJ,X,X,O,X,O,X
ILZJTSO,O,X,O,O,X,X
ILZJTOS,O,O,O,O,X,X
ILZJSTO,O,O,O,O,X,X
ILZJSOT,O,O,O,O,X,X
ILZJOTS,O,O,O,O,X,X
ILZJOST,O,O,O,O,X,X
ILZSTJO,X,O,O,O,O,X
ILZSTOJ,X,X,O,X,O,X
ILZSJTO,O,O,O,O,X,X
ILZSJOT,O,O,O,O,X,X
ILZSOTJ,X,X,O,X,X,X
ILZSOJT,O,O,O,O,X,X
ILZOTJS,X,X,O,X,O,X
ILZOTSJ,X,X,O,X,O,X
ILZOJTS,O,O,O,O,X,X
ILZOJST,O,O,O,O,X,X
ILZOSTJ,X,X,O,X,X,X
ILZOSJT,O,O,O,O,X,X
ILOTJSZ,O,X,X,X,O,X
ILOTJZS,O,X,O,X,O,X
ILOTSJZ,O,X,X,X,O,X
ILOTSZJ,X,X,O,X,O,X
ILOTZJS,X,X,O,X,O,X
ILOTZSJ,X,X,O,X,O,X
ILOJTSZ,O,X,X,O,O,X
ILOJTZS,O,X,O,O,O,X
ILOJSTZ,O,X,X,O,X,X
ILOJSZT,O,O,X,O,X,X
ILOJZTS,O,O,O,O,X,X
ILOJZST,O,O,O,O,X,X
ILOSTJZ,O,X,X,X,O,O
ILOSTZJ,X,X,O,X,O,X
ILOSJTZ,O,X,X,O,X,X
ILOSJZT,O,O,X,O,X,X
ILOSZTJ,X,X,O,X,X,X
ILOSZJT,O,O,O,O,X,X
ILOZTJS,X,X,O,X,O,X
ILOZTSJ,X,X,O,X,O,X
ILOZJTS,O,O,O,O,X,X
ILOZJST,O,O,O,O,X,X
ILOZSTJ,X,X,O,X,X,X
ILOZSJT,O,O,O,O,X,X
IJTLSZO,O,X,X,O,O,X
IJTLSOZ,O,X,X,O,O,X
IJTLZSO,O,X,O,O,O,X
IJTLZOS,O,X,O,O,O,X
IJTLOSZ,O,X,X,O,O,X
IJTLOZS,O,X,O,O,O,X
IJTSLZO,O,X,X,O,O,X
IJTSLOZ,O,X,X,O,O,X
IJTSZLO,O,X,X,O,O,X
IJTSZOL,O,X,X,O,O,X
IJTSOLZ,O,X,X,O,O,X
IJTSOZL,O,X,X,O,O,X
IJTZLSO,O,X,O,O,O,X
IJTZLOS,O,X,O,O,O,X
IJTZSLO,O,X,O,O,O,X
IJTZSOL,O,X,O,O,O,X
IJTZOLS,O,X,O,O,O,X
IJTZOSL,O,X,O,O,O,X
IJTOLSZ,O,X,X,O,O,X
IJTOLZS,O,X,O,O,O,X
IJTOSLZ,O,X,X,O,O,X
IJTOSZL,O,X,X,O,O,X
IJTOZLS,O,X,O,O,O,X
IJTOZSL,O,X,O,O,O,X
IJLTSZO,O,X,X,O,O,X
IJLTSOZ,O,X,X,O,O,X
IJLTZSO,O,X,O,O,O,X
IJLTZOS,O,X,O,O,O,X
IJLTOSZ,O,X,X,O,O,X
IJLTOZS,O,X,O,O,O,X
IJLSTZO,O,X,X,O,O,X
IJLSTOZ,O,X,X,O,O,X
IJLSZTO,O,O,X,O,X,X
IJLSZOT,O,O,X,O,X,X
IJLSOTZ,O,X,X,O,X,X
IJLSOZT,O,O,X,O,X,X
IJLZTSO,O,X,O,O,X,X
IJLZTOS,O,O,O,O,X,X
IJLZSTO,O,O,O,O,X,X
IJLZSOT,O,O,O,O,X,X
IJLZOTS,O,O,O,O,X,X
IJLZOST,O,O,O,O,X,X
IJLOTSZ,O,X,X,O,O,X
IJLOTZS,O,X,O,O,O,X
IJLOSTZ,O,X,X,O,X,X
IJLOSZT,O,O,X,O,X,X
IJLOZTS,O,O,O,O,X,X
IJLOZST,O,O,O,O,X,X
IJSTLZO,O,X,X,O,O,X
IJSTLOZ,O,X,X,O,O,X
IJSTZLO,O,X,X,O,O,X
IJSTZOL,O,X,X,O,O,X
IJSTOLZ,O,X,X,O,O,X
IJSTOZL,O,X,X,O,O,X
IJSLTZO,O,X,X,O,O,X
IJSLTOZ,O,X,X,O,O,X
IJSLZTO,O,O,X,O,X,X
IJSLZOT,O,O,X,O,X,X
IJSLOTZ,O,X,X,O,X,X
IJSLOZT,O,O,X,O,X,X
IJSZTLO,O,O,X,O,X,X
IJSZTOL,O,O,X,O,X,X
IJSZLTO,O,O,X,O,X,X
IJSZLOT,O,O,X,O,X,X
IJSZOTL,O,O,X,O,X,X
IJSZOLT,O,O,X,O,X,X
IJSOTLZ,O,X,X,O,X,X
IJSOTZL,O,X,X,O,X,X
IJSOLTZ,O,X,X,O,X,X
IJSOLZT,O,O,X,O,X,X
IJSOZTL,O,O,X,O,X,X
IJSOZLT,O,O,X,O,X,X
IJZTLSO,O,X,O,O,X,X
IJZTLOS,O,O,O,O,X,X
IJZTSLO,O,X,O,O,X,X
IJZTSOL,O,X,O,O,X,X
IJZTOLS,O,O,O,O,X,X
IJZTOSL,O,X,O,O,X,X
IJZLTSO,O,X,O,O,X,X
IJZLTOS,O,O,O,O,X,X
IJZLSTO,O,O,O,O,X,X
IJZLSOT,O,O,O,O,X,X
IJZLOTS,O,O,O,O,X,X
IJZLOST,O,O,O,O,X,X
IJZSTLO,O,O,O,O,X,X
IJZSTOL,O,O,O,O,X,X
IJZSLTO,O,O,O,O,X,X
IJZSLOT,O,O,O,O,X,X
IJZSOTL,O,O,O,O,X,X
IJZSOLT,O,O,O,O,X,X
IJZOTLS,O,O,O,O,X,X
IJZOTSL,O,X,O,O,X,X
IJZOLTS,O,O,O,O,X,X
IJZOLST,O,O,O,O,X,X
IJZOSTL,O,O,O,O,X,X
IJZOSLT,O,O,O,O,X,X
IJOTLSZ,O,X,X,O,O,X
IJOTLZS,O,X,O,O,O,X
IJOTSLZ,O,X,X,O,O,X
IJOTSZL,O,X,X,O,O,X
IJOTZLS,O,X,O,O,O,X
IJOTZSL,O,X,O,O,O,X
IJOLTSZ,O,X,X,O,O,X
IJOLTZS,O,X,O,O,O,X
IJOLSTZ,O,X,X,O,X,X
IJOLSZT,O,O,X,O,X,X
IJOLZTS,O,O,O,O,X,X
IJOLZST,O,O,O,O,X,X
IJOSTLZ,O,X,X,O,X,X
IJOSTZL,O,X,X,O,X,X
IJOSLTZ,O,X,X,O,X,X
IJOSLZT,O,O,X,O,X,X
IJOSZTL,O,O,X,O,X,X
IJOSZLT,O,O,X,O,X,X
IJOZTLS,O,O,O,O,X,X
IJOZTSL,O,X,O,O,X,X
IJOZLTS,O,O,O,O,X,X
IJOZLST,O,O,O,O,X,X
IJOZSTL,O,O,O,O,X,X
IJOZSLT,O,O,O,O,X,X
ISTLJZO,O,X,X,O,O,O
ISTLJOZ,O,X,X,O,O,O
ISTLZJO,X,X,O,O,O,X
ISTLZOJ,X,X,O,X,O,X
ISTLOJZ,O,X,X,X,O,O
ISTLOZJ,X,X,O,X,O,X
ISTJLZO,O,X,X,O,O,O
ISTJLOZ,O,X,X,O,O,O
ISTJZLO,O,X,X,O,O,O
ISTJZOL,O,X,X,O,O,O
ISTJOLZ,O,X,X,O,O,O
ISTJOZL,O,X,X,O,O,O
ISTZLJO,X,X,O,O,O,X
ISTZLOJ,X,X,O,X,O,X
ISTZJLO,X,X,O,O,O,X
ISTZJOL,X,X,O,O,O,X
ISTZOLJ,X,X,O,X,O,X
ISTZOJL,X,X,O,X,O,X
ISTOLJZ,O,X,X,X,O,O
ISTOLZJ,X,X,O,X,O,X
ISTOJLZ,O,X,X,X,O,O
ISTOJZL,O,X,X,X,O,O
ISTOZLJ,X,X,O,X,O,X
ISTOZJL,X,X,O,X,O,X
ISLTJZO,O,X,X,O,O,O
ISLTJOZ,O,X,X,O,O,O
ISLTZJO,X,X,O,O,O,X
ISLTZOJ,X,X,O,X,O,X
ISLTOJZ,O,X,X,X,O,O
ISLTOZJ,X,X,O,X,O,X
ISLJTZO,O,X,X,O,O,X
ISLJTOZ,O,X,X,O,O,X
ISLJZTO,O,O,X,O,X,X
ISLJZOT,O,O,X,O,X,X
ISLJOTZ,O,X,X,O,X,X
ISLJOZT,O,O,X,O,X,X
ISLZTJO,X,O,O,O,O,X
ISLZTOJ,X,X,O,X,O,X
ISLZJTO,O,O,O,O,X,X
ISLZJOT,O,O,O,O,X,X
ISLZOTJ,X,X,O,X,X,X
ISLZOJT,O,O,O,O,X,X
ISLOTJZ,O,X,X,X,O,O
ISLOTZJ,X,X,O,X,O,X
ISLOJTZ,O,X,X,O,X,X
ISLOJZT,O,O,X,O,X,X
ISLOZTJ,X,X,O,X,X,X
ISLOZJT,O,O,O,O,X,X
ISJTLZO,O,X,X,O,O,X
ISJTLOZ,O,X,X,O,O,X
ISJTZLO,O,X,X,O,O,X
ISJTZOL,O,X,X,O,O,X
ISJTOLZ,O,X,X,O,O,X
ISJTOZL,O,X,X,O,O,X
ISJLTZO,O,X,X,O,O,X
ISJLTOZ,O,X,X,O,O,X
ISJLZTO,O,O,X,O,X,X
ISJLZOT,O,O,X,O,X,X
ISJLOTZ,O,X,X,O,X,X
ISJLOZT,O,O,X,O,X,X
ISJZTLO,O,O,X,O,X,X
ISJZTOL,O,O,X,O,X,X
ISJZLTO,O,O,X,O,X,X
ISJZLOT,O,O,X,O,X,X
ISJZOTL,O,O,X,O,X,X
ISJZOLT,O,O,X,O,X,X
ISJOTLZ,O,X,X,O,X,X
ISJOTZL,O,X,X,O,X,X
ISJOLTZ,O,X,X,O,X,X
ISJOLZT,O,O,X,O,X,X
ISJOZTL,O,O,X,O,X,X
ISJOZLT,O,O,X,O,X,X
ISZTLJO,X,O,O,O,O,X
ISZTLOJ,X,X,O,X,O,X
ISZTJLO,X,O,O,O,O,X
ISZTJOL,X,O,O,O,O,X
ISZTOLJ,X,X,O,X,O,X
ISZTOJL,X,X,O,X,O,X
ISZLTJO,X,O,O,O,O,X
ISZLTOJ,X,X,O,X,O,X
ISZLJTO,O,O,O,O,X,X
ISZLJOT,O,O,O,O,X,X
ISZLOTJ,X,X,O,X,X,X
ISZLOJT,O,O,O,O,X,X
ISZJTLO,O,O,O,O,X,X
ISZJTOL,O,O,O,O,X,X
ISZJLTO,O,O,O,O,X,X
ISZJLOT,O,O,O,O,X,X
ISZJOTL,O,O,O,O,X,X
ISZJOLT,O,O,O,O,X,X
ISZOTLJ,X,X,O,X,X,X
ISZOTJL,X,X,O,X,X,X
ISZOLTJ,X,X,O,X,X,X
ISZOLJT,O,O,O,O,X,X
ISZOJTL,O,O,O,O,X,X
ISZOJLT,O,O,O,O,X,X
ISOTLJZ,O,X,X,X,O,O
ISOTLZJ,X,X,O,X,O,X
ISOTJLZ,O,X,X,X,O,O
ISOTJZL,O,X,X,X,O,O
ISOTZLJ,X,X,O,X,O,X
ISOTZJL,X,X,O,X,O,X
ISOLTJZ,O,X,X,X,O,O
ISOLTZJ,X,X,O,X,O,X
ISOLJTZ,O,X,X,O,X,X
ISOLJZT,O,O,X,O,X,X
ISOLZTJ,X,X,O,X,X,X
ISOLZJT,O,O,O,O,X,X
ISOJTLZ,O,X,X,O,X,X
ISOJTZL,O,X,X,O,X,X
ISOJLTZ,O,X,X,O,X,X
ISOJLZT,O,O,X,O,X,X
ISOJZTL,O,O,X,O,X,X
ISOJZLT,O,O,X,O,X,X
ISOZTLJ,X,X,O,X,X,X
ISOZTJL,X,X,O,X,X,X
ISOZLTJ,X,X,O,X,X,X
ISOZLJT,O,O,O,O,X,X
ISOZJTL,O,O,O,O,X,X
ISOZJLT,O,O,O,O,X,X
IZTLJSO,X,X,O,O,O,X
IZTLJOS,X,O,O,O,O,X
IZTLSJO,X,O,O,O,O,X
IZTLSOJ,X,X,O,X,O,X
IZTLOJS,X,X,O,X,O,X
IZTLOSJ,X,X,O,X,O,X
IZTJLSO,X,X,O,O,O,X
IZTJLOS,X,O,O,O,O,X
IZTJSLO,X,X,O,O,O,X
IZTJSOL,X,X,O,O,O,X
IZTJOLS,X,O,O,O,O,X
IZTJOSL,X,X,O,O,O,X
IZTSLJO,X,O,O,O,O,X
IZTSLOJ,X,X,O,X,O,X
IZTSJLO,X,O,O,O,O,X
IZTSJOL,X,O,O,O,O,X
IZTSOLJ,X,X,O,X,O,X
IZTSOJL,X,X,O,X,O,X
IZTOLJS,X,X,O,X,O,X
IZTOLSJ,X,X,O,X,O,X
IZTOJLS,X,X,O,X,O,X
IZTOJSL,X,X,O,X,O,X
IZTOSLJ,X,X,O,X,O,X
IZTOSJL,X,X,O,X,O,X
IZLTJSO,X,X,O,O,O,X
IZLTJOS,X,O,O,O,O,X
IZLTSJO,X,O,O,O,O,X
IZLTSOJ,X,X,O,X,O,X
IZLTOJS,X,X,O,X,O,X
IZLTOSJ,X,X,O,X,O,X
IZLJTSO,O,X,O,O,X,X
IZLJTOS,O,O,O,O,X,X
IZLJSTO,O,O,O,O,X,X
IZLJSOT,O,O,O,O,X,X
IZLJOTS,O,O,O,O,X,X
IZLJOST,O,O,O,O,X,X
IZLSTJO,X,O,O,O,O,X
IZLSTOJ,X,X,O,X,O,X
IZLSJTO,O,O,O,O,X,X
IZLSJOT,O,O,O,O,X,X
IZLSOTJ,X,X,O,X,X,X
IZLSOJT,O,O,O,O,X,X
IZLOTJS,X,X,O,X,O,X
IZLOTSJ,X,X,O,X,O,X
IZLOJTS,O,O,O,O,X,X
IZLOJST,O,O,O,O,X,X
IZLOSTJ,X,X,O,X,X,X
IZLOSJT,O,O,O,O,X,X
IZJTLSO,O,X,O,O,X,X
IZJTLOS,O,O,O,O,X,X
IZJTSLO,O,X,O,O,X,X
IZJTSOL,O,X,O,O,X,X
IZJTOLS,O,O,O,O,X,X
IZJTOSL,O,X,O,O,X,X
IZJLTSO,O,X,O,O,X,X
IZJLTOS,O,O,O,O,X,X
IZJLSTO,O,O,O,O,X,X
IZJLSOT,O,O,O,O,X,X
IZJLOTS,O,O,O,O,X,X
IZJLOST,O,O,O,O,X,X
IZJSTLO,O,O,O,O,X,X
IZJSTOL,O,O,O,O,X,X
IZJSLTO,O,O,O,O,X,X
IZJSLOT,O,O,O,O,X,X
IZJSOTL,O,O,O,O,X,X
IZJSOLT,O,O,O,O,X,X
IZJOTLS,O,O,O,O,X,X
IZJOTSL,O,X,O,O,X,X
IZJOLTS,O,O,O,O,X,X
IZJOLST,O,O,O,O,X,X
IZJOSTL,O,O,O,O,X,X
IZJOSLT,O,O,O,O,X,X
IZSTLJO,X,O,O,O,O,X
IZSTLOJ,X,X,O,X,O,X
IZSTJLO,X,O,O,O,O,X
IZSTJOL,X,O,O,O,O,X
IZSTOLJ,X,X,O,X,O,X
IZSTOJL,X,X,O,X,O,X
IZSLTJO,X,O,O,O,O,X
IZSLTOJ,X,X,O,X,O,X
IZSLJTO,O,O,O,O,X,X
IZSLJOT,O,O,O,O,X,X
IZSLOTJ,X,X,O,X,X,X
IZSLOJT,O,O,O,O,X,X
IZSJTLO,O,O,O,O,X,X
IZSJTOL,O,O,O,O,X,X
IZSJLTO,O,O,O,O,X,X
IZSJLOT,O,O,O,O,X,X
IZSJOTL,O,O,O,O,X,X
IZSJOLT,O,O,O,O,X,X
IZSOTLJ,X,X,O,X,X,X
IZSOTJL,X,X,O,X,X,X
IZSOLTJ,X,X,O,X,X,X
IZSOLJT,O,O,O,O,X,X
IZSOJTL,O,O,O,O,X,X
IZSOJLT,O,O,O,O,X,X
IZOTLJS,X,X,O,X,O,X
IZOTLSJ,X,X,O,X,O,X
IZOTJLS,X,X,O,X,O,X
IZOTJSL,X,X,O,X,O,X
IZOTSLJ,X,X,O,X,O,X
IZOTSJL,X,X,O,X,O,X
IZOLTJS,X,X,O,X,O,X
IZOLTSJ,X,X,O,X,O,X
IZOLJTS,O,O,O,O,X,X
IZOLJST,O,O,O,O,X,X
IZOLSTJ,X,X,O,X,X,X
IZOLSJT,O,O,O,O,X,X
IZOJTLS,O,O,O,O,X,X
IZOJTSL,O,X,O,O,X,X
IZOJLTS,O,O,O,O,X,X
IZOJLST,O,O,O,O,X,X
IZOJSTL,O,O,O,O,X,X
IZOJSLT,O,O,O,O,X,X
IZOSTLJ,X,X,O,X,X,X
