sequence,v115@HhA8IeC8DeB8AeC8CeC8Kel/IvhF3gBanBziB5oB8q?B+rB,v115@HhA8IeC8DeB8AeC8CeC8Ke0/IvhFlgB3hBziB5oByr?BWwB,v115@HhA8IeC8DeB8AeC8CeC8Ke0/IvhF6lBThBmiB5oBXn?BVwB,v115@HhA8IeC8DeB8AeC8CeC8Ke0/IvhFXhBmiB5oBFnB6q?BTrB
TILJSZO,X,X,O,X
TILJSOZ,X,X,O,X
TILJZSO,O,X,O,X
TILJZOS,O,X,O,X
TILJOSZ,X,X,X,X
TILJOZS,O,X,O,X
TILSJZO,X,X,O,X
TILSJOZ,X,X,O,X
TILSZJO,X,X,O,X
TILSZOJ,X,X,O,X
TILSOJZ,X,X,O,X
TILSOZJ,X,X,O,X
TILZJSO,X,X,O,X
TILZJOS,X,X,O,X
TILZSJO,X,X,O,X
TILZSOJ,X,X,O,X
TILZOJS,X,X,O,X
TILZOSJ,X,X,X,X
TILOJSZ,X,X,X,X
TILOJZS,O,X,O,X
TILOSJZ,X,X,X,X
TILOSZJ,X,X,X,X
TILOZJS,X,X,O,X
TILOZSJ,X,X,X,X
TIJLSZO,X,X,O,X
TIJLSOZ,X,X,O,X
TIJLZSO,O,X,O,X
TIJLZOS,O,X,O,X
TIJLOSZ,X,X,X,X
TIJLOZS,O,X,O,X
TIJSLZO,X,X,O,X
TIJSLOZ,X,X,O,X
TIJSZLO,X,X,O,O
TIJSZOL,X,X,O,X
TIJSOLZ,X,X,O,X
TIJSOZL,X,X,O,X
TIJZLSO,O,X,O,X
TIJZLOS,O,X,O,X
TIJZSLO,O,X,O,O
TIJZSOL,O,X,O,X
TIJZOLS,O,X,O,X
TIJZOSL,O,X,X,O
TIJOLSZ,X,X,X,X
TIJOLZS,O,X,O,X
TIJOSLZ,X,X,X,X
TIJOSZL,X,X,X,O
TIJOZLS,O,X,O,X
TIJOZSL,O,X,X,O
TISLJZO,X,X,O,X
TISLJOZ,X,X,O,X
TISLZJO,X,X,O,X
TISLZOJ,X,X,O,X
TISLOJZ,X,X,O,X
TISLOZJ,X,X,O,X
TISJLZO,X,X,O,X
TISJLOZ,X,X,O,X
TISJZLO,X,X,O,O
TISJZOL,X,X,O,X
TISJOLZ,X,X,O,X
TISJOZL,X,X,O,X
TISZLJO,X,X,O,X
TISZLOJ,X,X,O,X
TISZJLO,O,X,O,O
TISZJOL,O,X,O,X
TISZOLJ,X,X,O,X
TISZOJL,O,X,O,X
TISOLJZ,X,X,O,X
TISOLZJ,X,X,O,X
TISOJLZ,X,X,O,X
TISOJZL,X,X,O,X
TISOZLJ,X,X,O,X
TISOZJL,O,X,O,X
TIZLJSO,X,X,O,X
TIZLJOS,X,X,O,X
