sequence,v115@GhA8HeB8HeC8BeB8AeD8Jex/IvhF8lBzhBunB/pBaq?BlrB,v115@GhA8HeB8HeC8BeB8AeD8JeT/IvhFigBRiB3lBGnB0p?BlrB,v115@GhA8HeB8HeC8BeB8AeD8JeT/IvhF8lBRiBypBGnBlr?BXqB,v115@GhA8HeB8HeC8BeB8AeD8Jex/IvhF0hBliBTkBmlBXq?BCsB,v115@GhA8HeB8HeC8BeB8AeD8JeOEJvhFxgBliBqpBTlB/r?BUsB,v115@GhA8HeB8HeC8BeB8AeD8JeiAJvhFRiBTkB3lBGnBlr?B0pB,v115@GhA8HeB8HeC8BeB8AeD8Jei/IvhFzhBunBRlB3lB0p?BlrB,v115@GhA8HeB8HeC8BeB8AeD8JeKEJvhFRhBunBFlBXmB8r?BzpB
TILJSZO,X,O,O,X,O,O,X,X
TILJSOZ,X,O,O,X,O,O,O,X
TILJZSO,X,O,O,X,O,X,X,X
TILJZOS,X,O,O,X,O,X,O,X
TILJOSZ,X,X,O,X,O,O,O,X
TILJOZS,X,X,O,X,O,X,O,X
TILSJZO,X,O,O,X,O,X,X,X
TILSJOZ,X,X,O,X,O,X,O,X
TILSZJO,X,O,X,X,O,X,X,X
TILSZOJ,X,O,X,X,X,X,X,X
TILSOJZ,X,X,O,X,O,X,O,X
TILSOZJ,X,O,X,X,O,X,X,X
TILZJSO,X,O,O,X,O,X,X,X
TILZJOS,X,O,O,X,O,X,O,X
TILZSJO,X,O,X,X,O,X,X,X
TILZSOJ,X,O,X,X,O,X,X,X
TILZOJS,X,O,O,X,O,X,O,X
TILZOSJ,X,O,X,X,O,X,X,X
TILOJSZ,X,X,O,X,O,O,O,X
TILOJZS,X,X,O,X,O,X,O,X
TILOSJZ,X,X,O,X,O,X,O,X
TILOSZJ,X,X,X,X,O,X,X,X
TILOZJS,X,X,O,X,O,X,O,X
TILOZSJ,X,X,X,X,O,X,X,X
TIJLSZO,X,O,O,O,O,O,X,X
TIJLSOZ,X,O,O,O,O,O,O,X
TIJLZSO,X,O,O,O,O,X,X,X
TIJLZOS,X,O,O,O,O,X,O,X
TIJLOSZ,X,X,O,O,O,O,O,X
TIJLOZS,X,X,O,O,O,X,O,X
TIJSLZO,O,O,O,O,O,O,X,X
TIJSLOZ,O,O,O,O,O,O,O,X
TIJSZLO,O,O,O,O,O,O,X,X
TIJSZOL,O,O,X,O,O,O,X,X
TIJSOLZ,O,O,X,O,O,O,O,X
TIJSOZL,O,O,X,O,O,O,X,X
TIJZLSO,X,O,O,O,O,X,O,X
TIJZLOS,O,O,O,O,O,X,O,X
TIJZSLO,O,O,O,O,O,O,O,X
TIJZSOL,O,O,X,O,O,O,O,X
TIJZOLS,O,O,O,O,X,X,O,X
TIJZOSL,O,O,X,O,X,O,O,X
TIJOLSZ,X,X,O,O,X,O,O,X
TIJOLZS,X,X,O,O,X,X,O,X
TIJOSLZ,O,O,X,O,X,O,O,X
TIJOSZL,O,O,X,O,X,O,X,X
TIJOZLS,O,O,O,O,X,X,O,X
TIJOZSL,O,O,X,O,X,O,O,X
TISLJZO,O,O,O,X,O,O,X,X
TISLJOZ,O,O,O,X,O,O,O,X
TISLZJO,O,O,X,X,O,X,X,X
TISLZOJ,O,O,X,X,X,X,X,X
TISLOJZ,O,X,O,X,O,O,O,X
TISLOZJ,O,O,X,X,O,X,X,X
TISJLZO,O,O,O,O,O,O,X,X
TISJLOZ,O,O,O,O,O,O,O,X
TISJZLO,O,O,O,O,O,O,X,X
TISJZOL,O,O,X,O,O,O,X,X
TISJOLZ,O,O,X,O,O,O,O,X
TISJOZL,O,O,X,O,O,O,X,X
TISZLJO,O,O,X,X,O,X,X,X
TISZLOJ,O,O,X,X,X,X,X,X
TISZJLO,O,O,X,X,O,X,X,X
TISZJOL,O,O,X,X,O,X,X,X
TISZOLJ,O,O,X,X,O,X,X,X
TISZOJL,O,O,X,X,X,X,X,X
TISOLJZ,O,X,X,O,O,O,O,X
TISOLZJ,O,O,X,X,O,X,X,X
TISOJLZ,O,X,X,O,O,O,O,X
TISOJZL,O,X,X,O,O,O,X,X
TISOZLJ,O,O,X,X,O,X,X,X
TISOZJL,O,O,X,O,X,X,X,X
TIZLJSO,X,O,O,X,O,X,O,X
TIZLJOS,O,O,O,X,O,X,O,X
TIZLSJO,X,O,X,X,O,X,O,X
TIZLSOJ,X,O,X,X,O,X,O,X
TIZLOJS,O,O,O,X,O,X,O,X
TIZLOSJ,X,O,X,X,O,X,O,X
TIZJLSO,X,O,O,X,O,X,O,X
TIZJLOS,O,O,O,X,O,X,O,X
TIZJSLO,O,O,O,X,O,O,O,X
TIZJSOL,O,O,X,X,O,O,O,X
TIZJOLS,O,O,O,X,X,X,O,X
TIZJOSL,O,O,X,X,X,O,O,X
TIZSLJO,O,O,X,X,O,X,O,X
TIZSLOJ,O,O,X,X,O,X,O,X
TIZSJLO,O,O,X,X,O,X,O,X
