sequence,v115@IhB8FeD8EeD8FeB8Jei/IvhFfmB0hBxiBusB1vBzrB,v115@IhB8FeD8EeD8FeB8Jei/IvhFFhBxiB+qB3nBTrBUsB,v115@IhB8FeD8EeD8FeB8Jei/IvhFUhBFiBXjBWrBTsBxvB,v115@IhB8FeD8EeD8FeB8Jei/IvhFRhBFjBzmB+sBUrB3qB,v115@IhB8FeD8EeD8FeB8Jei/IvhFWmBxiBlnB3qBUsBTrB,v115@IhB8FeD8EeD8FeB8Jei/IvhFzgBxiBlnB3qBUsB+rB,v115@IhB8FeD8EeD8FeB8Jei/IvhFUhBFjB+qBTnB3mBxwB,v115@IhB8FeD8EeD8FeB8Jei/IvhFxhBXjBlmBUrBTsB+qB,v115@IhB8FeD8EeD8FeB8Jei/IvhFzhBFjB+sBRrBUrB3qB
TILJSZO,O,X,O,X,X,X,X,X,O
TILJSOZ,O,O,O,X,X,X,O,X,O
TILJZSO,O,X,O,X,O,O,X,X,O
TILJZOS,O,O,O,O,X,X,O,X,O
TILJOSZ,O,O,O,O,X,X,O,X,O
TILJOZS,O,O,O,O,X,X,O,X,O
TILSJZO,O,X,O,X,O,X,X,X,X
TILSJOZ,O,O,O,X,X,X,O,X,X
TILSZJO,O,X,O,X,O,O,X,X,X
TILSZOJ,O,X,X,X,O,O,X,X,X
TILSOJZ,O,O,O,X,X,X,O,X,X
TILSOZJ,O,X,X,X,X,X,X,X,X
TILZJSO,O,X,X,X,O,O,X,X,X
TILZJOS,O,X,X,O,X,X,O,X,X
TILZSJO,O,X,X,X,O,O,X,X,X
TILZSOJ,O,X,X,X,O,O,X,X,X
TILZOJS,X,X,X,X,X,X,O,X,X
TILZOSJ,O,X,X,X,O,O,X,X,X
TILOJSZ,O,O,O,X,X,X,O,X,X
TILOJZS,O,O,O,X,X,X,O,X,X
TILOSJZ,O,X,O,X,X,X,O,X,X
TILOSZJ,O,X,O,X,X,X,X,X,X
TILOZJS,X,X,O,X,X,X,O,X,X
TILOZSJ,O,X,O,X,O,O,X,X,X
TIJLSZO,O,X,O,X,X,X,X,X,O
TIJLSOZ,O,O,O,X,X,X,O,X,O
TIJLZSO,O,X,O,X,O,O,X,X,O
TIJLZOS,O,O,O,O,X,X,O,X,O
TIJLOSZ,O,O,O,O,X,X,O,X,O
TIJLOZS,O,O,O,O,X,X,O,X,O
TIJSLZO,O,X,O,X,X,X,X,X,O
TIJSLOZ,O,O,O,X,X,X,O,X,O
TIJSZLO,O,X,O,X,X,X,X,X,O
TIJSZOL,O,X,O,X,X,X,X,X,O
TIJSOLZ,O,O,O,X,X,X,O,X,O
TIJSOZL,O,O,O,X,X,X,O,X,O
TIJZLSO,O,X,O,X,O,O,X,X,O
TIJZLOS,O,O,O,O,X,X,O,X,O
TIJZSLO,O,X,O,X,O,O,X,X,O
TIJZSOL,O,X,O,X,O,O,X,X,O
TIJZOLS,O,X,O,O,X,X,O,X,O
TIJZOSL,O,X,O,O,X,X,O,X,O
TIJOLSZ,O,O,O,O,X,X,O,X,O
TIJOLZS,O,O,O,O,X,X,O,X,O
TIJOSLZ,O,O,O,O,X,X,O,X,O
TIJOSZL,O,X,O,X,X,X,O,X,O
TIJOZLS,O,O,O,O,X,X,O,X,O
TIJOZSL,O,X,O,O,X,X,O,X,O
TISLJZO,O,X,O,X,O,X,X,X,X
TISLJOZ,O,O,O,X,X,X,O,X,X
TISLZJO,O,X,O,X,O,O,X,X,X
TISLZOJ,O,X,X,X,O,O,X,X,X
TISLOJZ,O,O,O,X,X,X,O,X,X
TISLOZJ,O,X,X,X,X,X,X,X,X
TISJLZO,O,X,O,X,O,X,X,X,X
TISJLOZ,O,O,O,X,X,X,O,X,X
TISJZLO,O,X,O,X,X,X,X,X,X
TISJZOL,O,X,O,X,X,X,X,X,X
TISJOLZ,O,O,O,X,X,X,O,X,X
TISJOZL,O,O,O,X,X,X,O,X,X
TISZLJO,O,X,O,X,O,O,X,X,X
TISZLOJ,O,X,X,X,O,O,X,X,X
TISZJLO,O,X,O,X,O,O,X,X,X
TISZJOL,O,X,O,X,O,O,X,X,X
TISZOLJ,O,X,X,X,O,O,X,X,X
TISZOJL,X,X,X,X,O,O,X,X,X
TISOLJZ,O,O,O,X,X,X,O,X,X
TISOLZJ,O,X,X,X,X,X,X,X,X
TISOJLZ,O,O,O,X,X,X,O,X,X
TISOJZL,O,O,O,X,X,X,O,X,X
TISOZLJ,O,X,X,X,X,X,X,X,X
TISOZJL,O,X,X,X,X,X,X,X,X
TIZLJSO,O,X,X,X,O,O,X,X,X
TIZLJOS,O,X,X,O,X,X,O,X,X
TIZLSJO,O,X,X,X,O,O,X,X,X
TIZLSOJ,O,X,X,X,O,O,X,X,X
TIZLOJS,X,X,X,X,X,X,O,X,X
TIZLOSJ,O,X,X,X,O,O,X,X,X
TIZJLSO,O,X,X,X,O,O,X,X,X
TIZJLOS,O,X,X,O,X,X,O,X,X
TIZJSLO,O,X,X,X,O,O,X,X,X
TIZJSOL,O,X,X,X,O,O,X,X,X
TIZJOLS,O,X,X,O,X,X,O,X,X
TIZJOSL,O,X,X,O,X,X,O,X,X
TIZSLJO,O,X,X,X,O,O,X,X,X
TIZSLOJ,O,X,X,X,O,O,X,X,X
TIZSJLO,O,X,X,X,O,O,X,X,X
TIZSJOL,O,X,X,X,O,O,X,X,X
TIZSOLJ,O,X,X,X,O,O,X,X,X
TIZSOJL,X,X,X,X,O,O,X,X,X
TIZOLJS,X,X,X,X,X,X,O,X,X
TIZOLSJ,O,X,X,X,O,O,X,X,X
TIZOJLS,X,X,X,X,X,X,O,X,X
TIZOJSL,X,X,X,X,X,X,O,X,X
TIZOSLJ,O,X,X,X,O,O,X,X,X
TIZOSJL,O,X,X,X,O,O,X,X,X
TIOLJSZ,O,O,O,X,X,X,O,X,X
TIOLJZS,O,O,O,X,X,X,O,X,X
TIOLSJZ,O,X,O,X,X,X,O,X,X
TIOLSZJ,O,X,O,X,X,X,X,X,X
TIOLZJS,X,X,O,X,X,X,O,X,X
TIOLZSJ,O,X,O,X,O,O,X,X,X
TIOJLSZ,O,O,O,X,X,X,O,X,X
TIOJLZS,O,O,O,X,X,X,O,X,X
TIOJSLZ,O,O,O,X,X,X,O,X,X
TIOJSZL,O,X,O,X,X,X,O,X,X
TIOJZLS,O,O,O,X,X,X,O,X,X
TIOJZSL,O,X,O,X,X,X,O,X,X
TIOSLJZ,O,X,O,X,X,X,O,X,X
TIOSLZJ,O,X,O,X,X,X,X,X,X
TIOSJLZ,O,X,O,X,X,X,O,X,X
TIOSJZL,O,X,O,X,X,X,O,X,X
TIOSZLJ,O,X,O,X,X,X,X,X,X
TIOSZJL,O,X,O,X,X,X,X,X,X
TIOZLJS,X,X,O,X,X,X,O,X,X
TIOZLSJ,O,X,O,X,O,O,X,X,X
TIOZJLS,X,X,O,X,X,X,O,X,X
TIOZJSL,X,X,O,X,X,X,O,X,X
TIOZSLJ,O,X,O,X,O,O,X,X,X
TIOZSJL,O,X,O,X,O,O,X,X,X
