sequence,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8KeT/IvhFlgB5oB?imBGqB3rBUsB,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8KeT/IvhFlgB5oB?imBGqBUsB3rB,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8Ke/EJvhFGgBKmB?zhB5oB0qBVxB,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8Ke/EJvhFzgBumB?5oBKsBUlBVwB,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8Ke/EJvhFGgB5oB?TmBKsB0qBlrB,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8Ke/EJvhFGgBymB?5oBlqBUsBTrB
TILJSZO,O,X,O,O,X,X
TILJSOZ,O,X,O,O,X,X
TILJZSO,X,O,X,O,X,X
TILJZOS,X,O,X,O,X,X
TILJOSZ,O,X,O,O,X,X
TILJOZS,X,O,X,O,X,X
TILSJZO,X,X,O,O,O,O
TILSJOZ,X,X,O,O,X,X
TILSZJO,X,X,O,O,O,O
TILSZOJ,X,X,O,O,O,O
TILSOJZ,X,X,O,O,X,X
TILSOZJ,X,X,O,O,X,X
TILZJSO,X,X,O,O,X,O
TILZJOS,X,X,O,O,X,X
TILZSJO,X,X,O,O,O,O
TILZSOJ,X,X,O,O,O,O
TILZOJS,X,X,O,O,X,X
TILZOSJ,X,X,O,O,O,O
TILOJSZ,O,X,O,O,X,X
TILOJZS,X,O,X,O,X,X
TILOSJZ,X,X,O,O,X,X
TILOSZJ,X,X,O,O,X,X
TILOZJS,X,X,O,O,X,X
TILOZSJ,X,X,O,O,X,X
TIJLSZO,O,X,O,O,X,X
TIJLSOZ,O,X,O,O,X,X
TIJLZSO,X,O,X,O,X,X
TIJLZOS,X,O,X,O,X,X
TIJLOSZ,O,X,O,O,X,X
TIJLOZS,X,O,X,O,X,X
TIJSLZO,O,X,O,O,X,O
TIJSLOZ,O,X,O,O,X,X
TIJSZLO,O,O,O,X,X,O
TIJSZOL,O,O,O,X,X,O
TIJSOLZ,O,X,O,O,X,X
TIJSOZL,O,O,O,X,X,O
TIJZLSO,X,O,O,X,X,O
TIJZLOS,X,O,O,X,X,X
TIJZSLO,O,O,O,X,X,O
TIJZSOL,O,O,O,X,X,O
TIJZOLS,X,O,O,X,X,X
TIJZOSL,O,O,O,X,X,X
TIJOLSZ,O,X,O,O,X,X
TIJOLZS,X,O,X,O,X,X
TIJOSLZ,O,X,O,O,X,X
TIJOSZL,O,O,O,X,X,X
TIJOZLS,X,O,O,X,X,X
TIJOZSL,O,O,O,X,X,X
TISLJZO,O,X,O,O,O,O
TISLJOZ,O,X,O,O,X,X
TISLZJO,X,X,O,O,O,O
TISLZOJ,X,X,O,O,O,O
TISLOJZ,O,X,O,O,X,X
TISLOZJ,X,X,O,O,X,X
TISJLZO,O,X,O,O,O,O
TISJLOZ,O,X,O,O,X,X
TISJZLO,O,O,O,X,O,O
TISJZOL,O,O,O,X,X,O
TISJOLZ,O,X,O,O,X,X
TISJOZL,O,O,O,X,X,O
TISZLJO,X,X,O,O,O,O
TISZLOJ,X,X,O,O,O,O
TISZJLO,X,X,O,X,O,O
TISZJOL,X,X,O,X,X,O
TISZOLJ,X,X,O,O,X,O
TISZOJL,X,X,O,X,X,O
TISOLJZ,O,X,O,O,X,X
TISOLZJ,X,X,O,O,X,X
TISOJLZ,O,X,O,O,X,X
TISOJZL,O,O,O,X,X,O
TISOZLJ,X,X,O,O,X,O
TISOZJL,X,X,O,X,X,O
TIZLJSO,X,O,O,O,X,O
TIZLJOS,X,O,O,O,X,X
TIZLSJO,X,X,O,O,O,O
TIZLSOJ,X,X,O,O,O,O
TIZLOJS,X,O,O,O,X,X
TIZLOSJ,X,X,O,O,O,O
TIZJLSO,X,O,O,X,X,O
TIZJLOS,X,O,O,X,X,X
TIZJSLO,O,O,O,X,X,O
TIZJSOL,O,O,O,X,X,O
TIZJOLS,X,O,O,X,X,X
TIZJOSL,O,O,O,X,X,X
TIZSLJO,X,X,O,O,O,O
TIZSLOJ,X,X,O,O,O,O
TIZSJLO,X,X,O,X,O,O
TIZSJOL,X,X,O,X,X,O
TIZSOLJ,X,X,O,O,X,O
TIZSOJL,X,X,O,X,X,O
TIZOLJS,X,O,O,O,X,X
TIZOLSJ,X,X,O,O,X,O
TIZOJLS,X,O,O,X,X,X
TIZOJSL,O,O,O,X,X,X
TIZOSLJ,X,X,O,O,X,O
TIZOSJL,X,X,O,X,X,O
TIOLJSZ,O,X,O,O,X,X
TIOLJZS,X,O,X,O,X,X
TIOLSJZ,X,X,O,O,X,X
TIOLSZJ,X,X,O,O,X,X
TIOLZJS,X,X,O,O,X,X
TIOLZSJ,X,X,O,O,X,X
TIOJLSZ,O,X,O,O,X,X
TIOJLZS,X,O,X,O,X,X
TIOJSLZ,O,X,O,O,X,X
TIOJSZL,O,O,O,X,X,X
TIOJZLS,X,O,O,X,X,X
TIOJZSL,O,O,O,X,X,X
TIOSLJZ,O,X,O,O,X,X
TIOSLZJ,X,X,O,O,X,X
TIOSJLZ,O,X,O,O,X,X
TIOSJZL,O,O,O,X,X,O
TIOSZLJ,X,X,O,O,X,O
TIOSZJL,X,X,O,X,X,O
TIOZLJS,X,O,O,O,X,X
TIOZLSJ,X,X,O,O,X,O
TIOZJLS,X,O,O,X,X,X
TIOZJSL,O,O,O,X,X,X
TIOZSLJ,X,X,O,O,X,O
TIOZSJL,X,X,O,X,X,O
TLIJSZO,O,X,O,O,X,X
TLIJSOZ,O,X,O,O,X,X
TLIJZSO,X,O,X,O,X,X
TLIJZOS,X,O,X,O,X,X
TLIJOSZ,O,X,O,O,X,X
TLIJOZS,X,O,X,O,X,X
TLISJZO,X,X,O,O,O,O
TLISJOZ,X,X,O,O,X,X
TLISZJO,X,X,O,O,O,O
TLISZOJ,X,X,O,O,O,O
TLISOJZ,X,X,O,O,X,X
TLISOZJ,X,X,O,O,X,X
TLIZJSO,X,X,O,O,X,O
TLIZJOS,X,X,O,O,X,X
TLIZSJO,X,X,O,O,O,O
TLIZSOJ,X,X,O,O,O,O
TLIZOJS,X,X,O,O,X,X
TLIZOSJ,X,X,O,O,O,O
TLIOJSZ,O,X,O,O,X,X
TLIOJZS,X,O,X,O,X,X
TLIOSJZ,X,X,O,O,X,X
TLIOSZJ,X,X,O,O,X,X
TLIOZJS,X,X,O,O,X,X
TLIOZSJ,X,X,O,O,X,X
TLJISZO,O,X,O,O,X,X
TLJISOZ,O,X,O,O,X,X
TLJIZSO,X,O,X,O,X,X
TLJIZOS,X,O,X,O,X,X
TLJIOSZ,O,X,O,O,X,X
TLJIOZS,X,O,X,O,X,X
TLJSIZO,O,X,O,O,X,X
TLJSIOZ,O,X,O,O,X,X
TLJSZIO,O,X,O,O,X,X
TLJSZOI,O,X,O,O,X,X
TLJSOIZ,O,X,O,O,X,X
TLJSOZI,O,X,O,O,X,X
TLJZISO,X,O,X,O,X,X
TLJZIOS,X,O,X,O,X,X
TLJZSIO,X,O,X,O,X,X
TLJZSOI,X,O,X,O,X,X
TLJZOIS,X,O,X,O,X,X
TLJZOSI,X,O,X,O,X,X
TLJOISZ,O,X,O,O,X,X
TLJOIZS,X,O,X,O,X,X
TLJOSIZ,O,X,O,O,X,X
TLJOSZI,O,X,O,O,X,X
TLJOZIS,X,O,X,O,X,X
TLJOZSI,X,O,X,O,X,X
TLSIJZO,X,X,O,O,O,O
TLSIJOZ,X,X,O,O,X,X
TLSIZJO,X,X,O,O,O,O
TLSIZOJ,X,X,O,O,O,O
TLSIOJZ,X,X,O,O,X,X
TLSIOZJ,X,X,O,O,X,X
TLSJIZO,X,X,O,O,O,O
TLSJIOZ,X,X,O,O,X,X
TLSJZIO,X,X,O,O,O,O
TLSJZOI,X,X,O,O,O,O
TLSJOIZ,X,X,O,O,X,X
TLSJOZI,X,X,O,O,X,X
TLSZIJO,X,X,O,O,O,O
TLSZIOJ,X,X,O,O,O,O
TLSZJIO,X,X,O,O,O,O
TLSZJOI,X,X,O,O,O,O
TLSZOIJ,X,X,O,O,O,O
TLSZOJI,X,X,O,O,O,O
TLSOIJZ,X,X,O,O,X,X
TLSOIZJ,X,X,O,O,X,X
TLSOJIZ,X,X,O,O,X,X
TLSOJZI,X,X,O,O,X,X
TLSOZIJ,X,X,O,O,X,X
TLSOZJI,X,X,O,O,X,X
TLZIJSO,X,X,O,O,X,O
TLZIJOS,X,X,O,O,X,X
TLZISJO,X,X,O,O,O,O
TLZISOJ,X,X,O,O,O,O
TLZIOJS,X,X,O,O,X,X
TLZIOSJ,X,X,O,O,O,O
TLZJISO,X,X,O,O,X,O
TLZJIOS,X,X,O,O,X,X
TLZJSIO,X,X,O,O,X,O
TLZJSOI,X,X,O,O,X,O
TLZJOIS,X,X,O,O,X,X
TLZJOSI,X,X,O,O,X,X
TLZSIJO,X,X,O,O,O,O
TLZSIOJ,X,X,O,O,O,O
TLZSJIO,X,X,O,O,O,O
TLZSJOI,X,X,O,O,O,O
TLZSOIJ,X,X,O,O,O,O
TLZSOJI,X,X,O,O,O,O
TLZOIJS,X,X,O,O,X,X
TLZOISJ,X,X,O,O,O,O
TLZOJIS,X,X,O,O,X,X
TLZOJSI,X,X,O,O,X,X
TLZOSIJ,X,X,O,O,O,O
TLZOSJI,X,X,O,O,O,O
TLOIJSZ,O,X,O,O,X,X
TLOIJZS,X,O,X,O,X,X
TLOISJZ,X,X,O,O,X,X
TLOISZJ,X,X,O,O,X,X
TLOIZJS,X,X,O,O,X,X
TLOIZSJ,X,X,O,O,X,X
TLOJISZ,O,X,O,O,X,X
TLOJIZS,X,O,X,O,X,X
TLOJSIZ,O,X,O,O,X,X
TLOJSZI,O,X,O,O,X,X
TLOJZIS,X,O,X,O,X,X
TLOJZSI,X,O,X,O,X,X
TLOSIJZ,X,X,O,O,X,X
TLOSIZJ,X,X,O,O,X,X
TLOSJIZ,X,X,O,O,X,X
TLOSJZI,X,X,O,O,X,X
TLOSZIJ,X,X,O,O,X,X
TLOSZJI,X,X,O,O,X,X
TLOZIJS,X,X,O,O,X,X
TLOZISJ,X,X,O,O,X,X
TLOZJIS,X,X,O,O,X,X
TLOZJSI,X,X,O,O,X,X
TLOZSIJ,X,X,O,O,X,X
TLOZSJI,X,X,O,O,X,X
TJILSZO,O,X,O,O,X,X
TJILSOZ,O,X,O,O,X,X
TJILZSO,X,O,X,O,X,X
TJILZOS,X,O,X,O,X,X
TJILOSZ,O,X,O,O,X,X
TJILOZS,X,O,X,O,X,X
TJISLZO,O,X,O,O,X,O
TJISLOZ,O,X,O,O,X,X
TJISZLO,O,O,O,X,X,O
TJISZOL,O,O,O,X,X,O
TJISOLZ,O,X,O,O,X,X
TJISOZL,O,O,O,X,X,O
TJIZLSO,X,O,O,X,X,O
TJIZLOS,X,O,O,X,X,X
TJIZSLO,O,O,O,X,X,O
TJIZSOL,O,O,O,X,X,O
TJIZOLS,X,O,O,X,X,X
TJIZOSL,O,O,O,X,X,X
TJIOLSZ,O,X,O,O,X,X
TJIOLZS,X,O,X,O,X,X
TJIOSLZ,O,X,O,O,X,X
TJIOSZL,O,O,O,X,X,X
TJIOZLS,X,O,O,X,X,X
TJIOZSL,O,O,O,X,X,X
