sequence,v115@FhA8AeA8GeA8AeB8EeB8AeB8BeB8BeA8Kel/IvhF3g?BGiB5oBimBTqBUsB,v115@FhA8AeA8GeA8AeB8EeB8AeB8BeB8BeA8Kel/IvhFGh?BTiB5oBilB3qBUsB,v115@FhA8AeA8GeA8AeB8EeB8AeB8BeB8BeA8Kel/IvhFTi?B5oBOqBXmBUsBCrB,v115@FhA8AeA8GeA8AeB8EeB8AeB8BeB8BeA8Ke0/IvhFXh?B5oBFnBOqBCrBTsB,v115@FhA8AeA8GeA8AeB8EeB8AeB8BeB8BeA8Ke0/IvhF/m?BGiB5oB1qBKsBTqB
TILJSZO,O,X,O,O,O
TILJSOZ,O,X,X,X,O
TILJZSO,O,X,O,O,O
TILJZOS,X,X,O,X,X
TILJOSZ,O,X,X,X,X
TILJOZS,O,X,X,X,X
TILSJZO,O,O,X,O,O
TILSJOZ,O,O,X,X,O
TILSZJO,O,O,X,O,O
TILSZOJ,X,O,X,O,O
TILSOJZ,O,O,X,X,O
TILSOZJ,X,O,X,O,O
TILZJSO,O,X,O,O,O
TILZJOS,O,O,O,X,X
TILZSJO,O,O,X,O,O
TILZSOJ,O,O,X,O,O
TILZOJS,O,O,O,X,X
TILZOSJ,O,O,X,O,O
TILOJSZ,O,X,X,X,X
TILOJZS,O,X,X,X,X
TILOSJZ,O,O,X,X,O
TILOSZJ,O,O,X,O,O
TILOZJS,O,X,X,X,X
TILOZSJ,O,X,X,O,O
TIJLSZO,O,X,O,O,O
TIJLSOZ,O,X,X,X,O
TIJLZSO,O,X,O,O,O
TIJLZOS,X,X,O,X,X
TIJLOSZ,O,X,X,X,X
TIJLOZS,O,X,X,X,X
TIJSLZO,O,O,O,O,X
TIJSLOZ,O,O,X,X,X
TIJSZLO,X,O,O,O,X
TIJSZOL,X,O,O,X,X
TIJSOLZ,O,O,X,X,X
TIJSOZL,O,X,O,X,X
TIJZLSO,O,X,O,O,O
TIJZLOS,O,O,O,X,X
TIJZSLO,O,O,O,O,X
TIJZSOL,O,O,O,X,X
TIJZOLS,O,O,O,X,X
TIJZOSL,O,O,O,X,X
TIJOLSZ,O,X,X,X,X
TIJOLZS,O,X,X,X,X
TIJOSLZ,O,O,X,X,X
TIJOSZL,O,X,O,X,X
TIJOZLS,O,X,O,X,X
TIJOZSL,O,X,O,X,X
TISLJZO,O,O,X,O,O
TISLJOZ,O,O,X,X,O
TISLZJO,O,O,X,O,O
TISLZOJ,X,O,X,O,O
TISLOJZ,O,O,X,X,O
TISLOZJ,X,O,X,O,O
TISJLZO,O,O,O,O,X
TISJLOZ,O,O,X,X,X
TISJZLO,X,O,O,O,X
TISJZOL,X,O,O,X,X
TISJOLZ,O,O,X,X,X
TISJOZL,O,X,O,X,X
TISZLJO,O,O,X,O,O
TISZLOJ,O,O,X,O,O
TISZJLO,O,O,O,O,X
TISZJOL,O,O,O,X,X
TISZOLJ,O,O,X,O,X
TISZOJL,O,O,O,X,X
TISOLJZ,O,O,X,X,X
TISOLZJ,O,O,X,O,X
TISOJLZ,O,O,X,X,X
TISOJZL,O,X,X,X,X
TISOZLJ,O,O,X,O,X
TISOZJL,O,O,X,X,X
TIZLJSO,O,X,O,O,O
TIZLJOS,O,O,O,X,X
TIZLSJO,O,O,X,O,O
TIZLSOJ,O,O,X,O,O
TIZLOJS,O,O,O,X,X
TIZLOSJ,O,O,X,O,O
TIZJLSO,O,X,O,O,O
TIZJLOS,O,O,O,X,X
TIZJSLO,O,O,O,O,X
TIZJSOL,O,O,O,X,X
TIZJOLS,O,O,O,X,X
TIZJOSL,O,O,O,X,X
TIZSLJO,O,O,X,O,O
TIZSLOJ,O,O,X,O,O
TIZSJLO,O,O,O,O,X
TIZSJOL,O,O,O,X,X
TIZSOLJ,O,O,X,O,X
TIZSOJL,O,O,O,X,X
TIZOLJS,O,O,O,X,X
TIZOLSJ,O,O,X,O,O
TIZOJLS,O,O,O,X,X
TIZOJSL,O,O,O,X,X
TIZOSLJ,O,O,X,O,X
TIZOSJL,O,O,O,X,X
TIOLJSZ,O,X,X,X,X
TIOLJZS,O,X,X,X,X
TIOLSJZ,O,O,X,X,O
TIOLSZJ,O,O,X,O,O
TIOLZJS,O,X,X,X,X
TIOLZSJ,O,X,X,O,O
TIOJLSZ,O,X,X,X,X
TIOJLZS,O,X,X,X,X
TIOJSLZ,O,O,X,X,X
TIOJSZL,O,X,O,X,X
TIOJZLS,O,X,O,X,X
TIOJZSL,O,X,O,X,X
TIOSLJZ,O,O,X,X,X
TIOSLZJ,O,O,X,O,X
TIOSJLZ,O,O,X,X,X
TIOSJZL,O,X,X,X,X
TIOSZLJ,O,O,X,O,X
TIOSZJL,O,O,X,X,X
TIOZLJS,O,O,O,X,X
TIOZLSJ,O,O,X,O,O
TIOZJLS,O,O,O,X,X
TIOZJSL,O,O,O,X,X
TIOZSLJ,O,O,X,O,X
TIOZSJL,O,O,O,X,X
TLIJSZO,O,X,O,O,O
TLIJSOZ,O,X,X,X,O
TLIJZSO,O,X,O,O,O
TLIJZOS,X,X,O,X,X
TLIJOSZ,O,X,X,X,X
TLIJOZS,O,X,X,X,X
TLISJZO,O,O,X,O,O
TLISJOZ,O,O,X,X,O
TLISZJO,O,O,X,O,O
TLISZOJ,X,O,X,O,O
TLISOJZ,O,O,X,X,O
TLISOZJ,X,O,X,O,O
TLIZJSO,O,X,O,O,O
TLIZJOS,O,O,O,X,X
TLIZSJO,O,O,X,O,O
TLIZSOJ,O,O,X,O,O
TLIZOJS,O,O,O,X,X
TLIZOSJ,O,O,X,O,O
TLIOJSZ,O,X,X,X,X
TLIOJZS,O,X,X,X,X
TLIOSJZ,O,O,X,X,O
TLIOSZJ,O,O,X,O,O
TLIOZJS,O,X,X,X,X
TLIOZSJ,O,X,X,O,O
TLJISZO,O,X,O,O,O
TLJISOZ,O,X,X,X,O
TLJIZSO,O,X,O,O,O
TLJIZOS,X,X,O,X,X
TLJIOSZ,O,X,X,X,X
TLJIOZS,O,X,X,X,X
TLJSIZO,O,X,O,O,O
TLJSIOZ,O,X,X,X,O
TLJSZIO,O,X,O,O,O
TLJSZOI,X,X,O,X,O
TLJSOIZ,O,X,X,X,O
TLJSOZI,X,X,X,X,O
TLJZISO,O,X,O,O,O
TLJZIOS,X,X,O,X,X
TLJZSIO,O,X,O,O,O
TLJZSOI,X,X,O,X,O
TLJZOIS,X,X,O,X,X
