sequence,v115@EhA8IeA8DeA8CeD8AeB8DeC8JeZEJvhFukB9lBymBT?jBXrB0rB,v115@EhA8IeA8DeA8CeD8AeB8DeC8JeZEJvhFukB9lBymBT?jB0rBXrB,v115@EhA8IeA8DeA8CeD8AeB8DeC8JeZEJvhFukB3gBtmBT?jB8qBywB
TILJSZO,O,X,X
TILJSOZ,O,O,X
TILJZSO,X,O,O
TILJZOS,O,O,O
TILJOSZ,O,O,X
TILJOZS,O,O,O
TILSJZO,O,X,X
TILSJOZ,O,O,X
TILSZJO,O,X,X
TILSZOJ,O,X,X
TILSOJZ,O,O,X
TILSOZJ,O,X,X
TILZJSO,X,O,O
TILZJOS,O,O,O
TILZSJO,X,O,O
TILZSOJ,X,O,O
TILZOJS,O,O,O
TILZOSJ,X,O,O
TILOJSZ,O,O,X
TILOJZS,O,O,O
TILOSJZ,O,O,X
TILOSZJ,O,X,X
TILOZJS,O,O,O
TILOZSJ,X,O,O
TIJLSZO,O,X,X
TIJLSOZ,O,O,X
TIJLZSO,X,O,O
TIJLZOS,O,O,O
TIJLOSZ,O,O,X
TIJLOZS,O,O,O
TIJSLZO,O,X,X
TIJSLOZ,O,O,X
TIJSZLO,O,O,O
TIJSZOL,O,O,O
TIJSOLZ,O,O,X
TIJSOZL,O,O,O
TIJZLSO,X,O,O
TIJZLOS,O,O,O
TIJZSLO,O,O,O
TIJZSOL,O,O,O
TIJZOLS,O,O,O
TIJZOSL,O,O,O
TIJOLSZ,O,O,X
TIJOLZS,O,O,O
TIJOSLZ,O,O,X
TIJOSZL,O,O,O
TIJOZLS,O,O,O
TIJOZSL,O,O,O
TISLJZO,O,X,X
TISLJOZ,O,O,X
TISLZJO,O,X,X
TISLZOJ,O,X,X
TISLOJZ,O,O,X
TISLOZJ,O,X,X
TISJLZO,O,X,X
TISJLOZ,O,O,X
TISJZLO,O,O,O
TISJZOL,O,O,O
TISJOLZ,O,O,X
TISJOZL,O,O,O
TISZLJO,O,O,O
TISZLOJ,O,O,O
TISZJLO,O,O,O
TISZJOL,O,O,O
TISZOLJ,O,O,O
TISZOJL,O,O,O
TISOLJZ,O,O,X
TISOLZJ,O,X,X
TISOJLZ,O,O,X
TISOJZL,O,O,O
TISOZLJ,O,O,O
TISOZJL,O,O,O
TIZLJSO,X,O,O
TIZLJOS,O,O,O
TIZLSJO,X,O,O
TIZLSOJ,X,O,O
