sequence,v115@JhA8HeB8DeB8CeG8KeNEJvhFUhBanBziB5oBWrB3pB,v115@JhA8HeB8DeB8CeG8KeNEJvhFqlBmhBziB5oB0mB3pB
TIZJSOL,O,O
TIZJOLS,O,O
TIZJOSL,O,O
TIZSLJO,X,O
TIZSLOJ,X,O
TIZSJLO,X,O
TIZSJOL,X,O
TIZSOLJ,X,O
TIZSOJL,X,O
TIZOLJS,O,O
TIZOLSJ,X,O
TIZOJLS,O,O
TIZOJSL,O,O
TIZOSLJ,X,O
TIZOSJL,X,O
TIOLJSZ,O,X
TIOLJZS,O,O
TIOLSJZ,O,X
TIOLSZJ,X,O
TIOLZJS,O,O
TIOLZSJ,X,O
TIOJLSZ,O,X
TIOJLZS,O,O
TIOJSLZ,O,X
TIOJSZL,O,X
TIOJZLS,O,O
TIOJZSL,O,O
TIOSLJZ,O,X
TIOSLZJ,X,O
TIOSJLZ,O,X
TIOSJZL,O,X
TIOSZLJ,X,O
TIOSZJL,X,O
TIOZLJS,O,O
TIOZLSJ,X,O
TIOZJLS,O,O
TIOZJSL,O,O
TIOZSLJ,X,O
TIOZSJL,X,O
TLIJSZO,O,X
TLIJSOZ,O,X
TLIJZSO,O,O
TLIJZOS,O,O
TLIJOSZ,O,X
TLIJOZS,O,O
TLISJZO,O,X
TLISJOZ,O,X
TLISZJO,X,O
TLISZOJ,X,O
TLISOJZ,O,X
TLISOZJ,X,O
TLIZJSO,O,O
TLIZJOS,O,O
TLIZSJO,X,O
TLIZSOJ,X,O
TLIZOJS,O,O
TLIZOSJ,X,O
TLIOJSZ,O,X
TLIOJZS,O,O
TLIOSJZ,O,X
TLIOSZJ,X,O
TLIOZJS,O,O
TLIOZSJ,X,O
TLJISZO,O,X
TLJISOZ,O,X
TLJIZSO,O,O
TLJIZOS,O,O
TLJIOSZ,O,X
TLJIOZS,O,O
TLJSIZO,O,X
TLJSIOZ,O,X
TLJSZIO,O,X
TLJSZOI,O,X
TLJSOIZ,O,X
TLJSOZI,O,X
TLJZISO,O,O
TLJZIOS,O,O
TLJZSIO,O,O
TLJZSOI,O,O
TLJZOIS,O,O
TLJZOSI,O,O
TLJOISZ,O,X
TLJOIZS,O,O
TLJOSIZ,O,X
TLJOSZI,O,X
TLJOZIS,O,O
TLJOZSI,O,O
TLSIJZO,O,X
TLSIJOZ,O,X
TLSIZJO,X,O
TLSIZOJ,X,O
TLSIOJZ,O,X
TLSIOZJ,X,O
TLSJIZO,O,X
TLSJIOZ,O,X
TLSJZIO,O,X
TLSJZOI,O,X
TLSJOIZ,O,X
TLSJOZI,O,X
TLSZIJO,X,O
TLSZIOJ,X,O
TLSZJIO,X,O
TLSZJOI,X,O
TLSZOIJ,X,O
TLSZOJI,X,O
TLSOIJZ,O,X
TLSOIZJ,X,O
TLSOJIZ,O,X
TLSOJZI,O,X
TLSOZIJ,X,O
TLSOZJI,X,O
TLZIJSO,O,O
TLZIJOS,O,O
TLZISJO,X,O
TLZISOJ,X,O
TLZIOJS,O,O
TLZIOSJ,X,O
TLZJISO,O,O
TLZJIOS,O,O
TLZJSIO,O,O
TLZJSOI,O,O
TLZJOIS,O,O
TLZJOSI,O,O
TLZSIJO,X,O
TLZSIOJ,X,O
TLZSJIO,X,O
TLZSJOI,X,O
TLZSOIJ,X,O
TLZSOJI,X,O
TLZOIJS,O,O
TLZOISJ,X,O
TLZOJIS,O,O
TLZOJSI,O,O
TLZOSIJ,X,O
TLZOSJI,X,O
TLOIJSZ,O,X
TLOIJZS,O,O
TLOISJZ,O,X
TLOISZJ,X,O
TLOIZJS,O,O
TLOIZSJ,X,O
TLOJISZ,O,X
TLOJIZS,O,O
TLOJSIZ,O,X
TLOJSZI,O,X
TLOJZIS,O,O
TLOJZSI,O,O
TLOSIJZ,O,X
TLOSIZJ,X,O
TLOSJIZ,O,X
TLOSJZI,O,X
TLOSZIJ,X,O
TLOSZJI,X,O
TLOZIJS,O,O
TLOZISJ,X,O
TLOZJIS,O,O
TLOZJSI,O,O
TLOZSIJ,X,O
TLOZSJI,X,O
TJILSZO,O,X
TJILSOZ,O,X
TJILZSO,O,O
TJILZOS,O,O
TJILOSZ,O,X
TJILOZS,O,O
TJISLZO,O,X
TJISLOZ,O,X
TJISZLO,O,X
TJISZOL,O,X
TJISOLZ,O,X
TJISOZL,O,X
TJIZLSO,O,O
TJIZLOS,O,O
TJIZSLO,O,O
TJIZSOL,O,O
TJIZOLS,O,O
TJIZOSL,O,O
TJIOLSZ,O,X
TJIOLZS,O,O
TJIOSLZ,O,X
TJIOSZL,O,X
TJIOZLS,O,O
TJIOZSL,O,O
TJLISZO,O,X
TJLISOZ,O,X
TJLIZSO,O,O
TJLIZOS,O,O
TJLIOSZ,O,X
TJLIOZS,O,O
TJLSIZO,O,X
TJLSIOZ,O,X
TJLSZIO,O,X
TJLSZOI,O,X
TJLSOIZ,O,X
TJLSOZI,O,X
TJLZISO,O,O
TJLZIOS,O,O
TJLZSIO,O,O
TJLZSOI,O,O
TJLZOIS,O,O
TJLZOSI,O,O
TJLOISZ,O,X
TJLOIZS,O,O
TJLOSIZ,O,X
TJLOSZI,O,X
TJLOZIS,O,O
TJLOZSI,O,O
TJSILZO,O,X
TJSILOZ,O,X
TJSIZLO,O,X
TJSIZOL,O,X
TJSIOLZ,O,X
TJSIOZL,O,X
TJSLIZO,O,X
TJSLIOZ,O,X
TJSLZIO,O,X
TJSLZOI,O,X
TJSLOIZ,O,X
TJSLOZI,O,X
TJSZILO,O,X
TJSZIOL,O,X
TJSZLIO,O,X
TJSZLOI,O,X
TJSZOIL,O,X
TJSZOLI,O,X
TJSOILZ,O,X
TJSOIZL,O,X
TJSOLIZ,O,X
TJSOLZI,O,X
TJSOZIL,O,X
TJSOZLI,O,X
TJZILSO,O,O
TJZILOS,O,O
TJZISLO,O,O
TJZISOL,O,O
TJZIOLS,O,O
TJZIOSL,O,O
TJZLISO,O,O
TJZLIOS,O,O
TJZLSIO,O,O
TJZLSOI,O,O
TJZLOIS,O,O
TJZLOSI,O,O
TJZSILO,O,O
TJZSIOL,O,O
TJZSLIO,O,O
TJZSLOI,O,O
TJZSOIL,O,O
TJZSOLI,O,O
TJZOILS,O,O
TJZOISL,O,O
TJZOLIS,O,O
TJZOLSI,O,O
TJZOSIL,O,O
TJZOSLI,O,O
TJOILSZ,O,X
TJOILZS,O,O
TJOISLZ,O,X
TJOISZL,O,X
TJOIZLS,O,O
TJOIZSL,O,O
TJOLISZ,O,X
TJOLIZS,O,O
TJOLSIZ,O,X
TJOLSZI,O,X
TJOLZIS,O,O
TJOLZSI,O,O
TJOSILZ,O,X
TJOSIZL,O,X
TJOSLIZ,O,X
TJOSLZI,O,X
TJOSZIL,O,X
TJOSZLI,O,X
TJOZILS,O,O
TJOZISL,O,O
TJOZLIS,O,O
TJOZLSI,O,O
TJOZSIL,O,O
TJOZSLI,O,O
TSILJZO,O,X
TSILJOZ,O,X
TSILZJO,X,O
TSILZOJ,X,O
TSILOJZ,O,X
TSILOZJ,X,O
TSIJLZO,O,X
TSIJLOZ,O,X
TSIJZLO,O,X
TSIJZOL,O,X
TSIJOLZ,O,X
TSIJOZL,O,X
TSIZLJO,X,O
TSIZLOJ,X,O
TSIZJLO,X,O
TSIZJOL,X,O
TSIZOLJ,X,O
TSIZOJL,X,O
TSIOLJZ,O,X
TSIOLZJ,X,O
TSIOJLZ,O,X
TSIOJZL,O,X
TSIOZLJ,X,O
TSIOZJL,X,O
TSLIJZO,O,X
TSLIJOZ,O,X
TSLIZJO,X,O
TSLIZOJ,X,O
TSLIOJZ,O,X
TSLIOZJ,X,O
TSLJIZO,O,X
TSLJIOZ,O,X
TSLJZIO,O,X
TSLJZOI,O,X
TSLJOIZ,O,X
TSLJOZI,O,X
TSLZIJO,X,O
TSLZIOJ,X,O
TSLZJIO,X,O
TSLZJOI,X,O
TSLZOIJ,X,O
TSLZOJI,X,O
TSLOIJZ,O,X
TSLOIZJ,X,O
TSLOJIZ,O,X
TSLOJZI,O,X
TSLOZIJ,X,O
TSLOZJI,X,O
TSJILZO,O,X
TSJILOZ,O,X
TSJIZLO,O,X
TSJIZOL,O,X
TSJIOLZ,O,X
TSJIOZL,O,X
TSJLIZO,O,X
TSJLIOZ,O,X
TSJLZIO,O,X
TSJLZOI,O,X
TSJLOIZ,O,X
TSJLOZI,O,X
TSJZILO,O,X
TSJZIOL,O,X
TSJZLIO,O,X
TSJZLOI,O,X
TSJZOIL,O,X
TSJZOLI,O,X
TSJOILZ,O,X
TSJOIZL,O,X
TSJOLIZ,O,X
TSJOLZI,O,X
TSJOZIL,O,X
TSJOZLI,O,X
TSZILJO,X,O
TSZILOJ,X,O
TSZIJLO,X,O
TSZIJOL,X,O
TSZIOLJ,X,O
TSZIOJL,X,O
TSZLIJO,X,O
TSZLIOJ,X,O
TSZLJIO,X,O
TSZLJOI,X,O
TSZLOIJ,X,O
TSZLOJI,X,O
TSZJILO,X,O
TSZJIOL,X,O
TSZJLIO,X,O
TSZJLOI,X,O
TSZJOIL,X,O
TSZJOLI,X,O
TSZOILJ,X,O
TSZOIJL,X,O
TSZOLIJ,X,O
TSZOLJI,X,O
TSZOJIL,X,O
TSZOJLI,X,O
TSOILJZ,O,X
TSOILZJ,X,O
TSOIJLZ,O,X
TSOIJZL,O,X
TSOIZLJ,X,O
TSOIZJL,X,O
TSOLIJZ,O,X
TSOLIZJ,X,O
TSOLJIZ,O,X
TSOLJZI,O,X
TSOLZIJ,X,O
TSOLZJI,X,O
TSOJILZ,O,X
TSOJIZL,O,X
TSOJLIZ,O,X
TSOJLZI,O,X
TSOJZIL,O,X
TSOJZLI,O,X
TSOZILJ,X,O
TSOZIJL,X,O
TSOZLIJ,X,O
TSOZLJI,X,O
TSOZJIL,X,O
TSOZJLI,X,O
TZILJSO,O,O
TZILJOS,O,O
TZILSJO,X,O
TZILSOJ,X,O
TZILOJS,O,O
TZILOSJ,X,O
TZIJLSO,O,O
TZIJLOS,O,O
TZIJSLO,O,O
TZIJSOL,O,O
TZIJOLS,O,O
TZIJOSL,O,O
TZISLJO,X,O
TZISLOJ,X,O
TZISJLO,X,O
TZISJOL,X,O
TZISOLJ,X,O
TZISOJL,X,O
TZIOLJS,O,O
TZIOLSJ,X,O
TZIOJLS,O,O
TZIOJSL,O,O
TZIOSLJ,X,O
TZIOSJL,X,O
TZLIJSO,O,O
TZLIJOS,O,O
TZLISJO,X,O
TZLISOJ,X,O
TZLIOJS,O,O
TZLIOSJ,X,O
TZLJISO,O,O
TZLJIOS,O,O
TZLJSIO,O,O
TZLJSOI,O,O
TZLJOIS,O,O
TZLJOSI,O,O
TZLSIJO,X,O
TZLSIOJ,X,O
TZLSJIO,X,O
TZLSJOI,X,O
TZLSOIJ,X,O
TZLSOJI,X,O
TZLOIJS,O,O
TZLOISJ,X,O
TZLOJIS,O,O
TZLOJSI,O,O
TZLOSIJ,X,O
TZLOSJI,X,O
TZJILSO,O,O
TZJILOS,O,O
TZJISLO,O,O
TZJISOL,O,O
TZJIOLS,O,O
TZJIOSL,O,O
TZJLISO,O,O
TZJLIOS,O,O
TZJLSIO,O,O
TZJLSOI,O,O
TZJLOIS,O,O
TZJLOSI,O,O
TZJSILO,O,O
TZJSIOL,O,O
TZJSLIO,O,O
TZJSLOI,O,O
TZJSOIL,O,O
TZJSOLI,O,O
TZJOILS,O,O
TZJOISL,O,O
TZJOLIS,O,O
TZJOLSI,O,O
TZJOSIL,O,O
TZJOSLI,O,O
TZSILJO,X,O
TZSILOJ,X,O
TZSIJLO,X,O
TZSIJOL,X,O
TZSIOLJ,X,O
TZSIOJL,X,O
TZSLIJO,X,O
TZSLIOJ,X,O
TZSLJIO,X,O
TZSLJOI,X,O
TZSLOIJ,X,O
TZSLOJI,X,O
TZSJILO,X,O
TZSJIOL,X,O
TZSJLIO,X,O
TZSJLOI,X,O
TZSJOIL,X,O
TZSJOLI,X,O
TZSOILJ,X,O
TZSOIJL,X,O
TZSOLIJ,X,O
TZSOLJI,X,O
TZSOJIL,X,O
TZSOJLI,X,O
TZOILJS,O,O
TZOILSJ,X,O
TZOIJLS,O,O
TZOIJSL,O,O
TZOISLJ,X,O
TZOISJL,X,O
TZOLIJS,O,O
TZOLISJ,X,O
TZOLJIS,O,O
TZOLJSI,O,O
TZOLSIJ,X,O
TZOLSJI,X,O
TZOJILS,O,O
TZOJISL,O,O
TZOJLIS,O,O
TZOJLSI,O,O
TZOJSIL,O,O
TZOJSLI,O,O
TZOSILJ,X,O
TZOSIJL,X,O
TZOSLIJ,X,O
TZOSLJI,X,O
TZOSJIL,X,O
TZOSJLI,X,O
TOILJSZ,O,X
TOILJZS,O,O
TOILSJZ,O,X
TOILSZJ,X,O
TOILZJS,O,O
TOILZSJ,X,O
TOIJLSZ,O,X
TOIJLZS,O,O
TOIJSLZ,O,X
TOIJSZL,O,X
TOIJZLS,O,O
TOIJZSL,O,O
TOISLJZ,O,X
TOISLZJ,X,O
TOISJLZ,O,X
TOISJZL,O,X
TOISZLJ,X,O
TOISZJL,X,O
TOIZLJS,O,O
TOIZLSJ,X,O
TOIZJLS,O,O
TOIZJSL,O,O
TOIZSLJ,X,O
TOIZSJL,X,O
TOLIJSZ,O,X
TOLIJZS,O,O
TOLISJZ,O,X
TOLISZJ,X,O
TOLIZJS,O,O
TOLIZSJ,X,O
TOLJISZ,O,X
TOLJIZS,O,O
TOLJSIZ,O,X
TOLJSZI,O,X
TOLJZIS,O,O
TOLJZSI,O,O
TOLSIJZ,O,X
TOLSIZJ,X,O
TOLSJIZ,O,X
TOLSJZI,O,X
TOLSZIJ,X,O
TOLSZJI,X,O
TOLZIJS,O,O
TOLZISJ,X,O
TOLZJIS,O,O
TOLZJSI,O,O
TOLZSIJ,X,O
TOLZSJI,X,O
TOJILSZ,O,X
TOJILZS,O,O
TOJISLZ,O,X
TOJISZL,O,X
TOJIZLS,O,O
TOJIZSL,O,O
TOJLISZ,O,X
TOJLIZS,O,O
TOJLSIZ,O,X
TOJLSZI,O,X
TOJLZIS,O,O
TOJLZSI,O,O
TOJSILZ,O,X
TOJSIZL,O,X
TOJSLIZ,O,X
TOJSLZI,O,X
TOJSZIL,O,X
TOJSZLI,O,X
TOJZILS,O,O
TOJZISL,O,O
TOJZLIS,O,O
TOJZLSI,O,O
TOJZSIL,O,O
TOJZSLI,O,O
TOSILJZ,O,X
TOSILZJ,X,O
TOSIJLZ,O,X
TOSIJZL,O,X
TOSIZLJ,X,O
TOSIZJL,X,O
TOSLIJZ,O,X
TOSLIZJ,X,O
TOSLJIZ,O,X
TOSLJZI,O,X
TOSLZIJ,X,O
TOSLZJI,X,O
TOSJILZ,O,X
TOSJIZL,O,X
TOSJLIZ,O,X
TOSJLZI,O,X
TOSJZIL,O,X
TOSJZLI,O,X
TOSZILJ,X,O
TOSZIJL,X,O
TOSZLIJ,X,O
TOSZLJI,X,O
TOSZJIL,X,O
TOSZJLI,X,O
TOZILJS,O,O
TOZILSJ,X,O
TOZIJLS,O,O
TOZIJSL,O,O
TOZISLJ,X,O
TOZISJL,X,O
TOZLIJS,O,O
TOZLISJ,X,O
TOZLJIS,O,O
TOZLJSI,O,O
TOZLSIJ,X,O
TOZLSJI,X,O
TOZJILS,O,O
