sequence,v115@FhA8IeA8FeD8AeC8CeC8Kei/IvhF3gBcmBTiB5oB1p?BWwB,v115@FhA8IeA8FeD8AeC8CeC8Kei/IvhFTiB5oB3kBFmB0q?BGrB,v115@FhA8IeA8FeD8AeC8CeC8Kei/IvhFGhBTiB5oB3kBlq?BUrB,v115@FhA8IeA8FeD8AeC8CeC8KeT/IvhFlgBGiB5oBypB8q?B3rB,v115@FhA8IeA8FeD8AeC8CeC8KeKEJvhFflBlgBcmBTiB5o?BWwB
TILJSZO,O,X,O,X,X
TILJSOZ,O,X,O,O,X
TILJZSO,O,X,X,O,X
TILJZOS,O,X,X,O,X
TILJOSZ,O,X,O,O,X
TILJOZS,O,X,X,O,X
TILSJZO,O,X,O,X,O
TILSJOZ,O,O,O,O,O
TILSZJO,O,X,O,X,O
TILSZOJ,O,O,O,X,O
TILSOJZ,O,O,O,O,O
TILSOZJ,O,O,O,X,O
TILZJSO,O,X,X,O,X
TILZJOS,O,X,X,O,X
TILZSJO,O,X,X,O,O
TILZSOJ,O,X,X,O,O
TILZOJS,O,X,X,O,X
TILZOSJ,O,X,X,O,O
TILOJSZ,O,X,O,O,X
TILOJZS,O,X,X,O,X
TILOSJZ,O,O,O,O,O
TILOSZJ,O,O,O,X,O
TILOZJS,O,X,X,O,X
TILOZSJ,O,X,X,O,O
TIJLSZO,O,X,O,X,X
TIJLSOZ,O,X,O,O,X
TIJLZSO,O,X,X,O,X
TIJLZOS,O,X,X,O,X
TIJLOSZ,O,X,O,O,X
TIJLOZS,O,X,X,O,X
TIJSLZO,O,X,O,X,X
TIJSLOZ,O,O,O,X,X
TIJSZLO,O,X,O,X,X
TIJSZOL,O,X,O,X,X
TIJSOLZ,O,O,O,X,X
TIJSOZL,O,X,O,X,X
TIJZLSO,O,X,X,O,X
TIJZLOS,O,X,X,O,X
TIJZSLO,O,X,O,O,X
TIJZSOL,O,X,O,X,X
TIJZOLS,O,X,X,O,X
TIJZOSL,O,X,O,X,X
TIJOLSZ,O,X,O,X,X
TIJOLZS,O,X,X,X,X
TIJOSLZ,O,O,O,X,X
TIJOSZL,O,X,O,X,X
TIJOZLS,O,X,X,X,X
TIJOZSL,O,X,O,X,X
TISLJZO,O,X,O,X,X
TISLJOZ,O,O,O,X,X
TISLZJO,O,O,O,X,X
TISLZOJ,O,O,O,X,X
TISLOJZ,O,O,O,X,X
TISLOZJ,O,O,O,X,X
TISJLZO,O,X,O,X,X
TISJLOZ,O,O,O,X,X
TISJZLO,O,X,O,X,X
TISJZOL,O,X,O,X,X
TISJOLZ,O,O,O,X,X
TISJOZL,O,X,O,X,X
TISZLJO,O,O,O,X,X
TISZLOJ,O,O,O,X,X
