sequence,v115@QhA8DeA8AeD8DeF8Jem/IvhF5lB/mBUiBFjBTkByuB,v115@QhA8DeA8AeD8DeF8JeZEJvhFCgB/mBUiBFjBTlBWvB,v115@QhA8DeA8AeD8DeF8JeZEJvhFzfBUiBFjBGmBCqB3qB,v115@QhA8DeA8AeD8DeF8Je2EJvhF5lB/mBUiBFjBaqBTpB
TOZJILS,X,X,O,X
TOZJISL,X,X,X,O
TOZJLIS,X,X,O,X
TOZJLSI,X,X,O,X
TOZJSIL,X,X,X,O
TOZJSLI,X,X,X,O
TOZSILJ,X,X,X,O
TOZSIJL,X,X,X,O
TOZSLIJ,X,X,X,O
TOZSLJI,X,X,X,O
TOZSJIL,X,X,X,O
TOZSJLI,X,X,X,O
ITLJSZO,O,O,O,X
ITLJSOZ,O,O,O,X
ITLJZSO,O,O,O,X
ITLJZOS,X,X,O,X
ITLJOSZ,O,O,O,X
ITLJOZS,O,O,O,X
ITLSJZO,O,O,O,X
ITLSJOZ,O,O,O,X
ITLSZJO,O,O,O,X
ITLSZOJ,O,X,O,O
ITLSOJZ,O,X,O,O
ITLSOZJ,O,X,O,O
ITLZJSO,O,X,O,X
ITLZJOS,X,X,O,X
ITLZSJO,O,X,O,X
ITLZSOJ,O,X,O,X
ITLZOJS,O,X,O,X
ITLZOSJ,O,X,O,X
ITLOJSZ,O,X,O,O
ITLOJZS,O,X,O,X
ITLOSJZ,O,X,O,O
ITLOSZJ,O,X,O,O
ITLOZJS,O,X,O,X
ITLOZSJ,O,X,O,X
ITJLSZO,O,O,O,X
ITJLSOZ,O,O,O,X
ITJLZSO,O,O,O,X
ITJLZOS,X,X,O,X
ITJLOSZ,O,O,O,X
ITJLOZS,O,O,O,X
ITJSLZO,O,O,O,X
ITJSLOZ,O,O,O,X
ITJSZLO,O,O,O,X
ITJSZOL,X,O,X,O
ITJSOLZ,X,O,X,O
ITJSOZL,X,O,X,O
ITJZLSO,X,O,O,X
ITJZLOS,X,X,O,X
ITJZSLO,X,O,O,X
ITJZSOL,X,O,X,X
ITJZOLS,X,O,O,X
ITJZOSL,X,O,X,X
ITJOLSZ,X,O,O,O
ITJOLZS,X,O,O,X
ITJOSLZ,X,O,X,O
ITJOSZL,X,O,X,O
ITJOZLS,X,O,O,X
ITJOZSL,X,O,X,O
ITSLJZO,O,O,O,X
ITSLJOZ,O,O,O,X
ITSLZJO,O,O,O,X
ITSLZOJ,O,X,O,O
ITSLOJZ,O,X,O,O
ITSLOZJ,O,X,O,O
ITSJLZO,O,O,O,X
ITSJLOZ,O,O,O,X
ITSJZLO,O,O,O,X
ITSJZOL,X,O,X,O
ITSJOLZ,X,O,X,O
ITSJOZL,X,O,X,O
ITSZLJO,O,O,O,X
ITSZLOJ,O,X,O,O
ITSZJLO,O,O,O,X
ITSZJOL,X,O,X,O
ITSZOLJ,O,X,X,O
ITSZOJL,X,O,X,O
ITSOLJZ,O,X,X,O
ITSOLZJ,O,X,X,O
ITSOJLZ,X,O,X,O
ITSOJZL,X,O,X,O
ITSOZLJ,O,X,X,O
ITSOZJL,X,O,X,O
ITZLJSO,O,X,O,X
ITZLJOS,X,X,O,X
ITZLSJO,O,X,O,X
ITZLSOJ,O,X,O,X
ITZLOJS,O,X,O,X
ITZLOSJ,O,X,O,X
ITZJLSO,X,O,O,X
ITZJLOS,X,X,O,X
ITZJSLO,X,O,O,X
ITZJSOL,X,O,X,X
ITZJOLS,X,O,O,X
ITZJOSL,X,O,X,X
ITZSLJO,O,O,O,X
