sequence,v115@9gA8IeA8GeA8AeB8FeE8EeB8Jez/IvhFRhBGjBfsB6?sBlqBUrB,v115@9gA8IeA8GeA8AeB8FeE8EeB8Jez/IvhFChB/nBGjB0?mBlqBxwB,v115@9gA8IeA8GeA8AeB8FeE8EeB8Jez/IvhFRhBGjBFmBX?nB0qBSxB,v115@9gA8IeA8GeA8AeB8FeE8EeB8JeRAJvhFUiBGjBFlBX?mBSwBTsB,v115@9gA8IeA8GeA8AeB8FeE8EeB8JeCAJvhFlhBGjB/qBU?mBTnBxwB,v115@9gA8IeA8GeA8AeB8FeE8EeB8JefFJvhFlgBzhBGjB8?qBSsBxwB,v115@9gA8IeA8GeA8AeB8FeE8EeB8JeCAJvhF/nBGjBxlBl?qBUsBTrB
TILJSZO,O,O,X,O,O,O,X
TILJSOZ,O,O,X,O,O,O,X
TILJZSO,X,O,X,X,X,O,O
TILJZOS,O,O,X,X,X,O,X
TILJOSZ,O,O,X,O,O,O,X
TILJOZS,O,O,X,O,O,O,X
TILSJZO,O,O,X,O,O,O,X
TILSJOZ,O,O,X,O,O,O,X
TILSZJO,O,O,X,O,O,O,O
TILSZOJ,O,O,X,O,O,O,O
TILSOJZ,O,O,X,O,O,O,X
TILSOZJ,O,O,X,O,O,O,X
TILZJSO,X,O,X,X,X,O,O
TILZJOS,O,O,X,X,X,O,X
TILZSJO,X,O,X,X,X,O,O
TILZSOJ,X,O,X,X,X,O,O
TILZOJS,O,O,X,O,X,O,X
TILZOSJ,X,O,X,O,X,O,O
TILOJSZ,O,O,X,O,O,O,X
TILOJZS,O,O,X,O,O,O,X
TILOSJZ,O,O,X,O,O,O,X
TILOSZJ,O,O,X,O,O,O,X
TILOZJS,O,O,X,O,O,O,X
TILOZSJ,X,O,X,O,X,O,O
TIJLSZO,O,O,X,O,O,O,X
TIJLSOZ,O,O,X,O,O,O,X
TIJLZSO,X,O,X,X,X,O,O
TIJLZOS,O,O,X,X,X,O,X
TIJLOSZ,O,O,X,O,O,O,X
TIJLOZS,O,O,X,O,O,O,X
TIJSLZO,X,O,X,X,O,O,X
TIJSLOZ,O,O,X,X,O,O,X
