sequence,v115@9gB8HeC8GeA8IeE8CeA8KelAJvhFUiBGjB6rB/tBRq?BTsB,v115@9gB8HeC8GeA8IeE8CeA8Ke0AJvhFlhBGjB6sB/tBRq?BzrB,v115@9gB8HeC8GeA8IeE8CeA8Ke8FJvhFzhBaoB5oB+sBXl?BlrB,v115@9gB8HeC8GeA8IeE8CeA8Ke0AJvhFVnBGjB/tB6rBRq?BTsB,v115@9gB8HeC8GeA8IeE8CeA8Ke0BJvhFliB5oBzlBysBXl?BWxB
TOLZJSI,O,O,O,X,X
TOLZSIJ,O,O,X,X,O
TOLZSJI,O,O,X,O,X
TOJILSZ,X,X,O,X,O
TOJILZS,X,X,O,X,O
TOJISLZ,O,X,O,X,X
TOJISZL,O,X,O,X,X
TOJIZLS,X,X,O,X,O
TOJIZSL,O,X,O,X,X
TOJLISZ,X,X,O,X,O
TOJLIZS,X,X,O,X,O
TOJLSIZ,X,X,O,X,O
TOJLSZI,X,X,O,X,O
TOJLZIS,X,X,O,X,O
TOJLZSI,X,X,O,X,O
TOJSILZ,O,X,O,X,X
TOJSIZL,O,O,O,O,X
TOJSLIZ,O,X,O,X,X
TOJSLZI,O,O,O,O,X
TOJSZIL,O,O,O,O,X
TOJSZLI,O,O,O,O,X
TOJZILS,X,X,O,X,O
TOJZISL,X,X,O,X,X
TOJZLIS,X,X,O,X,O
TOJZLSI,X,X,O,X,O
TOJZSIL,O,O,O,O,X
TOJZSLI,O,O,O,O,X
TOSILJZ,O,X,X,O,X
TOSILZJ,O,X,X,O,X
TOSIJLZ,O,X,O,O,X
TOSIJZL,O,O,O,O,X
TOSIZLJ,O,X,X,O,X
TOSIZJL,O,O,O,O,X
TOSLIJZ,O,O,X,X,X
TOSLIZJ,O,O,X,X,X
TOSLJIZ,O,O,X,X,X
TOSLJZI,O,O,X,O,X
TOSLZIJ,O,O,X,X,X
TOSLZJI,O,O,X,O,X
TOSJILZ,O,X,O,O,X
TOSJIZL,O,O,O,O,X
TOSJLIZ,O,X,O,X,X
TOSJLZI,O,O,O,O,X
TOSJZIL,O,O,O,O,X
TOSJZLI,O,O,O,O,X
TOSZILJ,O,X,X,O,X
TOSZIJL,O,O,O,O,X
TOSZLIJ,O,O,X,X,X
TOSZLJI,O,O,X,O,X
TOSZJIL,O,O,O,O,X
TOSZJLI,O,O,O,O,X
TOZILJS,X,X,O,X,O
TOZILSJ,O,X,X,O,O
TOZIJLS,X,X,O,X,O
TOZIJSL,O,X,O,O,X
TOZISLJ,O,X,X,O,X
TOZISJL,O,O,O,O,X
TOZLIJS,X,X,O,X,O
TOZLISJ,O,O,X,X,O
TOZLJIS,X,X,O,X,O
TOZLJSI,O,O,O,X,X
TOZLSIJ,O,O,X,X,O
TOZLSJI,O,O,X,O,X
TOZJILS,X,X,O,X,O
TOZJISL,X,X,O,X,X
TOZJLIS,X,X,O,X,O
TOZJLSI,X,X,O,X,O
TOZJSIL,O,O,O,O,X
TOZJSLI,O,O,O,O,X
TOZSILJ,O,X,X,O,X
TOZSIJL,O,O,O,O,X
TOZSLIJ,O,O,X,X,X
TOZSLJI,O,O,X,O,X
TOZSJIL,O,O,O,O,X
TOZSJLI,O,O,O,O,X
ITLJSZO,O,O,O,X,X
ITLJSOZ,O,O,O,X,O
ITLJZSO,O,O,O,X,X
ITLJZOS,X,X,O,X,O
ITLJOSZ,O,X,O,X,O
ITLJOZS,O,X,O,X,O
ITLSJZO,O,O,X,X,X
ITLSJOZ,O,O,X,X,X
ITLSZJO,O,O,X,X,X
ITLSZOJ,O,O,X,X,X
ITLSOJZ,O,O,X,X,X
ITLSOZJ,O,O,X,X,O
ITLZJSO,O,O,O,X,X
ITLZJOS,X,X,O,X,X
ITLZSJO,O,O,X,X,X
ITLZSOJ,O,O,X,X,X
ITLZOJS,O,X,O,X,O
ITLZOSJ,O,O,X,X,O
ITLOJSZ,O,X,O,X,O
ITLOJZS,O,X,O,X,O
ITLOSJZ,O,O,X,X,X
ITLOSZJ,O,O,X,X,O
ITLOZJS,O,X,O,X,O
ITLOZSJ,O,O,X,X,O
ITJLSZO,O,X,O,X,X
ITJLSOZ,O,X,O,X,O
ITJLZSO,O,X,O,X,X
ITJLZOS,X,X,O,X,O
ITJLOSZ,O,X,O,X,O
ITJLOZS,O,X,O,X,O
ITJSLZO,O,X,O,X,X
ITJSLOZ,O,X,O,X,X
ITJSZLO,O,X,O,X,X
ITJSZOL,O,X,O,X,X
ITJSOLZ,O,X,O,X,X
ITJSOZL,O,X,O,X,X
ITJZLSO,X,X,O,X,X
ITJZLOS,X,X,O,X,X
ITJZSLO,X,X,O,X,X
ITJZSOL,X,X,O,X,X
ITJZOLS,X,X,O,X,X
ITJZOSL,X,X,O,X,X
ITJOLSZ,X,X,O,X,O
ITJOLZS,X,X,O,X,O
ITJOSLZ,O,X,O,X,X
ITJOSZL,O,X,O,X,X
ITJOZLS,X,X,O,X,O
ITJOZSL,O,X,O,X,X
ITSLJZO,O,O,X,X,X
ITSLJOZ,O,O,X,X,X
ITSLZJO,O,O,X,X,X
ITSLZOJ,O,O,X,X,X
ITSLOJZ,O,O,X,X,X
ITSLOZJ,O,O,X,X,X
ITSJLZO,O,O,O,X,X
ITSJLOZ,O,O,O,X,X
ITSJZLO,O,O,O,X,X
ITSJZOL,O,O,O,O,X
ITSJOLZ,O,O,O,O,X
ITSJOZL,O,O,O,O,X
ITSZLJO,O,O,X,X,X
ITSZLOJ,O,O,X,X,X
ITSZJLO,O,O,O,X,X
ITSZJOL,O,O,O,O,X
ITSZOLJ,O,O,X,O,X
ITSZOJL,O,O,O,O,X
ITSOLJZ,O,O,X,O,X
ITSOLZJ,O,O,X,O,X
ITSOJLZ,O,O,O,O,X
ITSOJZL,O,O,O,O,X
ITSOZLJ,O,O,X,O,X
ITSOZJL,O,O,O,O,X
ITZLJSO,O,O,O,X,X
ITZLJOS,X,X,O,X,X
ITZLSJO,O,O,X,X,X
ITZLSOJ,O,O,X,X,X
ITZLOJS,O,X,O,X,X
ITZLOSJ,O,O,X,X,X
ITZJLSO,X,O,O,X,X
ITZJLOS,X,X,O,X,X
ITZJSLO,X,O,O,X,X
ITZJSOL,X,O,O,X,X
ITZJOLS,X,X,O,X,X
ITZJOSL,X,O,O,X,X
ITZSLJO,O,O,X,X,X
ITZSLOJ,O,O,X,X,X
ITZSJLO,O,O,O,X,X
ITZSJOL,O,O,O,O,X
ITZSOLJ,O,O,X,O,X
ITZSOJL,O,O,O,O,X
ITZOLJS,X,O,O,X,X
ITZOLSJ,O,O,X,O,X
ITZOJLS,X,X,O,X,X
ITZOJSL,O,O,O,O,X
ITZOSLJ,O,O,X,O,X
ITZOSJL,O,O,O,O,X
ITOLJSZ,O,O,O,X,O
ITOLJZS,O,O,O,X,O
ITOLSJZ,O,O,X,O,X
ITOLSZJ,O,O,X,O,O
ITOLZJS,O,O,O,X,O
ITOLZSJ,O,O,X,O,O
ITOJLSZ,X,X,O,X,O
ITOJLZS,X,X,O,X,O
ITOJSLZ,O,O,O,O,X
ITOJSZL,O,O,O,O,X
ITOJZLS,X,X,O,X,O
ITOJZSL,O,O,O,O,X
ITOSLJZ,O,O,X,O,X
ITOSLZJ,O,O,X,O,X
ITOSJLZ,O,O,O,O,X
ITOSJZL,O,O,O,O,X
ITOSZLJ,O,O,X,O,X
ITOSZJL,O,O,O,O,X
ITOZLJS,X,O,O,X,O
ITOZLSJ,O,O,X,O,O
ITOZJLS,X,X,O,X,O
ITOZJSL,O,O,O,O,X
ITOZSLJ,O,O,X,O,X
ITOZSJL,O,O,O,O,X
ILTJSZO,O,O,O,X,X
ILTJSOZ,O,O,O,X,O
ILTJZSO,O,O,O,X,X
ILTJZOS,X,X,O,X,O
ILTJOSZ,O,X,O,X,O
ILTJOZS,O,X,O,X,O
ILTSJZO,O,O,X,X,X
ILTSJOZ,O,O,X,X,X
ILTSZJO,O,O,X,X,X
ILTSZOJ,O,O,X,X,X
ILTSOJZ,O,O,X,X,X
ILTSOZJ,O,O,X,X,O
ILTZJSO,O,O,O,X,X
ILTZJOS,X,X,O,X,X
ILTZSJO,O,O,X,X,X
ILTZSOJ,O,O,X,X,X
ILTZOJS,O,X,O,X,O
ILTZOSJ,O,O,X,X,O
ILTOJSZ,O,X,O,X,O
ILTOJZS,O,X,O,X,O
ILTOSJZ,O,O,X,X,X
ILTOSZJ,O,O,X,X,O
ILTOZJS,O,X,O,X,O
ILTOZSJ,O,O,X,X,O
ILJTSZO,O,O,O,X,X
ILJTSOZ,O,O,O,X,O
ILJTZSO,O,O,O,X,X
ILJTZOS,X,X,O,X,O
ILJTOSZ,O,X,O,X,O
ILJTOZS,O,X,O,X,O
ILJSTZO,O,O,O,X,X
ILJSTOZ,O,O,O,X,O
ILJSZTO,O,O,O,X,X
ILJSZOT,O,O,X,X,X
ILJSOTZ,O,O,X,X,O
ILJSOZT,O,O,X,X,O
ILJZTSO,O,O,O,X,X
ILJZTOS,X,X,O,X,O
ILJZSTO,O,O,O,X,X
ILJZSOT,O,O,X,X,X
ILJZOTS,X,X,O,X,O
ILJZOST,X,X,X,X,O
ILJOTSZ,O,X,O,X,O
ILJOTZS,O,X,O,X,O
ILJOSTZ,O,X,X,X,O
ILJOSZT,O,X,X,X,O
ILJOZTS,O,X,O,X,O
ILJOZST,O,X,X,X,O
ILSTJZO,O,O,X,X,X
ILSTJOZ,O,O,X,X,X
ILSTZJO,O,O,X,X,X
ILSTZOJ,O,O,X,X,X
ILSTOJZ,O,O,X,X,X
ILSTOZJ,O,O,X,X,O
ILSJTZO,O,O,O,X,X
ILSJTOZ,O,O,O,X,O
ILSJZTO,O,O,O,X,X
ILSJZOT,O,O,X,O,X
ILSJOTZ,O,O,X,O,O
ILSJOZT,O,O,X,O,O
ILSZTJO,O,O,X,X,X
ILSZTOJ,O,O,X,X,X
ILSZJTO,O,O,O,X,X
ILSZJOT,O,O,X,O,X
ILSZOTJ,O,O,X,O,X
ILSZOJT,O,O,X,O,X
ILSOTJZ,O,O,X,O,X
ILSOTZJ,O,O,X,O,O
ILSOJTZ,O,O,X,O,O
ILSOJZT,O,O,X,O,O
ILSOZTJ,O,O,X,O,O
ILSOZJT,O,O,X,O,X
ILZTJSO,O,O,O,X,X
ILZTJOS,X,X,O,X,X
ILZTSJO,O,O,X,X,X
ILZTSOJ,O,O,X,X,X
ILZTOJS,O,X,O,X,O
ILZTOSJ,O,O,X,X,O
ILZJTSO,O,O,O,X,X
ILZJTOS,X,X,O,X,O
ILZJSTO,O,O,O,X,X
ILZJSOT,O,O,X,X,X
ILZJOTS,X,X,O,X,O
ILZJOST,X,X,X,X,O
ILZSTJO,O,O,X,X,X
ILZSTOJ,O,O,X,X,X
ILZSJTO,O,O,O,X,X
ILZSJOT,O,O,X,O,X
ILZSOTJ,O,O,X,O,X
ILZSOJT,O,O,X,O,X
ILZOTJS,O,O,X,X,O
ILZOTSJ,O,O,X,O,O
ILZOJTS,O,O,O,X,O
ILZOJST,O,O,X,X,O
ILZOSTJ,O,O,X,O,O
ILZOSJT,O,O,X,O,X
ILOTJSZ,O,O,X,X,O
ILOTJZS,O,O,X,X,O
ILOTSJZ,O,O,X,O,X
ILOTSZJ,O,O,X,O,O
ILOTZJS,O,O,X,X,O
ILOTZSJ,O,O,X,O,O
ILOJTSZ,O,O,O,X,O
ILOJTZS,O,O,O,X,O
ILOJSTZ,O,O,X,X,O
ILOJSZT,O,O,X,X,O
ILOJZTS,O,O,O,X,O
ILOJZST,O,O,X,X,O
ILOSTJZ,O,O,X,O,X
ILOSTZJ,O,O,X,O,O
ILOSJTZ,O,O,X,O,O
ILOSJZT,O,O,X,O,O
ILOSZTJ,O,O,X,O,O
ILOSZJT,O,O,X,O,X
ILOZTJS,O,O,X,X,O
ILOZTSJ,O,O,X,O,O
ILOZJTS,O,O,O,X,O
ILOZJST,O,O,X,X,O
ILOZSTJ,O,O,X,O,O
ILOZSJT,O,O,X,O,X
IJTLSZO,O,X,O,X,X
IJTLSOZ,O,X,O,X,O
IJTLZSO,O,X,O,X,X
IJTLZOS,X,X,O,X,O
IJTLOSZ,O,X,O,X,O
IJTLOZS,O,X,O,X,O
IJTSLZO,O,X,O,X,X
IJTSLOZ,O,X,O,X,X
IJTSZLO,O,X,O,X,X
IJTSZOL,O,X,O,X,X
IJTSOLZ,O,X,O,X,X
IJTSOZL,O,X,O,X,X
IJTZLSO,X,X,O,X,X
IJTZLOS,X,X,O,X,X
IJTZSLO,X,X,O,X,X
IJTZSOL,X,X,O,X,X
IJTZOLS,X,X,O,X,X
IJTZOSL,X,X,O,X,X
IJTOLSZ,X,X,O,X,O
IJTOLZS,X,X,O,X,O
IJTOSLZ,O,X,O,X,X
IJTOSZL,O,X,O,X,X
IJTOZLS,X,X,O,X,O
IJTOZSL,O,X,O,X,X
IJLTSZO,O,O,O,X,X
IJLTSOZ,O,O,O,X,O
IJLTZSO,O,O,O,X,X
IJLTZOS,X,X,O,X,O
IJLTOSZ,O,X,O,X,O
IJLTOZS,O,X,O,X,O
IJLSTZO,O,O,O,X,X
IJLSTOZ,O,O,O,X,O
IJLSZTO,O,O,O,X,X
IJLSZOT,O,O,X,X,X
IJLSOTZ,O,O,X,X,O
IJLSOZT,O,O,X,X,O
IJLZTSO,O,O,O,X,X
IJLZTOS,X,X,O,X,O
IJLZSTO,O,O,O,X,X
IJLZSOT,O,O,X,X,X
IJLZOTS,X,X,O,X,O
IJLZOST,X,X,X,X,O
IJLOTSZ,O,X,O,X,O
IJLOTZS,O,X,O,X,O
IJLOSTZ,O,X,X,X,O
IJLOSZT,O,X,X,X,O
IJLOZTS,O,X,O,X,O
IJLOZST,O,X,X,X,O
IJSTLZO,O,O,O,X,X
IJSTLOZ,O,O,O,X,X
IJSTZLO,O,O,O,X,X
IJSTZOL,O,O,O,O,X
IJSTOLZ,O,O,O,O,X
IJSTOZL,O,O,O,O,X
IJSLTZO,O,O,O,X,X
IJSLTOZ,O,O,O,X,O
IJSLZTO,O,O,O,X,X
IJSLZOT,O,O,X,O,X
IJSLOTZ,O,O,X,O,O
IJSLOZT,O,O,X,O,O
IJSZTLO,O,O,O,X,X
IJSZTOL,O,O,O,O,X
IJSZLTO,O,O,O,X,X
IJSZLOT,O,O,X,O,X
IJSZOTL,O,O,X,O,X
IJSZOLT,O,O,X,O,X
IJSOTLZ,O,O,X,O,X
IJSOTZL,O,O,X,O,X
IJSOLTZ,O,O,X,O,O
IJSOLZT,O,O,X,O,O
IJSOZTL,O,O,X,O,X
IJSOZLT,O,O,X,O,O
IJZTLSO,X,O,O,X,X
IJZTLOS,X,X,O,X,X
IJZTSLO,X,O,O,X,X
IJZTSOL,X,O,O,X,X
IJZTOLS,X,X,O,X,X
IJZTOSL,X,O,O,X,X
IJZLTSO,X,O,O,X,X
IJZLTOS,X,X,O,X,O
IJZLSTO,X,O,O,X,X
IJZLSOT,X,O,X,X,X
IJZLOTS,X,X,O,X,O
IJZLOST,X,X,X,X,O
IJZSTLO,X,O,O,X,X
IJZSTOL,X,O,O,O,X
IJZSLTO,X,O,O,X,X
IJZSLOT,X,O,X,O,X
IJZSOTL,X,O,X,O,X
IJZSOLT,X,O,X,O,X
IJZOTLS,X,X,O,X,O
IJZOTSL,X,O,O,O,X
IJZOLTS,X,O,O,X,O
IJZOLST,X,O,X,X,O
IJZOSTL,X,O,X,O,X
IJZOSLT,X,O,X,O,O
IJOTLSZ,X,X,O,X,O
IJOTLZS,X,X,O,X,O
IJOTSLZ,O,O,O,O,X
IJOTSZL,O,O,O,O,X
IJOTZLS,X,X,O,X,O
IJOTZSL,O,O,O,O,X
IJOLTSZ,O,O,O,X,O
IJOLTZS,O,O,O,X,O
IJOLSTZ,O,O,X,X,O
IJOLSZT,O,O,X,X,O
IJOLZTS,O,O,O,X,O
IJOLZST,O,O,X,X,O
IJOSTLZ,O,O,X,O,X
IJOSTZL,O,O,X,O,X
IJOSLTZ,O,O,X,O,O
IJOSLZT,O,O,X,O,O
IJOSZTL,O,O,X,O,X
IJOSZLT,O,O,X,O,O
IJOZTLS,X,X,O,X,O
IJOZTSL,O,O,O,O,X
IJOZLTS,X,O,O,X,O
IJOZLST,X,O,X,X,O
IJOZSTL,O,O,X,O,X
IJOZSLT,O,O,X,O,O
ISTLJZO,O,O,X,X,X
ISTLJOZ,O,O,X,X,X
ISTLZJO,O,O,X,X,X
ISTLZOJ,O,O,X,X,X
ISTLOJZ,O,O,X,X,X
ISTLOZJ,O,O,X,X,X
ISTJLZO,O,O,O,X,X
ISTJLOZ,O,O,O,X,X
ISTJZLO,O,O,O,X,X
ISTJZOL,O,O,O,O,X
ISTJOLZ,O,O,O,O,X
ISTJOZL,O,O,O,O,X
ISTZLJO,O,O,X,X,X
ISTZLOJ,O,O,X,X,X
ISTZJLO,O,O,O,X,X
ISTZJOL,O,O,O,O,X
ISTZOLJ,O,O,X,O,X
ISTZOJL,O,O,O,O,X
ISTOLJZ,O,O,X,O,X
ISTOLZJ,O,O,X,O,X
ISTOJLZ,O,O,O,O,X
ISTOJZL,O,O,O,O,X
ISTOZLJ,O,O,X,O,X
ISTOZJL,O,O,O,O,X
ISLTJZO,O,O,X,X,X
ISLTJOZ,O,O,X,X,X
ISLTZJO,O,O,X,X,X
ISLTZOJ,O,O,X,X,X
ISLTOJZ,O,O,X,X,X
ISLTOZJ,O,O,X,X,O
ISLJTZO,O,O,O,X,X
ISLJTOZ,O,O,O,X,O
ISLJZTO,O,O,O,X,X
ISLJZOT,O,O,X,O,X
ISLJOTZ,O,O,X,O,O
ISLJOZT,O,O,X,O,O
ISLZTJO,O,O,X,X,X
ISLZTOJ,O,O,X,X,X
ISLZJTO,O,O,O,X,X
ISLZJOT,O,O,X,O,X
ISLZOTJ,O,O,X,O,X
ISLZOJT,O,O,X,O,X
ISLOTJZ,O,O,X,O,X
ISLOTZJ,O,O,X,O,O
ISLOJTZ,O,O,X,O,O
ISLOJZT,O,O,X,O,O
ISLOZTJ,O,O,X,O,O
ISLOZJT,O,O,X,O,X
ISJTLZO,O,O,O,X,X
ISJTLOZ,O,O,O,X,X
ISJTZLO,O,O,O,X,X
ISJTZOL,O,O,O,O,X
ISJTOLZ,O,O,O,O,X
ISJTOZL,O,O,O,O,X
ISJLTZO,O,O,O,X,X
ISJLTOZ,O,O,O,X,O
ISJLZTO,O,O,O,X,X
ISJLZOT,O,O,X,O,X
ISJLOTZ,O,O,X,O,O
ISJLOZT,O,O,X,O,O
ISJZTLO,O,O,O,X,X
ISJZTOL,O,O,O,O,X
ISJZLTO,O,O,O,X,X
ISJZLOT,O,O,X,O,X
ISJZOTL,O,O,X,O,X
ISJZOLT,O,O,X,O,X
ISJOTLZ,O,O,X,O,X
ISJOTZL,O,O,X,O,X
ISJOLTZ,O,O,X,O,O
ISJOLZT,O,O,X,O,O
ISJOZTL,O,O,X,O,X
ISJOZLT,O,O,X,O,O
ISZTLJO,O,O,X,X,X
ISZTLOJ,O,O,X,X,X
ISZTJLO,O,O,O,X,X
ISZTJOL,O,O,O,O,X
ISZTOLJ,O,O,X,O,X
ISZTOJL,O,O,O,O,X
ISZLTJO,O,O,X,X,X
ISZLTOJ,O,O,X,X,X
ISZLJTO,O,O,O,X,X
ISZLJOT,O,O,X,O,X
ISZLOTJ,O,O,X,O,X
ISZLOJT,O,O,X,O,X
ISZJTLO,O,O,O,X,X
ISZJTOL,O,O,O,O,X
ISZJLTO,O,O,O,X,X
ISZJLOT,O,O,X,O,X
ISZJOTL,O,O,X,O,X
ISZJOLT,O,O,X,O,X
ISZOTLJ,O,O,X,O,X
ISZOTJL,O,O,X,O,X
ISZOLTJ,O,O,X,O,X
ISZOLJT,O,O,X,O,X
ISZOJTL,O,O,X,O,X
ISZOJLT,O,O,X,O,X
ISOTLJZ,O,O,X,O,X
ISOTLZJ,O,O,X,O,X
ISOTJLZ,O,O,X,O,X
ISOTJZL,O,O,X,O,X
ISOTZLJ,O,O,X,O,X
ISOTZJL,O,O,X,O,X
ISOLTJZ,O,O,X,O,X
ISOLTZJ,O,O,X,O,O
ISOLJTZ,O,O,X,O,O
ISOLJZT,O,O,X,O,O
ISOLZTJ,O,O,X,O,O
ISOLZJT,O,O,X,O,X
ISOJTLZ,O,O,X,O,X
ISOJTZL,O,O,X,O,X
ISOJLTZ,O,O,X,O,O
ISOJLZT,O,O,X,O,O
ISOJZTL,O,O,X,O,X
ISOJZLT,O,O,X,O,O
ISOZTLJ,O,O,X,O,X
ISOZTJL,O,O,X,O,X
ISOZLTJ,O,O,X,O,O
ISOZLJT,O,O,X,O,X
ISOZJTL,O,O,X,O,X
ISOZJLT,O,O,X,O,O
IZTLJSO,O,O,O,X,X
IZTLJOS,X,X,O,X,X
IZTLSJO,O,O,X,X,X
IZTLSOJ,O,O,X,X,X
IZTLOJS,O,X,O,X,X
IZTLOSJ,O,O,X,X,X
IZTJLSO,X,O,O,X,X
IZTJLOS,X,X,O,X,X
IZTJSLO,X,O,O,X,X
IZTJSOL,X,O,O,X,X
IZTJOLS,X,X,O,X,X
IZTJOSL,X,O,O,X,X
IZTSLJO,O,O,X,X,X
IZTSLOJ,O,O,X,X,X
IZTSJLO,O,O,O,X,X
IZTSJOL,O,O,O,O,X
IZTSOLJ,O,O,X,O,X
IZTSOJL,O,O,O,O,X
IZTOLJS,X,O,O,X,X
IZTOLSJ,O,O,X,O,X
IZTOJLS,X,X,O,X,X
IZTOJSL,O,O,O,O,X
IZTOSLJ,O,O,X,O,X
IZTOSJL,O,O,O,O,X
IZLTJSO,O,O,O,X,X
IZLTJOS,X,X,O,X,X
IZLTSJO,O,O,X,X,X
IZLTSOJ,O,O,X,X,X
IZLTOJS,O,X,O,X,O
IZLTOSJ,O,O,X,X,O
IZLJTSO,O,O,O,X,X
IZLJTOS,X,X,O,X,O
IZLJSTO,O,O,O,X,X
IZLJSOT,O,O,X,X,X
IZLJOTS,X,X,O,X,O
IZLJOST,X,X,X,X,O
IZLSTJO,O,O,X,X,X
IZLSTOJ,O,O,X,X,X
IZLSJTO,O,O,O,X,X
IZLSJOT,O,O,X,O,X
IZLSOTJ,O,O,X,O,X
IZLSOJT,O,O,X,O,X
IZLOTJS,O,O,X,X,O
IZLOTSJ,O,O,X,O,O
IZLOJTS,O,O,O,X,O
IZLOJST,O,O,X,X,O
IZLOSTJ,O,O,X,O,O
IZLOSJT,O,O,X,O,X
IZJTLSO,X,O,O,X,X
IZJTLOS,X,X,O,X,X
IZJTSLO,X,O,O,X,X
IZJTSOL,X,O,O,X,X
IZJTOLS,X,X,O,X,X
IZJTOSL,X,O,O,X,X
IZJLTSO,X,O,O,X,X
IZJLTOS,X,X,O,X,O
IZJLSTO,X,O,O,X,X
IZJLSOT,X,O,X,X,X
IZJLOTS,X,X,O,X,O
IZJLOST,X,X,X,X,O
IZJSTLO,X,O,O,X,X
IZJSTOL,X,O,O,O,X
IZJSLTO,X,O,O,X,X
IZJSLOT,X,O,X,O,X
IZJSOTL,X,O,X,O,X
IZJSOLT,X,O,X,O,X
IZJOTLS,X,X,O,X,O
IZJOTSL,X,O,O,O,X
IZJOLTS,X,O,O,X,O
IZJOLST,X,O,X,X,O
IZJOSTL,X,O,X,O,X
IZJOSLT,X,O,X,O,O
IZSTLJO,O,O,X,X,X
IZSTLOJ,O,O,X,X,X
IZSTJLO,O,O,O,X,X
IZSTJOL,O,O,O,O,X
IZSTOLJ,O,O,X,O,X
IZSTOJL,O,O,O,O,X
IZSLTJO,O,O,X,X,X
IZSLTOJ,O,O,X,X,X
IZSLJTO,O,O,O,X,X
IZSLJOT,O,O,X,O,X
IZSLOTJ,O,O,X,O,X
IZSLOJT,O,O,X,O,X
IZSJTLO,O,O,O,X,X
IZSJTOL,O,O,O,O,X
IZSJLTO,O,O,O,X,X
IZSJLOT,O,O,X,O,X
IZSJOTL,O,O,X,O,X
IZSJOLT,O,O,X,O,X
IZSOTLJ,O,O,X,O,X
IZSOTJL,O,O,X,O,X
IZSOLTJ,O,O,X,O,X
IZSOLJT,O,O,X,O,X
IZSOJTL,O,O,X,O,X
IZSOJLT,O,O,X,O,X
IZOTLJS,X,O,O,X,O
IZOTLSJ,O,O,X,O,O
IZOTJLS,X,X,O,X,O
IZOTJSL,O,O,O,O,X
IZOTSLJ,O,O,X,O,X
IZOTSJL,O,O,O,O,X
IZOLTJS,O,O,X,X,O
IZOLTSJ,O,O,X,O,O
IZOLJTS,O,O,O,X,O
IZOLJST,O,O,X,X,O
IZOLSTJ,O,O,X,O,O
IZOLSJT,O,O,X,O,X
IZOJTLS,X,X,O,X,O
IZOJTSL,O,O,O,O,X
IZOJLTS,X,O,O,X,O
IZOJLST,X,O,X,X,O
IZOJSTL,O,O,X,O,X
IZOJSLT,O,O,X,O,O
IZOSTLJ,O,O,X,O,X
IZOSTJL,O,O,X,O,X
IZOSLTJ,O,O,X,O,O
IZOSLJT,O,O,X,O,X
IZOSJTL,O,O,X,O,X
IZOSJLT,O,O,X,O,O
IOTLJSZ,O,O,O,X,O
IOTLJZS,O,O,O,X,O
IOTLSJZ,O,O,X,O,X
IOTLSZJ,O,O,X,O,O
IOTLZJS,O,O,O,X,O
IOTLZSJ,O,O,X,O,O
IOTJLSZ,X,X,O,X,O
IOTJLZS,X,X,O,X,O
IOTJSLZ,O,O,O,O,X
IOTJSZL,O,O,O,O,X
IOTJZLS,X,X,O,X,O
IOTJZSL,O,O,O,O,X
IOTSLJZ,O,O,X,O,X
IOTSLZJ,O,O,X,O,X
IOTSJLZ,O,O,O,O,X
IOTSJZL,O,O,O,O,X
IOTSZLJ,O,O,X,O,X
IOTSZJL,O,O,O,O,X
IOTZLJS,X,O,O,X,O
IOTZLSJ,O,O,X,O,O
IOTZJLS,X,X,O,X,O
IOTZJSL,O,O,O,O,X
IOTZSLJ,O,O,X,O,X
IOTZSJL,O,O,O,O,X
IOLTJSZ,O,O,X,X,O
IOLTJZS,O,O,X,X,O
IOLTSJZ,O,O,X,O,X
IOLTSZJ,O,O,X,O,O
IOLTZJS,O,O,X,X,O
IOLTZSJ,O,O,X,O,O
IOLJTSZ,O,O,O,X,O
IOLJTZS,O,O,O,X,O
IOLJSTZ,O,O,X,X,O
IOLJSZT,O,O,X,X,O
IOLJZTS,O,O,O,X,O
IOLJZST,O,O,X,X,O
IOLSTJZ,O,O,X,O,X
IOLSTZJ,O,O,X,O,O
IOLSJTZ,O,O,X,O,O
IOLSJZT,O,O,X,O,O
IOLSZTJ,O,O,X,O,O
IOLSZJT,O,O,X,O,X
IOLZTJS,O,O,X,X,O
IOLZTSJ,O,O,X,O,O
IOLZJTS,O,O,O,X,O
IOLZJST,O,O,X,X,O
IOLZSTJ,O,O,X,O,O
IOLZSJT,O,O,X,O,X
IOJTLSZ,X,X,O,X,O
IOJTLZS,X,X,O,X,O
IOJTSLZ,O,O,O,O,X
IOJTSZL,O,O,O,O,X
IOJTZLS,X,X,O,X,O
IOJTZSL,O,O,O,O,X
IOJLTSZ,O,O,O,X,O
IOJLTZS,O,O,O,X,O
IOJLSTZ,O,O,X,X,O
IOJLSZT,O,O,X,X,O
IOJLZTS,O,O,O,X,O
IOJLZST,O,O,X,X,O
IOJSTLZ,O,O,X,O,X
IOJSTZL,O,O,X,O,X
IOJSLTZ,O,O,X,O,O
IOJSLZT,O,O,X,O,O
IOJSZTL,O,O,X,O,X
IOJSZLT,O,O,X,O,O
IOJZTLS,X,X,O,X,O
IOJZTSL,O,O,O,O,X
IOJZLTS,X,O,O,X,O
IOJZLST,X,O,X,X,O
IOJZSTL,O,O,X,O,X
IOJZSLT,O,O,X,O,O
IOSTLJZ,O,O,X,O,X
IOSTLZJ,O,O,X,O,X
IOSTJLZ,O,O,X,O,X
IOSTJZL,O,O,X,O,X
