sequence,v115@9gB8HeC8GeA8IeE8CeA8KelAJvhFUiBGjB6rB/tBRq?BTsB,v115@9gB8HeC8GeA8IeE8CeA8Ke0AJvhFlhBGjB6sB/tBRq?BzrB,v115@9gB8HeC8GeA8IeE8CeA8Ke8FJvhFzhBaoB5oB+sBXl?BlrB,v115@9gB8HeC8GeA8IeE8CeA8Ke0AJvhFVnBGjB/tB6rBRq?BTsB,v115@9gB8HeC8GeA8IeE8CeA8Ke0BJvhFliB5oBzlBysBXl?BWxB
TLJOISZ,X,X,O,X,O
TLJOIZS,X,X,O,X,O
TLJOSIZ,O,X,O,X,O
TLJOSZI,O,X,O,X,O
TLJOZIS,X,X,O,X,O
TLJOZSI,O,X,O,X,O
TLSIJZO,O,O,X,X,X
TLSIJOZ,O,O,X,X,X
TLSIZJO,O,O,X,X,X
TLSIZOJ,O,O,X,X,X
TLSIOJZ,O,O,X,X,X
TLSIOZJ,O,O,X,X,O
TLSJIZO,O,O,X,X,X
TLSJIOZ,O,O,X,X,X
TLSJZIO,O,O,X,X,X
TLSJZOI,O,O,X,X,X
TLSJOIZ,O,O,X,X,X
TLSJOZI,O,O,X,X,X
TLSZIJO,O,O,X,X,X
TLSZIOJ,X,O,X,X,X
TLSZJIO,O,O,X,X,X
TLSZJOI,O,O,X,X,X
TLSZOIJ,O,X,X,X,X
TLSZOJI,O,O,X,X,X
TLSOIJZ,O,O,X,X,X
TLSOIZJ,O,O,X,X,O
TLSOJIZ,O,O,X,X,X
TLSOJZI,O,O,X,X,X
TLSOZIJ,O,X,X,X,O
TLSOZJI,O,O,X,X,X
TLZIJSO,X,O,O,X,X
TLZIJOS,X,X,O,X,X
TLZISJO,O,O,X,X,X
TLZISOJ,X,O,X,X,X
TLZIOJS,X,X,O,X,O
TLZIOSJ,X,O,X,X,O
TLZJISO,X,X,O,X,X
TLZJIOS,X,X,O,X,X
TLZJSIO,O,O,O,X,X
TLZJSOI,O,O,O,X,X
TLZJOIS,X,X,O,X,X
TLZJOSI,X,X,O,X,X
TLZSIJO,O,O,X,X,X
TLZSIOJ,X,O,X,X,X
TLZSJIO,O,O,X,X,X
TLZSJOI,O,O,X,X,X
TLZSOIJ,O,X,X,X,X
TLZSOJI,O,O,X,X,X
TLZOIJS,X,X,O,X,O
TLZOISJ,O,X,X,X,O
TLZOJIS,X,X,O,X,O
TLZOJSI,O,X,O,X,X
TLZOSIJ,O,X,X,X,O
TLZOSJI,O,O,X,X,X
TLOIJSZ,X,X,O,X,O
TLOIJZS,X,X,O,X,O
TLOISJZ,O,O,X,X,X
TLOISZJ,O,O,X,X,O
TLOIZJS,X,X,O,X,O
TLOIZSJ,O,O,X,X,O
TLOJISZ,X,X,O,X,O
TLOJIZS,X,X,O,X,O
TLOJSIZ,O,X,O,X,O
TLOJSZI,O,X,O,X,O
TLOJZIS,X,X,O,X,O
TLOJZSI,O,X,O,X,O
TLOSIJZ,O,O,X,X,X
TLOSIZJ,O,O,X,X,O
TLOSJIZ,O,O,X,X,X
TLOSJZI,O,O,X,X,X
TLOSZIJ,O,X,X,X,O
TLOSZJI,O,O,X,X,X
TLOZIJS,X,X,O,X,O
TLOZISJ,O,X,X,X,O
TLOZJIS,X,X,O,X,O
TLOZJSI,O,X,O,X,X
TLOZSIJ,O,X,X,X,O
TLOZSJI,O,O,X,X,X
TJILSZO,O,X,O,X,X
TJILSOZ,O,X,O,X,O
TJILZSO,O,X,O,X,X
TJILZOS,X,X,O,X,O
TJILOSZ,O,X,O,X,O
TJILOZS,O,X,O,X,O
TJISLZO,O,X,O,X,X
TJISLOZ,O,X,O,X,X
TJISZLO,O,X,O,X,X
TJISZOL,O,X,O,X,X
TJISOLZ,O,X,O,X,X
TJISOZL,O,X,O,X,X
TJIZLSO,X,X,O,X,X
TJIZLOS,X,X,O,X,X
