sequence,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeUAJvhFXiBTjB?tpBerBCmBRxB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeCAJvhFXiBTjB?8pBtqBOrBRxB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8Jez/IvhF0hBxiB?CqB2wBtqBXtB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeOGJvhFXiBTjB?SqBtpB0qBRxB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeTDJvhFRqBupB?9qBKrBfsB0sB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8Je5EJvhFNlBamB?TjBWwBfsB0sB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JezBJvhFRqBupB?9qBKrBctB3sB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeRAJvhFTjBtpB?XmB0qB2xBCsB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JemBJvhFRqBtpB?6qBctBTrB3sB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeRAJvhFTjBupB?9qBKrBfsB0sB
TIZOJSL,O,O,X,X,X,X,X,X,O,X
TIZOSLJ,O,O,X,X,X,X,X,X,O,X
TIZOSJL,O,O,X,X,X,X,X,X,O,X
TIOLJSZ,O,X,X,X,O,O,O,X,O,X
TIOLJZS,O,X,X,X,O,O,O,X,O,X
TIOLSJZ,O,X,X,X,O,X,O,X,O,X
TIOLSZJ,O,X,X,X,O,X,O,X,O,X
TIOLZJS,O,X,X,X,O,X,O,X,O,X
TIOLZSJ,O,X,X,X,O,X,O,X,O,X
TIOJLSZ,O,X,X,X,O,O,O,X,O,X
TIOJLZS,O,X,X,X,O,O,O,X,O,X
TIOJSLZ,O,X,X,X,O,O,X,X,O,X
TIOJSZL,O,X,X,X,X,X,X,X,O,X
TIOJZLS,O,X,X,X,O,O,O,X,O,X
TIOJZSL,O,X,X,X,X,X,X,X,O,X
TIOSLJZ,O,X,X,X,O,X,X,X,O,X
TIOSLZJ,O,X,X,X,O,X,X,X,O,X
TIOSJLZ,O,X,X,X,O,O,X,X,O,X
TIOSJZL,O,X,X,X,X,X,X,O,O,X
TIOSZLJ,O,O,X,X,X,X,X,O,O,X
TIOSZJL,O,O,X,X,X,X,X,O,O,X
TIOZLJS,O,O,X,X,O,X,O,X,O,X
TIOZLSJ,O,O,X,X,O,X,O,X,O,X
TIOZJLS,O,O,X,X,O,O,O,X,O,X
TIOZJSL,O,O,X,X,X,X,X,X,O,X
TIOZSLJ,O,O,X,X,X,X,X,X,O,X
TIOZSJL,O,O,X,X,X,X,X,X,O,X
TLIJSZO,O,X,O,X,X,O,X,X,X,O
TLIJSOZ,O,X,O,X,X,O,X,X,X,O
TLIJZSO,O,X,O,X,X,O,X,X,X,O
TLIJZOS,O,X,O,X,X,O,X,X,X,O
TLIJOSZ,O,X,O,X,X,O,X,X,X,O
TLIJOZS,O,X,O,X,X,O,X,X,X,O
TLISJZO,O,X,X,O,X,X,X,X,X,X
TLISJOZ,O,X,X,O,X,X,X,X,X,X
TLISZJO,O,X,X,X,X,X,X,X,X,X
TLISZOJ,O,X,X,X,X,X,X,X,X,X
TLISOJZ,O,X,X,O,X,X,X,X,X,X
TLISOZJ,O,X,X,X,X,X,X,X,X,X
TLIZJSO,O,X,X,X,X,X,X,X,X,X
TLIZJOS,O,X,X,X,X,X,X,X,X,X
TLIZSJO,O,X,X,X,X,X,X,X,X,X
TLIZSOJ,O,X,X,X,X,X,X,X,X,X
TLIZOJS,O,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,X,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,O,X,X,O,X,X,X,O
TLIOJZS,O,X,O,X,X,O,X,X,X,O
TLIOSJZ,O,X,X,O,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,X,X,X,X
TLIOZJS,O,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,X,X,X,X,X,X
TLJISZO,X,X,O,X,X,O,X,X,X,O
TLJISOZ,X,X,O,X,X,O,X,X,X,O
TLJIZSO,X,X,O,X,X,O,X,X,X,O
TLJIZOS,X,X,O,X,X,O,X,X,X,O
TLJIOSZ,X,X,O,X,X,O,X,X,X,O
TLJIOZS,X,X,O,X,X,O,X,X,X,O
TLJSIZO,X,X,O,X,X,O,X,X,X,O
TLJSIOZ,X,X,O,X,X,O,X,X,X,O
TLJSZIO,X,X,O,X,X,X,X,X,X,O
TLJSZOI,O,X,O,X,X,X,X,X,X,O
TLJSOIZ,X,X,O,X,X,O,X,X,X,O
TLJSOZI,O,X,O,X,X,X,X,X,X,O
TLJZISO,X,X,O,X,X,O,X,X,X,O
TLJZIOS,X,X,O,X,X,O,X,X,X,O
TLJZSIO,X,X,O,X,X,X,X,X,X,O
TLJZSOI,O,X,O,X,X,X,X,X,X,O
TLJZOIS,X,X,O,X,X,O,X,X,X,O
TLJZOSI,O,X,O,X,X,X,X,X,X,O
TLJOISZ,X,X,O,X,X,O,X,X,X,O
TLJOIZS,X,X,O,X,X,O,X,X,X,O
TLJOSIZ,X,X,O,X,X,O,X,X,X,O
TLJOSZI,O,X,O,X,X,X,X,X,X,O
TLJOZIS,X,X,O,X,X,O,X,X,X,O
TLJOZSI,O,X,O,X,X,X,X,X,X,O
TLSIJZO,O,X,X,O,X,X,X,X,X,X
TLSIJOZ,O,X,X,O,X,X,X,X,X,X
TLSIZJO,O,X,X,X,X,X,X,X,X,X
TLSIZOJ,O,X,X,X,X,X,X,X,X,X
TLSIOJZ,O,X,X,O,X,X,X,X,X,X
TLSIOZJ,O,X,X,X,X,X,X,X,X,X
TLSJIZO,X,X,X,O,X,X,X,X,X,O
TLSJIOZ,X,X,X,O,X,X,X,X,X,O
TLSJZIO,X,X,X,O,X,X,X,O,X,O
TLSJZOI,O,X,X,O,X,X,X,O,X,O
TLSJOIZ,X,X,X,O,X,X,X,X,X,O
TLSJOZI,O,X,X,O,X,X,X,O,X,O
TLSZIJO,O,O,X,X,X,X,X,O,X,X
TLSZIOJ,O,O,X,X,X,X,X,O,X,X
TLSZJIO,X,O,X,X,X,X,X,O,X,X
TLSZJOI,O,O,X,X,X,X,X,O,X,X
TLSZOIJ,O,O,X,X,X,X,X,O,X,X
TLSZOJI,O,O,X,X,X,X,X,O,X,X
TLSOIJZ,O,X,X,O,X,X,X,X,X,X
TLSOIZJ,O,X,X,X,X,X,X,X,X,X
TLSOJIZ,X,X,X,O,X,X,X,X,X,O
TLSOJZI,O,X,X,O,X,X,X,O,X,O
TLSOZIJ,O,O,X,X,X,X,X,O,X,X
TLSOZJI,O,O,X,X,X,X,X,O,X,X
TLZIJSO,O,O,X,X,X,X,X,X,X,X
TLZIJOS,O,O,X,X,X,X,X,X,X,X
TLZISJO,O,O,X,X,X,X,X,X,X,X
TLZISOJ,O,O,X,X,X,X,X,X,X,X
