sequence,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeUAJvhFXiBTjB?tpBerBCmBRxB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeCAJvhFXiBTjB?8pBtqBOrBRxB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8Jez/IvhF0hBxiB?CqB2wBtqBXtB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeOGJvhFXiBTjB?SqBtpB0qBRxB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeTDJvhFRqBupB?9qBKrBfsB0sB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8Je5EJvhFNlBamB?TjBWwBfsB0sB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JezBJvhFRqBupB?9qBKrBctB3sB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeRAJvhFTjBtpB?XmB0qB2xBCsB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JemBJvhFRqBtpB?6qBctBTrB3sB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeRAJvhFTjBupB?9qBKrBfsB0sB
ILSTZOJ,X,X,X,X,O,X,O,X,X,X
ILSTOJZ,X,X,X,O,O,X,O,X,X,X
ILSTOZJ,X,X,X,X,O,X,O,X,X,X
ILSJTZO,X,X,O,O,O,X,X,X,X,X
ILSJTOZ,X,X,O,O,O,X,X,X,X,X
ILSJZTO,X,X,O,O,X,X,X,X,X,X
ILSJZOT,X,X,X,O,X,X,X,X,X,X
ILSJOTZ,X,X,O,O,O,X,X,X,X,X
ILSJOZT,X,X,X,O,X,X,X,X,X,X
ILSZTJO,X,X,X,X,O,X,O,X,X,X
ILSZTOJ,X,X,X,X,O,X,O,X,X,X
ILSZJTO,X,X,X,O,X,X,X,X,X,X
ILSZJOT,X,X,X,O,X,X,X,X,X,X
ILSZOTJ,X,X,X,X,O,X,O,X,X,X
ILSZOJT,X,X,X,O,X,X,X,X,X,X
ILSOTJZ,X,X,X,O,O,X,O,X,X,X
ILSOTZJ,X,X,X,X,O,X,O,X,X,X
ILSOJTZ,X,X,O,O,O,X,X,X,X,X
ILSOJZT,X,X,X,O,X,X,X,X,X,X
ILSOZTJ,X,X,X,X,O,X,O,X,X,X
ILSOZJT,X,X,X,O,X,X,X,X,X,X
ILZTJSO,X,X,X,X,O,X,O,X,X,X
ILZTJOS,X,X,X,X,O,X,O,X,O,X
ILZTSJO,X,X,X,X,O,X,O,X,X,X
ILZTSOJ,X,X,X,X,O,X,O,X,O,X
ILZTOJS,X,X,X,X,O,X,O,X,O,X
ILZTOSJ,X,X,X,X,O,X,O,X,O,X
ILZJTSO,X,X,O,X,X,X,O,X,X,X
ILZJTOS,X,X,O,X,X,X,O,X,X,X
ILZJSTO,X,X,O,X,X,X,X,X,X,X
ILZJSOT,X,X,X,X,X,X,X,X,X,X
ILZJOTS,X,X,O,X,X,X,O,X,X,X
ILZJOST,X,X,X,X,X,X,X,X,X,X
ILZSTJO,X,X,X,X,O,X,O,X,X,X
ILZSTOJ,X,X,X,X,O,X,O,X,X,X
ILZSJTO,X,X,X,O,X,X,X,X,X,X
ILZSJOT,X,X,X,O,X,X,X,X,X,X
ILZSOTJ,X,X,X,X,O,X,O,X,X,X
ILZSOJT,X,X,X,O,X,X,X,X,X,X
ILZOTJS,X,X,X,X,O,X,O,X,O,X
ILZOTSJ,X,X,X,X,O,X,O,X,O,X
ILZOJTS,X,X,O,X,X,X,O,X,O,X
ILZOJST,X,X,X,X,X,X,X,X,X,X
ILZOSTJ,X,X,X,X,O,X,O,X,X,X
ILZOSJT,X,X,X,O,X,X,X,X,X,X
ILOTJSZ,X,X,O,X,O,O,O,X,O,O
ILOTJZS,X,X,O,X,O,O,O,X,O,O
ILOTSJZ,X,X,X,O,O,X,O,X,O,X
ILOTSZJ,X,X,X,X,O,X,O,X,O,X
ILOTZJS,X,X,X,X,O,X,O,X,O,X
ILOTZSJ,X,X,X,X,O,X,O,X,O,X
ILOJTSZ,X,X,O,X,O,O,O,X,O,X
ILOJTZS,X,X,O,X,O,O,O,X,O,X
ILOJSTZ,X,X,O,O,O,X,X,X,X,X
ILOJSZT,X,X,O,O,X,X,X,X,X,X
ILOJZTS,X,X,O,X,X,X,O,X,O,X
ILOJZST,X,X,X,X,X,X,X,X,X,X
ILOSTJZ,X,X,X,O,O,X,O,X,X,X
ILOSTZJ,X,X,X,X,O,X,O,X,X,X
ILOSJTZ,X,X,O,O,O,X,X,X,X,X
ILOSJZT,X,X,X,O,X,X,X,X,X,X
ILOSZTJ,X,X,X,X,O,X,O,X,X,X
ILOSZJT,X,X,X,O,X,X,X,X,X,X
ILOZTJS,X,X,X,X,O,X,O,X,O,X
ILOZTSJ,X,X,X,X,O,X,O,X,O,X
ILOZJTS,X,X,O,X,X,X,O,X,O,X
ILOZJST,X,X,X,X,X,X,X,X,X,X
ILOZSTJ,X,X,X,X,O,X,O,X,X,X
ILOZSJT,X,X,X,O,X,X,X,X,X,X
IJTLSZO,X,X,O,X,O,O,O,X,X,X
IJTLSOZ,X,X,O,X,O,O,O,X,X,X
IJTLZSO,X,X,O,X,O,O,O,X,X,X
IJTLZOS,X,X,O,X,O,O,O,X,O,X
IJTLOSZ,X,X,O,X,O,O,O,X,O,X
IJTLOZS,X,X,O,X,O,O,O,X,O,X
IJTSLZO,X,X,X,X,O,O,O,X,X,X
IJTSLOZ,X,X,X,X,O,O,O,X,X,X
IJTSZLO,X,X,X,X,X,X,O,X,X,X
IJTSZOL,O,X,X,X,X,X,X,X,X,X
IJTSOLZ,X,X,X,X,O,O,X,X,X,X
IJTSOZL,O,X,X,X,X,X,X,X,X,X
IJTZLSO,X,X,O,X,O,O,O,X,X,X
IJTZLOS,X,X,O,X,O,O,O,X,O,X
IJTZSLO,X,X,X,X,X,X,O,X,X,X
IJTZSOL,O,X,X,X,X,X,X,X,X,X
IJTZOLS,X,X,X,X,O,O,O,X,O,X
IJTZOSL,O,X,X,X,X,X,X,X,O,X
IJTOLSZ,X,X,X,X,O,O,O,X,O,X
IJTOLZS,X,X,X,X,O,O,O,X,O,X
IJTOSLZ,X,X,X,X,O,O,X,X,O,X
IJTOSZL,O,X,X,X,X,X,X,X,O,X
IJTOZLS,X,X,X,X,O,O,O,X,O,X
IJTOZSL,O,X,X,X,X,X,X,X,O,X
IJLTSZO,X,X,O,X,O,O,O,X,X,X
IJLTSOZ,X,X,O,X,O,O,O,X,X,X
IJLTZSO,X,X,O,X,O,O,O,X,X,X
IJLTZOS,X,X,O,X,O,O,O,X,X,X
IJLTOSZ,X,X,O,X,O,O,O,X,X,X
IJLTOZS,X,X,O,X,O,O,O,X,X,X
IJLSTZO,X,X,O,X,O,X,X,X,X,X
IJLSTOZ,X,X,O,X,O,X,X,X,X,X
IJLSZTO,X,X,O,X,X,X,X,X,X,X
IJLSZOT,X,X,O,X,X,X,X,X,X,X
IJLSOTZ,X,X,O,X,O,X,X,X,X,X
IJLSOZT,X,X,O,X,X,X,X,X,X,X
IJLZTSO,X,X,O,X,X,X,O,X,X,X
IJLZTOS,X,X,O,X,X,X,O,X,X,X
IJLZSTO,X,X,O,X,X,X,X,X,X,X
IJLZSOT,X,X,O,X,X,X,X,X,X,X
IJLZOTS,X,X,O,X,X,X,O,X,X,X
IJLZOST,X,X,X,X,X,X,X,X,X,X
IJLOTSZ,X,X,O,X,O,O,O,X,X,X
IJLOTZS,X,X,O,X,O,O,O,X,X,X
IJLOSTZ,X,X,O,X,O,X,X,X,X,X
IJLOSZT,X,X,O,X,X,X,X,X,X,X
IJLOZTS,X,X,O,X,X,X,O,X,X,X
IJLOZST,X,X,X,X,X,X,X,X,X,X
IJSTLZO,X,X,X,X,O,O,O,X,X,X
IJSTLOZ,X,X,X,X,O,O,O,X,X,X
IJSTZLO,X,X,X,X,X,X,O,X,X,X
IJSTZOL,O,X,X,X,X,X,X,X,X,X
IJSTOLZ,X,X,X,X,O,O,X,X,X,X
IJSTOZL,O,X,X,X,X,X,X,X,X,X
IJSLTZO,X,X,O,X,O,X,X,X,X,X
IJSLTOZ,X,X,O,X,O,X,X,X,X,X
IJSLZTO,X,X,O,X,X,X,X,X,X,X
IJSLZOT,X,X,X,X,X,X,X,X,X,X
IJSLOTZ,X,X,O,X,O,X,X,X,X,X
IJSLOZT,X,X,X,X,X,X,X,X,X,X
IJSZTLO,X,X,X,X,X,X,O,X,X,X
IJSZTOL,X,X,X,X,X,X,X,X,X,X
IJSZLTO,X,X,O,X,X,X,X,X,X,X
IJSZLOT,X,X,X,X,X,X,X,X,X,X
IJSZOTL,X,X,X,X,X,X,X,X,X,X
IJSZOLT,X,X,X,X,X,X,X,X,X,X
IJSOTLZ,X,X,X,X,O,O,X,X,X,X
IJSOTZL,O,X,X,X,X,X,X,X,X,X
IJSOLTZ,X,X,X,X,O,X,X,X,X,X
IJSOLZT,X,X,X,X,X,X,X,X,X,X
IJSOZTL,X,X,X,X,X,X,X,X,X,X
IJSOZLT,X,X,X,X,X,X,X,X,X,X
IJZTLSO,X,X,O,X,O,O,O,X,X,X
IJZTLOS,X,X,O,X,O,O,O,X,O,X
IJZTSLO,X,X,X,X,X,X,O,X,X,X
IJZTSOL,X,X,X,X,X,X,X,X,X,X
IJZTOLS,X,X,X,X,O,O,O,X,O,X
IJZTOSL,X,X,X,X,X,X,X,X,O,X
IJZLTSO,X,X,O,X,X,X,O,X,X,X
IJZLTOS,X,X,O,X,X,X,O,X,X,X
IJZLSTO,X,X,O,X,X,X,X,X,X,X
IJZLSOT,X,X,O,X,X,X,X,X,X,X
IJZLOTS,X,X,O,X,X,X,O,X,X,X
IJZLOST,X,X,X,X,X,X,X,X,X,X
IJZSTLO,X,X,X,X,X,X,O,X,X,X
IJZSTOL,X,X,X,X,X,X,X,X,X,X
IJZSLTO,X,X,O,X,X,X,X,X,X,X
IJZSLOT,X,X,X,X,X,X,X,X,X,X
IJZSOTL,X,X,X,X,X,X,X,X,X,X
IJZSOLT,X,X,X,X,X,X,X,X,X,X
IJZOTLS,X,X,X,X,O,O,O,X,O,X
IJZOTSL,X,X,X,X,X,X,X,X,O,X
IJZOLTS,X,X,O,X,X,X,X,X,O,X
IJZOLST,X,X,X,X,X,X,X,X,X,X
IJZOSTL,X,X,X,X,X,X,X,X,O,X
IJZOSLT,X,X,X,X,X,X,X,X,X,X
IJOTLSZ,X,X,X,X,O,O,O,X,O,X
IJOTLZS,X,X,X,X,O,O,O,X,O,X
IJOTSLZ,X,X,X,X,O,O,X,X,O,X
IJOTSZL,O,X,X,X,X,X,X,X,O,X
IJOTZLS,X,X,X,X,O,O,O,X,O,X
IJOTZSL,O,X,X,X,X,X,X,X,O,X
IJOLTSZ,X,X,O,X,O,O,X,X,O,X
IJOLTZS,X,X,O,X,O,O,X,X,O,X
IJOLSTZ,X,X,O,X,O,X,X,X,X,X
IJOLSZT,X,X,X,X,X,X,X,X,X,X
IJOLZTS,X,X,O,X,X,X,X,X,O,X
IJOLZST,X,X,X,X,X,X,X,X,X,X
IJOSTLZ,X,X,X,X,O,O,X,X,O,X
IJOSTZL,O,X,X,X,X,X,X,X,O,X
IJOSLTZ,X,X,X,X,O,X,X,X,X,X
IJOSLZT,X,X,X,X,X,X,X,X,X,X
IJOSZTL,X,X,X,X,X,X,X,X,O,X
IJOSZLT,X,X,X,X,X,X,X,X,X,X
IJOZTLS,X,X,X,X,O,O,O,X,O,X
IJOZTSL,X,X,X,X,X,X,X,X,O,X
IJOZLTS,X,X,O,X,X,X,X,X,O,X
IJOZLST,X,X,X,X,X,X,X,X,X,X
IJOZSTL,X,X,X,X,X,X,X,X,O,X
IJOZSLT,X,X,X,X,X,X,X,X,X,X
ISTLJZO,O,X,X,O,O,X,O,X,X,X
ISTLJOZ,O,X,X,O,O,X,O,X,X,X
ISTLZJO,O,O,X,X,O,X,O,X,X,X
ISTLZOJ,O,O,X,X,O,X,O,X,O,X
ISTLOJZ,O,X,X,O,O,X,O,X,O,X
ISTLOZJ,O,O,X,X,O,X,O,X,O,X
ISTJLZO,O,X,X,O,O,O,O,X,X,X
ISTJLOZ,O,X,X,O,O,O,O,X,X,X
ISTJZLO,O,O,X,X,X,X,O,O,X,X
ISTJZOL,O,O,X,X,X,X,X,O,X,X
ISTJOLZ,O,X,X,O,O,O,X,X,X,X
ISTJOZL,O,O,X,X,X,X,X,O,X,X
ISTZLJO,O,O,X,X,X,X,O,O,X,X
ISTZLOJ,O,O,X,X,X,X,O,O,O,X
ISTZJLO,O,O,X,X,X,X,O,O,X,X
ISTZJOL,O,O,X,X,X,X,X,O,X,X
ISTZOLJ,O,O,X,X,X,X,X,O,O,X
ISTZOJL,O,O,X,X,X,X,X,O,O,X
ISTOLJZ,O,X,X,O,O,X,X,X,O,X
ISTOLZJ,O,O,X,X,O,X,X,X,O,X
ISTOJLZ,O,X,X,O,O,O,X,X,O,X
ISTOJZL,O,O,X,X,X,X,X,O,O,X
ISTOZLJ,O,O,X,X,X,X,X,O,O,X
ISTOZJL,O,O,X,X,X,X,X,O,O,X
ISLTJZO,O,X,X,O,O,X,O,X,X,X
ISLTJOZ,O,X,X,O,O,X,O,X,X,X
ISLTZJO,O,O,X,X,O,X,O,X,X,X
ISLTZOJ,O,O,X,X,O,X,O,X,X,X
ISLTOJZ,O,X,X,O,O,X,O,X,X,X
ISLTOZJ,O,O,X,X,O,X,O,X,X,X
ISLJTZO,O,X,O,O,O,X,X,X,X,X
ISLJTOZ,O,X,O,O,O,X,X,X,X,X
ISLJZTO,X,X,O,O,X,X,X,X,X,X
ISLJZOT,X,X,X,O,X,X,X,X,X,X
ISLJOTZ,O,X,O,O,O,X,X,X,X,X
ISLJOZT,X,X,X,O,X,X,X,X,X,X
ISLZTJO,X,O,X,X,O,X,O,X,X,X
ISLZTOJ,X,O,X,X,O,X,O,X,X,X
ISLZJTO,X,X,X,O,X,X,X,X,X,X
ISLZJOT,X,X,X,O,X,X,X,X,X,X
ISLZOTJ,X,O,X,X,O,X,O,X,X,X
ISLZOJT,X,X,X,O,X,X,X,X,X,X
ISLOTJZ,O,X,X,O,O,X,O,X,X,X
ISLOTZJ,O,O,X,X,O,X,O,X,X,X
ISLOJTZ,O,X,O,O,O,X,X,X,X,X
ISLOJZT,X,X,X,O,X,X,X,X,X,X
ISLOZTJ,X,O,X,X,O,X,O,X,X,X
ISLOZJT,X,X,X,O,X,X,X,X,X,X
ISJTLZO,O,X,X,O,O,O,O,X,X,X
ISJTLOZ,O,X,X,O,O,O,O,X,X,X
ISJTZLO,O,O,X,X,X,X,O,X,X,X
ISJTZOL,O,O,X,X,X,X,X,X,X,X
ISJTOLZ,O,X,X,O,O,O,X,X,X,X
ISJTOZL,O,O,X,X,X,X,X,X,X,X
ISJLTZO,O,X,O,O,O,X,X,X,X,X
ISJLTOZ,O,X,O,O,O,X,X,X,X,X
ISJLZTO,X,X,O,O,X,X,X,X,X,X
ISJLZOT,X,X,X,O,X,X,X,X,X,X
ISJLOTZ,O,X,O,O,O,X,X,X,X,X
ISJLOZT,X,X,X,O,X,X,X,X,X,X
ISJZTLO,O,O,X,X,X,X,O,X,X,X
ISJZTOL,O,O,X,X,X,X,X,X,X,X
ISJZLTO,X,X,O,O,X,X,X,X,X,X
ISJZLOT,X,X,X,O,X,X,X,X,X,X
ISJZOTL,O,O,X,X,X,X,X,X,X,X
ISJZOLT,X,X,X,O,X,X,X,X,X,X
ISJOTLZ,O,X,X,O,O,O,X,X,X,X
ISJOTZL,O,O,X,X,X,X,X,X,X,X
ISJOLTZ,O,X,X,O,O,X,X,X,X,X
ISJOLZT,X,X,X,O,X,X,X,X,X,X
ISJOZTL,O,O,X,X,X,X,X,X,X,X
ISJOZLT,X,X,X,O,X,X,X,X,X,X
ISZTLJO,O,O,X,X,X,X,O,X,X,X
ISZTLOJ,O,O,X,X,X,X,O,X,O,X
ISZTJLO,O,O,X,X,X,X,O,X,X,X
ISZTJOL,O,O,X,X,X,X,X,X,X,X
ISZTOLJ,O,O,X,X,X,X,X,X,O,X
ISZTOJL,O,O,X,X,X,X,X,X,O,X
ISZLTJO,X,O,X,X,O,X,O,X,X,X
ISZLTOJ,X,O,X,X,O,X,O,X,X,X
ISZLJTO,X,X,X,O,X,X,X,X,X,X
ISZLJOT,X,X,X,O,X,X,X,X,X,X
ISZLOTJ,X,O,X,X,O,X,O,X,X,X
ISZLOJT,X,X,X,O,X,X,X,X,X,X
ISZJTLO,O,O,X,X,X,X,O,X,X,X
ISZJTOL,O,O,X,X,X,X,X,X,X,X
ISZJLTO,X,X,X,O,X,X,X,X,X,X
ISZJLOT,X,X,X,O,X,X,X,X,X,X
ISZJOTL,O,O,X,X,X,X,X,X,X,X
ISZJOLT,X,X,X,O,X,X,X,X,X,X
ISZOTLJ,O,O,X,X,X,X,X,X,O,X
ISZOTJL,O,O,X,X,X,X,X,X,O,X
ISZOLTJ,X,O,X,X,O,X,X,X,X,X
ISZOLJT,X,X,X,O,X,X,X,X,X,X
ISZOJTL,O,O,X,X,X,X,X,X,O,X
ISZOJLT,X,X,X,O,X,X,X,X,X,X
ISOTLJZ,O,X,X,O,O,X,X,X,O,X
ISOTLZJ,O,O,X,X,O,X,X,X,O,X
ISOTJLZ,O,X,X,O,O,O,X,X,O,X
ISOTJZL,O,O,X,X,X,X,X,O,O,X
ISOTZLJ,O,O,X,X,X,X,X,O,O,X
ISOTZJL,O,O,X,X,X,X,X,O,O,X
ISOLTJZ,O,X,X,O,O,X,X,X,X,X
ISOLTZJ,O,O,X,X,O,X,X,X,X,X
ISOLJTZ,O,X,X,O,O,X,X,X,X,X
ISOLJZT,X,X,X,O,X,X,X,X,X,X
ISOLZTJ,X,O,X,X,O,X,X,X,X,X
ISOLZJT,X,X,X,O,X,X,X,X,X,X
ISOJTLZ,O,X,X,O,O,O,X,X,O,X
ISOJTZL,O,O,X,X,X,X,X,X,O,X
ISOJLTZ,O,X,X,O,O,X,X,X,X,X
ISOJLZT,X,X,X,O,X,X,X,X,X,X
ISOJZTL,O,O,X,X,X,X,X,X,O,X
ISOJZLT,X,X,X,O,X,X,X,X,X,X
ISOZTLJ,O,O,X,X,X,X,X,X,O,X
ISOZTJL,O,O,X,X,X,X,X,X,O,X
ISOZLTJ,X,O,X,X,O,X,X,X,X,X
ISOZLJT,X,X,X,O,X,X,X,X,X,X
ISOZJTL,O,O,X,X,X,X,X,X,O,X
ISOZJLT,X,X,X,O,X,X,X,X,X,X
IZTLJSO,X,O,X,X,O,X,O,X,X,X
IZTLJOS,X,O,X,X,O,X,O,X,O,X
IZTLSJO,X,O,X,X,O,X,O,X,X,X
IZTLSOJ,X,O,X,X,O,X,O,X,O,X
IZTLOJS,X,O,X,X,O,X,O,X,O,X
IZTLOSJ,X,O,X,X,O,X,O,X,O,X
IZTJLSO,X,O,X,X,O,O,O,X,X,X
IZTJLOS,X,O,X,X,O,O,O,X,O,X
IZTJSLO,X,O,X,X,X,X,O,X,X,X
IZTJSOL,X,O,X,X,X,X,X,X,X,X
IZTJOLS,X,O,X,X,O,O,O,X,O,X
IZTJOSL,X,O,X,X,X,X,X,X,O,X
IZTSLJO,X,O,X,X,X,X,O,X,X,X
IZTSLOJ,X,O,X,X,X,X,O,X,O,X
IZTSJLO,X,O,X,X,X,X,O,X,X,X
IZTSJOL,X,O,X,X,X,X,X,X,X,X
IZTSOLJ,X,O,X,X,X,X,X,X,O,X
IZTSOJL,X,O,X,X,X,X,X,X,O,X
IZTOLJS,X,O,X,X,O,X,O,X,O,X
IZTOLSJ,X,O,X,X,O,X,O,X,O,X
IZTOJLS,X,O,X,X,O,O,O,X,O,X
IZTOJSL,X,O,X,X,X,X,X,X,O,X
IZTOSLJ,X,O,X,X,X,X,X,X,O,X
IZTOSJL,X,O,X,X,X,X,X,X,O,X
IZLTJSO,X,O,X,X,O,X,O,X,X,X
IZLTJOS,X,O,X,X,O,X,O,X,O,X
IZLTSJO,X,O,X,X,O,X,O,X,X,X
IZLTSOJ,X,O,X,X,O,X,O,X,O,X
IZLTOJS,X,O,X,X,O,X,O,X,O,X
IZLTOSJ,X,O,X,X,O,X,O,X,O,X
IZLJTSO,X,O,O,X,X,X,O,X,X,X
IZLJTOS,X,O,O,X,X,X,O,X,X,X
IZLJSTO,X,X,O,X,X,X,X,X,X,X
IZLJSOT,X,X,X,X,X,X,X,X,X,X
IZLJOTS,X,O,O,X,X,X,O,X,X,X
IZLJOST,X,X,X,X,X,X,X,X,X,X
IZLSTJO,X,O,X,X,O,X,O,X,X,X
IZLSTOJ,X,O,X,X,O,X,O,X,X,X
IZLSJTO,X,X,X,X,X,X,X,X,X,X
IZLSJOT,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,X,O,X,X,O,X,O,X,X,X
IZLSOJT,X,X,X,X,X,X,X,X,X,X
IZLOTJS,X,O,X,X,O,X,O,X,O,X
IZLOTSJ,X,O,X,X,O,X,O,X,O,X
IZLOJTS,X,O,O,X,X,X,O,X,O,X
IZLOJST,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,X,O,X,X,O,X,O,X,X,X
IZLOSJT,X,X,X,X,X,X,X,X,X,X
IZJTLSO,X,O,O,X,O,O,O,X,X,X
IZJTLOS,X,O,O,X,O,O,O,X,O,X
IZJTSLO,X,O,X,X,X,X,O,X,X,X
IZJTSOL,X,O,X,X,X,X,X,X,X,X
IZJTOLS,X,O,X,X,O,O,O,X,O,X
IZJTOSL,X,O,X,X,X,X,X,X,O,X
IZJLTSO,X,O,O,X,X,X,O,X,X,X
IZJLTOS,X,O,O,X,X,X,O,X,X,X
IZJLSTO,X,X,O,X,X,X,X,X,X,X
IZJLSOT,X,X,X,X,X,X,X,X,X,X
IZJLOTS,X,O,O,X,X,X,O,X,X,X
IZJLOST,X,X,X,X,X,X,X,X,X,X
IZJSTLO,X,O,X,X,X,X,O,X,X,X
IZJSTOL,X,O,X,X,X,X,X,X,X,X
IZJSLTO,X,X,O,X,X,X,X,X,X,X
IZJSLOT,X,X,X,X,X,X,X,X,X,X
IZJSOTL,X,O,X,X,X,X,X,X,X,X
IZJSOLT,X,X,X,X,X,X,X,X,X,X
IZJOTLS,X,O,X,X,O,O,O,X,O,X
IZJOTSL,X,O,X,X,X,X,X,X,O,X
IZJOLTS,X,O,O,X,X,X,X,X,O,X
IZJOLST,X,X,X,X,X,X,X,X,X,X
IZJOSTL,X,O,X,X,X,X,X,X,O,X
IZJOSLT,X,X,X,X,X,X,X,X,X,X
IZSTLJO,X,O,X,X,X,X,O,X,X,X
IZSTLOJ,X,O,X,X,X,X,O,X,O,X
IZSTJLO,X,O,X,X,X,X,O,X,X,X
IZSTJOL,X,O,X,X,X,X,X,X,X,X
IZSTOLJ,X,O,X,X,X,X,X,X,O,X
IZSTOJL,X,O,X,X,X,X,X,X,O,X
IZSLTJO,X,O,X,X,O,X,O,X,X,X
IZSLTOJ,X,O,X,X,O,X,O,X,X,X
IZSLJTO,X,X,X,X,X,X,X,X,X,X
IZSLJOT,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,O,X,X,O,X,O,X,X,X
IZSLOJT,X,X,X,X,X,X,X,X,X,X
IZSJTLO,X,O,X,X,X,X,O,X,X,X
IZSJTOL,X,O,X,X,X,X,X,X,X,X
IZSJLTO,X,X,X,X,X,X,X,X,X,X
IZSJLOT,X,X,X,X,X,X,X,X,X,X
IZSJOTL,X,O,X,X,X,X,X,X,X,X
IZSJOLT,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,O,X,X,X,X,X,X,O,X
IZSOTJL,X,O,X,X,X,X,X,X,O,X
IZSOLTJ,X,O,X,X,O,X,X,X,X,X
IZSOLJT,X,X,X,X,X,X,X,X,X,X
IZSOJTL,X,O,X,X,X,X,X,X,O,X
IZSOJLT,X,X,X,X,X,X,X,X,X,X
IZOTLJS,X,O,X,X,O,X,O,X,O,X
IZOTLSJ,X,O,X,X,O,X,O,X,O,X
IZOTJLS,X,O,X,X,O,O,O,X,O,X
IZOTJSL,X,O,X,X,X,X,X,X,O,X
IZOTSLJ,X,O,X,X,X,X,X,X,O,X
IZOTSJL,X,O,X,X,X,X,X,X,O,X
IZOLTJS,X,O,X,X,O,X,O,X,O,X
IZOLTSJ,X,O,X,X,O,X,O,X,O,X
IZOLJTS,X,O,X,X,X,X,O,X,O,X
IZOLJST,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,X,O,X,X,O,X,O,X,X,X
IZOLSJT,X,X,X,X,X,X,X,X,X,X
IZOJTLS,X,O,X,X,O,O,O,X,O,X
IZOJTSL,X,O,X,X,X,X,X,X,O,X
IZOJLTS,X,O,X,X,X,X,X,X,O,X
IZOJLST,X,X,X,X,X,X,X,X,X,X
IZOJSTL,X,O,X,X,X,X,X,X,O,X
IZOJSLT,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,O,X,X,X,X,X,X,O,X
IZOSTJL,X,O,X,X,X,X,X,X,O,X
IZOSLTJ,X,O,X,X,O,X,X,X,X,X
IZOSLJT,X,X,X,X,X,X,X,X,X,X
IZOSJTL,X,O,X,X,X,X,X,X,O,X
IZOSJLT,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,O,X,X,X,O,O,O,X,O,X
IOTLJZS,O,X,X,X,O,O,O,X,O,X
IOTLSJZ,O,X,X,X,O,X,O,X,O,X
IOTLSZJ,O,X,X,X,O,X,O,X,O,X
IOTLZJS,O,X,X,X,O,X,O,X,O,X
IOTLZSJ,O,X,X,X,O,X,O,X,O,X
IOTJLSZ,O,X,X,X,O,O,O,X,O,X
IOTJLZS,O,X,X,X,O,O,O,X,O,X
IOTJSLZ,O,X,X,X,O,O,X,X,O,X
IOTJSZL,O,X,X,X,X,X,X,X,O,X
IOTJZLS,O,X,X,X,O,O,O,X,O,X
IOTJZSL,O,X,X,X,X,X,X,X,O,X
IOTSLJZ,O,X,X,X,O,X,X,X,O,X
IOTSLZJ,O,X,X,X,O,X,X,X,O,X
IOTSJLZ,O,X,X,X,O,O,X,X,O,X
IOTSJZL,O,X,X,X,X,X,X,O,O,X
IOTSZLJ,O,O,X,X,X,X,X,O,O,X
IOTSZJL,O,O,X,X,X,X,X,O,O,X
IOTZLJS,O,O,X,X,O,X,O,X,O,X
IOTZLSJ,O,O,X,X,O,X,O,X,O,X
IOTZJLS,O,O,X,X,O,O,O,X,O,X
IOTZJSL,O,O,X,X,X,X,X,X,O,X
IOTZSLJ,O,O,X,X,X,X,X,X,O,X
IOTZSJL,O,O,X,X,X,X,X,X,O,X
IOLTJSZ,X,X,O,X,O,O,O,X,O,O
IOLTJZS,X,X,O,X,O,O,O,X,O,O
IOLTSJZ,X,X,X,O,O,X,O,X,O,X
IOLTSZJ,X,X,X,X,O,X,O,X,O,X
IOLTZJS,X,X,X,X,O,X,O,X,O,X
IOLTZSJ,X,X,X,X,O,X,O,X,O,X
IOLJTSZ,X,X,O,X,O,O,O,X,O,X
IOLJTZS,X,X,O,X,O,O,O,X,O,X
IOLJSTZ,X,X,O,O,O,X,X,X,X,X
IOLJSZT,X,X,X,O,X,X,X,X,X,X
IOLJZTS,X,X,O,X,X,X,O,X,O,X
IOLJZST,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,X,X,X,O,O,X,O,X,X,X
IOLSTZJ,X,X,X,X,O,X,O,X,X,X
IOLSJTZ,X,X,O,O,O,X,X,X,X,X
IOLSJZT,X,X,X,O,X,X,X,X,X,X
IOLSZTJ,X,X,X,X,O,X,O,X,X,X
IOLSZJT,X,X,X,O,X,X,X,X,X,X
IOLZTJS,X,X,X,X,O,X,O,X,O,X
IOLZTSJ,X,X,X,X,O,X,O,X,O,X
IOLZJTS,X,X,O,X,X,X,O,X,O,X
