sequence,v115@ChB8IeB8GeC8BeA8DeD8Ke0/IvhFaoB5oB/pBFmBTq?BmqB,v115@ChB8IeB8GeC8BeA8DeD8KeT/IvhFaoB5oB/qBFmB0p?BmqB,v115@ChB8IeB8GeC8BeA8DeD8KeUBJvhFaoB5oB/pBFlBzq?BmpB,v115@ChB8IeB8GeC8BeA8DeD8KeT/IvhFlgBaoB5oB/qBOr?B0pB,v115@ChB8IeB8GeC8BeA8DeD8Kel/IvhFUhBaoB5oB/pBOq?BzqB,v115@ChB8IeB8GeC8BeA8DeD8Ke0/IvhFlgBaoB5oB/pBOr?BTqB,v115@ChB8IeB8GeC8BeA8DeD8KeOEJvhF8kBaoB5oBFmBXq?BzqB,v115@ChB8IeB8GeC8BeA8DeD8KeaIJvhF5oBTkB/qBFmB0p?BmqB,v115@ChB8IeB8GeC8BeA8DeD8KeKEJvhFRgBGjBFmB/tB0q?BzpB,v115@ChB8IeB8GeC8BeA8DeD8KeyEJvhFGjBFmB/tBxpB0p?BzqB,v115@ChB8IeB8GeC8BeA8DeD8Kex/IvhF/pBUlBFmBToByv?BGtB
TJOLZIS,X,X,X,X,X,O,X,X,X,X,X
TJOLZSI,X,X,X,X,X,O,X,X,X,X,X
TJOSILZ,O,X,X,O,X,O,X,X,X,X,X
TJOSIZL,O,X,X,O,X,O,X,X,X,X,X
TJOSLIZ,O,X,X,O,X,O,X,X,X,X,X
TJOSLZI,O,X,X,O,X,O,X,X,X,X,X
TJOSZIL,O,X,X,O,X,O,X,X,X,X,O
TJOSZLI,O,X,X,O,X,O,X,X,X,X,O
TJOZILS,X,X,X,X,X,O,X,X,X,X,X
TJOZISL,X,X,X,X,X,O,X,X,X,X,X
TJOZLIS,X,X,X,X,X,O,X,X,X,X,X
TJOZLSI,X,X,X,X,X,O,X,X,X,X,X
TJOZSIL,X,X,X,X,X,O,X,X,X,X,X
TJOZSLI,X,X,X,X,X,O,X,X,X,X,X
TSILJZO,O,O,X,O,O,O,O,X,X,O,X
TSILJOZ,X,X,X,X,O,O,X,O,X,O,X
TSILZJO,O,O,X,O,O,O,O,X,X,O,X
TSILZOJ,O,O,X,O,O,O,O,O,X,X,X
TSILOJZ,O,X,O,X,O,O,X,O,X,O,X
TSILOZJ,O,O,O,O,O,O,O,O,X,X,X
TSIJLZO,O,O,X,O,O,O,O,X,X,O,X
TSIJLOZ,X,X,X,X,O,O,X,O,X,O,X
TSIJZLO,O,O,X,O,O,O,O,X,O,O,X
TSIJZOL,X,O,X,O,O,O,O,X,X,X,X
TSIJOLZ,X,X,X,X,O,O,X,O,X,O,X
TSIJOZL,X,X,X,X,O,O,X,X,X,X,X
TSIZLJO,O,O,X,O,O,O,O,X,O,O,X
TSIZLOJ,O,O,X,O,O,O,O,O,O,X,O
TSIZJLO,O,O,X,O,O,O,O,X,O,O,X
TSIZJOL,X,O,X,O,O,O,O,X,X,X,O
TSIZOLJ,O,O,X,O,O,O,O,O,X,X,O
TSIZOJL,O,O,X,O,O,O,O,X,X,X,O
TSIOLJZ,O,X,O,X,O,O,X,O,X,O,X
TSIOLZJ,O,O,O,O,O,O,O,O,X,X,X
TSIOJLZ,O,X,O,X,O,O,X,O,X,O,X
TSIOJZL,O,X,O,X,O,O,X,X,X,X,X
TSIOZLJ,O,O,O,O,O,O,O,O,X,X,O
TSIOZJL,O,O,O,O,O,O,O,X,X,X,O
TSLIJZO,O,O,X,O,O,O,O,X,X,O,X
TSLIJOZ,X,X,X,X,O,O,X,O,X,O,X
TSLIZJO,O,O,X,O,O,O,O,X,X,O,X
TSLIZOJ,O,O,X,O,O,O,O,O,X,X,X
TSLIOJZ,O,X,O,X,O,O,X,O,X,O,X
TSLIOZJ,O,O,O,O,O,O,O,O,X,X,X
TSLJIZO,O,O,X,O,O,O,O,X,X,O,X
TSLJIOZ,X,X,X,X,O,O,X,O,X,O,X
TSLJZIO,O,O,X,O,O,O,O,X,O,X,X
TSLJZOI,X,O,X,O,O,O,O,X,O,X,X
TSLJOIZ,X,X,X,X,O,O,X,O,X,X,X
TSLJOZI,X,X,X,X,O,O,X,X,X,X,X
TSLZIJO,O,O,X,O,O,O,O,X,O,X,X
TSLZIOJ,O,O,X,O,O,O,O,O,O,X,O
TSLZJIO,O,O,X,O,O,O,O,X,O,X,X
TSLZJOI,X,O,X,O,O,O,O,X,O,X,X
TSLZOIJ,O,O,X,O,O,O,O,O,O,X,O
TSLZOJI,O,O,X,O,O,O,O,X,O,X,O
TSLOIJZ,O,X,O,X,O,O,X,O,X,X,X
TSLOIZJ,O,O,O,O,O,O,O,O,X,X,X
TSLOJIZ,O,X,O,X,O,O,X,O,X,X,X
TSLOJZI,O,X,O,X,O,O,X,X,X,X,X
TSLOZIJ,O,O,O,O,O,O,O,O,X,X,O
TSLOZJI,O,O,O,O,O,O,O,X,X,X,O
TSJILZO,O,O,X,O,O,O,O,X,X,O,X
TSJILOZ,X,X,X,X,O,O,X,O,X,O,X
TSJIZLO,O,O,X,O,O,O,O,X,O,O,X
TSJIZOL,X,O,X,O,O,O,O,X,X,X,X
TSJIOLZ,X,X,X,X,O,O,X,O,X,O,X
TSJIOZL,X,X,X,X,O,O,X,X,X,X,X
TSJLIZO,O,O,X,O,O,O,O,X,X,O,X
TSJLIOZ,X,X,X,X,O,O,X,O,X,O,X
TSJLZIO,O,O,X,O,O,O,O,X,O,X,X
TSJLZOI,X,O,X,O,O,O,O,X,O,X,X
TSJLOIZ,X,X,X,X,O,O,X,O,X,X,X
TSJLOZI,X,X,X,X,O,O,X,X,X,X,X
TSJZILO,O,O,X,O,O,O,O,X,O,O,X
TSJZIOL,X,O,X,O,O,O,O,X,X,X,O
TSJZLIO,O,O,X,O,O,O,O,X,O,X,X
TSJZLOI,X,O,X,O,O,O,O,X,O,X,X
TSJZOIL,X,O,X,O,O,O,O,X,X,X,O
TSJZOLI,X,O,X,O,O,O,O,X,O,X,O
TSJOILZ,X,X,X,X,O,O,X,O,X,O,X
TSJOIZL,X,X,X,X,O,O,X,X,X,X,X
TSJOLIZ,X,X,X,X,O,O,X,O,X,X,X
TSJOLZI,X,X,X,X,O,O,X,X,X,X,X
TSJOZIL,X,X,X,X,O,O,X,X,X,X,O
TSJOZLI,X,X,X,X,O,O,X,X,O,X,O
TSZILJO,O,O,X,O,O,O,O,X,O,O,X
TSZILOJ,O,O,X,O,O,O,O,O,O,X,O
TSZIJLO,O,O,X,O,O,O,O,X,O,O,X
TSZIJOL,X,O,X,O,O,O,O,X,X,X,O
TSZIOLJ,O,O,X,O,O,O,O,O,X,X,O
TSZIOJL,O,O,X,O,O,O,O,X,X,X,O
TSZLIJO,O,O,X,O,O,O,O,X,O,X,X
TSZLIOJ,O,O,X,O,O,O,O,O,O,X,O
TSZLJIO,O,O,X,O,O,O,O,X,O,X,X
TSZLJOI,X,O,X,O,O,O,O,X,O,X,X
TSZLOIJ,O,O,X,O,O,O,O,O,O,X,O
TSZLOJI,O,O,X,O,O,O,O,X,O,X,O
TSZJILO,O,O,X,O,O,O,O,X,O,O,X
TSZJIOL,X,O,X,O,O,O,O,X,X,X,O
TSZJLIO,O,O,X,O,O,O,O,X,O,X,X
TSZJLOI,X,O,X,O,O,O,O,X,O,X,X
TSZJOIL,X,O,X,O,O,O,O,X,X,X,O
TSZJOLI,X,O,X,O,O,O,O,X,O,X,O
TSZOILJ,O,O,X,O,O,O,O,O,X,X,O
TSZOIJL,O,O,X,O,O,O,O,X,X,X,O
TSZOLIJ,O,O,X,O,O,O,O,O,O,X,O
TSZOLJI,O,O,X,O,O,O,O,X,O,X,O
TSZOJIL,O,O,X,O,O,O,O,X,X,X,O
TSZOJLI,O,O,X,O,O,O,O,X,O,X,O
TSOILJZ,O,X,O,X,O,O,X,O,X,O,X
TSOILZJ,O,O,O,O,O,O,O,O,X,X,X
TSOIJLZ,O,X,O,X,O,O,X,O,X,O,X
TSOIJZL,O,X,O,X,O,O,X,X,X,X,X
TSOIZLJ,O,O,O,O,O,O,O,O,X,X,O
TSOIZJL,O,O,O,O,O,O,O,X,X,X,O
TSOLIJZ,O,X,O,X,O,O,X,O,X,X,X
TSOLIZJ,O,O,O,O,O,O,O,O,X,X,X
TSOLJIZ,O,X,O,X,O,O,X,O,X,X,X
TSOLJZI,O,X,O,X,O,O,X,X,X,X,X
TSOLZIJ,O,O,O,O,O,O,O,O,X,X,O
TSOLZJI,O,O,O,O,O,O,O,X,X,X,O
TSOJILZ,O,X,O,X,O,O,X,O,X,O,X
TSOJIZL,O,X,O,X,O,O,X,X,X,X,X
TSOJLIZ,O,X,O,X,O,O,X,O,X,X,X
TSOJLZI,O,X,O,X,O,O,X,X,X,X,X
TSOJZIL,O,X,O,X,O,O,X,X,X,X,O
TSOJZLI,O,X,O,X,O,O,X,X,O,X,O
TSOZILJ,O,O,O,O,O,O,O,O,X,X,O
TSOZIJL,O,O,O,O,O,O,O,X,X,X,O
TSOZLIJ,O,O,O,O,O,O,O,O,O,X,O
TSOZLJI,O,O,O,O,O,O,O,X,O,X,O
TSOZJIL,O,O,O,O,O,O,O,X,X,X,O
TSOZJLI,O,O,O,O,O,O,O,X,O,X,O
TZILJSO,X,X,X,O,O,X,X,X,O,X,X
TZILJOS,X,X,X,O,X,X,X,X,X,X,X
TZILSJO,O,O,X,O,O,X,O,X,O,O,X
TZILSOJ,O,O,X,O,O,X,O,O,O,X,X
TZILOJS,X,X,X,O,O,X,X,X,X,X,X
TZILOSJ,O,O,O,O,O,X,X,X,O,X,X
TZIJLSO,X,X,X,O,O,X,X,X,X,X,X
TZIJLOS,X,X,X,O,X,X,X,X,X,X,X
TZIJSLO,X,X,X,O,O,X,X,X,X,X,X
TZIJSOL,X,X,X,O,O,X,X,X,X,X,X
TZIJOLS,X,X,X,O,X,X,X,X,X,X,X
TZIJOSL,X,X,X,O,X,X,X,X,X,X,X
TZISLJO,O,O,X,O,O,X,O,X,O,O,X
TZISLOJ,O,O,X,O,O,X,O,O,O,X,X
TZISJLO,O,O,X,O,O,X,O,X,O,O,X
TZISJOL,X,O,X,O,X,X,O,X,X,X,X
TZISOLJ,O,O,X,O,O,X,O,O,X,X,X
TZISOJL,X,O,X,O,X,X,O,X,X,X,X
TZIOLJS,X,X,X,O,O,X,X,X,X,X,X
TZIOLSJ,O,O,O,O,O,X,X,X,X,X,X
TZIOJLS,X,X,X,O,O,X,X,X,X,X,X
TZIOJSL,X,X,X,O,O,X,X,X,X,X,X
TZIOSLJ,O,O,O,O,O,X,X,X,X,X,X
TZIOSJL,O,O,O,O,O,X,X,X,X,X,X
TZLIJSO,X,X,X,O,O,X,X,X,O,X,X
TZLIJOS,X,X,X,O,X,X,X,X,X,X,X
TZLISJO,O,O,X,O,O,X,O,X,O,X,X
TZLISOJ,O,O,X,O,O,X,O,O,O,X,X
TZLIOJS,X,X,X,O,O,X,X,X,X,X,X
TZLIOSJ,O,O,O,O,O,X,X,X,O,X,X
TZLJISO,X,X,X,O,O,X,X,X,O,X,X
TZLJIOS,X,X,X,O,X,X,X,X,X,X,X
TZLJSIO,X,X,X,O,O,X,X,X,O,X,X
TZLJSOI,X,X,X,O,O,X,X,X,O,X,X
TZLJOIS,X,X,X,O,X,X,X,X,X,X,X
TZLJOSI,X,X,X,O,X,X,X,X,X,X,X
TZLSIJO,O,O,X,O,O,X,O,X,O,X,X
TZLSIOJ,O,O,X,O,O,X,O,O,O,X,X
TZLSJIO,O,O,X,O,O,X,O,X,O,X,X
TZLSJOI,X,O,X,O,X,X,O,X,O,X,X
TZLSOIJ,O,O,X,O,O,X,O,O,O,X,X
TZLSOJI,X,O,X,O,X,X,O,X,O,X,X
TZLOIJS,X,X,X,O,O,X,X,X,X,X,X
TZLOISJ,O,O,O,O,O,X,X,X,O,X,X
TZLOJIS,X,X,X,O,O,X,X,X,X,X,X
TZLOJSI,X,X,X,O,O,X,X,X,X,X,X
TZLOSIJ,O,O,O,O,O,X,X,X,O,X,X
TZLOSJI,O,O,O,O,O,X,X,X,O,X,X
TZJILSO,X,X,X,O,O,X,X,X,X,X,X
TZJILOS,X,X,X,O,X,X,X,X,X,X,X
TZJISLO,X,X,X,O,O,X,X,X,X,X,X
TZJISOL,X,X,X,O,O,X,X,X,X,X,X
TZJIOLS,X,X,X,O,X,X,X,X,X,X,X
TZJIOSL,X,X,X,O,X,X,X,X,X,X,X
TZJLISO,X,X,X,O,O,X,X,X,O,X,X
TZJLIOS,X,X,X,O,X,X,X,X,X,X,X
TZJLSIO,X,X,X,O,O,X,X,X,O,X,X
TZJLSOI,X,X,X,O,O,X,X,X,O,X,X
TZJLOIS,X,X,X,O,X,X,X,X,X,X,X
TZJLOSI,X,X,X,O,X,X,X,X,X,X,X
TZJSILO,X,X,X,O,O,X,X,X,O,X,X
TZJSIOL,X,X,X,O,O,X,X,X,X,X,X
TZJSLIO,X,X,X,O,O,X,X,X,O,X,X
TZJSLOI,X,X,X,O,O,X,X,X,O,X,X
TZJSOIL,X,X,X,O,O,X,X,X,X,X,X
TZJSOLI,X,X,X,O,O,X,X,X,O,X,X
TZJOILS,X,X,X,O,X,X,X,X,X,X,X
TZJOISL,X,X,X,O,X,X,X,X,X,X,X
TZJOLIS,X,X,X,O,X,X,X,X,X,X,X
TZJOLSI,X,X,X,O,X,X,X,X,X,X,X
TZJOSIL,X,X,X,O,X,X,X,X,X,X,X
TZJOSLI,X,X,X,O,X,X,X,X,X,X,X
TZSILJO,O,O,X,O,O,X,O,X,O,O,X
TZSILOJ,O,O,X,O,O,X,O,O,O,X,O
TZSIJLO,O,O,X,O,O,X,O,X,O,O,X
TZSIJOL,X,O,X,O,X,X,O,X,X,X,O
TZSIOLJ,O,O,X,O,O,X,O,O,X,X,O
TZSIOJL,X,O,X,O,X,X,O,X,X,X,O
TZSLIJO,O,O,X,O,O,X,O,X,O,X,X
TZSLIOJ,O,O,X,O,O,X,O,O,O,X,O
TZSLJIO,O,O,X,O,O,X,O,X,O,X,X
TZSLJOI,X,O,X,O,X,X,O,X,O,X,X
TZSLOIJ,O,O,X,O,O,X,O,O,O,X,O
TZSLOJI,X,O,X,O,X,X,O,X,O,X,O
TZSJILO,O,O,X,O,O,X,O,X,O,O,X
TZSJIOL,X,O,X,O,X,X,O,X,X,X,O
TZSJLIO,O,O,X,O,O,X,O,X,O,X,X
TZSJLOI,X,O,X,O,X,X,O,X,O,X,X
TZSJOIL,X,O,X,O,X,X,O,X,X,X,O
TZSJOLI,X,O,X,O,X,X,O,X,O,X,O
TZSOILJ,O,O,X,O,O,X,O,O,X,X,O
TZSOIJL,X,O,X,O,X,X,O,X,X,X,O
TZSOLIJ,O,O,X,O,O,X,O,O,O,X,O
TZSOLJI,X,O,X,O,X,X,O,X,O,X,O
TZSOJIL,X,O,X,O,X,X,O,X,X,X,O
TZSOJLI,X,O,X,O,X,X,O,X,O,X,O
TZOILJS,X,X,X,O,O,X,X,X,X,X,X
TZOILSJ,O,O,O,O,O,X,X,X,X,X,X
TZOIJLS,X,X,X,O,O,X,X,X,X,X,X
TZOIJSL,X,X,X,O,O,X,X,X,X,X,X
TZOISLJ,O,O,O,O,O,X,X,X,X,X,X
TZOISJL,O,O,O,O,O,X,X,X,X,X,X
TZOLIJS,X,X,X,O,O,X,X,X,X,X,X
TZOLISJ,O,O,O,O,O,X,X,X,O,X,X
TZOLJIS,X,X,X,O,O,X,X,X,X,X,X
TZOLJSI,X,X,X,O,O,X,X,X,X,X,X
TZOLSIJ,O,O,O,O,O,X,X,X,O,X,X
TZOLSJI,O,O,O,O,O,X,X,X,O,X,X
TZOJILS,X,X,X,O,O,X,X,X,X,X,X
TZOJISL,X,X,X,O,O,X,X,X,X,X,X
TZOJLIS,X,X,X,O,O,X,X,X,X,X,X
TZOJLSI,X,X,X,O,O,X,X,X,X,X,X
TZOJSIL,X,X,X,O,O,X,X,X,X,X,X
TZOJSLI,X,X,X,O,O,X,X,X,X,X,X
TZOSILJ,O,O,O,O,O,X,X,X,X,X,O
TZOSIJL,O,O,O,O,O,X,X,X,X,X,O
TZOSLIJ,O,O,O,O,O,X,X,X,O,X,O
TZOSLJI,O,O,O,O,O,X,X,X,O,X,O
TZOSJIL,O,O,O,O,O,X,X,X,X,X,O
TZOSJLI,O,O,O,O,O,X,X,X,O,X,O
TOILJSZ,O,X,X,X,O,O,X,X,X,X,X
TOILJZS,X,X,X,X,O,X,X,X,X,X,X
TOILSJZ,O,X,O,X,O,O,X,O,X,O,X
TOILSZJ,O,O,O,X,O,O,O,O,X,X,X
TOILZJS,X,X,X,X,O,X,X,X,X,X,X
TOILZSJ,O,X,O,X,O,O,X,X,X,X,X
TOIJLSZ,O,X,X,X,O,O,X,X,X,X,X
TOIJLZS,X,X,X,X,O,X,X,X,X,X,X
TOIJSLZ,O,X,X,X,O,O,X,X,X,X,X
TOIJSZL,O,X,X,X,O,O,X,X,X,X,X
TOIJZLS,X,X,X,X,O,X,X,X,X,X,X
TOIJZSL,X,X,X,X,O,X,X,X,X,X,X
TOISLJZ,O,X,O,X,O,O,X,O,X,O,X
TOISLZJ,O,O,O,X,O,O,O,O,X,X,X
TOISJLZ,O,X,O,X,O,O,X,O,X,O,X
TOISJZL,O,X,O,X,O,O,X,X,X,X,X
TOISZLJ,O,O,O,X,O,O,O,O,X,X,O
TOISZJL,O,O,O,X,O,O,O,X,X,X,O
TOIZLJS,X,X,X,X,O,X,X,X,X,X,X
TOIZLSJ,O,X,O,X,O,O,X,X,X,X,X
TOIZJLS,X,X,X,X,O,X,X,X,X,X,X
TOIZJSL,X,X,X,X,O,X,X,X,X,X,X
TOIZSLJ,O,X,O,X,O,O,X,X,X,X,X
TOIZSJL,O,X,O,X,O,O,X,X,X,X,X
TOLIJSZ,O,X,X,X,O,O,X,X,X,X,X
TOLIJZS,X,X,X,X,O,X,X,X,X,X,X
TOLISJZ,O,X,O,X,O,O,X,O,X,X,X
TOLISZJ,O,O,O,X,O,O,O,O,X,X,X
TOLIZJS,X,X,X,X,O,X,X,X,X,X,X
TOLIZSJ,O,X,O,X,O,O,X,X,X,X,X
TOLJISZ,O,X,X,X,O,O,X,X,X,X,X
TOLJIZS,X,X,X,X,O,X,X,X,X,X,X
TOLJSIZ,O,X,X,X,O,O,X,X,X,X,X
TOLJSZI,O,X,X,X,O,O,X,X,X,X,X
TOLJZIS,X,X,X,X,O,X,X,X,X,X,X
TOLJZSI,X,X,X,X,O,X,X,X,X,X,X
TOLSIJZ,O,X,O,X,O,O,X,O,X,X,X
TOLSIZJ,O,O,O,X,O,O,O,O,X,X,X
TOLSJIZ,O,X,O,X,O,O,X,O,X,X,X
TOLSJZI,O,X,O,X,O,O,X,X,X,X,X
TOLSZIJ,O,O,O,X,O,O,O,O,X,X,O
TOLSZJI,O,O,O,X,O,O,O,X,X,X,O
TOLZIJS,X,X,X,X,O,X,X,X,X,X,X
TOLZISJ,O,X,O,X,O,O,X,X,X,X,X
TOLZJIS,X,X,X,X,O,X,X,X,X,X,X
TOLZJSI,X,X,X,X,O,X,X,X,X,X,X
TOLZSIJ,O,X,O,X,O,O,X,X,X,X,X
TOLZSJI,O,X,O,X,O,O,X,X,X,X,X
TOJILSZ,O,X,X,X,O,O,X,X,X,X,X
TOJILZS,X,X,X,X,O,X,X,X,X,X,X
TOJISLZ,O,X,X,X,O,O,X,X,X,X,X
TOJISZL,O,X,X,X,O,O,X,X,X,X,X
TOJIZLS,X,X,X,X,O,X,X,X,X,X,X
TOJIZSL,X,X,X,X,O,X,X,X,X,X,X
TOJLISZ,O,X,X,X,O,O,X,X,X,X,X
TOJLIZS,X,X,X,X,O,X,X,X,X,X,X
TOJLSIZ,O,X,X,X,O,O,X,X,X,X,X
TOJLSZI,O,X,X,X,O,O,X,X,X,X,X
TOJLZIS,X,X,X,X,O,X,X,X,X,X,X
TOJLZSI,X,X,X,X,O,X,X,X,X,X,X
TOJSILZ,O,X,X,X,O,O,X,X,X,X,X
TOJSIZL,O,X,X,X,O,O,X,X,X,X,X
TOJSLIZ,O,X,X,X,O,O,X,X,X,X,X
TOJSLZI,O,X,X,X,O,O,X,X,X,X,X
TOJSZIL,O,X,X,X,O,O,X,X,X,X,O
TOJSZLI,O,X,X,X,O,O,X,X,X,X,O
TOJZILS,X,X,X,X,O,X,X,X,X,X,X
TOJZISL,X,X,X,X,O,X,X,X,X,X,X
TOJZLIS,X,X,X,X,O,X,X,X,X,X,X
TOJZLSI,X,X,X,X,O,X,X,X,X,X,X
TOJZSIL,X,X,X,X,O,X,X,X,X,X,X
TOJZSLI,X,X,X,X,O,X,X,X,X,X,X
TOSILJZ,O,X,O,X,O,O,X,O,X,O,X
TOSILZJ,O,O,O,X,O,O,O,O,X,X,X
TOSIJLZ,O,X,O,X,O,O,X,O,X,O,X
TOSIJZL,O,X,O,X,O,O,X,X,X,X,X
TOSIZLJ,O,O,O,X,O,O,O,O,X,X,O
TOSIZJL,O,O,O,X,O,O,O,X,X,X,O
TOSLIJZ,O,X,O,X,O,O,X,O,X,X,X
TOSLIZJ,O,O,O,X,O,O,O,O,X,X,X
TOSLJIZ,O,X,O,X,O,O,X,O,X,X,X
TOSLJZI,O,X,O,X,O,O,X,X,X,X,X
TOSLZIJ,O,O,O,X,O,O,O,O,X,X,O
TOSLZJI,O,O,O,X,O,O,O,X,X,X,O
TOSJILZ,O,X,O,X,O,O,X,O,X,O,X
TOSJIZL,O,X,O,X,O,O,X,X,X,X,X
TOSJLIZ,O,X,O,X,O,O,X,O,X,X,X
TOSJLZI,O,X,O,X,O,O,X,X,X,X,X
TOSJZIL,O,X,O,X,O,O,X,X,X,X,O
TOSJZLI,O,X,O,X,O,O,X,X,O,X,O
TOSZILJ,O,O,O,X,O,O,O,O,X,X,O
TOSZIJL,O,O,O,X,O,O,O,X,X,X,O
TOSZLIJ,O,O,O,X,O,O,O,O,O,X,O
TOSZLJI,O,O,O,X,O,O,O,X,O,X,O
TOSZJIL,O,O,O,X,O,O,O,X,X,X,O
TOSZJLI,O,O,O,X,O,O,O,X,O,X,O
TOZILJS,X,X,X,X,O,X,X,X,X,X,X
TOZILSJ,O,X,O,X,O,O,X,X,X,X,X
TOZIJLS,X,X,X,X,O,X,X,X,X,X,X
TOZIJSL,X,X,X,X,O,X,X,X,X,X,X
TOZISLJ,O,X,O,X,O,O,X,X,X,X,X
TOZISJL,O,X,O,X,O,O,X,X,X,X,X
TOZLIJS,X,X,X,X,O,X,X,X,X,X,X
TOZLISJ,O,X,O,X,O,O,X,X,O,X,X
TOZLJIS,X,X,X,X,O,X,X,X,X,X,X
TOZLJSI,X,X,X,X,O,X,X,X,X,X,X
TOZLSIJ,O,X,O,X,O,O,X,X,O,X,X
TOZLSJI,O,X,O,X,O,O,X,X,O,X,X
TOZJILS,X,X,X,X,O,X,X,X,X,X,X
TOZJISL,X,X,X,X,O,X,X,X,X,X,X
TOZJLIS,X,X,X,X,O,X,X,X,X,X,X
TOZJLSI,X,X,X,X,O,X,X,X,X,X,X
TOZJSIL,X,X,X,X,O,X,X,X,X,X,X
TOZJSLI,X,X,X,X,O,X,X,X,X,X,X
TOZSILJ,O,X,O,X,O,O,X,X,X,X,O
TOZSIJL,O,X,O,X,O,O,X,X,X,X,O
TOZSLIJ,O,X,O,X,O,O,X,X,O,X,O
TOZSLJI,O,X,O,X,O,O,X,X,O,X,O
TOZSJIL,O,X,O,X,O,O,X,X,X,X,O
TOZSJLI,O,X,O,X,O,O,X,X,O,X,O
ITLJSZO,O,O,X,O,O,O,O,X,X,O,X
ITLJSOZ,X,X,X,O,O,O,X,O,X,O,X
ITLJZSO,X,X,X,O,O,O,X,X,X,X,X
ITLJZOS,X,X,X,O,X,O,X,X,X,X,X
ITLJOSZ,O,X,X,O,X,O,X,X,X,X,X
ITLJOZS,X,X,X,X,X,O,X,X,X,X,X
ITLSJZO,O,O,X,O,O,O,O,X,X,O,X
ITLSJOZ,X,X,X,X,O,O,X,O,X,O,X
ITLSZJO,O,O,X,O,O,O,O,X,X,O,X
ITLSZOJ,O,O,X,O,O,O,O,O,X,X,X
ITLSOJZ,O,X,O,X,O,O,X,O,X,O,X
ITLSOZJ,O,O,O,O,O,O,O,O,X,X,X
ITLZJSO,X,X,X,O,O,X,X,X,X,X,X
ITLZJOS,X,X,X,O,X,X,X,X,X,X,X
ITLZSJO,O,O,X,O,O,X,O,X,X,O,X
ITLZSOJ,O,O,X,O,O,X,O,O,X,X,X
ITLZOJS,X,X,X,O,O,X,X,X,X,X,X
ITLZOSJ,O,O,O,O,O,X,X,X,X,X,X
ITLOJSZ,O,X,X,X,O,O,X,X,X,X,X
ITLOJZS,X,X,X,X,O,X,X,X,X,X,X
ITLOSJZ,O,X,O,X,O,O,X,O,X,O,X
ITLOSZJ,O,O,O,X,O,O,O,O,X,X,X
ITLOZJS,X,X,X,X,O,X,X,X,X,X,X
ITLOZSJ,O,X,O,X,O,O,X,X,X,X,X
ITJLSZO,O,O,X,O,O,O,O,X,X,O,X
ITJLSOZ,X,X,X,O,O,O,X,O,X,O,X
ITJLZSO,X,X,X,O,O,O,X,X,X,X,X
ITJLZOS,X,X,X,O,X,O,X,X,X,X,X
ITJLOSZ,O,X,X,O,X,O,X,X,X,X,X
ITJLOZS,X,X,X,X,X,O,X,X,X,X,X
ITJSLZO,O,O,X,O,O,O,O,X,X,O,X
ITJSLOZ,X,X,X,O,O,O,X,O,X,O,X
ITJSZLO,O,O,X,O,O,O,O,X,X,O,X
ITJSZOL,X,O,X,O,O,O,O,X,X,X,X
ITJSOLZ,X,X,X,O,O,O,X,O,X,O,X
ITJSOZL,X,X,X,O,O,O,X,X,X,X,X
ITJZLSO,X,X,X,O,O,O,X,X,X,X,X
ITJZLOS,X,X,X,O,X,O,X,X,X,X,X
ITJZSLO,X,X,X,O,O,O,X,X,X,X,X
ITJZSOL,X,X,X,O,O,O,X,X,X,X,X
ITJZOLS,X,X,X,O,X,O,X,X,X,X,X
ITJZOSL,X,X,X,O,X,O,X,X,X,X,X
ITJOLSZ,O,X,X,O,X,O,X,X,X,X,X
ITJOLZS,X,X,X,X,X,O,X,X,X,X,X
ITJOSLZ,O,X,X,O,X,O,X,X,X,X,X
ITJOSZL,O,X,X,O,X,O,X,X,X,X,X
ITJOZLS,X,X,X,X,X,O,X,X,X,X,X
ITJOZSL,X,X,X,X,X,O,X,X,X,X,X
ITSLJZO,O,O,X,O,O,O,O,X,X,O,X
ITSLJOZ,X,X,X,X,O,O,X,O,X,O,X
ITSLZJO,O,O,X,O,O,O,O,X,X,O,X
ITSLZOJ,O,O,X,O,O,O,O,O,X,X,X
ITSLOJZ,O,X,O,X,O,O,X,O,X,O,X
ITSLOZJ,O,O,O,O,O,O,O,O,X,X,X
ITSJLZO,O,O,X,O,O,O,O,X,X,O,X
ITSJLOZ,X,X,X,X,O,O,X,O,X,O,X
ITSJZLO,O,O,X,O,O,O,O,X,O,O,X
ITSJZOL,X,O,X,O,O,O,O,X,X,X,X
ITSJOLZ,X,X,X,X,O,O,X,O,X,O,X
ITSJOZL,X,X,X,X,O,O,X,X,X,X,X
ITSZLJO,O,O,X,O,O,O,O,X,O,O,X
ITSZLOJ,O,O,X,O,O,O,O,O,O,X,O
ITSZJLO,O,O,X,O,O,O,O,X,O,O,X
ITSZJOL,X,O,X,O,O,O,O,X,X,X,O
ITSZOLJ,O,O,X,O,O,O,O,O,X,X,O
ITSZOJL,O,O,X,O,O,O,O,X,X,X,O
ITSOLJZ,O,X,O,X,O,O,X,O,X,O,X
ITSOLZJ,O,O,O,O,O,O,O,O,X,X,X
ITSOJLZ,O,X,O,X,O,O,X,O,X,O,X
ITSOJZL,O,X,O,X,O,O,X,X,X,X,X
ITSOZLJ,O,O,O,O,O,O,O,O,X,X,O
