sequence,v115@ChB8IeB8GeC8BeA8DeD8Ke0/IvhFaoB5oB/pBFmBTq?BmqB,v115@ChB8IeB8GeC8BeA8DeD8KeT/IvhFaoB5oB/qBFmB0p?BmqB,v115@ChB8IeB8GeC8BeA8DeD8KeUBJvhFaoB5oB/pBFlBzq?BmpB,v115@ChB8IeB8GeC8BeA8DeD8KeT/IvhFlgBaoB5oB/qBOr?B0pB,v115@ChB8IeB8GeC8BeA8DeD8Kel/IvhFUhBaoB5oB/pBOq?BzqB,v115@ChB8IeB8GeC8BeA8DeD8Ke0/IvhFlgBaoB5oB/pBOr?BTqB,v115@ChB8IeB8GeC8BeA8DeD8KeOEJvhF8kBaoB5oBFmBXq?BzqB,v115@ChB8IeB8GeC8BeA8DeD8KeaIJvhF5oBTkB/qBFmB0p?BmqB,v115@ChB8IeB8GeC8BeA8DeD8KeKEJvhFRgBGjBFmB/tB0q?BzpB,v115@ChB8IeB8GeC8BeA8DeD8KeyEJvhFGjBFmB/tBxpB0p?BzqB,v115@ChB8IeB8GeC8BeA8DeD8Kex/IvhF/pBUlBFmBToByv?BGtB
TIJZLSO,X,X,X,O,O,O,X,X,X,X,X
TIJZLOS,X,X,X,O,X,O,X,X,X,X,X
TIJZSLO,X,X,X,O,O,O,X,X,X,X,X
TIJZSOL,X,X,X,O,O,O,X,X,X,X,X
TIJZOLS,X,X,X,O,X,O,X,X,X,X,X
TIJZOSL,X,X,X,O,X,O,X,X,X,X,X
TIJOLSZ,O,X,X,O,X,O,X,X,X,X,X
TIJOLZS,X,X,X,X,X,O,X,X,X,X,X
TIJOSLZ,O,X,X,O,X,O,X,X,X,X,X
TIJOSZL,O,X,X,O,X,O,X,X,X,X,X
TIJOZLS,X,X,X,X,X,O,X,X,X,X,X
TIJOZSL,X,X,X,X,X,O,X,X,X,X,X
TISLJZO,O,O,X,O,O,O,O,X,X,O,X
TISLJOZ,X,X,X,X,O,O,X,O,X,O,X
TISLZJO,O,O,X,O,O,O,O,X,X,O,X
TISLZOJ,O,O,X,O,O,O,O,O,X,X,X
TISLOJZ,O,X,O,X,O,O,X,O,X,O,X
TISLOZJ,O,O,O,O,O,O,O,O,X,X,X
TISJLZO,O,O,X,O,O,O,O,X,X,O,X
TISJLOZ,X,X,X,X,O,O,X,O,X,O,X
TISJZLO,O,O,X,O,O,O,O,X,O,O,X
TISJZOL,X,O,X,O,O,O,O,X,X,X,X
TISJOLZ,X,X,X,X,O,O,X,O,X,O,X
TISJOZL,X,X,X,X,O,O,X,X,X,X,X
TISZLJO,O,O,X,O,O,O,O,X,O,O,X
TISZLOJ,O,O,X,O,O,O,O,O,O,X,O
TISZJLO,O,O,X,O,O,O,O,X,O,O,X
TISZJOL,X,O,X,O,O,O,O,X,X,X,O
TISZOLJ,O,O,X,O,O,O,O,O,X,X,O
TISZOJL,O,O,X,O,O,O,O,X,X,X,O
TISOLJZ,O,X,O,X,O,O,X,O,X,O,X
TISOLZJ,O,O,O,O,O,O,O,O,X,X,X
TISOJLZ,O,X,O,X,O,O,X,O,X,O,X
TISOJZL,O,X,O,X,O,O,X,X,X,X,X
TISOZLJ,O,O,O,O,O,O,O,O,X,X,O
TISOZJL,O,O,O,O,O,O,O,X,X,X,O
TIZLJSO,X,X,X,O,O,X,X,X,O,X,X
TIZLJOS,X,X,X,O,X,X,X,X,X,X,X
TIZLSJO,O,O,X,O,O,X,O,X,O,O,X
TIZLSOJ,O,O,X,O,O,X,O,O,O,X,X
TIZLOJS,X,X,X,O,O,X,X,X,X,X,X
TIZLOSJ,O,O,O,O,O,X,X,X,O,X,X
TIZJLSO,X,X,X,O,O,X,X,X,X,X,X
TIZJLOS,X,X,X,O,X,X,X,X,X,X,X
TIZJSLO,X,X,X,O,O,X,X,X,X,X,X
TIZJSOL,X,X,X,O,O,X,X,X,X,X,X
TIZJOLS,X,X,X,O,X,X,X,X,X,X,X
TIZJOSL,X,X,X,O,X,X,X,X,X,X,X
TIZSLJO,O,O,X,O,O,X,O,X,O,O,X
TIZSLOJ,O,O,X,O,O,X,O,O,O,X,X
TIZSJLO,O,O,X,O,O,X,O,X,O,O,X
TIZSJOL,X,O,X,O,X,X,O,X,X,X,X
TIZSOLJ,O,O,X,O,O,X,O,O,X,X,X
TIZSOJL,X,O,X,O,X,X,O,X,X,X,X
TIZOLJS,X,X,X,O,O,X,X,X,X,X,X
TIZOLSJ,O,O,O,O,O,X,X,X,X,X,X
TIZOJLS,X,X,X,O,O,X,X,X,X,X,X
TIZOJSL,X,X,X,O,O,X,X,X,X,X,X
TIZOSLJ,O,O,O,O,O,X,X,X,X,X,X
TIZOSJL,O,O,O,O,O,X,X,X,X,X,X
TIOLJSZ,O,X,X,X,O,O,X,X,X,X,X
TIOLJZS,X,X,X,X,O,X,X,X,X,X,X
TIOLSJZ,O,X,O,X,O,O,X,O,X,O,X
TIOLSZJ,O,O,O,X,O,O,O,O,X,X,X
TIOLZJS,X,X,X,X,O,X,X,X,X,X,X
TIOLZSJ,O,X,O,X,O,O,X,X,X,X,X
TIOJLSZ,O,X,X,X,O,O,X,X,X,X,X
TIOJLZS,X,X,X,X,O,X,X,X,X,X,X
TIOJSLZ,O,X,X,X,O,O,X,X,X,X,X
TIOJSZL,O,X,X,X,O,O,X,X,X,X,X
TIOJZLS,X,X,X,X,O,X,X,X,X,X,X
TIOJZSL,X,X,X,X,O,X,X,X,X,X,X
TIOSLJZ,O,X,O,X,O,O,X,O,X,O,X
TIOSLZJ,O,O,O,X,O,O,O,O,X,X,X
TIOSJLZ,O,X,O,X,O,O,X,O,X,O,X
TIOSJZL,O,X,O,X,O,O,X,X,X,X,X
TIOSZLJ,O,O,O,X,O,O,O,O,X,X,O
TIOSZJL,O,O,O,X,O,O,O,X,X,X,O
TIOZLJS,X,X,X,X,O,X,X,X,X,X,X
TIOZLSJ,O,X,O,X,O,O,X,X,X,X,X
TIOZJLS,X,X,X,X,O,X,X,X,X,X,X
TIOZJSL,X,X,X,X,O,X,X,X,X,X,X
TIOZSLJ,O,X,O,X,O,O,X,X,X,X,X
TIOZSJL,O,X,O,X,O,O,X,X,X,X,X
TLIJSZO,O,O,X,O,O,O,O,X,X,O,X
TLIJSOZ,X,X,X,O,O,O,X,O,X,O,X
TLIJZSO,X,X,X,O,O,O,X,X,X,X,X
TLIJZOS,X,X,X,O,X,O,X,X,X,X,X
TLIJOSZ,O,X,X,O,X,O,X,X,X,X,X
TLIJOZS,X,X,X,X,X,O,X,X,X,X,X
TLISJZO,O,O,X,O,O,O,O,X,X,O,X
TLISJOZ,X,X,X,X,O,O,X,O,X,O,X
TLISZJO,O,O,X,O,O,O,O,X,X,O,X
TLISZOJ,O,O,X,O,O,O,O,O,X,X,X
TLISOJZ,O,X,O,X,O,O,X,O,X,O,X
TLISOZJ,O,O,O,O,O,O,O,O,X,X,X
TLIZJSO,X,X,X,O,O,X,X,X,X,X,X
TLIZJOS,X,X,X,O,X,X,X,X,X,X,X
TLIZSJO,O,O,X,O,O,X,O,X,X,O,X
TLIZSOJ,O,O,X,O,O,X,O,O,X,X,X
TLIZOJS,X,X,X,O,O,X,X,X,X,X,X
TLIZOSJ,O,O,O,O,O,X,X,X,X,X,X
TLIOJSZ,O,X,X,X,O,O,X,X,X,X,X
TLIOJZS,X,X,X,X,O,X,X,X,X,X,X
TLIOSJZ,O,X,O,X,O,O,X,O,X,O,X
TLIOSZJ,O,O,O,X,O,O,O,O,X,X,X
TLIOZJS,X,X,X,X,O,X,X,X,X,X,X
TLIOZSJ,O,X,O,X,O,O,X,X,X,X,X
TLJISZO,O,O,X,O,O,O,O,X,X,X,X
TLJISOZ,X,X,X,O,O,O,X,O,X,X,X
TLJIZSO,X,X,X,O,O,O,X,X,X,X,X
TLJIZOS,X,X,X,O,X,O,X,X,X,X,X
TLJIOSZ,O,X,X,O,X,O,X,X,X,X,X
TLJIOZS,X,X,X,X,X,O,X,X,X,X,X
TLJSIZO,O,O,X,O,O,O,O,X,X,X,X
TLJSIOZ,X,X,X,O,O,O,X,O,X,X,X
TLJSZIO,O,O,X,O,O,O,O,X,X,X,X
TLJSZOI,X,O,X,O,O,O,O,X,X,X,X
TLJSOIZ,X,X,X,O,O,O,X,O,X,X,X
TLJSOZI,X,X,X,O,O,O,X,X,X,X,X
TLJZISO,X,X,X,O,O,O,X,X,X,X,X
TLJZIOS,X,X,X,O,X,O,X,X,X,X,X
TLJZSIO,X,X,X,O,O,O,X,X,X,X,X
TLJZSOI,X,X,X,O,O,O,X,X,X,X,X
TLJZOIS,X,X,X,O,X,O,X,X,X,X,X
TLJZOSI,X,X,X,O,X,O,X,X,X,X,X
TLJOISZ,O,X,X,O,X,O,X,X,X,X,X
TLJOIZS,X,X,X,X,X,O,X,X,X,X,X
TLJOSIZ,O,X,X,O,X,O,X,X,X,X,X
TLJOSZI,O,X,X,O,X,O,X,X,X,X,X
TLJOZIS,X,X,X,X,X,O,X,X,X,X,X
TLJOZSI,X,X,X,X,X,O,X,X,X,X,X
TLSIJZO,O,O,X,O,O,O,O,X,X,O,X
TLSIJOZ,X,X,X,X,O,O,X,O,X,O,X
TLSIZJO,O,O,X,O,O,O,O,X,X,O,X
TLSIZOJ,O,O,X,O,O,O,O,O,X,X,X
TLSIOJZ,O,X,O,X,O,O,X,O,X,O,X
TLSIOZJ,O,O,O,O,O,O,O,O,X,X,X
TLSJIZO,O,O,X,O,O,O,O,X,X,O,X
TLSJIOZ,X,X,X,X,O,O,X,O,X,O,X
TLSJZIO,O,O,X,O,O,O,O,X,O,X,X
TLSJZOI,X,O,X,O,O,O,O,X,O,X,X
TLSJOIZ,X,X,X,X,O,O,X,O,X,X,X
TLSJOZI,X,X,X,X,O,O,X,X,X,X,X
TLSZIJO,O,O,X,O,O,O,O,X,O,X,X
