sequence,v115@GhA8IeC8CeA8CeD8BeB8BeA8Jei/IvhFUhBGiBZoBF?lB/sBzqB,v115@GhA8IeC8CeA8CeD8BeB8BeA8JeT/IvhFigBGiBZoBF?mB/sB0qB,v115@GhA8IeC8CeA8CeD8BeB8BeA8Jei/IvhFGiBZoBUlBF?mB/sBzqB,v115@GhA8IeC8CeA8CeD8BeB8BeA8Jex/IvhFXhBVnBaoBm?kBzqB0sB,v115@GhA8IeC8CeA8CeD8BeB8BeA8JeT/IvhF0gBZoB2qBF?nB6sBXrB,v115@GhA8IeC8CeA8CeD8BeB8BeA8Jei/IvhFRiBFlBXmBm?nB0sBzqB,v115@GhA8IeC8CeA8CeD8BeB8BeA8JeT/IvhFlgBRiB/qBO?rBysB0sB,v115@GhA8IeC8CeA8CeD8BeB8BeA8JeT/IvhFxgB/qBarBF?nB8sBmsB,v115@GhA8IeC8CeA8CeD8BeB8BeA8JeT/IvhFilBRnB0lBl?sBXrBmsB
TILJSZO,O,O,X,O,X,X,X,X,X
TILJSOZ,O,O,X,O,X,X,X,X,X
TILJZSO,O,X,X,O,X,X,X,X,X
TILJZOS,X,X,X,X,O,X,X,X,X
TILJOSZ,X,O,X,O,X,X,X,X,X
TILJOZS,X,X,X,O,O,X,X,X,O
TILSJZO,O,O,O,O,X,X,X,X,X
TILSJOZ,O,O,X,O,X,X,X,X,X
TILSZJO,O,O,O,O,X,O,X,X,X
TILSZOJ,O,O,O,X,X,X,X,X,X
TILSOJZ,O,O,X,O,X,X,X,X,X
TILSOZJ,O,O,X,X,X,X,X,X,O
TILZJSO,O,X,O,X,X,O,X,X,X
TILZJOS,X,X,X,X,X,O,X,X,X
TILZSJO,O,O,O,X,X,O,X,X,X
TILZSOJ,O,O,O,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,X,X,X,O
TILZOSJ,O,O,O,X,X,X,X,X,O
TILOJSZ,X,O,X,O,X,X,X,X,X
TILOJZS,X,X,X,O,O,X,X,X,O
TILOSJZ,O,O,X,O,X,X,X,X,X
TILOSZJ,O,O,X,O,X,X,X,X,O
TILOZJS,X,X,X,X,X,X,X,X,O
TILOZSJ,O,O,X,X,X,X,X,X,O
TIJLSZO,O,O,X,O,X,X,X,X,X
TIJLSOZ,O,O,X,O,X,X,X,X,X
TIJLZSO,O,X,X,O,X,X,X,X,X
TIJLZOS,X,X,X,O,O,X,X,X,X
TIJLOSZ,X,O,X,O,X,X,X,X,X
TIJLOZS,X,X,X,O,O,X,X,X,O
TIJSLZO,O,O,O,O,X,X,X,X,X
TIJSLOZ,O,O,X,O,X,X,X,X,X
TIJSZLO,O,O,O,O,X,X,X,X,X
TIJSZOL,O,O,O,O,O,X,X,X,X
TIJSOLZ,O,O,X,O,X,X,X,X,X
TIJSOZL,O,O,O,O,O,X,X,X,X
TIJZLSO,O,X,O,O,X,X,X,X,X
TIJZLOS,X,X,X,O,O,X,X,X,X
TIJZSLO,O,X,O,O,X,X,X,X,X
TIJZSOL,O,X,O,O,O,X,X,X,X
TIJZOLS,X,X,X,O,O,X,X,X,X
TIJZOSL,X,X,X,O,O,X,X,X,X
TIJOLSZ,X,O,X,O,X,X,X,X,X
TIJOLZS,X,X,X,O,O,X,X,X,O
TIJOSLZ,X,O,X,O,X,X,X,X,X
TIJOSZL,X,O,X,O,O,X,X,X,X
TIJOZLS,X,X,X,O,O,X,X,X,X
TIJOZSL,X,X,X,O,O,X,X,X,X
TISLJZO,O,O,O,O,X,X,X,X,X
TISLJOZ,O,O,X,O,X,X,X,X,X
TISLZJO,O,O,O,O,X,O,X,X,X
TISLZOJ,O,O,O,O,X,X,X,X,X
TISLOJZ,O,O,X,O,X,X,X,X,X
TISLOZJ,O,O,X,X,X,X,X,X,O
TISJLZO,O,O,O,O,X,X,X,X,X
TISJLOZ,O,O,X,O,X,X,X,X,X
TISJZLO,O,O,O,O,X,X,X,X,X
TISJZOL,O,O,O,O,O,X,X,X,X
TISJOLZ,O,O,X,O,X,X,X,X,X
TISJOZL,O,O,O,O,O,X,X,X,X
TISZLJO,O,O,O,O,X,O,X,X,X
TISZLOJ,O,O,O,O,X,X,X,X,X
TISZJLO,O,O,O,O,X,O,X,X,X
TISZJOL,O,O,O,O,X,O,X,X,X
TISZOLJ,O,O,O,O,X,X,X,X,X
TISZOJL,O,O,O,X,X,X,X,X,X
TISOLJZ,O,O,X,O,X,X,X,X,X
TISOLZJ,O,O,X,X,X,X,X,X,O
TISOJLZ,O,O,X,X,X,X,X,X,X
TISOJZL,O,O,O,X,O,X,X,X,X
TISOZLJ,O,O,O,O,X,X,X,X,X
TISOZJL,O,O,O,X,X,X,X,X,X
TIZLJSO,O,O,O,O,X,O,X,X,X
TIZLJOS,X,O,X,O,X,O,X,X,X
TIZLSJO,O,O,O,O,X,O,X,X,X
TIZLSOJ,O,O,O,O,X,X,X,X,X
TIZLOJS,X,O,X,O,X,X,X,X,O
TIZLOSJ,O,O,O,O,X,X,X,X,O
TIZJLSO,O,O,O,O,X,O,X,X,X
TIZJLOS,X,O,X,O,O,O,X,X,X
TIZJSLO,O,O,O,O,X,O,X,X,X
TIZJSOL,O,O,O,O,O,O,X,X,X
TIZJOLS,X,O,X,O,O,O,X,X,X
TIZJOSL,X,O,X,O,O,O,X,X,X
TIZSLJO,O,O,O,O,X,O,X,X,X
TIZSLOJ,O,O,O,O,X,X,X,X,X
TIZSJLO,O,O,O,O,X,O,X,X,X
TIZSJOL,O,O,O,O,X,O,X,X,X
TIZSOLJ,O,O,O,O,X,X,X,X,X
TIZSOJL,O,O,O,X,X,X,X,X,X
TIZOLJS,X,O,X,O,X,X,X,X,O
TIZOLSJ,O,O,O,O,X,X,X,X,O
TIZOJLS,X,O,X,O,O,X,X,X,X
TIZOJSL,X,O,X,O,O,X,X,X,X
TIZOSLJ,O,O,O,O,X,X,X,X,X
TIZOSJL,O,O,O,O,X,X,X,X,X
TIOLJSZ,O,O,X,O,X,X,X,X,X
TIOLJZS,O,X,X,O,O,X,X,X,O
TIOLSJZ,O,O,X,O,X,X,X,X,X
TIOLSZJ,O,O,X,O,X,X,X,X,O
TIOLZJS,O,X,X,X,X,X,X,X,O
TIOLZSJ,O,O,X,X,X,X,X,X,O
TIOJLSZ,O,O,X,O,X,X,X,X,X
TIOJLZS,O,X,X,O,O,X,X,X,O
TIOJSLZ,O,O,X,O,X,X,X,X,X
TIOJSZL,O,O,X,O,O,X,X,X,X
TIOJZLS,O,X,X,O,O,X,X,X,X
TIOJZSL,O,X,X,O,O,X,X,X,X
TIOSLJZ,O,O,X,O,X,X,X,X,X
TIOSLZJ,O,O,X,O,X,X,X,X,O
TIOSJLZ,O,O,X,O,X,X,X,X,X
TIOSJZL,O,O,O,O,O,X,X,X,X
TIOSZLJ,O,O,O,O,X,X,X,X,X
TIOSZJL,O,O,O,O,X,X,X,X,X
TIOZLJS,O,O,X,O,X,X,X,X,O
TIOZLSJ,O,O,O,O,X,X,X,X,O
TIOZJLS,O,O,X,O,O,X,X,X,X
TIOZJSL,O,O,X,O,O,X,X,X,X
TIOZSLJ,O,O,O,O,X,X,X,X,X
TIOZSJL,O,O,O,O,X,X,X,X,X
TLIJSZO,O,O,X,O,X,X,O,X,X
TLIJSOZ,O,O,X,O,X,X,O,X,X
TLIJZSO,O,X,X,O,X,X,X,X,X
TLIJZOS,X,X,X,X,O,X,X,X,X
TLIJOSZ,X,O,X,O,X,X,O,X,X
TLIJOZS,X,X,X,O,O,X,X,X,O
TLISJZO,O,O,O,O,X,X,X,X,X
TLISJOZ,O,O,X,O,X,X,O,X,X
TLISZJO,O,O,O,O,X,O,X,X,X
TLISZOJ,O,O,O,X,X,X,O,X,X
TLISOJZ,O,O,X,O,X,X,O,X,X
TLISOZJ,O,O,X,X,X,X,O,X,O
TLIZJSO,O,X,O,X,X,O,X,X,X
TLIZJOS,X,X,X,X,X,O,X,X,X
TLIZSJO,O,O,O,X,X,O,X,X,X
TLIZSOJ,O,O,O,X,X,X,X,X,X
TLIZOJS,X,X,X,X,X,X,X,X,O
TLIZOSJ,O,O,O,X,X,X,X,X,O
TLIOJSZ,X,O,X,O,X,X,O,X,X
TLIOJZS,X,X,X,O,O,X,X,X,O
TLIOSJZ,O,O,X,O,X,X,O,X,X
TLIOSZJ,O,O,X,O,X,X,O,X,O
TLIOZJS,X,X,X,X,X,X,X,X,O
TLIOZSJ,O,O,X,X,X,X,X,X,O
TLJISZO,O,O,X,O,X,X,O,X,X
TLJISOZ,O,O,X,O,X,X,O,X,X
TLJIZSO,O,X,X,O,X,X,X,X,X
TLJIZOS,X,X,X,O,O,X,X,X,X
TLJIOSZ,X,O,X,O,X,X,O,X,X
TLJIOZS,X,X,X,O,O,X,X,X,O
TLJSIZO,O,O,X,O,X,X,O,X,X
TLJSIOZ,O,O,X,O,X,X,O,X,X
TLJSZIO,O,O,X,O,X,O,O,X,X
TLJSZOI,O,O,X,O,X,O,O,X,X
TLJSOIZ,O,O,X,O,X,X,O,X,X
TLJSOZI,O,O,X,O,X,X,O,X,X
TLJZISO,O,X,X,O,X,O,X,X,X
TLJZIOS,X,X,X,O,O,O,X,X,X
TLJZSIO,O,X,X,O,X,O,X,X,X
TLJZSOI,O,X,X,O,X,O,X,X,X
TLJZOIS,X,X,X,O,O,O,X,X,X
TLJZOSI,X,X,X,O,X,O,X,X,X
TLJOISZ,X,O,X,O,X,X,O,X,X
TLJOIZS,X,X,X,O,O,X,X,X,O
TLJOSIZ,X,O,X,O,X,X,O,X,X
TLJOSZI,X,O,X,O,X,X,O,X,X
TLJOZIS,X,X,X,O,O,X,X,X,X
TLJOZSI,X,X,X,O,X,X,X,X,X
TLSIJZO,O,O,O,O,X,X,X,X,X
TLSIJOZ,O,O,X,O,X,X,O,X,X
TLSIZJO,O,O,O,O,X,O,X,X,X
TLSIZOJ,O,O,O,O,X,X,O,X,X
TLSIOJZ,O,O,X,O,X,X,O,X,X
TLSIOZJ,O,O,X,X,X,X,O,X,O
TLSJIZO,O,O,O,O,X,X,O,X,X
TLSJIOZ,O,O,X,O,X,X,O,X,X
TLSJZIO,O,O,O,O,X,O,O,X,X
TLSJZOI,O,O,O,O,X,O,O,X,X
TLSJOIZ,O,O,X,O,X,X,O,X,X
TLSJOZI,O,O,X,O,X,X,O,X,X
TLSZIJO,O,O,O,O,X,O,X,X,X
TLSZIOJ,O,O,O,O,X,X,O,X,X
TLSZJIO,O,O,O,O,X,O,X,X,X
TLSZJOI,O,O,O,O,X,O,X,X,X
TLSZOIJ,O,O,O,O,X,X,O,X,X
TLSZOJI,O,O,O,O,X,O,X,X,X
TLSOIJZ,O,O,X,O,X,X,O,X,X
TLSOIZJ,O,O,X,O,X,X,O,X,O
TLSOJIZ,O,O,X,O,X,X,O,X,X
TLSOJZI,O,O,X,O,X,X,O,X,X
TLSOZIJ,O,O,X,O,X,X,O,X,X
TLSOZJI,O,O,X,O,X,O,X,X,X
TLZIJSO,O,X,O,O,X,O,X,X,X
TLZIJOS,X,X,X,O,X,O,X,X,X
TLZISJO,O,O,O,O,X,O,X,X,X
TLZISOJ,O,O,O,O,X,X,X,X,X
TLZIOJS,X,X,X,O,X,X,X,X,O
TLZIOSJ,O,O,O,O,X,X,X,X,O
TLZJISO,O,X,O,O,X,O,X,X,X
TLZJIOS,X,X,X,O,X,O,X,X,X
TLZJSIO,O,X,O,O,X,O,X,X,X
TLZJSOI,O,X,O,O,X,O,X,X,X
TLZJOIS,X,X,X,O,X,O,X,X,X
TLZJOSI,X,X,X,O,X,O,X,X,X
TLZSIJO,O,O,O,O,X,O,X,X,X
TLZSIOJ,O,O,O,O,X,X,X,X,X
TLZSJIO,O,O,O,O,X,O,X,X,X
TLZSJOI,O,O,O,O,X,O,X,X,X
TLZSOIJ,O,O,O,O,X,X,X,X,X
TLZSOJI,O,O,O,O,X,O,X,X,X
TLZOIJS,X,X,X,O,X,X,X,X,O
TLZOISJ,O,O,O,O,X,X,X,X,O
TLZOJIS,X,X,X,O,X,O,X,X,X
TLZOJSI,X,X,X,O,X,O,X,X,X
TLZOSIJ,O,O,O,O,X,X,X,X,X
TLZOSJI,O,O,O,O,X,O,X,X,X
TLOIJSZ,X,O,X,O,X,X,O,X,X
TLOIJZS,X,X,X,O,O,X,X,X,O
TLOISJZ,O,O,X,O,X,X,O,X,X
TLOISZJ,O,O,X,O,X,X,O,X,O
TLOIZJS,X,X,X,X,X,X,X,X,O
TLOIZSJ,O,O,X,X,X,X,X,X,O
TLOJISZ,X,O,X,O,X,X,O,X,X
TLOJIZS,X,X,X,O,O,X,X,X,O
TLOJSIZ,X,O,X,O,X,X,O,X,X
TLOJSZI,X,O,X,O,X,X,O,X,X
TLOJZIS,X,X,X,O,O,X,X,X,X
TLOJZSI,X,X,X,O,X,X,X,X,X
TLOSIJZ,O,O,X,O,X,X,O,X,X
TLOSIZJ,O,O,X,O,X,X,O,X,O
TLOSJIZ,O,O,X,O,X,X,O,X,X
TLOSJZI,O,O,X,O,X,X,O,X,X
TLOSZIJ,O,O,X,O,X,X,O,X,X
TLOSZJI,O,O,X,O,X,O,X,X,X
TLOZIJS,X,X,X,O,X,X,X,X,O
TLOZISJ,O,O,X,O,X,X,X,X,O
TLOZJIS,X,X,X,O,X,O,X,X,X
TLOZJSI,X,X,X,O,X,O,X,X,X
