sequence,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF9lBThB0iB6oB2s?BXrB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF9lBThBKnBGjBUo?BXrB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF9lBihBziB+oBUn?BXrB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF3gB9mB0iB6oB2s?BzqB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF3gB9mBKnBGjBUo?BzqB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF9lBKnBGjBTmBUo?BXrB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF9lB2mBCjBToBUn?BXrB
TILJSZO,O,O,X,O,O,X,X
TILJSOZ,O,O,X,O,X,X,X
TILJZSO,O,O,O,O,O,O,X
TILJZOS,O,O,O,O,O,O,X
TILJOSZ,O,X,X,O,X,X,X
TILJOZS,O,X,O,O,X,O,X
TILSJZO,O,O,X,O,O,X,X
TILSJOZ,O,O,X,O,X,X,X
TILSZJO,O,O,X,O,O,O,X
TILSZOJ,O,O,X,X,O,O,X
TILSOJZ,O,O,X,O,X,X,X
TILSOZJ,O,O,X,X,O,O,X
TILZJSO,O,O,O,O,O,O,X
TILZJOS,O,O,O,O,O,O,X
TILZSJO,X,O,O,O,O,O,X
TILZSOJ,X,O,X,X,O,O,X
TILZOJS,X,O,O,X,O,O,X
TILZOSJ,X,O,X,X,O,O,X
TILOJSZ,O,X,X,O,O,X,X
TILOJZS,O,X,X,O,O,O,X
TILOSJZ,X,O,X,O,O,X,X
TILOSZJ,X,O,X,O,O,O,X
TILOZJS,X,O,X,O,O,O,X
TILOZSJ,X,O,X,O,O,O,X
TIJLSZO,O,O,X,O,O,X,X
TIJLSOZ,O,O,X,O,X,X,X
TIJLZSO,O,O,O,O,O,O,X
TIJLZOS,O,O,O,O,O,O,X
TIJLOSZ,O,X,X,O,X,X,X
TIJLOZS,O,X,O,O,X,O,X
TIJSLZO,O,X,O,O,O,X,X
TIJSLOZ,O,X,O,O,X,X,X
TIJSZLO,O,X,O,O,X,X,X
TIJSZOL,O,X,O,O,X,X,X
TIJSOLZ,O,X,O,O,X,X,X
TIJSOZL,O,X,O,O,X,X,X
TIJZLSO,O,O,O,O,X,O,X
TIJZLOS,O,O,O,O,X,O,X
TIJZSLO,O,O,O,O,X,O,X
TIJZSOL,O,X,O,O,X,O,X
TIJZOLS,O,O,O,O,X,O,X
TIJZOSL,O,X,O,O,X,O,X
TIJOLSZ,O,X,X,O,X,X,X
TIJOLZS,O,X,O,O,X,O,X
