sequence,v115@QhA8BeB8DeG8CeB8JeOEJvhF8kBChBxiBTmBXsBlsB,v115@QhA8BeB8DeG8CeB8Jei/IvhFzgBUiBFjB3kBxrBWxB,v115@QhA8BeB8DeG8CeB8JeKEJvhFzfBRhBFjBUmBXsBGsB,v115@QhA8BeB8DeG8CeB8JefGJvhF0hBxiBlkBusBikBzrB,v115@QhA8BeB8DeG8CeB8JeKEJvhFzfBWmBFjBxrB/sB0rB,v115@QhA8BeB8DeG8CeB8Jem/IvhFfmBxiBTkBlnBUsB6rB
TILJSZO,X,X,X,O,O,X
TILJSOZ,X,X,X,X,O,X
TILJZSO,X,X,X,X,O,X
TILJZOS,X,X,X,X,O,X
TILJOSZ,X,X,X,O,O,X
TILJOZS,X,X,X,X,O,X
TILSJZO,X,O,X,O,O,X
TILSJOZ,X,O,X,X,O,X
TILSZJO,X,O,O,X,O,X
TILSZOJ,X,O,O,X,O,X
TILSOJZ,X,O,X,X,O,X
TILSOZJ,X,O,O,X,O,X
TILZJSO,O,X,X,X,O,X
TILZJOS,O,X,O,X,O,X
TILZSJO,X,O,O,X,O,X
TILZSOJ,X,O,O,X,O,O
TILZOJS,X,X,O,X,O,O
TILZOSJ,X,O,O,X,O,O
TILOJSZ,X,X,X,X,O,X
TILOJZS,X,X,X,X,O,O
TILOSJZ,X,O,X,X,O,X
TILOSZJ,X,O,O,X,O,X
TILOZJS,X,X,O,X,O,O
TILOZSJ,X,O,O,X,O,O
TIJLSZO,X,X,X,O,O,X
TIJLSOZ,X,X,X,X,O,X
TIJLZSO,X,X,X,X,O,X
TIJLZOS,X,X,X,X,O,X
TIJLOSZ,X,X,X,O,O,X
TIJLOZS,X,X,X,X,O,X
TIJSLZO,X,O,X,O,O,X
TIJSLOZ,X,O,X,X,O,X
TIJSZLO,X,O,X,O,X,X
TIJSZOL,X,O,X,O,X,X
TIJSOLZ,X,O,X,O,X,X
TIJSOZL,X,O,X,O,X,X
TIJZLSO,X,X,X,X,O,X
TIJZLOS,X,X,X,X,O,X
TIJZSLO,X,O,X,O,X,X
TIJZSOL,X,O,X,O,X,O
TIJZOLS,X,X,X,X,X,O
TIJZOSL,X,O,X,O,X,O
TIJOLSZ,X,X,X,O,O,X
TIJOLZS,X,X,X,X,O,O
TIJOSLZ,X,O,X,O,X,X
TIJOSZL,X,O,X,O,X,O
TIJOZLS,X,X,X,X,X,O
TIJOZSL,X,O,X,O,X,O
TISLJZO,X,O,X,O,O,X
TISLJOZ,X,O,X,X,O,X
TISLZJO,O,O,O,X,O,X
TISLZOJ,X,O,O,X,O,X
TISLOJZ,X,O,X,X,O,X
TISLOZJ,X,O,O,X,O,X
TISJLZO,X,O,X,O,O,X
