sequence,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeRBJvhFCjBllB3mBT?oB2vB0sB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je3AJvhF1mB0iB6oB2?vBRrBzsB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JezAJvhFfnBxiBKqBu?sBctBFrB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeRBJvhFziB+oBilB3?mB1vB0sB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je3AJvhF1mBxiBusBc?tBTqBirB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JezAJvhFGjBKqBRnBU?nBFrBXtB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je8GJvhFWoBKqBzlBx?sBFrBXtB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeXDJvhFxlBVsBctBa?rBTqBGsB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeRBJvhFGjBTlB0mBl?nByvBXtB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeRBJvhF+oBKqBfrB0?mBlnBzsB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je1FJvhF3mBTqBxsBu?sBctBirB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je3BJvhFOqBlnBctBR?rBzqBCtB
TIZJSLO,X,O,X,O,X,X,X,X,X,X,X,X
TIZJSOL,X,X,X,O,X,X,X,O,X,X,X,X
TIZJOLS,X,X,X,O,X,X,X,X,X,X,X,X
TIZJOSL,X,X,X,O,X,X,X,X,X,X,X,X
TIZSLJO,X,O,X,O,X,X,X,X,X,X,X,X
TIZSLOJ,X,O,X,X,X,X,X,O,X,X,X,X
TIZSJLO,X,O,X,O,X,X,X,X,X,X,X,X
TIZSJOL,X,X,X,O,X,X,X,O,X,X,X,X
TIZSOLJ,X,O,X,X,X,X,X,O,X,X,X,X
TIZSOJL,X,O,X,O,X,X,X,O,X,X,X,X
TIZOLJS,X,O,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,O,X,X,X,X,X,O,X,X,X,X
TIZOJLS,X,O,X,X,X,X,X,X,X,X,X,X
TIZOJSL,X,O,X,X,X,X,X,O,X,X,X,X
TIZOSLJ,X,O,X,X,X,X,X,O,X,X,X,X
TIZOSJL,X,O,X,X,X,X,X,O,X,X,X,X
TIOLJSZ,X,O,X,X,X,X,X,X,X,X,X,X
TIOLJZS,X,O,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,O,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,O,X,X,X,X,X,X,X,X,O,X
TIOLZJS,X,O,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,O,X,X,X,X,X,O,X,X,X,X
TIOJLSZ,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLZS,X,O,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,O,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,O,X,X,X,X,X,X,X,X,O,X
TIOJZLS,X,O,X,X,X,X,X,X,X,X,X,X
TIOJZSL,X,O,X,X,X,X,X,O,X,X,X,X
TIOSLJZ,X,O,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,O,X,X,X,X,X,X,X,X,O,X
TIOSJLZ,X,O,X,X,X,X,X,X,X,X,X,X
TIOSJZL,X,O,X,X,X,X,X,X,X,X,O,X
TIOSZLJ,X,O,X,X,X,X,X,O,X,X,O,X
TIOSZJL,X,O,X,X,X,X,X,O,X,X,O,X
TIOZLJS,X,O,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,O,X,X,X,X,X,O,X,X,X,X
TIOZJLS,X,O,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,O,X,X,X,X,X,O,X,X,X,X
TIOZSLJ,X,O,X,X,X,X,X,O,X,X,O,X
TIOZSJL,X,O,X,X,X,X,X,O,X,X,O,X
TLIJSZO,X,O,X,O,O,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,O,X,O,X,X,X,X,X,X
TLIJZSO,X,O,X,O,X,X,X,X,X,X,X,X
TLIJZOS,X,X,X,O,X,O,O,X,X,X,X,X
TLIJOSZ,X,X,X,O,X,O,X,X,X,X,X,X
TLIJOZS,X,X,X,O,X,O,O,X,X,X,X,X
TLISJZO,X,O,X,O,O,O,X,X,X,X,X,X
TLISJOZ,X,X,O,O,X,O,X,X,X,X,X,X
TLISZJO,X,O,O,O,O,O,X,X,X,X,X,X
TLISZOJ,X,O,O,O,O,O,X,X,X,X,X,X
TLISOJZ,X,X,O,O,X,O,X,X,X,X,X,X
TLISOZJ,X,O,O,O,O,O,X,X,X,X,X,X
TLIZJSO,X,O,O,O,O,X,X,X,X,X,X,X
TLIZJOS,X,X,O,O,O,O,O,X,X,X,X,X
TLIZSJO,X,O,O,O,O,X,X,X,X,X,X,X
TLIZSOJ,X,O,O,O,O,X,X,O,X,X,X,X
TLIZOJS,X,X,O,O,X,O,O,X,X,X,X,X
TLIZOSJ,X,O,O,X,O,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,O,X,O,X,X,X,X,X,X
TLIOJZS,X,X,X,O,X,O,O,X,X,X,X,X
TLIOSJZ,X,X,O,O,X,O,X,X,X,X,X,X
TLIOSZJ,X,O,O,O,O,O,X,X,X,X,X,X
TLIOZJS,X,X,O,O,X,O,O,X,X,X,X,X
TLIOZSJ,X,O,O,X,X,X,X,X,X,X,X,X
TLJISZO,X,O,X,O,O,X,X,X,X,O,X,X
TLJISOZ,X,O,X,O,X,O,X,X,X,X,X,X
TLJIZSO,X,O,X,O,X,X,X,X,X,X,X,X
TLJIZOS,X,O,X,O,X,O,X,X,X,X,X,X
TLJIOSZ,X,O,X,O,X,O,X,X,X,X,X,X
TLJIOZS,X,O,X,O,X,O,X,X,X,X,X,X
TLJSIZO,X,O,X,O,O,O,X,X,X,O,X,X
TLJSIOZ,X,O,O,O,X,O,X,X,X,X,X,X
TLJSZIO,X,X,O,O,O,O,X,X,X,O,X,X
TLJSZOI,X,X,O,O,O,O,X,X,X,O,X,X
TLJSOIZ,X,O,O,O,X,O,X,X,X,X,X,X
TLJSOZI,X,X,O,O,X,O,X,X,X,O,X,X
TLJZISO,X,X,O,O,O,X,X,X,X,X,X,X
TLJZIOS,X,X,O,O,O,X,X,X,X,X,X,X
TLJZSIO,X,X,O,O,O,X,X,X,X,O,X,X
TLJZSOI,X,X,O,O,O,X,X,X,X,O,X,X
TLJZOIS,X,X,O,O,O,X,X,X,X,X,X,X
TLJZOSI,X,X,O,O,O,X,X,X,X,X,X,X
TLJOISZ,X,O,X,O,X,O,X,X,X,X,X,X
TLJOIZS,X,O,X,O,X,O,X,X,X,X,X,X
TLJOSIZ,X,O,O,O,X,O,X,X,X,X,X,X
TLJOSZI,X,X,O,O,X,O,X,X,X,O,X,X
TLJOZIS,X,O,O,O,X,X,X,X,X,X,X,X
TLJOZSI,X,X,O,O,X,X,X,X,X,X,X,X
TLSIJZO,X,X,X,O,O,O,X,X,O,O,X,X
TLSIJOZ,X,X,O,O,X,O,X,X,O,X,X,X
TLSIZJO,X,X,O,O,O,O,X,X,O,O,X,X
TLSIZOJ,X,X,O,O,O,O,X,X,O,X,X,X
TLSIOJZ,X,X,O,O,X,O,X,X,O,X,X,X
TLSIOZJ,X,X,O,O,O,O,X,X,X,X,X,X
TLSJIZO,X,X,X,O,O,O,X,X,O,O,X,X
TLSJIOZ,X,X,O,O,X,O,X,X,O,X,X,X
TLSJZIO,X,X,O,O,O,O,X,X,O,O,X,X
TLSJZOI,X,X,O,O,O,O,X,X,O,O,X,X
TLSJOIZ,X,X,O,O,X,O,X,X,O,X,X,X
TLSJOZI,X,X,O,O,X,O,X,X,O,O,X,X
TLSZIJO,X,X,O,O,O,O,X,X,O,O,X,X
TLSZIOJ,X,X,O,O,O,O,X,X,O,X,X,X
TLSZJIO,X,X,O,O,O,O,X,X,O,O,X,X
TLSZJOI,X,X,O,O,O,O,X,X,O,O,X,X
TLSZOIJ,X,X,O,O,O,O,X,X,O,X,X,X
TLSZOJI,X,X,O,O,O,O,X,X,O,X,X,X
TLSOIJZ,X,X,O,O,X,O,X,X,O,X,X,X
TLSOIZJ,X,X,O,O,O,O,X,X,X,X,X,X
TLSOJIZ,X,X,O,O,X,O,X,X,O,X,X,X
TLSOJZI,X,X,O,O,X,O,X,X,O,X,X,X
TLSOZIJ,X,X,O,O,O,O,X,X,O,X,X,X
TLSOZJI,X,X,O,O,O,O,X,X,O,X,X,X
TLZIJSO,X,X,O,O,O,X,X,X,O,X,X,X
TLZIJOS,X,X,O,O,O,O,O,X,O,X,X,X
TLZISJO,X,X,O,O,O,X,X,X,O,X,X,X
TLZISOJ,X,X,O,O,O,X,X,O,O,X,X,X
TLZIOJS,X,X,O,O,X,O,O,X,O,X,X,X
TLZIOSJ,X,X,O,X,O,X,X,X,X,X,X,X
TLZJISO,X,X,O,O,O,X,X,X,O,X,X,X
TLZJIOS,X,X,O,O,O,X,X,X,O,X,X,X
TLZJSIO,X,X,O,O,O,X,X,X,O,X,X,X
TLZJSOI,X,X,O,O,O,X,X,X,X,X,X,X
TLZJOIS,X,X,O,O,O,X,X,X,O,X,X,X
TLZJOSI,X,X,O,O,O,X,X,X,X,X,X,X
TLZSIJO,X,X,O,O,O,O,X,X,O,X,X,X
TLZSIOJ,X,X,O,O,O,O,X,O,O,X,X,X
TLZSJIO,X,X,O,O,O,O,X,X,O,X,X,X
TLZSJOI,X,X,O,O,O,O,X,X,O,X,X,X
TLZSOIJ,X,X,O,O,O,O,X,O,O,X,X,X
TLZSOJI,X,X,O,O,O,O,X,X,O,X,X,X
TLZOIJS,X,X,O,O,X,O,O,X,O,X,X,X
TLZOISJ,X,X,O,X,O,X,X,O,X,X,X,X
TLZOJIS,X,X,O,O,O,X,X,X,O,X,X,X
TLZOJSI,X,X,O,O,O,X,X,X,X,X,X,X
TLZOSIJ,X,X,O,O,O,O,X,O,X,X,X,X
TLZOSJI,X,X,O,O,O,O,X,X,X,X,X,X
TLOIJSZ,X,O,X,O,X,O,X,X,X,X,X,X
TLOIJZS,X,O,X,O,X,O,O,X,X,X,X,X
TLOISJZ,X,O,O,O,X,O,X,X,X,X,X,X
TLOISZJ,X,O,O,O,O,O,X,X,X,X,X,X
TLOIZJS,X,O,O,O,X,O,O,X,X,X,X,X
TLOIZSJ,X,O,O,X,X,X,X,O,X,X,X,X
TLOJISZ,X,O,X,O,X,O,X,X,X,X,X,X
TLOJIZS,X,O,X,O,X,O,X,X,X,X,X,X
TLOJSIZ,X,O,O,O,X,O,X,X,X,X,X,X
TLOJSZI,X,X,O,O,X,O,X,X,X,X,X,X
TLOJZIS,X,O,O,O,X,X,X,X,X,X,X,X
TLOJZSI,X,X,O,O,X,X,X,X,X,X,X,X
TLOSIJZ,X,X,O,O,X,O,X,X,X,X,X,X
TLOSIZJ,X,X,O,O,O,O,X,X,X,X,X,X
TLOSJIZ,X,X,O,O,X,O,X,X,X,X,X,X
TLOSJZI,X,X,O,O,X,O,X,X,X,X,X,X
TLOSZIJ,X,X,O,O,O,O,X,X,X,X,X,X
TLOSZJI,X,X,O,O,O,O,X,X,X,X,X,X
TLOZIJS,X,O,O,O,X,O,O,X,X,X,X,X
TLOZISJ,X,O,O,X,O,X,X,O,X,X,X,X
TLOZJIS,X,O,O,O,O,X,X,X,X,X,X,X
TLOZJSI,X,X,O,O,O,X,X,X,X,X,X,X
TLOZSIJ,X,X,O,O,O,O,X,O,X,X,X,X
TLOZSJI,X,X,O,O,O,O,X,X,X,X,X,X
TJILSZO,O,O,X,O,X,X,X,X,X,O,X,X
TJILSOZ,O,O,X,O,X,X,X,X,X,X,X,X
TJILZSO,O,O,X,O,X,X,X,X,X,X,X,X
TJILZOS,O,O,X,O,X,X,X,X,X,X,X,X
TJILOSZ,O,O,X,O,X,X,X,X,X,X,X,X
TJILOZS,O,O,X,O,X,X,X,X,X,X,X,X
TJISLZO,O,O,X,O,X,X,X,X,X,X,X,X
TJISLOZ,O,O,X,O,X,X,X,X,X,X,X,X
TJISZLO,O,O,X,O,X,X,X,X,X,X,X,O
TJISZOL,O,O,X,O,X,X,X,X,X,X,X,O
TJISOLZ,O,O,X,O,X,X,X,X,X,X,X,X
TJISOZL,O,O,X,O,X,X,X,X,X,X,X,X
TJIZLSO,O,O,X,O,X,X,X,X,X,X,X,O
TJIZLOS,O,O,X,O,X,X,X,X,X,X,X,X
