sequence,v115@HhA8IeB8CeA8DeB8BeF8Jex/IvhFThB0iB6oBFlB2s?B3qB,v115@HhA8IeB8CeA8DeB8BeF8Jex/IvhFThBKnBGjBFlBUo?B3qB,v115@HhA8IeB8CeA8DeB8BeF8Jel/IvhFRhBfoB6oBmlBUn?BTqB,v115@HhA8IeB8CeA8DeB8BeF8Jel/IvhFclBxmBToBmmBCo?B3qB
TILJSZO,O,X,O,X
TILJSOZ,O,X,O,X
TILJZSO,O,O,X,X
TILJZOS,O,O,X,X
TILJOSZ,O,X,X,X
TILJOZS,O,O,X,X
TILSJZO,O,X,O,X
TILSJOZ,O,X,O,X
TILSZJO,X,O,X,X
TILSZOJ,X,O,X,X
TILSOJZ,O,X,X,X
TILSOZJ,X,O,X,X
TILZJSO,O,O,X,X
TILZJOS,O,O,X,X
TILZSJO,X,O,X,X
TILZSOJ,X,O,X,X
TILZOJS,O,O,X,X
TILZOSJ,X,O,X,X
TILOJSZ,O,X,X,X
TILOJZS,O,O,X,X
TILOSJZ,O,X,X,X
TILOSZJ,X,O,X,X
TILOZJS,O,O,X,X
TILOZSJ,X,O,X,X
TIJLSZO,O,X,O,X
TIJLSOZ,O,X,O,X
TIJLZSO,O,O,O,X
TIJLZOS,O,O,X,X
TIJLOSZ,O,X,X,X
TIJLOZS,O,O,X,X
TIJSLZO,O,X,O,X
TIJSLOZ,O,X,O,X
TIJSZLO,O,X,O,X
TIJSZOL,O,X,O,X
TIJSOLZ,O,X,O,X
TIJSOZL,O,X,X,X
TIJZLSO,O,O,O,X
TIJZLOS,O,O,X,X
TIJZSLO,O,O,O,X
TIJZSOL,O,X,O,X
TIJZOLS,O,O,X,X
TIJZOSL,O,X,O,X
TIJOLSZ,O,X,X,X
TIJOLZS,O,O,X,X
TIJOSLZ,O,X,O,X
TIJOSZL,O,X,X,X
TIJOZLS,O,X,X,X
TIJOZSL,O,X,O,X
TISLJZO,O,X,O,X
TISLJOZ,O,X,O,X
TISLZJO,X,O,X,X
TISLZOJ,X,O,X,X
TISLOJZ,O,X,X,X
TISLOZJ,X,O,X,X
TISJLZO,O,X,O,X
TISJLOZ,O,X,O,X
TISJZLO,O,X,O,X
TISJZOL,O,X,X,X
TISJOLZ,O,X,O,X
TISJOZL,O,X,X,X
TISZLJO,X,O,X,X
TISZLOJ,X,O,X,O
TISZJLO,X,O,X,X
TISZJOL,X,X,X,O
TISZOLJ,X,X,X,O
TISZOJL,X,X,X,O
TISOLJZ,O,X,X,X
TISOLZJ,X,O,X,X
TISOJLZ,O,X,X,X
TISOJZL,O,X,X,X
TISOZLJ,X,X,X,O
TISOZJL,X,X,X,O
TIZLJSO,O,O,X,X
TIZLJOS,O,O,X,X
TIZLSJO,X,O,O,X
TIZLSOJ,X,O,O,X
TIZLOJS,O,O,X,X
TIZLOSJ,X,O,X,X
TIZJLSO,O,O,O,X
TIZJLOS,O,O,X,X
TIZJSLO,O,O,O,X
TIZJSOL,O,X,O,X
TIZJOLS,O,O,X,X
TIZJOSL,O,X,O,X
TIZSLJO,X,O,O,X
TIZSLOJ,X,O,O,X
TIZSJLO,X,O,O,X
TIZSJOL,X,X,O,X
TIZSOLJ,X,X,O,X
TIZSOJL,X,X,O,X
TIZOLJS,O,O,X,X
