sequence,v115@XhD8BeH8Jex/IvhF8lBGiBTjB3mBlpBipB,v115@XhD8BeH8Jex/IvhF8lBGiBTjB3mBipBlpB,v115@XhD8BeH8Jei/IvhFfmBGjBUlBRnBlmBTpB,v115@XhD8BeH8JeRAJvhFGiBTjB0lBlmBipB/pB,v115@XhD8BeH8JeZEJvhFfmBSnBTjBupBUqBlrB,v115@XhD8BeH8JeZEJvhFfmBSnBTjBUlBupBlrB
TILJSZO,X,X,X,X,X,X
TILJSOZ,X,X,X,X,O,X
TILJZSO,X,X,X,O,X,X
TILJZOS,X,X,X,O,X,X
TILJOSZ,X,X,X,X,O,X
TILJOZS,X,X,X,O,X,X
TILSJZO,X,X,X,X,X,X
TILSJOZ,X,X,X,X,O,X
TILSZJO,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,O
TILSOJZ,X,X,X,X,O,X
TILSOZJ,X,X,X,X,X,O
TILZJSO,X,X,X,O,X,X
TILZJOS,X,X,X,O,X,X
TILZSJO,X,X,X,O,X,X
TILZSOJ,X,X,X,O,X,O
TILZOJS,X,X,X,O,X,X
TILZOSJ,X,X,X,O,X,O
TILOJSZ,X,X,X,X,O,X
TILOJZS,X,X,X,O,X,X
TILOSJZ,X,X,X,X,O,X
TILOSZJ,X,X,X,X,X,O
TILOZJS,X,X,X,O,X,X
TILOZSJ,X,X,X,O,X,O
TIJLSZO,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,O,X
TIJLZSO,X,X,X,O,X,X
TIJLZOS,X,X,X,O,X,X
TIJLOSZ,X,X,X,X,O,X
TIJLOZS,X,X,X,O,X,X
TIJSLZO,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,O,X
TIJSZLO,O,X,O,X,X,X
TIJSZOL,O,X,X,X,X,X
TIJSOLZ,X,X,X,X,O,X
TIJSOZL,O,X,X,X,X,X
TIJZLSO,X,X,O,O,X,X
TIJZLOS,O,X,X,O,X,X
TIJZSLO,X,X,O,X,X,X
TIJZSOL,O,X,X,X,X,X
TIJZOLS,O,X,X,O,X,X
TIJZOSL,O,X,X,X,X,X
TIJOLSZ,X,X,X,X,O,X
TIJOLZS,X,X,O,O,X,X
TIJOSLZ,X,X,X,X,O,X
TIJOSZL,O,X,X,X,X,X
TIJOZLS,O,X,O,O,X,X
TIJOZSL,O,X,O,X,X,X
TISLJZO,X,X,X,X,X,X
TISLJOZ,X,X,X,X,O,X
TISLZJO,X,X,X,X,X,X
TISLZOJ,X,X,X,X,X,O
TISLOJZ,X,X,X,X,O,X
TISLOZJ,X,X,X,X,X,O
TISJLZO,X,X,X,X,X,X
TISJLOZ,X,X,X,X,O,X
TISJZLO,O,X,O,X,X,X
TISJZOL,O,X,X,X,X,X
TISJOLZ,X,X,X,X,O,X
TISJOZL,O,X,X,X,X,X
TISZLJO,O,X,O,X,X,X
TISZLOJ,O,X,X,X,X,O
TISZJLO,O,X,O,X,X,X
TISZJOL,O,X,X,X,X,X
TISZOLJ,O,X,X,X,X,O
TISZOJL,O,X,X,X,X,X
TISOLJZ,X,X,X,X,O,X
TISOLZJ,X,X,X,X,X,O
TISOJLZ,X,X,X,X,O,X
TISOJZL,O,X,X,X,X,X
TISOZLJ,O,X,X,X,X,O
TISOZJL,O,X,X,X,X,X
TIZLJSO,X,X,O,O,X,X
TIZLJOS,O,X,X,O,X,X
TIZLSJO,X,X,O,O,X,X
TIZLSOJ,X,X,X,O,X,O
TIZLOJS,O,X,X,O,X,X
TIZLOSJ,X,X,X,O,X,O
TIZJLSO,X,X,O,O,X,X
TIZJLOS,O,X,X,O,X,X
TIZJSLO,X,X,O,X,X,X
TIZJSOL,O,X,X,X,X,X
TIZJOLS,O,X,X,O,X,X
TIZJOSL,O,X,X,X,X,X
TIZSLJO,X,X,O,X,X,X
TIZSLOJ,X,X,X,X,X,O
TIZSJLO,X,X,O,X,X,X
TIZSJOL,O,X,X,X,X,X
TIZSOLJ,X,X,X,X,X,O
TIZSOJL,O,X,X,X,X,X
TIZOLJS,O,X,X,O,X,X
TIZOLSJ,X,X,X,O,X,O
TIZOJLS,O,X,X,O,X,X
TIZOJSL,O,X,X,X,X,X
TIZOSLJ,X,X,X,X,X,O
TIZOSJL,O,X,X,X,X,X
TIOLJSZ,X,X,X,X,O,X
TIOLJZS,X,X,O,O,X,X
TIOLSJZ,X,X,X,X,O,X
TIOLSZJ,X,X,X,X,X,O
TIOLZJS,X,X,O,O,X,X
TIOLZSJ,X,X,O,O,X,O
TIOJLSZ,X,X,X,X,O,X
TIOJLZS,X,X,O,O,X,X
TIOJSLZ,X,X,X,X,O,X
TIOJSZL,O,X,X,X,X,X
TIOJZLS,O,X,O,O,X,X
TIOJZSL,O,X,O,X,X,X
TIOSLJZ,X,X,X,X,O,X
