sequence,v115@LhA8CeA8DeB8CeA8AeF8BeA8Kei/IvhF3gBzhBunB5?oB1pBUsB,v115@LhA8CeA8DeB8CeA8AeF8BeA8KeKEJvhFflBlgBzhBu?nB5oBUsB,v115@LhA8CeA8DeB8CeA8AeF8BeA8KeT/IvhFlgB3iB5oBy?pBWsBUsB,v115@LhA8CeA8DeB8CeA8AeF8BeA8Kei/IvhF3gBunB5oB1?pBzmBUsB
ITZJSLO,O,X,O,O
ITZJSOL,O,X,X,O
ITZJOLS,O,O,X,O
ITZJOSL,O,X,X,O
ITZSLJO,O,X,O,O
ITZSLOJ,O,X,O,O
ITZSJLO,O,X,O,O
ITZSJOL,O,X,X,O
ITZSOLJ,O,X,X,O
ITZSOJL,O,X,X,O
ITZOLJS,O,O,X,O
ITZOLSJ,O,O,X,O
ITZOJLS,O,O,X,O
ITZOJSL,O,X,X,O
ITZOSLJ,O,X,X,O
ITZOSJL,O,X,X,O
ITOLJSZ,O,X,O,O
ITOLJZS,O,X,O,O
ITOLSJZ,O,X,O,O
ITOLSZJ,O,X,O,O
ITOLZJS,O,X,O,O
ITOLZSJ,O,X,O,O
ITOJLSZ,O,X,O,O
ITOJLZS,O,X,O,O
ITOJSLZ,O,X,O,O
ITOJSZL,O,X,X,O
ITOJZLS,O,X,X,O
ITOJZSL,O,X,X,O
ITOSLJZ,O,X,O,O
ITOSLZJ,O,X,O,O
ITOSJLZ,O,X,O,O
ITOSJZL,O,X,X,O
ITOSZLJ,O,X,X,O
ITOSZJL,O,X,X,O
ITOZLJS,O,X,X,O
ITOZLSJ,O,X,X,O
ITOZJLS,O,X,X,O
ITOZJSL,O,X,X,O
ITOZSLJ,O,X,X,O
ITOZSJL,O,X,X,O
ILTJSZO,O,O,O,O
ILTJSOZ,O,O,O,O
ILTJZSO,O,O,O,O
ILTJZOS,O,O,O,O
ILTJOSZ,O,X,O,O
ILTJOZS,O,X,O,O
ILTSJZO,O,O,O,O
ILTSJOZ,O,O,O,O
ILTSZJO,O,O,O,O
ILTSZOJ,O,O,O,O
ILTSOJZ,O,O,O,O
ILTSOZJ,O,O,O,O
ILTZJSO,O,O,O,O
ILTZJOS,O,O,O,O
ILTZSJO,O,O,O,O
ILTZSOJ,O,O,O,O
ILTZOJS,O,O,O,O
ILTZOSJ,O,O,O,O
ILTOJSZ,O,X,O,O
ILTOJZS,O,X,O,O
ILTOSJZ,O,X,O,O
ILTOSZJ,O,X,O,O
ILTOZJS,O,X,O,O
ILTOZSJ,O,X,O,O
ILJTSZO,O,O,O,O
ILJTSOZ,O,O,O,O
ILJTZSO,O,O,O,O
ILJTZOS,O,O,O,O
ILJTOSZ,O,X,O,O
ILJTOZS,O,X,O,O
ILJSTZO,O,O,O,O
ILJSTOZ,O,O,O,O
ILJSZTO,O,O,O,X
ILJSZOT,O,O,O,X
ILJSOTZ,X,O,O,O
ILJSOZT,X,O,O,X
ILJZTSO,O,O,O,X
ILJZTOS,O,O,O,X
ILJZSTO,O,O,O,X
ILJZSOT,O,O,O,X
ILJZOTS,O,O,O,X
ILJZOST,O,O,O,X
ILJOTSZ,X,X,O,O
ILJOTZS,X,X,O,O
ILJOSTZ,X,O,O,O
ILJOSZT,X,O,O,X
ILJOZTS,X,O,O,X
ILJOZST,X,O,O,X
ILSTJZO,O,O,O,O
ILSTJOZ,O,O,O,O
ILSTZJO,O,O,O,O
ILSTZOJ,O,O,O,O
ILSTOJZ,O,O,O,O
ILSTOZJ,O,O,O,O
ILSJTZO,O,O,O,O
ILSJTOZ,O,O,O,O
ILSJZTO,O,O,O,X
ILSJZOT,O,O,O,X
ILSJOTZ,X,O,O,O
ILSJOZT,X,O,O,X
ILSZTJO,O,O,O,X
ILSZTOJ,O,O,O,X
ILSZJTO,O,O,O,X
ILSZJOT,O,O,O,X
ILSZOTJ,O,O,O,X
ILSZOJT,O,O,O,X
ILSOTJZ,X,O,O,O
ILSOTZJ,X,O,O,O
ILSOJTZ,X,O,O,O
ILSOJZT,X,O,O,X
ILSOZTJ,X,O,O,X
ILSOZJT,X,O,O,X
ILZTJSO,O,O,O,X
ILZTJOS,O,O,O,X
ILZTSJO,O,O,O,X
ILZTSOJ,O,O,O,X
ILZTOJS,O,O,O,X
ILZTOSJ,O,O,O,X
ILZJTSO,O,O,O,X
ILZJTOS,O,O,O,X
ILZJSTO,O,O,O,X
ILZJSOT,O,O,O,X
ILZJOTS,O,O,O,X
ILZJOST,O,O,O,X
ILZSTJO,O,O,O,X
ILZSTOJ,O,O,O,X
ILZSJTO,O,O,O,X
ILZSJOT,O,O,O,X
ILZSOTJ,O,O,O,X
ILZSOJT,O,O,O,X
ILZOTJS,O,O,O,X
ILZOTSJ,O,O,O,X
ILZOJTS,O,O,O,X
ILZOJST,O,O,O,X
ILZOSTJ,O,O,O,X
ILZOSJT,O,O,O,X
ILOTJSZ,X,X,O,O
ILOTJZS,X,X,O,O
ILOTSJZ,X,X,O,O
ILOTSZJ,X,X,O,O
ILOTZJS,X,X,O,O
ILOTZSJ,X,X,O,O
ILOJTSZ,X,X,O,O
ILOJTZS,X,X,O,O
ILOJSTZ,X,O,O,O
ILOJSZT,X,O,O,X
ILOJZTS,X,O,O,X
ILOJZST,X,O,O,X
ILOSTJZ,X,O,O,O
ILOSTZJ,X,O,O,O
ILOSJTZ,X,O,O,O
ILOSJZT,X,O,O,X
ILOSZTJ,X,O,O,X
ILOSZJT,X,O,O,X
ILOZTJS,X,O,O,X
ILOZTSJ,X,O,O,X
ILOZJTS,X,O,O,X
ILOZJST,X,O,O,X
ILOZSTJ,X,O,O,X
ILOZSJT,X,O,O,X
IJTLSZO,O,O,O,O
IJTLSOZ,O,O,O,O
IJTLZSO,O,O,O,O
IJTLZOS,O,O,O,O
IJTLOSZ,O,X,O,O
IJTLOZS,O,X,O,O
IJTSLZO,O,X,O,O
IJTSLOZ,O,X,O,O
IJTSZLO,O,X,O,O
IJTSZOL,O,X,X,O
IJTSOLZ,O,X,O,O
IJTSOZL,O,X,X,O
IJTZLSO,O,O,O,O
IJTZLOS,O,O,O,O
IJTZSLO,O,X,O,O
IJTZSOL,O,X,X,O
IJTZOLS,O,O,X,O
IJTZOSL,O,X,X,O
IJTOLSZ,O,X,O,O
IJTOLZS,O,X,O,O
IJTOSLZ,O,X,O,O
IJTOSZL,O,X,X,O
IJTOZLS,O,X,X,O
IJTOZSL,O,X,X,O
IJLTSZO,O,O,O,O
IJLTSOZ,O,O,O,O
IJLTZSO,O,O,O,O
IJLTZOS,O,O,O,O
IJLTOSZ,O,X,O,O
IJLTOZS,O,X,O,O
IJLSTZO,O,O,O,O
IJLSTOZ,O,O,O,O
IJLSZTO,O,O,O,X
IJLSZOT,O,O,O,X
IJLSOTZ,X,O,O,O
IJLSOZT,X,O,O,X
IJLZTSO,O,O,O,X
IJLZTOS,O,O,O,X
IJLZSTO,O,O,O,X
IJLZSOT,O,O,O,X
IJLZOTS,O,O,O,X
IJLZOST,O,O,O,X
IJLOTSZ,X,X,O,O
IJLOTZS,X,X,O,O
IJLOSTZ,X,O,O,O
IJLOSZT,X,O,O,X
IJLOZTS,X,O,O,X
IJLOZST,X,O,O,X
IJSTLZO,O,X,O,O
IJSTLOZ,O,X,O,O
IJSTZLO,O,X,O,O
IJSTZOL,O,X,X,O
IJSTOLZ,O,X,O,O
IJSTOZL,O,X,X,O
IJSLTZO,O,O,O,O
IJSLTOZ,O,O,O,O
IJSLZTO,O,O,O,X
IJSLZOT,O,O,O,X
IJSLOTZ,X,O,O,O
IJSLOZT,X,O,O,X
IJSZTLO,O,X,O,O
IJSZTOL,O,X,X,O
IJSZLTO,O,O,O,X
IJSZLOT,O,O,O,X
IJSZOTL,O,X,X,O
IJSZOLT,O,O,X,X
IJSOTLZ,O,X,O,O
IJSOTZL,O,X,X,O
IJSOLTZ,X,X,O,O
IJSOLZT,X,X,O,X
IJSOZTL,O,X,X,O
IJSOZLT,O,X,X,X
IJZTLSO,O,O,O,O
IJZTLOS,O,O,O,O
IJZTSLO,O,X,O,O
IJZTSOL,O,X,X,O
IJZTOLS,O,O,X,O
IJZTOSL,O,X,X,O
IJZLTSO,O,O,O,X
IJZLTOS,O,O,O,X
IJZLSTO,O,O,O,X
IJZLSOT,O,O,O,X
IJZLOTS,O,O,O,X
IJZLOST,O,O,O,X
IJZSTLO,O,X,O,O
IJZSTOL,O,X,X,O
IJZSLTO,O,O,O,X
IJZSLOT,O,O,O,X
IJZSOTL,O,X,X,O
IJZSOLT,O,O,X,X
IJZOTLS,O,O,X,O
IJZOTSL,O,X,X,O
IJZOLTS,O,O,X,X
IJZOLST,O,O,X,X
IJZOSTL,O,X,X,O
IJZOSLT,O,O,X,X
IJOTLSZ,O,X,O,O
IJOTLZS,O,X,O,O
IJOTSLZ,O,X,O,O
IJOTSZL,O,X,X,O
IJOTZLS,O,X,X,O
IJOTZSL,O,X,X,O
IJOLTSZ,X,X,O,O
IJOLTZS,X,X,O,O
IJOLSTZ,X,O,O,O
IJOLSZT,X,O,O,X
IJOLZTS,X,O,O,X
IJOLZST,X,O,O,X
IJOSTLZ,O,X,O,O
IJOSTZL,O,X,X,O
IJOSLTZ,X,X,O,O
IJOSLZT,X,X,O,X
IJOSZTL,O,X,X,O
IJOSZLT,O,X,X,X
IJOZTLS,O,O,X,O
IJOZTSL,O,X,X,O
IJOZLTS,O,O,X,X
IJOZLST,O,O,X,X
IJOZSTL,O,X,X,O
IJOZSLT,O,O,X,X
ISTLJZO,O,X,O,O
ISTLJOZ,O,X,O,O
ISTLZJO,O,X,O,O
ISTLZOJ,O,X,O,O
ISTLOJZ,O,X,O,O
ISTLOZJ,O,X,O,O
ISTJLZO,O,X,O,O
ISTJLOZ,O,X,O,O
ISTJZLO,O,X,O,O
ISTJZOL,O,X,X,O
ISTJOLZ,O,X,O,O
ISTJOZL,O,X,X,O
ISTZLJO,O,X,O,O
ISTZLOJ,O,X,O,O
ISTZJLO,O,X,O,O
ISTZJOL,O,X,X,O
ISTZOLJ,O,X,X,O
ISTZOJL,O,X,X,O
ISTOLJZ,O,X,O,O
ISTOLZJ,O,X,O,O
ISTOJLZ,O,X,O,O
ISTOJZL,O,X,X,O
ISTOZLJ,O,X,X,O
ISTOZJL,O,X,X,O
ISLTJZO,O,O,O,O
ISLTJOZ,O,O,O,O
ISLTZJO,O,O,O,O
ISLTZOJ,O,O,O,O
ISLTOJZ,O,O,O,O
ISLTOZJ,O,O,O,O
ISLJTZO,O,O,O,O
ISLJTOZ,O,O,O,O
ISLJZTO,O,O,O,X
ISLJZOT,O,O,O,X
ISLJOTZ,X,O,O,O
ISLJOZT,X,O,O,X
ISLZTJO,O,O,O,X
ISLZTOJ,O,O,O,X
ISLZJTO,O,O,O,X
ISLZJOT,O,O,O,X
ISLZOTJ,O,O,O,X
ISLZOJT,O,O,O,X
ISLOTJZ,X,O,O,O
ISLOTZJ,X,O,O,O
ISLOJTZ,X,O,O,O
ISLOJZT,X,O,O,X
ISLOZTJ,X,O,O,X
ISLOZJT,X,O,O,X
ISJTLZO,O,X,O,O
ISJTLOZ,O,X,O,O
ISJTZLO,O,X,O,O
ISJTZOL,O,X,X,O
ISJTOLZ,O,X,O,O
ISJTOZL,O,X,X,O
ISJLTZO,O,O,O,O
ISJLTOZ,O,O,O,O
ISJLZTO,O,O,O,X
ISJLZOT,O,O,O,X
ISJLOTZ,X,O,O,O
ISJLOZT,X,O,O,X
ISJZTLO,O,X,O,O
ISJZTOL,O,X,X,O
ISJZLTO,O,O,O,X
ISJZLOT,O,O,O,X
ISJZOTL,O,X,X,O
ISJZOLT,O,O,X,X
ISJOTLZ,O,X,O,O
ISJOTZL,O,X,X,O
ISJOLTZ,X,X,O,O
ISJOLZT,X,X,O,X
ISJOZTL,O,X,X,O
ISJOZLT,O,X,X,X
ISZTLJO,O,X,O,O
ISZTLOJ,O,X,O,O
ISZTJLO,O,X,O,O
ISZTJOL,O,X,X,O
ISZTOLJ,O,X,X,O
ISZTOJL,O,X,X,O
ISZLTJO,O,O,O,X
ISZLTOJ,O,O,O,X
ISZLJTO,O,O,O,X
ISZLJOT,O,O,O,X
ISZLOTJ,O,O,O,X
ISZLOJT,O,O,O,X
ISZJTLO,O,X,O,O
ISZJTOL,O,X,X,O
ISZJLTO,O,O,O,X
ISZJLOT,O,O,O,X
ISZJOTL,O,X,X,O
ISZJOLT,O,O,X,X
ISZOTLJ,O,X,X,O
ISZOTJL,O,X,X,O
ISZOLTJ,O,O,X,X
ISZOLJT,O,O,X,X
ISZOJTL,O,X,X,O
ISZOJLT,O,O,X,X
ISOTLJZ,O,X,O,O
ISOTLZJ,O,X,O,O
ISOTJLZ,O,X,O,O
ISOTJZL,O,X,X,O
ISOTZLJ,O,X,X,O
ISOTZJL,O,X,X,O
ISOLTJZ,X,X,O,O
ISOLTZJ,X,X,O,O
ISOLJTZ,X,X,O,O
ISOLJZT,X,X,O,X
ISOLZTJ,X,X,O,X
ISOLZJT,X,X,O,X
ISOJTLZ,O,X,O,O
ISOJTZL,O,X,X,O
ISOJLTZ,X,X,O,O
ISOJLZT,X,X,O,X
ISOJZTL,O,X,X,O
ISOJZLT,O,X,X,X
ISOZTLJ,O,X,X,O
ISOZTJL,O,X,X,O
ISOZLTJ,O,X,X,X
ISOZLJT,O,X,X,X
ISOZJTL,O,X,X,O
ISOZJLT,O,X,X,X
IZTLJSO,O,O,O,O
IZTLJOS,O,O,O,O
IZTLSJO,O,O,O,O
IZTLSOJ,O,O,O,O
IZTLOJS,O,O,O,O
IZTLOSJ,O,O,O,O
IZTJLSO,O,O,O,O
IZTJLOS,O,O,O,O
IZTJSLO,O,X,O,O
IZTJSOL,O,X,X,O
IZTJOLS,O,O,X,O
IZTJOSL,O,X,X,O
IZTSLJO,O,X,O,O
IZTSLOJ,O,X,O,O
IZTSJLO,O,X,O,O
IZTSJOL,O,X,X,O
IZTSOLJ,O,X,X,O
IZTSOJL,O,X,X,O
IZTOLJS,O,O,X,O
IZTOLSJ,O,O,X,O
IZTOJLS,O,O,X,O
IZTOJSL,O,X,X,O
IZTOSLJ,O,X,X,O
IZTOSJL,O,X,X,O
IZLTJSO,O,O,O,X
IZLTJOS,O,O,O,X
IZLTSJO,O,O,O,X
IZLTSOJ,O,O,O,X
IZLTOJS,O,O,O,X
IZLTOSJ,O,O,O,X
IZLJTSO,O,O,O,X
IZLJTOS,O,O,O,X
IZLJSTO,O,O,O,X
IZLJSOT,O,O,O,X
IZLJOTS,O,O,O,X
IZLJOST,O,O,O,X
IZLSTJO,O,O,O,X
IZLSTOJ,O,O,O,X
IZLSJTO,O,O,O,X
IZLSJOT,O,O,O,X
IZLSOTJ,O,O,O,X
IZLSOJT,O,O,O,X
IZLOTJS,O,O,O,X
IZLOTSJ,O,O,O,X
IZLOJTS,O,O,O,X
IZLOJST,O,O,O,X
IZLOSTJ,O,O,O,X
IZLOSJT,O,O,O,X
IZJTLSO,O,O,O,O
IZJTLOS,O,O,O,O
IZJTSLO,O,X,O,O
IZJTSOL,O,X,X,O
IZJTOLS,O,O,X,O
IZJTOSL,O,X,X,O
IZJLTSO,O,O,O,X
IZJLTOS,O,O,O,X
IZJLSTO,O,O,O,X
IZJLSOT,O,O,O,X
IZJLOTS,O,O,O,X
IZJLOST,O,O,O,X
IZJSTLO,O,X,O,O
IZJSTOL,O,X,X,O
IZJSLTO,O,O,O,X
IZJSLOT,O,O,O,X
IZJSOTL,O,X,X,O
IZJSOLT,O,O,X,X
IZJOTLS,O,O,X,O
IZJOTSL,O,X,X,O
IZJOLTS,O,O,X,X
IZJOLST,O,O,X,X
IZJOSTL,O,X,X,O
IZJOSLT,O,O,X,X
IZSTLJO,O,X,O,O
IZSTLOJ,O,X,O,O
IZSTJLO,O,X,O,O
IZSTJOL,O,X,X,O
IZSTOLJ,O,X,X,O
IZSTOJL,O,X,X,O
IZSLTJO,O,O,O,X
IZSLTOJ,O,O,O,X
IZSLJTO,O,O,O,X
IZSLJOT,O,O,O,X
IZSLOTJ,O,O,O,X
IZSLOJT,O,O,O,X
IZSJTLO,O,X,O,O
IZSJTOL,O,X,X,O
IZSJLTO,O,O,O,X
IZSJLOT,O,O,O,X
IZSJOTL,O,X,X,O
IZSJOLT,O,O,X,X
IZSOTLJ,O,X,X,O
IZSOTJL,O,X,X,O
IZSOLTJ,O,O,X,X
IZSOLJT,O,O,X,X
IZSOJTL,O,X,X,O
IZSOJLT,O,O,X,X
IZOTLJS,O,O,X,O
IZOTLSJ,O,O,X,O
IZOTJLS,O,O,X,O
IZOTJSL,O,X,X,O
IZOTSLJ,O,X,X,O
IZOTSJL,O,X,X,O
IZOLTJS,O,O,X,X
IZOLTSJ,O,O,X,X
IZOLJTS,O,O,X,X
IZOLJST,O,O,X,X
IZOLSTJ,O,O,X,X
IZOLSJT,O,O,X,X
IZOJTLS,O,O,X,O
IZOJTSL,O,X,X,O
IZOJLTS,O,O,X,X
IZOJLST,O,O,X,X
IZOJSTL,O,X,X,O
IZOJSLT,O,O,X,X
IZOSTLJ,O,X,X,O
IZOSTJL,O,X,X,O
IZOSLTJ,O,O,X,X
IZOSLJT,O,O,X,X
IZOSJTL,O,X,X,O
IZOSJLT,O,O,X,X
IOTLJSZ,O,X,O,O
IOTLJZS,O,X,O,O
IOTLSJZ,O,X,O,O
IOTLSZJ,O,X,O,O
IOTLZJS,O,X,O,O
IOTLZSJ,O,X,O,O
IOTJLSZ,O,X,O,O
IOTJLZS,O,X,O,O
IOTJSLZ,O,X,O,O
IOTJSZL,O,X,X,O
IOTJZLS,O,X,X,O
IOTJZSL,O,X,X,O
IOTSLJZ,O,X,O,O
IOTSLZJ,O,X,O,O
IOTSJLZ,O,X,O,O
IOTSJZL,O,X,X,O
IOTSZLJ,O,X,X,O
IOTSZJL,O,X,X,O
IOTZLJS,O,X,X,O
IOTZLSJ,O,X,X,O
IOTZJLS,O,X,X,O
IOTZJSL,O,X,X,O
IOTZSLJ,O,X,X,O
IOTZSJL,O,X,X,O
IOLTJSZ,X,X,O,O
IOLTJZS,X,X,O,O
IOLTSJZ,X,X,O,O
IOLTSZJ,X,X,O,O
IOLTZJS,X,X,O,O
IOLTZSJ,X,X,O,O
IOLJTSZ,X,X,O,O
IOLJTZS,X,X,O,O
IOLJSTZ,X,O,O,O
IOLJSZT,X,O,O,X
IOLJZTS,X,O,O,X
IOLJZST,X,O,O,X
IOLSTJZ,X,O,O,O
IOLSTZJ,X,O,O,O
IOLSJTZ,X,O,O,O
IOLSJZT,X,O,O,X
IOLSZTJ,X,O,O,X
IOLSZJT,X,O,O,X
IOLZTJS,X,O,O,X
IOLZTSJ,X,O,O,X
IOLZJTS,X,O,O,X
IOLZJST,X,O,O,X
IOLZSTJ,X,O,O,X
IOLZSJT,X,O,O,X
IOJTLSZ,O,X,O,O
IOJTLZS,O,X,O,O
IOJTSLZ,O,X,O,O
IOJTSZL,O,X,X,O
IOJTZLS,O,X,X,O
IOJTZSL,O,X,X,O
IOJLTSZ,X,X,O,O
IOJLTZS,X,X,O,O
IOJLSTZ,X,O,O,O
IOJLSZT,X,O,O,X
IOJLZTS,X,O,O,X
IOJLZST,X,O,O,X
IOJSTLZ,O,X,O,O
IOJSTZL,O,X,X,O
IOJSLTZ,X,X,O,O
IOJSLZT,X,X,O,X
IOJSZTL,O,X,X,O
IOJSZLT,O,X,X,X
IOJZTLS,O,O,X,O
IOJZTSL,O,X,X,O
IOJZLTS,O,O,X,X
IOJZLST,O,O,X,X
IOJZSTL,O,X,X,O
IOJZSLT,O,O,X,X
IOSTLJZ,O,X,O,O
IOSTLZJ,O,X,O,O
IOSTJLZ,O,X,O,O
IOSTJZL,O,X,X,O
IOSTZLJ,O,X,X,O
IOSTZJL,O,X,X,O
IOSLTJZ,X,X,O,O
IOSLTZJ,X,X,O,O
IOSLJTZ,X,X,O,O
IOSLJZT,X,X,O,X
IOSLZTJ,X,X,O,X
IOSLZJT,X,X,O,X
IOSJTLZ,O,X,O,O
IOSJTZL,O,X,X,O
IOSJLTZ,X,X,O,O
IOSJLZT,X,X,O,X
IOSJZTL,O,X,X,O
IOSJZLT,O,X,X,X
IOSZTLJ,O,X,X,O
IOSZTJL,O,X,X,O
IOSZLTJ,O,X,X,X
IOSZLJT,O,X,X,X
IOSZJTL,O,X,X,O
IOSZJLT,O,X,X,X
IOZTLJS,O,O,X,O
IOZTLSJ,O,O,X,O
IOZTJLS,O,O,X,O
IOZTJSL,O,X,X,O
IOZTSLJ,O,X,X,O
IOZTSJL,O,X,X,O
IOZLTJS,O,O,X,X
IOZLTSJ,O,O,X,X
IOZLJTS,O,O,X,X
IOZLJST,O,O,X,X
IOZLSTJ,O,O,X,X
IOZLSJT,O,O,X,X
IOZJTLS,O,O,X,O
IOZJTSL,O,X,X,O
IOZJLTS,O,O,X,X
IOZJLST,O,O,X,X
IOZJSTL,O,X,X,O
IOZJSLT,O,O,X,X
IOZSTLJ,O,X,X,O
IOZSTJL,O,X,X,O
IOZSLTJ,O,O,X,X
IOZSLJT,O,O,X,X
IOZSJTL,O,X,X,O
IOZSJLT,O,O,X,X
LTIJSZO,O,O,O,O
LTIJSOZ,O,O,O,O
LTIJZSO,O,O,O,O
LTIJZOS,O,O,O,O
LTIJOSZ,O,X,O,O
LTIJOZS,O,X,O,O
LTISJZO,O,O,O,O
LTISJOZ,O,O,O,O
LTISZJO,O,O,O,O
LTISZOJ,O,O,O,O
LTISOJZ,O,O,O,O
LTISOZJ,O,O,O,O
LTIZJSO,O,O,O,O
LTIZJOS,O,O,O,O
LTIZSJO,O,O,O,O
LTIZSOJ,O,O,O,O
LTIZOJS,O,O,O,O
LTIZOSJ,O,O,O,O
LTIOJSZ,O,X,O,O
LTIOJZS,O,X,O,O
LTIOSJZ,O,X,O,O
LTIOSZJ,O,X,O,O
LTIOZJS,O,X,O,O
LTIOZSJ,O,X,O,O
LTJISZO,O,O,O,O
LTJISOZ,O,O,O,O
LTJIZSO,O,O,O,O
LTJIZOS,O,O,O,O
LTJIOSZ,O,X,O,O
LTJIOZS,O,X,O,O
LTJSIZO,O,O,O,O
LTJSIOZ,O,O,O,O
LTJSZIO,O,O,O,O
LTJSZOI,O,O,O,O
LTJSOIZ,O,O,O,O
LTJSOZI,O,O,O,O
LTJZISO,O,O,O,O
LTJZIOS,O,O,O,O
LTJZSIO,O,O,O,O
LTJZSOI,O,O,O,O
LTJZOIS,O,O,O,O
LTJZOSI,O,O,O,O
LTJOISZ,O,X,O,O
LTJOIZS,O,X,O,O
LTJOSIZ,O,X,O,O
LTJOSZI,O,X,O,O
LTJOZIS,O,X,O,O
LTJOZSI,O,X,O,O
LTSIJZO,O,O,O,O
LTSIJOZ,O,O,O,O
LTSIZJO,O,O,O,O
LTSIZOJ,O,O,O,O
LTSIOJZ,O,O,O,O
LTSIOZJ,O,O,O,O
LTSJIZO,O,O,O,O
LTSJIOZ,O,O,O,O
LTSJZIO,O,O,O,O
LTSJZOI,O,O,O,O
LTSJOIZ,O,O,O,O
LTSJOZI,O,O,O,O
LTSZIJO,O,O,O,O
LTSZIOJ,O,O,O,O
LTSZJIO,O,O,O,O
LTSZJOI,O,O,O,O
LTSZOIJ,O,O,O,O
LTSZOJI,O,O,O,O
LTSOIJZ,O,O,O,O
LTSOIZJ,O,O,O,O
LTSOJIZ,O,O,O,O
LTSOJZI,O,O,O,O
LTSOZIJ,O,O,O,O
LTSOZJI,O,O,O,O
LTZIJSO,O,O,O,O
LTZIJOS,O,O,O,O
LTZISJO,O,O,O,O
LTZISOJ,O,O,O,O
LTZIOJS,O,O,O,O
LTZIOSJ,O,O,O,O
LTZJISO,O,O,O,O
LTZJIOS,O,O,O,O
LTZJSIO,O,O,O,O
LTZJSOI,O,O,O,O
LTZJOIS,O,O,O,O
LTZJOSI,O,O,O,O
LTZSIJO,O,O,O,O
LTZSIOJ,O,O,O,O
LTZSJIO,O,O,O,O
LTZSJOI,O,O,O,O
LTZSOIJ,O,O,O,O
LTZSOJI,O,O,O,O
LTZOIJS,O,O,O,O
LTZOISJ,O,O,O,O
LTZOJIS,O,O,O,O
LTZOJSI,O,O,O,O
LTZOSIJ,O,O,O,O
LTZOSJI,O,O,O,O
LTOIJSZ,O,X,O,O
LTOIJZS,O,X,O,O
LTOISJZ,O,X,O,O
LTOISZJ,O,X,O,O
LTOIZJS,O,X,O,O
LTOIZSJ,O,X,O,O
LTOJISZ,O,X,O,O
LTOJIZS,O,X,O,O
LTOJSIZ,O,X,O,O
LTOJSZI,O,X,O,O
LTOJZIS,O,X,O,O
LTOJZSI,O,X,O,O
LTOSIJZ,O,X,O,O
LTOSIZJ,O,X,O,O
LTOSJIZ,O,X,O,O
LTOSJZI,O,X,O,O
LTOSZIJ,O,X,O,O
LTOSZJI,O,X,O,O
LTOZIJS,O,X,O,O
LTOZISJ,O,X,O,O
LTOZJIS,O,X,O,O
LTOZJSI,O,X,O,O
LTOZSIJ,O,X,O,O
LTOZSJI,O,X,O,O
LITJSZO,O,O,O,O
LITJSOZ,O,O,O,O
LITJZSO,O,O,O,O
LITJZOS,O,O,O,O
LITJOSZ,O,X,O,O
LITJOZS,O,X,O,O
LITSJZO,O,O,O,O
LITSJOZ,O,O,O,O
LITSZJO,O,O,O,O
LITSZOJ,O,O,O,O
LITSOJZ,O,O,O,O
LITSOZJ,O,O,O,O
LITZJSO,O,O,O,O
LITZJOS,O,O,O,O
LITZSJO,O,O,O,O
LITZSOJ,O,O,O,O
LITZOJS,O,O,O,O
LITZOSJ,O,O,O,O
LITOJSZ,O,X,O,O
LITOJZS,O,X,O,O
LITOSJZ,O,X,O,O
LITOSZJ,O,X,O,O
LITOZJS,O,X,O,O
LITOZSJ,O,X,O,O
LIJTSZO,O,O,O,O
LIJTSOZ,O,O,O,O
LIJTZSO,O,O,O,O
LIJTZOS,O,O,O,O
LIJTOSZ,O,X,O,O
LIJTOZS,O,X,O,O
LIJSTZO,O,O,O,O
LIJSTOZ,O,O,O,O
LIJSZTO,O,O,O,X
LIJSZOT,O,O,O,X
LIJSOTZ,X,O,O,O
LIJSOZT,X,O,O,X
LIJZTSO,O,O,O,X
LIJZTOS,O,O,O,X
LIJZSTO,O,O,O,X
LIJZSOT,O,O,O,X
LIJZOTS,O,O,O,X
LIJZOST,O,O,O,X
LIJOTSZ,X,X,O,O
LIJOTZS,X,X,O,O
LIJOSTZ,X,O,O,O
LIJOSZT,X,O,O,X
LIJOZTS,X,O,O,X
LIJOZST,X,O,O,X
LISTJZO,O,O,O,O
LISTJOZ,O,O,O,O
LISTZJO,O,O,O,O
LISTZOJ,O,O,O,O
LISTOJZ,O,O,O,O
LISTOZJ,O,O,O,O
LISJTZO,O,O,O,O
LISJTOZ,O,O,O,O
LISJZTO,O,O,O,X
LISJZOT,O,O,O,X
LISJOTZ,X,O,O,O
LISJOZT,X,O,O,X
LISZTJO,O,O,O,X
LISZTOJ,O,O,O,X
LISZJTO,O,O,O,X
LISZJOT,O,O,O,X
LISZOTJ,O,O,O,X
LISZOJT,O,O,O,X
LISOTJZ,X,O,O,O
LISOTZJ,X,O,O,O
LISOJTZ,X,O,O,O
LISOJZT,X,O,O,X
LISOZTJ,X,O,O,X
LISOZJT,X,O,O,X
LIZTJSO,O,O,O,X
LIZTJOS,O,O,O,X
LIZTSJO,O,O,O,X
LIZTSOJ,O,O,O,X
LIZTOJS,O,O,O,X
LIZTOSJ,O,O,O,X
LIZJTSO,O,O,O,X
LIZJTOS,O,O,O,X
LIZJSTO,O,O,O,X
LIZJSOT,O,O,O,X
LIZJOTS,O,O,O,X
LIZJOST,O,O,O,X
LIZSTJO,O,O,O,X
LIZSTOJ,O,O,O,X
LIZSJTO,O,O,O,X
LIZSJOT,O,O,O,X
