sequence,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhFxhBXjBllBu?rBctBTsB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhFxhBTjBllBu?rBcsBXtB,v115@9gA8IeA8IeC8AeA8EeE8DeA8Jez/IvhFulBFiBXjB0?mBStBRxB,v115@9gA8IeA8IeC8AeA8EeE8DeA8Jez/IvhFulBfoB6oBl?mBUnBRxB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhF0hBxiBllBW?tBzrBXtB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhF3hBGlBlnBc?tBzrBCtB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhFTjBGlBlmBc?sBXtBCsB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhFxhBXjBllBc?tBGsBzrB,v115@9gA8IeA8IeC8AeA8EeE8DeA8Jez/IvhFulBRiBSoBV?sBXtB0rB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhFfoB6oBGlBl?mB0sBzrB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhFGlBlmBcsBT?oBCsBXtB
TJOLZIS,O,O,O,X,O,X,X,O,X,X,X
TJOLZSI,O,O,O,X,O,X,X,O,X,X,X
TJOSILZ,O,X,X,O,O,X,X,X,O,X,X
TJOSIZL,O,X,X,O,O,O,X,X,O,X,X
TJOSLIZ,O,X,X,X,O,X,X,X,O,X,X
TJOSLZI,O,X,X,X,O,X,X,X,O,X,X
TJOSZIL,O,X,X,X,O,O,X,X,O,X,X
TJOSZLI,O,X,X,X,O,O,X,X,O,X,X
TJOZILS,O,O,O,O,O,O,X,O,X,X,O
TJOZISL,O,O,O,O,O,O,O,O,X,O,O
TJOZLIS,O,O,O,X,O,O,X,O,X,X,O
TJOZLSI,O,O,O,X,O,O,X,O,X,X,O
TJOZSIL,O,O,O,X,O,O,O,O,X,O,O
TJOZSLI,O,O,O,X,O,O,O,O,X,O,O
TSILJZO,O,O,X,O,X,X,X,O,O,X,X
TSILJOZ,O,O,X,O,X,X,X,X,O,X,X
TSILZJO,O,O,X,O,X,X,X,O,O,X,X
TSILZOJ,O,O,X,O,X,X,X,O,O,X,X
TSILOJZ,X,O,X,O,X,X,X,X,O,X,X
TSILOZJ,O,O,X,O,X,X,X,X,O,X,X
TSIJLZO,O,O,X,O,X,X,X,O,O,X,X
TSIJLOZ,O,O,X,O,X,X,X,X,O,X,X
TSIJZLO,O,O,X,O,X,X,X,O,O,X,X
TSIJZOL,O,O,X,O,X,X,X,O,O,X,X
TSIJOLZ,O,O,X,O,X,X,X,X,O,X,X
TSIJOZL,O,X,X,O,X,X,X,X,O,X,X
TSIZLJO,O,O,X,O,X,X,X,O,O,X,X
TSIZLOJ,O,O,X,O,X,X,X,O,O,X,X
TSIZJLO,O,O,X,O,X,X,X,O,O,X,X
TSIZJOL,X,O,X,O,X,X,X,X,O,X,X
TSIZOLJ,O,O,X,O,X,X,X,O,O,X,X
TSIZOJL,X,O,X,O,X,X,X,X,O,X,X
TSIOLJZ,X,O,X,O,X,X,X,X,O,X,X
TSIOLZJ,O,O,X,O,X,X,X,X,O,X,X
TSIOJLZ,X,O,X,O,X,X,X,X,O,X,X
TSIOJZL,X,X,X,O,X,X,X,X,O,X,X
TSIOZLJ,O,O,X,O,X,X,X,X,O,X,X
TSIOZJL,O,O,X,O,X,X,X,X,O,X,X
TSLIJZO,O,O,X,X,X,X,X,O,O,X,X
TSLIJOZ,O,O,X,X,X,X,X,X,O,X,X
TSLIZJO,O,O,X,X,X,X,X,O,O,X,X
TSLIZOJ,O,O,X,X,X,X,X,O,O,X,X
TSLIOJZ,X,O,X,X,X,X,X,X,O,X,X
TSLIOZJ,O,O,X,X,X,X,X,X,O,X,X
TSLJIZO,O,O,X,X,X,X,X,O,O,X,X
TSLJIOZ,O,O,X,X,X,X,X,X,O,X,X
TSLJZIO,O,O,X,X,X,X,X,O,O,X,X
TSLJZOI,O,O,X,X,X,X,X,O,O,X,X
TSLJOIZ,O,O,X,X,O,X,X,X,O,X,X
TSLJOZI,O,O,X,X,O,X,X,X,O,X,X
TSLZIJO,O,O,X,X,X,X,X,O,O,X,X
TSLZIOJ,O,O,X,X,O,X,X,O,O,X,X
TSLZJIO,O,O,X,X,X,X,X,O,O,X,X
TSLZJOI,O,O,X,X,X,X,X,O,O,X,X
TSLZOIJ,O,O,X,X,O,X,X,O,O,X,X
TSLZOJI,O,O,X,X,O,X,X,O,O,X,X
TSLOIJZ,X,O,X,X,X,X,X,X,O,X,X
TSLOIZJ,O,O,X,X,X,X,X,X,O,X,X
TSLOJIZ,O,O,X,X,O,X,X,X,O,X,X
TSLOJZI,O,O,X,X,O,X,X,X,O,X,X
TSLOZIJ,O,O,X,X,O,X,X,X,O,X,X
TSLOZJI,O,O,X,X,O,X,X,X,O,X,X
TSJILZO,O,O,X,O,X,X,X,O,O,X,X
TSJILOZ,O,O,X,O,X,X,X,X,O,X,X
TSJIZLO,O,O,X,O,X,X,O,O,O,O,X
TSJIZOL,O,O,X,O,X,X,O,O,O,O,O
TSJIOLZ,O,O,X,O,X,X,X,X,O,X,X
TSJIOZL,O,X,X,O,X,O,O,X,O,X,X
TSJLIZO,O,O,X,X,X,X,X,O,O,X,X
TSJLIOZ,O,O,X,X,X,X,X,X,O,X,X
TSJLZIO,O,O,X,X,X,X,X,O,O,X,X
TSJLZOI,O,O,X,X,X,X,X,O,O,X,X
TSJLOIZ,O,O,X,X,O,X,X,X,O,X,X
TSJLOZI,O,O,X,X,O,X,X,X,O,X,X
TSJZILO,O,O,X,X,X,X,O,O,O,O,X
TSJZIOL,O,O,X,X,X,X,O,O,O,O,O
TSJZLIO,O,O,X,X,X,X,O,O,O,O,X
TSJZLOI,O,O,X,X,X,X,O,O,O,O,X
TSJZOIL,O,O,X,X,X,X,O,O,O,O,O
TSJZOLI,O,O,X,X,X,X,O,O,O,O,O
TSJOILZ,O,O,X,O,O,X,X,X,O,X,X
TSJOIZL,O,X,X,O,O,O,O,X,O,X,X
TSJOLIZ,O,O,X,X,O,X,X,X,O,X,X
TSJOLZI,O,O,X,X,O,X,X,X,O,X,X
TSJOZIL,O,O,X,X,O,O,O,X,O,X,X
TSJOZLI,O,O,X,X,O,O,O,X,O,X,X
TSZILJO,O,O,X,X,X,X,X,O,O,O,X
TSZILOJ,O,O,X,X,O,X,X,O,O,X,X
TSZIJLO,O,O,X,X,X,X,O,O,O,O,X
TSZIJOL,O,O,X,X,X,X,O,O,O,O,X
TSZIOLJ,O,O,X,X,X,X,X,O,O,X,X
TSZIOJL,O,O,X,X,X,X,O,X,O,X,X
TSZLIJO,O,O,X,X,X,X,X,O,O,O,X
TSZLIOJ,O,O,X,X,O,X,X,O,O,X,X
TSZLJIO,O,O,X,X,X,X,O,O,O,O,X
TSZLJOI,O,O,X,X,X,X,O,O,O,O,X
TSZLOIJ,O,O,X,X,O,X,X,O,O,X,X
TSZLOJI,O,O,X,X,O,X,O,O,O,O,X
TSZJILO,O,O,X,X,X,X,O,O,O,O,X
TSZJIOL,O,O,X,X,X,X,O,O,O,O,O
TSZJLIO,O,O,X,X,X,X,O,O,O,O,X
TSZJLOI,O,O,X,X,X,X,O,O,O,O,X
TSZJOIL,O,O,X,X,X,X,O,O,O,O,O
TSZJOLI,O,O,X,X,X,X,O,O,O,O,O
TSZOILJ,O,O,X,X,O,X,X,O,O,X,X
TSZOIJL,O,O,X,X,X,X,O,X,O,X,X
TSZOLIJ,O,O,X,X,O,X,X,O,O,X,X
TSZOLJI,O,O,X,X,O,X,O,O,O,O,X
TSZOJIL,O,O,X,X,O,X,O,O,O,O,O
TSZOJLI,O,O,X,X,O,X,O,O,O,O,O
TSOILJZ,X,O,X,O,X,X,X,X,O,X,X
TSOILZJ,O,O,X,O,X,X,X,X,O,X,X
TSOIJLZ,X,O,X,O,X,X,X,X,O,X,X
TSOIJZL,X,X,X,O,X,X,X,X,O,X,X
TSOIZLJ,O,O,X,O,X,X,X,X,O,X,X
TSOIZJL,O,O,X,O,X,X,X,X,O,X,X
TSOLIJZ,X,O,X,X,X,X,X,X,O,X,X
TSOLIZJ,O,O,X,X,X,X,X,X,O,X,X
TSOLJIZ,O,O,X,X,O,X,X,X,O,X,X
TSOLJZI,O,O,X,X,O,X,X,X,O,X,X
TSOLZIJ,O,O,X,X,O,X,X,X,O,X,X
TSOLZJI,O,O,X,X,O,X,X,X,O,X,X
TSOJILZ,O,O,X,O,O,X,X,X,O,X,X
TSOJIZL,O,X,X,O,O,O,O,X,O,X,X
TSOJLIZ,O,O,X,X,O,X,X,X,O,X,X
TSOJLZI,O,O,X,X,O,X,X,X,O,X,X
TSOJZIL,O,O,X,X,O,O,O,X,O,X,X
TSOJZLI,O,O,X,X,O,O,O,X,O,X,X
TSOZILJ,O,O,X,X,O,X,X,X,O,X,X
TSOZIJL,O,O,X,X,X,O,O,X,O,X,X
TSOZLIJ,O,O,X,X,O,X,X,X,O,X,X
TSOZLJI,O,O,X,X,O,O,O,X,O,X,X
TSOZJIL,O,O,X,X,O,O,O,X,O,X,X
TSOZJLI,O,O,X,X,O,O,O,X,O,X,X
TZILJSO,O,O,O,O,X,X,X,O,X,X,X
TZILJOS,O,O,O,O,O,X,X,O,X,X,X
TZILSJO,O,O,O,O,X,X,X,O,X,X,X
TZILSOJ,O,O,O,O,O,X,X,O,X,X,X
TZILOJS,O,X,O,O,O,X,X,X,X,X,X
TZILOSJ,O,O,O,O,O,X,X,O,X,X,X
TZIJLSO,O,O,O,O,X,X,O,O,X,O,X
TZIJLOS,O,O,O,O,O,X,X,O,X,X,O
TZIJSLO,O,O,O,O,X,X,O,O,X,O,X
TZIJSOL,O,O,O,O,X,X,O,O,X,O,O
TZIJOLS,O,O,O,O,X,X,X,O,X,X,O
TZIJOSL,O,O,O,O,X,X,O,O,X,O,O
TZISLJO,O,O,O,O,X,X,X,O,X,O,X
TZISLOJ,O,O,O,O,O,X,X,O,X,X,X
TZISJLO,O,O,O,O,X,X,O,O,X,O,X
TZISJOL,O,O,O,O,X,X,O,O,X,O,X
TZISOLJ,O,O,O,O,X,X,X,O,X,X,X
TZISOJL,O,O,O,O,X,X,O,X,X,X,X
TZIOLJS,O,X,O,O,O,X,X,X,X,X,X
TZIOLSJ,O,O,O,O,O,X,X,O,X,X,X
TZIOJLS,O,X,O,O,O,X,X,X,X,X,O
TZIOJSL,O,X,O,O,O,X,X,X,X,X,O
TZIOSLJ,O,O,O,O,O,X,X,O,X,X,X
TZIOSJL,O,O,O,O,X,X,X,X,X,X,X
TZLIJSO,O,O,O,X,X,X,X,O,X,X,X
TZLIJOS,O,O,O,X,O,X,X,O,X,X,X
TZLISJO,O,O,O,X,X,X,X,O,X,X,X
TZLISOJ,O,O,O,X,O,X,X,O,X,X,X
TZLIOJS,O,X,O,X,O,X,X,X,X,X,X
TZLIOSJ,O,O,O,X,O,X,X,O,X,X,X
TZLJISO,O,O,O,X,X,X,O,O,X,O,X
TZLJIOS,O,O,O,X,O,X,X,O,X,X,O
TZLJSIO,O,O,O,X,X,X,O,O,X,O,X
TZLJSOI,O,O,O,X,X,X,O,O,X,O,X
TZLJOIS,O,O,O,X,O,X,X,O,X,X,O
TZLJOSI,O,O,O,X,O,X,X,O,X,X,O
TZLSIJO,O,O,O,X,X,X,X,O,X,O,X
TZLSIOJ,O,O,O,X,O,X,X,O,X,X,X
TZLSJIO,O,O,O,X,X,X,O,O,X,O,X
TZLSJOI,O,O,O,X,X,X,O,O,X,O,X
TZLSOIJ,O,O,O,X,O,X,X,O,X,X,X
TZLSOJI,O,O,O,X,O,X,O,O,X,O,X
TZLOIJS,O,X,O,X,O,X,X,X,X,X,X
TZLOISJ,O,O,O,X,O,X,X,O,X,X,X
TZLOJIS,O,O,O,X,O,X,X,O,X,X,O
TZLOJSI,O,O,O,X,O,X,X,O,X,X,O
TZLOSIJ,O,O,O,X,O,X,X,O,X,X,X
TZLOSJI,O,O,O,X,O,X,X,O,X,X,X
TZJILSO,O,O,O,O,X,X,O,O,X,O,X
TZJILOS,O,O,O,O,O,X,X,O,X,X,O
TZJISLO,O,O,O,O,X,X,O,O,X,O,X
TZJISOL,O,O,O,O,X,X,O,O,X,O,O
TZJIOLS,O,O,O,O,X,O,X,O,X,X,O
TZJIOSL,O,O,O,O,X,O,O,O,X,O,O
TZJLISO,O,O,O,X,X,X,O,O,X,O,X
TZJLIOS,O,O,O,X,O,X,X,O,X,X,O
TZJLSIO,O,O,O,X,X,X,O,O,X,O,X
TZJLSOI,O,O,O,X,X,X,O,O,X,O,X
TZJLOIS,O,O,O,X,O,X,X,O,X,X,O
TZJLOSI,O,O,O,X,O,X,X,O,X,X,O
TZJSILO,O,O,O,X,X,X,O,O,X,O,X
TZJSIOL,O,O,O,X,X,X,O,O,X,O,O
TZJSLIO,O,O,O,X,X,X,O,O,X,O,X
TZJSLOI,O,O,O,X,X,X,O,O,X,O,X
TZJSOIL,O,O,O,X,X,X,O,O,X,O,O
TZJSOLI,O,O,O,X,X,X,O,O,X,O,O
TZJOILS,O,O,O,O,O,O,X,O,X,X,O
TZJOISL,O,O,O,O,O,O,O,O,X,O,O
TZJOLIS,O,O,O,X,O,O,X,O,X,X,O
TZJOLSI,O,O,O,X,O,O,X,O,X,X,O
TZJOSIL,O,O,O,X,O,O,O,O,X,O,O
TZJOSLI,O,O,O,X,O,O,O,O,X,O,O
TZSILJO,O,O,O,X,X,X,X,O,X,O,X
TZSILOJ,O,O,O,X,O,X,X,O,X,X,X
TZSIJLO,O,O,O,X,X,X,O,O,X,O,X
TZSIJOL,O,O,O,X,X,X,O,O,X,O,X
TZSIOLJ,O,O,O,X,X,X,X,O,X,X,X
TZSIOJL,O,O,O,X,X,X,O,X,X,X,X
TZSLIJO,O,O,O,X,X,X,X,O,X,O,X
TZSLIOJ,O,O,O,X,O,X,X,O,X,X,X
TZSLJIO,O,O,O,X,X,X,O,O,X,O,X
TZSLJOI,O,O,O,X,X,X,O,O,X,O,X
TZSLOIJ,O,O,O,X,O,X,X,O,X,X,X
TZSLOJI,O,O,O,X,O,X,O,O,X,O,X
TZSJILO,O,O,O,X,X,X,O,O,X,O,X
TZSJIOL,O,O,O,X,X,X,O,O,X,O,O
TZSJLIO,O,O,O,X,X,X,O,O,X,O,X
TZSJLOI,O,O,O,X,X,X,O,O,X,O,X
TZSJOIL,O,O,O,X,X,X,O,O,X,O,O
TZSJOLI,O,O,O,X,X,X,O,O,X,O,O
TZSOILJ,O,O,O,X,O,X,X,O,X,X,X
TZSOIJL,O,O,O,X,X,X,O,X,X,X,X
TZSOLIJ,O,O,O,X,O,X,X,O,X,X,X
TZSOLJI,O,O,O,X,O,X,O,O,X,O,X
TZSOJIL,O,O,O,X,O,X,O,O,X,O,O
TZSOJLI,O,O,O,X,O,X,O,O,X,O,O
TZOILJS,O,X,O,O,O,X,X,X,X,X,X
TZOILSJ,O,O,O,O,O,X,X,O,X,X,X
TZOIJLS,O,X,O,O,O,O,X,X,X,X,O
TZOIJSL,O,X,O,O,O,O,X,X,X,X,O
TZOISLJ,O,O,O,O,O,X,X,O,X,X,X
TZOISJL,O,O,O,O,X,O,X,X,X,X,X
TZOLIJS,O,X,O,X,O,X,X,X,X,X,X
TZOLISJ,O,O,O,X,O,X,X,O,X,X,X
TZOLJIS,O,O,O,X,O,O,X,O,X,X,O
TZOLJSI,O,O,O,X,O,O,X,O,X,X,O
TZOLSIJ,O,O,O,X,O,X,X,O,X,X,X
TZOLSJI,O,O,O,X,O,O,X,O,X,X,X
TZOJILS,O,O,O,O,O,O,X,O,X,X,O
TZOJISL,O,O,O,O,O,O,O,O,X,O,O
TZOJLIS,O,O,O,X,O,O,X,O,X,X,O
TZOJLSI,O,O,O,X,O,O,X,O,X,X,O
TZOJSIL,O,O,O,X,O,O,O,O,X,O,O
TZOJSLI,O,O,O,X,O,O,O,O,X,O,O
TZOSILJ,O,O,O,X,O,X,X,O,X,X,X
TZOSIJL,O,O,O,X,X,O,O,X,X,X,X
TZOSLIJ,O,O,O,X,O,X,X,O,X,X,X
TZOSLJI,O,O,O,X,O,O,O,O,X,O,X
TZOSJIL,O,O,O,X,O,O,O,O,X,O,O
TZOSJLI,O,O,O,X,O,O,O,O,X,O,O
TOILJSZ,O,X,O,O,O,X,X,X,X,X,X
TOILJZS,O,O,O,O,O,X,X,O,X,X,X
TOILSJZ,X,O,O,O,X,X,X,X,X,X,X
TOILSZJ,O,O,O,O,X,X,X,X,X,X,X
TOILZJS,O,X,O,O,O,X,X,X,X,X,X
TOILZSJ,O,O,O,O,O,X,X,O,X,X,X
TOIJLSZ,O,X,O,O,O,X,X,X,X,X,X
TOIJLZS,O,O,O,O,O,X,X,O,X,X,X
TOIJSLZ,O,X,X,O,O,X,X,X,X,X,X
TOIJSZL,O,X,X,O,O,X,X,X,X,X,X
TOIJZLS,O,O,O,O,O,X,X,O,X,X,X
TOIJZSL,O,O,O,O,O,X,X,O,X,X,X
TOISLJZ,X,O,X,O,X,X,X,X,X,X,X
TOISLZJ,O,O,X,O,X,X,X,X,X,X,X
TOISJLZ,X,O,X,O,X,X,X,X,X,X,X
TOISJZL,X,X,X,O,X,X,X,X,X,X,X
TOISZLJ,O,O,X,O,X,X,X,X,X,X,X
TOISZJL,O,X,X,O,X,X,X,X,X,X,X
TOIZLJS,O,X,O,O,O,X,X,X,X,X,X
TOIZLSJ,O,O,O,O,O,X,X,O,X,X,X
TOIZJLS,O,X,O,O,O,X,X,X,X,X,X
TOIZJSL,O,X,O,O,O,X,X,X,X,X,X
TOIZSLJ,O,O,O,O,O,X,X,O,X,X,X
TOIZSJL,O,O,O,O,X,X,X,X,X,X,X
TOLIJSZ,O,X,O,O,O,X,X,X,X,X,X
TOLIJZS,O,O,O,O,O,X,X,O,X,X,X
TOLISJZ,X,O,O,O,X,X,X,X,X,X,X
TOLISZJ,O,O,O,O,X,X,X,X,X,X,X
TOLIZJS,O,X,O,O,O,X,X,X,X,X,X
TOLIZSJ,O,O,O,O,O,X,X,O,X,X,X
TOLJISZ,O,X,O,O,O,X,X,X,X,X,X
TOLJIZS,O,O,O,O,O,X,X,O,X,X,X
TOLJSIZ,O,X,O,X,O,X,X,X,X,X,X
TOLJSZI,O,X,O,X,O,X,X,X,X,X,X
TOLJZIS,O,O,O,X,O,X,X,O,X,X,X
TOLJZSI,O,O,O,X,O,X,X,O,X,X,X
TOLSIJZ,X,O,O,X,X,X,X,X,X,X,X
TOLSIZJ,O,O,O,X,X,X,X,X,X,X,X
TOLSJIZ,O,O,O,X,O,X,X,X,X,X,X
TOLSJZI,O,O,O,X,O,X,X,X,X,X,X
TOLSZIJ,O,O,O,X,O,X,X,X,X,X,X
TOLSZJI,O,O,O,X,O,X,X,X,X,X,X
TOLZIJS,O,X,O,X,O,X,X,X,X,X,X
TOLZISJ,O,O,O,X,O,X,X,O,X,X,X
TOLZJIS,O,O,O,X,O,X,X,O,X,X,X
TOLZJSI,O,O,O,X,O,X,X,O,X,X,X
TOLZSIJ,O,O,O,X,O,X,X,O,X,X,X
TOLZSJI,O,O,O,X,O,X,X,O,X,X,X
TOJILSZ,O,X,O,O,O,X,X,X,X,X,X
TOJILZS,O,O,O,O,O,X,X,O,X,X,X
TOJISLZ,O,X,X,O,O,X,X,X,X,X,X
TOJISZL,O,X,X,O,O,O,X,X,X,X,X
TOJIZLS,O,O,O,O,O,O,X,O,X,X,O
TOJIZSL,O,O,O,O,O,O,O,O,X,O,O
TOJLISZ,O,X,O,O,O,X,X,X,X,X,X
TOJLIZS,O,O,O,O,O,X,X,O,X,X,X
TOJLSIZ,O,X,O,X,O,X,X,X,X,X,X
TOJLSZI,O,X,O,X,O,X,X,X,X,X,X
TOJLZIS,O,O,O,X,O,X,X,O,X,X,X
TOJLZSI,O,O,O,X,O,X,X,O,X,X,X
TOJSILZ,O,X,X,O,O,X,X,X,O,X,X
TOJSIZL,O,X,X,O,O,O,X,X,O,X,X
TOJSLIZ,O,X,X,X,O,X,X,X,O,X,X
TOJSLZI,O,X,X,X,O,X,X,X,O,X,X
TOJSZIL,O,X,X,X,O,O,X,X,O,X,X
TOJSZLI,O,X,X,X,O,O,X,X,O,X,X
TOJZILS,O,O,O,O,O,O,X,O,X,X,O
TOJZISL,O,O,O,O,O,O,O,O,X,O,O
TOJZLIS,O,O,O,X,O,O,X,O,X,X,O
TOJZLSI,O,O,O,X,O,O,X,O,X,X,O
TOJZSIL,O,O,O,X,O,O,O,O,X,O,O
TOJZSLI,O,O,O,X,O,O,O,O,X,O,O
TOSILJZ,X,O,X,O,X,X,X,X,O,X,X
TOSILZJ,O,O,X,O,X,X,X,X,O,X,X
TOSIJLZ,X,O,X,O,X,X,X,X,O,X,X
TOSIJZL,X,X,X,O,X,X,X,X,O,X,X
TOSIZLJ,O,O,X,O,X,X,X,X,O,X,X
TOSIZJL,O,O,X,O,X,X,X,X,O,X,X
TOSLIJZ,X,O,X,X,X,X,X,X,O,X,X
TOSLIZJ,O,O,X,X,X,X,X,X,O,X,X
TOSLJIZ,O,O,X,X,O,X,X,X,O,X,X
TOSLJZI,O,O,X,X,O,X,X,X,O,X,X
TOSLZIJ,O,O,X,X,O,X,X,X,O,X,X
TOSLZJI,O,O,X,X,O,X,X,X,O,X,X
TOSJILZ,O,O,X,O,O,X,X,X,O,X,X
TOSJIZL,O,X,X,O,O,O,X,X,O,X,X
TOSJLIZ,O,O,X,X,O,X,X,X,O,X,X
TOSJLZI,O,O,X,X,O,X,X,X,O,X,X
TOSJZIL,O,O,X,X,O,O,X,X,O,X,X
TOSJZLI,O,O,X,X,O,O,X,X,O,X,X
TOSZILJ,O,O,X,X,O,X,X,X,O,X,X
TOSZIJL,O,O,X,X,X,O,X,X,O,X,X
TOSZLIJ,O,O,X,X,O,X,X,X,O,X,X
TOSZLJI,O,O,X,X,O,O,X,X,O,X,X
TOSZJIL,O,O,X,X,O,O,X,X,O,X,X
TOSZJLI,O,O,X,X,O,O,X,X,O,X,X
TOZILJS,O,X,O,O,O,X,X,X,X,X,X
TOZILSJ,O,O,O,O,O,X,X,O,X,X,X
TOZIJLS,O,X,O,O,O,O,X,X,X,X,O
TOZIJSL,O,X,O,O,O,O,X,X,X,X,O
TOZISLJ,O,O,O,O,O,X,X,O,X,X,X
TOZISJL,O,O,O,O,X,O,X,X,X,X,X
TOZLIJS,O,X,O,X,O,X,X,X,X,X,X
TOZLISJ,O,O,O,X,O,X,X,O,X,X,X
TOZLJIS,O,O,O,X,O,O,X,O,X,X,O
TOZLJSI,O,O,O,X,O,O,X,O,X,X,O
TOZLSIJ,O,O,O,X,O,X,X,O,X,X,X
TOZLSJI,O,O,O,X,O,O,X,O,X,X,X
TOZJILS,O,O,O,O,O,O,X,O,X,X,O
TOZJISL,O,O,O,O,O,O,O,O,X,O,O
TOZJLIS,O,O,O,X,O,O,X,O,X,X,O
TOZJLSI,O,O,O,X,O,O,X,O,X,X,O
TOZJSIL,O,O,O,X,O,O,O,O,X,O,O
TOZJSLI,O,O,O,X,O,O,O,O,X,O,O
TOZSILJ,O,O,O,X,O,X,X,O,X,X,X
TOZSIJL,O,O,O,X,X,O,O,X,X,X,X
TOZSLIJ,O,O,O,X,O,X,X,O,X,X,X
TOZSLJI,O,O,O,X,O,O,O,O,X,O,X
TOZSJIL,O,O,O,X,O,O,O,O,X,O,O
TOZSJLI,O,O,O,X,O,O,O,O,X,O,O
ITLJSZO,O,O,O,O,X,X,X,O,X,X,X
ITLJSOZ,O,O,O,O,X,X,X,X,X,X,X
ITLJZSO,O,O,O,O,X,X,X,O,X,X,X
ITLJZOS,O,O,O,O,X,X,X,O,X,X,X
ITLJOSZ,O,X,O,O,O,X,X,X,X,X,X
ITLJOZS,O,O,O,O,O,X,X,O,X,X,X
ITLSJZO,O,O,O,O,X,X,X,O,X,X,X
ITLSJOZ,O,O,O,O,X,X,X,X,X,X,X
ITLSZJO,O,O,O,O,X,X,X,O,X,X,X
ITLSZOJ,O,O,O,O,X,X,X,O,X,X,X
ITLSOJZ,X,O,O,O,X,X,X,X,X,X,X
ITLSOZJ,O,O,O,O,X,X,X,X,X,X,X
ITLZJSO,O,O,O,O,X,X,X,O,X,X,X
ITLZJOS,O,O,O,O,O,X,X,O,X,X,X
ITLZSJO,O,O,O,O,X,X,X,O,X,X,X
ITLZSOJ,O,O,O,O,O,X,X,O,X,X,X
ITLZOJS,O,X,O,O,O,X,X,X,X,X,X
ITLZOSJ,O,O,O,O,O,X,X,O,X,X,X
ITLOJSZ,O,X,O,O,O,X,X,X,X,X,X
ITLOJZS,O,O,O,O,O,X,X,O,X,X,X
ITLOSJZ,X,O,O,O,X,X,X,X,X,X,X
ITLOSZJ,O,O,O,O,X,X,X,X,X,X,X
ITLOZJS,O,X,O,O,O,X,X,X,X,X,X
ITLOZSJ,O,O,O,O,O,X,X,O,X,X,X
ITJLSZO,O,O,O,O,X,X,X,O,X,X,X
ITJLSOZ,O,O,O,O,X,X,X,X,X,X,X
ITJLZSO,O,O,O,O,X,X,O,O,X,O,X
ITJLZOS,O,O,O,O,X,X,X,O,X,X,O
ITJLOSZ,O,X,O,O,O,X,X,X,X,X,X
ITJLOZS,O,O,O,O,O,X,X,O,X,X,X
ITJSLZO,O,O,X,O,X,X,X,O,X,X,X
ITJSLOZ,O,O,X,O,X,X,X,X,X,X,X
ITJSZLO,O,O,X,O,X,X,O,O,X,O,X
ITJSZOL,O,O,X,O,X,X,O,O,X,O,O
ITJSOLZ,O,O,X,O,X,X,X,X,X,X,X
ITJSOZL,O,X,X,O,X,X,X,X,X,X,X
ITJZLSO,O,O,O,O,X,X,O,O,X,O,X
ITJZLOS,O,O,O,O,X,X,X,O,X,X,O
ITJZSLO,O,O,O,O,X,X,O,O,X,O,X
ITJZSOL,O,O,O,O,X,X,O,O,X,O,O
ITJZOLS,O,O,O,O,X,X,X,O,X,X,O
ITJZOSL,O,O,O,O,X,X,O,O,X,O,O
ITJOLSZ,O,X,O,O,O,X,X,X,X,X,X
ITJOLZS,O,O,O,O,O,X,X,O,X,X,X
ITJOSLZ,O,X,X,O,O,X,X,X,X,X,X
ITJOSZL,O,X,X,O,O,X,X,X,X,X,X
ITJOZLS,O,O,O,O,O,X,X,O,X,X,O
ITJOZSL,O,O,O,O,O,X,O,O,X,O,O
ITSLJZO,O,O,X,O,X,X,X,O,X,X,X
ITSLJOZ,O,O,X,O,X,X,X,X,X,X,X
ITSLZJO,O,O,X,O,X,X,X,O,X,X,X
ITSLZOJ,O,O,X,O,X,X,X,O,X,X,X
ITSLOJZ,X,O,X,O,X,X,X,X,X,X,X
ITSLOZJ,O,O,X,O,X,X,X,X,X,X,X
ITSJLZO,O,O,X,O,X,X,X,O,X,X,X
ITSJLOZ,O,O,X,O,X,X,X,X,X,X,X
ITSJZLO,O,O,X,O,X,X,X,O,X,X,X
ITSJZOL,O,O,X,O,X,X,X,O,X,X,X
ITSJOLZ,O,O,X,O,X,X,X,X,X,X,X
ITSJOZL,O,X,X,O,X,X,X,X,X,X,X
ITSZLJO,O,O,X,O,X,X,X,O,X,X,X
ITSZLOJ,O,O,X,O,X,X,X,O,X,X,X
ITSZJLO,O,O,X,O,X,X,X,O,X,X,X
ITSZJOL,X,O,X,O,X,X,X,X,X,X,X
ITSZOLJ,O,O,X,O,X,X,X,O,X,X,X
ITSZOJL,X,O,X,O,X,X,X,X,X,X,X
ITSOLJZ,X,O,X,O,X,X,X,X,X,X,X
ITSOLZJ,O,O,X,O,X,X,X,X,X,X,X
ITSOJLZ,X,O,X,O,X,X,X,X,X,X,X
ITSOJZL,X,X,X,O,X,X,X,X,X,X,X
