sequence,v115@9gB8HeB8HeB8HeD8BeB8LeOFJvhFXhB5oBzmBatBln?BUrB,v115@9gB8HeB8HeB8HeD8BeB8LeOFJvhFThB5oBfrB8rBat?BlsB,v115@9gB8HeB8HeB8HeD8BeB8LeOFJvhF0hB5oBzlBatBln?B3rB,v115@9gB8HeB8HeB8HeD8BeB8LeOFJvhF8lBfnB5oBatBln?BTrB,v115@9gB8HeB8HeB8HeD8BeB8LexAJvhF0iBTlB2rBFtB6t?B3rB,v115@9gB8HeB8HeB8HeD8BeB8LeTAJvhF0hBxiByqB3rBFt?BGtB,v115@9gB8HeB8HeB8HeD8BeB8LeKFJvhF0hBxiBWtBlrBfr?BTtB,v115@9gB8HeB8HeB8HeD8BeB8LeiAJvhFRiB1qBXnBGtBct?BTrB,v115@9gB8HeB8HeB8HeD8BeB8LeTAJvhFfnBliBxqBGtBKr?BctB,v115@9gB8HeB8HeB8HeD8BeB8LelBJvhFilBxnB0lBWtB3r?BTtB
TILJSZO,X,O,X,X,X,X,O,O,X,X
TILJSOZ,X,X,X,X,X,X,O,X,X,X
TILJZSO,X,O,X,O,X,X,O,X,X,X
TILJZOS,O,X,X,X,X,X,X,X,X,X
TILJOSZ,O,X,O,X,X,X,O,X,X,X
TILJOZS,X,X,O,X,X,X,O,X,X,X
TILSJZO,X,O,X,X,X,X,X,O,X,X
TILSJOZ,X,X,X,X,X,X,X,X,X,X
TILSZJO,X,O,X,O,X,X,X,X,X,X
TILSZOJ,X,O,O,X,X,X,X,X,X,X
TILSOJZ,X,X,O,X,X,X,X,X,X,X
TILSOZJ,X,X,O,X,X,X,X,X,X,X
TILZJSO,X,O,X,O,X,X,X,X,X,X
TILZJOS,O,X,X,X,X,X,X,X,X,X
TILZSJO,X,O,X,O,X,X,X,X,X,X
TILZSOJ,X,O,X,X,X,X,X,X,X,X
TILZOJS,O,X,X,X,X,X,X,X,X,X
TILZOSJ,O,X,X,X,X,X,X,X,X,X
TILOJSZ,O,X,O,X,X,X,X,X,X,X
TILOJZS,X,X,O,X,X,X,X,X,X,X
TILOSJZ,O,X,O,X,X,X,X,X,X,X
TILOSZJ,X,X,O,O,X,X,X,X,X,X
TILOZJS,X,X,O,O,X,X,X,X,X,X
TILOZSJ,X,X,X,O,X,X,X,X,X,X
TIJLSZO,X,O,X,X,X,X,O,O,X,X
TIJLSOZ,X,X,X,X,X,X,O,X,X,X
TIJLZSO,X,O,X,O,X,X,O,X,X,X
TIJLZOS,O,X,X,X,X,X,X,X,X,X
TIJLOSZ,O,X,O,X,X,X,O,X,X,X
TIJLOZS,X,X,O,X,X,X,O,X,X,X
TIJSLZO,X,O,X,X,X,X,O,O,O,X
TIJSLOZ,X,X,X,X,X,X,O,X,O,X
TIJSZLO,X,O,X,X,X,X,X,O,O,X
TIJSZOL,X,O,X,X,X,X,X,O,O,X
TIJSOLZ,X,X,X,X,X,X,X,O,X,X
TIJSOZL,X,X,X,X,X,X,X,O,X,X
TIJZLSO,X,O,X,O,X,X,O,X,X,X
TIJZLOS,O,X,X,X,X,X,X,X,X,X
TIJZSLO,X,O,X,O,X,X,X,X,X,X
TIJZSOL,O,O,X,X,X,X,X,X,X,X
TIJZOLS,O,X,X,X,O,X,X,X,X,X
TIJZOSL,O,X,X,X,O,X,X,X,X,X
TIJOLSZ,O,X,O,X,O,X,O,X,X,X
TIJOLZS,X,X,O,X,O,X,X,X,X,X
TIJOSLZ,O,X,X,X,O,X,X,X,X,X
TIJOSZL,X,X,X,X,O,X,X,X,X,X
TIJOZLS,X,X,O,X,O,X,X,X,X,X
TIJOZSL,X,X,X,X,O,X,X,X,X,X
TISLJZO,X,O,X,X,X,O,X,O,X,X
TISLJOZ,X,X,X,X,X,O,X,X,X,X
TISLZJO,X,O,X,O,X,O,X,X,X,X
TISLZOJ,X,O,O,X,X,O,X,X,X,X
TISLOJZ,X,X,O,X,X,O,X,X,X,X
TISLOZJ,X,X,O,X,X,O,X,X,X,X
TISJLZO,X,O,X,X,X,X,X,O,O,X
TISJLOZ,X,X,X,X,X,X,X,X,O,X
TISJZLO,X,O,X,X,X,X,X,O,O,X
TISJZOL,X,O,X,X,X,X,X,O,O,X
TISJOLZ,X,X,X,X,X,X,X,O,X,X
TISJOZL,X,X,X,X,X,X,X,O,X,X
TISZLJO,X,O,X,O,X,O,X,X,X,X
TISZLOJ,X,O,O,X,X,O,X,X,X,X
TISZJLO,X,O,X,O,X,O,X,X,X,X
TISZJOL,X,O,X,X,X,X,X,X,X,X
TISZOLJ,X,O,O,X,X,O,X,X,X,X
TISZOJL,X,O,O,X,X,X,X,X,X,X
TISOLJZ,X,X,O,X,X,X,X,X,X,X
TISOLZJ,X,X,O,X,X,X,X,X,X,X
TISOJLZ,X,X,O,X,X,X,X,X,X,X
