sequence,v115@EhC8IeA8HeB8AeC8CeC8JeZEJvhFzfBFhB2nBSqBcr?BXsB,v115@EhC8IeA8HeB8AeC8CeC8JeZEJvhFCgBThB2nBXlBUr?BFsB,v115@EhC8IeA8HeB8AeC8CeC8JeZEJvhFGgBihBzkBfsBln?BUrB,v115@EhC8IeA8HeB8AeC8CeC8JeZEJvhFUgBamBzhBWqB3n?B1wB,v115@EhC8IeA8HeB8AeC8CeC8JeZEJvhFqkBmgBzhB0lB3n?B1wB,v115@EhC8IeA8HeB8AeC8CeC8JeTAJvhFihBOpBRnB0kBFr?BXsB,v115@EhC8IeA8HeB8AeC8CeC8JeTAJvhFihB0kBRnBOpBFr?BXsB
TILJSZO,O,O,X,O,O,X,X
TILJSOZ,O,O,X,O,O,O,X
TILJZSO,O,O,X,O,O,X,X
TILJZOS,O,O,X,O,O,O,O
TILJOSZ,O,O,X,O,X,O,X
TILJOZS,O,X,X,O,O,O,O
TILSJZO,O,O,X,O,O,X,X
TILSJOZ,O,O,O,O,O,O,X
TILSZJO,O,O,X,O,O,X,X
TILSZOJ,O,O,O,O,O,X,O
TILSOJZ,O,O,O,O,O,O,X
TILSOZJ,O,O,O,O,O,X,O
TILZJSO,O,O,O,O,O,X,X
TILZJOS,O,O,X,O,O,O,O
TILZSJO,O,O,O,O,O,X,X
TILZSOJ,O,O,O,O,O,X,O
TILZOJS,O,O,O,O,O,O,O
TILZOSJ,O,O,O,X,O,X,O
TILOJSZ,O,O,O,O,X,O,X
TILOJZS,O,X,O,O,O,O,O
TILOSJZ,O,O,O,O,O,O,X
TILOSZJ,O,O,O,O,O,X,O
TILOZJS,O,X,O,O,O,O,O
TILOZSJ,O,X,O,X,O,X,O
TIJLSZO,O,O,X,O,O,X,X
TIJLSOZ,O,O,X,O,O,O,X
TIJLZSO,O,O,X,O,O,X,X
TIJLZOS,O,O,X,O,O,O,O
TIJLOSZ,O,O,X,O,X,O,X
TIJLOZS,O,X,X,O,O,O,O
TIJSLZO,O,O,X,O,O,O,X
TIJSLOZ,O,O,O,O,O,O,X
TIJSZLO,O,O,X,O,X,O,X
TIJSZOL,O,O,X,O,X,O,X
TIJSOLZ,X,O,O,O,O,O,X
TIJSOZL,X,O,O,O,X,O,X
TIJZLSO,O,O,O,O,X,X,X
TIJZLOS,O,O,X,O,X,O,O
TIJZSLO,O,O,O,O,X,X,X
TIJZSOL,X,O,O,O,X,X,X
TIJZOLS,O,O,O,O,X,O,O
TIJZOSL,X,O,O,O,X,X,X
TIJOLSZ,X,O,O,O,X,O,X
TIJOLZS,X,X,O,O,O,O,O
TIJOSLZ,X,O,O,O,X,O,X
TIJOSZL,X,O,O,O,X,X,X
TIJOZLS,X,O,O,O,X,O,O
TIJOZSL,X,O,O,O,X,X,X
TISLJZO,O,O,X,O,O,O,O
TISLJOZ,O,O,O,O,O,O,O
TISLZJO,O,O,X,O,O,O,O
TISLZOJ,O,O,O,O,O,O,O
TISLOJZ,O,O,O,O,O,O,O
TISLOZJ,O,O,O,O,O,O,O
TISJLZO,O,O,X,O,O,O,O
TISJLOZ,O,O,O,O,O,O,O
TISJZLO,O,O,X,O,X,O,O
TISJZOL,O,O,X,O,X,O,O
TISJOLZ,X,O,O,O,O,O,O
TISJOZL,X,O,O,O,X,O,O
TISZLJO,O,O,O,O,O,O,O
TISZLOJ,O,O,O,O,O,O,O
TISZJLO,O,O,O,O,O,O,O
TISZJOL,O,O,O,O,O,O,O
TISZOLJ,O,O,O,O,O,O,O
TISZOJL,O,O,O,O,O,O,O
TISOLJZ,X,O,O,O,O,O,O
TISOLZJ,X,O,O,O,O,O,O
TISOJLZ,X,O,O,O,O,O,O
TISOJZL,X,O,O,O,X,O,O
TISOZLJ,X,O,O,O,O,O,O
TISOZJL,X,O,O,O,O,O,O
TIZLJSO,O,O,O,O,O,X,X
TIZLJOS,O,O,O,O,O,O,O
TIZLSJO,O,O,O,O,O,X,X
TIZLSOJ,O,O,O,O,O,X,O
TIZLOJS,O,O,O,O,O,O,O
TIZLOSJ,O,O,O,X,O,X,O
TIZJLSO,O,O,O,O,O,X,X
TIZJLOS,O,O,O,O,O,O,O
TIZJSLO,O,O,O,O,O,X,X
TIZJSOL,X,O,O,O,O,X,X
TIZJOLS,O,O,O,O,O,O,O
TIZJOSL,X,O,O,O,X,X,X
TIZSLJO,O,O,O,O,O,X,O
TIZSLOJ,O,O,O,O,O,X,O
TIZSJLO,O,O,O,O,O,X,O
TIZSJOL,X,O,O,O,O,X,O
TIZSOLJ,X,O,O,O,O,X,O
TIZSOJL,X,O,O,O,O,X,O
TIZOLJS,O,O,O,O,O,O,O
TIZOLSJ,O,O,O,X,O,X,O
TIZOJLS,O,O,O,O,O,O,O
TIZOJSL,X,O,O,O,X,X,X
TIZOSLJ,X,O,O,X,X,X,O
TIZOSJL,X,O,O,X,X,X,X
TIOLJSZ,X,O,O,O,X,O,X
TIOLJZS,X,X,O,O,O,O,O
TIOLSJZ,X,O,O,O,O,O,X
TIOLSZJ,X,O,O,O,O,X,O
TIOLZJS,X,X,O,O,O,O,O
TIOLZSJ,X,X,O,X,O,X,O
TIOJLSZ,X,O,O,O,X,O,X
TIOJLZS,X,X,O,O,O,O,O
TIOJSLZ,X,O,O,O,X,O,X
TIOJSZL,X,O,O,O,X,X,X
TIOJZLS,X,O,O,O,X,O,O
TIOJZSL,X,O,O,O,X,X,X
TIOSLJZ,X,O,O,O,O,O,X
TIOSLZJ,X,O,O,O,O,X,O
TIOSJLZ,X,O,O,O,O,O,X
TIOSJZL,X,O,O,O,X,X,X
TIOSZLJ,X,O,O,O,O,X,O
TIOSZJL,X,O,O,O,X,X,X
TIOZLJS,X,O,O,O,O,O,O
TIOZLSJ,X,O,O,X,O,X,O
TIOZJLS,X,O,O,O,O,O,O
TIOZJSL,X,O,O,O,X,X,X
TIOZSLJ,X,O,O,X,X,X,O
TIOZSJL,X,O,O,X,X,X,X
TLIJSZO,O,O,X,O,O,X,X
TLIJSOZ,O,O,X,O,O,O,X
TLIJZSO,O,O,X,O,O,X,X
