sequence,v115@BhA8IeC8FeB8FeE8CeA8JeZEJvhFCgBGiBTjBXlBUs?BFtB,v115@BhA8IeC8FeB8FeE8CeA8JeTAJvhFRiBSoBOpB0kBFs?BXtB,v115@BhA8IeC8FeB8FeE8CeA8JeTAJvhFRiBSoB0kBOpBFs?BXtB,v115@BhA8IeC8FeB8FeE8CeA8JeZEJvhFqkBTgBXjBctBGs?BFsB,v115@BhA8IeC8FeB8FeE8CeA8JeTAJvhF6oB1pBRsBOpBft?BUsB,v115@BhA8IeC8FeB8FeE8CeA8Jex/IvhFOpBXlBSsBToBUs?BFtB
TILJSZO,O,X,X,X,O,X
TILJSOZ,O,O,X,X,O,X
TILJZSO,X,X,X,O,O,X
TILJZOS,X,O,O,O,O,X
TILJOSZ,O,O,X,X,O,X
TILJOZS,X,O,O,O,O,X
TILSJZO,O,X,X,X,O,X
TILSJOZ,O,O,X,X,O,X
TILSZJO,O,X,X,X,O,X
TILSZOJ,O,X,O,X,O,X
TILSOJZ,O,O,X,X,O,X
TILSOZJ,O,X,O,X,O,X
TILZJSO,X,X,X,O,O,X
TILZJOS,X,O,O,O,O,X
TILZSJO,X,X,X,X,O,X
TILZSOJ,X,X,O,O,O,X
TILZOJS,X,O,O,O,O,X
TILZOSJ,X,X,O,O,O,X
TILOJSZ,O,O,X,X,O,X
TILOJZS,X,O,O,O,O,X
TILOSJZ,O,O,X,X,O,X
TILOSZJ,O,X,O,X,O,X
TILOZJS,X,O,O,O,O,X
TILOZSJ,X,X,O,O,O,X
TIJLSZO,O,X,X,X,O,X
TIJLSOZ,O,O,X,X,O,X
TIJLZSO,X,X,X,O,O,X
TIJLZOS,X,O,O,O,O,X
TIJLOSZ,O,O,X,X,O,X
TIJLOZS,X,O,O,O,O,X
TIJSLZO,O,O,X,X,X,X
TIJSLOZ,O,O,X,X,X,X
TIJSZLO,O,O,X,X,X,X
TIJSZOL,O,O,X,X,X,X
TIJSOLZ,O,O,X,X,X,X
