sequence,v115@GhA8EeA8CeA8EeB8BeA8AeA8CeE8JeZEJvhFCgBXhB?miBdqB0nBzqB,v115@GhA8EeA8CeA8EeB8BeA8AeA8CeE8JeZEJvhFtkBXhB?TiBeoBiqB0qB,v115@GhA8EeA8CeA8EeB8BeA8AeA8CeE8Jex/IvhFXhBTiB?eoBNpBUlByvB,v115@GhA8EeA8CeA8EeB8BeA8AeA8CeE8Jex/IvhFXhBiiB?NpBznBmqBUqB,v115@GhA8EeA8CeA8EeB8BeA8AeA8CeE8JeZEJvhFtkBXhB?miB0nBTlByvB
TLJZOSI,O,O,O,X,O
TLJOISZ,X,O,O,O,X
TLJOIZS,X,O,O,O,X
TLJOSIZ,X,O,O,O,X
TLJOSZI,X,O,O,O,X
TLJOZIS,X,O,O,O,X
TLJOZSI,X,O,O,O,X
TLSIJZO,O,O,O,O,O
TLSIJOZ,X,O,O,O,X
TLSIZJO,O,O,O,O,O
TLSIZOJ,O,X,O,O,O
TLSIOJZ,X,O,O,O,X
TLSIOZJ,O,X,X,O,O
TLSJIZO,O,O,O,O,O
TLSJIOZ,X,O,O,O,X
TLSJZIO,O,O,O,O,O
TLSJZOI,O,O,O,X,O
TLSJOIZ,X,O,O,O,X
TLSJOZI,X,O,O,O,X
TLSZIJO,O,O,O,O,O
TLSZIOJ,O,X,O,O,O
TLSZJIO,O,O,O,O,O
TLSZJOI,O,O,O,X,O
TLSZOIJ,O,X,O,X,O
TLSZOJI,O,X,O,X,O
TLSOIJZ,X,O,O,O,X
TLSOIZJ,O,X,X,O,O
TLSOJIZ,X,O,O,O,X
TLSOJZI,X,O,O,O,X
TLSOZIJ,O,X,O,O,O
TLSOZJI,O,X,O,O,O
TLZIJSO,O,O,O,O,O
TLZIJOS,O,O,O,X,O
TLZISJO,O,O,O,O,O
TLZISOJ,O,X,O,O,O
TLZIOJS,O,X,O,X,O
TLZIOSJ,O,X,O,X,O
TLZJISO,O,O,O,O,O
TLZJIOS,O,O,O,X,O
TLZJSIO,O,O,O,O,O
TLZJSOI,O,O,O,X,O
TLZJOIS,O,O,O,X,O
TLZJOSI,O,O,O,X,O
TLZSIJO,O,O,O,O,O
TLZSIOJ,O,X,O,O,O
TLZSJIO,O,O,O,O,O
TLZSJOI,O,O,O,X,O
TLZSOIJ,O,X,O,X,O
TLZSOJI,O,X,O,X,O
TLZOIJS,O,X,O,X,O
TLZOISJ,O,X,O,X,O
TLZOJIS,O,X,O,X,O
TLZOJSI,O,X,O,X,O
TLZOSIJ,O,X,O,X,O
TLZOSJI,O,X,O,X,O
TLOIJSZ,O,O,O,O,X
TLOIJZS,O,O,O,O,X
TLOISJZ,O,O,O,O,X
TLOISZJ,O,X,X,O,O
TLOIZJS,O,X,X,O,O
TLOIZSJ,O,X,X,O,O
TLOJISZ,O,O,O,O,X
TLOJIZS,O,O,O,O,X
TLOJSIZ,O,O,O,O,X
TLOJSZI,O,O,O,O,X
TLOJZIS,O,O,O,O,X
TLOJZSI,O,O,O,O,X
TLOSIJZ,O,O,O,O,X
TLOSIZJ,O,X,X,O,O
TLOSJIZ,O,O,O,O,X
TLOSJZI,O,O,O,O,X
TLOSZIJ,O,X,O,O,O
TLOSZJI,O,X,O,O,O
TLOZIJS,O,X,O,O,O
TLOZISJ,O,X,O,O,O
TLOZJIS,O,X,O,O,O
TLOZJSI,O,X,O,O,O
TLOZSIJ,O,X,O,O,O
TLOZSJI,O,X,O,O,O
TJILSZO,O,O,O,O,O
TJILSOZ,X,O,O,O,X
TJILZSO,O,O,O,O,O
TJILZOS,O,O,O,X,O
TJILOSZ,X,O,O,O,X
TJILOZS,X,O,O,O,X
TJISLZO,O,O,O,O,X
TJISLOZ,X,O,O,O,X
TJISZLO,O,X,O,O,O
TJISZOL,O,O,O,O,O
TJISOLZ,X,O,O,O,X
TJISOZL,X,O,O,O,X
TJIZLSO,O,O,O,O,O
TJIZLOS,O,O,O,X,O
TJIZSLO,O,X,O,O,O
TJIZSOL,O,O,O,O,O
TJIZOLS,O,O,O,O,O
TJIZOSL,O,O,O,O,O
TJIOLSZ,O,O,O,O,X
TJIOLZS,O,O,O,O,X
TJIOSLZ,O,O,O,O,X
TJIOSZL,O,O,O,O,X
TJIOZLS,O,O,O,O,X
TJIOZSL,O,O,O,O,X
TJLISZO,O,O,O,O,O
TJLISOZ,X,O,O,O,X
TJLIZSO,O,O,O,O,O
TJLIZOS,O,O,O,X,O
TJLIOSZ,X,O,O,O,X
TJLIOZS,X,O,O,O,X
TJLSIZO,O,O,O,O,O
TJLSIOZ,X,O,O,O,X
TJLSZIO,O,O,O,O,O
TJLSZOI,O,O,O,X,O
TJLSOIZ,X,O,O,O,X
TJLSOZI,X,O,O,O,X
TJLZISO,O,O,O,O,O
TJLZIOS,O,O,O,X,O
TJLZSIO,O,O,O,O,O
TJLZSOI,O,O,O,X,O
TJLZOIS,O,O,O,X,O
TJLZOSI,O,O,O,X,O
TJLOISZ,X,O,O,O,X
TJLOIZS,X,O,O,O,X
TJLOSIZ,X,O,O,O,X
TJLOSZI,X,O,O,O,X
TJLOZIS,X,O,O,O,X
TJLOZSI,X,O,O,O,X
TJSILZO,O,O,O,O,X
TJSILOZ,X,O,O,O,X
TJSIZLO,O,X,O,O,O
TJSIZOL,O,O,O,O,O
TJSIOLZ,X,O,O,O,X
TJSIOZL,X,O,O,O,X
TJSLIZO,O,O,O,O,X
TJSLIOZ,X,O,O,O,X
TJSLZIO,O,O,O,O,X
TJSLZOI,O,O,O,X,X
TJSLOIZ,X,O,O,O,X
TJSLOZI,X,O,O,O,X
TJSZILO,O,X,O,O,O
TJSZIOL,O,O,O,O,O
TJSZLIO,O,X,O,O,O
TJSZLOI,O,X,O,X,X
TJSZOIL,O,O,O,O,O
TJSZOLI,O,X,O,O,X
TJSOILZ,X,O,O,O,X
TJSOIZL,X,O,O,O,X
TJSOLIZ,X,O,O,O,X
TJSOLZI,X,O,O,O,X
TJSOZIL,X,O,O,O,X
TJSOZLI,X,X,O,O,X
TJZILSO,O,O,O,O,O
TJZILOS,O,O,O,X,O
TJZISLO,O,X,O,O,O
TJZISOL,O,O,O,O,O
TJZIOLS,O,O,O,O,O
TJZIOSL,O,O,O,O,O
